"hlf0094","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1988","middle vocational","Rural Area","100","0.164165106545404","0.134672547730295","0.193657665360514"
"Very Inexpensive","1988","vocational + Abi","Urban Area","13","","",""
"Very Inexpensive","1988","vocational + Abi","Rural Area","2","","",""
"Very Inexpensive","1988","higher vocational","Urban Area","34","0.167458718201777","0.118231111278328","0.216686325125227"
"Very Inexpensive","1988","higher vocational","Rural Area","12","","",""
"Very Inexpensive","1988","higher education","Urban Area","51","0.199785765901188","0.152004532237604","0.247566999564772"
"Very Inexpensive","1988","higher education","Rural Area","15","","",""
"Inexpensive","1988","in school","Urban Area","16","","",""
"Inexpensive","1988","in school","Rural Area","4","","",""
"Inexpensive","1988","inadequately","Urban Area","13","","",""
"Inexpensive","1988","inadequately","Rural Area","8","","",""
"Inexpensive","1988","general elemantary","Urban Area","248","0.387140184319279","0.350822030247735","0.423458338390823"
"Inexpensive","1988","general elemantary","Rural Area","115","0.362899921585885","0.310942521816089","0.414857321355682"
"Inexpensive","1988","middle vocational","Urban Area","538","0.357636234756394","0.333420864405432","0.381851605107357"
"Inexpensive","1988","middle vocational","Rural Area","205","0.334953876335461","0.297376178818809","0.372531573852113"
"Inexpensive","1988","vocational + Abi","Urban Area","24","","",""
"Inexpensive","1988","vocational + Abi","Rural Area","8","","",""
"Inexpensive","1988","higher vocational","Urban Area","74","0.321430824159592","0.259857474688727","0.383004173630457"
"Inexpensive","1988","higher vocational","Rural Area","21","","",""
"Inexpensive","1988","higher education","Urban Area","80","0.300216818001464","0.245443227550538","0.354990408452391"
"Inexpensive","1988","higher education","Rural Area","22","","",""
"Reasonable","1988","in school","Urban Area","33","0.500351978322912","0.3788002021273","0.621903754518525"
"Reasonable","1988","in school","Rural Area","9","","",""
"Reasonable","1988","inadequately","Urban Area","20","","",""
"Reasonable","1988","inadequately","Rural Area","7","","",""
"Reasonable","1988","general elemantary","Urban Area","235","0.322495778468346","0.287643828078755","0.357347728857938"
"Reasonable","1988","general elemantary","Rural Area","126","0.361202511811976","0.309297759515794","0.413107264108159"
"Reasonable","1988","middle vocational","Urban Area","544","0.36191350895219","0.337634999893785","0.386192018010594"
"Reasonable","1988","middle vocational","Rural Area","251","0.417323584824232","0.378062530014745","0.456584639633718"
"Reasonable","1988","vocational + Abi","Urban Area","29","","",""
"Reasonable","1988","vocational + Abi","Rural Area","8","","",""
"Reasonable","1988","higher vocational","Urban Area","87","0.391579569723331","0.327227301209417","0.455931838237245"
"Reasonable","1988","higher vocational","Rural Area","27","","",""
"Reasonable","1988","higher education","Urban Area","121","0.432756123763579","0.373548385665849","0.491963861861308"
"Reasonable","1988","higher education","Rural Area","31","0.451102829784082","0.336164438464902","0.566041221103261"
"Slightly Expensive","1988","in school","Urban Area","9","","",""
"Slightly Expensive","1988","in school","Rural Area","2","","",""
"Slightly Expensive","1988","inadequately","Urban Area","6","","",""
"Slightly Expensive","1988","inadequately","Rural Area","1","","",""
"Slightly Expensive","1988","general elemantary","Urban Area","53","0.0643624766104686","0.0460655032321175","0.0826594499888198"
"Slightly Expensive","1988","general elemantary","Rural Area","24","","",""
"Slightly Expensive","1988","middle vocational","Urban Area","131","0.0820522947233666","0.0681868380862788","0.0959177513604544"
"Slightly Expensive","1988","middle vocational","Rural Area","42","0.0738172704618907","0.0529992654234883","0.0946352755002932"
"Slightly Expensive","1988","vocational + Abi","Urban Area","8","","",""
"Slightly Expensive","1988","vocational + Abi","Rural Area","","","",""
"Slightly Expensive","1988","higher vocational","Urban Area","21","","",""
"Slightly Expensive","1988","higher vocational","Rural Area","4","","",""
"Slightly Expensive","1988","higher education","Urban Area","14","","",""
"Slightly Expensive","1988","higher education","Rural Area","3","","",""
"Too Expensive","1988","in school","Urban Area","","","",""
"Too Expensive","1988","in school","Rural Area","1","","",""
"Too Expensive","1988","inadequately","Urban Area","1","","",""
"Too Expensive","1988","inadequately","Rural Area","","","",""
"Too Expensive","1988","general elemantary","Urban Area","10","","",""
"Too Expensive","1988","general elemantary","Rural Area","4","","",""
"Too Expensive","1988","middle vocational","Urban Area","23","","",""
"Too Expensive","1988","middle vocational","Rural Area","8","","",""
"Too Expensive","1988","vocational + Abi","Urban Area","","","",""
"Too Expensive","1988","vocational + Abi","Rural Area","","","",""
"Too Expensive","1988","higher vocational","Urban Area","5","","",""
"Too Expensive","1988","higher vocational","Rural Area","1","","",""
"Too Expensive","1988","higher education","Urban Area","3","","",""
"Too Expensive","1988","higher education","Rural Area","1","","",""
"Very Inexpensive","1989","in school","Urban Area","11","","",""
"Very Inexpensive","1989","in school","Rural Area","7","","",""
"Very Inexpensive","1989","inadequately","Urban Area","3","","",""
"Very Inexpensive","1989","inadequately","Rural Area","3","","",""
"Very Inexpensive","1989","general elemantary","Urban Area","128","0.22220487042263","0.190367525862485","0.254042214982776"
"Very Inexpensive","1989","general elemantary","Rural Area","71","0.256837124870204","0.20739941248366","0.306274837256748"
"Very Inexpensive","1989","middle vocational","Urban Area","288","0.194369553243375","0.174337321842786","0.214401784643964"
"Very Inexpensive","1989","middle vocational","Rural Area","132","0.21693414071171","0.184010114166196","0.249858167257224"
"Very Inexpensive","1989","vocational + Abi","Urban Area","18","","",""
"Very Inexpensive","1989","vocational + Abi","Rural Area","3","","",""
"Very Inexpensive","1989","higher vocational","Urban Area","44","0.189615700684813","0.137816935440714","0.241414465928913"
"Very Inexpensive","1989","higher vocational","Rural Area","14","","",""
"Very Inexpensive","1989","higher education","Urban Area","65","0.239469828149754","0.188753562927665","0.290186093371844"
"Very Inexpensive","1989","higher education","Rural Area","13","","",""
"Inexpensive","1989","in school","Urban Area","26","","",""
"Inexpensive","1989","in school","Rural Area","4","","",""
"Inexpensive","1989","inadequately","Urban Area","21","","",""
"Inexpensive","1989","inadequately","Rural Area","6","","",""
"Inexpensive","1989","general elemantary","Urban Area","283","0.42596369457123","0.388094731455871","0.463832657686589"
"Inexpensive","1989","general elemantary","Rural Area","112","0.393089898463355","0.337819119109456","0.448360677817253"
"Inexpensive","1989","middle vocational","Urban Area","549","0.380420113209656","0.355843181353963","0.404997045065349"
"Inexpensive","1989","middle vocational","Rural Area","209","0.351059638648696","0.31293175591672","0.389187521380671"
"Inexpensive","1989","vocational + Abi","Urban Area","28","","",""
"Inexpensive","1989","vocational + Abi","Rural Area","6","","",""
"Inexpensive","1989","higher vocational","Urban Area","75","0.354463467083198","0.291253887199495","0.417673046966901"
"Inexpensive","1989","higher vocational","Rural Area","27","","",""
"Inexpensive","1989","higher education","Urban Area","79","0.277492452145592","0.224280349449815","0.330704554841369"
"Inexpensive","1989","higher education","Rural Area","19","","",""
"Reasonable","1989","in school","Urban Area","29","","",""
"Reasonable","1989","in school","Rural Area","7","","",""
"Reasonable","1989","inadequately","Urban Area","20","","",""
"Reasonable","1989","inadequately","Rural Area","4","","",""
"Reasonable","1989","general elemantary","Urban Area","200","0.284696231703471","0.250137041545782","0.31925542186116"
"Reasonable","1989","general elemantary","Rural Area","87","0.261670784764056","0.211932579662978","0.311408989865134"
"Reasonable","1989","middle vocational","Urban Area","541","0.3500942590081","0.325947160389031","0.37424135762717"
"Reasonable","1989","middle vocational","Rural Area","215","0.363984642324163","0.32554979355725","0.402419491091076"
"Reasonable","1989","vocational + Abi","Urban Area","23","","",""
"Reasonable","1989","vocational + Abi","Rural Area","10","","",""
"Reasonable","1989","higher vocational","Urban Area","73","0.32469640618738","0.26282000851243","0.38657280386233"
"Reasonable","1989","higher vocational","Rural Area","19","","",""
"Reasonable","1989","higher education","Urban Area","105","0.404891014182056","0.346555777774565","0.463226250589547"
"Reasonable","1989","higher education","Rural Area","32","0.468918339229581","0.351170537720952","0.58666614073821"
"Slightly Expensive","1989","in school","Urban Area","6","","",""
"Slightly Expensive","1989","in school","Rural Area","3","","",""
"Slightly Expensive","1989","inadequately","Urban Area","3","","",""
"Slightly Expensive","1989","inadequately","Rural Area","3","","",""
"Slightly Expensive","1989","general elemantary","Urban Area","36","0.0516784129976611","0.0347248945357103","0.0686319314596119"
"Slightly Expensive","1989","general elemantary","Rural Area","25","","",""
"Slightly Expensive","1989","middle vocational","Urban Area","103","0.0648289564217205","0.0523643860056009","0.0772935268378402"
"Slightly Expensive","1989","middle vocational","Rural Area","32","0.0475849943824021","0.0305791589828145","0.0645908297819898"
"Slightly Expensive","1989","vocational + Abi","Urban Area","7","","",""
"Slightly Expensive","1989","vocational + Abi","Rural Area","1","","",""
"Slightly Expensive","1989","higher vocational","Urban Area","26","","",""
"Slightly Expensive","1989","higher vocational","Rural Area","5","","",""
"Slightly Expensive","1989","higher education","Urban Area","23","","",""
"Slightly Expensive","1989","higher education","Rural Area","4","","",""
"Too Expensive","1989","in school","Urban Area","1","","",""
"Too Expensive","1989","in school","Rural Area","","","",""
"Too Expensive","1989","inadequately","Urban Area","","","",""
"Too Expensive","1989","inadequately","Rural Area","","","",""
"Too Expensive","1989","general elemantary","Urban Area","8","","",""
"Too Expensive","1989","general elemantary","Rural Area","5","","",""
"Too Expensive","1989","middle vocational","Urban Area","18","","",""
"Too Expensive","1989","middle vocational","Rural Area","14","","",""
"Too Expensive","1989","vocational + Abi","Urban Area","","","",""
"Too Expensive","1989","vocational + Abi","Rural Area","","","",""
"Too Expensive","1989","higher vocational","Urban Area","2","","",""
"Too Expensive","1989","higher vocational","Rural Area","","","",""
"Too Expensive","1989","higher education","Urban Area","","","",""
"Too Expensive","1989","higher education","Rural Area","1","","",""
"Very Inexpensive","1990","in school","Urban Area","13","","",""
"Very Inexpensive","1990","in school","Rural Area","5","","",""
"Very Inexpensive","1990","inadequately","Urban Area","1","","",""
"Very Inexpensive","1990","inadequately","Rural Area","4","","",""
"Very Inexpensive","1990","general elemantary","Urban Area","114","0.202143086076063","0.17093181285627","0.233354359295855"
"Very Inexpensive","1990","general elemantary","Rural Area","66","0.23787447930494","0.18817970591332","0.287569252696561"
"Very Inexpensive","1990","middle vocational","Urban Area","297","0.206635381127783","0.186000462474889","0.227270299780677"
"Very Inexpensive","1990","middle vocational","Rural Area","128","0.214219640004364","0.180915820735498","0.24752345927323"
"Very Inexpensive","1990","vocational + Abi","Urban Area","16","","",""
"Very Inexpensive","1990","vocational + Abi","Rural Area","7","","",""
"Very Inexpensive","1990","higher vocational","Urban Area","42","0.197305395990103","0.143735005306579","0.250875786673627"
"Very Inexpensive","1990","higher vocational","Rural Area","12","","",""
"Very Inexpensive","1990","higher education","Urban Area","56","0.170580153945975","0.127511059232612","0.213649248659337"
"Very Inexpensive","1990","higher education","Rural Area","18","","",""
"Inexpensive","1990","in school","Urban Area","18","","",""
"Inexpensive","1990","in school","Rural Area","4","","",""
"Inexpensive","1990","inadequately","Urban Area","24","","",""
"Inexpensive","1990","inadequately","Rural Area","13","","",""
"Inexpensive","1990","general elemantary","Urban Area","279","0.454160636745922","0.415465471638887","0.492855801852958"
"Inexpensive","1990","general elemantary","Rural Area","107","0.405206881213897","0.347908162503236","0.462505599924557"
"Inexpensive","1990","middle vocational","Urban Area","546","0.375787649414978","0.351104451019672","0.400470847810284"
"Inexpensive","1990","middle vocational","Rural Area","186","0.312270576828166","0.274653231064605","0.349887922591728"
"Inexpensive","1990","vocational + Abi","Urban Area","27","","",""
"Inexpensive","1990","vocational + Abi","Rural Area","7","","",""
"Inexpensive","1990","higher vocational","Urban Area","68","0.314480452343034","0.251979460412519","0.376981444273548"
"Inexpensive","1990","higher vocational","Rural Area","21","","",""
"Inexpensive","1990","higher education","Urban Area","102","0.353619818772833","0.29887707065456","0.408362566891105"
"Inexpensive","1990","higher education","Rural Area","23","","",""
"Reasonable","1990","in school","Urban Area","22","","",""
"Reasonable","1990","in school","Rural Area","6","","",""
"Reasonable","1990","inadequately","Urban Area","19","","",""
"Reasonable","1990","inadequately","Rural Area","4","","",""
