"hlf0094","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Inexpensive","1985","(Married) couple without C. ","Male","145","0.342878395965856","0.297803345120445","0.387953446811267"
"Inexpensive","1985","(Married) couple without C. ","Female","144","0.335017414183889","0.29024886908169","0.379785959286089"
"Inexpensive","1985","Single parent ","Male","31","0.372389568873773","0.265103181935689","0.479675955811856"
"Inexpensive","1985","Single parent ","Female","43","0.398762157368975","0.305549415984681","0.491974898753269"
"Inexpensive","1985","Couple + C. LE 16 ","Male","118","0.271750207999876","0.23004094655652","0.313459469443232"
"Inexpensive","1985","Couple + C. LE 16 ","Female","117","0.273289811726769","0.231362639596578","0.315216983856961"
"Inexpensive","1985","Couple + C. GT 16 ","Male","179","0.305600323858854","0.268585876630427","0.342614771087281"
"Inexpensive","1985","Couple + C. GT 16 ","Female","153","0.32758666802104","0.285424213878942","0.369749122163137"
"Inexpensive","1985","Couple + C. LE and GT 16","Male","110","0.304788144265688","0.257434610025739","0.352141678505637"
"Inexpensive","1985","Couple + C. LE and GT 16","Female","91","0.29353183029984","0.242425808923785","0.344637851675896"
"Reasonable","1985","1-pers.-HH","Male","21","","",""
"Reasonable","1985","1-pers.-HH","Female","42","0.293074432810574","0.21873099225418","0.367417873366969"
"Reasonable","1985","(Married) couple without C. ","Male","114","0.262567558515178","0.220782121933936","0.30435299509642"
"Reasonable","1985","(Married) couple without C. ","Female","113","0.263051425005762","0.221290214901752","0.304812635109773"
"Reasonable","1985","Single parent ","Male","26","","",""
"Reasonable","1985","Single parent ","Female","32","0.317569981694904","0.228947493060812","0.406192470328997"
"Reasonable","1985","Couple + C. LE 16 ","Male","171","0.386948528068011","0.341283635340799","0.432613420795223"
"Reasonable","1985","Couple + C. LE 16 ","Female","170","0.385467675927264","0.339677788619771","0.431257563234757"
"Reasonable","1985","Couple + C. GT 16 ","Male","230","0.383166077091732","0.344102927263101","0.422229226920363"
"Reasonable","1985","Couple + C. GT 16 ","Female","177","0.374150845567224","0.330679526827382","0.417622164307066"
"Reasonable","1985","Couple + C. LE and GT 16","Male","147","0.409502090251073","0.35891589426569","0.460088286236456"
"Reasonable","1985","Couple + C. LE and GT 16","Female","131","0.439354048275249","0.383654736011717","0.495053360538782"
"Slightly Expensive","1985","1-pers.-HH","Male","3","","",""
"Slightly Expensive","1985","1-pers.-HH","Female","9","","",""
"Slightly Expensive","1985","(Married) couple without C. ","Male","34","0.0729273467796839","0.048235965635319","0.0976187279240488"
"Slightly Expensive","1985","(Married) couple without C. ","Female","35","0.0752062060957467","0.0501921887264285","0.100220223465065"
"Slightly Expensive","1985","Single parent ","Male","4","","",""
"Slightly Expensive","1985","Single parent ","Female","5","","",""
"Slightly Expensive","1985","Couple + C. LE 16 ","Male","55","0.114946701259467","0.0850419398859194","0.144851462633014"
"Slightly Expensive","1985","Couple + C. LE 16 ","Female","54","0.116066497104277","0.0859318255392288","0.146201168669325"
"Slightly Expensive","1985","Couple + C. GT 16 ","Male","33","0.0567346771694407","0.0381467553764635","0.0753225989624179"
"Slightly Expensive","1985","Couple + C. GT 16 ","Female","33","0.0678601770318141","0.0452662022348795","0.0904541518287487"
"Slightly Expensive","1985","Couple + C. LE and GT 16","Male","37","0.0888139312097708","0.05954958264481","0.118078279774732"
"Slightly Expensive","1985","Couple + C. LE and GT 16","Female","28","","",""
"Too Expensive","1985","1-pers.-HH","Male","3","","",""
"Too Expensive","1985","1-pers.-HH","Female","3","","",""
"Too Expensive","1985","(Married) couple without C. ","Male","10","","",""
"Too Expensive","1985","(Married) couple without C. ","Female","10","","",""
"Too Expensive","1985","Single parent ","Male","","","",""
"Too Expensive","1985","Single parent ","Female","2","","",""
"Too Expensive","1985","Couple + C. LE 16 ","Male","22","","",""
"Too Expensive","1985","Couple + C. LE 16 ","Female","22","","",""
"Too Expensive","1985","Couple + C. GT 16 ","Male","12","","",""
"Too Expensive","1985","Couple + C. GT 16 ","Female","6","","",""
"Too Expensive","1985","Couple + C. LE and GT 16","Male","4","","",""
"Too Expensive","1985","Couple + C. LE and GT 16","Female","3","","",""
"Very Inexpensive","1986","1-pers.-HH","Male","13","","",""
"Very Inexpensive","1986","1-pers.-HH","Female","33","0.226023207192567","0.159531607278195","0.292514807106938"
"Very Inexpensive","1986","(Married) couple without C. ","Male","89","0.202678449837132","0.165244404144407","0.240112495529856"
"Very Inexpensive","1986","(Married) couple without C. ","Female","89","0.200125276185488","0.162783862549254","0.237466689821723"
"Very Inexpensive","1986","Single parent ","Male","14","","",""
"Very Inexpensive","1986","Single parent ","Female","23","","",""
"Very Inexpensive","1986","Couple + C. LE 16 ","Male","52","0.143021232108039","0.108669635133601","0.177372829082477"
"Very Inexpensive","1986","Couple + C. LE 16 ","Female","53","0.141207387604911","0.107123528303293","0.17529124690653"
"Very Inexpensive","1986","Couple + C. GT 16 ","Male","126","0.182035113955174","0.152596250548206","0.211473977362143"
"Very Inexpensive","1986","Couple + C. GT 16 ","Female","104","0.196196750483447","0.162291764650767","0.230101736316127"
"Very Inexpensive","1986","Couple + C. LE and GT 16","Male","52","0.138721703957475","0.103163588357857","0.174279819557092"
"Very Inexpensive","1986","Couple + C. LE and GT 16","Female","39","0.124400770222732","0.0876614205809487","0.161140119864515"
"Inexpensive","1986","1-pers.-HH","Male","20","","",""
"Inexpensive","1986","1-pers.-HH","Female","60","0.38987336452358","0.312338314319339","0.46740841472782"
"Inexpensive","1986","(Married) couple without C. ","Male","155","0.361961516907225","0.317210710609394","0.406712323205056"
"Inexpensive","1986","(Married) couple without C. ","Female","155","0.364982072139464","0.320049885335008","0.409914258943919"
"Inexpensive","1986","Single parent ","Male","19","","",""
"Inexpensive","1986","Single parent ","Female","32","0.278130250835482","0.195146585257277","0.361113916413687"
"Inexpensive","1986","Couple + C. LE 16 ","Male","107","0.25840281004346","0.215449731413727","0.301355888673194"
"Inexpensive","1986","Couple + C. LE 16 ","Female","107","0.261890549453421","0.218858086742714","0.304923012164128"
"Inexpensive","1986","Couple + C. GT 16 ","Male","204","0.320312400583622","0.284715050258515","0.355909750908729"
"Inexpensive","1986","Couple + C. GT 16 ","Female","159","0.306740304019232","0.267369327980657","0.346111280057807"
"Inexpensive","1986","Couple + C. LE and GT 16","Male","112","0.319258098188813","0.271300548942622","0.367215647435004"
"Inexpensive","1986","Couple + C. LE and GT 16","Female","100","0.332900573344145","0.280441598496179","0.385359548192111"
"Reasonable","1986","1-pers.-HH","Male","20","","",""
"Reasonable","1986","1-pers.-HH","Female","49","0.314964688575927","0.241120944287813","0.388808432864041"
"Reasonable","1986","(Married) couple without C. ","Male","153","0.343113849153215","0.298904878330926","0.387322819975503"
"Reasonable","1986","(Married) couple without C. ","Female","152","0.344974635221315","0.300608516485489","0.38934075395714"
"Reasonable","1986","Single parent ","Male","36","0.483753369835841","0.373555002057183","0.593951737614499"
"Reasonable","1986","Single parent ","Female","48","0.431946717643683","0.340208836392079","0.523684598895287"
"Reasonable","1986","Couple + C. LE 16 ","Male","175","0.443731078891686","0.394982274884139","0.492479882899233"
"Reasonable","1986","Couple + C. LE 16 ","Female","176","0.442901974003586","0.394284149403938","0.491519798603235"
"Reasonable","1986","Couple + C. GT 16 ","Male","255","0.390978107103933","0.353750185089873","0.428206029117994"
"Reasonable","1986","Couple + C. GT 16 ","Female","193","0.365219912804723","0.324111410459217","0.406328415150228"
"Reasonable","1986","Couple + C. LE and GT 16","Male","149","0.410840483495623","0.360229142690591","0.461451824300655"
"Reasonable","1986","Couple + C. LE and GT 16","Female","127","0.413876390908201","0.359049050639463","0.468703731176939"
"Slightly Expensive","1986","1-pers.-HH","Male","13","","",""
"Slightly Expensive","1986","1-pers.-HH","Female","7","","",""
"Slightly Expensive","1986","(Married) couple without C. ","Male","37","0.0739036714034367","0.0495419868126607","0.0982653559942127"
"Slightly Expensive","1986","(Married) couple without C. ","Female","36","0.0719928261026285","0.0478688397460598","0.0961168124591973"
"Slightly Expensive","1986","Single parent ","Male","10","","",""
"Slightly Expensive","1986","Single parent ","Female","7","","",""
"Slightly Expensive","1986","Couple + C. LE 16 ","Male","51","0.116618710416496","0.0851252879724006","0.148112132860591"
"Slightly Expensive","1986","Couple + C. LE 16 ","Female","51","0.114911933883867","0.0836977694386581","0.146126098329076"
"Slightly Expensive","1986","Couple + C. GT 16 ","Male","53","0.0776811306765396","0.0572602513351521","0.0981020100179271"
"Slightly Expensive","1986","Couple + C. GT 16 ","Female","53","0.104970363740994","0.0788008988446447","0.131139828637343"
"Slightly Expensive","1986","Couple + C. LE and GT 16","Male","39","0.104168126232032","0.072743113674878","0.135593138789187"
"Slightly Expensive","1986","Couple + C. LE and GT 16","Female","36","0.106340436569117","0.0720239736882456","0.140656899449988"
"Too Expensive","1986","1-pers.-HH","Male","2","","",""
"Too Expensive","1986","1-pers.-HH","Female","3","","",""
"Too Expensive","1986","(Married) couple without C. ","Male","9","","",""
"Too Expensive","1986","(Married) couple without C. ","Female","9","","",""
"Too Expensive","1986","Single parent ","Male","","","",""
"Too Expensive","1986","Single parent ","Female","2","","",""
"Too Expensive","1986","Couple + C. LE 16 ","Male","14","","",""
"Too Expensive","1986","Couple + C. LE 16 ","Female","14","","",""
"Too Expensive","1986","Couple + C. GT 16 ","Male","22","","",""
"Too Expensive","1986","Couple + C. GT 16 ","Female","18","","",""
"Too Expensive","1986","Couple + C. LE and GT 16","Male","11","","",""
"Too Expensive","1986","Couple + C. LE and GT 16","Female","8","","",""
"Very Inexpensive","1987","1-pers.-HH","Male","16","","",""
"Very Inexpensive","1987","1-pers.-HH","Female","34","0.198448540192081","0.135862791658905","0.261034288725258"
"Very Inexpensive","1987","(Married) couple without C. ","Male","91","0.200784360129056","0.164335325675421","0.237233394582691"
"Very Inexpensive","1987","(Married) couple without C. ","Female","90","0.196686410416483","0.16044068155004","0.232932139282925"
"Very Inexpensive","1987","Single parent ","Male","17","","",""
"Very Inexpensive","1987","Single parent ","Female","22","","",""
"Very Inexpensive","1987","Couple + C. LE 16 ","Male","50","0.127320362588076","0.0941531799044949","0.160487545271658"
"Very Inexpensive","1987","Couple + C. LE 16 ","Female","51","0.126391845048504","0.0935392498553749","0.159244440241633"
"Very Inexpensive","1987","Couple + C. GT 16 ","Male","127","0.179183375208203","0.150753075914533","0.207613674501872"
"Very Inexpensive","1987","Couple + C. GT 16 ","Female","101","0.18106853119834","0.14862002355223","0.21351703884445"
"Very Inexpensive","1987","Couple + C. LE and GT 16","Male","50","0.170371321191841","0.128316186607499","0.212426455776183"
"Very Inexpensive","1987","Couple + C. LE and GT 16","Female","39","0.153602655733078","0.110190469008215","0.197014842457942"
"Inexpensive","1987","1-pers.-HH","Male","20","","",""
"Inexpensive","1987","1-pers.-HH","Female","64","0.421322255100579","0.343838371141959","0.498806139059198"
"Inexpensive","1987","(Married) couple without C. ","Male","182","0.401595570291602","0.356990835911203","0.446200304672001"
"Inexpensive","1987","(Married) couple without C. ","Female","181","0.402518881036034","0.357800885893489","0.447236876178579"
"Inexpensive","1987","Single parent ","Male","26","","",""
"Inexpensive","1987","Single parent ","Female","32","0.285977598657656","0.202290019357987","0.369665177957324"
"Inexpensive","1987","Couple + C. LE 16 ","Male","111","0.300876114371961","0.25524057854154","0.346511650202382"
"Inexpensive","1987","Couple + C. LE 16 ","Female","111","0.298423289146853","0.253185043531216","0.343661534762489"
"Inexpensive","1987","Couple + C. GT 16 ","Male","265","0.370467025387957","0.334666160065661","0.406267890710252"
"Inexpensive","1987","Couple + C. GT 16 ","Female","207","0.382924561739032","0.34196312317672","0.423886000301344"
"Inexpensive","1987","Couple + C. LE and GT 16","Male","86","0.272560150347326","0.222751058036093","0.32236924265856"
"Inexpensive","1987","Couple + C. LE and GT 16","Female","84","0.316535655392563","0.260534833092812","0.372536477692315"
"Reasonable","1987","1-pers.-HH","Male","21","","",""
"Reasonable","1987","1-pers.-HH","Female","46","0.308871006611981","0.236368350059788","0.381373663164173"
"Reasonable","1987","(Married) couple without C. ","Male","151","0.324311220264017","0.281717709175758","0.366904731352276"
"Reasonable","1987","(Married) couple without C. ","Female","151","0.329405245395375","0.286548179527604","0.372262311263147"
"Reasonable","1987","Single parent ","Male","41","0.496897931677759","0.39183485596112","0.601961007394399"
"Reasonable","1987","Single parent ","Female","49","0.439126070852679","0.347215319307421","0.531036822397937"
"Reasonable","1987","Couple + C. LE 16 ","Male","164","0.416579652072616","0.367525921584434","0.465633382560799"
"Reasonable","1987","Couple + C. LE 16 ","Female","167","0.42001797700005","0.371220988377938","0.468814965622162"
"Reasonable","1987","Couple + C. GT 16 ","Male","224","0.335881187505904","0.300868517186557","0.370893857825251"
"Reasonable","1987","Couple + C. GT 16 ","Female","169","0.322548149261256","0.283158151837354","0.361938146685157"
"Reasonable","1987","Couple + C. LE and GT 16","Male","134","0.439548981877051","0.384028736900459","0.495069226853644"
"Reasonable","1987","Couple + C. LE and GT 16","Female","116","0.440901844052231","0.381124014607171","0.500679673497291"
"Slightly Expensive","1987","1-pers.-HH","Male","9","","",""
"Slightly Expensive","1987","1-pers.-HH","Female","8","","",""
"Slightly Expensive","1987","(Married) couple without C. ","Male","31","0.055546534368714","0.0347060471950897","0.0763870215423384"
"Slightly Expensive","1987","(Married) couple without C. ","Female","31","0.0545750862492577","0.0338623325970376","0.0752878399014777"
"Slightly Expensive","1987","Single parent ","Male","3","","",""
"Slightly Expensive","1987","Single parent ","Female","9","","",""
"Slightly Expensive","1987","Couple + C. LE 16 ","Male","50","0.11931214236234","0.0870579958405214","0.151566288884159"
"Slightly Expensive","1987","Couple + C. LE 16 ","Female","50","0.116496099848702","0.084777665331482","0.148214534365922"
"Slightly Expensive","1987","Couple + C. GT 16 ","Male","58","0.075741339386527","0.0561270418985193","0.0953556368745347"
"Slightly Expensive","1987","Couple + C. GT 16 ","Female","44","0.0778643746977899","0.0552847739258874","0.100443975469692"
"Slightly Expensive","1987","Couple + C. LE and GT 16","Male","34","0.107371821997436","0.0727412742495286","0.142002369745343"
"Slightly Expensive","1987","Couple + C. LE and GT 16","Female","23","","",""
"Too Expensive","1987","1-pers.-HH","Male","2","","",""
"Too Expensive","1987","1-pers.-HH","Female","4","","",""
"Too Expensive","1987","(Married) couple without C. ","Male","9","","",""
"Too Expensive","1987","(Married) couple without C. ","Female","9","","",""
"Too Expensive","1987","Single parent ","Male","","","",""
"Too Expensive","1987","Single parent ","Female","","","",""
"Too Expensive","1987","Couple + C. LE 16 ","Male","13","","",""
"Too Expensive","1987","Couple + C. LE 16 ","Female","14","","",""
"Too Expensive","1987","Couple + C. GT 16 ","Male","25","","",""
"Too Expensive","1987","Couple + C. GT 16 ","Female","20","","",""
"Too Expensive","1987","Couple + C. LE and GT 16","Male","3","","",""
"Too Expensive","1987","Couple + C. LE and GT 16","Female","3","","",""
"Very Inexpensive","1988","1-pers.-HH","Male","12","","",""
"Very Inexpensive","1988","1-pers.-HH","Female","29","","",""
"Very Inexpensive","1988","(Married) couple without C. ","Male","80","0.185703744353464","0.149160675878371","0.222246812828558"
"Very Inexpensive","1988","(Married) couple without C. ","Female","83","0.19129979783343","0.154380292137368","0.228219303529492"
"Very Inexpensive","1988","Single parent ","Male","16","","",""
"Very Inexpensive","1988","Single parent ","Female","19","","",""
"Very Inexpensive","1988","Couple + C. LE 16 ","Male","49","0.130053875487394","0.096411217011717","0.163696533963072"
"Very Inexpensive","1988","Couple + C. LE 16 ","Female","48","0.125966552339444","0.0928222124379345","0.159110892240954"
"Very Inexpensive","1988","Couple + C. GT 16 ","Male","159","0.228857824686059","0.198193700183452","0.259521949188665"
"Very Inexpensive","1988","Couple + C. GT 16 ","Female","128","0.236533404706523","0.200856176911716","0.27221063250133"
"Very Inexpensive","1988","Couple + C. LE and GT 16","Male","34","0.141606315104431","0.0970305580595332","0.186182072149329"
"Very Inexpensive","1988","Couple + C. LE and GT 16","Female","34","0.157543019082043","0.108732362130283","0.206353676033803"
"Inexpensive","1988","1-pers.-HH","Male","27","","",""
"Inexpensive","1988","1-pers.-HH","Female","58","0.39182573862609","0.313705608118834","0.469945869133347"
"Inexpensive","1988","(Married) couple without C. ","Male","171","0.387295009640393","0.341517715123078","0.433072304157708"
"Inexpensive","1988","(Married) couple without C. ","Female","171","0.387604267971075","0.341872794007056","0.433335741935094"
"Inexpensive","1988","Single parent ","Male","23","","",""
"Inexpensive","1988","Single parent ","Female","35","0.307927878237565","0.22243316458738","0.393422591887749"
"Inexpensive","1988","Couple + C. LE 16 ","Male","112","0.296028275914841","0.250369245538308","0.341687306291374"
"Inexpensive","1988","Couple + C. LE 16 ","Female","112","0.297898794955644","0.252216074501825","0.343581515409462"
"Inexpensive","1988","Couple + C. GT 16 ","Male","257","0.348403592422615","0.313625071234218","0.383182113611012"
"Inexpensive","1988","Couple + C. GT 16 ","Female","193","0.34861696318019","0.308609379722367","0.388624546638014"
"Inexpensive","1988","Couple + C. LE and GT 16","Male","78","0.354882106286446","0.293706855980078","0.416057356592814"
"Inexpensive","1988","Couple + C. LE and GT 16","Female","76","0.36759777451039","0.302998991566749","0.43219655745403"
"Reasonable","1988","1-pers.-HH","Male","28","","",""
"Reasonable","1988","1-pers.-HH","Female","46","0.327370671931406","0.252275806018403","0.402465537844408"
"Reasonable","1988","(Married) couple without C. ","Male","148","0.350530511074331","0.305692560669149","0.395368461479514"
"Reasonable","1988","(Married) couple without C. ","Female","146","0.346435797183994","0.301771515329711","0.391100079038277"
"Reasonable","1988","Single parent ","Male","41","0.465626018987546","0.361406748910056","0.569845289065036"
"Reasonable","1988","Single parent ","Female","48","0.410038856402596","0.318950410830513","0.501127301974679"
"Reasonable","1988","Couple + C. LE 16 ","Male","174","0.445839569478071","0.396124329492008","0.495554809464134"
"Reasonable","1988","Couple + C. LE 16 ","Female","176","0.448735383192574","0.39905408416037","0.498416682224779"
"Reasonable","1988","Couple + C. GT 16 ","Male","257","0.350483017774377","0.315656568061009","0.385309467487746"
"Reasonable","1988","Couple + C. GT 16 ","Female","183","0.33827489222111","0.29855358535503","0.37799619908719"
"Reasonable","1988","Couple + C. LE and GT 16","Male","104","0.437320602752907","0.373897916039688","0.500743289466126"
"Reasonable","1988","Couple + C. LE and GT 16","Female","85","0.395083159343494","0.329584365736835","0.460581952950152"
"Slightly Expensive","1988","1-pers.-HH","Male","3","","",""
"Slightly Expensive","1988","1-pers.-HH","Female","10","","",""
"Slightly Expensive","1988","(Married) couple without C. ","Male","29","","",""
"Slightly Expensive","1988","(Married) couple without C. ","Female","29","","",""
"Slightly Expensive","1988","Single parent ","Male","8","","",""
"Slightly Expensive","1988","Single parent ","Female","10","","",""
"Slightly Expensive","1988","Couple + C. LE 16 ","Male","39","0.10317515139826","0.0727506231673514","0.133599679629169"
"Slightly Expensive","1988","Couple + C. LE 16 ","Female","39","0.103178616643351","0.0727931749294026","0.1335640583573"
"Slightly Expensive","1988","Couple + C. GT 16 ","Male","41","0.0623146825306865","0.0446703916064186","0.0799589734549544"
"Slightly Expensive","1988","Couple + C. GT 16 ","Female","39","0.072242963489254","0.0505077082359064","0.0939782187426016"
"Slightly Expensive","1988","Couple + C. LE and GT 16","Male","17","","",""
"Slightly Expensive","1988","Couple + C. LE and GT 16","Female","15","","",""
"Too Expensive","1988","1-pers.-HH","Male","1","","",""
"Too Expensive","1988","1-pers.-HH","Female","7","","",""
"Too Expensive","1988","(Married) couple without C. ","Male","7","","",""
"Too Expensive","1988","(Married) couple without C. ","Female","7","","",""
"Too Expensive","1988","Single parent ","Male","","","",""
"Too Expensive","1988","Single parent ","Female","","","",""
"Too Expensive","1988","Couple + C. LE 16 ","Male","10","","",""
"Too Expensive","1988","Couple + C. LE 16 ","Female","10","","",""
"Too Expensive","1988","Couple + C. GT 16 ","Male","7","","",""
"Too Expensive","1988","Couple + C. GT 16 ","Female","2","","",""
"Too Expensive","1988","Couple + C. LE and GT 16","Male","2","","",""
"Too Expensive","1988","Couple + C. LE and GT 16","Female","4","","",""
"Very Inexpensive","1989","1-pers.-HH","Male","15","","",""
"Very Inexpensive","1989","1-pers.-HH","Female","39","0.234380502257585","0.168118356180059","0.30064264833511"
"Very Inexpensive","1989","(Married) couple without C. ","Male","112","0.263643815032886","0.221949945014677","0.305337685051094"
"Very Inexpensive","1989","(Married) couple without C. ","Female","115","0.266401882929928","0.224762729439227","0.30804103642063"
"Very Inexpensive","1989","Single parent ","Male","15","","",""
"Very Inexpensive","1989","Single parent ","Female","16","","",""
"Very Inexpensive","1989","Couple + C. LE 16 ","Male","54","0.142258461845037","0.106520289869751","0.177996633820323"
"Very Inexpensive","1989","Couple + C. LE 16 ","Female","53","0.142440483064539","0.106828506132","0.178052459997079"
"Very Inexpensive","1989","Couple + C. GT 16 ","Male","160","0.218959113891203","0.189123271243484","0.248794956538922"
"Very Inexpensive","1989","Couple + C. GT 16 ","Female","120","0.226895303366057","0.191732641140099","0.262057965592015"
"Very Inexpensive","1989","Couple + C. LE and GT 16","Male","34","0.185125243024475","0.131430926896991","0.238819559151959"
"Very Inexpensive","1989","Couple + C. LE and GT 16","Female","34","0.199333609682642","0.144241618259404","0.254425601105881"
"Inexpensive","1989","1-pers.-HH","Male","22","","",""
