"hlf0094","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Reasonable","1986","Employed","(Married) couple without C. ","151","0.388512530205083","0.340566888700716","0.43645817170945","3"
"Reasonable","1986","Employed","Couple + C. LE 16 ","252","0.441924907767296","0.401578287715961","0.48227152781863","3"
"Reasonable","1986","Employed","Single parent ","58","0.521772475991704","0.430475364398571","0.613069587584836","3"
"Reasonable","1986","Employed","1-pers.-HH","31","0.394225477096284","0.289093001590687","0.49935795260188","3"
"Reasonable","1986","Employed","Couple + C. LE and GT 16","177","0.407923587231347","0.361793621136128","0.454053553326566","3"
"Reasonable","1986","Employed","Couple + C. GT 16 ","283","0.372972510942868","0.338500319270027","0.407444702615709","3"
"Slightly Expensive","1986","Not Employed","(Married) couple without C. ","29","","","","4"
"Slightly Expensive","1986","Not Employed","1-pers.-HH","8","","","","4"
"Slightly Expensive","1986","Not Employed","Couple + C. LE 16 ","20","","","","4"
"Slightly Expensive","1986","Not Employed","Couple + C. LE and GT 16","26","","","","4"
"Slightly Expensive","1986","Not Employed","Couple + C. GT 16 ","28","","","","4"
"Slightly Expensive","1986","Not Employed","Single parent ","5","","","","4"
"Slightly Expensive","1986","Employed","(Married) couple without C. ","44","0.101631681274102","0.0719085467768705","0.131354815771333","4"
"Slightly Expensive","1986","Employed","1-pers.-HH","12","","","","4"
"Slightly Expensive","1986","Employed","Single parent ","12","","","","4"
"Slightly Expensive","1986","Employed","Couple + C. LE 16 ","82","0.130357241096843","0.103003003082932","0.157711479110754","4"
"Slightly Expensive","1986","Employed","Couple + C. GT 16 ","78","0.105689920118219","0.083774588788226","0.127605251448213","4"
"Slightly Expensive","1986","Employed","Couple + C. LE and GT 16","49","0.104020758108466","0.0753648729716821","0.132676643245249","4"
"Too Expensive","1986","Not Employed","(Married) couple without C. ","7","","","","5"
"Too Expensive","1986","Not Employed","1-pers.-HH","3","","","","5"
"Too Expensive","1986","Not Employed","Single parent ","1","","","","5"
"Too Expensive","1986","Employed","(Married) couple without C. ","11","","","","5"
"Too Expensive","1986","Not Employed","Couple + C. LE 16 ","5","","","","5"
"Too Expensive","1986","Not Employed","Couple + C. GT 16 ","14","","","","5"
"Too Expensive","1986","Not Employed","Couple + C. LE and GT 16","7","","","","5"
"Too Expensive","1986","Employed","1-pers.-HH","2","","","","5"
"Too Expensive","1986","Employed","Single parent ","1","","","","5"
"Too Expensive","1986","Employed","Couple + C. LE 16 ","23","","","","5"
"Too Expensive","1986","Employed","Couple + C. GT 16 ","26","","","","5"
"Too Expensive","1986","Employed","Couple + C. LE and GT 16","12","","","","5"
"Very Inexpensive","1986","Not Employed","1-pers.-HH","35","0.264907877062578","0.191014395699076","0.338801358426079","1"
"Very Inexpensive","1986","Not Employed","(Married) couple without C. ","114","0.231907803161114","0.194423627201504","0.269391979120723","1"
"Very Inexpensive","1986","Not Employed","Single parent ","19","","","","1"
"Very Inexpensive","1986","Not Employed","Couple + C. LE 16 ","32","0.157213950189602","0.108894269753927","0.205533630625277","1"
"Very Inexpensive","1986","Not Employed","Couple + C. GT 16 ","102","0.233867632232176","0.193905705358841","0.273829559105512","1"
"Very Inexpensive","1986","Not Employed","Couple + C. LE and GT 16","34","0.145009349406228","0.100181015008998","0.189837683803458","1"
"Very Inexpensive","1986","Employed","1-pers.-HH","11","","","","1"
"Very Inexpensive","1986","Employed","(Married) couple without C. ","64","0.157400242856961","0.121576892420614","0.193223593293308","1"
"Very Inexpensive","1986","Employed","Single parent ","18","","","","1"
"Very Inexpensive","1986","Employed","Couple + C. LE 16 ","73","0.136256403641255","0.108385087339517","0.164127719942992","1"
"Very Inexpensive","1986","Employed","Couple + C. GT 16 ","128","0.162279641498935","0.135997015927868","0.188562267070002","1"
"Very Inexpensive","1986","Employed","Couple + C. LE and GT 16","57","0.125759145109207","0.0946355194189523","0.156882770799461","1"
"Inexpensive","1987","Not Employed","(Married) couple without C. ","216","0.452106811492665","0.407812730294153","0.496400892691177","2"
"Inexpensive","1987","Not Employed","1-pers.-HH","56","0.41662292393509","0.334069694282432","0.499176153587748","2"
"Inexpensive","1987","Not Employed","Single parent ","21","","","","2"
"Inexpensive","1987","Not Employed","Couple + C. LE 16 ","71","0.375179069619389","0.307396638566037","0.442961500672741","2"
"Inexpensive","1987","Not Employed","Couple + C. GT 16 ","156","0.377007912705756","0.331147712859777","0.422868112551735","2"
"Inexpensive","1987","Not Employed","Couple + C. LE and GT 16","48","0.26272433012019","0.197886786119224","0.327561874121157","2"
"Inexpensive","1987","Employed","1-pers.-HH","28","","","","2"
"Inexpensive","1987","Employed","(Married) couple without C. ","147","0.337972446900611","0.293824808502344","0.382120085298879","2"
"Inexpensive","1987","Employed","Single parent ","37","0.301211153957026","0.219465642969814","0.382956664944238","2"
"Inexpensive","1987","Employed","Couple + C. LE 16 ","151","0.274070239435128","0.237925225356784","0.310215253513472","2"
"Inexpensive","1987","Employed","Couple + C. GT 16 ","316","0.375271111873258","0.341947196320841","0.408595027425674","2"
"Inexpensive","1987","Employed","Couple + C. LE and GT 16","122","0.304911446509722","0.259511381397843","0.350311511621601","2"
"Reasonable","1987","Not Employed","(Married) couple without C. ","139","0.289339375171182","0.248983003041062","0.329695747301301","3"
"Reasonable","1987","Not Employed","1-pers.-HH","39","0.301860112853746","0.224989224816125","0.378731000891368","3"
"Reasonable","1987","Not Employed","Couple + C. LE 16 ","69","0.361277143624257","0.294026487266037","0.428527799982477","3"
"Reasonable","1987","Not Employed","Couple + C. GT 16 ","125","0.297686721780216","0.254418941423092","0.340954502137341","3"
"Reasonable","1987","Not Employed","Couple + C. LE and GT 16","87","0.507293624042034","0.433641504228941","0.580945743855127","3"
"Reasonable","1987","Not Employed","Single parent ","32","0.430276864715816","0.320399884467313","0.540153844964319","3"
"Reasonable","1987","Employed","(Married) couple without C. ","163","0.374755498715652","0.329577421460044","0.41993357597126","3"
"Reasonable","1987","Employed","1-pers.-HH","28","","","","3"
"Reasonable","1987","Employed","Single parent ","58","0.486155676420864","0.397100561587592","0.575210791254136","3"
"Reasonable","1987","Employed","Couple + C. LE 16 ","262","0.43759888833116","0.397398398188265","0.477799378474054","3"
"Reasonable","1987","Employed","Couple + C. GT 16 ","268","0.346914563123184","0.314155314700351","0.379673811546018","3"
"Reasonable","1987","Employed","Couple + C. LE and GT 16","163","0.413112589389611","0.364554548666056","0.461670630113166","3"
"Slightly Expensive","1987","Not Employed","(Married) couple without C. ","14","","","","4"
"Slightly Expensive","1987","Not Employed","1-pers.-HH","8","","","","4"
"Slightly Expensive","1987","Not Employed","Couple + C. LE 16 ","21","","","","4"
"Slightly Expensive","1987","Not Employed","Couple + C. GT 16 ","37","0.0776568524119885","0.0523314940437057","0.102982210780271","4"
"Slightly Expensive","1987","Not Employed","Couple + C. LE and GT 16","18","","","","4"
"Slightly Expensive","1987","Not Employed","Single parent ","5","","","","4"
"Slightly Expensive","1987","Employed","(Married) couple without C. ","48","0.0927500459890113","0.0656762382484881","0.119823853729535","4"
"Slightly Expensive","1987","Employed","1-pers.-HH","9","","","","4"
"Slightly Expensive","1987","Employed","Single parent ","7","","","","4"
"Slightly Expensive","1987","Employed","Couple + C. LE 16 ","79","0.127317367306579","0.100306274857209","0.154328459755949","4"
"Slightly Expensive","1987","Employed","Couple + C. GT 16 ","65","0.0761448165918778","0.0578907434529745","0.0943988897307811","4"
"Slightly Expensive","1987","Employed","Couple + C. LE and GT 16","39","0.0921353118363901","0.0636137594123898","0.12065686426039","4"
"Too Expensive","1987","Not Employed","1-pers.-HH","4","","","","5"
"Too Expensive","1987","Not Employed","(Married) couple without C. ","7","","","","5"
"Too Expensive","1987","Not Employed","Single parent ","","","","","5"
"Too Expensive","1987","Employed","(Married) couple without C. ","11","","","","5"
"Too Expensive","1987","Not Employed","Couple + C. LE 16 ","9","","","","5"
"Too Expensive","1987","Not Employed","Couple + C. GT 16 ","24","","","","5"
"Too Expensive","1987","Not Employed","Couple + C. LE and GT 16","2","","","","5"
"Too Expensive","1987","Employed","1-pers.-HH","2","","","","5"
"Too Expensive","1987","Employed","Single parent ","","","","","5"
"Too Expensive","1987","Employed","Couple + C. LE 16 ","18","","","","5"
"Too Expensive","1987","Employed","Couple + C. GT 16 ","21","","","","5"
"Too Expensive","1987","Employed","Couple + C. LE and GT 16","4","","","","5"
"Very Inexpensive","1987","Not Employed","1-pers.-HH","30","0.194450583065642","0.128177293774935","0.26072387235635","1"
"Very Inexpensive","1987","Not Employed","(Married) couple without C. ","109","0.219848771614339","0.182991036740578","0.256706506488101","1"
"Very Inexpensive","1987","Not Employed","Single parent ","20","","","","1"
"Very Inexpensive","1987","Not Employed","Couple + C. LE 16 ","26","","","","1"
"Very Inexpensive","1987","Not Employed","Couple + C. GT 16 ","87","0.192077494171387","0.154800358125675","0.229354630217098","1"
"Very Inexpensive","1987","Not Employed","Couple + C. LE and GT 16","22","","","","1"
"Very Inexpensive","1987","Employed","1-pers.-HH","20","","","","1"
"Very Inexpensive","1987","Employed","(Married) couple without C. ","72","0.171812045255673","0.136605772033762","0.207018318477583","1"
"Very Inexpensive","1987","Employed","Single parent ","19","","","","1"
"Very Inexpensive","1987","Employed","Couple + C. LE 16 ","75","0.127282247740548","0.100274337528081","0.154290157953015","1"
"Very Inexpensive","1987","Employed","Couple + C. GT 16 ","141","0.173737574198989","0.147661419883793","0.199813728514184","1"
"Very Inexpensive","1987","Employed","Couple + C. LE and GT 16","67","0.180495798417644","0.142567908317801","0.218423688517487","1"
"Inexpensive","1988","Not Employed","(Married) couple without C. ","181","0.404377729170861","0.35872826496464","0.450027193377081","2"
"Inexpensive","1988","Not Employed","1-pers.-HH","57","0.419748153087599","0.336804855147943","0.502691451027255","2"
"Inexpensive","1988","Not Employed","Single parent ","22","","","","2"
"Inexpensive","1988","Not Employed","Couple + C. LE 16 ","59","0.336562134580821","0.268099233152461","0.405025036009182","2"
"Inexpensive","1988","Not Employed","Couple + C. GT 16 ","147","0.340876720788901","0.296384217285556","0.385369224292246","2"
"Inexpensive","1988","Not Employed","Couple + C. LE and GT 16","45","0.353490251223892","0.273730313288549","0.433250189159234","2"
"Inexpensive","1988","Employed","1-pers.-HH","28","","","","2"
"Inexpensive","1988","Employed","(Married) couple without C. ","161","0.367368047564403","0.321642343093989","0.413093752034816","2"
"Inexpensive","1988","Employed","Single parent ","36","0.244561495114832","0.172847792359221","0.316275197870444","2"
"Inexpensive","1988","Employed","Couple + C. LE 16 ","165","0.284801295011246","0.248260026247736","0.321342563774756","2"
"Inexpensive","1988","Employed","Couple + C. LE and GT 16","109","0.363947402240988","0.310474503975229","0.417420300506747","2"
"Inexpensive","1988","Employed","Couple + C. GT 16 ","303","0.352519378503068","0.320017090806548","0.385021666199587","2"
"Reasonable","1988","Not Employed","(Married) couple without C. ","137","0.32418133812275","0.280643616188725","0.367719060056776","3"
"Reasonable","1988","Not Employed","1-pers.-HH","37","0.300254649601965","0.223218686188727","0.377290613015203","3"
"Reasonable","1988","Not Employed","Single parent ","22","","","","3"
"Reasonable","1988","Not Employed","Couple + C. LE 16 ","75","0.405153552979499","0.334026501123191","0.476280604835807","3"
"Reasonable","1988","Not Employed","Couple + C. GT 16 ","156","0.343700774075122","0.299120159881645","0.388281388268599","3"
"Reasonable","1988","Not Employed","Couple + C. LE and GT 16","54","0.371008216790418","0.290410489078076","0.45160594450276","3"
"Reasonable","1988","Employed","1-pers.-HH","37","0.453319298185049","0.347489588764971","0.559149007605126","3"
"Reasonable","1988","Employed","(Married) couple without C. ","157","0.377370126792983","0.331393946272818","0.423346307313148","3"
"Reasonable","1988","Employed","Single parent ","67","0.487052641739903","0.403659007945086","0.570446275534719","3"
"Reasonable","1988","Employed","Couple + C. LE 16 ","275","0.460187287282334","0.419833142707771","0.500541431856897","3"
"Reasonable","1988","Employed","Couple + C. GT 16 ","284","0.346193141247484","0.31382684457057","0.378559437924399","3"
"Reasonable","1988","Employed","Couple + C. LE and GT 16","135","0.436963823500882","0.381837530622087","0.492090116379677","3"
"Slightly Expensive","1988","Not Employed","(Married) couple without C. ","20","","","","4"
"Slightly Expensive","1988","Not Employed","1-pers.-HH","8","","","","4"
"Slightly Expensive","1988","Not Employed","Single parent ","3","","","","4"
"Slightly Expensive","1988","Not Employed","Couple + C. LE 16 ","15","","","","4"
"Slightly Expensive","1988","Not Employed","Couple + C. GT 16 ","29","","","","4"
"Slightly Expensive","1988","Not Employed","Couple + C. LE and GT 16","12","","","","4"
"Slightly Expensive","1988","Employed","(Married) couple without C. ","38","0.0880262870436938","0.0611523370028721","0.114900237084516","4"
"Slightly Expensive","1988","Employed","1-pers.-HH","5","","","","4"
"Slightly Expensive","1988","Employed","Single parent ","15","","","","4"
"Slightly Expensive","1988","Employed","Couple + C. LE 16 ","63","0.109954920445163","0.0846262368317865","0.135283604058539","4"
"Slightly Expensive","1988","Employed","Couple + C. LE and GT 16","20","","","","4"
"Slightly Expensive","1988","Employed","Couple + C. GT 16 ","51","0.0653267748280921","0.04851612295145","0.0821374267047342","4"
"Too Expensive","1988","Not Employed","1-pers.-HH","5","","","","5"
"Too Expensive","1988","Not Employed","(Married) couple without C. ","5","","","","5"
"Too Expensive","1988","Not Employed","Single parent ","","","","","5"
"Too Expensive","1988","Not Employed","Couple + C. LE 16 ","3","","","","5"
"Too Expensive","1988","Not Employed","Couple + C. GT 16 ","1","","","","5"
"Too Expensive","1988","Not Employed","Couple + C. LE and GT 16","2","","","","5"
"Too Expensive","1988","Employed","1-pers.-HH","3","","","","5"
"Too Expensive","1988","Employed","(Married) couple without C. ","9","","","","5"
"Too Expensive","1988","Employed","Single parent ","","","","","5"
"Too Expensive","1988","Employed","Couple + C. LE 16 ","17","","","","5"
"Too Expensive","1988","Employed","Couple + C. GT 16 ","8","","","","5"
"Too Expensive","1988","Employed","Couple + C. LE and GT 16","4","","","","5"
"Very Inexpensive","1988","Not Employed","1-pers.-HH","29","","","","1"
"Very Inexpensive","1988","Not Employed","(Married) couple without C. ","101","0.222360631956363","0.183681682032724","0.261039581880002","1"
"Very Inexpensive","1988","Not Employed","Single parent ","15","","","","1"
"Very Inexpensive","1988","Not Employed","Couple + C. LE 16 ","31","0.166655293401705","0.11266142508952","0.220649161713891","1"
"Very Inexpensive","1988","Not Employed","Couple + C. GT 16 ","103","0.243583828873591","0.20329269632102","0.283874961426162","1"
"Very Inexpensive","1988","Not Employed","Couple + C. LE and GT 16","25","","","","1"
"Very Inexpensive","1988","Employed","1-pers.-HH","12","","","","1"
