"hlf0094","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Slightly Expensive","1984","higher vocational","Male","19","","","","4"
"Slightly Expensive","1984","higher vocational","Female","15","","","","4"
"Slightly Expensive","1984","higher education","Male","18","","","","4"
"Slightly Expensive","1984","higher education","Female","7","","","","4"
"Too Expensive","1984","in school","Male","3","","","","5"
"Too Expensive","1984","in school","Female","1","","","","5"
"Too Expensive","1984","inadequately","Male","1","","","","5"
"Too Expensive","1984","inadequately","Female","","","","","5"
"Too Expensive","1984","general elemantary","Male","12","","","","5"
"Too Expensive","1984","general elemantary","Female","25","","","","5"
"Too Expensive","1984","middle vocational","Male","37","0.0281786641987437","0.018982826101509","0.0373745022959783","5"
"Too Expensive","1984","middle vocational","Female","25","","","","5"
"Too Expensive","1984","vocational + Abi","Male","2","","","","5"
"Too Expensive","1984","vocational + Abi","Female","2","","","","5"
"Too Expensive","1984","higher vocational","Male","6","","","","5"
"Too Expensive","1984","higher vocational","Female","2","","","","5"
"Too Expensive","1984","higher education","Male","7","","","","5"
"Too Expensive","1984","higher education","Female","4","","","","5"
"Very Inexpensive","1984","in school","Male","11","","","","1"
"Very Inexpensive","1984","in school","Female","13","","","","1"
"Very Inexpensive","1984","inadequately","Male","4","","","","1"
"Very Inexpensive","1984","inadequately","Female","4","","","","1"
"Very Inexpensive","1984","general elemantary","Male","78","0.221849127315102","0.179048062609917","0.264650192020288","1"
"Very Inexpensive","1984","general elemantary","Female","254","0.288227036683107","0.258895254168138","0.317558819198076","1"
"Very Inexpensive","1984","middle vocational","Male","340","0.277812481927492","0.252921686980859","0.302703276874124","1"
"Very Inexpensive","1984","middle vocational","Female","232","0.244993921172115","0.218148976571212","0.271838865773017","1"
"Very Inexpensive","1984","vocational + Abi","Male","11","","","","1"
"Very Inexpensive","1984","vocational + Abi","Female","5","","","","1"
"Very Inexpensive","1984","higher vocational","Male","47","0.217953763481591","0.163022874751461","0.272884652211721","1"
"Very Inexpensive","1984","higher vocational","Female","35","0.334703482727883","0.247310448026902","0.422096517428864","1"
"Very Inexpensive","1984","higher education","Male","52","0.215005335182821","0.163874813774299","0.266135856591343","1"
"Very Inexpensive","1984","higher education","Female","27","","","","1"
"Inexpensive","1985","in school","Male","21","","","","2"
"Inexpensive","1985","in school","Female","14","","","","2"
"Inexpensive","1985","inadequately","Male","8","","","","2"
"Inexpensive","1985","inadequately","Female","10","","","","2"
"Inexpensive","1985","general elemantary","Male","103","0.313764603146234","0.263003142935716","0.364526063356751","2"
"Inexpensive","1985","general elemantary","Female","271","0.330127747758026","0.298307458779078","0.361948036736974","2"
"Inexpensive","1985","middle vocational","Male","369","0.324995580626013","0.298146286576649","0.351844874675378","2"
"Inexpensive","1985","middle vocational","Female","295","0.315758744005657","0.286107397847595","0.345410090163719","2"
"Inexpensive","1985","vocational + Abi","Male","8","","","","2"
"Inexpensive","1985","vocational + Abi","Female","8","","","","2"
"Inexpensive","1985","higher vocational","Male","54","0.252795157834104","0.193731459422293","0.311858856245916","2"
"Inexpensive","1985","higher vocational","Female","26","","","","2"
"Inexpensive","1985","higher education","Male","67","0.289480886779668","0.232458842377165","0.346502931182171","2"
"Inexpensive","1985","higher education","Female","31","0.270083824851412","0.185955549906605","0.354212099796219","2"
"Reasonable","1985","in school","Male","27","","","","3"
"Reasonable","1985","in school","Female","9","","","","3"
"Reasonable","1985","inadequately","Male","15","","","","3"
"Reasonable","1985","inadequately","Female","16","","","","3"
"Reasonable","1985","general elemantary","Male","110","0.3312076485653","0.279721381825074","0.382693915305526","3"
"Reasonable","1985","general elemantary","Female","286","0.338411678976534","0.306394453317597","0.370428904635472","3"
"Reasonable","1985","middle vocational","Male","403","0.331643540751805","0.304654920544263","0.358632160959347","3"
"Reasonable","1985","middle vocational","Female","333","0.337652704012795","0.307485150366044","0.367820257659546","3"
"Reasonable","1985","vocational + Abi","Male","27","","","","3"
"Reasonable","1985","vocational + Abi","Female","10","","","","3"
"Reasonable","1985","higher vocational","Male","81","0.396729508852891","0.330245114469463","0.463213903236318","3"
"Reasonable","1985","higher vocational","Female","44","0.431559292877724","0.336368653633857","0.52674993212159","3"
"Reasonable","1985","higher education","Male","99","0.411447367812498","0.349575282785819","0.473319452839178","3"
"Reasonable","1985","higher education","Female","40","0.378561927332161","0.28666021619564","0.470463638468681","3"
"Slightly Expensive","1985","in school","Male","5","","","","4"
"Slightly Expensive","1985","in school","Female","3","","","","4"
"Slightly Expensive","1985","inadequately","Male","4","","","","4"
"Slightly Expensive","1985","inadequately","Female","7","","","","4"
"Slightly Expensive","1985","general elemantary","Male","27","","","","4"
"Slightly Expensive","1985","general elemantary","Female","55","0.0597222594765107","0.0436874684942408","0.0757570504587806","4"
"Slightly Expensive","1985","middle vocational","Male","97","0.0752421774524016","0.0601210031378664","0.0903633517669368","4"
"Slightly Expensive","1985","higher vocational","Female","10","","","","4"
"Slightly Expensive","1985","higher education","Male","18","","","","4"
"Slightly Expensive","1985","higher education","Female","12","","","","4"
"Slightly Expensive","1985","middle vocational","Female","85","0.0876415094804552","0.0696030362038483","0.105679982757062","4"
"Slightly Expensive","1985","vocational + Abi","Male","4","","","","4"
"Slightly Expensive","1985","vocational + Abi","Female","2","","","","4"
"Slightly Expensive","1985","higher vocational","Male","19","","","","4"
"Too Expensive","1985","higher vocational","Female","2","","","","5"
"Too Expensive","1985","higher education","Male","9","","","","5"
"Too Expensive","1985","higher education","Female","2","","","","5"
"Too Expensive","1985","in school","Male","2","","","","5"
"Too Expensive","1985","in school","Female","","","","","5"
"Too Expensive","1985","inadequately","Male","2","","","","5"
"Too Expensive","1985","inadequately","Female","","","","","5"
"Too Expensive","1985","vocational + Abi","Female","2","","","","5"
"Too Expensive","1985","higher vocational","Male","3","","","","5"
"Too Expensive","1985","general elemantary","Male","10","","","","5"
"Too Expensive","1985","general elemantary","Female","16","","","","5"
"Too Expensive","1985","middle vocational","Male","27","","","","5"
"Too Expensive","1985","middle vocational","Female","25","","","","5"
"Too Expensive","1985","vocational + Abi","Male","","","","","5"
"Very Inexpensive","1985","in school","Male","8","","","","1"
"Very Inexpensive","1985","in school","Female","9","","","","1"
"Very Inexpensive","1985","inadequately","Male","4","","","","1"
"Very Inexpensive","1985","inadequately","Female","1","","","","1"
"Very Inexpensive","1985","general elemantary","Male","71","0.242346291962075","0.195470443575503","0.289222140348646","1"
"Very Inexpensive","1985","general elemantary","Female","211","0.253315456211109","0.223887063961595","0.282743848460622","1"
"Very Inexpensive","1985","middle vocational","Male","273","0.243889663735853","0.21927294744472","0.268506380026987","1"
"Very Inexpensive","1985","middle vocational","Female","206","0.23395732150433","0.206951530817782","0.260963112190879","1"
"Very Inexpensive","1985","vocational + Abi","Male","12","","","","1"
"Very Inexpensive","1985","vocational + Abi","Female","7","","","","1"
"Very Inexpensive","1985","higher vocational","Male","51","0.253269885931716","0.194169538514397","0.312370233349036","1"
"Very Inexpensive","1985","higher vocational","Female","22","","","","1"
"Very Inexpensive","1985","higher education","Male","50","0.20213120110892","0.151638643041181","0.252623759176659","1"
"Very Inexpensive","1985","higher education","Female","22","","","","1"
"Inexpensive","1986","in school","Male","17","","","","2"
"Inexpensive","1986","in school","Female","10","","","","2"
"Inexpensive","1986","inadequately","Male","7","","","","2"
"Inexpensive","1986","inadequately","Female","10","","","","2"
"Inexpensive","1986","general elemantary","Male","110","0.345743544754139","0.295189060890807","0.396298028617472","2"
"Inexpensive","1986","general elemantary","Female","262","0.332723868546703","0.300434004772019","0.365013732321387","2"
"Inexpensive","1986","middle vocational","Male","371","0.320214791658768","0.29376205014021","0.346667533177327","2"
"Inexpensive","1986","middle vocational","Female","298","0.312071416029867","0.283209233623672","0.340933598436061","2"
"Inexpensive","1986","vocational + Abi","Male","17","","","","2"
"Inexpensive","1986","vocational + Abi","Female","9","","","","2"
"Inexpensive","1986","higher vocational","Male","53","0.256856536137437","0.195535084480633","0.318177987794241","2"
"Inexpensive","1986","higher vocational","Female","34","0.308462860341182","0.223680625419518","0.393245095262847","2"
"Inexpensive","1986","higher education","Male","70","0.27004116769559","0.216383179041928","0.323699156349252","2"
"Inexpensive","1986","higher education","Female","29","","","","2"
"Reasonable","1986","in school","Male","28","","","","3"
"Reasonable","1986","in school","Female","16","","","","3"
"Reasonable","1986","inadequately","Male","16","","","","3"
"Reasonable","1986","inadequately","Female","19","","","","3"
"Reasonable","1986","general elemantary","Male","134","0.375950806366275","0.324465469813861","0.42743614291869","3"
"Reasonable","1986","general elemantary","Female","311","0.365564637280973","0.332562108449515","0.398567166112431","3"
"Reasonable","1986","middle vocational","Male","455","0.380169061655748","0.352646481275771","0.407691642035724","3"
"Reasonable","1986","middle vocational","Female","383","0.380959904768986","0.350709616467772","0.4112101930702","3"
"Reasonable","1986","vocational + Abi","Male","23","","","","3"
"Reasonable","1986","vocational + Abi","Female","13","","","","3"
"Reasonable","1986","higher vocational","Male","77","0.402262056805618","0.333437926413842","0.471086187197393","3"
"Reasonable","1986","higher vocational","Female","45","0.419775762089505","0.329181169116846","0.510370355062164","3"
"Reasonable","1986","higher education","Male","116","0.443274292930085","0.383236167003499","0.503312418856672","3"
"Reasonable","1986","higher education","Female","43","0.385969168127515","0.294155442729795","0.477782893525236","3"
"Slightly Expensive","1986","in school","Male","10","","","","4"
"Slightly Expensive","1986","in school","Female","2","","","","4"
"Slightly Expensive","1986","inadequately","Male","3","","","","4"
"Slightly Expensive","1986","inadequately","Female","3","","","","4"
"Slightly Expensive","1986","general elemantary","Male","28","","","","4"
"Slightly Expensive","1986","general elemantary","Female","56","0.0633008070342357","0.0466138888853265","0.079987725183145","4"
"Slightly Expensive","1986","middle vocational","Male","110","0.0851006608644259","0.0692802680863491","0.100921053642503","4"
"Slightly Expensive","1986","middle vocational","Female","110","0.102332142997946","0.0834524744504341","0.121211811545458","4"
"Slightly Expensive","1986","vocational + Abi","Male","6","","","","4"
"Slightly Expensive","1986","vocational + Abi","Female","7","","","","4"
"Slightly Expensive","1986","higher vocational","Male","28","","","","4"
"Slightly Expensive","1986","higher vocational","Female","12","","","","4"
"Slightly Expensive","1986","higher education","Male","28","","","","4"
"Slightly Expensive","1986","higher education","Female","15","","","","4"
"Too Expensive","1986","in school","Male","2","","","","5"
"Too Expensive","1986","in school","Female","1","","","","5"
"Too Expensive","1986","inadequately","Male","2","","","","5"
"Too Expensive","1986","inadequately","Female","","","","","5"
"Too Expensive","1986","general elemantary","Male","11","","","","5"
"Too Expensive","1986","general elemantary","Female","23","","","","5"
"Too Expensive","1986","middle vocational","Male","40","0.0290861089120792","0.0195582063156232","0.0386140115085352","5"
"Too Expensive","1986","middle vocational","Female","24","","","","5"
"Too Expensive","1986","vocational + Abi","Male","1","","","","5"
"Too Expensive","1986","vocational + Abi","Female","3","","","","5"
"Too Expensive","1986","higher vocational","Male","2","","","","5"
"Too Expensive","1986","higher vocational","Female","4","","","","5"
"Too Expensive","1986","higher education","Male","3","","","","5"
"Too Expensive","1986","higher education","Female","2","","","","5"
"Very Inexpensive","1986","in school","Male","11","","","","1"
"Very Inexpensive","1986","in school","Female","10","","","","1"
"Very Inexpensive","1986","inadequately","Male","3","","","","1"
"Very Inexpensive","1986","inadequately","Female","4","","","","1"
"Very Inexpensive","1986","general elemantary","Male","57","0.177676712164152","0.137046865640237","0.218306558688068","1"
"Very Inexpensive","1986","general elemantary","Female","166","0.213418464681324","0.18534090826902","0.241496021093629","1"
"Very Inexpensive","1986","middle vocational","Male","219","0.185429376908979","0.163394137184657","0.207464616633301","1"
"Very Inexpensive","1986","middle vocational","Female","175","0.183172519736601","0.159077581154566","0.207267458318637","1"
"Very Inexpensive","1986","vocational + Abi","Male","4","","","","1"
"Very Inexpensive","1986","vocational + Abi","Female","5","","","","1"
"Very Inexpensive","1986","higher vocational","Male","35","0.192868617149391","0.137491073817802","0.248246160480981","1"
"Very Inexpensive","1986","higher vocational","Female","19","","","","1"
"Very Inexpensive","1986","higher education","Male","46","0.170892954618589","0.125400685585612","0.216385223651567","1"
"Very Inexpensive","1986","higher education","Female","19","","","","1"
"Inexpensive","1987","in school","Male","12","","","","2"
"Inexpensive","1987","in school","Female","14","","","","2"
"Inexpensive","1987","inadequately","Male","9","","","","2"
"Inexpensive","1987","inadequately","Female","12","","","","2"
"Inexpensive","1987","general elemantary","Male","108","0.315403807531133","0.265495059017313","0.365312556044954","2"
"Inexpensive","1987","general elemantary","Female","300","0.389764218006137","0.355905637372279","0.423622798639994","2"
"Inexpensive","1987","middle vocational","Male","426","0.350723334964979","0.323813449317309","0.377633220612649","2"
"Inexpensive","1987","middle vocational","Female","333","0.347602419732068","0.317968450800169","0.377236388663967","2"
"Inexpensive","1987","vocational + Abi","Male","18","","","","2"
"Inexpensive","1987","vocational + Abi","Female","6","","","","2"
"Inexpensive","1987","higher vocational","Male","61","0.326906114878553","0.259493532562028","0.394318697195079","2"
"Inexpensive","1987","higher vocational","Female","36","0.329837865244367","0.242765713271092","0.416910017217643","2"
"Inexpensive","1987","higher education","Male","78","0.317895080483141","0.261401990243728","0.374388170722554","2"
"Inexpensive","1987","higher education","Female","29","","","","2"
"Reasonable","1987","in school","Male","19","","","","3"
"Reasonable","1987","in school","Female","17","","","","3"
"Reasonable","1987","inadequately","Male","15","","","","3"
"Reasonable","1987","inadequately","Female","19","","","","3"
"Reasonable","1987","general elemantary","Male","130","0.393768444874838","0.341291843714678","0.446245046034998","3"
"Reasonable","1987","general elemantary","Female","274","0.338135460891871","0.305292005185446","0.370978916598296","3"
"Reasonable","1987","middle vocational","Male","430","0.361647946373483","0.334553033710266","0.388742859036699","3"
"Reasonable","1987","middle vocational","Female","365","0.374506944463948","0.344388437532649","0.404625451395248","3"
"Reasonable","1987","vocational + Abi","Male","22","","","","3"
"Reasonable","1987","vocational + Abi","Female","23","","","","3"
"Reasonable","1987","higher vocational","Male","68","0.379841765975027","0.310091762387128","0.449591769562927","3"
"Reasonable","1987","higher vocational","Female","44","0.422518971156793","0.331037940840228","0.514000001473359","3"
"Reasonable","1987","higher education","Male","110","0.405761769087139","0.346189561444294","0.465333976729984","3"
"Reasonable","1987","higher education","Female","39","0.355430339785731","0.264311677234472","0.44654900233699","3"
"Slightly Expensive","1987","in school","Male","14","","","","4"
"Slightly Expensive","1987","in school","Female","4","","","","4"
"Slightly Expensive","1987","inadequately","Male","4","","","","4"
"Slightly Expensive","1987","inadequately","Female","2","","","","4"
"Slightly Expensive","1987","general elemantary","Male","22","","","","4"
"Slightly Expensive","1987","general elemantary","Female","52","0.0601670316959067","0.0436579254962074","0.0766761378956059","4"
"Slightly Expensive","1987","middle vocational","Male","113","0.0862249001924401","0.0703960038976151","0.102053796487265","4"
"Slightly Expensive","1987","middle vocational","Female","102","0.0846541980461217","0.0673317566029998","0.101976639489244","4"
"Slightly Expensive","1987","vocational + Abi","Male","5","","","","4"
"Slightly Expensive","1987","vocational + Abi","Female","1","","","","4"
"Slightly Expensive","1987","higher vocational","Male","18","","","","4"
"Slightly Expensive","1987","higher vocational","Female","11","","","","4"
"Slightly Expensive","1987","higher education","Male","19","","","","4"
"Slightly Expensive","1987","higher education","Female","9","","","","4"
"Too Expensive","1987","in school","Male","3","","","","5"
"Too Expensive","1987","higher vocational","Female","3","","","","5"
"Too Expensive","1987","general elemantary","Male","12","","","","5"
"Too Expensive","1987","general elemantary","Female","22","","","","5"
"Too Expensive","1987","higher education","Male","7","","","","5"
"Too Expensive","1987","higher education","Female","4","","","","5"
"Too Expensive","1987","in school","Female","1","","","","5"
"Too Expensive","1987","inadequately","Male","","","","","5"
"Too Expensive","1987","inadequately","Female","1","","","","5"
"Too Expensive","1987","middle vocational","Male","24","","","","5"
"Too Expensive","1987","middle vocational","Female","25","","","","5"
"Too Expensive","1987","vocational + Abi","Male","1","","","","5"
"Too Expensive","1987","vocational + Abi","Female","1","","","","5"
"Too Expensive","1987","higher vocational","Male","9","","","","5"
"Very Inexpensive","1987","in school","Male","7","","","","1"
"Very Inexpensive","1987","in school","Female","7","","","","1"
"Very Inexpensive","1987","inadequately","Male","4","","","","1"
"Very Inexpensive","1987","inadequately","Female","2","","","","1"
"Very Inexpensive","1987","general elemantary","Male","61","0.201109087943484","0.158057858057889","0.244160317829079","1"
"Very Inexpensive","1987","general elemantary","Female","149","0.188406221478645","0.161258342480559","0.215554100476731","1"
"Very Inexpensive","1987","middle vocational","Male","215","0.182414806882523","0.160637148719621","0.204192465045425","1"
"Very Inexpensive","1987","middle vocational","Female","167","0.169003324244476","0.145682734884697","0.192323913604256","1"
"Very Inexpensive","1987","vocational + Abi","Male","8","","","","1"
"Very Inexpensive","1987","vocational + Abi","Female","6","","","","1"
"Very Inexpensive","1987","higher vocational","Male","30","0.154824396028512","0.102838588746031","0.206810203310992","1"
"Very Inexpensive","1987","higher vocational","Female","18","","","","1"
"Very Inexpensive","1987","higher education","Male","47","0.18298793693985","0.136079247216357","0.229896626663342","1"
"Very Inexpensive","1987","higher education","Female","25","","","","1"
"Inexpensive","1988","in school","Male","10","","","","2"
"Inexpensive","1988","in school","Female","10","","","","2"
"Inexpensive","1988","inadequately","Male","11","","","","2"
"Inexpensive","1988","inadequately","Female","10","","","","2"
"Inexpensive","1988","general elemantary","Male","98","0.375410116409551","0.320431928962196","0.430388303856906","2"
"Inexpensive","1988","general elemantary","Female","265","0.379773146342475","0.344372034556796","0.415174258128154","2"
"Inexpensive","1988","middle vocational","Male","415","0.351855451278491","0.324397817685382","0.379313084871599","2"
"Inexpensive","1988","middle vocational","Female","328","0.349491960942057","0.319155849291919","0.379828072592195","2"
"Inexpensive","1988","vocational + Abi","Male","21","","","","2"
"Inexpensive","1988","vocational + Abi","Female","11","","","","2"
"Inexpensive","1988","higher vocational","Male","65","0.357920052483177","0.288081316208935","0.427758788757419","2"
"Inexpensive","1988","higher vocational","Female","30","0.261754999105795","0.177673355755779","0.345836642455812","2"
"Inexpensive","1988","higher education","Male","70","0.291560543783747","0.234417851216745","0.34870323635075","2"
"Inexpensive","1988","higher education","Female","32","0.317558224212747","0.225390357044193","0.409726091381301","2"
"Reasonable","1988","in school","Male","28","","","","3"
"Reasonable","1988","in school","Female","14","","","","3"
"Reasonable","1988","inadequately","Male","10","","","","3"
"Reasonable","1988","inadequately","Female","17","","","","3"
"Reasonable","1988","general elemantary","Male","110","0.332831452331834","0.279329464149109","0.38633344051456","3"
"Reasonable","1988","general elemantary","Female","251","0.337117917178183","0.302636226627948","0.371599607728418","3"
"Reasonable","1988","middle vocational","Male","434","0.378272226352646","0.350388719770134","0.406155732935157","3"
"Reasonable","1988","middle vocational","Female","361","0.378956188334356","0.348090880989258","0.409821495679455","3"
"Reasonable","1988","vocational + Abi","Male","20","","","","3"
"Reasonable","1988","vocational + Abi","Female","17","","","","3"
"Reasonable","1988","higher vocational","Male","71","0.3753878901944","0.30484485645839","0.445930923930411","3"
"Reasonable","1988","higher vocational","Female","43","0.410475732866131","0.316384744946946","0.504566720785316","3"
"Reasonable","1988","higher education","Male","111","0.440506530852786","0.378087267250183","0.502925794455389","3"
"Reasonable","1988","higher education","Female","41","0.427310711533627","0.329369274234094","0.52525214883316","3"
"Slightly Expensive","1988","in school","Male","7","","","","4"
"Slightly Expensive","1988","in school","Female","4","","","","4"
"Slightly Expensive","1988","inadequately","Male","2","","","","4"
"Slightly Expensive","1988","inadequately","Female","5","","","","4"
"Slightly Expensive","1988","general elemantary","Male","25","","","","4"
"Slightly Expensive","1988","general elemantary","Female","52","0.0650198076860235","0.0470350936095673","0.0830045217624797","4"
"Slightly Expensive","1988","middle vocational","Male","91","0.0759144807874495","0.0606857600614218","0.0911432015134772","4"
"Slightly Expensive","1988","middle vocational","Female","82","0.0842462197207694","0.0665744698397009","0.101917969601838","4"
"Slightly Expensive","1988","vocational + Abi","Male","5","","","","4"
"Slightly Expensive","1988","vocational + Abi","Female","3","","","","4"
"Slightly Expensive","1988","higher vocational","Male","14","","","","4"
"Slightly Expensive","1988","higher vocational","Female","11","","","","4"
"Slightly Expensive","1988","higher education","Male","11","","","","4"
"Slightly Expensive","1988","higher education","Female","6","","","","4"
"Too Expensive","1988","in school","Male","","","","","5"
"Too Expensive","1988","in school","Female","1","","","","5"
"Too Expensive","1988","inadequately","Male","1","","","","5"
"Too Expensive","1988","inadequately","Female","","","","","5"
"Too Expensive","1988","general elemantary","Male","4","","","","5"
"Too Expensive","1988","general elemantary","Female","10","","","","5"
"Too Expensive","1988","middle vocational","Male","15","","","","5"
"Too Expensive","1988","middle vocational","Female","16","","","","5"
"Too Expensive","1988","vocational + Abi","Male","","","","","5"
"Too Expensive","1988","vocational + Abi","Female","","","","","5"
"Too Expensive","1988","higher vocational","Male","4","","","","5"
"Too Expensive","1988","higher vocational","Female","2","","","","5"
"Too Expensive","1988","higher education","Male","3","","","","5"
"Too Expensive","1988","higher education","Female","1","","","","5"
"Very Inexpensive","1988","in school","Male","5","","","","1"
"Very Inexpensive","1988","in school","Female","6","","","","1"
"Very Inexpensive","1988","inadequately","Male","2","","","","1"
"Very Inexpensive","1988","inadequately","Female","3","","","","1"
"Very Inexpensive","1988","general elemantary","Male","61","0.207759481047769","0.161696832034489","0.25382213006105","1"
"Very Inexpensive","1988","general elemantary","Female","144","0.202241307397856","0.172942482864488","0.231540131931224","1"
"Very Inexpensive","1988","middle vocational","Male","207","0.181679947949042","0.159510232343261","0.203849663554823","1"
"Very Inexpensive","1988","middle vocational","Female","162","0.172013093359384","0.148002246803187","0.19602393991558","1"
"Very Inexpensive","1988","vocational + Abi","Male","10","","","","1"
"Very Inexpensive","1988","vocational + Abi","Female","5","","","","1"
"Very Inexpensive","1988","higher vocational","Male","27","","","","1"
"Very Inexpensive","1988","higher vocational","Female","19","","","","1"
"Very Inexpensive","1988","higher education","Male","48","0.205126122847616","0.154356428107437","0.255895817587795","1"
"Very Inexpensive","1988","higher education","Female","18","","","","1"
"Inexpensive","1989","in school","Male","11","","","","2"
"Inexpensive","1989","in school","Female","19","","","","2"
"Inexpensive","1989","inadequately","Male","11","","","","2"
"Inexpensive","1989","inadequately","Female","16","","","","2"
"Inexpensive","1989","general elemantary","Male","115","0.427932534389669","0.368695682293272","0.487169386486066","2"
"Inexpensive","1989","general elemantary","Female","280","0.410637223407571","0.373850574172931","0.44742387264221","2"
"Inexpensive","1989","middle vocational","Male","425","0.377815828730393","0.349914900629424","0.405716756831362","2"
"Inexpensive","1989","middle vocational","Female","333","0.364159209809675","0.333414307255931","0.39490411236342","2"
"Inexpensive","1989","vocational + Abi","Male","26","","","","2"
"Inexpensive","1989","vocational + Abi","Female","8","","","","2"
"Inexpensive","1989","higher vocational","Male","67","0.382125770081761","0.310541984359331","0.45370955580419","2"
"Inexpensive","1989","higher vocational","Female","35","0.346116897603352","0.25639516085136","0.435838634355343","2"
"Inexpensive","1989","higher education","Male","77","0.307894227692843","0.249491991100236","0.366296464285451","2"
"Inexpensive","1989","higher education","Female","21","","","","2"
"Reasonable","1989","in school","Male","21","","","","3"
"Reasonable","1989","in school","Female","15","","","","3"
"Reasonable","1989","inadequately","Male","7","","","","3"
"Reasonable","1989","inadequately","Female","17","","","","3"
"Reasonable","1989","general elemantary","Male","81","0.277455258802909","0.2238497346828","0.331060782923018","3"
"Reasonable","1989","general elemantary","Female","206","0.276738604791373","0.243284282349965","0.310192927232781","3"
"Reasonable","1989","middle vocational","Male","412","0.345452708142561","0.318088435276238","0.372816981008883","3"
"Reasonable","1989","middle vocational","Female","344","0.365094729834761","0.334333016032949","0.395856443636573","3"
"Reasonable","1989","vocational + Abi","Male","13","","","","3"
"Reasonable","1989","vocational + Abi","Female","20","","","","3"
"Reasonable","1989","higher vocational","Male","56","0.318754698359796","0.250104544437017","0.387404852282574","3"
"Reasonable","1989","higher vocational","Female","36","0.301171554441121","0.214649170747259","0.387693938134982","3"
"Reasonable","1989","higher education","Male","89","0.378025512837799","0.316679080478351","0.439371945197246","3"
"Reasonable","1989","higher education","Female","48","0.51020299646858","0.41271144796751","0.607694544969651","3"
"Slightly Expensive","1989","in school","Male","6","","","","4"
"Slightly Expensive","1989","in school","Female","3","","","","4"
"Slightly Expensive","1989","inadequately","Male","2","","","","4"
"Slightly Expensive","1989","inadequately","Female","4","","","","4"
"Slightly Expensive","1989","general elemantary","Male","18","","","","4"
"Slightly Expensive","1989","general elemantary","Female","43","0.0569165773321402","0.0395919394431877","0.0742412152210926","4"
"Slightly Expensive","1989","middle vocational","Male","72","0.0575226750769398","0.0441236225742457","0.0709217275796338","4"
"Slightly Expensive","1989","middle vocational","Female","63","0.0624655385212424","0.0470034860169177","0.0779275910255671","4"
"Slightly Expensive","1989","vocational + Abi","Male","6","","","","4"
"Slightly Expensive","1989","vocational + Abi","Female","2","","","","4"
"Slightly Expensive","1989","higher vocational","Male","19","","","","4"
