"hlf0094","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Too Expensive","1989","direct migration background","Urban Area","2","","","","5"
"Too Expensive","1989","direct migration background","Rural Area","1","","","","5"
"Too Expensive","1989","indirect migration background","Urban Area","","","","","5"
"Too Expensive","1989","indirect migration background","Rural Area","","","","","5"
"Very Inexpensive","1989","no migration background","Urban Area","509","0.204599877260376","0.188871244178473","0.220328510342279","1"
"Very Inexpensive","1989","no migration background","Rural Area","232","0.228869521156162","0.203349522851016","0.254389519461308","1"
"Very Inexpensive","1989","direct migration background","Urban Area","48","0.225830568236772","0.178436731290149","0.273224405183395","1"
"Very Inexpensive","1989","direct migration background","Rural Area","12","","","","1"
"Very Inexpensive","1989","indirect migration background","Urban Area","7","","","","1"
"Very Inexpensive","1989","indirect migration background","Rural Area","1","","","","1"
"Inexpensive","1990","no migration background","Urban Area","951","0.390419816160214","0.371153564373489","0.409686067946939","2"
"Inexpensive","1990","no migration background","Rural Area","330","0.339321107500678","0.310062762633567","0.368579452367788","2"
"Inexpensive","1990","direct migration background","Urban Area","108","0.300139803001032","0.250388239340508","0.349891366661556","2"
"Inexpensive","1990","direct migration background","Rural Area","33","0.408840630605181","0.289326095620739","0.528355165589624","2"
"Inexpensive","1990","indirect migration background","Urban Area","17","","","","2"
"Inexpensive","1990","indirect migration background","Rural Area","3","","","","2"
"Reasonable","1990","no migration background","Urban Area","862","0.347081623832955","0.328281481322721","0.36588176634319","3"
"Reasonable","1990","no migration background","Rural Area","357","0.353614275787516","0.3240709166717","0.383157634903331","3"
"Reasonable","1990","direct migration background","Urban Area","129","0.357882284246302","0.305844749084617","0.409919819407987","3"
"Reasonable","1990","direct migration background","Rural Area","15","","","","3"
"Reasonable","1990","indirect migration background","Urban Area","22","","","","3"
"Reasonable","1990","indirect migration background","Rural Area","1","","","","3"
"Slightly Expensive","1990","no migration background","Rural Area","77","0.0723275801633773","0.0563210060136299","0.0883341543131246","4"
"Slightly Expensive","1990","no migration background","Urban Area","144","0.0568104393872303","0.0476686870419557","0.065952191732505","4"
"Slightly Expensive","1990","direct migration background","Urban Area","30","0.0744634874731464","0.0459659223109613","0.102961052635332","4"
"Slightly Expensive","1990","direct migration background","Rural Area","5","","","","4"
"Slightly Expensive","1990","indirect migration background","Urban Area","1","","","","4"
"Slightly Expensive","1990","indirect migration background","Rural Area","","","","","4"
"Too Expensive","1990","no migration background","Urban Area","25","","","","5"
"Too Expensive","1990","no migration background","Rural Area","12","","","","5"
"Too Expensive","1990","direct migration background","Urban Area","5","","","","5"
"Too Expensive","1990","direct migration background","Rural Area","","","","","5"
"Too Expensive","1990","indirect migration background","Urban Area","","","","","5"
"Too Expensive","1990","indirect migration background","Rural Area","","","","","5"
"Very Inexpensive","1990","no migration background","Urban Area","481","0.196890683149563","0.181186483780566","0.21259488251856","1"
"Very Inexpensive","1990","no migration background","Rural Area","230","0.223786303121425","0.198031602696532","0.249541003546318","1"
"Very Inexpensive","1990","direct migration background","Urban Area","54","0.260110852120878","0.212489485372244","0.307732218869512","1"
"Very Inexpensive","1990","direct migration background","Rural Area","12","","","","1"
"Very Inexpensive","1990","indirect migration background","Urban Area","8","","","","1"
"Very Inexpensive","1990","indirect migration background","Rural Area","","","","","1"
"Inexpensive","1991","no migration background","Urban Area","882","0.344568063778044","0.32631879204862","0.362817335507468","2"
"Inexpensive","1991","no migration background","Rural Area","583","0.311221272432414","0.291568266251701","0.330874278613127","2"
"Inexpensive","1991","direct migration background","Urban Area","114","0.383840846025629","0.331995260060341","0.435686431990916","2"
"Inexpensive","1991","indirect migration background","Urban Area","17","","","","2"
"Inexpensive","1991","direct migration background","Rural Area","25","","","","2"
"Inexpensive","1991","indirect migration background","Rural Area","2","","","","2"
"Reasonable","1991","no migration background","Urban Area","1010","0.393968222983357","0.375204348361242","0.412732097605473","3"
"Reasonable","1991","no migration background","Rural Area","693","0.355072646373242","0.334759906919552","0.375385385826933","3"
"Reasonable","1991","direct migration background","Urban Area","126","0.326723180947003","0.276722427781933","0.376723934112073","3"
"Reasonable","1991","direct migration background","Rural Area","45","0.376388759649418","0.285851563977795","0.46692595532104","3"
"Reasonable","1991","indirect migration background","Urban Area","23","","","","3"
"Reasonable","1991","indirect migration background","Rural Area","5","","","","3"
"Slightly Expensive","1991","no migration background","Rural Area","407","0.135088645843245","0.120579237140105","0.149598054546385","4"
"Slightly Expensive","1991","no migration background","Urban Area","196","0.0641351529143184","0.0547271192707973","0.0735431865578395","4"
"Slightly Expensive","1991","direct migration background","Urban Area","26","","","","4"
"Slightly Expensive","1991","direct migration background","Rural Area","21","","","","4"
"Slightly Expensive","1991","indirect migration background","Urban Area","4","","","","4"
"Slightly Expensive","1991","indirect migration background","Rural Area","","","","","4"
"Too Expensive","1991","no migration background","Urban Area","64","0.0197209731949509","0.0143816863402958","0.0250602600496059","5"
"Too Expensive","1991","no migration background","Rural Area","259","0.0778213386266298","0.0664500057313614","0.0891926715218982","5"
"Too Expensive","1991","direct migration background","Urban Area","17","","","","5"
"Too Expensive","1991","direct migration background","Rural Area","8","","","","5"
"Too Expensive","1991","indirect migration background","Urban Area","2","","","","5"
"Too Expensive","1991","indirect migration background","Rural Area","","","","","5"
"Very Inexpensive","1991","no migration background","Urban Area","453","0.177607587129329","0.162931356365496","0.192283817893163","1"
"Very Inexpensive","1991","no migration background","Rural Area","190","0.120796096724469","0.106962798327133","0.134629395121805","1"
"Very Inexpensive","1991","direct migration background","Urban Area","55","0.197446292803973","0.155008646832153","0.239883938775794","1"
"Very Inexpensive","1991","direct migration background","Rural Area","11","","","","1"
"Very Inexpensive","1991","indirect migration background","Urban Area","6","","","","1"
"Very Inexpensive","1991","indirect migration background","Rural Area","1","","","","1"
"Inexpensive","1992","no migration background","Urban Area","862","0.346206754968962","0.327609303349883","0.364804206588041","2"
"Inexpensive","1992","no migration background","Rural Area","599","0.32235762069849","0.301853692484365","0.342861548912614","2"
"Inexpensive","1992","direct migration background","Urban Area","115","0.322213122131202","0.274595750596971","0.369830493665433","2"
"Inexpensive","1992","direct migration background","Rural Area","25","","","","2"
"Inexpensive","1992","indirect migration background","Rural Area","2","","","","2"
"Inexpensive","1992","indirect migration background","Urban Area","18","","","","2"
"Reasonable","1992","no migration background","Urban Area","1004","0.39470956246883","0.375602840465599","0.41381628447206","3"
"Reasonable","1992","no migration background","Rural Area","814","0.409703793226411","0.388129438695234","0.431278147757588","3"
"Reasonable","1992","direct migration background","Urban Area","152","0.374752828452699","0.325430274498177","0.424075382407222","3"
"Reasonable","1992","direct migration background","Rural Area","46","0.405933583536689","0.313744428544538","0.498122738528839","3"
"Reasonable","1992","indirect migration background","Urban Area","27","","","","3"
"Reasonable","1992","indirect migration background","Rural Area","6","","","","3"
"Slightly Expensive","1992","no migration background","Urban Area","170","0.0582946648063399","0.0491358901328697","0.06745343947981","4"
"Slightly Expensive","1992","direct migration background","Urban Area","47","0.0884224595481835","0.0594939983476348","0.117350920748732","4"
"Slightly Expensive","1992","no migration background","Rural Area","273","0.0950557101527578","0.0821889901587362","0.107922430146779","4"
"Slightly Expensive","1992","direct migration background","Rural Area","19","","","","4"
"Slightly Expensive","1992","indirect migration background","Urban Area","7","","","","4"
"Slightly Expensive","1992","indirect migration background","Rural Area","","","","","4"
"Too Expensive","1992","no migration background","Urban Area","57","0.0231845535126716","0.0173019296277375","0.0290671773976058","5"
"Too Expensive","1992","no migration background","Rural Area","91","0.0298579523803339","0.0223914794121659","0.0373244253485019","5"
"Too Expensive","1992","direct migration background","Urban Area","5","","","","5"
"Too Expensive","1992","direct migration background","Rural Area","4","","","","5"
"Too Expensive","1992","indirect migration background","Urban Area","","","","","5"
"Too Expensive","1992","indirect migration background","Rural Area","","","","","5"
"Very Inexpensive","1992","no migration background","Urban Area","421","0.177604464243196","0.162665077665211","0.192543850821182","1"
"Very Inexpensive","1992","no migration background","Rural Area","219","0.143024923542008","0.127666106025978","0.158383741058038","1"
"Very Inexpensive","1992","direct migration background","Urban Area","51","0.199877725296817","0.15912960227804","0.240625848315594","1"
"Very Inexpensive","1992","direct migration background","Rural Area","15","","","","1"
"Very Inexpensive","1992","indirect migration background","Urban Area","14","","","","1"
"Very Inexpensive","1992","indirect migration background","Rural Area","2","","","","1"
"Inexpensive","1993","no migration background","Urban Area","868","0.355040610135363","0.336184441915508","0.373896778355218","2"
"Inexpensive","1993","no migration background","Rural Area","658","0.346429584539934","0.325470651268026","0.367388517811843","2"
"Inexpensive","1993","direct migration background","Urban Area","119","0.329994508599707","0.281689747701896","0.378299269497519","2"
"Inexpensive","1993","direct migration background","Rural Area","32","0.253328924117277","0.173139716376456","0.333518131858097","2"
"Inexpensive","1993","indirect migration background","Urban Area","17","","","","2"
"Inexpensive","1993","indirect migration background","Rural Area","5","","","","2"
"Reasonable","1993","no migration background","Urban Area","991","0.386566390798599","0.367377756193569","0.40575502540363","3"
"Reasonable","1993","no migration background","Rural Area","827","0.41019141063956","0.388526129783196","0.431856691495924","3"
"Reasonable","1993","direct migration background","Urban Area","165","0.449066377972225","0.397968565535003","0.500164190409446","3"
"Reasonable","1993","direct migration background","Rural Area","53","0.542208859510856","0.450348981179207","0.634068737842506","3"
"Reasonable","1993","indirect migration background","Rural Area","5","","","","3"
"Reasonable","1993","indirect migration background","Urban Area","42","0.571015373684222","0.46117915971068","0.680851587657764","3"
"Slightly Expensive","1993","no migration background","Urban Area","150","0.0620803573832577","0.0525719416231278","0.0715887731433876","4"
"Slightly Expensive","1993","no migration background","Rural Area","172","0.0604758942856177","0.0499765879016876","0.0709752006695478","4"
"Slightly Expensive","1993","direct migration background","Urban Area","26","","","","4"
"Slightly Expensive","1993","direct migration background","Rural Area","14","","","","4"
"Slightly Expensive","1993","indirect migration background","Rural Area","5","","","","4"
"Slightly Expensive","1993","indirect migration background","Urban Area","3","","","","4"
"Too Expensive","1993","no migration background","Urban Area","44","0.0206724432965102","0.0150657327514642","0.0262791538415561","5"
"Too Expensive","1993","no migration background","Rural Area","54","0.0218603266022505","0.015419460717601","0.0283011924869","5"
"Too Expensive","1993","direct migration background","Urban Area","6","","","","5"
"Too Expensive","1993","direct migration background","Rural Area","4","","","","5"
"Too Expensive","1993","indirect migration background","Urban Area","1","","","","5"
"Too Expensive","1993","indirect migration background","Rural Area","","","","","5"
"Very Inexpensive","1993","no migration background","Urban Area","421","0.17564019838627","0.160646160430335","0.190634236342205","1"
"Very Inexpensive","1993","no migration background","Rural Area","269","0.161042783932638","0.144852441379285","0.177233126485991","1"
"Very Inexpensive","1993","direct migration background","Urban Area","48","0.148272433053471","0.11176528070769","0.184779585399252","1"
"Very Inexpensive","1993","direct migration background","Rural Area","10","","","","1"
"Very Inexpensive","1993","indirect migration background","Rural Area","","","","","1"
"Very Inexpensive","1993","indirect migration background","Urban Area","15","","","","1"
"Inexpensive","1994","no migration background","Urban Area","816","0.32575946997532","0.307351564736186","0.344167375214454","2"
"Inexpensive","1994","no migration background","Rural Area","613","0.325929460313679","0.305273307897054","0.346585612730304","2"
"Inexpensive","1994","direct migration background","Urban Area","108","0.264021413580878","0.217773990068151","0.310268837093604","2"
"Inexpensive","1994","direct migration background","Rural Area","34","0.359125246862357","0.270277047620893","0.447973446103821","2"
"Inexpensive","1994","indirect migration background","Rural Area","4","","","","2"
"Inexpensive","1994","indirect migration background","Urban Area","30","0.374372960684954","0.265567350928803","0.483178570441105","2"
"Reasonable","1994","no migration background","Urban Area","1016","0.395623190663848","0.376416913852996","0.4148294674747","3"
"Reasonable","1994","no migration background","Rural Area","903","0.454294350337421","0.432352015383498","0.476236685291343","3"
"Reasonable","1994","direct migration background","Urban Area","146","0.448749625455391","0.39656868815257","0.500930562758211","3"
"Reasonable","1994","direct migration background","Rural Area","46","0.38726158612812","0.297046567394101","0.477476604862138","3"
"Reasonable","1994","indirect migration background","Rural Area","7","","","","3"
"Reasonable","1994","indirect migration background","Urban Area","29","","","","3"
"Slightly Expensive","1994","no migration background","Urban Area","161","0.0645114334365108","0.054862351252166","0.0741605156208557","4"
"Slightly Expensive","1994","no migration background","Rural Area","199","0.071492366054946","0.0601381403800392","0.0828465917298528","4"
"Slightly Expensive","1994","direct migration background","Urban Area","27","","","","4"
"Slightly Expensive","1994","direct migration background","Rural Area","9","","","","4"
"Slightly Expensive","1994","indirect migration background","Urban Area","4","","","","4"
"Slightly Expensive","1994","indirect migration background","Rural Area","2","","","","4"
"Too Expensive","1994","no migration background","Rural Area","46","0.0156744978958849","0.0102005440051724","0.0211484517865974","5"
"Too Expensive","1994","no migration background","Urban Area","33","0.0150440676802401","0.0102628396503663","0.019825295710114","5"
"Too Expensive","1994","direct migration background","Urban Area","7","","","","5"
"Too Expensive","1994","direct migration background","Rural Area","4","","","","5"
"Too Expensive","1994","indirect migration background","Urban Area","2","","","","5"
"Too Expensive","1994","indirect migration background","Rural Area","1","","","","5"
"Very Inexpensive","1994","no migration background","Urban Area","464","0.199061838244081","0.183378376968136","0.214745299520026","1"
"Very Inexpensive","1994","no migration background","Rural Area","217","0.132609325398069","0.117663174775937","0.147555476020202","1"
"Very Inexpensive","1994","direct migration background","Urban Area","61","0.208960091359061","0.166305454437999","0.251614728280123","1"
"Very Inexpensive","1994","direct migration background","Rural Area","19","","","","1"
"Very Inexpensive","1994","indirect migration background","Rural Area","2","","","","1"
"Very Inexpensive","1994","indirect migration background","Urban Area","11","","","","1"
"Inexpensive","1995","no migration background","Urban Area","849","0.338718620347599","0.32027329333098","0.357163947364217","2"
"Inexpensive","1995","no migration background","Rural Area","655","0.347126059176896","0.326183675514265","0.368068442839526","2"
"Inexpensive","1995","direct migration background","Urban Area","128","0.324635553301902","0.278459513810809","0.370811592792995","2"
"Inexpensive","1995","direct migration background","Rural Area","36","0.303678635320237","0.220355205201495","0.387002065438978","2"
"Inexpensive","1995","indirect migration background","Urban Area","24","","","","2"
"Inexpensive","1995","indirect migration background","Rural Area","4","","","","2"
"Reasonable","1995","no migration background","Urban Area","1010","0.39175061540244","0.37272584785268","0.4107753829522","3"
"Reasonable","1995","no migration background","Rural Area","894","0.426923131025104","0.40516362068388","0.448682641366327","3"
"Reasonable","1995","direct migration background","Urban Area","153","0.350916026773245","0.303850644777266","0.397981408769224","3"
"Reasonable","1995","direct migration background","Rural Area","54","0.411170258191706","0.32201214369221","0.500328372691203","3"
"Reasonable","1995","indirect migration background","Urban Area","32","0.26124675708171","0.166160813825724","0.356332700337696","3"
"Reasonable","1995","indirect migration background","Rural Area","10","","","","3"
"Slightly Expensive","1995","no migration background","Urban Area","206","0.0807326488339624","0.0701152239958084","0.0913500736721165","4"
"Slightly Expensive","1995","no migration background","Rural Area","175","0.0690098798871108","0.0578593371311594","0.0801604226430622","4"
"Slightly Expensive","1995","direct migration background","Urban Area","40","0.103804790597779","0.0737260567683306","0.133883524427227","4"
"Slightly Expensive","1995","direct migration background","Rural Area","14","","","","4"
"Slightly Expensive","1995","indirect migration background","Urban Area","6","","","","4"
"Slightly Expensive","1995","indirect migration background","Rural Area","4","","","","4"
"Too Expensive","1995","no migration background","Urban Area","30","0.0144384748203855","0.009789296470434","0.0190876531703371","5"
"Too Expensive","1995","no migration background","Rural Area","31","0.0144238959830071","0.0091787907129008","0.0196690012531134","5"
"Too Expensive","1995","direct migration background","Urban Area","5","","","","5"
"Too Expensive","1995","direct migration background","Rural Area","3","","","","5"
"Too Expensive","1995","indirect migration background","Urban Area","2","","","","5"
"Too Expensive","1995","indirect migration background","Rural Area","","","","","5"
"Very Inexpensive","1995","no migration background","Urban Area","434","0.174359640595613","0.15957223054061","0.189147050650616","1"
"Very Inexpensive","1995","no migration background","Rural Area","230","0.142517033927883","0.127138534039097","0.157895533816668","1"
"Very Inexpensive","1995","direct migration background","Urban Area","69","0.204748296854228","0.164954809929603","0.244541783778852","1"
"Very Inexpensive","1995","direct migration background","Rural Area","10","","","","1"
"Very Inexpensive","1995","indirect migration background","Urban Area","18","","","","1"
"Very Inexpensive","1995","indirect migration background","Rural Area","1","","","","1"
"Inexpensive","1996","no migration background","Rural Area","657","0.324852979330949","0.304535529618513","0.345170429043385","2"
