"hlf0094","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1989","35-65 y.","indirect migration background","3","","",""
"Very Inexpensive","1989","66 and older","no migration background","129","0.264055867501662","0.224454065384956","0.303657669618369"
"Very Inexpensive","1989","66 and older","direct migration background","9","","",""
"Very Inexpensive","1989","66 and older","indirect migration background","","","",""
"Inexpensive","1989","16-34 y.","no migration background","396","0.350740361384198","0.323014883826536","0.378465838941861"
"Inexpensive","1989","16-34 y.","direct migration background","34","0.292861128704331","0.199361342832825","0.386360914575838"
"Inexpensive","1989","16-34 y.","indirect migration background","13","","",""
"Inexpensive","1989","35-65 y.","no migration background","717","0.367756840012959","0.346376812456441","0.389136867569477"
"Inexpensive","1989","35-65 y.","direct migration background","92","0.3858715295208","0.32415519498387","0.44758786405773"
"Inexpensive","1989","35-65 y.","indirect migration background","1","","",""
"Inexpensive","1989","66 and older","no migration background","193","0.418333155607818","0.374018955693846","0.46264735552179"
"Inexpensive","1989","66 and older","direct migration background","10","","",""
"Inexpensive","1989","66 and older","indirect migration background","","","",""
"Reasonable","1989","16-34 y.","no migration background","437","0.377855083883829","0.349685179477565","0.406024988290092"
"Reasonable","1989","16-34 y.","direct migration background","35","0.389414844834671","0.289228907192183","0.489600782477159"
"Reasonable","1989","16-34 y.","indirect migration background","14","","",""
"Reasonable","1989","35-65 y.","no migration background","658","0.335208191982419","0.314277385967819","0.35613899799702"
"Reasonable","1989","35-65 y.","direct migration background","79","0.311347291895956","0.252642734683813","0.3700518491081"
"Reasonable","1989","35-65 y.","indirect migration background","7","","",""
"Reasonable","1989","66 and older","no migration background","141","0.292399025617809","0.251536351294659","0.333261699940959"
"Reasonable","1989","66 and older","direct migration background","7","","",""
"Reasonable","1989","66 and older","indirect migration background","1","","",""
"Slightly Expensive","1989","16-34 y.","no migration background","84","0.0770713739276049","0.0615758034805612","0.0925669443746485"
"Slightly Expensive","1989","16-34 y.","direct migration background","8","","",""
"Slightly Expensive","1989","16-34 y.","indirect migration background","4","","",""
"Slightly Expensive","1989","35-65 y.","no migration background","144","0.0725701373640158","0.061067290932602","0.0840729837954296"
"Slightly Expensive","1989","35-65 y.","direct migration background","28","","",""
"Slightly Expensive","1989","35-65 y.","indirect migration background","2","","",""
