"hlf0094","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Very Inexpensive","1984","Part Time","in school","","","","","1"
"Very Inexpensive","1984","Part Time","inadequately","","","","","1"
"Very Inexpensive","1984","Part Time","general elemantary","43","0.219437364155635","0.16134889202936","0.277525836281909","1"
"Very Inexpensive","1984","Part Time","middle vocational","80","0.233732661281529","0.18874861764294","0.278716704920117","1"
"Very Inexpensive","1984","Part Time","vocational + Abi","1","","","","1"
"Very Inexpensive","1984","Part Time","higher vocational","14","","","","1"
"Very Inexpensive","1984","Part Time","higher education","13","","","","1"
"Very Inexpensive","1984","Not Working","in school","24","","","","1"
"Very Inexpensive","1984","Not Working","inadequately","8","","","","1"
"Very Inexpensive","1984","Not Working","general elemantary","221","0.298758616244675","0.266260020621922","0.331257211867428","1"
"Very Inexpensive","1984","Not Working","middle vocational","207","0.269969925970329","0.238874588142002","0.301065263798655","1"
"Very Inexpensive","1984","Not Working","vocational + Abi","9","","","","1"
"Very Inexpensive","1984","Not Working","higher vocational","29","","","","1"
"Very Inexpensive","1984","Not Working","higher education","23","","","","1"
"Inexpensive","1985","Not Working","in school","34","0.347702821169214","0.251936424752694","0.443469217585734","2"
"Inexpensive","1985","Not Working","inadequately","11","","","","2"
"Inexpensive","1985","Not Working","general elemantary","217","0.322008237088071","0.286837704614268","0.357178769561873","2"
"Inexpensive","1985","Not Working","middle vocational","225","0.321652579425675","0.2875804638337","0.355724695017651","2"
"Inexpensive","1985","Not Working","vocational + Abi","5","","","","2"
"Inexpensive","1985","Not Working","higher vocational","21","","","","2"
"Inexpensive","1985","Not Working","higher education","20","","","","2"
"Inexpensive","1985","Full Time","in school","","","","","2"
"Inexpensive","1985","Full Time","inadequately","5","","","","2"
"Inexpensive","1985","Full Time","general elemantary","98","0.33998262085441","0.285556467518004","0.394408774190817","2"
"Inexpensive","1985","Full Time","middle vocational","324","0.32241992523531","0.293735955551054","0.351103894919566","2"
"Inexpensive","1985","Full Time","vocational + Abi","8","","","","2"
"Inexpensive","1985","Full Time","higher vocational","47","0.26160082628551","0.197748378038909","0.32545327453211","2"
"Inexpensive","1985","Full Time","higher education","60","0.274458612145694","0.215625546181141","0.333291678110246","2"
"Inexpensive","1985","Part Time","in school","1","","","","2"
"Inexpensive","1985","Part Time","inadequately","2","","","","2"
"Inexpensive","1985","Part Time","general elemantary","59","0.3206257434593","0.254436846254282","0.386814640664318","2"
"Inexpensive","1985","Part Time","middle vocational","115","0.315165496389744","0.267891394636753","0.362439598142735","2"
"Inexpensive","1985","Part Time","vocational + Abi","3","","","","2"
"Inexpensive","1985","Part Time","higher vocational","12","","","","2"
"Inexpensive","1985","Part Time","higher education","18","","","","2"
"Reasonable","1985","Not Working","middle vocational","230","0.296460023540023","0.263147544619079","0.329772502460968","3"
"Reasonable","1985","Not Working","vocational + Abi","7","","","","3"
"Reasonable","1985","Part Time","in school","1","","","","3"
"Reasonable","1985","Part Time","inadequately","3","","","","3"
"Reasonable","1985","Part Time","general elemantary","65","0.341303398426238","0.274060809634616","0.40854598721786","3"
"Reasonable","1985","Part Time","middle vocational","130","0.34443277356967","0.296079933550419","0.392785613588922","3"
"Reasonable","1985","Part Time","vocational + Abi","7","","","","3"
"Reasonable","1985","Part Time","higher vocational","20","","","","3"
"Reasonable","1985","Part Time","higher education","25","","","","3"
"Reasonable","1985","Not Working","in school","35","0.365641815721119","0.268795859736575","0.462487771705662","3"
"Reasonable","1985","Not Working","inadequately","12","","","","3"
"Reasonable","1985","Not Working","general elemantary","230","0.335030628726364","0.299502173791009","0.370559083661719","3"
"Reasonable","1985","Not Working","higher vocational","32","0.378329198276303","0.274618486921439","0.482039909631167","3"
"Reasonable","1985","Not Working","higher education","23","","","","3"
"Reasonable","1985","Full Time","in school","","","","","3"
"Reasonable","1985","Full Time","inadequately","16","","","","3"
"Reasonable","1985","Full Time","general elemantary","101","0.337478820333936","0.283150692301233","0.391806948366639","3"
"Reasonable","1985","Full Time","middle vocational","376","0.360488188367404","0.331022417326362","0.389953959408447","3"
"Reasonable","1985","Full Time","vocational + Abi","23","","","","3"
"Reasonable","1985","Full Time","higher vocational","73","0.411214876070512","0.339728180913392","0.482701571227632","3"
"Reasonable","1985","Full Time","higher education","91","0.418050033301599","0.35302075874566","0.483079307857538","3"
"Slightly Expensive","1985","Full Time","general elemantary","23","","","","4"
"Slightly Expensive","1985","Full Time","middle vocational","82","0.0740146654999666","0.0579486215839397","0.0900807094159935","4"
"Slightly Expensive","1985","Full Time","vocational + Abi","4","","","","4"
"Slightly Expensive","1985","Full Time","higher vocational","19","","","","4"
"Slightly Expensive","1985","Full Time","higher education","21","","","","4"
"Slightly Expensive","1985","Part Time","in school","","","","","4"
"Slightly Expensive","1985","Part Time","inadequately","","","","","4"
"Slightly Expensive","1985","Part Time","general elemantary","19","","","","4"
"Slightly Expensive","1985","Part Time","middle vocational","43","0.105456656028174","0.0742031438975203","0.136710168158828","4"
"Slightly Expensive","1985","Part Time","vocational + Abi","1","","","","4"
"Slightly Expensive","1985","Part Time","higher vocational","4","","","","4"
"Slightly Expensive","1985","Part Time","higher education","3","","","","4"
"Slightly Expensive","1985","Not Working","in school","8","","","","4"
"Slightly Expensive","1985","Not Working","inadequately","6","","","","4"
"Slightly Expensive","1985","Full Time","in school","","","","","4"
"Slightly Expensive","1985","Full Time","inadequately","5","","","","4"
"Slightly Expensive","1985","Not Working","general elemantary","40","0.0560230360302622","0.0387130282713249","0.0733330437891995","4"
"Slightly Expensive","1985","Not Working","middle vocational","57","0.0779214777194433","0.0583694395966567","0.0974735158422298","4"
"Slightly Expensive","1985","Not Working","vocational + Abi","1","","","","4"
"Slightly Expensive","1985","Not Working","higher vocational","6","","","","4"
"Slightly Expensive","1985","Not Working","higher education","6","","","","4"
"Too Expensive","1985","Not Working","vocational + Abi","1","","","","5"
"Too Expensive","1985","Not Working","general elemantary","9","","","","5"
"Too Expensive","1985","Not Working","middle vocational","14","","","","5"
"Too Expensive","1985","Not Working","in school","1","","","","5"
"Too Expensive","1985","Not Working","inadequately","","","","","5"
"Too Expensive","1985","Not Working","higher vocational","","","","","5"
"Too Expensive","1985","Not Working","higher education","1","","","","5"
"Too Expensive","1985","Part Time","in school","1","","","","5"
"Too Expensive","1985","Part Time","inadequately","","","","","5"
"Too Expensive","1985","Part Time","general elemantary","10","","","","5"
"Too Expensive","1985","Part Time","middle vocational","13","","","","5"
"Too Expensive","1985","Part Time","vocational + Abi","","","","","5"
"Too Expensive","1985","Part Time","higher vocational","1","","","","5"
"Too Expensive","1985","Part Time","higher education","","","","","5"
"Too Expensive","1985","Full Time","in school","","","","","5"
"Too Expensive","1985","Full Time","inadequately","2","","","","5"
"Too Expensive","1985","Full Time","general elemantary","7","","","","5"
"Too Expensive","1985","Full Time","middle vocational","25","","","","5"
"Too Expensive","1985","Full Time","vocational + Abi","1","","","","5"
"Too Expensive","1985","Full Time","higher vocational","4","","","","5"
"Too Expensive","1985","Full Time","higher education","10","","","","5"
"Very Inexpensive","1985","Full Time","in school","","","","","1"
"Very Inexpensive","1985","Full Time","inadequately","2","","","","1"
"Very Inexpensive","1985","Full Time","general elemantary","62","0.221936895589539","0.17419235038185","0.269681440797228","1"
"Very Inexpensive","1985","Full Time","middle vocational","213","0.217257246792852","0.191950013494779","0.242564480090924","1"
"Very Inexpensive","1985","Full Time","vocational + Abi","8","","","","1"
"Very Inexpensive","1985","Full Time","higher vocational","39","0.218996601974446","0.158912780525132","0.27908042342376","1"
"Very Inexpensive","1985","Full Time","higher education","39","0.172126039184689","0.122357218112669","0.221894860256708","1"
"Very Inexpensive","1985","Part Time","in school","","","","","1"
"Very Inexpensive","1985","Part Time","inadequately","","","","","1"
"Very Inexpensive","1985","Part Time","general elemantary","38","0.199737029840903","0.143037812774777","0.25643624690703","1"
"Very Inexpensive","1985","Part Time","middle vocational","70","0.201237960869036","0.160441283056693","0.242034638681379","1"
"Very Inexpensive","1985","Part Time","vocational + Abi","2","","","","1"
"Very Inexpensive","1985","Part Time","higher vocational","9","","","","1"
"Very Inexpensive","1985","Part Time","higher education","16","","","","1"
"Very Inexpensive","1985","Not Working","in school","17","","","","1"
"Very Inexpensive","1985","Not Working","inadequately","3","","","","1"
"Very Inexpensive","1985","Not Working","general elemantary","182","0.273357533109116","0.239810110850251","0.306904955367982","1"
"Very Inexpensive","1985","Not Working","middle vocational","196","0.285156392845669","0.252223751290833","0.318089034400505","1"
"Very Inexpensive","1985","Not Working","vocational + Abi","9","","","","1"
"Very Inexpensive","1985","Not Working","higher vocational","25","","","","1"
"Very Inexpensive","1985","Not Working","higher education","17","","","","1"
"Inexpensive","1986","Not Working","in school","25","","","","2"
"Inexpensive","1986","Not Working","inadequately","9","","","","2"
"Inexpensive","1986","Not Working","general elemantary","206","0.327657440797792","0.291602655344085","0.363712226251499","2"
"Inexpensive","1986","Not Working","middle vocational","260","0.349302348298611","0.315909183376805","0.382695513220417","2"
"Inexpensive","1986","Not Working","vocational + Abi","8","","","","2"
"Inexpensive","1986","Not Working","higher vocational","26","","","","2"
"Inexpensive","1986","Not Working","higher education","19","","","","2"
"Inexpensive","1986","Part Time","vocational + Abi","2","","","","2"
"Inexpensive","1986","Part Time","higher vocational","20","","","","2"
"Inexpensive","1986","Part Time","higher education","13","","","","2"
"Inexpensive","1986","Full Time","in school","","","","","2"
"Inexpensive","1986","Full Time","inadequately","7","","","","2"
"Inexpensive","1986","Full Time","general elemantary","104","0.365688138845896","0.312417228280886","0.418959049410906","2"
"Inexpensive","1986","Full Time","middle vocational","297","0.288469697337688","0.260774890947908","0.316164503727467","2"
"Inexpensive","1986","Full Time","vocational + Abi","16","","","","2"
"Inexpensive","1986","Full Time","higher vocational","41","0.222457987936456","0.159939341778712","0.2849766340942","2"
"Inexpensive","1986","Full Time","higher education","67","0.283684003682651","0.226413716471817","0.340954290893486","2"
"Inexpensive","1986","Part Time","in school","2","","","","2"
"Inexpensive","1986","Part Time","inadequately","1","","","","2"
"Inexpensive","1986","Part Time","general elemantary","62","0.321976537984173","0.256058554869922","0.387894521098424","2"
"Inexpensive","1986","Part Time","middle vocational","112","0.316352632577109","0.269220825727824","0.363484439426394","2"
"Reasonable","1986","Not Working","middle vocational","283","0.350123781367096","0.316712484167905","0.383535078566287","3"
"Reasonable","1986","Not Working","vocational + Abi","10","","","","3"
"Reasonable","1986","Part Time","in school","2","","","","3"
"Reasonable","1986","Part Time","inadequately","5","","","","3"
"Reasonable","1986","Part Time","general elemantary","71","0.370918028404795","0.302768629836202","0.439067426973388","3"
"Reasonable","1986","Part Time","middle vocational","148","0.388762702433232","0.339358998593586","0.438166406272878","3"
"Reasonable","1986","Part Time","vocational + Abi","12","","","","3"
"Reasonable","1986","Part Time","higher vocational","9","","","","3"
"Reasonable","1986","Part Time","higher education","26","","","","3"
"Reasonable","1986","Not Working","in school","42","0.406325445084232","0.311010888311752","0.501640001856712","3"
"Reasonable","1986","Not Working","inadequately","15","","","","3"
"Reasonable","1986","Not Working","general elemantary","240","0.34911669960215","0.312498712032327","0.385734687171973","3"
"Reasonable","1986","Not Working","higher vocational","44","0.463918465860846","0.36363656856591","0.564200363155783","3"
"Reasonable","1986","Not Working","higher education","29","","","","3"
"Reasonable","1986","Full Time","in school","","","","","3"
"Reasonable","1986","Full Time","inadequately","15","","","","3"
"Reasonable","1986","Full Time","general elemantary","134","0.412706224131552","0.358252012431437","0.467160435831668","3"
"Reasonable","1986","Full Time","middle vocational","407","0.403657618676339","0.373665582710641","0.433649654642037","3"
"Reasonable","1986","Full Time","vocational + Abi","14","","","","3"
"Reasonable","1986","Full Time","higher vocational","69","0.420749481745064","0.346538420756928","0.494960542733201","3"
"Reasonable","1986","Full Time","higher education","104","0.436860360760869","0.37384608028346","0.499874641238279","3"
"Slightly Expensive","1986","Full Time","general elemantary","31","0.0765472131456319","0.0471399026466388","0.105954523644625","4"
"Slightly Expensive","1986","Full Time","middle vocational","118","0.108148979962412","0.0891640541585628","0.12713390576626","4"
"Slightly Expensive","1986","Full Time","vocational + Abi","7","","","","4"
"Slightly Expensive","1986","Full Time","higher vocational","28","","","","4"
"Slightly Expensive","1986","Full Time","higher education","32","0.136772470946688","0.0931187166255639","0.180426225267813","4"
"Slightly Expensive","1986","Part Time","in school","","","","","4"
"Slightly Expensive","1986","Part Time","inadequately","1","","","","4"
"Slightly Expensive","1986","Part Time","general elemantary","13","","","","4"
"Slightly Expensive","1986","Part Time","middle vocational","49","0.12564034643198","0.0920494257683599","0.159231267095599","4"
"Slightly Expensive","1986","Part Time","vocational + Abi","1","","","","4"
"Slightly Expensive","1986","Part Time","higher vocational","5","","","","4"
"Slightly Expensive","1986","Part Time","higher education","3","","","","4"
"Slightly Expensive","1986","Not Working","in school","12","","","","4"
"Slightly Expensive","1986","Not Working","inadequately","1","","","","4"
"Slightly Expensive","1986","Not Working","vocational + Abi","5","","","","4"
"Slightly Expensive","1986","Not Working","higher vocational","7","","","","4"
"Slightly Expensive","1986","Not Working","higher education","8","","","","4"
"Slightly Expensive","1986","Full Time","in school","","","","","4"
"Slightly Expensive","1986","Full Time","inadequately","4","","","","4"
"Slightly Expensive","1986","Not Working","general elemantary","40","0.0606142004366059","0.0422840182079169","0.0789443826652949","4"
"Slightly Expensive","1986","Not Working","middle vocational","53","0.0610635148242018","0.0442918483642294","0.0778351812841742","4"
"Too Expensive","1986","Not Working","vocational + Abi","","","","","5"
"Too Expensive","1986","Not Working","in school","3","","","","5"
"Too Expensive","1986","Not Working","inadequately","1","","","","5"
"Too Expensive","1986","Not Working","general elemantary","15","","","","5"
"Too Expensive","1986","Not Working","middle vocational","16","","","","5"
"Too Expensive","1986","Not Working","higher vocational","1","","","","5"
"Too Expensive","1986","Not Working","higher education","2","","","","5"
"Too Expensive","1986","Part Time","in school","","","","","5"
"Too Expensive","1986","Part Time","inadequately","","","","","5"
"Too Expensive","1986","Part Time","general elemantary","13","","","","5"
"Too Expensive","1986","Part Time","middle vocational","10","","","","5"
"Too Expensive","1986","Part Time","vocational + Abi","","","","","5"
"Too Expensive","1986","Part Time","higher vocational","1","","","","5"
"Too Expensive","1986","Part Time","higher education","","","","","5"
"Too Expensive","1986","Full Time","in school","","","","","5"
"Too Expensive","1986","Full Time","inadequately","1","","","","5"
"Too Expensive","1986","Full Time","general elemantary","6","","","","5"
"Too Expensive","1986","Full Time","middle vocational","38","0.0346523747910694","0.0234719088890577","0.0458328406930811","5"
"Too Expensive","1986","Full Time","vocational + Abi","4","","","","5"
"Too Expensive","1986","Full Time","higher vocational","4","","","","5"
"Too Expensive","1986","Full Time","higher education","3","","","","5"
"Very Inexpensive","1986","Part Time","general elemantary","34","0.176911655193808","0.123075890603017","0.230747419784598","1"
"Very Inexpensive","1986","Part Time","middle vocational","55","0.149659194163207","0.113504848881546","0.185813539444869","1"
"Very Inexpensive","1986","Part Time","vocational + Abi","1","","","","1"
"Very Inexpensive","1986","Part Time","higher vocational","9","","","","1"
"Very Inexpensive","1986","Part Time","higher education","14","","","","1"
"Very Inexpensive","1986","Not Working","in school","20","","","","1"
"Very Inexpensive","1986","Not Working","inadequately","4","","","","1"
"Very Inexpensive","1986","Full Time","in school","","","","","1"
"Very Inexpensive","1986","Full Time","inadequately","1","","","","1"
"Very Inexpensive","1986","Full Time","general elemantary","39","0.129052985833911","0.0919709847026351","0.166134986965186","1"
"Very Inexpensive","1986","Full Time","middle vocational","168","0.165071329232492","0.142377277254527","0.187765381210457","1"
"Very Inexpensive","1986","Full Time","vocational + Abi","5","","","","1"
"Very Inexpensive","1986","Full Time","higher vocational","28","","","","1"
"Very Inexpensive","1986","Full Time","higher education","32","0.131116787820566","0.0882353374338844","0.173998238207248","1"
"Very Inexpensive","1986","Part Time","in school","1","","","","1"
"Very Inexpensive","1986","Part Time","inadequately","2","","","","1"
"Very Inexpensive","1986","Not Working","general elemantary","150","0.242036729237295","0.209134727946992","0.274938730527597","1"
"Very Inexpensive","1986","Not Working","middle vocational","171","0.221703848259287","0.192608318617663","0.25079937790091","1"
"Very Inexpensive","1986","Not Working","vocational + Abi","3","","","","1"
"Very Inexpensive","1986","Not Working","higher vocational","17","","","","1"
"Very Inexpensive","1986","Not Working","higher education","19","","","","1"
"Inexpensive","1987","Not Working","in school","24","","","","2"
"Inexpensive","1987","Not Working","inadequately","11","","","","2"
"Inexpensive","1987","Not Working","general elemantary","231","0.396641045204008","0.357883247799512","0.435398842608504","2"
"Inexpensive","1987","Not Working","middle vocational","268","0.376469501070422","0.341514150675133","0.41142485146571","2"
"Inexpensive","1987","Not Working","vocational + Abi","9","","","","2"
"Inexpensive","1987","Not Working","higher vocational","35","0.411118772859393","0.305264948317051","0.516972597401735","2"
"Inexpensive","1987","Not Working","higher education","30","0.413637389861724","0.302179584218634","0.525095195504814","2"
"Inexpensive","1987","Part Time","in school","2","","","","2"
"Inexpensive","1987","Part Time","inadequately","6","","","","2"
"Inexpensive","1987","Part Time","general elemantary","78","0.359556749297906","0.293706555626352","0.425406942969459","2"
"Inexpensive","1987","Part Time","middle vocational","118","0.320399468468465","0.272528258217264","0.368270678719667","2"
"Inexpensive","1987","Part Time","vocational + Abi","4","","","","2"
"Inexpensive","1987","Part Time","higher vocational","13","","","","2"
"Inexpensive","1987","Part Time","higher education","12","","","","2"
"Inexpensive","1987","Full Time","vocational + Abi","11","","","","2"
"Inexpensive","1987","Full Time","higher vocational","49","0.30022505133411","0.230287764796675","0.370162337871545","2"
"Inexpensive","1987","Full Time","higher education","65","0.29588100160291","0.237147530248684","0.354614472957135","2"
"Inexpensive","1987","Full Time","general elemantary","99","0.31602060740801","0.264597007361353","0.367444207454667","2"
"Inexpensive","1987","Full Time","middle vocational","373","0.338781603167524","0.310773922199456","0.366789284135592","2"
"Inexpensive","1987","Full Time","in school","","","","","2"
"Inexpensive","1987","Full Time","inadequately","4","","","","2"
"Reasonable","1987","Part Time","in school","4","","","","3"
"Reasonable","1987","Part Time","inadequately","4","","","","3"
"Reasonable","1987","Part Time","general elemantary","67","0.343729207054147","0.278553948352262","0.408904465756032","3"
"Reasonable","1987","Part Time","middle vocational","136","0.37146020387099","0.321889601619814","0.421030806122165","3"
"Reasonable","1987","Part Time","vocational + Abi","8","","","","3"
"Reasonable","1987","Not Working","vocational + Abi","11","","","","3"
"Reasonable","1987","Not Working","higher vocational","30","0.388865837765936","0.28398957057635","0.493742104955521","3"
"Reasonable","1987","Full Time","in school","","","","","3"
"Reasonable","1987","Full Time","inadequately","17","","","","3"
"Reasonable","1987","Full Time","general elemantary","136","0.435148197184846","0.380311773802306","0.489984620567386","3"
"Reasonable","1987","Part Time","higher vocational","18","","","","3"
"Reasonable","1987","Part Time","higher education","30","0.519731623489513","0.393315044720938","0.646148202258087","3"
"Reasonable","1987","Not Working","in school","32","0.378153447375591","0.276836428573448","0.479470466177734","3"
"Reasonable","1987","Not Working","inadequately","13","","","","3"
"Reasonable","1987","Not Working","general elemantary","201","0.319787308003687","0.282836379395881","0.356738236611493","3"
"Reasonable","1987","Not Working","middle vocational","251","0.344628672513467","0.310340895270799","0.378916449756135","3"
"Reasonable","1987","Not Working","higher education","18","","","","3"
"Reasonable","1987","Full Time","middle vocational","408","0.382842252428754","0.354078019214961","0.411606485642547","3"
"Reasonable","1987","Full Time","vocational + Abi","26","","","","3"
"Reasonable","1987","Full Time","higher vocational","64","0.403605062707359","0.328744791594816","0.478465333819903","3"
"Reasonable","1987","Full Time","higher education","101","0.418947236692922","0.355459250872874","0.48243522251297","3"
"Slightly Expensive","1987","Full Time","in school","","","","","4"
"Slightly Expensive","1987","Full Time","inadequately","1","","","","4"
"Slightly Expensive","1987","Full Time","general elemantary","22","","","","4"
"Slightly Expensive","1987","Full Time","middle vocational","126","0.104654134466261","0.0865399665782986","0.122768302354223","4"
"Slightly Expensive","1987","Full Time","vocational + Abi","3","","","","4"
"Slightly Expensive","1987","Full Time","higher vocational","18","","","","4"
"Slightly Expensive","1987","Full Time","higher education","20","","","","4"
"Slightly Expensive","1987","Part Time","in school","2","","","","4"
"Slightly Expensive","1987","Part Time","inadequately","3","","","","4"
"Slightly Expensive","1987","Part Time","general elemantary","19","","","","4"
"Slightly Expensive","1987","Part Time","middle vocational","40","0.10056702187242","0.0697128526543947","0.131421191090445","4"
"Slightly Expensive","1987","Part Time","vocational + Abi","","","","","4"
"Slightly Expensive","1987","Part Time","higher vocational","5","","","","4"
"Slightly Expensive","1987","Part Time","higher education","3","","","","4"
"Slightly Expensive","1987","Not Working","in school","16","","","","4"
"Slightly Expensive","1987","Not Working","inadequately","2","","","","4"
"Slightly Expensive","1987","Not Working","general elemantary","33","0.0507023079468441","0.0333207997809079","0.0680838161127802","4"
"Slightly Expensive","1987","Not Working","middle vocational","49","0.0529896548316395","0.0368277398809236","0.0691515697823554","4"
"Slightly Expensive","1987","Not Working","vocational + Abi","3","","","","4"
"Slightly Expensive","1987","Not Working","higher vocational","6","","","","4"
"Slightly Expensive","1987","Not Working","higher education","5","","","","4"
"Too Expensive","1987","Not Working","higher vocational","1","","","","5"
"Too Expensive","1987","Part Time","in school","","","","","5"
"Too Expensive","1987","Part Time","inadequately","","","","","5"
"Too Expensive","1987","Part Time","general elemantary","6","","","","5"
