"hlf0071_h","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Much too big","1985","Not Employed","East Germany","","","","","5"
"Much too big","1985","Employed","West Germany","47","0.00799616728377521","0.00588040034570257","0.0101119342218479","5"
"Much too big","1985","Employed","East Germany","","","","","5"
"Much too small","1985","Not Employed","West Germany","134","0.0192799576899427","0.0151277609311867","0.0234321544486988","1"
"Much too small","1985","Not Employed","East Germany","","","","","1"
"Much too small","1985","Employed","West Germany","274","0.0288854006811731","0.0249066689694123","0.0328641323929339","1"
"Much too small","1985","Employed","East Germany","","","","","1"
"A little too big","1986","Not Employed","West Germany","24","","","","4"
"A little too big","1986","Employed","West Germany","52","0.065799138710094","0.049813045476401","0.081785231943787","4"
"A little too big","1986","Not Employed","East Germany","","","","","4"
"A little too big","1986","Employed","East Germany","","","","","4"
"A little too small","1986","Employed","East Germany","","","","","2"
"A little too small","1986","Not Employed","West Germany","50","0.125439649891855","0.0901292976916281","0.160750002092081","2"
"A little too small","1986","Not Employed","East Germany","","","","","2"
"A little too small","1986","Employed","West Germany","135","0.147045685140289","0.124210678970413","0.169880691310165","2"
"Just right","1986","Employed","East Germany","","","","","3"
"Just right","1986","Employed","West Germany","703","0.756379897474582","0.728701645722753","0.784058149226411","3"
"Just right","1986","Not Employed","East Germany","","","","","3"
"Just right","1986","Not Employed","West Germany","245","0.738431541530721","0.691578526124007","0.785284556937436","3"
"Much too big","1986","Not Employed","West Germany","2","","","","5"
"Much too big","1986","Not Employed","East Germany","","","","","5"
"Much too big","1986","Employed","West Germany","1","","","","5"
"Much too big","1986","Employed","East Germany","","","","","5"
"Much too small","1986","Not Employed","West Germany","17","","","","1"
"Much too small","1986","Employed","East Germany","","","","","1"
"Much too small","1986","Not Employed","East Germany","","","","","1"
"Much too small","1986","Employed","West Germany","33","0.0284160922564328","0.0177025166460907","0.0391296678667749","1"
"A little too big","1987","Not Employed","East Germany","","","","","4"
"A little too big","1987","Not Employed","West Germany","14","","","","4"
"A little too big","1987","Employed","West Germany","43","0.0609317943547335","0.0444280732519636","0.0774355154575033","4"
"A little too big","1987","Employed","East Germany","","","","","4"
"A little too small","1987","Not Employed","East Germany","","","","","2"
"A little too small","1987","Employed","East Germany","","","","","2"
"A little too small","1987","Not Employed","West Germany","37","0.117352154385013","0.0780043235524039","0.156699985217621","2"
"A little too small","1987","Employed","West Germany","127","0.128336930267581","0.105260880316929","0.151412980218233","2"
"Just right","1987","Employed","East Germany","","","","","3"
"Just right","1987","Employed","West Germany","604","0.778655756237159","0.750012776943311","0.807298735531006","3"
"Just right","1987","Not Employed","West Germany","188","0.727093353514006","0.672632596589413","0.781554110438599","3"
"Just right","1987","Not Employed","East Germany","","","","","3"
"Much too big","1987","Not Employed","West Germany","4","","","","5"
"Much too big","1987","Not Employed","East Germany","","","","","5"
"Much too big","1987","Employed","West Germany","3","","","","5"
"Much too big","1987","Employed","East Germany","","","","","5"
"Much too small","1987","Not Employed","West Germany","14","","","","1"
"Much too small","1987","Employed","East Germany","","","","","1"
"Much too small","1987","Not Employed","East Germany","","","","","1"
"Much too small","1987","Employed","West Germany","30","0.0304368803800699","0.0185846676976132","0.0422890930625266","1"
"A little too big","1988","Employed","West Germany","49","0.062365058354625","0.0453181391719865","0.0794119775372636","4"
"A little too big","1988","Not Employed","East Germany","","","","","4"
"A little too big","1988","Not Employed","West Germany","8","","","","4"
"A little too big","1988","Employed","East Germany","","","","","4"
"A little too small","1988","Employed","West Germany","122","0.164954139501608","0.138790683107474","0.191117595895743","2"
"A little too small","1988","Employed","East Germany","","","","","2"
"A little too small","1988","Not Employed","West Germany","48","0.190670011044804","0.141580969815961","0.239759052273647","2"
"A little too small","1988","Not Employed","East Germany","","","","","2"
"Just right","1988","Employed","East Germany","","","","","3"
"Just right","1988","Employed","West Germany","575","0.741271153989779","0.71039883024147","0.772143477738087","3"
"Just right","1988","Not Employed","East Germany","","","","","3"
"Just right","1988","Not Employed","West Germany","176","0.729306293497089","0.67378307951278","0.784829507481397","3"
"Much too big","1988","Not Employed","West Germany","1","","","","5"
"Much too big","1988","Not Employed","East Germany","","","","","5"
"Much too big","1988","Employed","West Germany","2","","","","5"
"Much too big","1988","Employed","East Germany","","","","","5"
"Much too small","1988","Employed","East Germany","","","","","1"
"Much too small","1988","Not Employed","West Germany","13","","","","1"
"Much too small","1988","Employed","West Germany","25","","","","1"
"Much too small","1988","Not Employed","East Germany","","","","","1"
"A little too big","1989","Employed","West Germany","50","0.0772207689476682","0.0580780441099841","0.0963634937853524","4"
"A little too big","1989","Employed","East Germany","","","","","4"
"A little too big","1989","Not Employed","West Germany","10","","","","4"
"A little too big","1989","Not Employed","East Germany","","","","","4"
"A little too small","1989","Employed","East Germany","","","","","2"
"A little too small","1989","Not Employed","West Germany","36","0.119528154244352","0.0759618086155455","0.163094499873158","2"
"A little too small","1989","Employed","West Germany","125","0.139574266223974","0.114723077800765","0.164425454647183","2"
"A little too small","1989","Not Employed","East Germany","","","","","2"
"Just right","1989","Employed","East Germany","","","","","3"
"Just right","1989","Employed","West Germany","537","0.743068439648128","0.711734794175332","0.774402085120923","3"
"Just right","1989","Not Employed","East Germany","","","","","3"
"Just right","1989","Not Employed","West Germany","157","0.774782690505985","0.718684464593536","0.830880916418435","3"
"Much too big","1989","Not Employed","West Germany","1","","","","5"
"Much too big","1989","Not Employed","East Germany","","","","","5"
"Much too big","1989","Employed","West Germany","4","","","","5"
"Much too big","1989","Employed","East Germany","","","","","5"
"Much too small","1989","Employed","East Germany","","","","","1"
"Much too small","1989","Not Employed","West Germany","9","","","","1"
"Much too small","1989","Employed","West Germany","31","0.0327154150971666","0.0199586328904221","0.0454721973039111","1"
"Much too small","1989","Not Employed","East Germany","","","","","1"
"A little too big","1990","Not Employed","East Germany","","","","","4"
"A little too big","1990","Employed","East Germany","","","","","4"
"A little too big","1990","Not Employed","West Germany","10","","","","4"
"A little too big","1990","Employed","West Germany","30","0.0530871500896113","0.036284810769895","0.0698894894093276","4"
"A little too small","1990","Employed","East Germany","","","","","2"
"A little too small","1990","Not Employed","East Germany","","","","","2"
"A little too small","1990","Employed","West Germany","92","0.155309246250232","0.128165638777516","0.182452853722948","2"
"A little too small","1990","Not Employed","West Germany","33","0.176031237555962","0.122577136524616","0.229485338587307","2"
"Just right","1990","Employed","West Germany","513","0.721314759793617","0.687714747700341","0.754914771886894","3"
"Just right","1990","Employed","East Germany","","","","","3"
"Just right","1990","Not Employed","East Germany","","","","","3"
"Just right","1990","Not Employed","West Germany","140","0.724418402250057","0.661706405455079","0.787130399045034","3"
"Much too big","1990","Not Employed","West Germany","","","","","5"
"Much too big","1990","Not Employed","East Germany","","","","","5"
"Much too big","1990","Employed","West Germany","5","","","","5"
"Much too big","1990","Employed","East Germany","","","","","5"
"Much too small","1990","Employed","East Germany","","","","","1"
"Much too small","1990","Employed","West Germany","44","0.0638132931183175","0.0454961873210081","0.0821303989156269","1"
"Much too small","1990","Not Employed","West Germany","12","","","","1"
"Much too small","1990","Not Employed","East Germany","","","","","1"
"A little too big","1991","Not Employed","East Germany","","","","","4"
"A little too big","1991","Employed","West Germany","299","0.0656134772057194","0.0593659918337435","0.0718609625776952","4"
"A little too big","1991","Employed","East Germany","","","","","4"
"A little too big","1991","Not Employed","West Germany","248","0.0924903335309479","0.0824397690939012","0.102540897967995","4"
"A little too small","1991","Employed","West Germany","1225","0.186721872140678","0.176889403250697","0.196554341030659","2"
"A little too small","1991","Employed","East Germany","","","","","2"
"A little too small","1991","Not Employed","East Germany","","","","","2"
"A little too small","1991","Not Employed","West Germany","464","0.107619295648216","0.0968685940409502","0.118369997255482","2"
"Just right","1991","Employed","East Germany","","","","","3"
"Just right","1991","Employed","West Germany","4218","0.712240065875176","0.700817233571158","0.723662898179194","3"
"Just right","1991","Not Employed","East Germany","","","","","3"
"Just right","1991","Not Employed","West Germany","2351","0.775272414736036","0.760792299835441","0.78975252963663","3"
"Much too big","1991","Not Employed","West Germany","20","","","","5"
"Much too big","1991","Not Employed","East Germany","","","","","5"
"Much too big","1991","Employed","West Germany","26","","","","5"
"Much too big","1991","Employed","East Germany","","","","","5"
"Much too small","1991","Not Employed","West Germany","109","0.0156489780366188","0.0113433685387054","0.0199545875345321","1"
"Much too small","1991","Employed","East Germany","","","","","1"
"Much too small","1991","Not Employed","East Germany","","","","","1"
"Much too small","1991","Employed","West Germany","266","0.0303670094381682","0.0260373858398027","0.0346966330365336","1"
"A little too big","1992","Not Employed","West Germany","237","0.093100153122612","0.0829881693588372","0.103212136886387","4"
"A little too big","1992","Employed","West Germany","290","0.0626406206762584","0.0565235632163313","0.0687576781361855","4"
"A little too big","1992","Not Employed","East Germany","85","0.0838265790674983","0.0669595564011372","0.100693601733859","4"
"A little too big","1992","Employed","East Germany","195","0.073006171822637","0.0635962010428181","0.0824161426024559","4"
"A little too small","1992","Employed","East Germany","720","0.23169284048222","0.216431460261736","0.246954220702704","2"
"A little too small","1992","Employed","West Germany","1258","0.190233903691387","0.180325921348791","0.200141886033984","2"
"A little too small","1992","Not Employed","West Germany","443","0.0999498695165565","0.0895121417138702","0.110387597319243","2"
"A little too small","1992","Not Employed","East Germany","143","0.109179731113485","0.0901984829158045","0.128160979311166","2"
"Just right","1992","Not Employed","East Germany","776","0.782140833177325","0.757016814253315","0.807264852101335","3"
"Just right","1992","Employed","West Germany","4138","0.705786326274542","0.694282839017123","0.717289813531961","3"
"Just right","1992","Employed","East Germany","1885","0.653625074677046","0.636414013821305","0.670836135532787","3"
"Just right","1992","Not Employed","West Germany","2346","0.780858328583791","0.766462717338745","0.795253939828836","3"
"Much too big","1992","Not Employed","West Germany","21","","","","5"
"Much too big","1992","Not Employed","East Germany","4","","","","5"
"Much too big","1992","Employed","West Germany","19","","","","5"
"Much too big","1992","Employed","East Germany","13","","","","5"
"Much too small","1992","Not Employed","West Germany","125","0.0185625443731116","0.0138654253160464","0.0232596634301768","1"
"Much too small","1992","Employed","West Germany","323","0.036056757241128","0.0313504472034796","0.0407630672787764","1"
"Much too small","1992","Employed","East Germany","123","0.0379488043053216","0.0310373696616579","0.0448602389489853","1"
"Much too small","1992","Not Employed","East Germany","29","","","","1"
"A little too big","1993","Employed","East Germany","160","0.0658546202357077","0.0562392053884082","0.0754700350830072","4"
"A little too big","1993","Not Employed","West Germany","239","0.0870202118848877","0.0771488320298839","0.0968915917398915","4"
"A little too big","1993","Not Employed","East Germany","97","0.0879976622655759","0.0722235117301456","0.103771812801006","4"
"A little too big","1993","Employed","West Germany","351","0.072096653290674","0.0655705437171236","0.0786227628642243","4"
"A little too small","1993","Not Employed","East Germany","186","0.12064006510755","0.102504063042798","0.138776067172303","2"
"A little too small","1993","Employed","East Germany","625","0.233792468258585","0.217384449923383","0.250200486593786","2"
"A little too small","1993","Employed","West Germany","1239","0.193821413232046","0.183847583605995","0.203795242858097","2"
"A little too small","1993","Not Employed","West Germany","454","0.111959328774347","0.100916412343522","0.123002245205172","2"
"Just right","1993","Employed","West Germany","4111","0.697426147244873","0.685835431677791","0.709016862811954","3"
"Just right","1993","Not Employed","East Germany","922","0.765797528963921","0.742216369527999","0.789378688399843","3"
"Just right","1993","Not Employed","West Germany","2296","0.774976442545685","0.76035145657816","0.78960142851321","3"
"Just right","1993","Employed","East Germany","1671","0.657396975349712","0.638998700033258","0.675795250666167","3"
"Much too big","1993","Not Employed","West Germany","19","","","","5"
"Much too big","1993","Not Employed","East Germany","14","","","","5"
"Much too big","1993","Employed","West Germany","18","","","","5"
"Much too big","1993","Employed","East Germany","8","","","","5"
"Much too small","1993","Not Employed","West Germany","124","0.0174272114762055","0.0128443837568658","0.0220100391955451","1"
"Much too small","1993","Employed","West Germany","315","0.0339685906745679","0.0293979211008302","0.0385392602483055","1"
"Much too small","1993","Employed","East Germany","92","0.0390203828641156","0.0315133119645522","0.0465274537636791","1"
"Much too small","1993","Not Employed","East Germany","20","","","","1"
"A little too big","1994","Not Employed","East Germany","121","0.0982410561401832","0.0821783973561715","0.114303714924195","4"
"A little too big","1994","Employed","East Germany","135","0.0587989061570815","0.0494358408059918","0.0681619715081713","4"
"A little too big","1994","Not Employed","West Germany","234","0.0856083245598036","0.0758440186506833","0.0953726304689239","4"
"A little too big","1994","Employed","West Germany","372","0.0874065966211033","0.0801179611056302","0.0946952321365764","4"
"A little too small","1994","Employed","West Germany","1120","0.186551189378784","0.176498098916542","0.196604279841027","2"
"A little too small","1994","Not Employed","East Germany","184","0.119882326265622","0.102352660112603","0.137411992418642","2"
"A little too small","1994","Employed","East Germany","585","0.238165467219029","0.221211866820279","0.255119067617778","2"
"A little too small","1994","Not Employed","West Germany","430","0.103697479192862","0.0930577970185599","0.114337161367164","2"
"Just right","1994","Not Employed","West Germany","2353","0.783942346586639","0.769579380458829","0.798305312714449","3"
"Just right","1994","Not Employed","East Germany","974","0.756954905040845","0.733807403195865","0.780102406885826","3"
"Just right","1994","Employed","West Germany","3990","0.691457034360231","0.679537044402648","0.703377024317814","3"
"Just right","1994","Employed","East Germany","1570","0.648212551198221","0.629206534444542","0.667218567951899","3"
"Much too big","1994","Not Employed","West Germany","26","","","","5"
"Much too big","1994","Not Employed","East Germany","17","","","","5"
"Much too big","1994","Employed","West Germany","18","","","","5"
"Much too big","1994","Employed","East Germany","19","","","","5"
"Much too small","1994","Not Employed","West Germany","111","0.0175620613478097","0.0129779247094379","0.0221461979861814","1"
"Much too small","1994","Not Employed","East Germany","23","","","","1"
"Much too small","1994","Employed","West Germany","268","0.0303434435015471","0.0259167763615516","0.0347701106415425","1"
"Much too small","1994","Employed","East Germany","116","0.0475102522312495","0.0390435157598555","0.0559769887026435","1"
"A little too big","1995","Employed","West Germany","390","0.0836760529878193","0.0766980458374063","0.0906540601382323","4"
"A little too big","1995","Not Employed","West Germany","286","0.10387966567644","0.0936869221667163","0.114072409186163","4"
"A little too big","1995","Not Employed","East Germany","120","0.0930246549484957","0.0772773197546776","0.108771990142314","4"
"A little too big","1995","Employed","East Germany","166","0.0771266694788676","0.0664216809026417","0.0878316580550935","4"
"A little too small","1995","Not Employed","West Germany","519","0.112768692212704","0.102201603360006","0.123335781065403","2"
"A little too small","1995","Employed","West Germany","1163","0.18051130767362","0.170818937608096","0.190203677739144","2"
"A little too small","1995","Employed","East Germany","534","0.231957506119736","0.215021550329768","0.248893461909704","2"
"A little too small","1995","Not Employed","East Germany","175","0.116682844405253","0.0992779203101802","0.134087768500325","2"
"Just right","1995","Not Employed","East Germany","974","0.768199603958964","0.745322322069072","0.791076885848857","3"
"Just right","1995","Not Employed","West Germany","2487","0.754671995032623","0.740297409259048","0.769046580806199","3"
"Just right","1995","Employed","East Germany","1583","0.651182312533352","0.632058986980019","0.670305638086686","3"
"Just right","1995","Employed","West Germany","4226","0.698118220427248","0.686549395843746","0.70968704501075","3"
"Much too big","1995","Not Employed","West Germany","22","","","","5"
"Much too big","1995","Not Employed","East Germany","8","","","","5"
"Much too big","1995","Employed","West Germany","30","0.00784732369575542","0.00562372537949698","0.0100709220120139","5"
"Much too big","1995","Employed","East Germany","13","","","","5"
"Much too small","1995","Not Employed","West Germany","128","0.0201961493777592","0.0154967049740953","0.0248955937814232","1"
"Much too small","1995","Not Employed","East Germany","30","0.0153768096922706","0.00870600159750846","0.0220476177870328","1"
"Much too small","1995","Employed","West Germany","240","0.0298470952155574","0.0255588715577244","0.0341353188733903","1"
"Much too small","1995","Employed","East Germany","90","0.0340282598535168","0.026753562131748","0.0413029575752856","1"
"A little too big","1996","Employed","East Germany","138","0.0631365010669192","0.0533716756204263","0.0729013265134122","4"
"A little too big","1996","Not Employed","West Germany","305","0.115958327552128","0.105077189789015","0.126839465315241","4"
"A little too big","1996","Employed","West Germany","432","0.0955829184583492","0.0881390194283878","0.103026817488311","4"
"A little too big","1996","Not Employed","East Germany","113","0.0954137566152608","0.0793694613218841","0.111458051908638","4"
"A little too small","1996","Not Employed","East Germany","182","0.120533589926161","0.102752686066849","0.138314493785472","2"
"A little too small","1996","Employed","East Germany","531","0.230229922333665","0.213327557719173","0.247132286948157","2"
"A little too small","1996","Not Employed","West Germany","494","0.111575946685008","0.100875980311128","0.122275913058889","2"
"A little too small","1996","Employed","West Germany","1125","0.180555566223139","0.170817086872597","0.190294045573682","2"
"Just right","1996","Not Employed","West Germany","2405","0.748511625362424","0.733766610978358","0.76325663974649","3"
"Just right","1996","Not Employed","East Germany","952","0.755797997946819","0.732335857070012","0.779260138823625","3"
"Just right","1996","Employed","West Germany","4194","0.694307310246574","0.682643395202129","0.705971225291019","3"
"Just right","1996","Employed","East Germany","1621","0.670139061316225","0.651262017599144","0.689016105033306","3"
"Much too big","1996","Not Employed","East Germany","10","","","","5"
"Much too big","1996","Not Employed","West Germany","25","","","","5"
"Much too big","1996","Employed","West Germany","25","","","","5"
"Much too big","1996","Employed","East Germany","9","","","","5"
"Much too small","1996","Not Employed","West Germany","97","0.0134118208350767","0.00950252268504589","0.0173211189851074","1"
"Much too small","1996","Not Employed","East Germany","31","0.0214750927442257","0.0135584029885811","0.0293917824998703","1"
"Much too small","1996","Employed","West Germany","217","0.0242711759211376","0.0203750235894631","0.0281673282528121","1"
"Much too small","1996","Employed","East Germany","84","0.0332646958014635","0.0260647100426409","0.0404646815602861","1"
"A little too big","1997","Employed","East Germany","129","0.0614093227296182","0.0516253429481774","0.0711933025110591","4"
"A little too big","1997","Not Employed","East Germany","128","0.112482485457159","0.0954826957986993","0.129482275115618","4"
"A little too big","1997","Not Employed","West Germany","292","0.112695402771251","0.102047456377574","0.123343349164928","4"
"A little too big","1997","Employed","West Germany","378","0.0903954521118593","0.0830101050219159","0.0977807992018028","4"
"A little too small","1997","Not Employed","East Germany","170","0.113854153332949","0.0967642474197183","0.130944059246179","2"
"A little too small","1997","Employed","West Germany","1110","0.188692682436433","0.178615444003879","0.198769920868986","2"
"A little too small","1997","Employed","East Germany","486","0.223867855951941","0.206880570690489","0.240855141213393","2"
"A little too small","1997","Not Employed","West Germany","485","0.117555364836146","0.10671007031159","0.128400659360703","2"
"Just right","1997","Not Employed","West Germany","2499","0.745630262547665","0.730965640506695","0.760294884588634","3"
"Just right","1997","Employed","East Germany","1628","0.68580272765972","0.666885343471042","0.704720111848399","3"
"Just right","1997","Employed","West Germany","4115","0.695736948631273","0.683886945890251","0.707586951372296","3"
"Just right","1997","Not Employed","East Germany","995","0.746221636899987","0.722807732316711","0.769635541483263","3"
"Much too big","1997","Not Employed","West Germany","22","","","","5"
"Much too big","1997","Not Employed","East Germany","9","","","","5"
"Much too big","1997","Employed","West Germany","19","","","","5"
"Much too big","1997","Employed","East Germany","8","","","","5"
"Much too small","1997","Not Employed","West Germany","90","0.0143994130521373","0.0103879826485148","0.0184108434557598","1"
"Much too small","1997","Not Employed","East Germany","25","","","","1"
"Much too small","1997","Employed","West Germany","169","0.0206228349307867","0.0169625029334984","0.0242831669280749","1"
"Much too small","1997","Employed","East Germany","62","0.0263950892415698","0.0198620807924996","0.03292809769064","1"
"A little too big","1998","Employed","West Germany","455","0.0832153853841674","0.0763911390087822","0.0900396317595527","4"
"A little too big","1998","Employed","East Germany","193","0.0890024214857443","0.0777179977104265","0.100286845261062","4"
"A little too big","1998","Not Employed","East Germany","163","0.126038576984007","0.108782227440388","0.143294926527625","4"
"A little too big","1998","Not Employed","West Germany","382","0.118972791287041","0.108783061333322","0.12916252124076","4"
"A little too small","1998","Not Employed","West Germany","509","0.107047798959106","0.097317029895737","0.116778568022475","2"
"A little too small","1998","Employed","West Germany","1144","0.177875452822307","0.168427318861344","0.187323586783271","2"
"A little too small","1998","Not Employed","East Germany","170","0.110033532692612","0.093763051321678","0.126304014063546","2"
"A little too small","1998","Employed","East Germany","471","0.211995831532926","0.195798339207124","0.228193323858728","2"
"Just right","1998","Employed","East Germany","1712","0.670846647628655","0.652224462793964","0.689468832463346","3"
"Just right","1998","Not Employed","West Germany","2834","0.738505788750421","0.724674833371904","0.752336744128938","3"
"Just right","1998","Not Employed","East Germany","1060","0.741057799264152","0.718281743859161","0.763833854669144","3"
"Just right","1998","Employed","West Germany","4463","0.701156313788247","0.689846676103777","0.712465951472718","3"
"Much too big","1998","Not Employed","West Germany","49","0.0159554202875008","0.0120117036765046","0.0198991368984969","5"
"Much too big","1998","Not Employed","East Germany","9","","","","5"
"Much too big","1998","Employed","West Germany","38","0.00666417792719148","0.00465397192324652","0.00867438393113643","5"
"Much too big","1998","Employed","East Germany","7","","","","5"
"Much too small","1998","Not Employed","West Germany","104","0.0195182007159308","0.0151642466126728","0.0238721548191887","1"
"Much too small","1998","Not Employed","East Germany","19","","","","1"
"Much too small","1998","Employed","West Germany","193","0.0310886700780863","0.0268005956545525","0.0353767445016201","1"
"Much too small","1998","Employed","East Germany","63","0.0248381547977647","0.0186705309417369","0.0310057786537926","1"
"A little too big","1999","Employed","East Germany","167","0.0732907458879948","0.0628966709357913","0.0836848208401982","4"
"A little too big","1999","Employed","West Germany","427","0.0727115373861559","0.0663224126121622","0.0791006621601496","4"
"A little too big","1999","Not Employed","West Germany","347","0.120978505290685","0.11025580068515","0.13170120989622","4"
"A little too big","1999","Not Employed","East Germany","115","0.0858433296291365","0.0710634076570668","0.100623251601206","4"
"A little too small","1999","Employed","East Germany","475","0.205472499924833","0.189357851210622","0.221587148639045","2"
"A little too small","1999","Not Employed","West Germany","469","0.107153236839807","0.096982753357513","0.117323720322101","2"
"A little too small","1999","Not Employed","East Germany","135","0.0951608235279481","0.0796789561937879","0.110642690862108","2"
"A little too small","1999","Employed","West Germany","1143","0.183151606868119","0.17363442488058","0.192668788855659","2"
"Just right","1999","Employed","East Germany","1721","0.702316356678087","0.684080196374196","0.720552516981978","3"
"Just right","1999","Employed","West Germany","4592","0.718306569870046","0.707238406618487","0.729374733121606","3"
"Just right","1999","Not Employed","East Germany","1109","0.802772220837647","0.781778531903538","0.823765909771756","3"
"Just right","1999","Not Employed","West Germany","2635","0.751413391017626","0.737202254301825","0.765624527733427","3"
"Much too big","1999","Not Employed","West Germany","22","","","","5"
"Much too big","1999","Not Employed","East Germany","10","","","","5"
"Much too big","1999","Employed","West Germany","20","","","","5"
"Much too big","1999","Employed","East Germany","7","","","","5"
"Much too small","1999","Not Employed","West Germany","80","0.013124046492998","0.00938194423614306","0.0168661487498529","1"
"Much too small","1999","Not Employed","East Germany","11","","","","1"
"Much too small","1999","Employed","West Germany","163","0.0205806656365575","0.0170872816688757","0.0240740496042393","1"
"Much too small","1999","Employed","East Germany","45","0.0156683494299212","0.010715309004357","0.0206213898554855","1"
"A little too big","2000","Employed","East Germany","278","0.077988913035412","0.0692620367640241","0.0867157893068","4"
"A little too big","2000","Not Employed","East Germany","209","0.0930212318420793","0.0809684329719369","0.105074030712222","4"
"A little too big","2000","Employed","West Germany","835","0.0762424105484632","0.0713922333175599","0.0810925877793666","4"
"A little too big","2000","Not Employed","West Germany","722","0.112784304352145","0.105248583980464","0.120320024723826","4"
"A little too small","2000","Not Employed","East Germany","202","0.0885786953647108","0.0767884584040418","0.10036893232538","2"
"A little too small","2000","Employed","East Germany","624","0.17683968610252","0.164422980249993","0.189256391955047","2"
"A little too small","2000","Not Employed","West Germany","731","0.0974999816725461","0.0904333621202705","0.104566601224822","2"
"A little too small","2000","Employed","West Germany","1874","0.170041417005143","0.163175700651344","0.176907133358941","2"
"Just right","2000","Employed","East Germany","2657","0.719658699169855","0.705040928470519","0.73427646986919","3"
"Just right","2000","Employed","West Germany","8470","0.72607447940887","0.717923925519563","0.734225033298176","3"
"Just right","2000","Not Employed","West Germany","5123","0.761717344786541","0.75156821113117","0.771866478441912","3"
"Just right","2000","Not Employed","East Germany","1781","0.800532262298127","0.783950753087903","0.817113771508352","3"
"Much too big","2000","Not Employed","West Germany","84","0.0143042499308539","0.0114755308441324","0.0171329690175754","5"
"Much too big","2000","Not Employed","East Germany","15","","","","5"
"Much too big","2000","Employed","West Germany","50","0.00573072854131072","0.0043511792689879","0.00711027781363354","5"
"Much too big","2000","Employed","East Germany","9","","","","5"
"Much too small","2000","Not Employed","West Germany","109","0.013694119257914","0.0109255289252558","0.0164627095905722","1"
"Much too small","2000","Not Employed","East Germany","24","","","","1"
"Much too small","2000","Employed","East Germany","59","0.0230382043201932","0.0181557586823068","0.0279206499580796","1"
"Much too small","2000","Employed","West Germany","272","0.0219109644962136","0.0192354935937954","0.0245864353986317","1"
"A little too big","2001","Employed","West Germany","738","0.0737842320649954","0.0687904033136449","0.0787780608163459","4"
"A little too big","2001","Not Employed","East Germany","165","0.0861915765768323","0.0742253193732895","0.098157833780375","4"
"A little too big","2001","Employed","East Germany","254","0.0839546321432182","0.0745496996930533","0.0933595645933832","4"
"A little too big","2001","Not Employed","West Germany","652","0.119537454747112","0.111316309298885","0.12775860019534","4"
"A little too small","2001","Employed","West Germany","1741","0.169324753249547","0.162160488279773","0.17648901821932","2"
"A little too small","2001","Employed","East Germany","532","0.160996374549705","0.148532162625809","0.173460586473601","2"
"A little too small","2001","Not Employed","West Germany","599","0.0890355783720037","0.08181856705051","0.0962525896934975","2"
"A little too small","2001","Not Employed","East Germany","183","0.0785931860776074","0.0671191423735548","0.0900672297816601","2"
