"hlf0071_h","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"A little too small","1984","Bremen","general elemantary","7","","",""
"A little too small","1984","Bremen","middle vocational","9","","",""
"A little too small","1984","Bremen","vocational + Abi","1","","",""
"A little too small","1984","Bremen","higher vocational","1","","",""
"A little too small","1984","Bremen","higher education","","","",""
"A little too small","1984","North Rhine-Westphalia","in school","9","","",""
"A little too small","1984","North Rhine-Westphalia","inadequately","67","0.212347349062549","0.166599603752457","0.258095094372642"
"A little too small","1984","North Rhine-Westphalia","general elemantary","131","0.108085091282182","0.0874534834903281","0.128716699074037"
"A little too small","1984","North Rhine-Westphalia","middle vocational","248","0.139249552940505","0.121907678842677","0.156591427038333"
"A little too small","1984","North Rhine-Westphalia","vocational + Abi","19","","",""
"A little too small","1984","North Rhine-Westphalia","higher vocational","27","","",""
"A little too small","1984","North Rhine-Westphalia","higher education","38","0.156243286077092","0.10890601973599","0.203580552418195"
"A little too small","1984","Hesse","in school","1","","",""
"A little too small","1984","Hesse","inadequately","18","","",""
"A little too small","1984","Hesse","general elemantary","56","0.11563011809874","0.0823652067020976","0.148895029495382"
"A little too small","1984","Hesse","middle vocational","90","0.100653121297611","0.0762723524268404","0.125033890168381"
"A little too small","1984","Hesse","vocational + Abi","7","","",""
"A little too small","1984","Hesse","higher vocational","10","","",""
"A little too small","1984","Hesse","higher education","9","","",""
"A little too small","1984","Rhineland-Palatinate,Saarland","in school","1","","",""
"A little too small","1984","Rhineland-Palatinate,Saarland","inadequately","12","","",""
"A little too small","1984","Rhineland-Palatinate,Saarland","general elemantary","33","0.0792017065148273","0.0485404829741733","0.109862930055481"
"A little too small","1984","Rhineland-Palatinate,Saarland","middle vocational","38","0.0810096796616685","0.0539994060586115","0.108019953264726"
"A little too small","1984","Rhineland-Palatinate,Saarland","vocational + Abi","","","",""
"A little too small","1984","Rhineland-Palatinate,Saarland","higher vocational","5","","",""
"A little too small","1984","Rhineland-Palatinate,Saarland","higher education","8","","",""
"A little too small","1984","Baden-Württemberg","in school","4","","",""
"A little too small","1984","Baden-Württemberg","inadequately","59","0.210955212433211","0.164079535278345","0.257830889588077"
