"hlf0071_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"3","1986","Employed","direct migration background","207","0.762288971573111","0.712249792420665","0.812328150725556"
"3","1986","Employed","indirect migration background","18","","",""
"4","1986","Not Employed","no migration background","20","","",""
"4","1986","Not Employed","direct migration background","4","","",""
"4","1986","Not Employed","indirect migration background","","","",""
"4","1986","Employed","no migration background","41","0.0701063154925161","0.0501051112367738","0.0901075197482584"
"4","1986","Employed","direct migration background","11","","",""
"4","1986","Employed","indirect migration background","","","",""
"5","1986","Not Employed","no migration background","2","","",""
"5","1986","Not Employed","direct migration background","","","",""
"5","1986","Not Employed","indirect migration background","","","",""
"5","1986","Employed","no migration background","1","","",""
"5","1986","Employed","direct migration background","","","",""
"5","1986","Employed","indirect migration background","","","",""
"1","1987","Not Employed","no migration background","8","","",""
"1","1987","Not Employed","direct migration background","6","","",""
"1","1987","Not Employed","indirect migration background","","","",""
"1","1987","Employed","no migration background","17","","",""
"1","1987","Employed","direct migration background","12","","",""
"1","1987","Employed","indirect migration background","1","","",""
"2","1987","Not Employed","no migration background","23","","",""
"2","1987","Not Employed","direct migration background","13","","",""
"2","1987","Not Employed","indirect migration background","1","","",""
"2","1987","Employed","no migration background","67","0.123371298416434","0.0952404163573392","0.151502180475529"
"2","1987","Employed","direct migration background","57","0.157484315425516","0.113627933042584","0.201340697808448"
"2","1987","Employed","indirect migration background","3","","",""
"3","1987","Not Employed","no migration background","112","0.729048509377557","0.659526510508739","0.798570508246375"
"3","1987","Not Employed","direct migration background","69","0.706204162195561","0.613127214429369","0.799281109961754"
"3","1987","Not Employed","indirect migration background","7","","",""
"3","1987","Employed","no migration background","404","0.779637894936408","0.744182415234045","0.815093374638771"
"3","1987","Employed","direct migration background","187","0.767862850014135","0.717030603176983","0.818695096851288"
"3","1987","Employed","indirect migration background","13","","",""
"4","1987","Not Employed","no migration background","11","","",""
"4","1987","Not Employed","direct migration background","3","","",""
"4","1987","Not Employed","indirect migration background","","","",""
"4","1987","Employed","no migration background","36","0.0653856663628442","0.0442397780034172","0.0865315547222711"
"4","1987","Employed","direct migration background","7","","",""
"4","1987","Employed","indirect migration background","","","",""
"5","1987","Not Employed","no migration background","3","","",""
"5","1987","Not Employed","direct migration background","1","","",""
"5","1987","Not Employed","indirect migration background","","","",""
"5","1987","Employed","no migration background","1","","",""
"5","1987","Employed","direct migration background","2","","",""
"5","1987","Employed","indirect migration background","","","",""
"1","1988","Not Employed","no migration background","6","","",""
"1","1988","Not Employed","direct migration background","7","","",""
"1","1988","Not Employed","indirect migration background","","","",""
"1","1988","Employed","no migration background","16","","",""
"1","1988","Employed","direct migration background","9","","",""
"1","1988","Employed","indirect migration background","","","",""
"2","1988","Not Employed","no migration background","22","","",""
"2","1988","Not Employed","direct migration background","24","","",""
"2","1988","Not Employed","indirect migration background","2","","",""
"2","1988","Employed","no migration background","77","0.164741064409894","0.132949730859898","0.19653239795989"
"2","1988","Employed","direct migration background","44","0.166393590727896","0.119176637489419","0.213610543966374"
"2","1988","Employed","indirect migration background","1","","",""
"3","1988","Not Employed","no migration background","110","0.749833802611252","0.679094028959591","0.820573576262913"
"3","1988","Not Employed","direct migration background","62","0.636122205095784","0.539881115887702","0.732363294303866"
"3","1988","Not Employed","indirect migration background","4","","",""
"3","1988","Employed","no migration background","390","0.73756353089577","0.699857652987319","0.77526940880422"
"3","1988","Employed","direct migration background","175","0.764075952891954","0.710248539454334","0.817903366329574"
"3","1988","Employed","indirect migration background","10","","",""
"4","1988","Not Employed","no migration background","5","","",""
"4","1988","Not Employed","direct migration background","3","","",""
"4","1988","Not Employed","indirect migration background","","","",""
"4","1988","Employed","no migration background","38","0.0673541317858132","0.0458739598634941","0.0888343037081323"
"4","1988","Employed","direct migration background","11","","",""
"4","1988","Employed","indirect migration background","","","",""
"5","1988","Not Employed","no migration background","1","","",""
"5","1988","Not Employed","direct migration background","","","",""
"5","1988","Not Employed","indirect migration background","","","",""
"5","1988","Employed","no migration background","2","","",""
"5","1988","Employed","direct migration background","","","",""
"5","1988","Employed","indirect migration background","","","",""
"1","1989","Not Employed","no migration background","8","","",""
"1","1989","Not Employed","direct migration background","1","","",""
"1","1989","Not Employed","indirect migration background","","","",""
"1","1989","Employed","no migration background","23","","",""
"1","1989","Employed","direct migration background","8","","",""
"1","1989","Employed","indirect migration background","","","",""
"2","1989","Not Employed","no migration background","20","","",""
"2","1989","Not Employed","direct migration background","14","","",""
"2","1989","Not Employed","indirect migration background","2","","",""
"2","1989","Employed","no migration background","71","0.133018350242507","0.104188312042668","0.161848388442345"
"2","1989","Employed","direct migration background","51","0.195892324458864","0.14032930110816","0.251455347809567"
"2","1989","Employed","indirect migration background","3","","",""
"3","1989","Not Employed","no migration background","99","0.774663070655577","0.703922541471323","0.845403599839832"
"3","1989","Not Employed","direct migration background","53","0.778316131947759","0.682370125213636","0.874262138681882"
"3","1989","Not Employed","indirect migration background","5","","",""
"3","1989","Employed","no migration background","392","0.745564174238276","0.708588497348349","0.782539851128202"
"3","1989","Employed","direct migration background","130","0.715023725056502","0.651828446262262","0.778219003850742"
"3","1989","Employed","indirect migration background","15","","",""
"4","1989","Not Employed","no migration background","6","","",""
"4","1989","Not Employed","direct migration background","4","","",""
"4","1989","Not Employed","indirect migration background","","","",""
"4","1989","Employed","no migration background","43","0.0805617708607159","0.0574565423978119","0.10366699932362"
"4","1989","Employed","direct migration background","7","","",""
"4","1989","Employed","indirect migration background","","","",""
"5","1989","Not Employed","no migration background","1","","",""
"5","1989","Not Employed","direct migration background","","","",""
"5","1989","Not Employed","indirect migration background","","","",""
"5","1989","Employed","no migration background","4","","",""
"5","1989","Employed","direct migration background","","","",""
"5","1989","Employed","indirect migration background","","","",""
"1","1990","Not Employed","no migration background","7","","",""
"1","1990","Not Employed","direct migration background","4","","",""
"1","1990","Not Employed","indirect migration background","1","","",""
"1","1990","Employed","no migration background","22","","",""
"1","1990","Employed","direct migration background","21","","",""
"1","1990","Employed","indirect migration background","1","","",""
"2","1990","Not Employed","no migration background","19","","",""
"2","1990","Not Employed","direct migration background","12","","",""
"2","1990","Not Employed","indirect migration background","2","","",""
"2","1990","Employed","no migration background","64","0.14807113173857","0.116264535221847","0.179877728255294"
"2","1990","Employed","direct migration background","25","","",""
"2","1990","Employed","indirect migration background","3","","",""
"3","1990","Not Employed","no migration background","91","0.748556366717267","0.672195680165164","0.82491705326937"
"3","1990","Not Employed","direct migration background","42","0.614137090817334","0.491976154049377","0.73629802758529"
"3","1990","Not Employed","indirect migration background","7","","",""
"3","1990","Employed","no migration background","367","0.741878767070419","0.702690264362466","0.781067269778372"
"3","1990","Employed","direct migration background","127","0.579982665216752","0.50827699306906","0.651688337364444"
"3","1990","Employed","indirect migration background","19","","",""
"4","1990","Not Employed","no migration background","7","","",""
"4","1990","Not Employed","direct migration background","3","","",""
"4","1990","Not Employed","indirect migration background","","","",""
"4","1990","Employed","no migration background","23","","",""
"4","1990","Employed","direct migration background","7","","",""
"4","1990","Employed","indirect migration background","","","",""
"5","1990","Not Employed","no migration background","","","",""
"5","1990","Not Employed","direct migration background","","","",""
"5","1990","Not Employed","indirect migration background","","","",""
"5","1990","Employed","no migration background","3","","",""
"5","1990","Employed","direct migration background","2","","",""
"5","1990","Employed","indirect migration background","","","",""
"1","1991","Not Employed","no migration background","27","","",""
"1","1991","Not Employed","direct migration background","69","0.0507856439048028","0.0350090134175118","0.0665622743920937"
"1","1991","Not Employed","indirect migration background","13","","",""
"1","1991","Employed","no migration background","108","0.0252733063400476","0.0204824418802107","0.0300641707998846"
"1","1991","Employed","direct migration background","149","0.0639814405547894","0.0523449870476252","0.0756178940619536"
"1","1991","Employed","indirect migration background","9","","",""
"2","1991","Not Employed","no migration background","260","0.0977273027039101","0.085641525588373","0.109813079819447"
"2","1991","Not Employed","direct migration background","176","0.175885182409114","0.14852807904023","0.203242285777999"
"2","1991","Not Employed","indirect migration background","28","","",""
"2","1991","Employed","no migration background","783","0.180906247805128","0.169156325003647","0.192656170606609"
"2","1991","Employed","direct migration background","385","0.21527217374827","0.19572855976252","0.234815787734021"
"2","1991","Employed","indirect migration background","57","0.286850443551851","0.225967136879357","0.347733750224345"
"3","1991","Not Employed","no migration background","1787","0.782042335043661","0.765238867098148","0.798845802989173"
"3","1991","Not Employed","direct migration background","480","0.732095778516565","0.700273201000047","0.763918356033082"
"3","1991","Not Employed","indirect migration background","84","0.674440736873418","0.593579540725865","0.755301933020972"
"3","1991","Employed","no migration background","2941","0.715702218760815","0.701933474274972","0.729470963246659"
"3","1991","Employed","direct migration background","1133","0.692803861679623","0.670867508614236","0.714740214745011"
"3","1991","Employed","indirect migration background","144","0.677917697760084","0.615017490367932","0.740817905152235"
"4","1991","Not Employed","no migration background","226","0.0998631346751059","0.087660472499829","0.112065796850383"
"4","1991","Not Employed","direct migration background","18","","",""
"4","1991","Not Employed","indirect migration background","4","","",""
"4","1991","Employed","no migration background","270","0.0726634158306589","0.0647398982626631","0.0805869333986547"
"4","1991","Employed","direct migration background","27","","",""
"4","1991","Employed","indirect migration background","2","","",""
"5","1991","Not Employed","no migration background","19","","",""
"5","1991","Not Employed","direct migration background","1","","",""
"5","1991","Not Employed","indirect migration background","","","",""
"5","1991","Employed","no migration background","21","","",""
"5","1991","Employed","direct migration background","5","","",""
"5","1991","Employed","indirect migration background","","","",""
"1","1992","Not Employed","no migration background","76","0.0157372639026401","0.0114747817431409","0.0199997460621393"
"1","1992","Not Employed","direct migration background","62","0.0343900838539364","0.0216016233784881","0.0471785443293847"
"1","1992","Not Employed","indirect migration background","16","","",""
"1","1992","Employed","no migration background","258","0.032676645635511","0.0285153199404782","0.0368379713305438"
"1","1992","Employed","direct migration background","162","0.0608160565171879","0.0494852319066628","0.0721468811277131"
"1","1992","Employed","indirect migration background","26","","",""
"2","1992","Not Employed","no migration background","364","0.0886408350307686","0.0789065481591845","0.0983751219023527"
"2","1992","Not Employed","direct migration background","182","0.198884234043406","0.170871944442733","0.22689652364408"
"2","1992","Not Employed","indirect migration background","40","0.210489457937343","0.14610487717684","0.274874038697845"
"2","1992","Employed","no migration background","1522","0.197593338217347","0.188273453307234","0.20691322312746"
"2","1992","Employed","direct migration background","400","0.208323331781185","0.189069377378679","0.227577286183692"
"2","1992","Employed","indirect migration background","56","0.248116941286284","0.193810879011123","0.302423003561446"
"3","1992","Not Employed","no migration background","2523","0.791182630214674","0.777261832538818","0.805103427890531"
"3","1992","Not Employed","direct migration background","506","0.70706146294885","0.675122734083526","0.739000191814175"
"3","1992","Not Employed","indirect migration background","93","0.67849867555687","0.604733120287811","0.752264230825929"
"3","1992","Employed","no migration background","4755","0.693179972497295","0.682385734414945","0.703974210579644"
"3","1992","Employed","direct migration background","1112","0.707047738188116","0.685470301249144","0.728625175127087"
"3","1992","Employed","indirect migration background","156","0.653229601998755","0.59338859526556","0.713070608731949"
"4","1992","Not Employed","no migration background","289","0.0962420012568004","0.086141315999803","0.106342686513798"
"4","1992","Not Employed","direct migration background","29","","",""
"4","1992","Not Employed","indirect migration background","4","","",""
"4","1992","Employed","no migration background","446","0.0710334782783129","0.0650209281609272","0.0770460283956986"
"4","1992","Employed","direct migration background","34","0.0228685444923704","0.015781375006834","0.0299557139779067"
"4","1992","Employed","indirect migration background","5","","",""
"5","1992","Not Employed","no migration background","23","","",""
"5","1992","Not Employed","direct migration background","1","","",""
"5","1992","Not Employed","indirect migration background","1","","",""
"5","1992","Employed","no migration background","31","0.00551656537153443","0.00378291986423355","0.00725021087883531"
"5","1992","Employed","direct migration background","1","","",""
"5","1992","Employed","indirect migration background","","","",""
"1","1993","Not Employed","no migration background","51","0.0116801295988998","0.00806655649937409","0.0152937026984254"
"1","1993","Not Employed","direct migration background","80","0.0482700404258408","0.0335004132798674","0.0630396675718142"
"1","1993","Not Employed","indirect migration background","13","","",""
"1","1993","Employed","no migration background","223","0.0304375490168904","0.0263055825888116","0.0345695154449693"
"1","1993","Employed","direct migration background","150","0.0621935999238772","0.0505194133891952","0.0738677864585591"
"1","1993","Employed","indirect migration background","34","0.0734637372382918","0.0442319682798932","0.10269550619669"
"2","1993","Not Employed","no migration background","432","0.104479346382467","0.094191670408872","0.114767022356062"
"2","1993","Not Employed","direct migration background","172","0.18081322362953","0.154292804015625","0.207333643243434"
"2","1993","Not Employed","indirect migration background","36","0.157834739784505","0.102372933759061","0.213296545809948"
"2","1993","Employed","no migration background","1410","0.195469827632895","0.18593143744042","0.20500821782537"
"2","1993","Employed","direct migration background","387","0.24561085898275","0.224803417564122","0.266418300401378"
"2","1993","Employed","indirect migration background","67","0.213814615190284","0.16787698844032","0.259752241940249"
"3","1993","Not Employed","no migration background","2596","0.782706280683733","0.7688359362297","0.796576625137766"
"3","1993","Not Employed","direct migration background","514","0.702775166061898","0.671281401248185","0.734268930875611"
"3","1993","Not Employed","indirect migration background","108","0.73151902184586","0.664102922711587","0.798935120980134"
"3","1993","Employed","no migration background","4540","0.694647792721984","0.683570161245683","0.705725424198285"
"3","1993","Employed","direct migration background","1048","0.654137926449486","0.63114557867506","0.677130274223912"
"3","1993","Employed","indirect migration background","194","0.674624539253774","0.622130397090544","0.727118681417005"
"4","1993","Not Employed","no migration background","286","0.0904504422014991","0.0808036531687765","0.100097231234222"
"4","1993","Not Employed","direct migration background","41","0.0659846184061197","0.0488776836461014","0.083091553166138"
"4","1993","Not Employed","indirect migration background","9","","",""
"4","1993","Employed","no migration background","443","0.0761189937980771","0.0697404933544205","0.0824974942417337"
"4","1993","Employed","direct migration background","59","0.0380576146438873","0.0288086632489176","0.0473065660388571"
"4","1993","Employed","indirect migration background","9","","",""
"5","1993","Not Employed","no migration background","31","0.010683801133401","0.00722604223133734","0.0141415600354647"
"5","1993","Not Employed","direct migration background","2","","",""
"5","1993","Not Employed","indirect migration background","","","",""
"5","1993","Employed","no migration background","24","","",""
"5","1993","Employed","direct migration background","","","",""
"5","1993","Employed","indirect migration background","2","","",""
"1","1994","Not Employed","no migration background","58","0.0109695517886515","0.00752028096577759","0.0144188226115255"
"1","1994","Not Employed","direct migration background","65","0.0541365751538291","0.0384852929100857","0.0697878573975725"
"1","1994","Not Employed","indirect migration background","11","","",""
"1","1994","Employed","no migration background","225","0.0280924506108851","0.0240423196547108","0.0321425815670594"
"1","1994","Employed","direct migration background","128","0.0658266582391622","0.0531929200607937","0.0784603964175307"
"1","1994","Employed","indirect migration background","31","0.0787693238260243","0.0492085700677527","0.108330077584296"
"2","1994","Not Employed","no migration background","429","0.0992016306817416","0.0893024050403292","0.109100856323154"
"2","1994","Not Employed","direct migration background","150","0.151746638270499","0.126931731238967","0.17656154530203"
"2","1994","Not Employed","indirect migration background","35","0.202276501868804","0.141352451967642","0.263200551769967"
"2","1994","Employed","no migration background","1304","0.1899636893419","0.180348688727591","0.199578689956209"
"2","1994","Employed","direct migration background","321","0.230906715016857","0.209437062054904","0.252376367978809"
"2","1994","Employed","indirect migration background","80","0.271953145069617","0.223123962117506","0.320782328021727"
"3","1994","Not Employed","no migration background","2671","0.788149300451436","0.774617760604053","0.80168084029882"
"3","1994","Not Employed","direct migration background","546","0.724153369796742","0.693240491946007","0.755066247647478"
"3","1994","Not Employed","indirect migration background","110","0.649603178798915","0.577243937430925","0.721962420166904"
"3","1994","Employed","no migration background","4381","0.690447301694873","0.679115620687329","0.701778982702416"
"3","1994","Employed","direct migration background","981","0.644063495838022","0.619670348378885","0.66845664329716"
"3","1994","Employed","indirect migration background","198","0.602372987393034","0.548666909945662","0.656079064840405"
"4","1994","Not Employed","no migration background","307","0.0908530779384049","0.0813357533486385","0.100370402528171"
"4","1994","Not Employed","direct migration background","38","0.0664306082134992","0.049206064148394","0.0836551522786044"
"4","1994","Not Employed","indirect migration background","10","","",""
"4","1994","Employed","no migration background","449","0.0863388984657401","0.0794546332272183","0.093223163704262"
"4","1994","Employed","direct migration background","48","0.0558409354196152","0.0441428130722754","0.067539057766955"
"4","1994","Employed","indirect migration background","10","","",""
"5","1994","Not Employed","no migration background","38","0.0108264391397657","0.00739949447650278","0.0142533838030287"
"5","1994","Not Employed","direct migration background","4","","",""
"5","1994","Not Employed","indirect migration background","1","","",""
"5","1994","Employed","no migration background","35","0.00515765988660208","0.00340189946384342","0.00691342030936074"
"5","1994","Employed","direct migration background","2","","",""
"5","1994","Employed","indirect migration background","","","",""
"1","1995","Not Employed","no migration background","63","0.0110406073172597","0.00758572766272485","0.0144954869717945"
"1","1995","Not Employed","direct migration background","90","0.0654485195003911","0.0506368202912272","0.080260218709555"
"1","1995","Not Employed","indirect migration background","5","","",""
"1","1995","Employed","no migration background","195","0.0252015291878827","0.0213693253899014","0.0290337329858639"
"1","1995","Employed","direct migration background","117","0.0612814361566137","0.049798756358771","0.0727641159544564"
"1","1995","Employed","indirect migration background","18","","",""
"2","1995","Not Employed","no migration background","429","0.101374662870916","0.0913953358714054","0.111353989870427"
"2","1995","Not Employed","direct migration background","222","0.169469385975649","0.147000744918299","0.191938027032998"
"2","1995","Not Employed","indirect migration background","43","0.226421697472587","0.162369014165285","0.29047438077989"
"2","1995","Employed","no migration background","1219","0.180915250585908","0.171503297811842","0.190327203359974"
"2","1995","Employed","direct migration background","402","0.246342404576945","0.225713901594933","0.266970907558957"
"2","1995","Employed","indirect migration background","76","0.202639266179008","0.159465970845745","0.24581256151227"
"3","1995","Not Employed","no migration background","2642","0.768182644074081","0.754230131203428","0.782135156944734"
"3","1995","Not Employed","direct migration background","710","0.703337781060033","0.675980908363301","0.730694653756765"
"3","1995","Not Employed","indirect migration background","109","0.697891864802771","0.627616769214803","0.768166960390739"
"3","1995","Employed","no migration background","4478","0.696257531820597","0.685013671486951","0.707501392154244"
"3","1995","Employed","direct migration background","1099","0.643159958534394","0.620224502820707","0.666095414248082"
"3","1995","Employed","indirect migration background","232","0.707532279343653","0.658674010645567","0.75639054804174"
"4","1995","Not Employed","no migration background","354","0.110721688859543","0.100346824837037","0.121096552882049"
"4","1995","Not Employed","direct migration background","45","0.0558138366149248","0.0420654065185761","0.0695622667112736"
"4","1995","Not Employed","indirect migration background","7","","",""
"4","1995","Employed","no migration background","496","0.0898869687749047","0.082893803951392","0.0968801335984174"
"4","1995","Employed","direct migration background","53","0.0425838380954339","0.0329170129728685","0.0522506632179992"
"4","1995","Employed","indirect migration background","7","","",""
"5","1995","Not Employed","no migration background","26","","",""
"5","1995","Not Employed","direct migration background","4","","",""
"5","1995","Not Employed","indirect migration background","","","",""
"5","1995","Employed","no migration background","38","0.0077387196307078","0.00559619753646471","0.00988124172495089"
"5","1995","Employed","direct migration background","5","","",""
"5","1995","Employed","indirect migration background","","","",""
"1","1996","Not Employed","no migration background","50","0.00981270011415089","0.00651054415719091","0.0131148560711109"
"1","1996","Not Employed","direct migration background","65","0.0389600502393722","0.0270559782470796","0.0508641222316647"
"1","1996","Not Employed","indirect migration background","13","","",""
"1","1996","Employed","no migration background","179","0.0213705255965299","0.0178385157554112","0.0249025354376487"
"1","1996","Employed","direct migration background","100","0.0520049973965779","0.0410219254566327","0.062988069336523"
"1","1996","Employed","indirect migration background","22","","",""
"2","1996","Not Employed","no migration background","435","0.103140109565137","0.0929513635432508","0.113328855587024"
"2","1996","Not Employed","direct migration background","206","0.16236279484221","0.139675312275631","0.185050277408789"
"2","1996","Not Employed","indirect migration background","35","0.172555060245266","0.116730519472868","0.228379601017664"
"2","1996","Employed","no migration background","1233","0.183234252541266","0.17378587483809","0.192682630244442"
"2","1996","Employed","direct migration background","337","0.221811842842981","0.201260843828043","0.242362841857918"
"2","1996","Employed","indirect migration background","86","0.254347401410694","0.209731520871403","0.298963281949985"
"3","1996","Not Employed","no migration background","2538","0.755233416812167","0.740830140140428","0.769636693483907"
"3","1996","Not Employed","direct migration background","696","0.723922678628333","0.696419902907145","0.75142545434952"
"3","1996","Not Employed","indirect migration background","123","0.724049681006506","0.658012064393","0.790087297620012"
"3","1996","Employed","no migration background","4498","0.695092389204097","0.68384865536541","0.706336123042784"
"3","1996","Employed","direct migration background","1072","0.661106115155516","0.637692648663085","0.684519581647948"
"3","1996","Employed","indirect migration background","245","0.656636053408419","0.607990039839532","0.705282066977306"
"4","1996","Not Employed","no migration background","367","0.120504065836631","0.109598143273561","0.131409988399702"
"4","1996","Not Employed","direct migration background","46","0.0720699391258887","0.0561606868123351","0.0879791914394423"
"4","1996","Not Employed","indirect migration background","5","","",""
"4","1996","Employed","no migration background","498","0.0946511315425483","0.087501625393165","0.101800637691932"
"4","1996","Employed","direct migration background","59","0.0642230467966449","0.0520967026382694","0.0763493909550204"
"4","1996","Employed","indirect migration background","13","","",""
"5","1996","Not Employed","no migration background","33","0.0113097076719131","0.00776728428625545","0.0148521310575707"
"5","1996","Not Employed","direct migration background","2","","",""
"5","1996","Not Employed","indirect migration background","","","",""
"5","1996","Employed","no migration background","32","0.0056517011155585","0.00382080367248082","0.00748259855863618"
"5","1996","Employed","direct migration background","2","","",""
"5","1996","Employed","indirect migration background","","","",""
"1","1997","Not Employed","no migration background","51","0.00983772800320396","0.00657263823897971","0.0131028177674282"
"1","1997","Not Employed","direct migration background","48","0.0398804039718454","0.0277825733036969","0.0519782346399938"
"1","1997","Not Employed","indirect migration background","16","","",""
"1","1997","Employed","no migration background","140","0.0182286966997021","0.0149200435227244","0.0215373498766798"
"1","1997","Employed","direct migration background","72","0.0397280574516355","0.0297057844145378","0.0497503304887331"
"1","1997","Employed","indirect migration background","19","","",""
"2","1997","Not Employed","no migration background","417","0.101648617967463","0.0916516478932986","0.111645588041627"
"2","1997","Not Employed","direct migration background","198","0.198001965079491","0.173365042290478","0.222638887868505"
"2","1997","Not Employed","indirect migration background","40","0.143824264433046","0.09519131244541","0.192457216420681"
"2","1997","Employed","no migration background","1175","0.187881838052381","0.178220878123279","0.197542797981483"
"2","1997","Employed","direct migration background","345","0.24080222683869","0.218862654525479","0.262741799151901"
"2","1997","Employed","indirect migration background","76","0.20353391800095","0.162228816082346","0.244839019919553"
"3","1997","Not Employed","no migration background","2652","0.757431712973701","0.743251482623671","0.771611943323731"
"3","1997","Not Employed","direct migration background","706","0.682307946488015","0.653523462343531","0.711092430632498"
"3","1997","Not Employed","indirect migration background","136","0.731965121735135","0.670578470529786","0.793351772940484"
