"hlf0071_h","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"A little too big","1987","Not Employed","Female","9","","",""
"A little too big","1987","Employed","Male","22","","",""
"A little too big","1987","Employed","Female","21","","",""
"Much too big","1987","Not Employed","Male","","","",""
"Much too big","1987","Not Employed","Female","4","","",""
"Much too big","1987","Employed","Male","3","","",""
"Much too big","1987","Employed","Female","","","",""
"Much too small","1988","Not Employed","Male","6","","",""
"Much too small","1988","Not Employed","Female","7","","",""
"Much too small","1988","Employed","Male","14","","",""
"Much too small","1988","Employed","Female","11","","",""
"A little too small","1988","Not Employed","Male","12","","",""
"A little too small","1988","Not Employed","Female","36","0.181989972254742","0.124987354514864","0.23899258999462"
"A little too small","1988","Employed","Male","68","0.157550455156951","0.123035446425361","0.192065463888542"
"A little too small","1988","Employed","Female","54","0.173033815944708","0.133117733434696","0.212949898454719"
"Just right","1988","Not Employed","Male","49","0.63144174744504","0.518431249916461","0.744452244973619"
"Just right","1988","Not Employed","Female","127","0.770206170343915","0.708052835548001","0.832359505139829"
"Just right","1988","Employed","Male","319","0.747648684683856","0.70649793233867","0.788799437029042"
"Just right","1988","Employed","Female","256","0.734311323976056","0.687702818359004","0.780919829593108"
"A little too big","1988","Not Employed","Male","2","","",""
"A little too big","1988","Not Employed","Female","6","","",""
"A little too big","1988","Employed","Male","26","","",""
"A little too big","1988","Employed","Female","23","","",""
"Much too big","1988","Not Employed","Male","1","","",""
"Much too big","1988","Not Employed","Female","","","",""
"Much too big","1988","Employed","Male","1","","",""
"Much too big","1988","Employed","Female","1","","",""
"Much too small","1989","Not Employed","Male","1","","",""
"Much too small","1989","Not Employed","Female","8","","",""
"Much too small","1989","Employed","Male","17","","",""
"Much too small","1989","Employed","Female","14","","",""
"A little too small","1989","Not Employed","Male","17","","",""
"A little too small","1989","Not Employed","Female","19","","",""
"A little too small","1989","Employed","Male","60","0.112209353343175","0.0819882099215831","0.142430496764768"
"A little too small","1989","Employed","Female","65","0.173606643301381","0.132615715552967","0.214597571049794"
"Just right","1989","Not Employed","Male","44","0.725800407318279","0.617349442712911","0.834251371923648"
"Just right","1989","Not Employed","Female","113","0.797252399840626","0.732479548990089","0.862025250691163"
"Just right","1989","Employed","Male","309","0.752803297406505","0.711498245472681","0.794108349340329"
"Just right","1989","Employed","Female","228","0.730961682668079","0.682970047877456","0.778953317458703"
"A little too big","1989","Not Employed","Male","3","","",""
"A little too big","1989","Not Employed","Female","7","","",""
"A little too big","1989","Employed","Male","31","0.0943680452570149","0.0663763353872921","0.122359755126738"
"A little too big","1989","Employed","Female","19","","",""
"Much too big","1989","Not Employed","Male","","","",""
"Much too big","1989","Not Employed","Female","1","","",""
"Much too big","1989","Employed","Male","2","","",""
"Much too big","1989","Employed","Female","2","","",""
"Much too small","1990","Not Employed","Male","1","","",""
"Much too small","1990","Not Employed","Female","11","","",""
"Much too small","1990","Employed","Male","26","","",""
"Much too small","1990","Employed","Female","18","","",""
"A little too small","1990","Not Employed","Male","14","","",""
"A little too small","1990","Not Employed","Female","19","","",""
"A little too small","1990","Employed","Male","54","0.169331293355173","0.131965419252895","0.206697167457452"
"A little too small","1990","Employed","Female","38","0.137688563711592","0.0985007645024919","0.176876362920693"
"Just right","1990","Not Employed","Male","33","0.650803738621202","0.518667207601428","0.782940269640975"
"Just right","1990","Not Employed","Female","107","0.748753740339341","0.67815720383882","0.819350276839861"
"Just right","1990","Employed","Male","287","0.70343194321773","0.657926239247079","0.74893764718838"
"Just right","1990","Employed","Female","226","0.743787044433811","0.69413984969096","0.793434239176662"
"A little too big","1990","Not Employed","Male","2","","",""
"A little too big","1990","Not Employed","Female","8","","",""
"A little too big","1990","Employed","Male","17","","",""
"A little too big","1990","Employed","Female","13","","",""
"Much too big","1990","Not Employed","Male","","","",""
"Much too big","1990","Not Employed","Female","","","",""
"Much too big","1990","Employed","Male","3","","",""
"Much too big","1990","Employed","Female","2","","",""
"Much too small","1991","Not Employed","Male","35","0.0183893249115916","0.0101562360357643","0.0266224137874188"
"Much too small","1991","Not Employed","Female","74","0.014365660160357","0.00935795187154329","0.0193733684491708"
"Much too small","1991","Employed","Male","165","0.0321241185719686","0.0263039926490453","0.0379442444948919"
"Much too small","1991","Employed","Female","101","0.0279503417435122","0.0214994149709548","0.0344012685160697"
"A little too small","1991","Not Employed","Male","140","0.111979653236483","0.0926559085110812","0.131303397961885"
"A little too small","1991","Not Employed","Female","324","0.105577318812721","0.0926450408328663","0.118509596792575"
"A little too small","1991","Employed","Male","712","0.18332767086134","0.170556083809368","0.196099257913311"
"A little too small","1991","Employed","Female","513","0.19139014027676","0.175993937527241","0.206786343026278"
"Just right","1991","Not Employed","Male","753","0.757912477949522","0.731663886377551","0.784161069521493"
"Just right","1991","Not Employed","Female","1598","0.783402158241273","0.766066602878697","0.800737713603849"
"Just right","1991","Employed","Male","2456","0.71329903628055","0.698372558731826","0.728225513829274"
"Just right","1991","Employed","Female","1762","0.710783594265624","0.69303906491228","0.728528123618968"
"A little too big","1991","Not Employed","Male","89","0.104030732273056","0.0853222886909369","0.122739175855176"
"A little too big","1991","Not Employed","Female","159","0.0870859082225338","0.0752198298284386","0.098951986616629"
"A little too big","1991","Employed","Male","176","0.065979889145528","0.0577859857108045","0.0741737925802516"
"A little too big","1991","Employed","Female","123","0.0651095267789427","0.0554537556860977","0.0747652978717878"
"Much too big","1991","Not Employed","Male","6","","",""
"Much too big","1991","Not Employed","Female","14","","",""
"Much too big","1991","Employed","Male","17","","",""
"Much too big","1991","Employed","Female","9","","",""
"Much too small","1992","Not Employed","Male","49","0.0177112642287579","0.0106804745216706","0.0247420539358452"
"Much too small","1992","Not Employed","Female","105","0.0189362235226512","0.0139383153000158","0.0239341317452866"
"Much too small","1992","Employed","Male","255","0.0381883598886638","0.0328936137349126","0.0434831060424149"
"Much too small","1992","Employed","Female","191","0.0341721765893226","0.0284930343482","0.0398513188304453"
"A little too small","1992","Not Employed","Male","156","0.0867844466884813","0.0717783636826218","0.101790529694341"
"A little too small","1992","Not Employed","Female","430","0.108655030987411","0.0972435818310388","0.120066480143783"
"A little too small","1992","Employed","Male","1116","0.199379511223532","0.188341565878141","0.210417456568924"
"A little too small","1992","Employed","Female","862","0.199463523437025","0.186971900254176","0.211955146619874"
"Just right","1992","Not Employed","Male","1028","0.795355673334096","0.773850631512479","0.816860715155712"
"Just right","1992","Not Employed","Female","2094","0.774196050568786","0.758864565886772","0.789527535250799"
"Just right","1992","Employed","Male","3368","0.693079595741474","0.680337552830602","0.705821638652346"
"Just right","1992","Employed","Female","2655","0.6957885964034","0.681406474439335","0.710170718367465"
"A little too big","1992","Not Employed","Male","110","0.0917477006374304","0.0763604654214","0.107134935853461"
"A little too big","1992","Not Employed","Female","212","0.0913835804005836","0.0808174164294835","0.101949744371684"
"A little too big","1992","Employed","Male","275","0.0641149751221271","0.0573475164239049","0.0708824338203494"
"A little too big","1992","Employed","Female","210","0.0660407263017136","0.0582770671740454","0.0738043854293818"
"Much too big","1992","Not Employed","Male","9","","",""
"Much too big","1992","Not Employed","Female","16","","",""
"Much too big","1992","Employed","Male","19","","",""
"Much too big","1992","Employed","Female","13","","",""
"Much too small","1993","Not Employed","Male","44","0.0145968358787861","0.00841738101784953","0.0207762907397227"
"Much too small","1993","Not Employed","Female","100","0.0172752218756076","0.012552556474905","0.0219978872763103"
"Much too small","1993","Employed","Male","240","0.0372104363585824","0.0318791284365563","0.0425417442806085"
"Much too small","1993","Employed","Female","167","0.0319502013289469","0.0263198700470252","0.0375805326108686"
"A little too small","1993","Not Employed","Male","177","0.094592695259367","0.0795139701985701","0.109671420320164"
"A little too small","1993","Not Employed","Female","463","0.123293947133187","0.111377211975386","0.135210682290988"
"A little too small","1993","Employed","Male","1075","0.208289217878829","0.196851157813787","0.21972727794387"
"A little too small","1993","Employed","Female","789","0.192953684873213","0.180320173729584","0.205587196016842"
"Just right","1993","Not Employed","Male","1093","0.794859037351433","0.774053205789008","0.815664868913858"
"Just right","1993","Not Employed","Female","2125","0.762227727603235","0.746797142909657","0.777658312296813"
"Just right","1993","Employed","Male","3233","0.683183426461284","0.670079293052181","0.696287559870387"
"Just right","1993","Employed","Female","2549","0.697962745689568","0.68326351255709","0.712661978822046"
"A little too big","1993","Not Employed","Male","123","0.088810668171329","0.0741534785155504","0.103467857827108"
"A little too big","1993","Not Employed","Female","213","0.0864137544427133","0.076229584908499","0.0965979239769276"
"A little too big","1993","Employed","Male","279","0.0686135488533076","0.0614931290763711","0.0757339686302442"
"A little too big","1993","Employed","Female","232","0.0738848789859675","0.0655103850842786","0.0822593728876564"
"Much too big","1993","Not Employed","Male","10","","",""
"Much too big","1993","Not Employed","Female","23","","",""
"Much too big","1993","Employed","Male","15","","",""
"Much too big","1993","Employed","Female","11","","",""
"Much too small","1994","Not Employed","Male","40","0.0130726443580773","0.00733025128181317","0.0188150374343414"
"Much too small","1994","Not Employed","Female","94","0.0182933564697453","0.0134737960402093","0.0231129168992812"
"Much too small","1994","Employed","Male","220","0.0333988952509694","0.0282105522524331","0.0385872382495058"
"Much too small","1994","Employed","Female","164","0.0340413781169531","0.0281063090559934","0.0399764471779128"
"A little too small","1994","Not Employed","Male","175","0.0948012421220397","0.0799914968322637","0.109610987411816"
"A little too small","1994","Not Employed","Female","439","0.113340432941256","0.10193949052325","0.124741375359261"
"A little too small","1994","Employed","Male","980","0.202191081415528","0.190593446699853","0.213788716131202"
"A little too small","1994","Employed","Female","725","0.188931467151112","0.176119262321924","0.201743671980301"
"Just right","1994","Not Employed","Male","1142","0.798947903062758","0.778685911280563","0.819209894844954"
"Just right","1994","Not Employed","Female","2185","0.767775090347652","0.752589164442479","0.782961016252824"
"Just right","1994","Employed","Male","3119","0.684473125304154","0.6710536553202","0.697892595288108"
"Just right","1994","Employed","Female","2441","0.681176216215347","0.665923470073932","0.696428962356761"
"A little too big","1994","Not Employed","Male","130","0.0844446937573176","0.0703875503554064","0.0985018371592289"
"A little too big","1994","Not Employed","Female","225","0.0901658573757132","0.0798650316455131","0.100466683105913"
"A little too big","1994","Employed","Male","269","0.07556119067508","0.0679293821452659","0.083192999204894"
"A little too big","1994","Employed","Female","238","0.0903889196617577","0.0810040462874488","0.0997737930360667"
"Much too big","1994","Not Employed","Male","16","","",""
"Much too big","1994","Not Employed","Female","27","","",""
"Much too big","1994","Employed","Male","19","","",""
"Much too big","1994","Employed","Female","18","","",""
"Much too small","1995","Not Employed","Male","42","0.0144138235836379","0.00857730680908073","0.0202503403581951"
"Much too small","1995","Not Employed","Female","116","0.0217345197551781","0.0166400016699839","0.0268290378403723"
"Much too small","1995","Employed","Male","199","0.0323597949285527","0.0273259676726134","0.037393622184492"
"Much too small","1995","Employed","Female","131","0.0282883049838707","0.022937429900105","0.0336391800676364"
"A little too small","1995","Not Employed","Male","214","0.112800017740691","0.0973089204555066","0.128291115025875"
"A little too small","1995","Not Employed","Female","480","0.113946063346791","0.102844619613494","0.125047507080087"
"A little too small","1995","Employed","Male","955","0.194392490731909","0.183135042196612","0.205649939267206"
"A little too small","1995","Employed","Female","742","0.1846534846255","0.172130654238406","0.197176315012594"
"Just right","1995","Not Employed","Male","1194","0.772240573866891","0.751703842464985","0.792777305268798"
"Just right","1995","Not Employed","Female","2267","0.749657862595787","0.734522311181548","0.764793414010026"
"Just right","1995","Employed","Male","3277","0.689255484471262","0.67609019760705","0.702420771335473"
"Just right","1995","Employed","Female","2532","0.689134958202192","0.674197017929933","0.70407289847445"
"A little too big","1995","Not Employed","Male","138","0.0908619742871282","0.0767878030331829","0.104936145541073"
"A little too big","1995","Not Employed","Female","268","0.107341373039858","0.0965263861848208","0.118156359894895"
"A little too big","1995","Employed","Male","293","0.0771343464196589","0.069544523931124","0.0847241689081938"
"A little too big","1995","Employed","Female","263","0.0896850975440461","0.0804634482114557","0.0989067468766365"
"Much too big","1995","Not Employed","Male","14","","",""
"Much too big","1995","Not Employed","Female","16","","",""
"Much too big","1995","Employed","Male","23","","",""
"Much too big","1995","Employed","Female","20","","",""
"Much too small","1996","Not Employed","Male","30","0.0083455382725007","0.00383986626520899","0.0128512102797924"
"Much too small","1996","Not Employed","Female","98","0.0185016657928554","0.0137176697803499","0.0232856618053609"
"Much too small","1996","Employed","Male","182","0.02879488374415","0.0240063071445384","0.0335834603437616"
"Much too small","1996","Employed","Female","119","0.0220864942855579","0.0173452789103555","0.0268277096607604"
"A little too small","1996","Not Employed","Male","197","0.107145511195087","0.0918265418903448","0.122464480499829"
"A little too small","1996","Not Employed","Female","479","0.11659870122732","0.105204956556786","0.127992445897854"
"A little too small","1996","Employed","Male","944","0.197180162408183","0.185787271179515","0.20857305363685"
"A little too small","1996","Employed","Female","712","0.179824828659756","0.16743531653532","0.192214340784193"
"Just right","1996","Not Employed","Male","1169","0.752394285591808","0.731016865679692","0.773771705503924"
"Just right","1996","Not Employed","Female","2188","0.748649294626626","0.7332493246651","0.764049264588151"
"Just right","1996","Employed","Male","3231","0.684103153700222","0.670791661722123","0.697414645678321"
"Just right","1996","Employed","Female","2584","0.697531245286666","0.682712952869864","0.712349537703468"
"A little too big","1996","Not Employed","Male","156","0.121171577489424","0.105009222544788","0.137333932434061"
"A little too big","1996","Not Employed","Female","262","0.107047856379582","0.096071866718251","0.118023846040913"
"A little too big","1996","Employed","Male","308","0.0843199707416186","0.0763633182932865","0.0922766231899507"
"A little too big","1996","Employed","Female","262","0.0966080197745704","0.0870774081129388","0.106138631436202"
"Much too big","1996","Not Employed","Male","14","","",""
"Much too big","1996","Not Employed","Female","21","","",""
"Much too big","1996","Employed","Male","20","","",""
"Much too big","1996","Employed","Female","14","","",""
"Much too small","1997","Not Employed","Male","41","0.015639237883844","0.00962876432371936","0.0216497114439687"
"Much too small","1997","Not Employed","Female","74","0.0147812291644342","0.0105180322078096","0.0190444261210587"
"Much too small","1997","Employed","Male","127","0.0212986761641638","0.0171031009058755","0.0254942514224521"
"Much too small","1997","Employed","Female","104","0.0222470158230776","0.0173988357142789","0.0270951959318762"
"A little too small","1997","Not Employed","Male","201","0.1078381895534","0.0928125882844726","0.122863790822328"
"A little too small","1997","Not Employed","Female","454","0.121594440573399","0.110048796084896","0.133140085061902"
"A little too small","1997","Employed","Male","909","0.201494348751854","0.189838053091455","0.213150644412254"
"A little too small","1997","Employed","Female","687","0.186747818186787","0.173937241655405","0.199558394718168"
"Just right","1997","Not Employed","Male","1225","0.750242436792703","0.729273138940269","0.771211734645136"
"Just right","1997","Not Employed","Female","2269","0.743364926965932","0.727934681992797","0.758795171939067"
"Just right","1997","Employed","Male","3217","0.692296747664649","0.678884476921915","0.705709018407383"
"Just right","1997","Employed","Female","2526","0.696047191617571","0.680927229207405","0.711167154027738"
"A little too big","1997","Not Employed","Male","158","0.115304947532427","0.0998330164641573","0.130776878600696"
"A little too big","1997","Not Employed","Female","262","0.111250086012724","0.100141628792913","0.122358543232535"
"A little too big","1997","Employed","Male","281","0.0808191481259327","0.0728987367081301","0.0887395595437353"
"A little too big","1997","Employed","Female","226","0.0906712284865984","0.08123228241652","0.100110174556677"
"Much too big","1997","Not Employed","Male","12","","",""
"Much too big","1997","Not Employed","Female","19","","",""
"Much too big","1997","Employed","Male","15","","",""
"Much too big","1997","Employed","Female","12","","",""
"Much too small","1998","Not Employed","Male","35","0.0131368294470732","0.00798172998072247","0.0182919289134239"
"Much too small","1998","Not Employed","Female","88","0.0207057245412625","0.0159368090437575","0.0254746400387674"
"Much too small","1998","Employed","Male","152","0.0319001231261532","0.0269806601132195","0.0368195861390869"
"Much too small","1998","Employed","Female","104","0.0271443873397698","0.0220025728028817","0.0322862018766578"
"A little too small","1998","Not Employed","Male","211","0.0963094306866238","0.0829524720638712","0.109666389309376"
"A little too small","1998","Not Employed","Female","468","0.113909100548311","0.103269234693741","0.124548966402882"
"A little too small","1998","Employed","Male","919","0.188835942095121","0.17787978838034","0.199792095809901"
"A little too small","1998","Employed","Female","696","0.178363349655962","0.166250539711234","0.19047615960069"
"Just right","1998","Not Employed","Male","1384","0.739418344991331","0.719544571880504","0.759292118102157"
"Just right","1998","Not Employed","Female","2510","0.738788270392088","0.724076188409104","0.753500352375073"
"Just right","1998","Employed","Male","3462","0.695468291227144","0.682585310290166","0.708351272164122"
"Just right","1998","Employed","Female","2713","0.695187499190604","0.680622195121777","0.70975280325943"
"A little too big","1998","Not Employed","Male","221","0.131826405509761","0.116509614408266","0.147143196611256"
"A little too big","1998","Not Employed","Female","324","0.114042243927174","0.103396961517425","0.124687526336923"
"A little too big","1998","Employed","Male","344","0.0783386702357248","0.0708166375145838","0.0858607029568658"
"A little too big","1998","Employed","Female","304","0.0925079992893545","0.0833402392287016","0.101675759350007"
"Much too big","1998","Not Employed","Male","23","","",""
"Much too big","1998","Not Employed","Female","35","0.0125546605911635","0.00882579419171815","0.0162835269906089"
"Much too big","1998","Employed","Male","25","","",""
"Much too big","1998","Employed","Female","20","","",""
"Much too small","1999","Not Employed","Male","26","","",""
"Much too small","1999","Not Employed","Female","65","0.0126931771648715","0.00881085228495439","0.0165755020447886"
"Much too small","1999","Employed","Male","127","0.0221974609841833","0.0180588935386186","0.0263360284297481"
"Much too small","1999","Employed","Female","81","0.0163434836760763","0.012360067077721","0.0203269002744315"
"A little too small","1999","Not Employed","Male","174","0.0918335566339839","0.0782603729108236","0.105406740357144"
"A little too small","1999","Not Employed","Female","430","0.111856468286451","0.100925647721195","0.122787288851707"
"A little too small","1999","Employed","Male","897","0.188311554637295","0.177328934251467","0.199294175023124"
"A little too small","1999","Employed","Female","721","0.185663490024166","0.173447550238142","0.197879429810189"
"Just right","1999","Not Employed","Male","1351","0.762254782877211","0.742246755479501","0.78226281027492"
"Just right","1999","Not Employed","Female","2393","0.761322860785917","0.746539591686585","0.776106129885248"
"Just right","1999","Employed","Male","3510","0.717416989842402","0.704768704387816","0.730065275296987"
"Just right","1999","Employed","Female","2803","0.712749760972046","0.698534317432589","0.726965204511502"
"A little too big","1999","Not Employed","Male","174","0.124158237279382","0.108659408019192","0.139657066539572"
"A little too big","1999","Not Employed","Female","288","0.108384849208604","0.0976039833139368","0.119165715103271"
"A little too big","1999","Employed","Male","318","0.0668260239985919","0.0598110360893777","0.0738410119078061"
"A little too big","1999","Employed","Female","276","0.0808343800614196","0.0722707752576257","0.0893979848652135"
"Much too big","1999","Not Employed","Male","14","","",""
"Much too big","1999","Not Employed","Female","18","","",""
"Much too big","1999","Employed","Male","16","","",""
"Much too big","1999","Employed","Female","11","","",""
"Much too small","2000","Not Employed","Male","35","0.0103407540605815","0.00687608796106758","0.0138054201600954"
"Much too small","2000","Not Employed","Female","98","0.0146667442239628","0.0115527430276359","0.0177807454202897"
"Much too small","2000","Employed","Male","189","0.0235901810548189","0.020329638672237","0.0268507234374007"
"Much too small","2000","Employed","Female","142","0.0201907601840922","0.0168489550122587","0.0235325653559257"
"A little too small","2000","Not Employed","Male","281","0.0832558479410762","0.0737940452545453","0.0927176506276071"
"A little too small","2000","Not Employed","Female","652","0.102678345820575","0.0948156069713355","0.110541084669814"
"A little too small","2000","Employed","Male","1421","0.178495056969936","0.170268344264565","0.186721769675308"
"A little too small","2000","Employed","Female","1077","0.161847394214605","0.153096580640553","0.170598207788656"
"Just right","2000","Not Employed","Male","2541","0.769290093229119","0.754861611609062","0.783718574849176"
"Just right","2000","Not Employed","Female","4363","0.769869768943202","0.758966522828238","0.780773015058166"
"Just right","2000","Employed","Male","6080","0.718108635989615","0.708442695788108","0.727774576191122"
"Just right","2000","Employed","Female","5047","0.733791626264438","0.723290611764879","0.744292640763996"
"A little too big","2000","Not Employed","Male","378","0.122737948160491","0.111499753771392","0.133976142549589"
"A little too big","2000","Not Employed","Female","553","0.100844790178472","0.093044614011242","0.108644966345703"
"A little too big","2000","Employed","Male","592","0.0735664389075695","0.0679578300905257","0.0791750477246134"
"A little too big","2000","Employed","Female","521","0.0804531522730973","0.0739907723178255","0.0869155322283691"
"Much too big","2000","Not Employed","Male","40","0.0143753566087323","0.0102986681004628","0.0184520451170017"
"Much too big","2000","Not Employed","Female","59","0.0119403508337883","0.0091267630404631","0.0147539386271135"
"Much too big","2000","Employed","Male","41","0.00623968707806001","0.00454795971796753","0.00793141443815249"
"Much too big","2000","Employed","Female","18","","",""
"Much too small","2001","Not Employed","Male","38","0.0115680282639859","0.00776500696333088","0.0153710495646409"
"Much too small","2001","Not Employed","Female","95","0.0150062521075634","0.0116557373538495","0.0183567668612772"
"Much too small","2001","Employed","Male","172","0.0255020346488087","0.0219345148470656","0.0290695544505518"
"Much too small","2001","Employed","Female","119","0.0197680877539713","0.0163485963002981","0.0231875792076446"
"A little too small","2001","Not Employed","Male","238","0.0783859132249424","0.0688267636235966","0.0879450628262882"
"A little too small","2001","Not Employed","Female","544","0.0919037237377295","0.083942291920045","0.0998651555554139"
"A little too small","2001","Employed","Male","1260","0.170221934705253","0.161716877391008","0.178726992019499"
"A little too small","2001","Employed","Female","1013","0.164861984574591","0.155747037270747","0.173976931878435"
"Just right","2001","Not Employed","Male","2401","0.780475296913726","0.765753969390523","0.79519662443693"
"Just right","2001","Not Employed","Female","3874","0.770926262595221","0.759345084249338","0.782507440941103"
"Just right","2001","Employed","Male","5504","0.725036601488899","0.714932308809722","0.735140894168075"
"Just right","2001","Employed","Female","4743","0.732564047108434","0.721691095132059","0.743436999084808"
"A little too big","2001","Not Employed","Male","323","0.116246201485317","0.104846834716359","0.127645568254274"
"A little too big","2001","Not Employed","Female","494","0.110533295633465","0.101892174646512","0.119174416620419"
"A little too big","2001","Employed","Male","525","0.0735364117104739","0.0676295894473582","0.0794432339735897"
"A little too big","2001","Employed","Female","467","0.0781650057214087","0.071571026850818","0.0847589845919994"
"Much too big","2001","Not Employed","Male","37","0.0133245601120285","0.00924663454709763","0.0174024856769593"
"Much too big","2001","Not Employed","Female","51","0.0116304659260213","0.00867574199131726","0.0145851898607253"
"Much too big","2001","Employed","Male","40","0.00570301744656517","0.0039989023685849","0.00740713252454544"
"Much too big","2001","Employed","Female","24","","",""
"Much too small","2002","Not Employed","Male","40","0.0128810333121597","0.00896000856245423","0.0168020580618651"
"Much too small","2002","Not Employed","Female","91","0.0146658217567094","0.0113701790240832","0.0179614644893356"
"Much too small","2002","Employed","Male","184","0.0291874947389738","0.0254935160485645","0.0328814734293832"
