"hlf0071_h","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"4","1985","(1a) inadequately completed","16","","",""
"4","1985","(1b) general elementary school","131","0.0683525337709874","0.0586750017414631","0.0780300658005116"
"4","1985","(1c) basic vocational qualification","226","0.0669381679544643","0.0590150727796945","0.0748612631292341"
"4","1985","(2b) intermediate general qualification","25","","",""
"4","1985","(2a) intermediate vocational","120","0.0930858042299024","0.0775289952387556","0.108642613221049"
"4","1985","(2c_gen) general maturity certificate","24","","",""
"4","1985","(2c_voc) vocational maturity certificate","25","","",""
"4","1985","(3a) lower tertiary education","19","","",""
"4","1985","(3b) higher tertiary education","38","0.0907802402627182","0.0657230426161283","0.115837437909308"
"5","1985","(0) in school","2","","",""
"5","1985","(1a) inadequately completed","5","","",""
"5","1985","(1b) general elementary school","26","","",""
"5","1985","(1c) basic vocational qualification","18","","",""
"5","1985","(2b) intermediate general qualification","6","","",""
"5","1985","(2a) intermediate vocational","13","","",""
"5","1985","(2c_gen) general maturity certificate","3","","",""
"5","1985","(2c_voc) vocational maturity certificate","1","","",""
"5","1985","(3a) lower tertiary education","1","","",""
"5","1985","(3b) higher tertiary education","6","","",""
"1","1986","(0) in school","","","",""
"1","1986","(1a) inadequately completed","6","","",""
"1","1986","(1b) general elementary school","20","","",""
"1","1986","(1c) basic vocational qualification","8","","",""
"1","1986","(2b) intermediate general qualification","1","","",""
"1","1986","(2a) intermediate vocational","2","","",""
"1","1986","(2c_gen) general maturity certificate","3","","",""
"1","1986","(2c_voc) vocational maturity certificate","4","","",""
"1","1986","(3a) lower tertiary education","1","","",""
"1","1986","(3b) higher tertiary education","3","","",""
"2","1986","(0) in school","1","","",""
"2","1986","(1a) inadequately completed","17","","",""
"2","1986","(1b) general elementary school","36","0.116860630359075","0.0788222913422998","0.154898969375849"
"2","1986","(1c) basic vocational qualification","50","0.113007102906158","0.0816256783804857","0.14438852743183"
"2","1986","(2b) intermediate general qualification","9","","",""
"2","1986","(2a) intermediate vocational","20","","",""
"2","1986","(2c_gen) general maturity certificate","14","","",""
"2","1986","(2c_voc) vocational maturity certificate","4","","",""
"2","1986","(3a) lower tertiary education","4","","",""
"2","1986","(3b) higher tertiary education","24","","",""
"3","1986","(0) in school","8","","",""
"3","1986","(1a) inadequately completed","84","0.82546480301251","0.754852985211513","0.896076620813507"
"3","1986","(1b) general elementary school","207","0.759993135442611","0.709423540372966","0.810562730512256"
"3","1986","(1c) basic vocational qualification","302","0.777274330883026","0.736033062723607","0.818515599042446"
"3","1986","(2b) intermediate general qualification","40","0.790807396173475","0.67917981171255","0.9024349806344"
"3","1986","(2a) intermediate vocational","134","0.779598827130853","0.717287619317368","0.841910034944338"
"3","1986","(2c_gen) general maturity certificate","38","0.612575212475496","0.484982024403213","0.740168400547779"
"3","1986","(2c_voc) vocational maturity certificate","47","0.824964724226746","0.727170191709348","0.922759256744143"
"3","1986","(3a) lower tertiary education","25","","",""
"3","1986","(3b) higher tertiary education","46","0.535330279212637","0.426038829049811","0.644621729375464"
"4","1986","(0) in school","1","","",""
"4","1986","(1a) inadequately completed","4","","",""
"4","1986","(1b) general elementary school","10","","",""
"4","1986","(1c) basic vocational qualification","30","0.0821367403592479","0.0549211701910824","0.109352310527413"
"4","1986","(2b) intermediate general qualification","1","","",""
"4","1986","(2a) intermediate vocational","13","","",""
"4","1986","(2c_gen) general maturity certificate","1","","",""
"4","1986","(2c_voc) vocational maturity certificate","3","","",""
"4","1986","(3a) lower tertiary education","4","","",""
"4","1986","(3b) higher tertiary education","7","","",""
"5","1986","(0) in school","","","",""
"5","1986","(1a) inadequately completed","","","",""
"5","1986","(1b) general elementary school","1","","",""
"5","1986","(1c) basic vocational qualification","1","","",""
"5","1986","(2b) intermediate general qualification","","","",""
"5","1986","(2a) intermediate vocational","1","","",""
"5","1986","(2c_gen) general maturity certificate","","","",""
"5","1986","(2c_voc) vocational maturity certificate","","","",""
"5","1986","(3a) lower tertiary education","","","",""
"5","1986","(3b) higher tertiary education","","","",""
"1","1987","(0) in school","","","",""
"1","1987","(1a) inadequately completed","11","","",""
"1","1987","(1b) general elementary school","11","","",""
"1","1987","(1c) basic vocational qualification","6","","",""
"1","1987","(2b) intermediate general qualification","3","","",""
"1","1987","(2a) intermediate vocational","2","","",""
"1","1987","(2c_gen) general maturity certificate","1","","",""
"1","1987","(2c_voc) vocational maturity certificate","3","","",""
"1","1987","(3a) lower tertiary education","2","","",""
"1","1987","(3b) higher tertiary education","2","","",""
"2","1987","(0) in school","1","","",""
"2","1987","(1a) inadequately completed","17","","",""
"2","1987","(1b) general elementary school","43","0.160330453489145","0.110705438005115","0.209955468973176"
"2","1987","(1c) basic vocational qualification","40","0.0990948192685689","0.0663066048388607","0.131883033698277"
"2","1987","(2b) intermediate general qualification","3","","",""
"2","1987","(2a) intermediate vocational","15","","",""
"2","1987","(2c_gen) general maturity certificate","13","","",""
"2","1987","(2c_voc) vocational maturity certificate","10","","",""
"2","1987","(3a) lower tertiary education","7","","",""
"2","1987","(3b) higher tertiary education","11","","",""
"3","1987","(0) in school","11","","",""
"3","1987","(1a) inadequately completed","80","0.721089536819775","0.638034479922851","0.804144593716699"
"3","1987","(1b) general elementary school","145","0.723283383247813","0.662775730322848","0.783791036172777"
"3","1987","(1c) basic vocational qualification","253","0.796089897529667","0.751876572462642","0.840303222596691"
"3","1987","(2b) intermediate general qualification","25","","",""
"3","1987","(2a) intermediate vocational","119","0.817036094692231","0.754745774164273","0.87932641522019"
"3","1987","(2c_gen) general maturity certificate","34","0.703168466019953","0.575249552404696","0.831087379635209"
"3","1987","(2c_voc) vocational maturity certificate","43","0.69562419225248","0.579194199597549","0.812054184907412"
"3","1987","(3a) lower tertiary education","15","","",""
"3","1987","(3b) higher tertiary education","53","0.735907247977731","0.634778078121152","0.837036417834309"
"4","1987","(0) in school","","","",""
"4","1987","(1a) inadequately completed","4","","",""
"4","1987","(1b) general elementary school","9","","",""
"4","1987","(1c) basic vocational qualification","19","","",""
"4","1987","(2b) intermediate general qualification","1","","",""
"4","1987","(2a) intermediate vocational","12","","",""
"4","1987","(2c_gen) general maturity certificate","","","",""
"4","1987","(2c_voc) vocational maturity certificate","3","","",""
"4","1987","(3a) lower tertiary education","2","","",""
"4","1987","(3b) higher tertiary education","6","","",""
"5","1987","(0) in school","1","","",""
"5","1987","(1a) inadequately completed","","","",""
"5","1987","(1b) general elementary school","2","","",""
"5","1987","(1c) basic vocational qualification","1","","",""
"5","1987","(2b) intermediate general qualification","","","",""
"5","1987","(2a) intermediate vocational","","","",""
"5","1987","(2c_gen) general maturity certificate","1","","",""
"5","1987","(2c_voc) vocational maturity certificate","1","","",""
"5","1987","(3a) lower tertiary education","","","",""
"5","1987","(3b) higher tertiary education","1","","",""
"1","1988","(0) in school","","","",""
"1","1988","(1a) inadequately completed","6","","",""
"1","1988","(1b) general elementary school","13","","",""
"1","1988","(1c) basic vocational qualification","8","","",""
"1","1988","(2b) intermediate general qualification","1","","",""
"1","1988","(2a) intermediate vocational","4","","",""
"1","1988","(2c_gen) general maturity certificate","1","","",""
"1","1988","(2c_voc) vocational maturity certificate","2","","",""
"1","1988","(3a) lower tertiary education","","","",""
"1","1988","(3b) higher tertiary education","1","","",""
"2","1988","(0) in school","3","","",""
"2","1988","(1a) inadequately completed","19","","",""
"2","1988","(1b) general elementary school","33","0.155165816038768","0.107322583568537","0.203009048508999"
"2","1988","(1c) basic vocational qualification","40","0.129034816643041","0.0924185546417265","0.165651078644355"
"2","1988","(2b) intermediate general qualification","11","","",""
"2","1988","(2a) intermediate vocational","20","","",""
"2","1988","(2c_gen) general maturity certificate","10","","",""
"2","1988","(2c_voc) vocational maturity certificate","14","","",""
"2","1988","(3a) lower tertiary education","3","","",""
"2","1988","(3b) higher tertiary education","13","","",""
"3","1988","(0) in school","7","","",""
"3","1988","(1a) inadequately completed","62","0.734691600335561","0.64296799331177","0.826415207359353"
"3","1988","(1b) general elementary school","163","0.782986351205195","0.72851635174454","0.83745635066585"
"3","1988","(1c) basic vocational qualification","254","0.778712646044645","0.733372066517659","0.824053225571632"
"3","1988","(2b) intermediate general qualification","29","","",""
"3","1988","(2a) intermediate vocational","108","0.77525488259336","0.706600019314811","0.843909745871908"
"3","1988","(2c_gen) general maturity certificate","22","","",""
"3","1988","(2c_voc) vocational maturity certificate","36","0.675327591329122","0.549263878287527","0.801391304370717"
"3","1988","(3a) lower tertiary education","11","","",""
"3","1988","(3b) higher tertiary education","42","0.629911916095352","0.509728454343367","0.750095377847337"
"4","1988","(0) in school","1","","",""
"4","1988","(1a) inadequately completed","2","","",""
"4","1988","(1b) general elementary school","10","","",""
"4","1988","(1c) basic vocational qualification","19","","",""
"4","1988","(2b) intermediate general qualification","3","","",""
"4","1988","(2a) intermediate vocational","9","","",""
"4","1988","(2c_gen) general maturity certificate","","","",""
"4","1988","(2c_voc) vocational maturity certificate","1","","",""
"4","1988","(3a) lower tertiary education","4","","",""
"4","1988","(3b) higher tertiary education","6","","",""
"5","1988","(0) in school","","","",""
"5","1988","(1a) inadequately completed","","","",""
"5","1988","(1b) general elementary school","1","","",""
"5","1988","(1c) basic vocational qualification","1","","",""
"5","1988","(2b) intermediate general qualification","","","",""
"5","1988","(2a) intermediate vocational","1","","",""
"5","1988","(2c_gen) general maturity certificate","","","",""
"5","1988","(2c_voc) vocational maturity certificate","","","",""
"5","1988","(3a) lower tertiary education","","","",""
"5","1988","(3b) higher tertiary education","","","",""
"1","1989","(0) in school","","","",""
"1","1989","(1a) inadequately completed","7","","",""
"1","1989","(1b) general elementary school","5","","",""
"1","1989","(1c) basic vocational qualification","11","","",""
"1","1989","(2b) intermediate general qualification","2","","",""
"1","1989","(2a) intermediate vocational","6","","",""
"1","1989","(2c_gen) general maturity certificate","","","",""
"1","1989","(2c_voc) vocational maturity certificate","2","","",""
"1","1989","(3a) lower tertiary education","5","","",""
"1","1989","(3b) higher tertiary education","1","","",""
"2","1989","(0) in school","2","","",""
"2","1989","(1a) inadequately completed","24","","",""
"2","1989","(1b) general elementary school","39","0.150000877002955","0.0976917209250623","0.202310033080848"
"2","1989","(1c) basic vocational qualification","28","","",""
"2","1989","(2b) intermediate general qualification","4","","",""
"2","1989","(2a) intermediate vocational","24","","",""
"2","1989","(2c_gen) general maturity certificate","11","","",""
"2","1989","(2c_voc) vocational maturity certificate","9","","",""
"2","1989","(3a) lower tertiary education","5","","",""
"2","1989","(3b) higher tertiary education","15","","",""
"3","1989","(0) in school","10","","",""
"3","1989","(1a) inadequately completed","37","0.598672446586247","0.4846571711616","0.712687722010894"
"3","1989","(1b) general elementary school","127","0.721433825310839","0.655761254691698","0.78710639592998"
"3","1989","(1c) basic vocational qualification","215","0.808086179327303","0.761025963309745","0.85514639534486"
"3","1989","(2b) intermediate general qualification","35","0.823179715232256","0.711710432403854","0.934648998060657"
"3","1989","(2a) intermediate vocational","145","0.784664955755829","0.725749834870916","0.843580076640742"
"3","1989","(2c_gen) general maturity certificate","21","","",""
"3","1989","(2c_voc) vocational maturity certificate","38","0.737049597861281","0.622762832892168","0.851336362830395"
"3","1989","(3a) lower tertiary education","17","","",""
"3","1989","(3b) higher tertiary education","30","0.598405042027483","0.467654662254028","0.729155421800939"
"4","1989","(0) in school","","","",""
"4","1989","(1a) inadequately completed","3","","",""
"4","1989","(1b) general elementary school","6","","",""
"4","1989","(1c) basic vocational qualification","13","","",""
"4","1989","(2b) intermediate general qualification","4","","",""
"4","1989","(2a) intermediate vocational","12","","",""
"4","1989","(2c_gen) general maturity certificate","2","","",""
"4","1989","(2c_voc) vocational maturity certificate","7","","",""
"4","1989","(3a) lower tertiary education","4","","",""
"4","1989","(3b) higher tertiary education","8","","",""
"5","1989","(0) in school","","","",""
"5","1989","(1a) inadequately completed","","","",""
"5","1989","(1b) general elementary school","2","","",""
"5","1989","(1c) basic vocational qualification","2","","",""
"5","1989","(2b) intermediate general qualification","","","",""
"5","1989","(2a) intermediate vocational","","","",""
"5","1989","(2c_gen) general maturity certificate","","","",""
"5","1989","(2c_voc) vocational maturity certificate","1","","",""
"5","1989","(3a) lower tertiary education","","","",""
"5","1989","(3b) higher tertiary education","","","",""
"1","1990","(0) in school","1","","",""
"1","1990","(1a) inadequately completed","9","","",""
"1","1990","(1b) general elementary school","34","0.0626048514917097","0.0413497509417806","0.0838599520416388"
"1","1990","(1c) basic vocational qualification","89","0.0483362604588122","0.0378304222059375","0.0588420987116869"
"1","1990","(2b) intermediate general qualification","18","","",""
"1","1990","(2a) intermediate vocational","166","0.103298981717718","0.0880438416341471","0.118554121801288"
"1","1990","(2c_gen) general maturity certificate","10","","",""
"1","1990","(2c_voc) vocational maturity certificate","10","","",""
"1","1990","(3a) lower tertiary education","29","","",""
"1","1990","(3b) higher tertiary education","32","0.0636540396325312","0.0398184047822996","0.0874896744827628"
"2","1990","(0) in school","","","",""
"2","1990","(1a) inadequately completed","17","","",""
"2","1990","(1b) general elementary school","65","0.123654729419598","0.0947718286918833","0.152537630147313"
"2","1990","(1c) basic vocational qualification","275","0.159566690841707","0.14162864321988","0.177504738463534"
"2","1990","(2b) intermediate general qualification","52","0.227548214538263","0.170979114428367","0.284117314648158"
"2","1990","(2a) intermediate vocational","444","0.272464628266653","0.250148108412311","0.294781148120995"
"2","1990","(2c_gen) general maturity certificate","19","","",""
"2","1990","(2c_voc) vocational maturity certificate","37","0.218715030773431","0.151198379367656","0.286231682179205"
"2","1990","(3a) lower tertiary education","184","0.240028385766464","0.208137361508821","0.271919410024107"
"2","1990","(3b) higher tertiary education","130","0.30508168423074","0.260127459244918","0.350035909216563"
"3","1990","(0) in school","6","","",""
"3","1990","(1a) inadequately completed","78","0.65143403348694","0.561145226480673","0.741722840493207"
"3","1990","(1b) general elementary school","369","0.74952577417163","0.711509230877066","0.787542317466193"
"3","1990","(1c) basic vocational qualification","1159","0.7409745357449","0.719514754177415","0.762434317312385"
"3","1990","(2b) intermediate general qualification","128","0.627083529543501","0.561834306754814","0.692332752332189"
"3","1990","(2a) intermediate vocational","866","0.581962434215338","0.55723953039675","0.606685338033926"
"3","1990","(2c_gen) general maturity certificate","55","0.543692146636525","0.441355095986275","0.646029197286776"
"3","1990","(2c_voc) vocational maturity certificate","94","0.689954184924137","0.614411936239142","0.765496433609133"
"3","1990","(3a) lower tertiary education","448","0.6695737344386","0.634452079992558","0.704695388884642"
"3","1990","(3b) higher tertiary education","218","0.554858506300718","0.506336837227297","0.603380175374139"
"4","1990","(0) in school","2","","",""
"4","1990","(1a) inadequately completed","3","","",""
"4","1990","(1b) general elementary school","23","","",""
"4","1990","(1c) basic vocational qualification","62","0.0410397359707377","0.0313222256614341","0.0507572462800413"
"4","1990","(2b) intermediate general qualification","13","","",""
"4","1990","(2a) intermediate vocational","45","0.0362924356244463","0.0269184336679343","0.0456664375809583"
"4","1990","(2c_gen) general maturity certificate","7","","",""
"4","1990","(2c_voc) vocational maturity certificate","3","","",""
"4","1990","(3a) lower tertiary education","26","","",""
"4","1990","(3b) higher tertiary education","21","","",""
"5","1990","(0) in school","","","",""
"5","1990","(1a) inadequately completed","","","",""
"5","1990","(1b) general elementary school","8","","",""
"5","1990","(1c) basic vocational qualification","16","","",""
"5","1990","(2b) intermediate general qualification","","","",""
"5","1990","(2a) intermediate vocational","8","","",""
"5","1990","(2c_gen) general maturity certificate","","","",""
"5","1990","(2c_voc) vocational maturity certificate","","","",""
"5","1990","(3a) lower tertiary education","2","","",""
"5","1990","(3b) higher tertiary education","2","","",""
"1","1991","(0) in school","6","","",""
"1","1991","(1a) inadequately completed","67","0.0752104014541222","0.0558793493346562","0.0945414535735883"
"1","1991","(1b) general elementary school","112","0.0219039302726217","0.0159491971547692","0.0278586633904743"
"1","1991","(1c) basic vocational qualification","116","0.0199515543608475","0.0158004199426675","0.0241026887790275"
"1","1991","(2b) intermediate general qualification","22","","",""
"1","1991","(2a) intermediate vocational","118","0.0396097672173128","0.0320823249675176","0.047137209467108"
"1","1991","(2c_gen) general maturity certificate","23","","",""
"1","1991","(2c_voc) vocational maturity certificate","21","","",""
"1","1991","(3a) lower tertiary education","35","0.037052373693335","0.0245581239030992","0.0495466234835708"
"1","1991","(3b) higher tertiary education","43","0.0382473876260351","0.0247617912346196","0.0517329840174507"
"2","1991","(0) in school","32","0.179793239122866","0.118339146276314","0.241247331969418"
"2","1991","(1a) inadequately completed","176","0.227336745261579","0.196616475947242","0.258057014575915"
"2","1991","(1b) general elementary school","371","0.121722901213024","0.108421038916822","0.135024763509226"
"2","1991","(1c) basic vocational qualification","676","0.134181261425352","0.124062809279097","0.144299713571606"
"2","1991","(2b) intermediate general qualification","108","0.17530402026361","0.142717339708586","0.207890700818634"
"2","1991","(2a) intermediate vocational","601","0.203954843843866","0.188403845181033","0.2195058425067"
"2","1991","(2c_gen) general maturity certificate","86","0.205312577223815","0.164806297574608","0.245818856873021"
"2","1991","(2c_voc) vocational maturity certificate","125","0.226917305083727","0.189945435202507","0.263889174964946"
"2","1991","(3a) lower tertiary education","178","0.170627203319778","0.145744368158553","0.195510038481002"
"2","1991","(3b) higher tertiary education","187","0.226838754642421","0.197392419733452","0.25628508955139"
"3","1991","(0) in school","107","0.751893058099811","0.682773658507724","0.821012457691897"
"3","1991","(1a) inadequately completed","458","0.650437961089984","0.615486917966394","0.685389004213574"
"3","1991","(1b) general elementary school","1710","0.782136530086478","0.765342921987691","0.798930138185265"
"3","1991","(1c) basic vocational qualification","3288","0.772850780905972","0.760412564585788","0.785288997226156"
"3","1991","(2b) intermediate general qualification","364","0.725513112150374","0.687267582378904","0.763758641921844"
"3","1991","(2a) intermediate vocational","1695","0.673071124638307","0.654966916252246","0.691175333024368"
"3","1991","(2c_gen) general maturity certificate","252","0.68774229504202","0.641270884149835","0.734213705934204"
"3","1991","(2c_voc) vocational maturity certificate","308","0.642185447178629","0.599871468667071","0.684499425690186"
"3","1991","(3a) lower tertiary education","608","0.706370613151278","0.676246317327546","0.73649490897501"
"3","1991","(3b) higher tertiary education","476","0.624439295869088","0.590388852861092","0.658489738877084"
"4","1991","(0) in school","5","","",""
"4","1991","(1a) inadequately completed","10","","",""
"4","1991","(1b) general elementary school","110","0.0640717877747778","0.0541093594193927","0.0740342161301629"
"4","1991","(1c) basic vocational qualification","260","0.0672127365329553","0.0597796061767671","0.0746458668891434"
"4","1991","(2b) intermediate general qualification","25","","",""
"4","1991","(2a) intermediate vocational","151","0.0762185622757688","0.0659776791020806","0.086459445449457"
"4","1991","(2c_gen) general maturity certificate","21","","",""
"4","1991","(2c_voc) vocational maturity certificate","36","0.0990594081475971","0.0726887740337083","0.125430042261486"
"4","1991","(3a) lower tertiary education","53","0.0815981688986461","0.0634907140860632","0.099705623711229"
"4","1991","(3b) higher tertiary education","66","0.100614209817482","0.0794627545662028","0.121765665068761"
"5","1991","(0) in school","","","",""
"5","1991","(1a) inadequately completed","4","","",""
"5","1991","(1b) general elementary school","18","","",""
"5","1991","(1c) basic vocational qualification","19","","",""
"5","1991","(2b) intermediate general qualification","4","","",""
"5","1991","(2a) intermediate vocational","14","","",""
"5","1991","(2c_gen) general maturity certificate","","","",""
"5","1991","(2c_voc) vocational maturity certificate","3","","",""
"5","1991","(3a) lower tertiary education","4","","",""
"5","1991","(3b) higher tertiary education","5","","",""
"1","1992","(0) in school","7","","",""
"1","1992","(1a) inadequately completed","82","0.0853382980439655","0.064787856724359","0.105888739363572"
"1","1992","(1b) general elementary school","123","0.0271120056197816","0.020398301730851","0.0338257095087123"
"1","1992","(1c) basic vocational qualification","110","0.0194100088479893","0.0152480573989257","0.0235719602970529"
"1","1992","(2b) intermediate general qualification","33","0.0379220500555736","0.0217668633219202","0.0540772367892271"
"1","1992","(2a) intermediate vocational","115","0.0340563455146217","0.0269888954443353","0.041123795584908"
"1","1992","(2c_gen) general maturity certificate","19","","",""
"1","1992","(2c_voc) vocational maturity certificate","33","0.0571677456133834","0.0371555118005256","0.0771799794262413"
"1","1992","(3a) lower tertiary education","28","","",""
"1","1992","(3b) higher tertiary education","31","0.0332666313431334","0.0207056093106134","0.0458276533756533"
"2","1992","(0) in school","24","","",""
"2","1992","(1a) inadequately completed","166","0.208903063149588","0.17900065450973","0.238805471789446"
"2","1992","(1b) general elementary school","349","0.105281455592637","0.0925941588590058","0.117968752326268"
"2","1992","(1c) basic vocational qualification","635","0.130945120874112","0.120768380935916","0.141121860812308"
"2","1992","(2b) intermediate general qualification","121","0.175829315958014","0.143632333372914","0.208026298543115"
"2","1992","(2a) intermediate vocational","603","0.213787434203396","0.197812138403562","0.229762730003229"
"2","1992","(2c_gen) general maturity certificate","92","0.220193722813807","0.178197704118325","0.262189741509289"
"2","1992","(2c_voc) vocational maturity certificate","114","0.191577841340177","0.157654817182873","0.225500865497481"
"2","1992","(3a) lower tertiary education","197","0.190461115847325","0.164323825553202","0.216598406141449"
"2","1992","(3b) higher tertiary education","210","0.23270958463978","0.203112138964667","0.262307030314894"
"3","1992","(0) in school","108","0.782013898246065","0.714105176292083","0.849922620200048"
"3","1992","(1a) inadequately completed","446","0.639645213333558","0.604330666191487","0.674959760475628"
"3","1992","(1b) general elementary school","1644","0.793644218844154","0.776915172423096","0.810373265265212"
"3","1992","(1c) basic vocational qualification","3156","0.763777066899833","0.750963065979034","0.776591067820633"
"3","1992","(2b) intermediate general qualification","355","0.726222866227589","0.688509569859172","0.763936162596006"
"3","1992","(2a) intermediate vocational","1661","0.677938185961937","0.659730594664242","0.696145777259631"
