"hlf0071_h","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"5","1986","Employed","Not Working","","","",""
"1","1987","Not Employed","Full Time","","","",""
"1","1987","Not Employed","Part Time","","","",""
"1","1987","Not Employed","Not Working","14","","",""
"1","1987","Employed","Full Time","17","","",""
"1","1987","Employed","Part Time","13","","",""
"1","1987","Employed","Not Working","","","",""
"2","1987","Not Employed","Full Time","","","",""
"2","1987","Not Employed","Part Time","","","",""
"2","1987","Not Employed","Not Working","37","0.117352154385013","0.0780043235524039","0.156699985217621"
"2","1987","Employed","Full Time","78","0.0964218535252424","0.0719530471524585","0.120890659898026"
"2","1987","Employed","Part Time","49","0.188596823676992","0.139910409490875","0.237283237863108"
"2","1987","Employed","Not Working","","","",""
"3","1987","Not Employed","Full Time","","","",""
"3","1987","Not Employed","Part Time","","","",""
"3","1987","Not Employed","Not Working","188","0.727093353514006","0.672632596589413","0.781554110438599"
"3","1987","Employed","Full Time","429","0.817978813514672","0.785991763815034","0.849965863214311"
"3","1987","Employed","Part Time","175","0.704408614072791","0.647617489764347","0.761199738381234"
"3","1987","Employed","Not Working","","","",""
"4","1987","Not Employed","Full Time","","","",""
"4","1987","Not Employed","Part Time","","","",""
"4","1987","Not Employed","Not Working","14","","",""
"4","1987","Employed","Full Time","32","0.0626032261006752","0.0425214430304634","0.0826850091708869"
"4","1987","Employed","Part Time","11","","",""
"4","1987","Employed","Not Working","","","",""
"5","1987","Not Employed","Full Time","","","",""
"5","1987","Not Employed","Part Time","","","",""
"5","1987","Not Employed","Not Working","4","","",""
"5","1987","Employed","Full Time","3","","",""
"5","1987","Employed","Part Time","","","",""
"5","1987","Employed","Not Working","","","",""
"1","1988","Not Employed","Full Time","","","",""
"1","1988","Not Employed","Part Time","","","",""
"1","1988","Not Employed","Not Working","13","","",""
"1","1988","Employed","Full Time","19","","",""
"1","1988","Employed","Part Time","6","","",""
"1","1988","Employed","Not Working","","","",""
"2","1988","Not Employed","Full Time","","","",""
"2","1988","Not Employed","Part Time","","","",""
"2","1988","Not Employed","Not Working","48","0.190670011044804","0.141580969815961","0.239759052273647"
"2","1988","Employed","Full Time","80","0.152210502470055","0.121799409977115","0.182621594962994"
"2","1988","Employed","Part Time","42","0.191719559917395","0.141602202401063","0.241836917433728"
"2","1988","Employed","Not Working","","","",""
"3","1988","Not Employed","Full Time","","","",""
"3","1988","Not Employed","Part Time","","","",""
"3","1988","Not Employed","Not Working","176","0.729306293497089","0.67378307951278","0.784829507481397"
"3","1988","Employed","Full Time","403","0.752853614207527","0.716336361417617","0.789370866997437"
"3","1988","Employed","Part Time","172","0.716944549551064","0.659592035137629","0.774297063964499"
"3","1988","Employed","Not Working","","","",""
"4","1988","Not Employed","Full Time","","","",""
"4","1988","Not Employed","Part Time","","","",""
"4","1988","Not Employed","Not Working","8","","",""
"4","1988","Employed","Full Time","32","0.0605112146209458","0.0403261831174193","0.0806962461244723"
"4","1988","Employed","Part Time","17","","",""
"4","1988","Employed","Not Working","","","",""
"5","1988","Not Employed","Full Time","","","",""
"5","1988","Not Employed","Part Time","","","",""
"5","1988","Not Employed","Not Working","1","","",""
"5","1988","Employed","Full Time","2","","",""
"5","1988","Employed","Part Time","","","",""
"5","1988","Employed","Not Working","","","",""
"1","1989","Not Employed","Full Time","","","",""
"1","1989","Not Employed","Part Time","","","",""
"1","1989","Not Employed","Not Working","9","","",""
"1","1989","Employed","Full Time","17","","",""
"1","1989","Employed","Part Time","14","","",""
"1","1989","Employed","Not Working","","","",""
"2","1989","Not Employed","Full Time","","","",""
"2","1989","Not Employed","Part Time","","","",""
"2","1989","Not Employed","Not Working","36","0.119528154244352","0.0759618086155455","0.163094499873158"
"2","1989","Employed","Full Time","76","0.110348907613977","0.0835981146164374","0.137099700611518"
"2","1989","Employed","Part Time","49","0.212081775978132","0.158064957757276","0.266098594198988"
"2","1989","Employed","Not Working","","","",""
"3","1989","Not Employed","Full Time","","","",""
"3","1989","Not Employed","Part Time","","","",""
"3","1989","Not Employed","Not Working","157","0.774782690505985","0.718684464593536","0.830880916418435"
"3","1989","Employed","Full Time","398","0.785873915106912","0.750850861529237","0.820896968684586"
"3","1989","Employed","Part Time","139","0.636868941096978","0.573322170708146","0.70041571148581"
"3","1989","Employed","Not Working","","","",""
"4","1989","Not Employed","Full Time","","","",""
"4","1989","Not Employed","Part Time","","","",""
"4","1989","Not Employed","Not Working","10","","",""
"4","1989","Employed","Full Time","33","0.0725019437809417","0.0503621224100909","0.0946417651517924"
"4","1989","Employed","Part Time","17","","",""
"4","1989","Employed","Not Working","","","",""
"5","1989","Not Employed","Full Time","","","",""
"5","1989","Not Employed","Part Time","","","",""
"5","1989","Not Employed","Not Working","1","","",""
"5","1989","Employed","Full Time","3","","",""
"5","1989","Employed","Part Time","1","","",""
"5","1989","Employed","Not Working","","","",""
"1","1990","Not Employed","Full Time","","","",""
"1","1990","Not Employed","Part Time","","","",""
"1","1990","Not Employed","Not Working","12","","",""
"1","1990","Employed","Full Time","20","","",""
"1","1990","Employed","Part Time","24","","",""
"1","1990","Employed","Not Working","","","",""
"2","1990","Not Employed","Full Time","","","",""
"2","1990","Not Employed","Part Time","","","",""
"2","1990","Not Employed","Not Working","33","0.176031237555962","0.122577136524616","0.229485338587307"
"2","1990","Employed","Full Time","60","0.146418796326742","0.1152438686755","0.177593723977984"
"2","1990","Employed","Part Time","32","0.179151326051359","0.124624169047432","0.233678483055286"
"2","1990","Employed","Not Working","","","",""
"3","1990","Not Employed","Full Time","","","",""
"3","1990","Not Employed","Part Time","","","",""
"3","1990","Not Employed","Not Working","140","0.724418402250057","0.661706405455079","0.787130399045034"
"3","1990","Employed","Full Time","387","0.748109759568261","0.709829669826271","0.786389849310252"
"3","1990","Employed","Part Time","126","0.649456920382105","0.581612027073836","0.717301813690375"
"3","1990","Employed","Not Working","","","",""
"4","1990","Not Employed","Full Time","","","",""
"4","1990","Not Employed","Part Time","","","",""
"4","1990","Not Employed","Not Working","10","","",""
"4","1990","Employed","Full Time","24","","",""
"4","1990","Employed","Part Time","6","","",""
"4","1990","Employed","Not Working","","","",""
"5","1990","Not Employed","Full Time","","","",""
"5","1990","Not Employed","Part Time","","","",""
"5","1990","Not Employed","Not Working","","","",""
"5","1990","Employed","Full Time","3","","",""
"5","1990","Employed","Part Time","2","","",""
"5","1990","Employed","Not Working","","","",""
"1","1991","Not Employed","Full Time","","","",""
"1","1991","Not Employed","Part Time","","","",""
"1","1991","Not Employed","Not Working","109","0.0156489780366188","0.0113433685387054","0.0199545875345321"
"1","1991","Employed","Full Time","188","0.0307823938031286","0.0256286890700461","0.035936098536211"
"1","1991","Employed","Part Time","78","0.0293805422345927","0.0213975712153308","0.0373635132538546"
"1","1991","Employed","Not Working","","","",""
"2","1991","Not Employed","Full Time","","","",""
"2","1991","Not Employed","Part Time","","","",""
"2","1991","Not Employed","Not Working","464","0.107619295648216","0.0968685940409502","0.118369997255482"
"2","1991","Employed","Full Time","854","0.179229260316994","0.167785385987092","0.190673134646897"
"2","1991","Employed","Part Time","371","0.204515550614567","0.185448252021036","0.223582849208099"
"2","1991","Employed","Not Working","","","",""
"3","1991","Not Employed","Full Time","","","",""
"3","1991","Not Employed","Part Time","","","",""
"3","1991","Not Employed","Not Working","2351","0.775272414736036","0.760792299835441","0.78975252963663"
"3","1991","Employed","Full Time","3048","0.721650155015053","0.70827753397562","0.735022776054486"
"3","1991","Employed","Part Time","1170","0.689892704967418","0.668027330453689","0.711758079481147"
"3","1991","Employed","Not Working","","","",""
"4","1991","Not Employed","Full Time","","","",""
"4","1991","Not Employed","Part Time","","","",""
"4","1991","Not Employed","Not Working","248","0.0924903335309479","0.0824397690939012","0.102540897967995"
"4","1991","Employed","Full Time","203","0.0627700698869742","0.055533094898365","0.0700070448755835"
"4","1991","Employed","Part Time","96","0.0723660858808578","0.0601180625972109","0.0846141091645048"
"4","1991","Employed","Not Working","","","",""
"5","1991","Not Employed","Full Time","","","",""
"5","1991","Not Employed","Part Time","","","",""
"5","1991","Not Employed","Not Working","20","","",""
"5","1991","Employed","Full Time","22","","",""
"5","1991","Employed","Part Time","4","","",""
"5","1991","Employed","Not Working","","","",""
"1","1992","Not Employed","Full Time","","","",""
"1","1992","Not Employed","Part Time","","","",""
"1","1992","Not Employed","Not Working","154","0.0185377403344859","0.0144627758541471","0.0226127048148247"
"1","1992","Employed","Full Time","325","0.036877136330902","0.0322980679563975","0.0414562047054064"
"1","1992","Employed","Part Time","121","0.0354684584371204","0.0281549648233155","0.0427819520509252"
"1","1992","Employed","Not Working","","","",""
"2","1992","Not Employed","Full Time","","","",""
"2","1992","Not Employed","Part Time","","","",""
"2","1992","Not Employed","Not Working","586","0.1015404597507","0.0924155736293553","0.110665345872045"
"2","1992","Employed","Full Time","1463","0.204109768685686","0.194316759315716","0.213902778055655"
"2","1992","Employed","Part Time","515","0.187633809434367","0.172196309066285","0.203071309802449"
"2","1992","Employed","Not Working","","","",""
"3","1992","Not Employed","Full Time","","","",""
"3","1992","Not Employed","Part Time","","","",""
"3","1992","Not Employed","Not Working","3122","0.781079343737734","0.768586837493944","0.793571849981524"
"3","1992","Employed","Full Time","4346","0.690038822651239","0.678801881632245","0.701275763670233"
"3","1992","Employed","Part Time","1677","0.704765278023745","0.686728810721871","0.722801745325619"
"3","1992","Employed","Not Working","","","",""
"4","1992","Not Employed","Full Time","","","",""
"4","1992","Not Employed","Part Time","","","",""
"4","1992","Not Employed","Not Working","322","0.0915020298817848","0.0827916725239461","0.100212387239623"
"4","1992","Employed","Full Time","352","0.0638410240577446","0.0579010792056396","0.0697809689098496"
"4","1992","Employed","Part Time","133","0.0676846002003055","0.0577517959739297","0.0776174044266813"
"4","1992","Employed","Not Working","","","",""
"5","1992","Not Employed","Full Time","","","",""
"5","1992","Not Employed","Part Time","","","",""
"5","1992","Not Employed","Not Working","25","","",""
"5","1992","Employed","Full Time","21","","",""
"5","1992","Employed","Part Time","11","","",""
"5","1992","Employed","Not Working","","","",""
"1","1993","Not Employed","Full Time","","","",""
"1","1993","Not Employed","Part Time","","","",""
"1","1993","Not Employed","Not Working","144","0.0163793285594824","0.0126164555775581","0.0201422015414068"
"1","1993","Employed","Full Time","280","0.0330349012923826","0.0285788953660211","0.0374909072187441"
"1","1993","Employed","Part Time","127","0.0397160578683723","0.0319191487787324","0.0475129669580123"
"1","1993","Employed","Not Working","","","",""
"2","1993","Not Employed","Full Time","","","",""
"2","1993","Not Employed","Part Time","","","",""
"2","1993","Not Employed","Not Working","640","0.113693665564849","0.104283056145197","0.1231042749845"
"2","1993","Employed","Full Time","1373","0.206930297986576","0.196830293321514","0.217030302651637"
"2","1993","Employed","Part Time","491","0.189119632924917","0.17348505106954","0.204754214780294"
"2","1993","Employed","Not Working","","","",""
"3","1993","Not Employed","Full Time","","","",""
"3","1993","Not Employed","Part Time","","","",""
"3","1993","Not Employed","Not Working","3218","0.773142574206568","0.760727080842513","0.785558067570623"
"3","1993","Employed","Full Time","4151","0.687627903757861","0.676072989812198","0.699182817703525"
"3","1993","Employed","Part Time","1631","0.693983357729538","0.675584679658164","0.712382035800911"
"3","1993","Employed","Not Working","","","",""
"4","1993","Not Employed","Full Time","","","",""
"4","1993","Not Employed","Part Time","","","",""
"4","1993","Not Employed","Not Working","336","0.0872154981015227","0.0788510238363486","0.0955799723666968"
"4","1993","Employed","Full Time","359","0.0696646931522982","0.0633175255077901","0.0760118607968064"
"4","1993","Employed","Part Time","152","0.0737729909221112","0.0633366805644568","0.0842093012797655"
"4","1993","Employed","Not Working","","","",""
"5","1993","Not Employed","Full Time","","","",""
"5","1993","Not Employed","Part Time","","","",""
"5","1993","Not Employed","Not Working","33","0.00956893356757872","0.0066828986274002","0.0124549685077572"
"5","1993","Employed","Full Time","17","","",""
"5","1993","Employed","Part Time","9","","",""
"5","1993","Employed","Not Working","","","",""
"1","1994","Not Employed","Full Time","","","",""
"1","1994","Not Employed","Part Time","","","",""
"1","1994","Not Employed","Not Working","134","0.0165216930621896","0.0127861107599869","0.0202572753643923"
"1","1994","Employed","Full Time","263","0.0315118866906897","0.0270401883920615","0.0359835849893178"
"1","1994","Employed","Part Time","121","0.0387894024665398","0.030949043439134","0.0466297614939455"
"1","1994","Employed","Not Working","","","",""
"2","1994","Not Employed","Full Time","","","",""
"2","1994","Not Employed","Part Time","","","",""
"2","1994","Not Employed","Not Working","614","0.107049106149516","0.0979885688458199","0.116109643453212"
"2","1994","Employed","Full Time","1228","0.201925762634558","0.191650198940333","0.212201326328782"
"2","1994","Employed","Part Time","477","0.18384138875169","0.168113187407481","0.199569590095898"
"2","1994","Employed","Not Working","","","",""
"3","1994","Not Employed","Full Time","","","",""
"3","1994","Not Employed","Part Time","","","",""
"3","1994","Not Employed","Not Working","3327","0.778353672429301","0.766181519466908","0.790525825391694"
"3","1994","Employed","Full Time","3979","0.680478089368405","0.668542454097959","0.69241372463885"
"3","1994","Employed","Part Time","1581","0.689219824875219","0.670427709740434","0.708011940010005"
"3","1994","Employed","Not Working","","","",""
"4","1994","Not Employed","Full Time","","","",""
"4","1994","Not Employed","Part Time","","","",""
"4","1994","Not Employed","Not Working","355","0.0882243643351954","0.0799127209313495","0.0965360077390413"
"4","1994","Employed","Full Time","358","0.0797696409634653","0.072834500829438","0.0867047810974926"
"4","1994","Employed","Part Time","149","0.0868127605360671","0.0753802441944875","0.0982452768776467"
"4","1994","Employed","Not Working","","","",""
"5","1994","Not Employed","Full Time","","","",""
"5","1994","Not Employed","Part Time","","","",""
"5","1994","Not Employed","Not Working","43","0.00985116402379805","0.0069568699347108","0.0127454581128853"
"5","1994","Employed","Full Time","35","0.00631462034288269","0.00428700197813806","0.00834223870762733"
"5","1994","Employed","Part Time","2","","",""
"5","1994","Employed","Not Working","","","",""
"1","1995","Not Employed","Full Time","","","",""
"1","1995","Not Employed","Part Time","","","",""
"1","1995","Not Employed","Not Working","158","0.0192293719522916","0.0153235424468376","0.0231352014577456"
"1","1995","Employed","Full Time","218","0.0282942234711895","0.0240426819014818","0.0325457650408973"
"1","1995","Employed","Part Time","112","0.0356598122654551","0.0285208472849611","0.0427987772459492"
"1","1995","Employed","Not Working","","","",""
"2","1995","Not Employed","Full Time","","","",""
"2","1995","Not Employed","Part Time","","","",""
"2","1995","Not Employed","Not Working","694","0.113553885667939","0.104530403249884","0.122577368085995"
"2","1995","Employed","Full Time","1185","0.189970807263863","0.179912522721875","0.200029091805851"
"2","1995","Employed","Part Time","512","0.190945796225803","0.175814558565746","0.20607703388586"
"2","1995","Employed","Not Working","","","",""
"3","1995","Not Employed","Full Time","","","",""
"3","1995","Not Employed","Part Time","","","",""
"3","1995","Not Employed","Not Working","3461","0.757385683584173","0.745193997708987","0.769577369459359"
"3","1995","Employed","Full Time","4028","0.692636889738217","0.68080623369548","0.704467545780955"
"3","1995","Employed","Part Time","1781","0.681864985535617","0.66393476948449","0.699795201586744"
"3","1995","Employed","Not Working","","","",""
"4","1995","Not Employed","Full Time","","","",""
"4","1995","Not Employed","Part Time","","","",""
"4","1995","Not Employed","Not Working","406","0.101702110241494","0.0931056001347321","0.110298620348256"
"4","1995","Employed","Full Time","383","0.0817470376715386","0.0747220214925088","0.0887720538505684"
"4","1995","Employed","Part Time","173","0.0838975381302256","0.0732247662693842","0.0945703099910671"
"4","1995","Employed","Not Working","","","",""
"5","1995","Not Employed","Full Time","","","",""
"5","1995","Not Employed","Part Time","","","",""
"5","1995","Not Employed","Not Working","30","0.00812894855410149","0.00557511963018259","0.0106827774780204"
"5","1995","Employed","Full Time","29","","",""
"5","1995","Employed","Part Time","14","","",""
"5","1995","Employed","Not Working","","","",""
"1","1996","Not Employed","Full Time","","","",""
"1","1996","Not Employed","Part Time","","","",""
"1","1996","Not Employed","Not Working","128","0.0149950668344507","0.0114883338237978","0.0185017998451037"
"1","1996","Employed","Full Time","204","0.0267799729264623","0.022589673379117","0.0309702724738077"
"1","1996","Employed","Part Time","97","0.0241962100965281","0.0183721973978297","0.0300202227952265"
"1","1996","Employed","Not Working","","","",""
"2","1996","Not Employed","Full Time","","","",""
"2","1996","Not Employed","Part Time","","","",""
"2","1996","Not Employed","Not Working","676","0.113334804997759","0.104187971421052","0.122481638574466"
"2","1996","Employed","Full Time","1151","0.197286620994203","0.186957495532664","0.207615746455742"
"2","1996","Employed","Part Time","505","0.174098210981627","0.159725829131313","0.188470592831941"
"2","1996","Employed","Not Working","","","",""
"3","1996","Not Employed","Full Time","","","",""
"3","1996","Not Employed","Part Time","","","",""
"3","1996","Not Employed","Not Working","3357","0.749942325005717","0.737447121815475","0.762437528195958"
"3","1996","Employed","Full Time","3933","0.681456711689082","0.669363605938997","0.693549817439166"
"3","1996","Employed","Part Time","1882","0.707353442690106","0.690108675522105","0.724598209858108"
"3","1996","Employed","Not Working","","","",""
"4","1996","Not Employed","Full Time","","","",""
"4","1996","Not Employed","Part Time","","","",""
"4","1996","Not Employed","Not Working","418","0.111924343567569","0.102827377879155","0.121021309255983"
"4","1996","Employed","Full Time","389","0.0890741594772493","0.0816806290923542","0.0964676898621444"
"4","1996","Employed","Part Time","181","0.0905075955846261","0.0796330919795238","0.101382099189728"
"4","1996","Employed","Not Working","","","",""
"5","1996","Not Employed","Full Time","","","",""
"5","1996","Not Employed","Part Time","","","",""
"5","1996","Not Employed","Not Working","35","0.00980345959450459","0.00696057205578697","0.0126463471332222"
"5","1996","Employed","Full Time","25","","",""
"5","1996","Employed","Part Time","9","","",""
"5","1996","Employed","Not Working","","","",""
"1","1997","Not Employed","Full Time","","","",""
"1","1997","Not Employed","Part Time","","","",""
"1","1997","Not Employed","Not Working","115","0.0150782563197431","0.0115998231322984","0.0185566895071879"
"1","1997","Employed","Full Time","144","0.0200894392912218","0.016404777590045","0.0237741009923986"
"1","1997","Employed","Part Time","87","0.0250764431703013","0.0189886058860843","0.0311642804545182"
"1","1997","Employed","Not Working","","","",""
"2","1997","Not Employed","Full Time","","","",""
"2","1997","Not Employed","Part Time","","","",""
"2","1997","Not Employed","Not Working","655","0.116832274390523","0.107663521818017","0.126001026963029"
"2","1997","Employed","Full Time","1097","0.198280933320755","0.187810321075917","0.208751545565593"
"2","1997","Employed","Part Time","499","0.188913399054485","0.173672528295248","0.204154269813722"
"2","1997","Employed","Not Working","","","",""
"3","1997","Not Employed","Full Time","","","",""
"3","1997","Not Employed","Part Time","","","",""
"3","1997","Not Employed","Not Working","3494","0.745745796918932","0.733316781690283","0.758174812147581"
"3","1997","Employed","Full Time","3961","0.691974239164468","0.679849874886131","0.704098603442805"
"3","1997","Employed","Part Time","1782","0.697886175070033","0.680008033046006","0.71576431709406"
"3","1997","Employed","Not Working","","","",""
"4","1997","Not Employed","Full Time","","","",""
"4","1997","Not Employed","Part Time","","","",""
"4","1997","Not Employed","Not Working","420","0.11265380599263","0.103629231744717","0.121678380240543"
"4","1997","Employed","Full Time","346","0.0842508451226849","0.0769563390580626","0.0915453511873072"
"4","1997","Employed","Part Time","161","0.0865305112936748","0.0755839819999424","0.0974770405874072"
"4","1997","Employed","Not Working","","","",""
"5","1997","Not Employed","Full Time","","","",""
"5","1997","Not Employed","Part Time","","","",""
"5","1997","Not Employed","Not Working","31","0.00968986637817159","0.00689377250317715","0.012485960253166"
"5","1997","Employed","Full Time","22","","",""
"5","1997","Employed","Part Time","5","","",""
"5","1997","Employed","Not Working","","","",""
"1","1998","Not Employed","Full Time","","","",""
"1","1998","Not Employed","Part Time","","","",""
"1","1998","Not Employed","Not Working","123","0.0180100006598033","0.0144293534939146","0.0215906478256921"
"1","1998","Employed","Full Time","159","0.0266564649333176","0.0225505000570471","0.0307624298095881"
"1","1998","Employed","Part Time","97","0.0365431421546215","0.0296263573095914","0.0434599269996516"
"1","1998","Employed","Not Working","","","",""
"2","1998","Not Employed","Full Time","","","",""
"2","1998","Not Employed","Part Time","","","",""
"2","1998","Not Employed","Not Working","679","0.107640834208041","0.0992961577435169","0.115985510672564"
"2","1998","Employed","Full Time","1081","0.181005224036473","0.171190750715852","0.190819697357093"
"2","1998","Employed","Part Time","534","0.191418082306372","0.176915722369354","0.20592044224339"
"2","1998","Employed","Not Working","","","",""
"3","1998","Not Employed","Full Time","","","",""
"3","1998","Not Employed","Part Time","","","",""
"3","1998","Not Employed","Not Working","3894","0.739012676612962","0.727188067802834","0.750837285423091"
"3","1998","Employed","Full Time","4206","0.700464854133813","0.688788750344334","0.712140957923293"
"3","1998","Employed","Part Time","1969","0.684830856523618","0.667705142303703","0.701956570743532"
"3","1998","Employed","Not Working","","","",""
"4","1998","Not Employed","Full Time","","","",""
"4","1998","Not Employed","Part Time","","","",""
"4","1998","Not Employed","Not Working","545","0.1203762185025","0.111614890075052","0.129137546929949"
"4","1998","Employed","Full Time","435","0.0858824820797337","0.0787402462198145","0.0930247179396528"
"4","1998","Employed","Part Time","213","0.0811192915341664","0.0710551478572349","0.0911834352110979"
"4","1998","Employed","Not Working","","","",""
"5","1998","Not Employed","Full Time","","","",""
"5","1998","Not Employed","Part Time","","","",""
"5","1998","Not Employed","Not Working","58","0.0149602700166932","0.0116917757986016","0.0182287642347848"
"5","1998","Employed","Full Time","31","0.00599097481666244","0.00402388228673005","0.00795806734659482"
"5","1998","Employed","Part Time","14","","",""
"5","1998","Employed","Not Working","","","",""
"1","1999","Not Employed","Full Time","","","",""
"1","1999","Not Employed","Part Time","","","",""
"1","1999","Not Employed","Not Working","91","0.0119798557782479","0.00894385954914419","0.0150158520073516"
"1","1999","Employed","Full Time","128","0.0178481246246755","0.0144474873099273","0.0212487619394236"
"1","1999","Employed","Part Time","80","0.0232259221400695","0.0177786425905511","0.028673201689588"
"1","1999","Employed","Not Working","","","",""
"2","1999","Not Employed","Full Time","","","",""
"2","1999","Not Employed","Part Time","","","",""
"2","1999","Not Employed","Not Working","604","0.104762252319933","0.0962162276985201","0.113308276941345"
"2","1999","Employed","Full Time","1080","0.188748924308848","0.178698264314218","0.198799584303478"
"2","1999","Employed","Part Time","538","0.184176450369322","0.170157635975587","0.198195264763056"
"2","1999","Employed","Not Working","","","",""
"3","1999","Not Employed","Full Time","","","",""
"3","1999","Not Employed","Part Time","","","",""
"3","1999","Not Employed","Not Working","3744","0.761653045361185","0.749763207606795","0.773542883115576"
