"hlf0071_h","year","n","percent","lower_confidence","upper_confidence","value"
"Much too small","1990","399","0.0699966297511379","0.0631367241083321","0.0768565353939436","1"
"A little too big","1991","744","0.0711799268183283","0.0668260847719476","0.0755337688647091","4"
"A little too small","1991","2584","0.163590501792823","0.157327008386606","0.169853995199039","2"
"Just right","1991","9420","0.729795129176995","0.722275867978546","0.737314390375444","3"
"Much too big","1991","72","0.0069005043757226","0.00549877265059813","0.00830223610084706","5"
"Much too small","1991","578","0.0285339378361316","0.0257147580272271","0.0313531176450361","1"
"A little too big","1992","807","0.075072565282437","0.0705726928303173","0.0795724377345567","4"
"A little too small","1992","2564","0.162070448065833","0.155777394692432","0.168363501439235","2"
"Just right","1992","9145","0.727370967465262","0.719766482990923","0.7349754519396","3"
"Much too big","1992","57","0.00585463980303464","0.00455183071154144","0.00715744889452784","5"
"Much too small","1992","600","0.0296313793834332","0.0267357028166081","0.0325270559502583","1"
"A little too big","1993","847","0.0772943781769088","0.0726967444193522","0.0818920119344654","4"
"A little too small","1993","2504","0.167104490603496","0.160681782920126","0.173527198286866","2"
"Just right","1993","9000","0.72239999078484","0.714690469004813","0.730109512564867","3"
"Much too big","1993","59","0.00554595590955931","0.00426743038972456","0.00682448142939407","5"
"Much too small","1993","551","0.0276551845251953","0.0248320779894912","0.0304782910608994","1"
"A little too big","1994","862","0.0844592853675504","0.0796165483940893","0.0893020223410114","4"
"A little too small","1994","2319","0.160001762788699","0.153617218260755","0.166386307316643","2"
"Just right","1994","8887","0.721986497117505","0.714184139866949","0.72978885436806","3"
"Much too big","1994","80","0.00688494486166949","0.00544489222968899","0.00832499749364999","5"
"Much too small","1994","518","0.0266675098645766","0.0238617519825192","0.0294732677466341","1"
"A little too big","1995","962","0.0905034875463636","0.0856061767046855","0.0954007983880416","4"
"A little too small","1995","2391","0.158143913980345","0.151915611969717","0.164372215990974","2"
"Just right","1995","9270","0.717762436120297","0.710079587709977","0.725445284530617","3"
"Much too big","1995","73","0.007728871452839","0.00623402111649375","0.00922372178918424","5"
"Much too small","1995","488","0.0258612909001548","0.0231519728265571","0.0285706089737525","1"
"A little too big","1996","988","0.0988330196904403","0.093700895194274","0.103965144186607","4"
"A little too small","1996","2332","0.158054828543355","0.151781626073369","0.16432803101334","2"
"Just right","1996","9172","0.714776468311989","0.707011828485271","0.722541108138707","3"
"Much too big","1996","69","0.00693642632523815","0.00550917672395614","0.00836367592652016","5"
"Much too small","1996","429","0.0213992571289779","0.018910711348646","0.0238878029093097","1"
"A little too big","1997","927","0.0967401869562066","0.0916230054381693","0.101857368474244","4"
"A little too small","1997","2251","0.161940638756542","0.155563346325706","0.168317931187378","2"
"Just right","1997","9237","0.715915125180826","0.708108275053164","0.723721975308489","3"
"Much too big","1997","58","0.00651712124425734","0.0051241918245006","0.00791005066401408","5"
"Much too small","1997","346","0.0188869278621677","0.0165304616931273","0.021243394031208","1"
"A little too big","1998","1193","0.0998043238162376","0.0948459574659328","0.104762690166542","4"
"A little too small","1998","2294","0.151447657398359","0.145517502050888","0.157377812745831","2"
"Just right","1998","10069","0.714097933090459","0.706623418266702","0.721572447914216","3"
"Much too big","1998","103","0.0098604905185209","0.00822596040127516","0.0114950206357666","5"
"Much too small","1998","379","0.024789595176423","0.022217545499088","0.0273616448537581","1"
"A little too big","1999","1056","0.0896608637238273","0.0848756443436519","0.0944460831040027","4"
"A little too small","1999","2222","0.153447775981264","0.147410987438693","0.159484564523835","2"
"Just right","1999","10057","0.734342915187","0.726945006902347","0.741740823471653","3"
"Much too big","1999","59","0.00601151047736492","0.00471677434299334","0.00730624661173651","5"
"Much too small","1999","299","0.016536934630544","0.0144009146100033","0.0186729546510846","1"
"A little too big","2000","2044","0.0894171595188359","0.0858168520128623","0.0930174670248096","4"
"A little too small","2000","3433","0.141114649439634","0.136722035066119","0.145507263813148","2"
"Just right","2000","18031","0.742745219921373","0.7372298951712","0.748260544671545","3"
"Much too big","2000","158","0.00821195089449014","0.00707326999085102","0.00935063179812926","5"
"Much too small","2000","464","0.0185110202256675","0.0168103217534534","0.0202117186978816","1"
"A little too big","2001","1809","0.0901412387653925","0.0863536667496938","0.0939288107810912","4"
"A little too small","2001","3055","0.136055741676306","0.131521408316948","0.140590075035664","2"
"Just right","2001","16522","0.746471855733417","0.740718357881737","0.752225353585098","3"
"Much too big","2001","152","0.00799250004691943","0.00681486438450015","0.0091701357093387","5"
"Much too small","2001","424","0.019338663777965","0.0175173494448674","0.0211599781110626","1"
"A little too big","2002","2249","0.101912712296194","0.0980122850925503","0.105813139499837","4"
"A little too small","2002","3310","0.143493137679193","0.138973332538671","0.148012942819715","2"
"Just right","2002","16824","0.720246682913507","0.714459503080307","0.726033862746706","3"
"Much too big","2002","267","0.0118300796735507","0.0104361258997095","0.0132240334473918","5"
"Much too small","2002","461","0.022517387437556","0.0206046637208631","0.0244301111542489","1"
"A little too big","2003","2236","0.102633356317675","0.0986455704502394","0.106621142185111","4"
"A little too small","2003","3150","0.14866800751749","0.143993231141486","0.153342783893494","2"
"Just right","2003","16251","0.719479893268067","0.713576605808851","0.725383180727284","3"
"Much too big","2003","235","0.0116154683200317","0.0102075290076677","0.0130234076323956","5"
"Much too small","2003","376","0.017603274576736","0.0158752783581314","0.0193312707953406","1"
"A little too big","2004","2224","0.103922212461624","0.0998573468806479","0.1079870780426","4"
"A little too small","2004","2914","0.136373691648423","0.131802311152518","0.140945072144329","2"
"Just right","2004","15965","0.732886809229646","0.726993146750585","0.738780471708706","3"
"Much too big","2004","217","0.0101448532449686","0.00881001743854858","0.0114796890513886","5"
"Much too small","2004","330","0.0166724334153385","0.0149668705029844","0.0183779963276926","1"
"A little too big","2005","2042","0.0965276663102718","0.0925130322772948","0.100542300343249","4"
"A little too small","2005","2813","0.144482477991105","0.139702953682909","0.149262002299301","2"
"Just right","2005","15411","0.732022246886625","0.726001170454722","0.738043323318528","3"
"Much too big","2005","252","0.0120339401378485","0.0105516351650105","0.0135162451106866","5"
"Much too small","2005","268","0.0149336686741496","0.0132848282623475","0.0165825090859518","1"
"A little too big","2006","2469","0.104070537101343","0.100066683811374","0.108074390391312","4"
"A little too small","2006","2902","0.142633295222845","0.138047959770651","0.147218630675039","2"
"Just right","2006","16331","0.719851985251916","0.713963647319949","0.725740323183883","3"
"Much too big","2006","307","0.0143189221420988","0.0127611615181764","0.0158766827660211","5"
"Much too small","2006","334","0.019125260281797","0.017329336917049","0.020921183646545","1"
"A little too big","2007","2309","0.105399282694863","0.101239248260239","0.109559317129487","4"
"A little too small","2007","2794","0.13964438740804","0.134948537388504","0.144340237427577","2"
"Just right","2007","15308","0.727194324328005","0.721160183831408","0.733228464824601","3"
"Much too big","2007","270","0.0121880425908419","0.0107015334027143","0.0136745517789695","5"
"Much too small","2007","249","0.01557396297825","0.013896493635696","0.017251432320804","1"
"A little too big","2008","2237","0.111102639406795","0.106707350168871","0.115497928644718","4"
"A little too small","2008","2508","0.139893387726786","0.135041908232633","0.144744867220939","2"
"Just right","2008","14361","0.717398123087968","0.711100638661357","0.723695607514578","3"
"Much too big","2008","314","0.0177597541520518","0.0159124993665357","0.0196070089375679","5"
"Much too small","2008","218","0.0138460956264003","0.0122117817213695","0.0154804095314312","1"
"A little too big","2009","2273","0.120038625837778","0.115333759125327","0.12474349255023","4"
"A little too small","2009","2416","0.147378568686191","0.142246998161559","0.152510139210823","2"
"Just right","2009","13076","0.697964671235973","0.691318054985316","0.704611287486631","3"
"Much too big","2009","311","0.0179642786064281","0.0160415253923909","0.0198870318204654","5"
"Much too small","2009","255","0.016653855633629","0.0148013240551465","0.0185063872121115","1"
"A little too big","2010","2422","0.117319249087844","0.113281248822812","0.121357249352876","4"
"A little too small","2010","4365","0.146103542652923","0.141671408909545","0.150535676396301","2"
"Just right","2010","16516","0.701725873195747","0.695985086451518","0.707466659939976","3"
"Much too big","2010","347","0.020456650293627","0.0186803803438718","0.0222329202433823","5"
"Much too small","2010","747","0.0143946847698591","0.012900058966385","0.0158893105733333","1"
"A little too big","2011","3119","0.124467838570607","0.120668056845875","0.12826762029534","4"
"A little too small","2011","4802","0.139040661528258","0.135058157195744","0.143023165860773","2"
"Just right","2011","19948","0.703200965972871","0.697942428239251","0.708459503706491","3"
"Much too big","2011","396","0.018334259659565","0.0167900455016211","0.0198784738175088","5"
"Much too small","2011","729","0.0149562742686981","0.0135591549799022","0.0163533935574941","1"
"A little too big","2012","3117","0.126609349586152","0.12273197648296","0.130486722689343","4"
"A little too small","2012","4338","0.129460483572145","0.125546100788988","0.133374866355303","2"
"Just right","2012","19702","0.708550045748798","0.703251365700834","0.713848725796763","3"
"Much too big","2012","439","0.0183431384342503","0.0167784887734421","0.0199077880950584","5"
"Much too small","2012","659","0.0170369826586544","0.0155280656114277","0.018545899705881","1"
"A little too big","2013","3198","0.128013903856784","0.124312856961886","0.131714950751683","4"
"A little too small","2013","5068","0.125412377511482","0.121743669898952","0.129081085124013","2"
"Just right","2013","21682","0.707889177049989","0.702851878430808","0.712926475669171","3"
"Much too big","2013","417","0.0201045313724821","0.0185497186387033","0.021659344106261","5"
"Much too small","2013","940","0.0185800102092616","0.0170841477576311","0.0200758726608921","1"
"A little too big","2014","3084","0.133125035388069","0.129127474076909","0.137122596699228","4"
"A little too small","2014","4402","0.132854802857009","0.128860678559819","0.136848927154199","2"
"Just right","2014","19063","0.695164080319892","0.689747018814489","0.700581141825296","3"
"Much too big","2014","388","0.0188328308284693","0.0172332126114365","0.0204324490455022","5"
"Much too small","2014","804","0.0200232506065609","0.0183748521004982","0.0216716491126235","1"
"A little too big","2015","2949","0.134090269203902","0.130062065157816","0.138118473249988","4"
"A little too small","2015","4247","0.12412735043622","0.120229449970167","0.128025250902273","2"
"Just right","2015","19060","0.702697552639535","0.697294241421844","0.708100863857225","3"
"Much too big","2015","390","0.0182812545774629","0.0166975540547938","0.019864955100132","5"
"Much too small","2015","842","0.0208035731428803","0.0191163194123759","0.0224908268733846","1"
"A little too big","2016","2771","0.129157480543079","0.125222483099533","0.133092477986626","4"
"A little too small","2016","4471","0.131041388711515","0.127082086536158","0.135000690886872","2"
"Just right","2016","19169","0.704627635938643","0.699274853092394","0.709980418784892","3"
"Much too big","2016","355","0.0176587396841578","0.0161133930717196","0.019204086296596","5"
"Much too small","2016","1138","0.0175147551226046","0.0159756087871499","0.0190539014580594","1"
"A little too big","2017","3148","0.127031145316397","0.123339955229506","0.130722335403287","4"
"A little too small","2017","4888","0.122968153242924","0.119328031267444","0.126608275218404","2"
"Just right","2017","21449","0.70860756122136","0.703570769883453","0.713644352559267","3"
"Much too big","2017","396","0.0183472809930705","0.0168597133529764","0.0198348486331646","5"
"Much too small","2017","1385","0.0230458592262491","0.0213826554185717","0.0247090630339264","1"
"A little too big","2018","3059","0.130437786776383","0.126618753496446","0.134256820056319","4"
"A little too small","2018","4651","0.124664403557996","0.12091847121261","0.128410335903381","2"
"Just right","2018","20564","0.708920643902947","0.703769473496101","0.714071814309794","3"
"Much too big","2018","368","0.0166138052929225","0.0151643727282624","0.0180632378575826","5"
"Much too small","2018","1232","0.0193633604697519","0.0178007676449338","0.0209259532945701","1"
"A little too big","2019","3351","0.13232149345169","0.12846946859023","0.13617351831315","4"
"A little too small","2019","4118","0.118991330047089","0.115310530088836","0.122672130005342","2"
"Just right","2019","20673","0.711173470658422","0.706021174967699","0.716325766349144","3"
"Much too big","2019","469","0.0167262006210846","0.0152682918492942","0.0181841093928751","5"
"Much too small","2019","1113","0.0207875052217147","0.0191655676897373","0.0224094427536921","1"
