"hlf0071_h","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Just right","1985","Employed","middle vocational","2563","0.75536386766265","0.741038320644477","0.769689414680823"
"Just right","1985","Employed","vocational + Abi","128","0.684940606156321","0.620071539188168","0.749809673124473"
"Just right","1985","Employed","higher vocational","331","0.74201995899088","0.701595642870956","0.782444275110804"
"Just right","1985","Employed","higher education","430","0.713147622056744","0.677077420581488","0.749217823531999"
"A little too big","1985","Not Employed","in school","6","","",""
"A little too big","1985","Not Employed","inadequately","7","","",""
"A little too big","1985","Not Employed","general elemantary","96","0.0756620982355459","0.0624065126110247","0.0889176838600671"
"A little too big","1985","Not Employed","middle vocational","112","0.0733214863568009","0.0610028100262276","0.0856401626873742"
"A little too big","1985","Not Employed","vocational + Abi","5","","",""
"A little too big","1985","Not Employed","higher vocational","14","","",""
"A little too big","1985","Not Employed","higher education","13","","",""
"A little too big","1985","Employed","in school","","","",""
"A little too big","1985","Employed","inadequately","8","","",""
"A little too big","1985","Employed","general elemantary","58","0.0534332759828942","0.042149554926217","0.0647169970395714"
"A little too big","1985","Employed","middle vocational","226","0.0744378733660665","0.0656906024751318","0.0831851442570012"
"A little too big","1985","Employed","vocational + Abi","6","","",""
"A little too big","1985","Employed","higher vocational","35","0.0797539115491318","0.0547233945260193","0.104784428572244"
"A little too big","1985","Employed","higher education","44","0.0852069067619562","0.0629416114356719","0.10747220208824"
"Much too big","1985","Not Employed","in school","2","","",""
"Much too big","1985","Not Employed","inadequately","2","","",""
"Much too big","1985","Not Employed","general elemantary","16","","",""
"Much too big","1985","Not Employed","middle vocational","10","","",""
"Much too big","1985","Not Employed","vocational + Abi","","","",""
"Much too big","1985","Not Employed","higher vocational","2","","",""
"Much too big","1985","Not Employed","higher education","2","","",""
"Much too big","1985","Employed","in school","","","",""
"Much too big","1985","Employed","inadequately","2","","",""
"Much too big","1985","Employed","general elemantary","16","","",""
"Much too big","1985","Employed","middle vocational","18","","",""
"Much too big","1985","Employed","vocational + Abi","1","","",""
"Much too big","1985","Employed","higher vocational","5","","",""
"Much too big","1985","Employed","higher education","5","","",""
"Much too small","1986","Not Employed","in school","","","",""
"Much too small","1986","Not Employed","inadequately","4","","",""
"Much too small","1986","Not Employed","general elemantary","6","","",""
"Much too small","1986","Not Employed","middle vocational","3","","",""
"Much too small","1986","Not Employed","vocational + Abi","","","",""
"Much too small","1986","Not Employed","higher vocational","1","","",""
"Much too small","1986","Not Employed","higher education","3","","",""
"Much too small","1986","Employed","in school","","","",""
"Much too small","1986","Employed","inadequately","3","","",""
"Much too small","1986","Employed","general elemantary","14","","",""
"Much too small","1986","Employed","middle vocational","10","","",""
"Much too small","1986","Employed","vocational + Abi","2","","",""
"Much too small","1986","Employed","higher vocational","1","","",""
"Much too small","1986","Employed","higher education","1","","",""
"A little too small","1986","Not Employed","in school","1","","",""
"A little too small","1986","Not Employed","inadequately","10","","",""
"A little too small","1986","Not Employed","general elemantary","14","","",""
"A little too small","1986","Not Employed","middle vocational","17","","",""
"A little too small","1986","Not Employed","vocational + Abi","","","",""
"A little too small","1986","Not Employed","higher vocational","3","","",""
"A little too small","1986","Not Employed","higher education","4","","",""
"A little too small","1986","Employed","in school","","","",""
"A little too small","1986","Employed","inadequately","4","","",""
"A little too small","1986","Employed","general elemantary","31","0.171255333313423","0.120057822133883","0.222452844492962"
"A little too small","1986","Employed","middle vocational","67","0.13258477562807","0.101694773039464","0.163474778216677"
"A little too small","1986","Employed","vocational + Abi","2","","",""
"A little too small","1986","Employed","higher vocational","3","","",""
"A little too small","1986","Employed","higher education","24","","",""
"Just right","1986","Not Employed","in school","7","","",""
"Just right","1986","Not Employed","inadequately","33","0.704653957161578","0.575597125764302","0.833710788558853"
"Just right","1986","Not Employed","general elemantary","85","0.796619747471293","0.721400034210951","0.871839460731634"
"Just right","1986","Not Employed","middle vocational","97","0.758957040906253","0.685713679839389","0.832200401973118"
"Just right","1986","Not Employed","vocational + Abi","8","","",""
"Just right","1986","Not Employed","higher vocational","6","","",""
"Just right","1986","Not Employed","higher education","5","","",""
"Just right","1986","Employed","in school","1","","",""
"Just right","1986","Employed","inadequately","44","0.925287996270889","0.854502576425151","0.996073416116627"
"Just right","1986","Employed","general elemantary","157","0.746081314608529","0.686931030400465","0.805231598816592"
"Just right","1986","Employed","middle vocational","357","0.769676355080549","0.731324980860114","0.808027729300984"
"Just right","1986","Employed","vocational + Abi","19","","",""
"Just right","1986","Employed","higher vocational","47","0.848701812578289","0.753999371491429","0.943404253665149"
"Just right","1986","Employed","higher education","66","0.618971244128058","0.523308109667467","0.714634378588649"
"A little too big","1986","Not Employed","in school","1","","",""
"A little too big","1986","Not Employed","inadequately","1","","",""
"A little too big","1986","Not Employed","general elemantary","5","","",""
"A little too big","1986","Not Employed","middle vocational","12","","",""
"A little too big","1986","Not Employed","vocational + Abi","","","",""
"A little too big","1986","Not Employed","higher vocational","1","","",""
"A little too big","1986","Not Employed","higher education","3","","",""
"A little too big","1986","Employed","in school","","","",""
"A little too big","1986","Employed","inadequately","2","","",""
"A little too big","1986","Employed","general elemantary","5","","",""
"A little too big","1986","Employed","middle vocational","29","","",""
"A little too big","1986","Employed","vocational + Abi","3","","",""
"A little too big","1986","Employed","higher vocational","4","","",""
"A little too big","1986","Employed","higher education","8","","",""
"Much too big","1986","Not Employed","in school","","","",""
"Much too big","1986","Not Employed","inadequately","","","",""
"Much too big","1986","Not Employed","general elemantary","","","",""
"Much too big","1986","Not Employed","middle vocational","2","","",""
"Much too big","1986","Not Employed","vocational + Abi","","","",""
"Much too big","1986","Not Employed","higher vocational","","","",""
"Much too big","1986","Not Employed","higher education","","","",""
"Much too big","1986","Employed","in school","","","",""
"Much too big","1986","Employed","inadequately","","","",""
"Much too big","1986","Employed","general elemantary","1","","",""
"Much too big","1986","Employed","middle vocational","","","",""
"Much too big","1986","Employed","vocational + Abi","","","",""
"Much too big","1986","Employed","higher vocational","","","",""
"Much too big","1986","Employed","higher education","","","",""
"Much too small","1987","Not Employed","in school","","","",""
"Much too small","1987","Not Employed","inadequately","5","","",""
"Much too small","1987","Not Employed","general elemantary","4","","",""
"Much too small","1987","Not Employed","middle vocational","","","",""
"Much too small","1987","Not Employed","vocational + Abi","1","","",""
"Much too small","1987","Not Employed","higher vocational","1","","",""
"Much too small","1987","Not Employed","higher education","1","","",""
"Much too small","1987","Employed","in school","","","",""
"Much too small","1987","Employed","inadequately","7","","",""
"Much too small","1987","Employed","general elemantary","9","","",""
"Much too small","1987","Employed","middle vocational","8","","",""
"Much too small","1987","Employed","vocational + Abi","2","","",""
"Much too small","1987","Employed","higher vocational","","","",""
"Much too small","1987","Employed","higher education","3","","",""
"A little too small","1987","Not Employed","in school","1","","",""
"A little too small","1987","Not Employed","inadequately","4","","",""
"A little too small","1987","Not Employed","general elemantary","10","","",""
"A little too small","1987","Not Employed","middle vocational","12","","",""
"A little too small","1987","Not Employed","vocational + Abi","2","","",""
"A little too small","1987","Not Employed","higher vocational","1","","",""
"A little too small","1987","Not Employed","higher education","5","","",""
"A little too small","1987","Employed","in school","","","",""
"A little too small","1987","Employed","inadequately","11","","",""
"A little too small","1987","Employed","general elemantary","35","0.146551360006981","0.0938515971030922","0.199251122910869"
"A little too small","1987","Employed","middle vocational","57","0.129043357453829","0.095728390620698","0.162358324286961"
"A little too small","1987","Employed","vocational + Abi","7","","",""
"A little too small","1987","Employed","higher vocational","3","","",""
"A little too small","1987","Employed","higher education","13","","",""
"Just right","1987","Not Employed","in school","10","","",""
"Just right","1987","Not Employed","inadequately","27","","",""
"Just right","1987","Not Employed","general elemantary","49","0.775890399883336","0.674517508852488","0.877263290914183"
"Just right","1987","Not Employed","middle vocational","82","0.776173112398167","0.695285236683544","0.85706098811279"
"Just right","1987","Not Employed","vocational + Abi","3","","",""
"Just right","1987","Not Employed","higher vocational","6","","",""
"Just right","1987","Not Employed","higher education","8","","",""
"Just right","1987","Employed","in school","1","","",""
"Just right","1987","Employed","inadequately","50","0.758576330411884","0.657601504570762","0.859551156253006"
"Just right","1987","Employed","general elemantary","119","0.737796795165361","0.672255892341117","0.803337697989605"
"Just right","1987","Employed","middle vocational","303","0.800882512470408","0.761198790558305","0.840566234382511"
"Just right","1987","Employed","vocational + Abi","25","","",""
"Just right","1987","Employed","higher vocational","38","0.870292888828607","0.772127939889651","0.968457837767564"
"Just right","1987","Employed","higher education","60","0.75583614142522","0.663968415719409","0.847703867131032"
"A little too big","1987","Not Employed","in school","","","",""
"A little too big","1987","Not Employed","inadequately","3","","",""
"A little too big","1987","Not Employed","general elemantary","2","","",""
"A little too big","1987","Not Employed","middle vocational","6","","",""
"A little too big","1987","Not Employed","vocational + Abi","","","",""
"A little too big","1987","Not Employed","higher vocational","2","","",""
"A little too big","1987","Not Employed","higher education","1","","",""
"A little too big","1987","Employed","in school","","","",""
"A little too big","1987","Employed","inadequately","1","","",""
"A little too big","1987","Employed","general elemantary","8","","",""
"A little too big","1987","Employed","middle vocational","21","","",""
"A little too big","1987","Employed","vocational + Abi","1","","",""
"A little too big","1987","Employed","higher vocational","4","","",""
"A little too big","1987","Employed","higher education","7","","",""
"Much too big","1987","Not Employed","in school","1","","",""
"Much too big","1987","Not Employed","inadequately","","","",""
"Much too big","1987","Not Employed","general elemantary","","","",""
"Much too big","1987","Not Employed","middle vocational","2","","",""
"Much too big","1987","Not Employed","vocational + Abi","1","","",""
"Much too big","1987","Not Employed","higher vocational","","","",""
"Much too big","1987","Not Employed","higher education","","","",""
"Much too big","1987","Employed","in school","","","",""
"Much too big","1987","Employed","inadequately","","","",""
"Much too big","1987","Employed","general elemantary","2","","",""
"Much too big","1987","Employed","middle vocational","","","",""
"Much too big","1987","Employed","vocational + Abi","","","",""
"Much too big","1987","Employed","higher vocational","","","",""
"Much too big","1987","Employed","higher education","1","","",""
"Much too small","1988","Not Employed","in school","","","",""
"Much too small","1988","Not Employed","inadequately","5","","",""
"Much too small","1988","Not Employed","general elemantary","4","","",""
"Much too small","1988","Not Employed","middle vocational","3","","",""
"Much too small","1988","Not Employed","vocational + Abi","","","",""
"Much too small","1988","Not Employed","higher vocational","","","",""
"Much too small","1988","Not Employed","higher education","1","","",""
"Much too small","1988","Employed","in school","","","",""
"Much too small","1988","Employed","inadequately","1","","",""
"Much too small","1988","Employed","general elemantary","10","","",""
"Much too small","1988","Employed","middle vocational","9","","",""
"Much too small","1988","Employed","vocational + Abi","2","","",""
"Much too small","1988","Employed","higher vocational","1","","",""
"Much too small","1988","Employed","higher education","","","",""
"A little too small","1988","Not Employed","in school","3","","",""
"A little too small","1988","Not Employed","inadequately","12","","",""
"A little too small","1988","Not Employed","general elemantary","13","","",""
"A little too small","1988","Not Employed","middle vocational","10","","",""
"A little too small","1988","Not Employed","vocational + Abi","2","","",""
"A little too small","1988","Not Employed","higher vocational","3","","",""
"A little too small","1988","Not Employed","higher education","4","","",""
"A little too small","1988","Employed","in school","","","",""
"A little too small","1988","Employed","inadequately","8","","",""
"A little too small","1988","Employed","general elemantary","29","","",""
"A little too small","1988","Employed","middle vocational","57","0.139346202471387","0.105194578759541","0.173497826183233"
"A little too small","1988","Employed","vocational + Abi","6","","",""
"A little too small","1988","Employed","higher vocational","8","","",""
"A little too small","1988","Employed","higher education","12","","",""
"Just right","1988","Not Employed","in school","7","","",""
"Just right","1988","Not Employed","inadequately","24","","",""
"Just right","1988","Not Employed","general elemantary","66","0.773796465106665","0.687361412490232","0.860231517723097"
"Just right","1988","Not Employed","middle vocational","59","0.785693960760025","0.690911985495166","0.880475936024884"
"Just right","1988","Not Employed","vocational + Abi","4","","",""
"Just right","1988","Not Employed","higher vocational","9","","",""
"Just right","1988","Not Employed","higher education","5","","",""
"Just right","1988","Employed","in school","","","",""
"Just right","1988","Employed","inadequately","34","0.738659204811051","0.608837468314102","0.868480941308"
"Just right","1988","Employed","general elemantary","124","0.727892467944047","0.660992251208128","0.794792684679966"
"Just right","1988","Employed","middle vocational","300","0.75823694074969","0.716014145228749","0.800459736270631"
"Just right","1988","Employed","vocational + Abi","18","","",""
"Just right","1988","Employed","higher vocational","40","0.783927702219925","0.669850032845662","0.898005371594189"
"Just right","1988","Employed","higher education","48","0.67629283808333","0.566684745735545","0.785900930431115"
"A little too big","1988","Not Employed","in school","","","",""
"A little too big","1988","Not Employed","inadequately","","","",""
"A little too big","1988","Not Employed","general elemantary","6","","",""
"A little too big","1988","Not Employed","middle vocational","","","",""
"A little too big","1988","Not Employed","vocational + Abi","","","",""
"A little too big","1988","Not Employed","higher vocational","1","","",""
"A little too big","1988","Not Employed","higher education","","","",""
"A little too big","1988","Employed","in school","1","","",""
"A little too big","1988","Employed","inadequately","1","","",""
"A little too big","1988","Employed","general elemantary","7","","",""
"A little too big","1988","Employed","middle vocational","27","","",""
"A little too big","1988","Employed","vocational + Abi","1","","",""
"A little too big","1988","Employed","higher vocational","1","","",""
"A little too big","1988","Employed","higher education","10","","",""
"Much too big","1988","Not Employed","in school","","","",""
"Much too big","1988","Not Employed","inadequately","","","",""
"Much too big","1988","Not Employed","general elemantary","1","","",""
"Much too big","1988","Not Employed","middle vocational","","","",""
"Much too big","1988","Not Employed","vocational + Abi","","","",""
"Much too big","1988","Not Employed","higher vocational","","","",""
"Much too big","1988","Not Employed","higher education","","","",""
"Much too big","1988","Employed","in school","","","",""
"Much too big","1988","Employed","inadequately","","","",""
"Much too big","1988","Employed","general elemantary","","","",""
"Much too big","1988","Employed","middle vocational","2","","",""
"Much too big","1988","Employed","vocational + Abi","","","",""
"Much too big","1988","Employed","higher vocational","","","",""
"Much too big","1988","Employed","higher education","","","",""
"Much too small","1989","Not Employed","in school","","","",""
"Much too small","1989","Not Employed","inadequately","1","","",""
"Much too small","1989","Not Employed","general elemantary","4","","",""
"Much too small","1989","Not Employed","middle vocational","3","","",""
"Much too small","1989","Not Employed","vocational + Abi","","","",""
"Much too small","1989","Not Employed","higher vocational","","","",""
"Much too small","1989","Not Employed","higher education","1","","",""
"Much too small","1989","Employed","in school","","","",""
"Much too small","1989","Employed","inadequately","6","","",""
"Much too small","1989","Employed","general elemantary","3","","",""
"Much too small","1989","Employed","middle vocational","14","","",""
"Much too small","1989","Employed","vocational + Abi","2","","",""
"Much too small","1989","Employed","higher vocational","","","",""
"Much too small","1989","Employed","higher education","5","","",""
"A little too small","1989","Not Employed","in school","1","","",""
"A little too small","1989","Not Employed","inadequately","8","","",""
"A little too small","1989","Not Employed","general elemantary","13","","",""
"A little too small","1989","Not Employed","middle vocational","10","","",""
"A little too small","1989","Not Employed","vocational + Abi","1","","",""
"A little too small","1989","Not Employed","higher vocational","2","","",""
"A little too small","1989","Not Employed","higher education","1","","",""
"A little too small","1989","Employed","in school","1","","",""
"A little too small","1989","Employed","inadequately","13","","",""
"A little too small","1989","Employed","general elemantary","29","","",""
"A little too small","1989","Employed","middle vocational","53","0.127183117882787","0.0942427747751155","0.160123460990458"
"A little too small","1989","Employed","vocational + Abi","7","","",""
"A little too small","1989","Employed","higher vocational","3","","",""
"A little too small","1989","Employed","higher education","19","","",""
"Just right","1989","Not Employed","in school","8","","",""
"Just right","1989","Not Employed","inadequately","13","","",""
"Just right","1989","Not Employed","general elemantary","56","0.770441491302908","0.677112339549123","0.863770643056694"
"Just right","1989","Not Employed","middle vocational","61","0.783719152460312","0.691157615714968","0.876280689205657"
"Just right","1989","Not Employed","vocational + Abi","2","","",""
"Just right","1989","Not Employed","higher vocational","5","","",""
"Just right","1989","Not Employed","higher education","10","","",""
"Just right","1989","Employed","in school","2","","",""
"Just right","1989","Employed","inadequately","17","","",""
"Just right","1989","Employed","general elemantary","106","0.752273125322617","0.682008226496444","0.82253802414879"
"Just right","1989","Employed","middle vocational","302","0.780832453536604","0.739932871817301","0.821732035255907"
"Just right","1989","Employed","vocational + Abi","25","","",""
"Just right","1989","Employed","higher vocational","34","0.862184628481456","0.756671832724429","0.967697424238483"
"Just right","1989","Employed","higher education","37","0.497237009007613","0.381746787017773","0.612727230997453"
"A little too big","1989","Not Employed","in school","","","",""
"A little too big","1989","Not Employed","inadequately","1","","",""
"A little too big","1989","Not Employed","general elemantary","4","","",""
"A little too big","1989","Not Employed","middle vocational","2","","",""
"A little too big","1989","Not Employed","vocational + Abi","1","","",""
"A little too big","1989","Not Employed","higher vocational","1","","",""
"A little too big","1989","Not Employed","higher education","1","","",""
"A little too big","1989","Employed","in school","","","",""
"A little too big","1989","Employed","inadequately","2","","",""
"A little too big","1989","Employed","general elemantary","6","","",""
"A little too big","1989","Employed","middle vocational","22","","",""
"A little too big","1989","Employed","vocational + Abi","5","","",""
"A little too big","1989","Employed","higher vocational","4","","",""
"A little too big","1989","Employed","higher education","11","","",""
"Much too big","1989","Not Employed","in school","","","",""
"Much too big","1989","Not Employed","inadequately","","","",""
"Much too big","1989","Not Employed","general elemantary","1","","",""
"Much too big","1989","Not Employed","middle vocational","","","",""
"Much too big","1989","Not Employed","vocational + Abi","","","",""
"Much too big","1989","Not Employed","higher vocational","","","",""
"Much too big","1989","Not Employed","higher education","","","",""
"Much too big","1989","Employed","in school","","","",""
"Much too big","1989","Employed","inadequately","","","",""
"Much too big","1989","Employed","general elemantary","1","","",""
"Much too big","1989","Employed","middle vocational","2","","",""
"Much too big","1989","Employed","vocational + Abi","1","","",""
"Much too big","1989","Employed","higher vocational","","","",""
"Much too big","1989","Employed","higher education","","","",""
"Much too small","1990","Not Employed","in school","1","","",""
"Much too small","1990","Not Employed","inadequately","1","","",""
"Much too small","1990","Not Employed","general elemantary","6","","",""
"Much too small","1990","Not Employed","middle vocational","3","","",""
"Much too small","1990","Not Employed","vocational + Abi","","","",""
"Much too small","1990","Not Employed","higher vocational","","","",""
"Much too small","1990","Not Employed","higher education","1","","",""
"Much too small","1990","Employed","in school","","","",""
"Much too small","1990","Employed","inadequately","6","","",""
"Much too small","1990","Employed","general elemantary","11","","",""
"Much too small","1990","Employed","middle vocational","17","","",""
"Much too small","1990","Employed","vocational + Abi","4","","",""
"Much too small","1990","Employed","higher vocational","3","","",""
"Much too small","1990","Employed","higher education","2","","",""
"A little too small","1990","Not Employed","in school","","","",""
"A little too small","1990","Not Employed","inadequately","3","","",""
"A little too small","1990","Not Employed","general elemantary","5","","",""
"A little too small","1990","Not Employed","middle vocational","16","","",""
"A little too small","1990","Not Employed","vocational + Abi","2","","",""
"A little too small","1990","Not Employed","higher vocational","","","",""
"A little too small","1990","Not Employed","higher education","4","","",""
"A little too small","1990","Employed","in school","","","",""
"A little too small","1990","Employed","inadequately","4","","",""
"A little too small","1990","Employed","general elemantary","21","","",""
"A little too small","1990","Employed","middle vocational","40","0.14004776037351","0.102718077616441","0.17737744313058"
"A little too small","1990","Employed","vocational + Abi","6","","",""
"A little too small","1990","Employed","higher vocational","8","","",""
"A little too small","1990","Employed","higher education","13","","",""
"Just right","1990","Not Employed","in school","4","","",""
"Just right","1990","Not Employed","inadequately","14","","",""
"Just right","1990","Not Employed","general elemantary","43","0.785559299027426","0.677089248530757","0.894029349524095"
"Just right","1990","Not Employed","middle vocational","52","0.690039693689213","0.587405785371126","0.7926736020073"
"Just right","1990","Not Employed","vocational + Abi","10","","",""
"Just right","1990","Not Employed","higher vocational","5","","",""
"Just right","1990","Not Employed","higher education","9","","",""
"Just right","1990","Employed","in school","2","","",""
"Just right","1990","Employed","inadequately","35","0.662446115949913","0.524284097943856","0.800608133955971"
"Just right","1990","Employed","general elemantary","95","0.719630584294401","0.643003685390004","0.796257483198797"
"Just right","1990","Employed","middle vocational","257","0.733625658309746","0.686074346766465","0.781176969853028"
"Just right","1990","Employed","vocational + Abi","22","","",""
