"hlf0071_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"2","1985","middle vocational","West Germany","752","0.123780781539293","0.114811490157645","0.13275007292094"
"2","1985","middle vocational","East Germany","","","",""
"2","1985","vocational + Abi","West Germany","53","0.14621549380571","0.104456254736426","0.187974732874994"
"2","1985","vocational + Abi","East Germany","","","",""
"2","1985","higher vocational","West Germany","90","0.129265767287112","0.102836365078071","0.155695169496153"
"2","1985","higher vocational","East Germany","","","",""
"2","1985","higher education","West Germany","118","0.135578214563745","0.111126551096051","0.160029878031438"
"2","1985","higher education","East Germany","","","",""
"3","1985","in school","West Germany","149","0.823282872765011","0.768467107608024","0.878098637921998"
"3","1985","in school","East Germany","","","",""
"3","1985","inadequately","West Germany","586","0.708380912790567","0.677644735934563","0.739117089646571"
"3","1985","inadequately","East Germany","","","",""
"3","1985","general elemantary","West Germany","2327","0.79575223354971","0.781456380514171","0.810048086585249"
"3","1985","general elemantary","East Germany","","","",""
"3","1985","middle vocational","West Germany","3913","0.775280664294547","0.76391290594367","0.786648422645423"
"3","1985","middle vocational","East Germany","","","",""
"3","1985","vocational + Abi","West Germany","189","0.719892115210325","0.66681856744428","0.772965662976371"
"3","1985","vocational + Abi","East Germany","","","",""
"3","1985","higher vocational","West Germany","459","0.754880940482087","0.720994142197625","0.788767738766549"
"3","1985","higher vocational","East Germany","","","",""
"3","1985","higher education","West Germany","544","0.733572286100615","0.701995948269533","0.765148623931697"
"3","1985","higher education","East Germany","","","",""
"4","1985","in school","West Germany","6","","",""
"4","1985","in school","East Germany","","","",""
"4","1985","inadequately","West Germany","15","","",""
"4","1985","inadequately","East Germany","","","",""
"4","1985","general elemantary","West Germany","154","0.0667647065722899","0.0579133154135563","0.0756160977310236"
"4","1985","general elemantary","East Germany","","","",""
"4","1985","middle vocational","West Germany","338","0.0740102700392874","0.0668805214667454","0.0811400186118294"
"4","1985","middle vocational","East Germany","","","",""
"4","1985","vocational + Abi","West Germany","11","","",""
"4","1985","vocational + Abi","East Germany","","","",""
"4","1985","higher vocational","West Germany","49","0.0825656661802458","0.0608841321913286","0.104247200169163"
"4","1985","higher vocational","East Germany","","","",""
"4","1985","higher education","West Germany","57","0.087369990624141","0.0672012342450081","0.107538747003274"
"4","1985","higher education","East Germany","","","",""
"5","1985","in school","West Germany","2","","",""
"5","1985","in school","East Germany","","","",""
"5","1985","inadequately","West Germany","4","","",""
"5","1985","inadequately","East Germany","","","",""
"5","1985","general elemantary","West Germany","32","0.0147891481243535","0.0105088042918357","0.0190694919568713"
"5","1985","general elemantary","East Germany","","","",""
"5","1985","middle vocational","West Germany","28","","",""
"5","1985","middle vocational","East Germany","","","",""
"5","1985","vocational + Abi","West Germany","1","","",""
"5","1985","vocational + Abi","East Germany","","","",""
"5","1985","higher vocational","West Germany","7","","",""
"5","1985","higher vocational","East Germany","","","",""
"5","1985","higher education","West Germany","7","","",""
"5","1985","higher education","East Germany","","","",""
"1","1986","in school","West Germany","","","",""
"1","1986","in school","East Germany","","","",""
"1","1986","inadequately","West Germany","7","","",""
"1","1986","inadequately","East Germany","","","",""
"1","1986","general elemantary","West Germany","20","","",""
"1","1986","general elemantary","East Germany","","","",""
"1","1986","middle vocational","West Germany","13","","",""
"1","1986","middle vocational","East Germany","","","",""
"1","1986","vocational + Abi","West Germany","2","","",""
"1","1986","vocational + Abi","East Germany","","","",""
"1","1986","higher vocational","West Germany","2","","",""
"1","1986","higher vocational","East Germany","","","",""
"1","1986","higher education","West Germany","4","","",""
"1","1986","higher education","East Germany","","","",""
"2","1986","in school","West Germany","1","","",""
"2","1986","in school","East Germany","","","",""
"2","1986","inadequately","West Germany","14","","",""
"2","1986","inadequately","East Germany","","","",""
"2","1986","general elemantary","West Germany","45","0.13065495176885","0.0936130257197395","0.16769687781796"
"2","1986","general elemantary","East Germany","","","",""
"2","1986","middle vocational","West Germany","84","0.132645598291913","0.105368411143016","0.15992278544081"
"2","1986","middle vocational","East Germany","","","",""
"2","1986","vocational + Abi","West Germany","2","","",""
"2","1986","vocational + Abi","East Germany","","","",""
"2","1986","higher vocational","West Germany","6","","",""
"2","1986","higher vocational","East Germany","","","",""
"2","1986","higher education","West Germany","28","","",""
"2","1986","higher education","East Germany","","","",""
"3","1986","in school","West Germany","8","","",""
"3","1986","in school","East Germany","","","",""
"3","1986","inadequately","West Germany","77","0.816550765845094","0.741069886521596","0.892031645168591"
"3","1986","inadequately","East Germany","","","",""
"3","1986","general elemantary","West Germany","242","0.767672272122645","0.72125570894871","0.81408883529658"
"3","1986","general elemantary","East Germany","","","",""
"3","1986","middle vocational","West Germany","454","0.766875777505795","0.73287325951439","0.8008782954972"
"3","1986","middle vocational","East Germany","","","",""
"3","1986","vocational + Abi","West Germany","27","","",""
"3","1986","vocational + Abi","East Germany","","","",""
"3","1986","higher vocational","West Germany","53","0.780668711228664","0.680839002215804","0.880498420241524"
"3","1986","higher vocational","East Germany","","","",""
"3","1986","higher education","West Germany","71","0.578374165070138","0.487725019434414","0.669023310705863"
"3","1986","higher education","East Germany","","","",""
"4","1986","in school","West Germany","1","","",""
"4","1986","in school","East Germany","","","",""
"4","1986","inadequately","West Germany","3","","",""
"4","1986","inadequately","East Germany","","","",""
"4","1986","general elemantary","West Germany","10","","",""
"4","1986","general elemantary","East Germany","","","",""
"4","1986","middle vocational","West Germany","41","0.0729960805016878","0.0520768635270114","0.0939152974763642"
"4","1986","middle vocational","East Germany","","","",""
"4","1986","vocational + Abi","West Germany","3","","",""
"4","1986","vocational + Abi","East Germany","","","",""
"4","1986","higher vocational","West Germany","5","","",""
"4","1986","higher vocational","East Germany","","","",""
"4","1986","higher education","West Germany","11","","",""
"4","1986","higher education","East Germany","","","",""
"5","1986","in school","West Germany","","","",""
"5","1986","in school","East Germany","","","",""
"5","1986","inadequately","West Germany","","","",""
"5","1986","inadequately","East Germany","","","",""
"5","1986","general elemantary","West Germany","1","","",""
"5","1986","general elemantary","East Germany","","","",""
"5","1986","middle vocational","West Germany","2","","",""
"5","1986","middle vocational","East Germany","","","",""
"5","1986","vocational + Abi","West Germany","","","",""
"5","1986","vocational + Abi","East Germany","","","",""
"5","1986","higher vocational","West Germany","","","",""
"5","1986","higher vocational","East Germany","","","",""
"5","1986","higher education","West Germany","","","",""
"5","1986","higher education","East Germany","","","",""
"1","1987","in school","West Germany","","","",""
"1","1987","in school","East Germany","","","",""
"1","1987","inadequately","West Germany","12","","",""
"1","1987","inadequately","East Germany","","","",""
"1","1987","general elemantary","West Germany","13","","",""
"1","1987","general elemantary","East Germany","","","",""
"1","1987","middle vocational","West Germany","8","","",""
"1","1987","middle vocational","East Germany","","","",""
"1","1987","vocational + Abi","West Germany","3","","",""
"1","1987","vocational + Abi","East Germany","","","",""
"1","1987","higher vocational","West Germany","1","","",""
"1","1987","higher vocational","East Germany","","","",""
"1","1987","higher education","West Germany","4","","",""
"1","1987","higher education","East Germany","","","",""
"2","1987","in school","West Germany","1","","",""
"2","1987","in school","East Germany","","","",""
"2","1987","inadequately","West Germany","15","","",""
"2","1987","inadequately","East Germany","","","",""
"2","1987","general elemantary","West Germany","45","0.13898514811025","0.0950361346250747","0.182934161595425"
"2","1987","general elemantary","East Germany","","","",""
"2","1987","middle vocational","West Germany","69","0.119290379754605","0.0906204634135646","0.147960296095644"
"2","1987","middle vocational","East Germany","","","",""
"2","1987","vocational + Abi","West Germany","9","","",""
"2","1987","vocational + Abi","East Germany","","","",""
"2","1987","higher vocational","West Germany","4","","",""
"2","1987","higher vocational","East Germany","","","",""
"2","1987","higher education","West Germany","18","","",""
"2","1987","higher education","East Germany","","","",""
"3","1987","in school","West Germany","11","","",""
"3","1987","in school","East Germany","","","",""
"3","1987","inadequately","West Germany","77","0.696517706291473","0.609807748911737","0.78322766367121"
"3","1987","inadequately","East Germany","","","",""
"3","1987","general elemantary","West Germany","168","0.748126998968028","0.692977942708631","0.803276055227426"
"3","1987","general elemantary","East Germany","","","",""
"3","1987","middle vocational","West Germany","385","0.794918320065971","0.759204851555274","0.830631788576669"
"3","1987","middle vocational","East Germany","","","",""
"3","1987","vocational + Abi","West Germany","28","","",""
"3","1987","vocational + Abi","East Germany","","","",""
"3","1987","higher vocational","West Germany","44","0.822432824619133","0.721438188887571","0.923427460350695"
"3","1987","higher vocational","East Germany","","","",""
"3","1987","higher education","West Germany","68","0.718637719886296","0.63006123623497","0.807214203537622"
"3","1987","higher education","East Germany","","","",""
"4","1987","in school","West Germany","","","",""
"4","1987","in school","East Germany","","","",""
"4","1987","inadequately","West Germany","4","","",""
"4","1987","inadequately","East Germany","","","",""
"4","1987","general elemantary","West Germany","10","","",""
"4","1987","general elemantary","East Germany","","","",""
"4","1987","middle vocational","West Germany","27","","",""
"4","1987","middle vocational","East Germany","","","",""
"4","1987","vocational + Abi","West Germany","1","","",""
"4","1987","vocational + Abi","East Germany","","","",""
"4","1987","higher vocational","West Germany","6","","",""
"4","1987","higher vocational","East Germany","","","",""
"4","1987","higher education","West Germany","8","","",""
"4","1987","higher education","East Germany","","","",""
"5","1987","in school","West Germany","1","","",""
"5","1987","in school","East Germany","","","",""
"5","1987","inadequately","West Germany","","","",""
"5","1987","inadequately","East Germany","","","",""
"5","1987","general elemantary","West Germany","2","","",""
"5","1987","general elemantary","East Germany","","","",""
"5","1987","middle vocational","West Germany","2","","",""
"5","1987","middle vocational","East Germany","","","",""
"5","1987","vocational + Abi","West Germany","1","","",""
"5","1987","vocational + Abi","East Germany","","","",""
"5","1987","higher vocational","West Germany","","","",""
"5","1987","higher vocational","East Germany","","","",""
"5","1987","higher education","West Germany","1","","",""
"5","1987","higher education","East Germany","","","",""
"1","1988","in school","West Germany","","","",""
"1","1988","in school","East Germany","","","",""
"1","1988","inadequately","West Germany","6","","",""
"1","1988","inadequately","East Germany","","","",""
"1","1988","general elemantary","West Germany","14","","",""
"1","1988","general elemantary","East Germany","","","",""
"1","1988","middle vocational","West Germany","12","","",""
"1","1988","middle vocational","East Germany","","","",""
"1","1988","vocational + Abi","West Germany","2","","",""
"1","1988","vocational + Abi","East Germany","","","",""
"1","1988","higher vocational","West Germany","1","","",""
"1","1988","higher vocational","East Germany","","","",""
"1","1988","higher education","West Germany","1","","",""
"1","1988","higher education","East Germany","","","",""
"2","1988","in school","West Germany","3","","",""
"2","1988","in school","East Germany","","","",""
"2","1988","inadequately","West Germany","20","","",""
"2","1988","inadequately","East Germany","","","",""
"2","1988","general elemantary","West Germany","42","0.179564861646478","0.132910288439628","0.226219434853329"
"2","1988","general elemantary","East Germany","","","",""
"2","1988","middle vocational","West Germany","67","0.143350718924573","0.111567994978538","0.175133442870608"
"2","1988","middle vocational","East Germany","","","",""
"2","1988","vocational + Abi","West Germany","8","","",""
"2","1988","vocational + Abi","East Germany","","","",""
"2","1988","higher vocational","West Germany","11","","",""
"2","1988","higher vocational","East Germany","","","",""
"2","1988","higher education","West Germany","16","","",""
"2","1988","higher education","East Germany","","","",""
"3","1988","in school","West Germany","7","","",""
"3","1988","in school","East Germany","","","",""
"3","1988","inadequately","West Germany","58","0.696546304160928","0.598809116133062","0.794283492188794"
"3","1988","inadequately","East Germany","","","",""
"3","1988","general elemantary","West Germany","190","0.747936569223816","0.6951590803928","0.800714058054831"
"3","1988","general elemantary","East Germany","","","",""
"3","1988","middle vocational","West Germany","359","0.76311250788269","0.724550911751286","0.801674104014095"
"3","1988","middle vocational","East Germany","","","",""
"3","1988","vocational + Abi","West Germany","22","","",""
"3","1988","vocational + Abi","East Germany","","","",""
"3","1988","higher vocational","West Germany","49","0.756153015535755","0.65011994081539","0.862186090256119"
"3","1988","higher vocational","East Germany","","","",""
"3","1988","higher education","West Germany","53","0.625781123880113","0.519739304098251","0.731822943661975"
"3","1988","higher education","East Germany","","","",""
"4","1988","in school","West Germany","1","","",""
"4","1988","in school","East Germany","","","",""
"4","1988","inadequately","West Germany","1","","",""
"4","1988","inadequately","East Germany","","","",""
"4","1988","general elemantary","West Germany","13","","",""
"4","1988","general elemantary","East Germany","","","",""
"4","1988","middle vocational","West Germany","27","","",""
"4","1988","middle vocational","East Germany","","","",""
"4","1988","vocational + Abi","West Germany","1","","",""
"4","1988","vocational + Abi","East Germany","","","",""
"4","1988","higher vocational","West Germany","2","","",""
"4","1988","higher vocational","East Germany","","","",""
"4","1988","higher education","West Germany","10","","",""
"4","1988","higher education","East Germany","","","",""
"5","1988","in school","West Germany","","","",""
"5","1988","in school","East Germany","","","",""
"5","1988","inadequately","West Germany","","","",""
"5","1988","inadequately","East Germany","","","",""
"5","1988","general elemantary","West Germany","1","","",""
"5","1988","general elemantary","East Germany","","","",""
"5","1988","middle vocational","West Germany","2","","",""
"5","1988","middle vocational","East Germany","","","",""
"5","1988","vocational + Abi","West Germany","","","",""
"5","1988","vocational + Abi","East Germany","","","",""
"5","1988","higher vocational","West Germany","","","",""
"5","1988","higher vocational","East Germany","","","",""
"5","1988","higher education","West Germany","","","",""
"5","1988","higher education","East Germany","","","",""
"1","1989","in school","West Germany","","","",""
"1","1989","in school","East Germany","","","",""
"1","1989","inadequately","West Germany","7","","",""
"1","1989","inadequately","East Germany","","","",""
"1","1989","general elemantary","West Germany","7","","",""
"1","1989","general elemantary","East Germany","","","",""
"1","1989","middle vocational","West Germany","17","","",""
"1","1989","middle vocational","East Germany","","","",""
"1","1989","vocational + Abi","West Germany","2","","",""
"1","1989","vocational + Abi","East Germany","","","",""
"1","1989","higher vocational","West Germany","","","",""
"1","1989","higher vocational","East Germany","","","",""
"1","1989","higher education","West Germany","6","","",""
"1","1989","higher education","East Germany","","","",""
"2","1989","in school","West Germany","2","","",""
"2","1989","in school","East Germany","","","",""
"2","1989","inadequately","West Germany","21","","",""
"2","1989","inadequately","East Germany","","","",""
"2","1989","general elemantary","West Germany","42","0.113192014849298","0.071608772218934","0.154775257479663"
"2","1989","general elemantary","East Germany","","","",""
"2","1989","middle vocational","West Germany","63","0.130168356514469","0.0997152233326864","0.160621489696252"
"2","1989","middle vocational","East Germany","","","",""
"2","1989","vocational + Abi","West Germany","8","","",""
"2","1989","vocational + Abi","East Germany","","","",""
"2","1989","higher vocational","West Germany","5","","",""
"2","1989","higher vocational","East Germany","","","",""
"2","1989","higher education","West Germany","20","","",""
"2","1989","higher education","East Germany","","","",""
"3","1989","in school","West Germany","10","","",""
"3","1989","in school","East Germany","","","",""
"3","1989","inadequately","West Germany","30","0.541246637434689","0.416200463109133","0.666292811760245"
"3","1989","inadequately","East Germany","","","",""
"3","1989","general elemantary","West Germany","162","0.76082993874245","0.704842208198229","0.816817669286671"
"3","1989","general elemantary","East Germany","","","",""
"3","1989","middle vocational","West Germany","363","0.78135741397129","0.743950324705129","0.818764503237452"
"3","1989","middle vocational","East Germany","","","",""
"3","1989","vocational + Abi","West Germany","27","","",""
"3","1989","vocational + Abi","East Germany","","","",""
"3","1989","higher vocational","West Germany","39","0.840113162980401","0.737494748267006","0.942731577693796"
"3","1989","higher vocational","East Germany","","","",""
"3","1989","higher education","West Germany","47","0.577673041241364","0.472669467362049","0.682676615120678"
"3","1989","higher education","East Germany","","","",""
"4","1989","in school","West Germany","","","",""
"4","1989","in school","East Germany","","","",""
"4","1989","inadequately","West Germany","3","","",""
"4","1989","inadequately","East Germany","","","",""
"4","1989","general elemantary","West Germany","10","","",""
"4","1989","general elemantary","East Germany","","","",""
"4","1989","middle vocational","West Germany","24","","",""
"4","1989","middle vocational","East Germany","","","",""
"4","1989","vocational + Abi","West Germany","6","","",""
"4","1989","vocational + Abi","East Germany","","","",""
"4","1989","higher vocational","West Germany","5","","",""
"4","1989","higher vocational","East Germany","","","",""
"4","1989","higher education","West Germany","12","","",""
"4","1989","higher education","East Germany","","","",""
"5","1989","in school","West Germany","","","",""
"5","1989","in school","East Germany","","","",""
"5","1989","inadequately","West Germany","","","",""
"5","1989","inadequately","East Germany","","","",""
"5","1989","general elemantary","West Germany","2","","",""
"5","1989","general elemantary","East Germany","","","",""
"5","1989","middle vocational","West Germany","2","","",""
"5","1989","middle vocational","East Germany","","","",""
"5","1989","vocational + Abi","West Germany","1","","",""
"5","1989","vocational + Abi","East Germany","","","",""
"5","1989","higher vocational","West Germany","","","",""
"5","1989","higher vocational","East Germany","","","",""
"5","1989","higher education","West Germany","","","",""
"5","1989","higher education","East Germany","","","",""
"1","1990","in school","West Germany","1","","",""
"1","1990","in school","East Germany","2","","",""
"1","1990","inadequately","West Germany","7","","",""
"1","1990","inadequately","East Germany","","","",""
"1","1990","general elemantary","West Germany","17","","",""
"1","1990","general elemantary","East Germany","35","0.0601463724554377","0.0396913838099327","0.0806013611009427"
"1","1990","middle vocational","West Germany","20","","",""
"1","1990","middle vocational","East Germany","232","0.0873902694403688","0.0763968399344609","0.0983836989462767"
"1","1990","vocational + Abi","West Germany","4","","",""
"1","1990","vocational + Abi","East Germany","6","","",""
"1","1990","higher vocational","West Germany","3","","",""
"1","1990","higher vocational","East Germany","10","","",""
"1","1990","higher education","West Germany","3","","",""
"1","1990","higher education","East Germany","58","0.0560399298932542","0.0417345607070592","0.0703452990794492"
"2","1990","in school","West Germany","","","",""
"2","1990","in school","East Germany","9","","",""
"2","1990","inadequately","West Germany","7","","",""
"2","1990","inadequately","East Germany","1","","",""
"2","1990","general elemantary","West Germany","26","","",""
"2","1990","general elemantary","East Germany","89","0.149495255191729","0.118818000857392","0.180172509526066"
"2","1990","middle vocational","West Germany","56","0.158417146311658","0.123073960427114","0.193760332196201"
"2","1990","middle vocational","East Germany","625","0.232942114107899","0.216487140688457","0.249397087527341"
"2","1990","vocational + Abi","West Germany","8","","",""
"2","1990","vocational + Abi","East Germany","26","","",""
"2","1990","higher vocational","West Germany","8","","",""
"2","1990","higher vocational","East Germany","55","0.174559374614148","0.128241060196086","0.22087768903221"
"2","1990","higher education","West Germany","17","","",""
"2","1990","higher education","East Germany","297","0.28211270609293","0.254122059976639","0.310103352209221"
"3","1990","in school","West Germany","6","","",""
"3","1990","in school","East Germany","20","","",""
"3","1990","inadequately","West Germany","49","0.676061068054036","0.560502446457614","0.791619689650459"
"3","1990","inadequately","East Germany","8","","",""
"3","1990","general elemantary","West Germany","138","0.744765153633754","0.682275668640621","0.807254638626887"
"3","1990","general elemantary","East Germany","357","0.706247249115862","0.667060993431527","0.745433504800197"
"3","1990","middle vocational","West Germany","309","0.724478202752203","0.681232116939167","0.767724288565239"
"3","1990","middle vocational","East Germany","1578","0.637527904286782","0.618814793111067","0.656241015462496"
"3","1990","vocational + Abi","West Germany","32","0.682493279276296","0.544947457118221","0.820039101434372"
"3","1990","vocational + Abi","East Germany","46","0.618894480020417","0.51247184159834","0.725317118442495"
"3","1990","higher vocational","West Germany","41","0.800932783971705","0.694432904108947","0.907432663834462"
"3","1990","higher vocational","East Germany","180","0.73486369338746","0.681002467381158","0.788724919393762"
"3","1990","higher education","West Germany","68","0.664925361397388","0.571945751090528","0.757904971704248"
"3","1990","higher education","East Germany","598","0.614521553031324","0.584249485970748","0.6447936200919"
"4","1990","in school","West Germany","1","","",""
"4","1990","in school","East Germany","1","","",""
"4","1990","inadequately","West Germany","","","",""
"4","1990","inadequately","East Germany","2","","",""
"4","1990","general elemantary","West Germany","3","","",""
"4","1990","general elemantary","East Germany","33","0.0758209197864257","0.0530470410855232","0.0985947984873283"
"4","1990","middle vocational","West Germany","24","","",""
"4","1990","middle vocational","East Germany","81","0.0343028991355191","0.0272178154196235","0.0413879828514148"
"4","1990","vocational + Abi","West Germany","","","",""
"4","1990","vocational + Abi","East Germany","2","","",""
"4","1990","higher vocational","West Germany","2","","",""
"4","1990","higher vocational","East Germany","9","","",""
"4","1990","higher education","West Germany","10","","",""
"4","1990","higher education","East Germany","37","0.0446255752861329","0.031782998051733","0.0574681525205327"
"5","1990","in school","West Germany","","","",""
"5","1990","in school","East Germany","","","",""
"5","1990","inadequately","West Germany","","","",""
"5","1990","inadequately","East Germany","","","",""
"5","1990","general elemantary","West Germany","3","","",""
"5","1990","general elemantary","East Germany","5","","",""
"5","1990","middle vocational","West Germany","1","","",""
"5","1990","middle vocational","East Germany","19","","",""
"5","1990","vocational + Abi","West Germany","","","",""
"5","1990","vocational + Abi","East Germany","","","",""
"5","1990","higher vocational","West Germany","","","",""
"5","1990","higher vocational","East Germany","4","","",""
"5","1990","higher education","West Germany","1","","",""
"5","1990","higher education","East Germany","3","","",""
"1","1991","in school","West Germany","6","","",""
"1","1991","in school","East Germany","","","",""
"1","1991","inadequately","West Germany","61","0.0726817689482579","0.0520797246369041","0.0932838132596117"
"1","1991","inadequately","East Germany","3","","",""
"1","1991","general elemantary","West Germany","116","0.0226281003847728","0.0166319819443932","0.0286242188251523"
"1","1991","general elemantary","East Germany","16","","",""
"1","1991","middle vocational","West Germany","140","0.0229918444967706","0.0186020716518826","0.0273816173416585"
"1","1991","middle vocational","East Germany","110","0.0424951541756126","0.0343413181903228","0.0506489901609024"
"1","1991","vocational + Abi","West Germany","15","","",""
"1","1991","vocational + Abi","East Germany","6","","",""
"1","1991","higher vocational","West Germany","8","","",""
"1","1991","higher vocational","East Germany","6","","",""
"1","1991","higher education","West Germany","23","","",""
"1","1991","higher education","East Germany","55","0.0534601838749153","0.0391482061207293","0.0677721616291012"
"2","1991","in school","West Germany","32","0.184220661553665","0.121552790200889","0.24688853290644"
"2","1991","in school","East Germany","2","","",""
"2","1991","inadequately","West Germany","154","0.269460684263849","0.234251766638835","0.304669601888863"
"2","1991","inadequately","East Germany","7","","",""
"2","1991","general elemantary","West Germany","387","0.127130545245473","0.113699313795347","0.1405617766956"
"2","1991","general elemantary","East Germany","84","0.132446854485898","0.101368439629359","0.163525269342437"
"2","1991","middle vocational","West Germany","779","0.149248838012542","0.138812147596538","0.159685528428547"
"2","1991","middle vocational","East Germany","502","0.203875326110503","0.187590067753023","0.220160584467983"
"2","1991","vocational + Abi","West Germany","74","0.236658962369861","0.188563041195639","0.284754883544084"
"2","1991","vocational + Abi","East Germany","22","","",""
"2","1991","higher vocational","West Germany","94","0.154921571067617","0.123301084177219","0.186542057958016"
"2","1991","higher vocational","East Germany","46","0.154017758177058","0.108254686963905","0.199780829390212"
"2","1991","higher education","West Germany","141","0.192684743597937","0.163591577590688","0.221777909605186"
"2","1991","higher education","East Germany","224","0.213566916561289","0.187492604374221","0.239641228748356"
"3","1991","in school","West Germany","104","0.745783405450107","0.675395550602597","0.816171260297618"
"3","1991","in school","East Germany","10","","",""
"3","1991","inadequately","West Germany","385","0.624626615687156","0.586200617813972","0.66305261356034"
