"hlf0071_h","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Much too small","1991","West Germany","380","0.0248988617671739","0.0217259105388773","0.0280718129954706"
"Much too small","1991","East Germany","198","0.0424693366337708","0.0363221423575559","0.0486165309099857"
"A little too small","1991","West Germany","1696","0.155484524826889","0.148105546933163","0.162863502720614"
"A little too small","1991","East Germany","888","0.194665510822044","0.182595837628411","0.206735184015678"
"Just right","1991","West Germany","6591","0.736801151092266","0.727833763148401","0.745768539036131"
"Just right","1991","East Germany","2829","0.702936899109117","0.689007083086034","0.7168667151322"
"A little too big","1991","West Germany","551","0.0762276510187","0.0708239966136466","0.0816313054237533"
"A little too big","1991","East Germany","193","0.0518290113441321","0.0450714087377545","0.0585866139505098"
"Much too big","1991","West Germany","46","0.00658781129497147","0.00494046791410471","0.00823515467583824"
"Much too big","1991","East Germany","26","","",""
"Much too small","1992","West Germany","448","0.0291273408066211","0.0256910830629298","0.0325635985503125"
"Much too small","1992","East Germany","152","0.0316137990633544","0.026173140788307","0.0370544573384017"
"A little too small","1992","West Germany","1701","0.154472610805302","0.147087725394322","0.161857496216283"
"A little too small","1992","East Germany","863","0.191953284029262","0.179706986218401","0.204199581840124"
"Just right","1992","West Germany","6484","0.735522169235737","0.726509639760864","0.744534698710609"
"Just right","1992","East Germany","2661","0.695311709408071","0.680999507241303","0.709623911574838"
"A little too big","1992","West Germany","527","0.0747055696004274","0.0693331411280523","0.0800779980728025"
"A little too big","1992","East Germany","280","0.0765159854806756","0.0682502864524973","0.0847816845088539"
"Much too big","1992","West Germany","40","0.00617230955191268","0.0045718910142978","0.00777272808952757"
"Much too big","1992","East Germany","17","","",""
"Much too small","1993","West Germany","439","0.0274639571617301","0.0241182141937743","0.030809700129686"
"Much too small","1993","East Germany","112","0.0284241811227229","0.0231369958336698","0.0337113664117759"
"A little too small","1993","West Germany","1693","0.161630454327784","0.154094513003015","0.169166395652553"
"A little too small","1993","East Germany","811","0.189117633463841","0.176658519986059","0.201576746941622"
"Just right","1993","West Germany","6407","0.72792156384194","0.71881095253389","0.73703217514999"
"Just right","1993","East Germany","2593","0.70019568478507","0.685618594097303","0.714772775472837"
"A little too big","1993","West Germany","590","0.0779651046573128","0.0724762468969885","0.083453962417637"
"A little too big","1993","East Germany","257","0.0745971366736221","0.0662378600065641","0.0829564133406802"
"Much too big","1993","West Germany","37","0.00501892001123335","0.00357224588917589","0.00646559413329081"
"Much too big","1993","East Germany","22","","",""
"Much too small","1994","West Germany","379","0.0251742854260668","0.0219237189959995","0.028424851856134"
"Much too small","1994","East Germany","139","0.0326675541611393","0.0269734375311355","0.0383616707911432"
"A little too small","1994","West Germany","1550","0.153042769089056","0.145572192385992","0.16051334579212"
"A little too small","1994","East Germany","769","0.187964250798222","0.175449985012739","0.200478516583705"
"Just right","1994","West Germany","6343","0.728860751173335","0.719636407865527","0.738085094481143"
"Just right","1994","East Germany","2544","0.694364508234193","0.679608264479561","0.709120751988826"
"A little too big","1994","West Germany","606","0.0866793237459346","0.0808410240663057","0.0925176234255635"
"A little too big","1994","East Germany","256","0.0755387719692649","0.0670741126828762","0.0840034312556536"
"Much too big","1994","West Germany","44","0.00624287056560785","0.00460850472886491","0.00787723640235079"
"Much too big","1994","East Germany","36","0.00946491483718007","0.00636340289426927","0.0125664267800909"
"Much too small","1995","West Germany","368","0.0258359527412865","0.0226442650134728","0.0290276404691002"
"Much too small","1995","East Germany","120","0.0259663002628551","0.02083709043133","0.0310955100943802"
"A little too small","1995","West Germany","1682","0.152356006964206","0.145126167740694","0.159585846187718"
"A little too small","1995","East Germany","709","0.182130835456865","0.169683050001507","0.194578620912223"
"Just right","1995","West Germany","6713","0.7216231961273","0.712606158771058","0.730640233483541"
"Just right","1995","East Germany","2557","0.701762222766935","0.68700737418787","0.716517071345999"
"A little too big","1995","West Germany","676","0.0920731127528477","0.0862563151062639","0.0978899103994314"
"A little too big","1995","East Germany","286","0.0839984631099804","0.0750521888407823","0.0929447373791784"
"Much too big","1995","West Germany","52","0.00811173141436017","0.00630713428413284","0.0099163285445875"
"Much too big","1995","East Germany","21","","",""
"Much too small","1996","West Germany","314","0.0197942939529435","0.0169662115727206","0.0226223763331665"
"Much too small","1996","East Germany","115","0.0282188376369562","0.0228619850270654","0.0335756902468471"
"A little too small","1996","West Germany","1619","0.152118001336847","0.144826424646687","0.159409578027007"
"A little too small","1996","East Germany","713","0.183280747555885","0.170765175088795","0.195796320022975"
"Just right","1996","West Germany","6599","0.716653602362203","0.707504532854306","0.725802671870101"
"Just right","1996","East Germany","2573","0.706800418162768","0.692074378327634","0.721526457997902"
"A little too big","1996","West Germany","737","0.103982892567641","0.0977855923810673","0.110180192754214"
"A little too big","1996","East Germany","251","0.0769509147198454","0.0683295664314025","0.0855722630082884"
"Much too big","1996","West Germany","50","0.0074512097803656","0.00570517551376982","0.00919724404696137"
"Much too big","1996","East Germany","19","","",""
"Much too small","1997","West Germany","259","0.0179955391579754","0.0152760359975395","0.0207150423184112"
"Much too small","1997","East Germany","87","0.0226792538429603","0.017842763342086","0.0275157443438345"
"A little too small","1997","West Germany","1595","0.158661169634519","0.151186858048843","0.166135481220195"
"A little too small","1997","East Germany","656","0.175892819097356","0.163524425331999","0.188261212862714"
"Just right","1997","West Germany","6614","0.716800038246617","0.707582901915939","0.726017174577295"
"Just right","1997","East Germany","2623","0.71215034916969","0.697441926603165","0.726858771736215"
"A little too big","1997","West Germany","670","0.0998096565871046","0.0936776323653199","0.105941680808889"
"A little too big","1997","East Germany","257","0.0836814288927912","0.074685724262764","0.0926771335228185"
"Much too big","1997","West Germany","41","0.00673359637378412","0.0050605544675367","0.00840663828003154"
"Much too big","1997","East Germany","17","","",""
"Much too small","1998","West Germany","297","0.0261452806211259","0.0230442217985852","0.0292463394436667"
"Much too small","1998","East Germany","82","0.0191788437021095","0.014856023947803","0.023501663456416"
"A little too small","1998","West Germany","1653","0.147614910539228","0.140721259430598","0.154508561647858"
"A little too small","1998","East Germany","641","0.167310179323758","0.155545940969473","0.179074417678044"
"Just right","1998","West Germany","7297","0.717113574895987","0.708360386227851","0.725866763564122"
"Just right","1998","East Germany","2772","0.701617149459951","0.68719606128734","0.716038237632561"
"A little too big","1998","West Germany","837","0.0984924478624338","0.0927014632077924","0.104283432517075"
"A little too big","1998","East Germany","356","0.105233761722119","0.095562272617236","0.114905250827001"
"Much too big","1998","West Germany","87","0.0106337860812257","0.00864041221004555","0.0126271599524059"
"Much too big","1998","East Germany","16","","",""
"Much too small","1999","West Germany","243","0.0175708796005591","0.0149825371731791","0.0201592220279392"
"Much too small","1999","East Germany","56","0.0120767460586932","0.00860155431234266","0.0155519378050438"
"A little too small","1999","West Germany","1612","0.152475662654525","0.145393747487801","0.159557577821249"
"A little too small","1999","East Germany","610","0.157641237796163","0.146047441435885","0.169235034156442"
"Just right","1999","West Germany","7227","0.731669790663259","0.722940746050752","0.740398835275765"
"Just right","1999","East Germany","2830","0.745874127966872","0.732022544816292","0.759725711117452"
"A little too big","1999","West Germany","774","0.0921939922631101","0.0864946832692804","0.0978933012569399"
"A little too big","1999","East Germany","282","0.0787335597670483","0.0701648630766938","0.0873022564574029"
"Much too big","1999","West Germany","42","0.00608967481854698","0.00455701765774164","0.00762233197935232"
"Much too big","1999","East Germany","17","","",""
"Much too small","2000","West Germany","381","0.0186853247727521","0.0167218139946059","0.0206488355508983"
"Much too small","2000","East Germany","83","0.0177678841662032","0.0143854900888147","0.0211502782435916"
"A little too small","2000","West Germany","2605","0.141564242539806","0.136509378232673","0.146619106846938"
"A little too small","2000","East Germany","828","0.13919783860244","0.130335115042125","0.148060562162754"
"Just right","2000","West Germany","13593","0.740066594276059","0.733706767798682","0.746426420753436"
"Just right","2000","East Germany","4438","0.754165365523609","0.743140987181631","0.765189743865586"
"A little too big","2000","West Germany","1557","0.0905874518392808","0.0864255358427205","0.094749367835841"
"A little too big","2000","East Germany","487","0.0844276945967626","0.0773092014379578","0.0915461877555674"
"Much too big","2000","West Germany","134","0.00909638657210257","0.0077197193327126","0.0104730538114925"
"Much too big","2000","East Germany","24","","",""
"Much too small","2001","West Germany","354","0.0201386263230835","0.0179958099898593","0.0222814426563077"
"Much too small","2001","East Germany","70","0.0158943743266396","0.0125748724552096","0.0192138761980696"
"A little too small","2001","West Germany","2340","0.138491453506135","0.133222443916332","0.143760463095938"
"A little too small","2001","East Germany","715","0.125568629981962","0.116773671678123","0.134363588285801"
"Just right","2001","West Germany","12301","0.741354099484845","0.734674454918734","0.748033744050956"
"Just right","2001","East Germany","4221","0.768506679699831","0.757311697754142","0.77970166164552"
"A little too big","2001","West Germany","1390","0.0913547555052525","0.0869598406462568","0.0957496703642481"
"A little too big","2001","East Germany","419","0.0849163655114986","0.0775176481822099","0.0923150828407873"
"Much too big","2001","West Germany","124","0.00866106518068356","0.0072476021873755","0.0100745281739916"
"Much too big","2001","East Germany","28","","",""
"Much too small","2002","West Germany","384","0.023173141440871","0.0209541583451212","0.0253921245366208"
"Much too small","2002","East Germany","77","0.0196980315524828","0.0160090935894811","0.0233869695154846"
"A little too small","2002","West Germany","2596","0.148308324223534","0.143066569363331","0.153550079083737"
"A little too small","2002","East Germany","714","0.122790672344807","0.114078141889804","0.13150320279981"
"Just right","2002","West Germany","12643","0.709213064064406","0.702515319964193","0.715910808164619"
"Just right","2002","East Germany","4181","0.767684743647574","0.756473847730369","0.778895639564778"
"A little too big","2002","West Germany","1805","0.106214602093335","0.101670359770161","0.110758844416508"
"A little too big","2002","East Germany","444","0.0834171205724811","0.0760766573383345","0.0907575838066278"
"Much too big","2002","West Germany","232","0.0130908681778541","0.0114144762924282","0.01476726006328"
"Much too big","2002","East Germany","35","0.00640943188265533","0.00429095612652783","0.00852790763878282"
"Much too small","2003","West Germany","311","0.0185033483345482","0.0164706771430683","0.0205360195260281"
"Much too small","2003","East Germany","65","0.0137021940527801","0.0105908840664093","0.0168135040391508"
"A little too small","2003","West Germany","2478","0.153697084620726","0.148257154864202","0.159137014377249"
"A little too small","2003","East Germany","672","0.126871088575433","0.117963406460365","0.1357787706905"
"Just right","2003","West Germany","12135","0.709167904334711","0.702317861915482","0.71601794675394"
"Just right","2003","East Germany","4116","0.764173896222832","0.752812381656376","0.775535410789289"
"A little too big","2003","West Germany","1750","0.105551391924625","0.100916845496428","0.110185938352823"
"A little too big","2003","East Germany","486","0.0899860684974496","0.0823273544965832","0.097644782498316"
"Much too big","2003","West Germany","211","0.0130802707853899","0.0113665232572949","0.0147940183134849"
"Much too big","2003","East Germany","24","","",""
"Much too small","2004","West Germany","270","0.0174401979887623","0.0154369180114298","0.0194434779660948"
"Much too small","2004","East Germany","60","0.0133196051549074","0.0102177145040978","0.0164214958057169"
"A little too small","2004","West Germany","2258","0.138650016885168","0.133361471487624","0.143938562282712"
"A little too small","2004","East Germany","656","0.126432978247628","0.117440676778212","0.135425279717044"
"Just right","2004","West Germany","11942","0.724430605259869","0.717593058101773","0.731268152417966"
"Just right","2004","East Germany","4023","0.76981505602202","0.758425043116325","0.781205068927714"
"A little too big","2004","West Germany","1746","0.108557557944582","0.103796942132697","0.113318173756468"
"A little too big","2004","East Germany","478","0.0836796565140147","0.0761871665890784","0.091172146438951"
"Much too big","2004","West Germany","187","0.0109216219216184","0.00933107907888112","0.0125121647643556"
"Much too big","2004","East Germany","30","0.0067527040614303","0.00453675326402557","0.00896865485883504"
"Much too small","2005","West Germany","220","0.0156230106423164","0.0136847952141234","0.0175612260705094"
"Much too small","2005","East Germany","48","0.0119025345430298","0.00891445296169686","0.0148906161243627"
"A little too small","2005","West Germany","2168","0.14692972910737","0.14139640386952","0.152463054345221"
"A little too small","2005","East Germany","645","0.133721568705891","0.124343739590708","0.143099397821074"
"Just right","2005","West Germany","11533","0.723547968143121","0.716557882245239","0.730538054041002"
"Just right","2005","East Germany","3878","0.769284849081542","0.757676927117293","0.78089277104579"
"A little too big","2005","West Germany","1605","0.10139492559552","0.0966772127920673","0.106112638398972"
"A little too big","2005","East Germany","437","0.0751256388321545","0.0678627684788895","0.0823885091854196"
"Much too big","2005","West Germany","200","0.0125043665116727","0.0107676161633067","0.0142411168600387"
"Much too big","2005","East Germany","52","0.00996540883738317","0.00722859298130669","0.0127022246934596"
"Much too small","2006","West Germany","273","0.0206622143733886","0.0185216620598065","0.0228027666869707"
"Much too small","2006","East Germany","61","0.0124972166895428","0.00952819406971815","0.0154662393093675"
"A little too small","2006","West Germany","2245","0.146403903895236","0.141084368562567","0.151723439227905"
"A little too small","2006","East Germany","657","0.126372719330135","0.117492423143668","0.135253015516601"
"Just right","2006","West Germany","12235","0.708046420387105","0.701204800729766","0.714888040044444"
"Just right","2006","East Germany","4096","0.770762938925308","0.759528781120179","0.781997096730438"
"A little too big","2006","West Germany","1952","0.108804956372532","0.104119176529076","0.113490736215988"
"A little too big","2006","East Germany","517","0.0836535724794818","0.0762539462382178","0.0910531987207459"
"Much too big","2006","West Germany","260","0.0160825049717381","0.014189606382267","0.0179754035612092"
"Much too big","2006","East Germany","47","0.00671355257553226","0.00453106819525938","0.00889603695580515"
"Much too small","2007","West Germany","200","0.0165123837335563","0.0145270916790147","0.018497675788098"
"Much too small","2007","East Germany","49","0.0115409318221929","0.00861018942784173","0.0144716742165441"
"A little too small","2007","West Germany","2170","0.142190345566841","0.136749510136147","0.147631180997536"
"A little too small","2007","East Germany","624","0.128702676540711","0.119513960235654","0.137891392845769"
"Just right","2007","West Germany","11392","0.717691023784063","0.710678632019783","0.724703415548342"
"Just right","2007","East Germany","3916","0.768036459332341","0.756454590373239","0.779618328291443"
"A little too big","2007","West Germany","1857","0.111377557424866","0.106476468825205","0.116278646024527"
"A little too big","2007","East Germany","452","0.0797065770409903","0.0722748781943622","0.0871382758876183"
"Much too big","2007","West Germany","209","0.0122286894906736","0.0105164944568713","0.0139408845244758"
"Much too big","2007","East Germany","61","0.0120133552637645","0.00902394472611401","0.0150027658014151"
"Much too small","2008","West Germany","175","0.0147413893638021","0.0128008299922304","0.0166819487353739"
"Much too small","2008","East Germany","43","0.00987548203816176","0.0070844903241347","0.0126664737521888"
"A little too small","2008","West Germany","1910","0.140464753561557","0.134869778794137","0.146059728328976"
"A little too small","2008","East Germany","598","0.137359389271731","0.127643588216461","0.147075190327001"
"Just right","2008","West Germany","10684","0.708839428567406","0.701524285551695","0.716154571583117"
"Just right","2008","East Germany","3677","0.755355798140567","0.743222531681351","0.767489064599783"
"A little too big","2008","West Germany","1779","0.11688344549979","0.11171014004348","0.122056750956101"
"A little too big","2008","East Germany","458","0.0854648556661933","0.0775739206023055","0.0933557907300811"
"Much too big","2008","West Germany","268","0.0190709830074448","0.0168686249034693","0.0212733411114203"
"Much too big","2008","East Germany","46","0.011944474883347","0.0088782168834342","0.0150107328832599"
"Much too small","2009","West Germany","203","0.0169279980637458","0.014771390207191","0.0190846059203006"
"Much too small","2009","East Germany","52","0.0154554686016131","0.0118852908723276","0.0190256463308986"
"A little too small","2009","West Germany","1843","0.148168015987621","0.14222878900791","0.154107242967332"
"A little too small","2009","East Germany","573","0.143927576411516","0.13376840411813","0.154086748704901"
"Just right","2009","West Germany","9636","0.689746146983665","0.682012596011458","0.697479697955872"
"Just right","2009","East Germany","3440","0.733891152525567","0.721100975694613","0.74668132935652"
"A little too big","2009","West Germany","1807","0.126394857598631","0.1208396791757","0.131950036021561"
"A little too big","2009","East Germany","466","0.092252975468197","0.083877611792361","0.100628339144033"
"Much too big","2009","West Germany","256","0.0187629813663377","0.0164946128824152","0.0210313498502602"
"Much too big","2009","East Germany","55","0.0144728269931076","0.0110162832866081","0.017929370699607"
"Much too small","2010","West Germany","592","0.0142565977582033","0.012564996250163","0.0159481992662436"
"Much too small","2010","East Germany","155","0.0150158288435249","0.0118107734333478","0.018220884253702"
"A little too small","2010","West Germany","3418","0.146596095000735","0.141548939449031","0.151643250552439"
"A little too small","2010","East Germany","947","0.143887939837385","0.13463832248965","0.153137557185121"
"Just right","2010","West Germany","12631","0.697618386722033","0.691064561957003","0.704172211487062"
"Just right","2010","East Germany","3885","0.720202200912719","0.708371904371915","0.732032497453523"
"A little too big","2010","West Germany","1932","0.120161402609574","0.115521678302336","0.124801126916812"
"A little too big","2010","East Germany","490","0.104534651932021","0.0964715751989925","0.11259772866505"
"Much too big","2010","West Germany","293","0.021367517909455","0.0193040627890805","0.0234309730298295"
"Much too big","2010","East Germany","54","0.0163593784743492","0.0130162898518986","0.0197024670967997"
"Much too small","2011","West Germany","597","0.0153649462535881","0.0137609876894779","0.0169689048176983"
"Much too small","2011","East Germany","132","0.013102230490786","0.0103171924556897","0.0158872685258823"
"A little too small","2011","West Germany","3765","0.139819776352505","0.135297376025366","0.144342176679644"
"A little too small","2011","East Germany","1037","0.135506010156052","0.127123333826217","0.143888686485887"
"Just right","2011","West Germany","15345","0.695016945488793","0.689013155018662","0.701020735958924"
"Just right","2011","East Germany","4603","0.740329843943055","0.729591283219161","0.751068404666949"
"A little too big","2011","West Germany","2550","0.129414008099012","0.125036908216765","0.133791107981258"
"A little too big","2011","East Germany","569","0.102028290038532","0.0946149476138413","0.109441632463223"
"Much too big","2011","West Germany","333","0.0203843238061022","0.0185415756154883","0.022227071996716"
"Much too big","2011","East Germany","63","0.00903362537157486","0.0067163218231654","0.0113509289199843"
"Much too small","2012","West Germany","523","0.0174189175010622","0.0156895411582625","0.0191482938438618"
"Much too small","2012","East Germany","136","0.0152619332369847","0.0122277288728779","0.0182961376010915"
"A little too small","2012","West Germany","3449","0.130650698117584","0.126195697633949","0.13510569860122"
"A little too small","2012","East Germany","889","0.123928938905456","0.115773718111555","0.132084159699356"
"Just right","2012","West Germany","15123","0.701333069761572","0.695283138208629","0.707383001314515"
"Just right","2012","East Germany","4579","0.742091078485089","0.731263247239443","0.752918909730736"
"A little too big","2012","West Germany","2505","0.130125522599424","0.125678142268941","0.134572902929906"
"A little too big","2012","East Germany","612","0.110267868839457","0.102515510867116","0.118020226811799"
"Much too big","2012","West Germany","384","0.0204717920203583","0.0185998985159311","0.0223436855247854"
"Much too big","2012","East Germany","55","0.00845018053301278","0.0061846498192631","0.0107157112467625"
"Much too small","2013","West Germany","821","0.0197535871190982","0.0180309061600373","0.021476268078159"
"Much too small","2013","East Germany","119","0.0132260191609115","0.0103915011903633","0.0160605371314597"
"A little too small","2013","West Germany","4142","0.124808140517967","0.120716595559032","0.128899685476901"
"A little too small","2013","East Germany","926","0.128168975248922","0.119874987070754","0.136462963427089"
"Just right","2013","West Germany","17132","0.699765781745204","0.694091372146159","0.705440191344249"
"Just right","2013","East Germany","4550","0.744949028329858","0.734133877852795","0.755764178806921"
"A little too big","2013","West Germany","2617","0.133632546937394","0.129420226280508","0.13784486759428"
"A little too big","2013","East Germany","581","0.102381016480323","0.0948593940472451","0.109902638913402"
"Much too big","2013","West Germany","353","0.0220399436803379","0.0202224201789441","0.0238574671817316"
"Much too big","2013","East Germany","64","0.0112749607799851","0.00865526366115237","0.0138946578988179"
"Much too small","2014","West Germany","654","0.0200572389336725","0.018206862759596","0.0219076151077489"
"Much too small","2014","East Germany","150","0.0198655276929121","0.0162395676910629","0.0234914876947613"
"A little too small","2014","West Germany","3559","0.131984544401356","0.127517200698088","0.136451888104624"
"A little too small","2014","East Germany","843","0.136893239312037","0.127961143282978","0.145825335341097"
"Just right","2014","West Germany","14973","0.687321440207417","0.681202825640845","0.693440054773988"
"Just right","2014","East Germany","4090","0.731557870610777","0.720042450008048","0.743073291213506"
"A little too big","2014","West Germany","2522","0.138978344530865","0.134412672582417","0.143544016479313"
"A little too big","2014","East Germany","562","0.105962740243124","0.0979646827087364","0.113960797777512"
"Much too big","2014","West Germany","344","0.0216584319266897","0.0197371864522282","0.0235796774011511"
"Much too big","2014","East Germany","44","0.00572062214114927","0.00376084823246902","0.00768039604982951"
"Much too small","2015","West Germany","698","0.0202661428713183","0.0184021649642893","0.0221301207783474"
"Much too small","2015","East Germany","144","0.023297345299545","0.0193233835666067","0.0272713070324834"
"A little too small","2015","West Germany","3454","0.123305322634313","0.118956053836531","0.127654591432094"
"A little too small","2015","East Germany","793","0.127941705810069","0.119142000969436","0.136741410650702"
"Just right","2015","West Germany","15025","0.694289030468021","0.688194688563928","0.700383372372114"
"Just right","2015","East Germany","4035","0.741714592764717","0.730183840935951","0.753245344593483"
"A little too big","2015","West Germany","2436","0.141333341555372","0.136725094377498","0.145941588733246"
"A little too big","2015","East Germany","513","0.100481123767584","0.092560914423564","0.108401333111605"
"Much too big","2015","West Germany","340","0.0208061624709761","0.0189180342613763","0.0226942906805758"
"Much too big","2015","East Germany","50","0.00656523235808432","0.00443766162935252","0.00869280308681611"
"Much too small","2016","West Germany","915","0.0173636933433188","0.0156468627255175","0.0190805239611201"
"Much too small","2016","East Germany","223","0.0182215602803115","0.0147392215662243","0.0217038989943987"
"A little too small","2016","West Germany","3566","0.127840338770362","0.123451577604585","0.132229099936139"
"A little too small","2016","East Germany","905","0.146018827870386","0.136824921818752","0.15521273392202"
"Just right","2016","West Germany","15197","0.700537915778291","0.694517912366384","0.706557919190199"
"Just right","2016","East Germany","3972","0.723763087120143","0.712121543882556","0.735404630357729"
"A little too big","2016","West Germany","2251","0.13433375761425","0.129851696070797","0.138815819157703"
"A little too big","2016","East Germany","520","0.104938122417416","0.0969588248835747","0.112917419951258"
"Much too big","2016","West Germany","308","0.0199242944937777","0.0180876238648102","0.0217609651227451"
"Much too big","2016","East Germany","47","0.00705840231174352","0.00487875341753309","0.00923805120595395"
"Much too small","2017","West Germany","1157","0.0232943754320248","0.0214234568173264","0.0251652940467232"
"Much too small","2017","East Germany","228","0.021850418257809","0.0182395324157888","0.0254613040998292"
"A little too small","2017","West Germany","3901","0.120087794727373","0.116055830947695","0.124119758507051"
"A little too small","2017","East Germany","987","0.136823581956463","0.128335462054277","0.145311701858648"
"Just right","2017","West Germany","16975","0.701899659523193","0.696225960832998","0.707573358213388"
"Just right","2017","East Germany","4474","0.740874674254204","0.730052648838528","0.751696699669879"
"A little too big","2017","West Germany","2592","0.134085848323825","0.12985939178877","0.138312304858879"
"A little too big","2017","East Germany","556","0.0930958091119274","0.0859190723945888","0.100272545829266"
"Much too big","2017","West Germany","344","0.0206323219935841","0.0188691509158449","0.0223954930713233"
"Much too big","2017","East Germany","52","0.00735551641959735","0.00524501963065261","0.00946601320854208"
"Much too small","2018","West Germany","1047","0.0195230867864088","0.0177624307391844","0.0212837428336332"
"Much too small","2018","East Germany","185","0.018598075795095","0.0152223894053772","0.0219737621848128"
"A little too small","2018","West Germany","3719","0.124377617146202","0.120177986099582","0.128577248192821"
"A little too small","2018","East Germany","932","0.126038461699693","0.117745639756281","0.134331283643106"
"Just right","2018","West Germany","16078","0.699547071357398","0.693712912014082","0.705381230700714"
"Just right","2018","East Germany","4486","0.753831536272091","0.743067925313611","0.764595147230571"
"A little too big","2018","West Germany","2557","0.137899598235616","0.133511846785286","0.142287349685945"
"A little too big","2018","East Germany","502","0.0946865713570745","0.0873709990020159","0.102002143712133"
"Much too big","2018","West Germany","320","0.0186526264743761","0.0169309046950973","0.020374348253655"
"Much too big","2018","East Germany","48","0.00684535487604585","0.0047851469368909","0.0089055628152008"
"Much too small","2019","West Germany","948","0.0210698418548262","0.019234302825269","0.0229053808843834"
"Much too small","2019","East Germany","160","0.018879176920148","0.0154716328018049","0.0222867210384912"
