"hlf0071_h","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1","1984","Bavaria","(1b) general elementary school","28","","",""
"1","1984","Bavaria","(1c) basic vocational qualification","17","","",""
"1","1984","Bavaria","(2b) intermediate general qualification","4","","",""
"1","1984","Bavaria","(2a) intermediate vocational","4","","",""
"1","1984","Bavaria","(2c_gen) general maturity certificate","4","","",""
"1","1984","Bavaria","(2c_voc) vocational maturity certificate","3","","",""
"1","1984","Bavaria","(3a) lower tertiary education","","","",""
"1","1984","Bavaria","(3b) higher tertiary education","5","","",""
"1","1984","Berlin","(0) in school","","","",""
"1","1984","Berlin","(1a) inadequately completed","4","","",""
"1","1984","Berlin","(1b) general elementary school","3","","",""
"1","1984","Berlin","(1c) basic vocational qualification","3","","",""
"1","1984","Berlin","(2b) intermediate general qualification","","","",""
"1","1984","Berlin","(2a) intermediate vocational","","","",""
"1","1984","Berlin","(2c_gen) general maturity certificate","2","","",""
"1","1984","Berlin","(2c_voc) vocational maturity certificate","1","","",""
"1","1984","Berlin","(3a) lower tertiary education","","","",""
"1","1984","Berlin","(3b) higher tertiary education","2","","",""
"1","1984","Brandenburg","(0) in school","","","",""
"1","1984","Brandenburg","(1a) inadequately completed","","","",""
"1","1984","Brandenburg","(1b) general elementary school","","","",""
"1","1984","Brandenburg","(1c) basic vocational qualification","","","",""
"1","1984","Brandenburg","(2b) intermediate general qualification","","","",""
"1","1984","Brandenburg","(2a) intermediate vocational","","","",""
"1","1984","Brandenburg","(2c_gen) general maturity certificate","","","",""
"1","1984","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"1","1984","Brandenburg","(3a) lower tertiary education","","","",""
"1","1984","Brandenburg","(3b) higher tertiary education","","","",""
"1","1984","Mecklenburg-Western Pomerania","(0) in school","","","",""
"1","1984","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"1","1984","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"1","1984","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"1","1984","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"1","1984","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"1","1984","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"1","1984","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"1","1984","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"1","1984","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"1","1984","Saxony","(0) in school","","","",""
"1","1984","Saxony","(1a) inadequately completed","","","",""
"1","1984","Saxony","(1b) general elementary school","","","",""
"1","1984","Saxony","(1c) basic vocational qualification","","","",""
"1","1984","Saxony","(2b) intermediate general qualification","","","",""
"1","1984","Saxony","(2a) intermediate vocational","","","",""
"1","1984","Saxony","(2c_gen) general maturity certificate","","","",""
"1","1984","Saxony","(2c_voc) vocational maturity certificate","","","",""
"1","1984","Saxony","(3a) lower tertiary education","","","",""
"1","1984","Saxony","(3b) higher tertiary education","","","",""
"1","1984","Saxony-Anhalt","(0) in school","","","",""
"1","1984","Saxony-Anhalt","(1a) inadequately completed","","","",""
"1","1984","Saxony-Anhalt","(1b) general elementary school","","","",""
"1","1984","Saxony-Anhalt","(1c) basic vocational qualification","","","",""
"1","1984","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"1","1984","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"1","1984","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"1","1984","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"1","1984","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"1","1984","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"1","1984","Thuringia","(0) in school","","","",""
"1","1984","Thuringia","(1a) inadequately completed","","","",""
"1","1984","Thuringia","(1b) general elementary school","","","",""
"1","1984","Thuringia","(1c) basic vocational qualification","","","",""
"1","1984","Thuringia","(2b) intermediate general qualification","","","",""
"1","1984","Thuringia","(2a) intermediate vocational","","","",""
"1","1984","Thuringia","(2c_gen) general maturity certificate","","","",""
"1","1984","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"1","1984","Thuringia","(3a) lower tertiary education","","","",""
"1","1984","Thuringia","(3b) higher tertiary education","","","",""
"2","1984","Schleswig-Holstein","(0) in school","3","","",""
"2","1984","Schleswig-Holstein","(1a) inadequately completed","3","","",""
"2","1984","Schleswig-Holstein","(1b) general elementary school","7","","",""
"2","1984","Schleswig-Holstein","(1c) basic vocational qualification","26","","",""
"2","1984","Schleswig-Holstein","(2b) intermediate general qualification","2","","",""
"2","1984","Schleswig-Holstein","(2a) intermediate vocational","12","","",""
"2","1984","Schleswig-Holstein","(2c_gen) general maturity certificate","3","","",""
"2","1984","Schleswig-Holstein","(2c_voc) vocational maturity certificate","1","","",""
"2","1984","Schleswig-Holstein","(3a) lower tertiary education","1","","",""
"2","1984","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"2","1984","Hamburg","(0) in school","2","","",""
"2","1984","Hamburg","(1a) inadequately completed","1","","",""
"2","1984","Hamburg","(1b) general elementary school","10","","",""
"2","1984","Hamburg","(1c) basic vocational qualification","16","","",""
"2","1984","Hamburg","(2b) intermediate general qualification","3","","",""
"2","1984","Hamburg","(2a) intermediate vocational","13","","",""
"2","1984","Hamburg","(2c_gen) general maturity certificate","3","","",""
"2","1984","Hamburg","(2c_voc) vocational maturity certificate","8","","",""
"2","1984","Hamburg","(3a) lower tertiary education","6","","",""
"2","1984","Hamburg","(3b) higher tertiary education","2","","",""
"2","1984","Lower Saxony","(0) in school","9","","",""
"2","1984","Lower Saxony","(1a) inadequately completed","20","","",""
"2","1984","Lower Saxony","(1b) general elementary school","34","0.0799930741724956","0.0496471306455127","0.110339017699479"
"2","1984","Lower Saxony","(1c) basic vocational qualification","51","0.107978376385413","0.0790454045713211","0.136911348199505"
"2","1984","Lower Saxony","(2b) intermediate general qualification","6","","",""
"2","1984","Lower Saxony","(2a) intermediate vocational","24","","",""
"2","1984","Lower Saxony","(2c_gen) general maturity certificate","7","","",""
"2","1984","Lower Saxony","(2c_voc) vocational maturity certificate","6","","",""
"2","1984","Lower Saxony","(3a) lower tertiary education","","","",""
"2","1984","Lower Saxony","(3b) higher tertiary education","9","","",""
"2","1984","Bremen","(0) in school","","","",""
"2","1984","Bremen","(1a) inadequately completed","1","","",""
"2","1984","Bremen","(1b) general elementary school","4","","",""
"2","1984","Bremen","(1c) basic vocational qualification","4","","",""
"2","1984","Bremen","(2b) intermediate general qualification","3","","",""
"2","1984","Bremen","(2a) intermediate vocational","4","","",""
"2","1984","Bremen","(2c_gen) general maturity certificate","2","","",""
"2","1984","Bremen","(2c_voc) vocational maturity certificate","1","","",""
"2","1984","Bremen","(3a) lower tertiary education","","","",""
"2","1984","Bremen","(3b) higher tertiary education","","","",""
"2","1984","North Rhine-Westphalia","(0) in school","9","","",""
"2","1984","North Rhine-Westphalia","(1a) inadequately completed","74","0.198538814166435","0.156446529134578","0.240631099198291"
"2","1984","North Rhine-Westphalia","(1b) general elementary school","110","0.0986888899053968","0.0772583497562286","0.120119430054565"
"2","1984","North Rhine-Westphalia","(1c) basic vocational qualification","166","0.126916408707734","0.107576084038991","0.146256733376477"
"2","1984","North Rhine-Westphalia","(2b) intermediate general qualification","22","","",""
"2","1984","North Rhine-Westphalia","(2a) intermediate vocational","58","0.154899318403144","0.116155299594781","0.193643337211507"
"2","1984","North Rhine-Westphalia","(2c_gen) general maturity certificate","35","0.275516349763256","0.199009481362511","0.352023218164"
"2","1984","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","25","","",""
"2","1984","North Rhine-Westphalia","(3a) lower tertiary education","8","","",""
"2","1984","North Rhine-Westphalia","(3b) higher tertiary education","30","0.181271833478823","0.119825687697322","0.242717979260325"
"2","1984","Hesse","(0) in school","1","","",""
"2","1984","Hesse","(1a) inadequately completed","28","","",""
"2","1984","Hesse","(1b) general elementary school","46","0.0870577219222834","0.0560232922249955","0.118092151619571"
"2","1984","Hesse","(1c) basic vocational qualification","61","0.100171724677963","0.0703750238107055","0.129968425545221"
"2","1984","Hesse","(2b) intermediate general qualification","10","","",""
"2","1984","Hesse","(2a) intermediate vocational","16","","",""
"2","1984","Hesse","(2c_gen) general maturity certificate","8","","",""
"2","1984","Hesse","(2c_voc) vocational maturity certificate","10","","",""
"2","1984","Hesse","(3a) lower tertiary education","3","","",""
"2","1984","Hesse","(3b) higher tertiary education","6","","",""
"2","1984","Rhineland-Palatinate,Saarland","(0) in school","1","","",""
"2","1984","Rhineland-Palatinate,Saarland","(1a) inadequately completed","14","","",""
"2","1984","Rhineland-Palatinate,Saarland","(1b) general elementary school","32","0.0887812776702248","0.0547918412503829","0.122770714090067"
"2","1984","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","31","0.0839944184250444","0.0538379358642395","0.114150900985849"
"2","1984","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","2","","",""
"2","1984","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","7","","",""
"2","1984","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","1","","",""
"2","1984","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","1","","",""
"2","1984","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","5","","",""
"2","1984","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","3","","",""
"2","1984","Baden-Württemberg","(0) in school","4","","",""
"2","1984","Baden-Württemberg","(1a) inadequately completed","62","0.208430730170775","0.163141578151657","0.253719882189894"
"2","1984","Baden-Württemberg","(1b) general elementary school","105","0.099504753916729","0.0759615850244702","0.123047922808988"
"2","1984","Baden-Württemberg","(1c) basic vocational qualification","110","0.117231865876524","0.0939750323590727","0.140488699393975"
"2","1984","Baden-Württemberg","(2b) intermediate general qualification","11","","",""
"2","1984","Baden-Württemberg","(2a) intermediate vocational","30","0.128102961587541","0.0824649549486166","0.173740968226465"
"2","1984","Baden-Württemberg","(2c_gen) general maturity certificate","9","","",""
"2","1984","Baden-Württemberg","(2c_voc) vocational maturity certificate","13","","",""
"2","1984","Baden-Württemberg","(3a) lower tertiary education","4","","",""
"2","1984","Baden-Württemberg","(3b) higher tertiary education","22","","",""
"2","1984","Bavaria","(0) in school","3","","",""
"2","1984","Bavaria","(1a) inadequately completed","18","","",""
"2","1984","Bavaria","(1b) general elementary school","81","0.138640352958634","0.108380534595563","0.168900171321705"
"2","1984","Bavaria","(1c) basic vocational qualification","136","0.156700252992805","0.131431118871383","0.181969387114227"
"2","1984","Bavaria","(2b) intermediate general qualification","10","","",""
"2","1984","Bavaria","(2a) intermediate vocational","50","0.166336216902469","0.122404069984109","0.210268363820829"
"2","1984","Bavaria","(2c_gen) general maturity certificate","13","","",""
"2","1984","Bavaria","(2c_voc) vocational maturity certificate","12","","",""
"2","1984","Bavaria","(3a) lower tertiary education","10","","",""
"2","1984","Bavaria","(3b) higher tertiary education","25","","",""
"2","1984","Berlin","(0) in school","1","","",""
"2","1984","Berlin","(1a) inadequately completed","19","","",""
"2","1984","Berlin","(1b) general elementary school","26","","",""
"2","1984","Berlin","(1c) basic vocational qualification","29","","",""
"2","1984","Berlin","(2b) intermediate general qualification","1","","",""
"2","1984","Berlin","(2a) intermediate vocational","17","","",""
"2","1984","Berlin","(2c_gen) general maturity certificate","7","","",""
"2","1984","Berlin","(2c_voc) vocational maturity certificate","6","","",""
"2","1984","Berlin","(3a) lower tertiary education","2","","",""
"2","1984","Berlin","(3b) higher tertiary education","6","","",""
"2","1984","Brandenburg","(0) in school","","","",""
"2","1984","Brandenburg","(1a) inadequately completed","","","",""
"2","1984","Brandenburg","(1b) general elementary school","","","",""
"2","1984","Brandenburg","(1c) basic vocational qualification","","","",""
"2","1984","Brandenburg","(2b) intermediate general qualification","","","",""
"2","1984","Brandenburg","(2a) intermediate vocational","","","",""
"2","1984","Brandenburg","(2c_gen) general maturity certificate","","","",""
"2","1984","Brandenburg","(2c_voc) vocational maturity certificate","","","",""
"2","1984","Brandenburg","(3a) lower tertiary education","","","",""
"2","1984","Brandenburg","(3b) higher tertiary education","","","",""
"2","1984","Mecklenburg-Western Pomerania","(0) in school","","","",""
"2","1984","Mecklenburg-Western Pomerania","(1a) inadequately completed","","","",""
"2","1984","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"2","1984","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","","","",""
"2","1984","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","","","",""
"2","1984","Mecklenburg-Western Pomerania","(2a) intermediate vocational","","","",""
"2","1984","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","","","",""
"2","1984","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"2","1984","Mecklenburg-Western Pomerania","(3a) lower tertiary education","","","",""
"2","1984","Mecklenburg-Western Pomerania","(3b) higher tertiary education","","","",""
"2","1984","Saxony","(0) in school","","","",""
"2","1984","Saxony","(1a) inadequately completed","","","",""
"2","1984","Saxony","(1b) general elementary school","","","",""
"2","1984","Saxony","(1c) basic vocational qualification","","","",""
"2","1984","Saxony","(2b) intermediate general qualification","","","",""
"2","1984","Saxony","(2a) intermediate vocational","","","",""
"2","1984","Saxony","(2c_gen) general maturity certificate","","","",""
"2","1984","Saxony","(2c_voc) vocational maturity certificate","","","",""
"2","1984","Saxony","(3a) lower tertiary education","","","",""
"2","1984","Saxony","(3b) higher tertiary education","","","",""
"2","1984","Saxony-Anhalt","(0) in school","","","",""
"2","1984","Saxony-Anhalt","(1a) inadequately completed","","","",""
"2","1984","Saxony-Anhalt","(1b) general elementary school","","","",""
"2","1984","Saxony-Anhalt","(1c) basic vocational qualification","","","",""
"2","1984","Saxony-Anhalt","(2b) intermediate general qualification","","","",""
"2","1984","Saxony-Anhalt","(2a) intermediate vocational","","","",""
"2","1984","Saxony-Anhalt","(2c_gen) general maturity certificate","","","",""
"2","1984","Saxony-Anhalt","(2c_voc) vocational maturity certificate","","","",""
"2","1984","Saxony-Anhalt","(3a) lower tertiary education","","","",""
"2","1984","Saxony-Anhalt","(3b) higher tertiary education","","","",""
"2","1984","Thuringia","(0) in school","","","",""
"2","1984","Thuringia","(1a) inadequately completed","","","",""
"2","1984","Thuringia","(1b) general elementary school","","","",""
"2","1984","Thuringia","(1c) basic vocational qualification","","","",""
"2","1984","Thuringia","(2b) intermediate general qualification","","","",""
"2","1984","Thuringia","(2a) intermediate vocational","","","",""
"2","1984","Thuringia","(2c_gen) general maturity certificate","","","",""
"2","1984","Thuringia","(2c_voc) vocational maturity certificate","","","",""
"2","1984","Thuringia","(3a) lower tertiary education","","","",""
"2","1984","Thuringia","(3b) higher tertiary education","","","",""
"3","1984","Schleswig-Holstein","(0) in school","6","","",""
"3","1984","Schleswig-Holstein","(1a) inadequately completed","4","","",""
"3","1984","Schleswig-Holstein","(1b) general elementary school","54","0.732856976037278","0.630654039387689","0.835059912686866"
"3","1984","Schleswig-Holstein","(1c) basic vocational qualification","105","0.675868557198823","0.601704397889982","0.750032716507664"
"3","1984","Schleswig-Holstein","(2b) intermediate general qualification","12","","",""
"3","1984","Schleswig-Holstein","(2a) intermediate vocational","52","0.667344855896587","0.562106268776405","0.772583443016769"
"3","1984","Schleswig-Holstein","(2c_gen) general maturity certificate","7","","",""
"3","1984","Schleswig-Holstein","(2c_voc) vocational maturity certificate","7","","",""
"3","1984","Schleswig-Holstein","(3a) lower tertiary education","5","","",""
"3","1984","Schleswig-Holstein","(3b) higher tertiary education","12","","",""
"3","1984","Hamburg","(0) in school","2","","",""
"3","1984","Hamburg","(1a) inadequately completed","21","","",""
"3","1984","Hamburg","(1b) general elementary school","45","0.797914654584574","0.69457197327824","0.901257335890907"
"3","1984","Hamburg","(1c) basic vocational qualification","81","0.792792864941086","0.715635501682825","0.869950228199347"
"3","1984","Hamburg","(2b) intermediate general qualification","5","","",""
"3","1984","Hamburg","(2a) intermediate vocational","28","","",""
"3","1984","Hamburg","(2c_gen) general maturity certificate","13","","",""
"3","1984","Hamburg","(2c_voc) vocational maturity certificate","16","","",""
"3","1984","Hamburg","(3a) lower tertiary education","5","","",""
"3","1984","Hamburg","(3b) higher tertiary education","4","","",""
"3","1984","Lower Saxony","(0) in school","19","","",""
"3","1984","Lower Saxony","(1a) inadequately completed","44","0.734909920470735","0.630002205568616","0.839817635372854"
"3","1984","Lower Saxony","(1b) general elementary school","238","0.801227829956618","0.756586748647164","0.845868911266071"
"3","1984","Lower Saxony","(1c) basic vocational qualification","347","0.79870425855485","0.761323574037253","0.836084943072448"
"3","1984","Lower Saxony","(2b) intermediate general qualification","48","0.77681346951657","0.674801656023069","0.878825283010072"
"3","1984","Lower Saxony","(2a) intermediate vocational","124","0.752476375272616","0.686425142175044","0.818527608370188"
"3","1984","Lower Saxony","(2c_gen) general maturity certificate","28","","",""
"3","1984","Lower Saxony","(2c_voc) vocational maturity certificate","24","","",""
"3","1984","Lower Saxony","(3a) lower tertiary education","15","","",""
"3","1984","Lower Saxony","(3b) higher tertiary education","46","0.754218672839137","0.646173279170591","0.862264066507682"
"3","1984","Bremen","(0) in school","","","",""
"3","1984","Bremen","(1a) inadequately completed","5","","",""
"3","1984","Bremen","(1b) general elementary school","27","","",""
"3","1984","Bremen","(1c) basic vocational qualification","47","0.814837524486108","0.715723734174192","0.913951314798024"
"3","1984","Bremen","(2b) intermediate general qualification","4","","",""
"3","1984","Bremen","(2a) intermediate vocational","10","","",""
"3","1984","Bremen","(2c_gen) general maturity certificate","1","","",""
"3","1984","Bremen","(2c_voc) vocational maturity certificate","3","","",""
"3","1984","Bremen","(3a) lower tertiary education","","","",""
"3","1984","Bremen","(3b) higher tertiary education","1","","",""
"3","1984","North Rhine-Westphalia","(0) in school","44","0.713332681413607","0.599852942883714","0.8268124199435"
"3","1984","North Rhine-Westphalia","(1a) inadequately completed","229","0.616056853424205","0.564737355362648","0.667376351485762"
"3","1984","North Rhine-Westphalia","(1b) general elementary school","559","0.808247320815822","0.779959175101624","0.83653546653002"
"3","1984","North Rhine-Westphalia","(1c) basic vocational qualification","865","0.778845622725372","0.754732668508329","0.802958576942414"
"3","1984","North Rhine-Westphalia","(2b) intermediate general qualification","92","0.725018950770516","0.647667374569287","0.802370526971744"
"3","1984","North Rhine-Westphalia","(2a) intermediate vocational","246","0.744130488790029","0.69740439173317","0.790856585846888"
"3","1984","North Rhine-Westphalia","(2c_gen) general maturity certificate","80","0.663826902824491","0.582931965032323","0.744721840616659"
"3","1984","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","81","0.681521557312018","0.60112581395367","0.761917300670367"
"3","1984","North Rhine-Westphalia","(3a) lower tertiary education","60","0.812804137218875","0.724524907479299","0.90108336695845"
"3","1984","North Rhine-Westphalia","(3b) higher tertiary education","104","0.684342471306289","0.610210689243533","0.758474253369045"
"3","1984","Hesse","(0) in school","12","","",""
"3","1984","Hesse","(1a) inadequately completed","79","0.641398991906736","0.558638488167003","0.724159495646469"
"3","1984","Hesse","(1b) general elementary school","239","0.822926246533707","0.780904314740141","0.864948178327272"
"3","1984","Hesse","(1c) basic vocational qualification","298","0.82132442336546","0.783304980153498","0.859343866577422"
"3","1984","Hesse","(2b) intermediate general qualification","31","0.710359557149491","0.574783631413967","0.845935482885016"
"3","1984","Hesse","(2a) intermediate vocational","118","0.822173179295376","0.759936792032621","0.884409566558132"
"3","1984","Hesse","(2c_gen) general maturity certificate","43","0.753158993511912","0.643138377393365","0.863179609630458"
"3","1984","Hesse","(2c_voc) vocational maturity certificate","29","","",""
"3","1984","Hesse","(3a) lower tertiary education","23","","",""
"3","1984","Hesse","(3b) higher tertiary education","50","0.836845485609876","0.745602391803648","0.928088579416104"
"3","1984","Rhineland-Palatinate,Saarland","(0) in school","5","","",""
"3","1984","Rhineland-Palatinate,Saarland","(1a) inadequately completed","38","0.549603698015143","0.431349690958548","0.667857705071738"
"3","1984","Rhineland-Palatinate,Saarland","(1b) general elementary school","192","0.739903906201449","0.687480344250643","0.792327468152255"
"3","1984","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","254","0.790523092598376","0.746281396539688","0.834764788657064"
"3","1984","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","23","","",""
"3","1984","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","62","0.777097082090466","0.68532088429245","0.868873279888481"
"3","1984","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","15","","",""
"3","1984","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","14","","",""
"3","1984","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","11","","",""
"3","1984","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","16","","",""
"3","1984","Baden-Württemberg","(0) in school","29","","",""
"3","1984","Baden-Württemberg","(1a) inadequately completed","218","0.697642653895928","0.646433732739891","0.748851575051964"
"3","1984","Baden-Württemberg","(1b) general elementary school","467","0.813725522283109","0.783104623284784","0.844346421281435"
"3","1984","Baden-Württemberg","(1c) basic vocational qualification","562","0.791546988268392","0.762180848669643","0.82091312786714"
"3","1984","Baden-Württemberg","(2b) intermediate general qualification","60","0.818433743490591","0.732331977022378","0.904535509958804"
"3","1984","Baden-Württemberg","(2a) intermediate vocational","158","0.772705811742077","0.715476867275719","0.829934756208434"
"3","1984","Baden-Württemberg","(2c_gen) general maturity certificate","45","0.719005666209716","0.603328129510155","0.834683202909277"
"3","1984","Baden-Württemberg","(2c_voc) vocational maturity certificate","60","0.766195486842678","0.672267064136761","0.860123909548596"
"3","1984","Baden-Württemberg","(3a) lower tertiary education","38","0.895471667046872","0.805072445744488","0.985870888349257"
"3","1984","Baden-Württemberg","(3b) higher tertiary education","53","0.637753416866283","0.533720755029207","0.741786078703358"
"3","1984","Bavaria","(0) in school","18","","",""
"3","1984","Bavaria","(1a) inadequately completed","81","0.748198790954465","0.667813518837277","0.828584063071654"
"3","1984","Bavaria","(1b) general elementary school","363","0.758766158811233","0.721303178791351","0.796229138831115"
"3","1984","Bavaria","(1c) basic vocational qualification","595","0.767906435540014","0.738560346593535","0.797252524486493"
