"hlf0071_h","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","6","","",""
"1","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","4","","",""
"1","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"1","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","1","","",""
"2","1984","1-pers.-HH","(0) in school","","","",""
"2","1984","1-pers.-HH","(1a) inadequately completed","10","","",""
"2","1984","1-pers.-HH","(1b) general elementary school","17","","",""
"2","1984","1-pers.-HH","(1c) basic vocational qualification","34","0.0770147939670574","0.0511444347859963","0.102885153148119"
"2","1984","1-pers.-HH","(2b) intermediate general qualification","3","","",""
"2","1984","1-pers.-HH","(2a) intermediate vocational","33","0.14341395950187","0.0947168972543495","0.192111021749391"
"2","1984","1-pers.-HH","(2c_gen) general maturity certificate","20","","",""
"2","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","11","","",""
"2","1984","1-pers.-HH","(3a) lower tertiary education","6","","",""
"2","1984","1-pers.-HH","(3b) higher tertiary education","12","","",""
"2","1984","(Married) couple without C. ","(0) in school","1","","",""
"2","1984","(Married) couple without C. ","(1a) inadequately completed","12","","",""
"2","1984","(Married) couple without C. ","(1b) general elementary school","68","0.0833822698401787","0.0621454941361637","0.104619045544194"
"2","1984","(Married) couple without C. ","(1c) basic vocational qualification","104","0.0831112190005959","0.0668643202711536","0.0993581177300382"
"2","1984","(Married) couple without C. ","(2b) intermediate general qualification","6","","",""
"2","1984","(Married) couple without C. ","(2a) intermediate vocational","56","0.146634713878212","0.109785150683735","0.18348427707269"
"2","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","13","","",""
"2","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","21","","",""
"2","1984","(Married) couple without C. ","(3a) lower tertiary education","9","","",""
"2","1984","(Married) couple without C. ","(3b) higher tertiary education","26","","",""
"2","1984","Single parent ","(0) in school","3","","",""
"2","1984","Single parent ","(1a) inadequately completed","7","","",""
"2","1984","Single parent ","(1b) general elementary school","28","","",""
"2","1984","Single parent ","(1c) basic vocational qualification","23","","",""
"2","1984","Single parent ","(2b) intermediate general qualification","4","","",""
"2","1984","Single parent ","(2a) intermediate vocational","10","","",""
"2","1984","Single parent ","(2c_gen) general maturity certificate","1","","",""
"2","1984","Single parent ","(2c_voc) vocational maturity certificate","2","","",""
"2","1984","Single parent ","(3a) lower tertiary education","","","",""
"2","1984","Single parent ","(3b) higher tertiary education","2","","",""
"2","1984","Couple + C. LE 16 ","(0) in school","","","",""
"2","1984","Couple + C. LE 16 ","(1a) inadequately completed","91","0.276398337160145","0.23020127780298","0.32259539651731"
"2","1984","Couple + C. LE 16 ","(1b) general elementary school","138","0.167221995742934","0.137965695357038","0.19647829612883"
"2","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","273","0.213648907808054","0.19016265421789","0.237135161398219"
"2","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","13","","",""
"2","1984","Couple + C. LE 16 ","(2a) intermediate vocational","82","0.207879340660353","0.167657582741108","0.248101098579598"
"2","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","16","","",""
"2","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","35","0.27719577239508","0.19809163873914","0.35629990605102"
"2","1984","Couple + C. LE 16 ","(3a) lower tertiary education","18","","",""
"2","1984","Couple + C. LE 16 ","(3b) higher tertiary education","43","0.212493572224564","0.15401872190925","0.270968422539878"
"2","1984","Couple + C. GT 16 ","(0) in school","10","","",""
"2","1984","Couple + C. GT 16 ","(1a) inadequately completed","41","0.229924520022805","0.164519840689206","0.295329199356404"
"2","1984","Couple + C. GT 16 ","(1b) general elementary school","60","0.0717100013793176","0.0478452660808952","0.0955747366777399"
"2","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","64","0.081390746683983","0.0606863007023514","0.102095192665615"
"2","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","21","","",""
"2","1984","Couple + C. GT 16 ","(2a) intermediate vocational","23","","",""
"2","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","14","","",""
"2","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","6","","",""
"2","1984","Couple + C. GT 16 ","(3a) lower tertiary education","2","","",""
"2","1984","Couple + C. GT 16 ","(3b) higher tertiary education","6","","",""
"2","1984","Couple + C. LE and GT 16","(0) in school","17","","",""
"2","1984","Couple + C. LE and GT 16","(1a) inadequately completed","49","0.159655554529838","0.112824402321197","0.206486706738479"
"2","1984","Couple + C. LE and GT 16","(1b) general elementary school","96","0.183799719151697","0.148894665305188","0.218704772998206"
"2","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","89","0.160072387476652","0.128496006606144","0.19164876834716"
"2","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","15","","",""
"2","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","19","","",""
"2","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","13","","",""
"2","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","4","","",""
"2","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","3","","",""
"2","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","9","","",""
"3","1984","1-pers.-HH","(0) in school","1","","",""
"3","1984","1-pers.-HH","(1a) inadequately completed","53","0.62217042031313","0.515926092062135","0.728414748564126"
"3","1984","1-pers.-HH","(1b) general elementary school","285","0.809738001574515","0.769304431075448","0.850171572073582"
"3","1984","1-pers.-HH","(1c) basic vocational qualification","322","0.788703154097872","0.749091652555029","0.828314655640715"
"3","1984","1-pers.-HH","(2b) intermediate general qualification","27","","",""
"3","1984","1-pers.-HH","(2a) intermediate vocational","138","0.708358430544472","0.645208511275818","0.771508349813127"
"3","1984","1-pers.-HH","(2c_gen) general maturity certificate","29","","",""
"3","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","48","0.663045676895409","0.554617064191315","0.771474289599502"
"3","1984","1-pers.-HH","(3a) lower tertiary education","22","","",""
"3","1984","1-pers.-HH","(3b) higher tertiary education","55","0.679744120195458","0.58113430356486","0.778353936826056"
"3","1984","(Married) couple without C. ","(0) in school","1","","",""
"3","1984","(Married) couple without C. ","(1a) inadequately completed","121","0.757026561652359","0.68673308382564","0.827320039479078"
"3","1984","(Married) couple without C. ","(1b) general elementary school","526","0.822916961254963","0.793592902127159","0.852241020382768"
"3","1984","(Married) couple without C. ","(1c) basic vocational qualification","913","0.835667386958183","0.813857122820265","0.8574776510961"
"3","1984","(Married) couple without C. ","(2b) intermediate general qualification","35","0.692289031532481","0.563058460020948","0.821519603044014"
"3","1984","(Married) couple without C. ","(2a) intermediate vocational","268","0.761820182189716","0.717446529863997","0.806193834515434"
"3","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","29","","",""
"3","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","87","0.67712519871357","0.596123398637723","0.758126998789416"
"3","1984","(Married) couple without C. ","(3a) lower tertiary education","70","0.823035414056511","0.742841592802829","0.903229235310192"
"3","1984","(Married) couple without C. ","(3b) higher tertiary education","80","0.692639535913714","0.608674836655822","0.776604235171606"
"3","1984","Single parent ","(0) in school","14","","",""
"3","1984","Single parent ","(1a) inadequately completed","31","0.700466664185321","0.569513655944026","0.831419672426615"
"3","1984","Single parent ","(1b) general elementary school","124","0.760684988391381","0.695779497228017","0.825590479554746"
"3","1984","Single parent ","(1c) basic vocational qualification","146","0.792235491312379","0.734547672511129","0.849923310113629"
"3","1984","Single parent ","(2b) intermediate general qualification","32","0.836723129836547","0.720720186637306","0.952726073035787"
"3","1984","Single parent ","(2a) intermediate vocational","44","0.788416299673231","0.683304131267251","0.893528468079212"
"3","1984","Single parent ","(2c_gen) general maturity certificate","22","","",""
"3","1984","Single parent ","(2c_voc) vocational maturity certificate","11","","",""
"3","1984","Single parent ","(3a) lower tertiary education","3","","",""
"3","1984","Single parent ","(3b) higher tertiary education","9","","",""
"3","1984","Couple + C. LE 16 ","(0) in school","1","","",""
"3","1984","Couple + C. LE 16 ","(1a) inadequately completed","205","0.538377990648552","0.486880775646137","0.589875205650966"
"3","1984","Couple + C. LE 16 ","(1b) general elementary school","422","0.72663744081129","0.691696347984482","0.761578533638099"
"3","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","777","0.686773582301444","0.660197488836461","0.713349675766426"
"3","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","29","","",""
"3","1984","Couple + C. LE 16 ","(2a) intermediate vocational","276","0.701150368676736","0.655777978523348","0.746522758830125"
"3","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","36","0.581093474768778","0.451871718431414","0.710315231106142"
"3","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","71","0.577466560648987","0.490171534784715","0.664761586513258"
"3","1984","Couple + C. LE 16 ","(3a) lower tertiary education","55","0.728522653537377","0.629829024670902","0.827216282403852"
"3","1984","Couple + C. LE 16 ","(3b) higher tertiary education","130","0.703376884616082","0.638084022213759","0.768669747018405"
"3","1984","Couple + C. GT 16 ","(0) in school","61","0.754095558729528","0.659137697743664","0.849053419715392"
"3","1984","Couple + C. GT 16 ","(1a) inadequately completed","114","0.757251013005491","0.69060898980064","0.823893036210342"
"3","1984","Couple + C. GT 16 ","(1b) general elementary school","350","0.841625614123691","0.807855940396506","0.875395287850877"
"3","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","564","0.858425659386504","0.832028675408277","0.884822643364732"
"3","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","103","0.73142442813806","0.659033385801635","0.803815470474485"
"3","1984","Couple + C. GT 16 ","(2a) intermediate vocational","182","0.834473183443917","0.785362370367291","0.883583996520544"
"3","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","84","0.81054996759406","0.737650586714326","0.883449348473793"
"3","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","43","0.872013002606111","0.781211962176305","0.962814043035916"
"3","1984","Couple + C. GT 16 ","(3a) lower tertiary education","31","0.864147279196599","0.753745700723283","0.974548857669915"
"3","1984","Couple + C. GT 16 ","(3b) higher tertiary education","50","0.84372483347922","0.751845493453274","0.935604173505166"
"3","1984","Couple + C. LE and GT 16","(0) in school","55","0.705677300045679","0.604538978304238","0.806815621787119"
"3","1984","Couple + C. LE and GT 16","(1a) inadequately completed","164","0.719514841699099","0.662078207643524","0.776951475754673"
"3","1984","Couple + C. LE and GT 16","(1b) general elementary school","332","0.739977839282863","0.700447361909488","0.779508316656238"
"3","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","381","0.74293743808285","0.705303579484284","0.780571296681417"
"3","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","103","0.782813276978773","0.711659335273379","0.853967218684167"
"3","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","96","0.771855371821976","0.698872773708131","0.844837969935821"
"3","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","37","0.635918735346172","0.512086398125529","0.759751072566816"
"3","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","19","","",""
"3","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","13","","",""
"3","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","29","","",""
"4","1984","1-pers.-HH","(0) in school","","","",""
"4","1984","1-pers.-HH","(1a) inadequately completed","4","","",""
"4","1984","1-pers.-HH","(1b) general elementary school","38","0.11382162004028","0.0811051256543181","0.146538114426243"
"4","1984","1-pers.-HH","(1c) basic vocational qualification","38","0.103168398935632","0.0736531258187997","0.132683672052464"
"4","1984","1-pers.-HH","(2b) intermediate general qualification","3","","",""
"4","1984","1-pers.-HH","(2a) intermediate vocational","19","","",""
"4","1984","1-pers.-HH","(2c_gen) general maturity certificate","3","","",""
"4","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","7","","",""
"4","1984","1-pers.-HH","(3a) lower tertiary education","3","","",""
"4","1984","1-pers.-HH","(3b) higher tertiary education","7","","",""
"4","1984","(Married) couple without C. ","(0) in school","","","",""
"4","1984","(Married) couple without C. ","(1a) inadequately completed","6","","",""
"4","1984","(Married) couple without C. ","(1b) general elementary school","44","0.0781650642805821","0.0575449758750684","0.0987851526860957"
"4","1984","(Married) couple without C. ","(1c) basic vocational qualification","78","0.0732219618617944","0.0578902423541055","0.0885536813694833"
"4","1984","(Married) couple without C. ","(2b) intermediate general qualification","6","","",""
"4","1984","(Married) couple without C. ","(2a) intermediate vocational","25","","",""
"4","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","2","","",""
"4","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","14","","",""
"4","1984","(Married) couple without C. ","(3a) lower tertiary education","8","","",""
"4","1984","(Married) couple without C. ","(3b) higher tertiary education","8","","",""
"4","1984","Single parent ","(0) in school","","","",""
"4","1984","Single parent ","(1a) inadequately completed","4","","",""
"4","1984","Single parent ","(1b) general elementary school","5","","",""
"4","1984","Single parent ","(1c) basic vocational qualification","13","","",""
"4","1984","Single parent ","(2b) intermediate general qualification","3","","",""
"4","1984","Single parent ","(2a) intermediate vocational","3","","",""
"4","1984","Single parent ","(2c_gen) general maturity certificate","2","","",""
"4","1984","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"4","1984","Single parent ","(3a) lower tertiary education","1","","",""
"4","1984","Single parent ","(3b) higher tertiary education","1","","",""
"4","1984","Couple + C. LE 16 ","(0) in school","","","",""
"4","1984","Couple + C. LE 16 ","(1a) inadequately completed","12","","",""
"4","1984","Couple + C. LE 16 ","(1b) general elementary school","16","","",""
"4","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","50","0.0457027679475413","0.0337362376701908","0.0576692982248918"
"4","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","2","","",""
"4","1984","Couple + C. LE 16 ","(2a) intermediate vocational","19","","",""
"4","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","1","","",""
"4","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","7","","",""
"4","1984","Couple + C. LE 16 ","(3a) lower tertiary education","4","","",""
"4","1984","Couple + C. LE 16 ","(3b) higher tertiary education","4","","",""
"4","1984","Couple + C. GT 16 ","(0) in school","5","","",""
"4","1984","Couple + C. GT 16 ","(1a) inadequately completed","2","","",""
"4","1984","Couple + C. GT 16 ","(1b) general elementary school","29","","",""
"4","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","35","0.0542022631253856","0.0370580113896478","0.0713465148611235"
"4","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","17","","",""
"4","1984","Couple + C. GT 16 ","(2a) intermediate vocational","12","","",""
"4","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","4","","",""
"4","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","2","","",""
"4","1984","Couple + C. GT 16 ","(3a) lower tertiary education","3","","",""
"4","1984","Couple + C. GT 16 ","(3b) higher tertiary education","2","","",""
"4","1984","Couple + C. LE and GT 16","(0) in school","2","","",""
"4","1984","Couple + C. LE and GT 16","(1a) inadequately completed","4","","",""
"4","1984","Couple + C. LE and GT 16","(1b) general elementary school","8","","",""
"4","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","16","","",""
"4","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","3","","",""
"4","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","4","","",""
"4","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","1","","",""
"4","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"4","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","1","","",""
"4","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","2","","",""
"5","1984","1-pers.-HH","(0) in school","","","",""
"5","1984","1-pers.-HH","(1a) inadequately completed","1","","",""
"5","1984","1-pers.-HH","(1b) general elementary school","10","","",""
"5","1984","1-pers.-HH","(1c) basic vocational qualification","9","","",""
"5","1984","1-pers.-HH","(2b) intermediate general qualification","","","",""
"5","1984","1-pers.-HH","(2a) intermediate vocational","8","","",""
"5","1984","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"5","1984","1-pers.-HH","(2c_voc) vocational maturity certificate","1","","",""
"5","1984","1-pers.-HH","(3a) lower tertiary education","","","",""
"5","1984","1-pers.-HH","(3b) higher tertiary education","5","","",""
"5","1984","(Married) couple without C. ","(0) in school","","","",""
"5","1984","(Married) couple without C. ","(1a) inadequately completed","1","","",""
"5","1984","(Married) couple without C. ","(1b) general elementary school","6","","",""
"5","1984","(Married) couple without C. ","(1c) basic vocational qualification","4","","",""
"5","1984","(Married) couple without C. ","(2b) intermediate general qualification","1","","",""
"5","1984","(Married) couple without C. ","(2a) intermediate vocational","4","","",""
"5","1984","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"5","1984","(Married) couple without C. ","(2c_voc) vocational maturity certificate","2","","",""
"5","1984","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"5","1984","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"5","1984","Single parent ","(0) in school","","","",""
"5","1984","Single parent ","(1a) inadequately completed","","","",""
"5","1984","Single parent ","(1b) general elementary school","","","",""
"5","1984","Single parent ","(1c) basic vocational qualification","4","","",""
"5","1984","Single parent ","(2b) intermediate general qualification","","","",""
"5","1984","Single parent ","(2a) intermediate vocational","1","","",""
"5","1984","Single parent ","(2c_gen) general maturity certificate","1","","",""
"5","1984","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"5","1984","Single parent ","(3a) lower tertiary education","","","",""
"5","1984","Single parent ","(3b) higher tertiary education","","","",""
"5","1984","Couple + C. LE 16 ","(0) in school","","","",""
"5","1984","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"5","1984","Couple + C. LE 16 ","(1b) general elementary school","2","","",""
"5","1984","Couple + C. LE 16 ","(1c) basic vocational qualification","7","","",""
"5","1984","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"5","1984","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"5","1984","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"5","1984","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"5","1984","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"5","1984","Couple + C. LE 16 ","(3b) higher tertiary education","1","","",""
"5","1984","Couple + C. GT 16 ","(0) in school","1","","",""
"5","1984","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"5","1984","Couple + C. GT 16 ","(1b) general elementary school","1","","",""
"5","1984","Couple + C. GT 16 ","(1c) basic vocational qualification","2","","",""
"5","1984","Couple + C. GT 16 ","(2b) intermediate general qualification","1","","",""
"5","1984","Couple + C. GT 16 ","(2a) intermediate vocational","1","","",""
"5","1984","Couple + C. GT 16 ","(2c_gen) general maturity certificate","3","","",""
"5","1984","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"5","1984","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"5","1984","Couple + C. GT 16 ","(3b) higher tertiary education","2","","",""
"5","1984","Couple + C. LE and GT 16","(0) in school","","","",""
"5","1984","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"5","1984","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"5","1984","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"5","1984","Couple + C. LE and GT 16","(2b) intermediate general qualification","1","","",""
"5","1984","Couple + C. LE and GT 16","(2a) intermediate vocational","5","","",""
"5","1984","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","1","","",""
"5","1984","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","1","","",""
"5","1984","Couple + C. LE and GT 16","(3a) lower tertiary education","1","","",""
"5","1984","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"1","1985","1-pers.-HH","(0) in school","","","",""
"1","1985","1-pers.-HH","(1a) inadequately completed","9","","",""
"1","1985","1-pers.-HH","(1b) general elementary school","3","","",""
"1","1985","1-pers.-HH","(1c) basic vocational qualification","11","","",""
"1","1985","1-pers.-HH","(2b) intermediate general qualification","","","",""
"1","1985","1-pers.-HH","(2a) intermediate vocational","4","","",""
"1","1985","1-pers.-HH","(2c_gen) general maturity certificate","1","","",""
"1","1985","1-pers.-HH","(2c_voc) vocational maturity certificate","6","","",""
"1","1985","1-pers.-HH","(3a) lower tertiary education","","","",""
"1","1985","1-pers.-HH","(3b) higher tertiary education","4","","",""
"1","1985","(Married) couple without C. ","(0) in school","","","",""
"1","1985","(Married) couple without C. ","(1a) inadequately completed","3","","",""
"1","1985","(Married) couple without C. ","(1b) general elementary school","7","","",""
"1","1985","(Married) couple without C. ","(1c) basic vocational qualification","14","","",""
"1","1985","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"1","1985","(Married) couple without C. ","(2a) intermediate vocational","4","","",""
"1","1985","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"1","1985","(Married) couple without C. ","(2c_voc) vocational maturity certificate","8","","",""
"1","1985","(Married) couple without C. ","(3a) lower tertiary education","2","","",""
"1","1985","(Married) couple without C. ","(3b) higher tertiary education","3","","",""
"1","1985","Single parent ","(0) in school","","","",""
"1","1985","Single parent ","(1a) inadequately completed","4","","",""
"1","1985","Single parent ","(1b) general elementary school","7","","",""
"1","1985","Single parent ","(1c) basic vocational qualification","1","","",""
"1","1985","Single parent ","(2b) intermediate general qualification","1","","",""
"1","1985","Single parent ","(2a) intermediate vocational","","","",""
"1","1985","Single parent ","(2c_gen) general maturity certificate","2","","",""
"1","1985","Single parent ","(2c_voc) vocational maturity certificate","1","","",""
"1","1985","Single parent ","(3a) lower tertiary education","","","",""
"1","1985","Single parent ","(3b) higher tertiary education","2","","",""
"1","1985","Couple + C. LE 16 ","(0) in school","1","","",""
"1","1985","Couple + C. LE 16 ","(1a) inadequately completed","20","","",""
"1","1985","Couple + C. LE 16 ","(1b) general elementary school","39","0.0549473476653769","0.0352472716924628","0.074647423638291"
"1","1985","Couple + C. LE 16 ","(1c) basic vocational qualification","45","0.0371087356463371","0.0254968993611236","0.0487205719315506"
"1","1985","Couple + C. LE 16 ","(2b) intermediate general qualification","2","","",""
"1","1985","Couple + C. LE 16 ","(2a) intermediate vocational","14","","",""
"1","1985","Couple + C. LE 16 ","(2c_gen) general maturity certificate","4","","",""
"1","1985","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","6","","",""
"1","1985","Couple + C. LE 16 ","(3a) lower tertiary education","4","","",""
"1","1985","Couple + C. LE 16 ","(3b) higher tertiary education","12","","",""
"1","1985","Couple + C. GT 16 ","(0) in school","2","","",""
"1","1985","Couple + C. GT 16 ","(1a) inadequately completed","9","","",""
"1","1985","Couple + C. GT 16 ","(1b) general elementary school","30","0.0430896048417488","0.024349081616424","0.0618301280670737"
"1","1985","Couple + C. GT 16 ","(1c) basic vocational qualification","16","","",""
"1","1985","Couple + C. GT 16 ","(2b) intermediate general qualification","4","","",""
"1","1985","Couple + C. GT 16 ","(2a) intermediate vocational","1","","",""
"1","1985","Couple + C. GT 16 ","(2c_gen) general maturity certificate","2","","",""
"1","1985","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","1","","",""
"1","1985","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"1","1985","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"1","1985","Couple + C. LE and GT 16","(0) in school","2","","",""
"1","1985","Couple + C. LE and GT 16","(1a) inadequately completed","10","","",""
