"hlf0071_h","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"2","1984","Lower Saxony","no migration background","117","0.106148731702563","0.0873099460696301","0.124987517335496"
"2","1984","Lower Saxony","direct migration background","47","0.146628304848879","0.0978473350456486","0.195409274652109"
"2","1984","Lower Saxony","indirect migration background","3","","",""
"2","1984","Bremen","no migration background","18","","",""
"2","1984","Bremen","direct migration background","1","","",""
"2","1984","Bremen","indirect migration background","","","",""
"2","1984","North Rhine-Westphalia","no migration background","322","0.130992932692083","0.117113530866953","0.144872334517212"
"2","1984","North Rhine-Westphalia","direct migration background","214","0.190066670268391","0.165221444057807","0.214911896478975"
"2","1984","North Rhine-Westphalia","indirect migration background","6","","",""
"2","1984","Hesse","no migration background","84","0.0933109869177606","0.0726723319804627","0.113949641855058"
"2","1984","Hesse","direct migration background","106","0.187443029397006","0.152235248803591","0.222650809990421"
"2","1984","Hesse","indirect migration background","3","","",""
"2","1984","Rhineland-Palatinate,Saarland","no migration background","62","0.083919484301426","0.0633206948995717","0.10451827370328"
"2","1984","Rhineland-Palatinate,Saarland","direct migration background","35","0.172527363559954","0.11265751094195","0.232397216177959"
"2","1984","Rhineland-Palatinate,Saarland","indirect migration background","1","","",""
"2","1984","Baden-Württemberg","no migration background","174","0.114889310938659","0.097866089439166","0.131912532438151"
"2","1984","Baden-Württemberg","direct migration background","194","0.170862021694183","0.146120102450276","0.19560394093809"
"2","1984","Baden-Württemberg","indirect migration background","7","","",""
"2","1984","Bavaria","no migration background","252","0.146565180634029","0.129353501202462","0.163776860065597"
"2","1984","Bavaria","direct migration background","105","0.242286641649948","0.203089088716063","0.281484194583834"
"2","1984","Bavaria","indirect migration background","5","","",""
"2","1984","Berlin","no migration background","61","0.187385752152755","0.142628113596223","0.232143390709286"
"2","1984","Berlin","direct migration background","54","0.395666083474499","0.30706111886681","0.484271048082188"
"2","1984","Berlin","indirect migration background","","","",""
"2","1984","Brandenburg","no migration background","","","",""
"2","1984","Brandenburg","direct migration background","","","",""
"2","1984","Brandenburg","indirect migration background","","","",""
"2","1984","Mecklenburg-Western Pomerania","no migration background","","","",""
"2","1984","Mecklenburg-Western Pomerania","direct migration background","","","",""
"2","1984","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"2","1984","Saxony","no migration background","","","",""
"2","1984","Saxony","direct migration background","","","",""
"2","1984","Saxony","indirect migration background","","","",""
"2","1984","Saxony-Anhalt","no migration background","","","",""
"2","1984","Saxony-Anhalt","direct migration background","","","",""
"2","1984","Saxony-Anhalt","indirect migration background","","","",""
"2","1984","Thuringia","no migration background","","","",""
"2","1984","Thuringia","direct migration background","","","",""
"2","1984","Thuringia","indirect migration background","","","",""
"3","1984","Schleswig-Holstein","no migration background","239","0.681399017757001","0.632018078664699","0.730779956849303"
"3","1984","Schleswig-Holstein","direct migration background","26","","",""
"3","1984","Schleswig-Holstein","indirect migration background","2","","",""
"3","1984","Hamburg","no migration background","154","0.72702546671231","0.668158368454829","0.785892564969791"
"3","1984","Hamburg","direct migration background","67","0.665991271917507","0.568550657689437","0.763431886145576"
"3","1984","Hamburg","indirect migration background","1","","",""
"3","1984","Lower Saxony","no migration background","788","0.777228343259196","0.751779552473612","0.802677134044779"
"3","1984","Lower Saxony","direct migration background","144","0.802179454715596","0.747245119793695","0.857113789637497"
"3","1984","Lower Saxony","indirect migration background","4","","",""
"3","1984","Bremen","no migration background","70","0.757703207997194","0.672871453689593","0.842534962304795"
"3","1984","Bremen","direct migration background","28","","",""
"3","1984","Bremen","indirect migration background","","","",""
"3","1984","North Rhine-Westphalia","no migration background","1728","0.768003940795214","0.750639644388842","0.785368237201587"
"3","1984","North Rhine-Westphalia","direct migration background","624","0.6820747268164","0.65258682703146","0.71156262660134"
"3","1984","North Rhine-Westphalia","indirect migration background","31","0.889828811308394","0.79279896472355","0.986858657893238"
"3","1984","Hesse","no migration background","614","0.818282374998413","0.790921124222669","0.845643625774157"
"3","1984","Hesse","direct migration background","309","0.720579603785693","0.68009898650615","0.761060221065237"
"3","1984","Hesse","indirect migration background","7","","",""
"3","1984","Rhineland-Palatinate,Saarland","no migration background","542","0.780981274659732","0.750255389338645","0.811707159980819"
"3","1984","Rhineland-Palatinate,Saarland","direct migration background","89","0.576160348132934","0.49785798826977","0.654462707996099"
"3","1984","Rhineland-Palatinate,Saarland","indirect migration background","2","","",""
"3","1984","Baden-Württemberg","no migration background","1057","0.793215149040626","0.7715950338026","0.814835264278651"
"3","1984","Baden-Württemberg","direct migration background","627","0.754755109955192","0.726473754185221","0.783036465725163"
"3","1984","Baden-Württemberg","indirect migration background","20","","",""
"3","1984","Bavaria","no migration background","1227","0.763424846720665","0.74274294945815","0.784106743983179"
"3","1984","Bavaria","direct migration background","302","0.651770960441773","0.608187496520796","0.695354424362751"
"3","1984","Bavaria","indirect migration background","21","","",""
"3","1984","Berlin","no migration background","203","0.719984346234916","0.668484095006643","0.771484597463189"
"3","1984","Berlin","direct migration background","53","0.48768370871769","0.397111831876312","0.578255585559069"
"3","1984","Berlin","indirect migration background","2","","",""
"3","1984","Brandenburg","no migration background","","","",""
"3","1984","Brandenburg","direct migration background","","","",""
"3","1984","Brandenburg","indirect migration background","","","",""
"3","1984","Mecklenburg-Western Pomerania","no migration background","","","",""
"3","1984","Mecklenburg-Western Pomerania","direct migration background","","","",""
"3","1984","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"3","1984","Saxony","no migration background","","","",""
"3","1984","Saxony","direct migration background","","","",""
"3","1984","Saxony","indirect migration background","","","",""
"3","1984","Saxony-Anhalt","no migration background","","","",""
"3","1984","Saxony-Anhalt","direct migration background","","","",""
"3","1984","Saxony-Anhalt","indirect migration background","","","",""
"3","1984","Thuringia","no migration background","","","",""
"3","1984","Thuringia","direct migration background","","","",""
"3","1984","Thuringia","indirect migration background","","","",""
"4","1984","Schleswig-Holstein","no migration background","33","0.116256874283324","0.0822859484310703","0.150227800135578"
"4","1984","Schleswig-Holstein","direct migration background","9","","",""
"4","1984","Schleswig-Holstein","indirect migration background","","","",""
"4","1984","Hamburg","no migration background","11","","",""
"4","1984","Hamburg","direct migration background","1","","",""
"4","1984","Hamburg","indirect migration background","","","",""
"4","1984","Lower Saxony","no migration background","78","0.075544600394225","0.0593821365978925","0.0917070641905575"
"4","1984","Lower Saxony","direct migration background","5","","",""
"4","1984","Lower Saxony","indirect migration background","","","",""
"4","1984","Bremen","no migration background","8","","",""
"4","1984","Bremen","direct migration background","","","",""
"4","1984","Bremen","indirect migration background","","","",""
"4","1984","North Rhine-Westphalia","no migration background","149","0.0711976516132149","0.060619016207424","0.0817762870190057"
"4","1984","North Rhine-Westphalia","direct migration background","26","","",""
"4","1984","North Rhine-Westphalia","indirect migration background","1","","",""
"4","1984","Hesse","no migration background","47","0.0650966573886636","0.0475922052451137","0.0826011095322136"
"4","1984","Hesse","direct migration background","10","","",""
"4","1984","Hesse","indirect migration background","1","","",""
"4","1984","Rhineland-Palatinate,Saarland","no migration background","68","0.099394453358491","0.0771668901114066","0.121622016605575"
"4","1984","Rhineland-Palatinate,Saarland","direct migration background","10","","",""
"4","1984","Rhineland-Palatinate,Saarland","indirect migration background","1","","",""
"4","1984","Baden-Württemberg","no migration background","78","0.064569894335157","0.0514501958493062","0.0776895928210079"
"4","1984","Baden-Württemberg","direct migration background","11","","",""
"4","1984","Baden-Württemberg","indirect migration background","","","",""
"4","1984","Bavaria","no migration background","91","0.0604870251302916","0.0488857648650077","0.0720882853955755"
"4","1984","Bavaria","direct migration background","14","","",""
"4","1984","Bavaria","indirect migration background","1","","",""
"4","1984","Berlin","no migration background","15","","",""
"4","1984","Berlin","direct migration background","2","","",""
"4","1984","Berlin","indirect migration background","","","",""
"4","1984","Brandenburg","no migration background","","","",""
"4","1984","Brandenburg","direct migration background","","","",""
"4","1984","Brandenburg","indirect migration background","","","",""
"4","1984","Mecklenburg-Western Pomerania","no migration background","","","",""
"4","1984","Mecklenburg-Western Pomerania","direct migration background","","","",""
"4","1984","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"4","1984","Saxony","no migration background","","","",""
"4","1984","Saxony","direct migration background","","","",""
"4","1984","Saxony","indirect migration background","","","",""
"4","1984","Saxony-Anhalt","no migration background","","","",""
"4","1984","Saxony-Anhalt","direct migration background","","","",""
"4","1984","Saxony-Anhalt","indirect migration background","","","",""
"4","1984","Thuringia","no migration background","","","",""
"4","1984","Thuringia","direct migration background","","","",""
"4","1984","Thuringia","indirect migration background","","","",""
"5","1984","Schleswig-Holstein","no migration background","6","","",""
"5","1984","Schleswig-Holstein","direct migration background","","","",""
"5","1984","Schleswig-Holstein","indirect migration background","","","",""
"5","1984","Hamburg","no migration background","","","",""
"5","1984","Hamburg","direct migration background","","","",""
"5","1984","Hamburg","indirect migration background","","","",""
"5","1984","Lower Saxony","no migration background","16","","",""
"5","1984","Lower Saxony","direct migration background","","","",""
"5","1984","Lower Saxony","indirect migration background","","","",""
"5","1984","Bremen","no migration background","","","",""
"5","1984","Bremen","direct migration background","","","",""
"5","1984","Bremen","indirect migration background","","","",""
"5","1984","North Rhine-Westphalia","no migration background","22","","",""
"5","1984","North Rhine-Westphalia","direct migration background","1","","",""
"5","1984","North Rhine-Westphalia","indirect migration background","","","",""
"5","1984","Hesse","no migration background","6","","",""
"5","1984","Hesse","direct migration background","","","",""
"5","1984","Hesse","indirect migration background","","","",""
"5","1984","Rhineland-Palatinate,Saarland","no migration background","10","","",""
"5","1984","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"5","1984","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"5","1984","Baden-Württemberg","no migration background","7","","",""
"5","1984","Baden-Württemberg","direct migration background","2","","",""
"5","1984","Baden-Württemberg","indirect migration background","","","",""
"5","1984","Bavaria","no migration background","13","","",""
"5","1984","Bavaria","direct migration background","4","","",""
"5","1984","Bavaria","indirect migration background","","","",""
"5","1984","Berlin","no migration background","5","","",""
"5","1984","Berlin","direct migration background","1","","",""
"5","1984","Berlin","indirect migration background","","","",""
"5","1984","Brandenburg","no migration background","","","",""
"5","1984","Brandenburg","direct migration background","","","",""
"5","1984","Brandenburg","indirect migration background","","","",""
"5","1984","Mecklenburg-Western Pomerania","no migration background","","","",""
"5","1984","Mecklenburg-Western Pomerania","direct migration background","","","",""
"5","1984","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"5","1984","Saxony","no migration background","","","",""
"5","1984","Saxony","direct migration background","","","",""
"5","1984","Saxony","indirect migration background","","","",""
"5","1984","Saxony-Anhalt","no migration background","","","",""
"5","1984","Saxony-Anhalt","direct migration background","","","",""
"5","1984","Saxony-Anhalt","indirect migration background","","","",""
"5","1984","Thuringia","no migration background","","","",""
"5","1984","Thuringia","direct migration background","","","",""
"5","1984","Thuringia","indirect migration background","","","",""
"1","1985","Schleswig-Holstein","no migration background","9","","",""
"1","1985","Schleswig-Holstein","direct migration background","","","",""
"1","1985","Schleswig-Holstein","indirect migration background","","","",""
"1","1985","Hamburg","no migration background","6","","",""
"1","1985","Hamburg","direct migration background","9","","",""
"1","1985","Hamburg","indirect migration background","","","",""
"1","1985","Lower Saxony","no migration background","23","","",""
"1","1985","Lower Saxony","direct migration background","3","","",""
"1","1985","Lower Saxony","indirect migration background","","","",""
"1","1985","Bremen","no migration background","","","",""
"1","1985","Bremen","direct migration background","","","",""
"1","1985","Bremen","indirect migration background","","","",""
"1","1985","North Rhine-Westphalia","no migration background","48","0.0194041381585542","0.0135239962575295","0.0252842800595789"
"1","1985","North Rhine-Westphalia","direct migration background","64","0.0812172582725646","0.0622761547351364","0.100158361809993"
"1","1985","North Rhine-Westphalia","indirect migration background","2","","",""
"1","1985","Hesse","no migration background","12","","",""
"1","1985","Hesse","direct migration background","50","0.0892693356807817","0.0620327180240397","0.116505953337524"
"1","1985","Hesse","indirect migration background","","","",""
"1","1985","Rhineland-Palatinate,Saarland","no migration background","26","","",""
"1","1985","Rhineland-Palatinate,Saarland","direct migration background","16","","",""
"1","1985","Rhineland-Palatinate,Saarland","indirect migration background","3","","",""
"1","1985","Baden-Württemberg","no migration background","26","","",""
"1","1985","Baden-Württemberg","direct migration background","36","0.0343904435678952","0.0217071757317021","0.0470737114040882"
"1","1985","Baden-Württemberg","indirect migration background","2","","",""
"1","1985","Bavaria","no migration background","27","","",""
"1","1985","Bavaria","direct migration background","20","","",""
"1","1985","Bavaria","indirect migration background","1","","",""
"1","1985","Berlin","no migration background","12","","",""
"1","1985","Berlin","direct migration background","12","","",""
"1","1985","Berlin","indirect migration background","1","","",""
"1","1985","Brandenburg","no migration background","","","",""
"1","1985","Brandenburg","direct migration background","","","",""
"1","1985","Brandenburg","indirect migration background","","","",""
"1","1985","Mecklenburg-Western Pomerania","no migration background","","","",""
"1","1985","Mecklenburg-Western Pomerania","direct migration background","","","",""
"1","1985","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"1","1985","Saxony","no migration background","","","",""
"1","1985","Saxony","direct migration background","","","",""
"1","1985","Saxony","indirect migration background","","","",""
"1","1985","Saxony-Anhalt","no migration background","","","",""
"1","1985","Saxony-Anhalt","direct migration background","","","",""
"1","1985","Saxony-Anhalt","indirect migration background","","","",""
"1","1985","Thuringia","no migration background","","","",""
"1","1985","Thuringia","direct migration background","","","",""
"1","1985","Thuringia","indirect migration background","","","",""
"2","1985","Schleswig-Holstein","no migration background","30","0.0899047527892258","0.058164853618141","0.12164465196031"
"2","1985","Schleswig-Holstein","direct migration background","11","","",""
"2","1985","Schleswig-Holstein","indirect migration background","","","",""
"2","1985","Hamburg","no migration background","48","0.200445548990957","0.146040569033445","0.25485052894847"
"2","1985","Hamburg","direct migration background","19","","",""
"2","1985","Hamburg","indirect migration background","","","",""
"2","1985","Lower Saxony","no migration background","71","0.0690886585748291","0.052885084447275","0.0852922327023831"
"2","1985","Lower Saxony","direct migration background","23","","",""
"2","1985","Lower Saxony","indirect migration background","","","",""
"2","1985","Bremen","no migration background","11","","",""
"2","1985","Bremen","direct migration background","13","","",""
"2","1985","Bremen","indirect migration background","","","",""
"2","1985","North Rhine-Westphalia","no migration background","285","0.122664068723115","0.108679881149118","0.136648256297113"
"2","1985","North Rhine-Westphalia","direct migration background","178","0.207136234067867","0.179036511965755","0.235235956169979"
"2","1985","North Rhine-Westphalia","indirect migration background","5","","",""
"2","1985","Hesse","no migration background","104","0.129891597756726","0.105004956196199","0.154778239317253"
"2","1985","Hesse","direct migration background","107","0.19820447848805","0.160124597026289","0.236284359949811"
"2","1985","Hesse","indirect migration background","2","","",""
"2","1985","Rhineland-Palatinate,Saarland","no migration background","49","0.0739664457557592","0.0535460502984516","0.0943868412130668"
"2","1985","Rhineland-Palatinate,Saarland","direct migration background","29","","",""
"2","1985","Rhineland-Palatinate,Saarland","indirect migration background","3","","",""
"2","1985","Baden-Württemberg","no migration background","126","0.0961951809592103","0.0796360160517371","0.112754345866684"
"2","1985","Baden-Württemberg","direct migration background","149","0.162060282366068","0.136412124327841","0.187708440404294"
"2","1985","Baden-Württemberg","indirect migration background","8","","",""
"2","1985","Bavaria","no migration background","205","0.123839894108823","0.107069394049764","0.140610394167883"
"2","1985","Bavaria","direct migration background","100","0.272400761182702","0.228159900557084","0.31664162180832"
"2","1985","Bavaria","indirect migration background","3","","",""
"2","1985","Berlin","no migration background","40","0.149086007676062","0.105958067093026","0.192213948259098"
"2","1985","Berlin","direct migration background","28","","",""
"2","1985","Berlin","indirect migration background","","","",""
"2","1985","Brandenburg","no migration background","","","",""
"2","1985","Brandenburg","direct migration background","","","",""
"2","1985","Brandenburg","indirect migration background","","","",""
"2","1985","Mecklenburg-Western Pomerania","no migration background","","","",""
"2","1985","Mecklenburg-Western Pomerania","direct migration background","","","",""
"2","1985","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"2","1985","Saxony","no migration background","","","",""
"2","1985","Saxony","direct migration background","","","",""
"2","1985","Saxony","indirect migration background","","","",""
"2","1985","Saxony-Anhalt","no migration background","","","",""
"2","1985","Saxony-Anhalt","direct migration background","","","",""
"2","1985","Saxony-Anhalt","indirect migration background","","","",""
"2","1985","Thuringia","no migration background","","","",""
"2","1985","Thuringia","direct migration background","","","",""
"2","1985","Thuringia","indirect migration background","","","",""
"3","1985","Schleswig-Holstein","no migration background","234","0.750969889856783","0.702984615028777","0.798955164684789"
"3","1985","Schleswig-Holstein","direct migration background","27","","",""
"3","1985","Schleswig-Holstein","indirect migration background","1","","",""
"3","1985","Hamburg","no migration background","142","0.709943935570018","0.648274577834515","0.771613293305522"
"3","1985","Hamburg","direct migration background","39","0.54367984255689","0.425293916087574","0.662065769026206"
"3","1985","Hamburg","indirect migration background","2","","",""
"3","1985","Lower Saxony","no migration background","756","0.807085270848593","0.78187394509814","0.832296596599045"
"3","1985","Lower Saxony","direct migration background","115","0.72717621808053","0.65636741668128","0.797985019479781"
"3","1985","Lower Saxony","indirect migration background","8","","",""
"3","1985","Bremen","no migration background","68","0.784590442286797","0.699656589031772","0.869524295541822"
"3","1985","Bremen","direct migration background","13","","",""
"3","1985","Bremen","indirect migration background","","","",""
"3","1985","North Rhine-Westphalia","no migration background","1635","0.783732974865568","0.766183068142394","0.801282881588741"
"3","1985","North Rhine-Westphalia","direct migration background","541","0.693124371961987","0.661145621840455","0.725103122083518"
"3","1985","North Rhine-Westphalia","indirect migration background","35","0.898958060581839","0.809906342038296","0.988009779125383"
"3","1985","Hesse","no migration background","535","0.774760619532017","0.74383666593058","0.805684573133454"
"3","1985","Hesse","direct migration background","258","0.672717335667122","0.627895993856056","0.717538677478187"
"3","1985","Hesse","indirect migration background","9","","",""
"3","1985","Rhineland-Palatinate,Saarland","no migration background","504","0.799923285267411","0.768708823215393","0.831137747319428"
"3","1985","Rhineland-Palatinate,Saarland","direct migration background","81","0.668620633298108","0.588015061652334","0.749226204943881"
"3","1985","Rhineland-Palatinate,Saarland","indirect migration background","3","","",""
"3","1985","Baden-Württemberg","no migration background","970","0.800950233758208","0.778526493765694","0.823373973750723"
"3","1985","Baden-Württemberg","direct migration background","595","0.768660595229493","0.739310898826322","0.798010291632664"
"3","1985","Baden-Württemberg","indirect migration background","24","","",""
"3","1985","Bavaria","no migration background","1124","0.769186265452419","0.747734127871599","0.790638403033239"
"3","1985","Bavaria","direct migration background","249","0.636562593395911","0.58876471060369","0.684360476188132"
"3","1985","Bavaria","indirect migration background","27","","",""
"3","1985","Berlin","no migration background","192","0.764059977022033","0.712648275255381","0.815471678788685"
"3","1985","Berlin","direct migration background","58","0.615563628659784","0.519738545695833","0.711388711623736"
"3","1985","Berlin","indirect migration background","3","","",""
"3","1985","Brandenburg","no migration background","","","",""
"3","1985","Brandenburg","direct migration background","","","",""
"3","1985","Brandenburg","indirect migration background","","","",""
"3","1985","Mecklenburg-Western Pomerania","no migration background","","","",""
"3","1985","Mecklenburg-Western Pomerania","direct migration background","","","",""
"3","1985","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"3","1985","Saxony","no migration background","","","",""
"3","1985","Saxony","direct migration background","","","",""
"3","1985","Saxony","indirect migration background","","","",""
"3","1985","Saxony-Anhalt","no migration background","","","",""
"3","1985","Saxony-Anhalt","direct migration background","","","",""
"3","1985","Saxony-Anhalt","indirect migration background","","","",""
"3","1985","Thuringia","no migration background","","","",""
"3","1985","Thuringia","direct migration background","","","",""
"3","1985","Thuringia","indirect migration background","","","",""
"4","1985","Schleswig-Holstein","no migration background","37","0.125711681743876","0.0889253951522897","0.162497968335462"
"4","1985","Schleswig-Holstein","direct migration background","1","","",""
"4","1985","Schleswig-Holstein","indirect migration background","","","",""
"4","1985","Hamburg","no migration background","12","","",""
"4","1985","Hamburg","direct migration background","1","","",""
"4","1985","Hamburg","indirect migration background","","","",""
"4","1985","Lower Saxony","no migration background","83","0.0942636475459867","0.0755944221447924","0.112932872947181"
"4","1985","Lower Saxony","direct migration background","9","","",""
"4","1985","Lower Saxony","indirect migration background","","","",""
"4","1985","Bremen","no migration background","11","","",""
"4","1985","Bremen","direct migration background","","","",""
"4","1985","Bremen","indirect migration background","","","",""
"4","1985","North Rhine-Westphalia","no migration background","127","0.0623278012851865","0.052022468454166","0.072633134116207"
"4","1985","North Rhine-Westphalia","direct migration background","11","","",""
"4","1985","North Rhine-Westphalia","indirect migration background","2","","",""
"4","1985","Hesse","no migration background","47","0.0714585242203611","0.0523900142973973","0.0905270341433248"
"4","1985","Hesse","direct migration background","4","","",""
"4","1985","Hesse","indirect migration background","","","",""
"4","1985","Rhineland-Palatinate,Saarland","no migration background","45","0.0764221579034798","0.0556930881862232","0.0971512276207363"
"4","1985","Rhineland-Palatinate,Saarland","direct migration background","1","","",""
"4","1985","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"4","1985","Baden-Württemberg","no migration background","86","0.0731478019816341","0.0585250090803746","0.0877705948828937"
"4","1985","Baden-Württemberg","direct migration background","12","","",""
"4","1985","Baden-Württemberg","indirect migration background","","","",""
"4","1985","Bavaria","no migration background","114","0.0809442268182045","0.0670578846464832","0.0948305689899259"
"4","1985","Bavaria","direct migration background","20","","",""
"4","1985","Bavaria","indirect migration background","","","",""
"4","1985","Berlin","no migration background","13","","",""
"4","1985","Berlin","direct migration background","","","",""
"4","1985","Berlin","indirect migration background","","","",""
"4","1985","Brandenburg","no migration background","","","",""
"4","1985","Brandenburg","direct migration background","","","",""
"4","1985","Brandenburg","indirect migration background","","","",""
"4","1985","Mecklenburg-Western Pomerania","no migration background","","","",""
"4","1985","Mecklenburg-Western Pomerania","direct migration background","","","",""
"4","1985","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"4","1985","Saxony","no migration background","","","",""
"4","1985","Saxony","direct migration background","","","",""
"4","1985","Saxony","indirect migration background","","","",""
"4","1985","Saxony-Anhalt","no migration background","","","",""
"4","1985","Saxony-Anhalt","direct migration background","","","",""
"4","1985","Saxony-Anhalt","indirect migration background","","","",""
"4","1985","Thuringia","no migration background","","","",""
"4","1985","Thuringia","direct migration background","","","",""
"4","1985","Thuringia","indirect migration background","","","",""
"5","1985","Schleswig-Holstein","no migration background","2","","",""
"5","1985","Schleswig-Holstein","direct migration background","","","",""
"5","1985","Schleswig-Holstein","indirect migration background","","","",""
"5","1985","Hamburg","no migration background","","","",""
"5","1985","Hamburg","direct migration background","","","",""
"5","1985","Hamburg","indirect migration background","","","",""
"5","1985","Lower Saxony","no migration background","8","","",""
"5","1985","Lower Saxony","direct migration background","2","","",""
"5","1985","Lower Saxony","indirect migration background","","","",""
"5","1985","Bremen","no migration background","","","",""
"5","1985","Bremen","direct migration background","","","",""
"5","1985","Bremen","indirect migration background","","","",""
"5","1985","North Rhine-Westphalia","no migration background","19","","",""
"5","1985","North Rhine-Westphalia","direct migration background","5","","",""
"5","1985","North Rhine-Westphalia","indirect migration background","","","",""
"5","1985","Hesse","no migration background","3","","",""
"5","1985","Hesse","direct migration background","2","","",""
"5","1985","Hesse","indirect migration background","","","",""
"5","1985","Rhineland-Palatinate,Saarland","no migration background","7","","",""
"5","1985","Rhineland-Palatinate,Saarland","direct migration background","4","","",""
"5","1985","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"5","1985","Baden-Württemberg","no migration background","10","","",""
"5","1985","Baden-Württemberg","direct migration background","1","","",""
"5","1985","Baden-Württemberg","indirect migration background","","","",""
"5","1985","Bavaria","no migration background","12","","",""
"5","1985","Bavaria","direct migration background","","","",""
"5","1985","Bavaria","indirect migration background","","","",""
"5","1985","Berlin","no migration background","5","","",""
"5","1985","Berlin","direct migration background","1","","",""
"5","1985","Berlin","indirect migration background","","","",""
"5","1985","Brandenburg","no migration background","","","",""
"5","1985","Brandenburg","direct migration background","","","",""
"5","1985","Brandenburg","indirect migration background","","","",""
"5","1985","Mecklenburg-Western Pomerania","no migration background","","","",""
"5","1985","Mecklenburg-Western Pomerania","direct migration background","","","",""
"5","1985","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"5","1985","Saxony","no migration background","","","",""
"5","1985","Saxony","direct migration background","","","",""
"5","1985","Saxony","indirect migration background","","","",""
"5","1985","Saxony-Anhalt","no migration background","","","",""
"5","1985","Saxony-Anhalt","direct migration background","","","",""
"5","1985","Saxony-Anhalt","indirect migration background","","","",""
"5","1985","Thuringia","no migration background","","","",""
"5","1985","Thuringia","direct migration background","","","",""
"5","1985","Thuringia","indirect migration background","","","",""
"1","1986","Schleswig-Holstein","no migration background","","","",""
"1","1986","Schleswig-Holstein","direct migration background","","","",""
"1","1986","Schleswig-Holstein","indirect migration background","","","",""
"1","1986","Hamburg","no migration background","","","",""
"1","1986","Hamburg","direct migration background","","","",""
