"hlf0071_h","year","education","n","percent","lower_confidence","upper_confidence"
"2","1985","secondary school degree","270","0.131218101519774","0.115939488510977","0.146496714528571"
"2","1985","college entrance qualification","206","0.152344651308488","0.132212942451128","0.172476360165848"
"2","1985","Other degree","279","0.221762063703491","0.198412373146856","0.245111754260127"
"2","1985","no degree/no degree yet","217","0.154439089215778","0.132996028240379","0.175882150191177"
"3","1985","lower secondary degree","4289","0.79964036770841","0.789029137283343","0.810251598133478"
"3","1985","secondary school degree","1392","0.752488817538946","0.732959857727062","0.77201777735083"
"3","1985","college entrance qualification","879","0.72541471218221","0.700411880695476","0.750417543668945"
"3","1985","Other degree","807","0.652467278400467","0.62570281611993","0.679231740681005"
"3","1985","no degree/no degree yet","780","0.759103867285404","0.733729148861329","0.784478585709478"
"4","1985","lower secondary degree","337","0.0687178996071828","0.0620115090211832","0.0754242901931823"
"4","1985","secondary school degree","152","0.0857382402648739","0.0730688931712975","0.0984075873584504"
"4","1985","college entrance qualification","94","0.0824399398056622","0.0670320392882854","0.0978478403230389"
"4","1985","Other degree","25","","",""
"4","1985","no degree/no degree yet","21","","",""
"5","1985","lower secondary degree","38","0.00826527260484756","0.00586511572626733","0.0106654294834278"
"5","1985","secondary school degree","19","","",""
"5","1985","college entrance qualification","11","","",""
"5","1985","Other degree","6","","",""
"5","1985","no degree/no degree yet","6","","",""
"1","1986","lower secondary degree","23","","",""
"1","1986","secondary school degree","3","","",""
"1","1986","college entrance qualification","7","","",""
"1","1986","Other degree","9","","",""
"1","1986","no degree/no degree yet","6","","",""
"2","1986","lower secondary degree","62","0.111010853725074","0.0842406790085083","0.13778102844164"
"2","1986","secondary school degree","31","0.142578599936378","0.0975873114592831","0.187569888413473"
"2","1986","college entrance qualification","38","0.225718608322527","0.164815158080935","0.28662205856412"
"2","1986","Other degree","29","","",""
"2","1986","no degree/no degree yet","18","","",""
"3","1986","lower secondary degree","409","0.774729027774056","0.739129209096284","0.810328846451827"
"3","1986","secondary school degree","180","0.762501254769477","0.707742313886868","0.817260195652087"
"3","1986","college entrance qualification","125","0.665252114856802","0.596503990089113","0.734000239624491"
"3","1986","Other degree","125","0.718072476507516","0.650634750985444","0.785510202029589"
"3","1986","no degree/no degree yet","91","0.813093156944257","0.743343797737517","0.882842516150997"
"4","1986","lower secondary degree","33","0.0695644250473387","0.0478845383290417","0.0912443117656357"
"4","1986","secondary school degree","17","","",""
"4","1986","college entrance qualification","11","","",""
"4","1986","Other degree","8","","",""
"4","1986","no degree/no degree yet","5","","",""
"5","1986","lower secondary degree","2","","",""
"5","1986","secondary school degree","1","","",""
"5","1986","college entrance qualification","","","",""
"5","1986","Other degree","","","",""
"5","1986","no degree/no degree yet","","","",""
"1","1987","lower secondary degree","14","","",""
"1","1987","secondary school degree","5","","",""
"1","1987","college entrance qualification","7","","",""
"1","1987","Other degree","4","","",""
"1","1987","no degree/no degree yet","11","","",""
"2","1987","lower secondary degree","55","0.104200582460994","0.0750854769370716","0.133315687984916"
"2","1987","secondary school degree","19","","",""
"2","1987","college entrance qualification","34","0.160509649038811","0.10483618010759","0.216183117970032"
"2","1987","Other degree","34","0.269433708316453","0.195677858700294","0.343189557932612"
"2","1987","no degree/no degree yet","18","","",""
"3","1987","lower secondary degree","327","0.783166085571643","0.743895403121024","0.822436768022263"
"3","1987","secondary school degree","149","0.82000673329246","0.764795371688311","0.875218094896608"
"3","1987","college entrance qualification","114","0.706944909285629","0.637911825192858","0.775977993378399"
"3","1987","Other degree","96","0.678551709152669","0.600911316026783","0.756192102278555"
"3","1987","no degree/no degree yet","91","0.730867963631237","0.65311888589305","0.808617041369424"
"4","1987","lower secondary degree","26","","",""
"4","1987","secondary school degree","13","","",""
"4","1987","college entrance qualification","10","","",""
"4","1987","Other degree","2","","",""
"4","1987","no degree/no degree yet","4","","",""
"5","1987","lower secondary degree","1","","",""
"5","1987","secondary school degree","","","",""
"5","1987","college entrance qualification","2","","",""
"5","1987","Other degree","3","","",""
"5","1987","no degree/no degree yet","1","","",""
"1","1988","lower secondary degree","17","","",""
"1","1988","secondary school degree","5","","",""
"1","1988","college entrance qualification","2","","",""
"1","1988","Other degree","6","","",""
"1","1988","no degree/no degree yet","6","","",""
"2","1988","lower secondary degree","56","0.131687178553805","0.100374592455861","0.162999764651749"
"2","1988","secondary school degree","31","0.152057448392961","0.101000088457672","0.203114808328251"
"2","1988","college entrance qualification","34","0.281780880737526","0.206994083816077","0.356567677658975"
"2","1988","Other degree","23","","",""
"2","1988","no degree/no degree yet","22","","",""
"3","1988","lower secondary degree","346","0.784244528124439","0.746154109820171","0.822334946428707"
"3","1988","secondary school degree","140","0.737103751927565","0.674510459598529","0.799697044256602"
"3","1988","college entrance qualification","93","0.634325807008227","0.554260561989362","0.714391052027092"
"3","1988","Other degree","86","0.678191909462917","0.593541328776092","0.762842490149743"
"3","1988","no degree/no degree yet","66","0.693083988205673","0.601300421605481","0.784867554805865"
"4","1988","lower secondary degree","27","","",""
"4","1988","secondary school degree","13","","",""
"4","1988","college entrance qualification","10","","",""
"4","1988","Other degree","2","","",""
"4","1988","no degree/no degree yet","3","","",""
"5","1988","lower secondary degree","2","","",""
"5","1988","secondary school degree","1","","",""
"5","1988","college entrance qualification","","","",""
"5","1988","Other degree","","","",""
"5","1988","no degree/no degree yet","","","",""
"1","1989","lower secondary degree","15","","",""
"1","1989","secondary school degree","12","","",""
"1","1989","college entrance qualification","3","","",""
"1","1989","Other degree","1","","",""
"1","1989","no degree/no degree yet","7","","",""
"2","1989","lower secondary degree","47","0.103275067239233","0.0715291335980248","0.135021000880442"
"2","1989","secondary school degree","29","","",""
"2","1989","college entrance qualification","32","0.201095570442762","0.136079557991968","0.266111582893555"
"2","1989","Other degree","27","","",""
"2","1989","no degree/no degree yet","25","","",""
"3","1989","lower secondary degree","272","0.790550631910659","0.748101861909085","0.832999401912233"
"3","1989","secondary school degree","181","0.776841204304314","0.7240547767029","0.829627631905729"
"3","1989","college entrance qualification","94","0.656556585947227","0.579530941513954","0.7335822303805"
"3","1989","Other degree","81","0.634374153092372","0.546732556424639","0.722015749760105"
"3","1989","no degree/no degree yet","47","0.725044086564322","0.628404535352861","0.821683637775782"
"4","1989","lower secondary degree","15","","",""
"4","1989","secondary school degree","17","","",""
"4","1989","college entrance qualification","16","","",""
"4","1989","Other degree","7","","",""
"4","1989","no degree/no degree yet","3","","",""
"5","1989","lower secondary degree","4","","",""
"5","1989","secondary school degree","","","",""
"5","1989","college entrance qualification","1","","",""
"5","1989","Other degree","","","",""
"5","1989","no degree/no degree yet","","","",""
"1","1990","lower secondary degree","115","0.0500822519985292","0.0407267354908811","0.0594377685061773"
"1","1990","secondary school degree","206","0.089280508457672","0.0774001915032213","0.101160825412123"
"1","1990","college entrance qualification","55","0.0800863904501847","0.0600930968205841","0.100079684079785"
"1","1990","Other degree","12","","",""
"1","1990","no degree/no degree yet","10","","",""
"2","1990","lower secondary degree","333","0.147141555903075","0.131946965662924","0.162336146143226"
"2","1990","secondary school degree","624","0.262043637231866","0.24372220019905","0.280365074264683"
"2","1990","college entrance qualification","224","0.286049974320718","0.252762079886625","0.31933786875481"
"2","1990","Other degree","24","","",""
"2","1990","no degree/no degree yet","17","","",""
"3","1990","lower secondary degree","1528","0.747034685858108","0.728388770197491","0.765680601518725"
"3","1990","secondary school degree","1299","0.603371768026001","0.582990007769427","0.623753528282575"
"3","1990","college entrance qualification","398","0.578800018440925","0.542430303088121","0.61516973379373"
"3","1990","Other degree","111","0.710452812987178","0.639280171252928","0.781625454721428"
"3","1990","no degree/no degree yet","83","0.670696124215011","0.584802586538621","0.7565896618914"
"4","1990","lower secondary degree","92","0.0465128341038029","0.0374799451546401","0.0555457230529657"
"4","1990","secondary school degree","74","0.0403428992044899","0.0321450678986808","0.048540730510299"
"4","1990","college entrance qualification","29","","",""
"4","1990","Other degree","5","","",""
"4","1990","no degree/no degree yet","5","","",""
"5","1990","lower secondary degree","20","","",""
"5","1990","secondary school degree","10","","",""
"5","1990","college entrance qualification","2","","",""
"5","1990","Other degree","4","","",""
"5","1990","no degree/no degree yet","","","",""
"1","1991","lower secondary degree","160","0.0179727780513333","0.0145976830739528","0.0213478730287137"
"1","1991","secondary school degree","170","0.0412797606696303","0.0347911923761252","0.0477683289631353"
"1","1991","college entrance qualification","69","0.0280403984721523","0.0202111449659173","0.0358696519783874"
"1","1991","Other degree","90","0.0789416682357945","0.0624742241934346","0.0954091122781545"
"1","1991","no degree/no degree yet","73","0.0548607808630395","0.0395257282368813","0.0701958334891977"
"2","1991","lower secondary degree","875","0.124579800907413","0.116190056552939","0.132969545261886"
"2","1991","secondary school degree","808","0.196104466549611","0.183154224154634","0.209054708944587"
"2","1991","college entrance qualification","412","0.216517112439993","0.196984288806244","0.236049936073742"
"2","1991","Other degree","235","0.244384563838823","0.218141364769777","0.270627762907868"
"2","1991","no degree/no degree yet","204","0.209141695902803","0.18175270460149","0.236530687204117"
"3","1991","lower secondary degree","4519","0.781597312443649","0.771100990387796","0.792093634499501"
"3","1991","secondary school degree","2411","0.68305874853867","0.667882907806021","0.69823458927132"
"3","1991","college entrance qualification","1091","0.656727516667863","0.634210219441993","0.679244813893732"
"3","1991","Other degree","673","0.624840635831432","0.595272631915141","0.654408639747724"
"3","1991","no degree/no degree yet","551","0.68535145871575","0.654077999794267","0.716624917637233"
"4","1991","lower secondary degree","362","0.0688421016389223","0.0624099636088739","0.0752742396689706"
"4","1991","secondary school degree","203","0.0731487943124889","0.0646561498612889","0.0816414387636889"
"4","1991","college entrance qualification","128","0.0926859357113223","0.0789331746187192","0.106438696803926"
"4","1991","Other degree","28","","",""
"4","1991","no degree/no degree yet","15","","",""
"5","1991","lower secondary degree","36","0.00700800695868296","0.00488873464142325","0.00912727927594267"
"5","1991","secondary school degree","19","","",""
"5","1991","college entrance qualification","8","","",""
"5","1991","Other degree","4","","",""
"5","1991","no degree/no degree yet","4","","",""
"1","1992","lower secondary degree","171","0.0196592094788767","0.016084893581635","0.0232335253761185"
"1","1992","secondary school degree","172","0.0358621383746328","0.0297599698665098","0.0419643068827558"
"1","1992","college entrance qualification","62","0.0342241182750588","0.025657106747017","0.0427911298031005"
"1","1992","Other degree","87","0.0763857844079154","0.0597048571581287","0.0930667116577021"
"1","1992","no degree/no degree yet","89","0.0696656813927187","0.0524289447093064","0.086902418076131"
"2","1992","lower secondary degree","815","0.117297863207576","0.109013225710087","0.125582500705064"
"2","1992","secondary school degree","841","0.207286812421807","0.193984093508521","0.220589531335092"
"2","1992","college entrance qualification","429","0.212189069135045","0.192922803475312","0.231455334794777"
"2","1992","Other degree","234","0.235763858803713","0.209106260827044","0.262421456780382"
"2","1992","no degree/no degree yet","186","0.188019172936649","0.161564643676552","0.214473702196746"
"3","1992","lower secondary degree","4361","0.777818119847476","0.767114893305151","0.788521346389802"
"3","1992","secondary school degree","2337","0.684066387936909","0.668810286117034","0.699322489756785"
"3","1992","college entrance qualification","1093","0.655122680420564","0.632724193878257","0.67752116696287"
"3","1992","Other degree","629","0.651211075214528","0.621280790736927","0.681141359692129"
"3","1992","no degree/no degree yet","544","0.683773597125039","0.652290220172226","0.715256974077852"
"4","1992","lower secondary degree","415","0.0782359057872278","0.0713218270360586","0.085149984538397"
"4","1992","secondary school degree","205","0.0694570829819424","0.0611140682531427","0.0778000977107421"
"4","1992","college entrance qualification","136","0.0893513380927302","0.0759097371844821","0.102792939000978"
"4","1992","Other degree","23","","",""
"4","1992","no degree/no degree yet","19","","",""
"5","1992","lower secondary degree","33","0.00698890167884357","0.00484402223293541","0.00913378112475173"
"5","1992","secondary school degree","12","","",""
"5","1992","college entrance qualification","10","","",""
"5","1992","Other degree","1","","",""
"5","1992","no degree/no degree yet","","","",""
"1","1993","lower secondary degree","147","0.01634822565454","0.0130345940117212","0.0196618572973588"
"1","1993","secondary school degree","132","0.0332885820519352","0.0273708293738224","0.0392063347300479"
"1","1993","college entrance qualification","67","0.0297930070993087","0.0218045512881717","0.0377814629104456"
"1","1993","Other degree","102","0.0894897547495224","0.0714890874432432","0.107490422055802"
"1","1993","no degree/no degree yet","80","0.0690689742148214","0.0517238758219071","0.0864140726077357"
"2","1993","lower secondary degree","796","0.121869329613936","0.113321122990954","0.130417536236918"
"2","1993","secondary school degree","814","0.203968949593029","0.190676415826896","0.217261483359162"
"2","1993","college entrance qualification","424","0.228327205897685","0.208604391285933","0.248050020509438"
"2","1993","Other degree","222","0.228495071523543","0.202018161551799","0.254971981495286"
"2","1993","no degree/no degree yet","192","0.211408148924104","0.183478626042547","0.239337671805661"
"3","1993","lower secondary degree","4246","0.777963106541552","0.767102844624585","0.788823368458519"
"3","1993","secondary school degree","2347","0.680090005786782","0.664702868144765","0.695477143428799"
"3","1993","college entrance qualification","1089","0.636101722576695","0.613495564892577","0.658707880260812"
"3","1993","Other degree","598","0.635654055671973","0.605306276952927","0.666001834391019"
"3","1993","no degree/no degree yet","530","0.69284261818463","0.661287174708421","0.724398061660838"
"4","1993","lower secondary degree","403","0.0774658109882761","0.0704803592251358","0.0844512627514163"
"4","1993","secondary school degree","223","0.0776122711680982","0.0687858897102952","0.0864386526259011"
"4","1993","college entrance qualification","151","0.0995625466122942","0.0854940321738125","0.113631061050776"
"4","1993","Other degree","42","0.043645755396397","0.0307620753828575","0.0565294354099364"
"4","1993","no degree/no degree yet","19","","",""
"5","1993","lower secondary degree","34","0.0063535272016961","0.00427731556163023","0.00842973884176197"
"5","1993","secondary school degree","14","","",""
"5","1993","college entrance qualification","9","","",""
"5","1993","Other degree","2","","",""
"5","1993","no degree/no degree yet","","","",""
"1","1994","lower secondary degree","131","0.0149330305068862","0.0117050184854594","0.0181610425283129"
"1","1994","secondary school degree","140","0.0306511773496562","0.0249168245588708","0.0363855301404416"
"1","1994","college entrance qualification","66","0.0280139294124956","0.0203589149352596","0.0356689438897315"
"1","1994","Other degree","87","0.0968468127791465","0.0770576316821707","0.116635993876122"
"1","1994","no degree/no degree yet","67","0.0662262807038405","0.0490584043700121","0.083394157037669"
"2","1994","lower secondary degree","713","0.114436250038814","0.105963585470037","0.122908914607591"
"2","1994","secondary school degree","767","0.199010841747463","0.185728566636713","0.212293116858214"
"2","1994","college entrance qualification","413","0.21315541884844","0.194156816674705","0.232154021022176"
"2","1994","Other degree","172","0.201034648984878","0.174218038871155","0.2278512590986"
"2","1994","no degree/no degree yet","178","0.201616561442614","0.173918496343118","0.22931462654211"
"3","1994","lower secondary degree","4131","0.77951807374888","0.768484203297686","0.790551944200073"
"3","1994","secondary school degree","2303","0.676854835092279","0.661296347313376","0.692413322871181"
"3","1994","college entrance qualification","1150","0.649542162631549","0.627408639816311","0.671675685446786"
"3","1994","Other degree","562","0.643026954582103","0.61096893068167","0.675084978482537"
"3","1994","no degree/no degree yet","534","0.681588222315753","0.649426731601694","0.713749713029811"
"4","1994","lower secondary degree","406","0.0838798189249696","0.0765019105743035","0.0912577272756357"
"4","1994","secondary school degree","240","0.0870508348849416","0.0776723960048709","0.0964292737650122"
"4","1994","college entrance qualification","145","0.101069224128526","0.0870861850524183","0.115052263204633"
"4","1994","Other degree","33","0.0532113557074603","0.0381926284931875","0.0682300829217332"
"4","1994","no degree/no degree yet","26","","",""
"5","1994","lower secondary degree","42","0.00723282678045072","0.00497751792521555","0.00948813563568589"
"5","1994","secondary school degree","21","","",""
"5","1994","college entrance qualification","11","","",""
"5","1994","Other degree","4","","",""
"5","1994","no degree/no degree yet","1","","",""
"1","1995","lower secondary degree","123","0.0144835996102839","0.0112881561956309","0.0176790430249369"
"1","1995","secondary school degree","134","0.0294525859057474","0.02389484390092","0.0350103279105748"
"1","1995","college entrance qualification","57","0.0274383089265925","0.0200814004398116","0.0347952174133735"
"1","1995","Other degree","108","0.0909820555100224","0.0743896525235644","0.10757445849648"
"1","1995","no degree/no degree yet","42","0.0367357639021282","0.0240070546555032","0.0494644731487532"
"2","1995","lower secondary degree","666","0.108473140383096","0.100155708153682","0.11679057261251"
"2","1995","secondary school degree","748","0.195117515803534","0.182090568519792","0.208144463087277"
"2","1995","college entrance qualification","423","0.201041757824476","0.182992336579258","0.219091179069694"
"2","1995","Other degree","265","0.236737572963422","0.212212194153561","0.261262951773282"
"2","1995","no degree/no degree yet","207","0.240666916217558","0.211740710643491","0.269593121791626"
"3","1995","lower secondary degree","4116","0.773657313139611","0.762465034872332","0.784849591406891"
"3","1995","secondary school degree","2385","0.675593053836001","0.660203857207657","0.690982250464345"
"3","1995","college entrance qualification","1219","0.656104312952986","0.634711991565473","0.677496634340498"
"3","1995","Other degree","741","0.638441023978518","0.610720900964241","0.666161146992795"
"3","1995","no degree/no degree yet","556","0.657129532118432","0.625010855463454","0.689248208773409"
"4","1995","lower secondary degree","428","0.0963439293495375","0.0884521540565216","0.104235704642553"
"4","1995","secondary school degree","272","0.0924998099023968","0.0829757510381269","0.102023868766667"
"4","1995","college entrance qualification","180","0.10294760926095","0.0892616532290849","0.116633565292815"
"4","1995","Other degree","37","0.0287036396498667","0.0190700187538231","0.0383372605459102"
"4","1995","no degree/no degree yet","32","0.0587323859086391","0.0428226675870452","0.0746421042302329"
"5","1995","lower secondary degree","37","0.00704201751747139","0.00480548645436165","0.00927854858058114"
"5","1995","secondary school degree","16","","",""
"5","1995","college entrance qualification","15","","",""
"5","1995","Other degree","3","","",""
"5","1995","no degree/no degree yet","2","","",""
"1","1996","lower secondary degree","109","0.0121278321685046","0.00916306743370655","0.0150925969033026"
"1","1996","secondary school degree","120","0.0246009962286052","0.0195146293692903","0.02968736308792"
"1","1996","college entrance qualification","61","0.0252284302740194","0.0181808606277455","0.0322759999202933"
"1","1996","Other degree","70","0.061312571593112","0.0470771287347916","0.0755480144514324"
"1","1996","no degree/no degree yet","49","0.0361767606445445","0.0233726152269574","0.0489809060621315"
"2","1996","lower secondary degree","712","0.116612520603754","0.107918984075709","0.125306057131799"
"2","1996","secondary school degree","722","0.181459763944143","0.168805107277001","0.194114420611285"
"2","1996","college entrance qualification","400","0.201846690860833","0.183808340794758","0.219885040926909"
"2","1996","Other degree","226","0.205332069162601","0.181362680851725","0.229301457473478"
"2","1996","no degree/no degree yet","196","0.25193881001031","0.222170569799977","0.281707050220642"
"3","1996","lower secondary degree","3931","0.761835549977379","0.7502979000509","0.773373199903858"
"3","1996","secondary school degree","2418","0.683443511741125","0.668170766694035","0.698716256788215"
"3","1996","college entrance qualification","1263","0.652777471683707","0.631381630715462","0.674173312651952"
"3","1996","Other degree","756","0.689110947851836","0.661645732735596","0.716576162968076"
"3","1996","no degree/no degree yet","537","0.651156844009275","0.618475871548123","0.683837816470426"
"4","1996","lower secondary degree","444","0.101858991833449","0.0936664206814306","0.110051562985468"
"4","1996","secondary school degree","290","0.105137082918321","0.095065530970697","0.115208634865945"
"4","1996","college entrance qualification","167","0.110438025983755","0.0963519425220596","0.124524109445451"
"4","1996","Other degree","37","0.0426573498185388","0.0306660474354894","0.0546486522015883"
"4","1996","no degree/no degree yet","33","0.0550066876278389","0.0393730811079238","0.070640294147754"
"5","1996","lower secondary degree","40","0.00756510541691316","0.00521813953044418","0.00991207130338214"
"5","1996","secondary school degree","13","","",""
"5","1996","college entrance qualification","11","","",""
"5","1996","Other degree","2","","",""
"5","1996","no degree/no degree yet","2","","",""
"1","1997","lower secondary degree","85","0.011162550435047","0.00828897874094432","0.0140361221291497"
"1","1997","secondary school degree","97","0.0222471823661862","0.017386663797426","0.0271077009349465"
"1","1997","college entrance qualification","43","0.0183990505030721","0.0124003142611664","0.0243977867449777"
"1","1997","Other degree","45","0.0441174164209867","0.0314901731577197","0.0567446596842537"
"1","1997","no degree/no degree yet","53","0.0459828350214533","0.0315589733809984","0.0604066966619083"
"2","1997","lower secondary degree","650","0.118036090017867","0.10921117195862","0.126861008077113"
"2","1997","secondary school degree","685","0.175401311179203","0.162867928536596","0.187934693821809"
"2","1997","college entrance qualification","436","0.224199247423321","0.205583231157674","0.242815263688968"
"2","1997","Other degree","241","0.24553692847451","0.219071517641409","0.27200233930761"
"2","1997","no degree/no degree yet","170","0.221150906426718","0.192569960198978","0.249731852654458"
"3","1997","lower secondary degree","3935","0.758051539852831","0.746337986354382","0.76976509335128"
"3","1997","secondary school degree","2461","0.694575400885941","0.679396432148482","0.7097543696234"
"3","1997","college entrance qualification","1298","0.654113739271967","0.632881887792266","0.675345590751668"
"3","1997","Other degree","705","0.678921689223131","0.650212788510132","0.70763058993613"
"3","1997","no degree/no degree yet","554","0.669360897292359","0.636963295916196","0.701758498668522"
"4","1997","lower secondary degree","434","0.106198927013726","0.0977722108218029","0.114625643205649"
"4","1997","secondary school degree","278","0.1018942443418","0.0919248419101256","0.111863646773475"
"4","1997","college entrance qualification","140","0.0914475813773791","0.0785812218597063","0.104313940895052"
"4","1997","Other degree","25","","",""
"4","1997","no degree/no degree yet","33","0.06350536125947","0.0467110025593876","0.0802997199595525"
"5","1997","lower secondary degree","31","0.00655089268052916","0.0043444079755398","0.00875737738551851"
"5","1997","secondary school degree","16","","",""
"5","1997","college entrance qualification","11","","",""
"5","1997","Other degree","","","",""
"5","1997","no degree/no degree yet","","","",""
"1","1998","lower secondary degree","105","0.0168612108862636","0.0134656434098701","0.020256778362657"
"1","1998","secondary school degree","95","0.0221262636235604","0.0174714293428012","0.0267810979043196"
"1","1998","college entrance qualification","55","0.0289334179687816","0.0219148052830571","0.0359520306545062"
"1","1998","Other degree","60","0.0785852420921161","0.0616073990608487","0.0955630851233835"
"1","1998","no degree/no degree yet","41","0.0473890087862049","0.0324974102006327","0.0622806073717771"
"2","1998","lower secondary degree","651","0.113563919246351","0.105196250718495","0.121931587774206"
"2","1998","secondary school degree","708","0.175126169768252","0.1630985946182","0.187153744918304"
"2","1998","college entrance qualification","443","0.192040234102561","0.175546542005125","0.208533926199996"
"2","1998","Other degree","197","0.198656793341564","0.173483187691078","0.22383039899205"
"2","1998","no degree/no degree yet","158","0.176157200094821","0.149456841805645","0.202857558383996"
"3","1998","lower secondary degree","4169","0.74592381796486","0.734442551825463","0.757405084104257"
"3","1998","secondary school degree","2678","0.695752218773782","0.681192606772101","0.710311830775463"
"3","1998","college entrance qualification","1479","0.662858321846035","0.643063869944835","0.682652773747234"
"3","1998","Other degree","666","0.6890624074306","0.659857870207144","0.718266944654056"
"3","1998","no degree/no degree yet","542","0.700788159244163","0.668693890856357","0.732882427631969"
"4","1998","lower secondary degree","550","0.113881874391363","0.105504003123834","0.122259745658892"
"4","1998","secondary school degree","332","0.0994471197247698","0.089976911977942","0.108917327471598"
"4","1998","college entrance qualification","195","0.0995715023158983","0.0870337684242188","0.112109236207578"
"4","1998","Other degree","37","0.0310285455576153","0.0200884620946483","0.0419686290205824"
"4","1998","no degree/no degree yet","37","0.0646837351355598","0.0474443606869973","0.0819231095841222"
"5","1998","lower secondary degree","48","0.00976917751116305","0.0071752502701063","0.0123631047522198"
"5","1998","secondary school degree","23","","",""
"5","1998","college entrance qualification","19","","",""
"5","1998","Other degree","5","","",""
"5","1998","no degree/no degree yet","4","","",""
"1","1999","lower secondary degree","79","0.0104061142606356","0.00772228042705043","0.0130899480942208"
"1","1999","secondary school degree","75","0.0128892677115366","0.00932904933643433","0.0164494860866389"
"1","1999","college entrance qualification","58","0.0287246159636807","0.0217811443194736","0.0356680876078879"
"1","1999","Other degree","40","0.0358514260608016","0.0238895498936323","0.0478133022279709"
"1","1999","no degree/no degree yet","28","","",""
"2","1999","lower secondary degree","648","0.112040964169072","0.103699011700479","0.120382916637666"
"2","1999","secondary school degree","719","0.184514504573096","0.172271078744851","0.196757930401341"
"2","1999","college entrance qualification","446","0.182921086456666","0.166850110655797","0.198992062257536"
"2","1999","Other degree","177","0.212879718360786","0.18654299160959","0.239216445111982"
"2","1999","no degree/no degree yet","141","0.198759709093766","0.17068192717123","0.226837491016303"
"3","1999","lower secondary degree","4283","0.768943915443903","0.757796123263354","0.780091707624452"
"3","1999","secondary school degree","2748","0.714775352552689","0.700523940777726","0.729026764327653"
"3","1999","college entrance qualification","1494","0.67727345896249","0.657838763948809","0.696708153976171"
"3","1999","Other degree","669","0.712290934207127","0.683165018737726","0.741416849676527"
"3","1999","no degree/no degree yet","573","0.733536735816107","0.702430544667104","0.764642926965111"
"4","1999","lower secondary degree","453","0.101949040395822","0.0939465550318802","0.109951525759764"
"4","1999","secondary school degree","299","0.0815418133367194","0.072904086695955","0.0901795399774839"
"4","1999","college entrance qualification","215","0.103497137139069","0.0908346689167744","0.116159605361363"
"4","1999","Other degree","41","0.0385288805950768","0.0261456083680196","0.0509121528221341"
"4","1999","no degree/no degree yet","31","0.0438732563746909","0.0294628941243663","0.0582836186250155"
"5","1999","lower secondary degree","29","","",""
"5","1999","secondary school degree","15","","",""
"5","1999","college entrance qualification","10","","",""
"5","1999","Other degree","1","","",""
"5","1999","no degree/no degree yet","3","","",""
"1","2000","lower secondary degree","138","0.0120420456435873","0.00989531626380046","0.0141887750233742"
"1","2000","secondary school degree","128","0.0199481508292077","0.0166646872466147","0.0232316144118008"
"1","2000","college entrance qualification","98","0.0220834333924819","0.0178981348352787","0.026268731949685"
"1","2000","Other degree","77","0.0484175232009923","0.0376796467234695","0.0591553996785151"
"1","2000","no degree/no degree yet","23","","",""
