"hlf0071_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Much too small","1984","35-65 y.","Not Employed","67","0.022005455525936","0.0155075237840334","0.0285033872678386","1"
"Much too small","1984","35-65 y.","Employed","153","0.0217851009416842","0.0174618747280442","0.0261083271553242","1"
"Much too small","1984","66 and older","Not Employed","2","","","","1"
"Much too small","1984","66 and older","Employed","","","","","1"
"A little too big","1985","16-34 y.","Not Employed","55","0.0484248848767876","0.0369698094618515","0.0598799602917238","4"
"A little too big","1985","16-34 y.","Employed","130","0.0540322443910759","0.0456627116512174","0.0624017771309345","4"
"A little too big","1985","35-65 y.","Not Employed","116","0.0789384317267645","0.0664679421810225","0.0914089212725066","4"
"A little too big","1985","35-65 y.","Employed","243","0.0800435406731849","0.0715907109156665","0.0884963704307033","4"
"A little too big","1985","66 and older","Not Employed","86","0.0836153339957493","0.0670139484414892","0.100216719550009","4"
"A little too big","1985","66 and older","Employed","6","","","","4"
"A little too small","1985","16-34 y.","Not Employed","260","0.166686152661301","0.146797920690867","0.186574384631735","2"
"A little too small","1985","35-65 y.","Not Employed","216","0.0935529229305804","0.080085179574944","0.107020666286217","2"
"A little too small","1985","16-34 y.","Employed","531","0.174358689860687","0.160312645107442","0.188404734613933","2"
"A little too small","1985","35-65 y.","Employed","583","0.121770473699462","0.111583847851264","0.131957099547659","2"
"A little too small","1985","66 and older","Not Employed","55","0.0437426110331972","0.0314766319972737","0.0560085900691207","2"
"A little too small","1985","66 and older","Employed","2","","","","2"
"Just right","1985","16-34 y.","Not Employed","945","0.729443067423882","0.705736583252816","0.753149551594948","3"
"Just right","1985","16-34 y.","Employed","1997","0.732429588317792","0.716041113966882","0.748818062668701","3"
"Just right","1985","35-65 y.","Not Employed","1407","0.803667635329262","0.785296791168101","0.822038479490424","3"
"Just right","1985","35-65 y.","Employed","2958","0.762553446796337","0.749298639467753","0.77580825412492","3"
"Just right","1985","66 and older","Not Employed","905","0.849795444947818","0.828368452542723","0.871222437352912","3"
"Just right","1985","66 and older","Employed","36","0.844483702191133","0.738600900374885","0.950366504007381","3"
"Much too big","1985","16-34 y.","Not Employed","8","","","","5"
"Much too big","1985","16-34 y.","Employed","14","","","","5"
"Much too big","1985","35-65 y.","Not Employed","8","","","","5"
"Much too big","1985","35-65 y.","Employed","32","0.0099516680780181","0.00685972507490592","0.0130436110811303","5"
"Much too big","1985","66 and older","Not Employed","18","","","","5"
"Much too big","1985","66 and older","Employed","1","","","","5"
"Much too small","1985","16-34 y.","Not Employed","81","0.047699050841966","0.0363258137342198","0.0590722879497123","1"
"Much too small","1985","16-34 y.","Employed","131","0.0340622424132798","0.0273472159098773","0.0407772689166823","1"
"Much too small","1985","35-65 y.","Not Employed","49","0.0183917957598421","0.0121777266012846","0.0246058649183997","1"
"Much too small","1985","35-65 y.","Employed","143","0.0256808707529985","0.0207535500796148","0.0306081914263822","1"
"Much too small","1985","66 and older","Not Employed","4","","","","1"
"Much too small","1985","66 and older","Employed","","","","","1"
"A little too big","1986","16-34 y.","Not Employed","9","","","","4"
"A little too big","1986","16-34 y.","Employed","33","0.0648244498493348","0.0450740033944384","0.0845748963042311","4"
"A little too big","1986","35-65 y.","Not Employed","13","","","","4"
"A little too big","1986","35-65 y.","Employed","19","","","","4"
"A little too big","1986","66 and older","Not Employed","2","","","","4"
"A little too big","1986","66 and older","Employed","","","","","4"
"A little too small","1986","16-34 y.","Employed","99","0.178882131846657","0.14813906723215","0.209625196461164","2"
"A little too small","1986","16-34 y.","Not Employed","35","0.183975106097956","0.128141784974049","0.239808427221863","2"
"A little too small","1986","35-65 y.","Employed","36","0.083905426553163","0.053809725030825","0.114001128075501","2"
"A little too small","1986","35-65 y.","Not Employed","13","","","","2"
"A little too small","1986","66 and older","Not Employed","2","","","","2"
"A little too small","1986","66 and older","Employed","","","","","2"
"Just right","1986","16-34 y.","Not Employed","131","0.683150375497356","0.616108372534612","0.750192378460099","3"
"Just right","1986","16-34 y.","Employed","443","0.719636185732023","0.683605012649838","0.755667358814207","3"
"Just right","1986","35-65 y.","Not Employed","85","0.731851022826206","0.652258178527619","0.811443867124792","3"
"Just right","1986","35-65 y.","Employed","259","0.828650542700714","0.787746487370727","0.869554598030701","3"
"Just right","1986","66 and older","Not Employed","29","","","","3"
"Just right","1986","66 and older","Employed","1","","","","3"
"Much too big","1986","16-34 y.","Not Employed","","","","","5"
"Much too big","1986","16-34 y.","Employed","1","","","","5"
"Much too big","1986","35-65 y.","Not Employed","2","","","","5"
"Much too big","1986","35-65 y.","Employed","","","","","5"
"Much too big","1986","66 and older","Not Employed","","","","","5"
"Much too big","1986","66 and older","Employed","","","","","5"
"Much too small","1986","16-34 y.","Not Employed","10","","","","1"
"Much too small","1986","16-34 y.","Employed","21","","","","1"
"Much too small","1986","35-65 y.","Not Employed","6","","","","1"
"Much too small","1986","35-65 y.","Employed","12","","","","1"
"Much too small","1986","66 and older","Not Employed","1","","","","1"
"Much too small","1986","66 and older","Employed","","","","","1"
"A little too big","1987","16-34 y.","Employed","23","","","","4"
"A little too big","1987","16-34 y.","Not Employed","2","","","","4"
"A little too big","1987","35-65 y.","Not Employed","7","","","","4"
"A little too big","1987","35-65 y.","Employed","19","","","","4"
"A little too big","1987","66 and older","Not Employed","5","","","","4"
"A little too big","1987","66 and older","Employed","1","","","","4"
"A little too small","1987","16-34 y.","Employed","77","0.120285478488121","0.092245330588267","0.148325626387974","2"
"A little too small","1987","16-34 y.","Not Employed","21","","","","2"
"A little too small","1987","35-65 y.","Not Employed","14","","","","2"
"A little too small","1987","35-65 y.","Employed","50","0.144898620195254","0.104315998635112","0.185481241755396","2"
"A little too small","1987","66 and older","Not Employed","2","","","","2"
"A little too small","1987","66 and older","Employed","","","","","2"
"Just right","1987","16-34 y.","Not Employed","97","0.722769312690068","0.646406550591766","0.799132074788371","3"
"Just right","1987","16-34 y.","Employed","396","0.802502516250404","0.768185714619051","0.836819317881758","3"
"Just right","1987","35-65 y.","Not Employed","66","0.717477380529973","0.625478001409409","0.809476759650538","3"
"Just right","1987","35-65 y.","Employed","208","0.735015688986026","0.684134464428117","0.785896913543935","3"
"Just right","1987","66 and older","Not Employed","25","","","","3"
"Just right","1987","66 and older","Employed","","","","","3"
"Much too big","1987","16-34 y.","Not Employed","3","","","","5"
"Much too big","1987","16-34 y.","Employed","1","","","","5"
"Much too big","1987","35-65 y.","Not Employed","1","","","","5"
"Much too big","1987","66 and older","Not Employed","","","","","5"
"Much too big","1987","35-65 y.","Employed","2","","","","5"
"Much too big","1987","66 and older","Employed","","","","","5"
"Much too small","1987","16-34 y.","Not Employed","9","","","","1"
"Much too small","1987","16-34 y.","Employed","20","","","","1"
"Much too small","1987","35-65 y.","Not Employed","4","","","","1"
"Much too small","1987","35-65 y.","Employed","10","","","","1"
"Much too small","1987","66 and older","Not Employed","1","","","","1"
"Much too small","1987","66 and older","Employed","","","","","1"
"A little too big","1988","16-34 y.","Employed","33","0.0628396710573522","0.0420416915402285","0.083637650574476","4"
"A little too big","1988","16-34 y.","Not Employed","4","","","","4"
"A little too big","1988","35-65 y.","Not Employed","1","","","","4"
"A little too big","1988","35-65 y.","Employed","14","","","","4"
"A little too big","1988","66 and older","Not Employed","3","","","","4"
"A little too big","1988","66 and older","Employed","2","","","","4"
"A little too small","1988","16-34 y.","Not Employed","28","","","","2"
"A little too small","1988","16-34 y.","Employed","89","0.185205542231192","0.151912899595497","0.218498184866888","2"
"A little too small","1988","35-65 y.","Not Employed","19","","","","2"
"A little too small","1988","35-65 y.","Employed","33","0.125251556315837","0.0839722140174566","0.166530898614218","2"
"A little too small","1988","66 and older","Employed","","","","","2"
"A little too small","1988","66 and older","Not Employed","1","","","","2"
"Just right","1988","16-34 y.","Employed","378","0.710887386940873","0.672033795380648","0.749740978501098","3"
"Just right","1988","16-34 y.","Not Employed","84","0.64508018908538","0.561532432745087","0.728627945425674","3"
"Just right","1988","35-65 y.","Not Employed","60","0.688704155600957","0.589686768622418","0.787721542579496","3"
"Just right","1988","35-65 y.","Employed","196","0.809836481666995","0.76089671607276","0.85877624726123","3"
"Just right","1988","66 and older","Employed","1","","","","3"
"Just right","1988","66 and older","Not Employed","32","0.872321203744434","0.763304148946169","0.9813382585427","3"
"Much too big","1988","16-34 y.","Not Employed","1","","","","5"
"Much too big","1988","16-34 y.","Employed","1","","","","5"
"Much too big","1988","66 and older","Not Employed","","","","","5"
"Much too big","1988","35-65 y.","Not Employed","","","","","5"
"Much too big","1988","35-65 y.","Employed","1","","","","5"
"Much too big","1988","66 and older","Employed","","","","","5"
"Much too small","1988","16-34 y.","Not Employed","9","","","","1"
"Much too small","1988","16-34 y.","Employed","22","","","","1"
"Much too small","1988","35-65 y.","Not Employed","4","","","","1"
"Much too small","1988","35-65 y.","Employed","3","","","","1"
"Much too small","1988","66 and older","Not Employed","","","","","1"
"Much too small","1988","66 and older","Employed","","","","","1"
"A little too big","1989","16-34 y.","Not Employed","3","","","","4"
"A little too big","1989","16-34 y.","Employed","29","","","","4"
"A little too big","1989","35-65 y.","Not Employed","6","","","","4"
"A little too big","1989","35-65 y.","Employed","21","","","","4"
"A little too big","1989","66 and older","Not Employed","1","","","","4"
"A little too big","1989","66 and older","Employed","","","","","4"
"A little too small","1989","16-34 y.","Not Employed","23","","","","2"
"A little too small","1989","16-34 y.","Employed","83","0.146623034242725","0.115832610143832","0.177413458341618","2"
"A little too small","1989","35-65 y.","Not Employed","12","","","","2"
"A little too small","1989","66 and older","Not Employed","1","","","","2"
"A little too small","1989","35-65 y.","Employed","42","0.1268995191227","0.0846996365536794","0.16909940169172","2"
"A little too small","1989","66 and older","Employed","","","","","2"
"Just right","1989","16-34 y.","Employed","369","0.74748972423323","0.70967279569867","0.78530665276779","3"
"Just right","1989","16-34 y.","Not Employed","84","0.750623030976808","0.67154819774466","0.829697864208957","3"
"Just right","1989","35-65 y.","Not Employed","58","0.758771549482616","0.665601706320419","0.851941392644813","3"
"Just right","1989","35-65 y.","Employed","167","0.729775523690877","0.673475817411846","0.786075229969908","3"
"Just right","1989","66 and older","Not Employed","15","","","","3"
"Just right","1989","66 and older","Employed","1","","","","3"
"Much too big","1989","16-34 y.","Not Employed","","","","","5"
"Much too big","1989","16-34 y.","Employed","3","","","","5"
"Much too big","1989","35-65 y.","Not Employed","1","","","","5"
"Much too big","1989","35-65 y.","Employed","1","","","","5"
"Much too big","1989","66 and older","Not Employed","","","","","5"
"Much too big","1989","66 and older","Employed","","","","","5"
"Much too small","1989","16-34 y.","Not Employed","5","","","","1"
"Much too small","1989","16-34 y.","Employed","23","","","","1"
"Much too small","1989","35-65 y.","Not Employed","4","","","","1"
"Much too small","1989","35-65 y.","Employed","8","","","","1"
"Much too small","1989","66 and older","Not Employed","","","","","1"
"Much too small","1989","66 and older","Employed","","","","","1"
"A little too big","1990","16-34 y.","Not Employed","4","","","","4"
"A little too big","1990","16-34 y.","Employed","16","","","","4"
"A little too big","1990","35-65 y.","Not Employed","6","","","","4"
"A little too big","1990","35-65 y.","Employed","14","","","","4"
"A little too big","1990","66 and older","Not Employed","","","","","4"
"A little too big","1990","66 and older","Employed","","","","","4"
"A little too small","1990","16-34 y.","Not Employed","22","","","","2"
"A little too small","1990","16-34 y.","Employed","73","0.188631103892318","0.152841443377025","0.224420764407612","2"
"A little too small","1990","35-65 y.","Not Employed","9","","","","2"
"A little too small","1990","35-65 y.","Employed","19","","","","2"
"A little too small","1990","66 and older","Not Employed","2","","","","2"
"A little too small","1990","66 and older","Employed","","","","","2"
"Just right","1990","16-34 y.","Not Employed","68","0.620581912172544","0.526871456260896","0.714292368084191","3"
"Just right","1990","16-34 y.","Employed","335","0.682593742522985","0.640011292852963","0.725176192193007","3"
"Just right","1990","35-65 y.","Not Employed","48","0.732364664945018","0.624736278460798","0.839993051429238","3"
"Just right","1990","35-65 y.","Employed","177","0.798313684312831","0.745766544130158","0.850860824495503","3"
"Just right","1990","66 and older","Not Employed","24","","","","3"
"Just right","1990","66 and older","Employed","1","","","","3"
"Much too big","1990","16-34 y.","Not Employed","","","","","5"
"Much too big","1990","16-34 y.","Employed","4","","","","5"
"Much too big","1990","35-65 y.","Not Employed","","","","","5"
"Much too big","1990","35-65 y.","Employed","1","","","","5"
"Much too big","1990","66 and older","Not Employed","","","","","5"
"Much too big","1990","66 and older","Employed","","","","","5"
"Much too small","1990","16-34 y.","Not Employed","9","","","","1"
"Much too small","1990","16-34 y.","Employed","31","0.0765484804617847","0.0522254835074095","0.10087147741616","1"
"Much too small","1990","35-65 y.","Not Employed","2","","","","1"
"Much too small","1990","35-65 y.","Employed","13","","","","1"
"Much too small","1990","66 and older","Not Employed","1","","","","1"
"Much too small","1990","66 and older","Employed","","","","","1"
"A little too big","1991","16-34 y.","Not Employed","26","","","","4"
"A little too big","1991","16-34 y.","Employed","89","0.0439062344084648","0.0360847582277161","0.0517277105892135","4"
"A little too big","1991","35-65 y.","Employed","201","0.0777146867144976","0.068658265421401","0.0867711080075943","4"
"A little too big","1991","35-65 y.","Not Employed","110","0.107097545715263","0.0902810584369262","0.123914032993599","4"
"A little too big","1991","66 and older","Not Employed","112","0.100876353042677","0.0823304594075916","0.119422246677761","4"
"A little too big","1991","66 and older","Employed","9","","","","4"
"A little too small","1991","16-34 y.","Not Employed","216","0.222118182287851","0.194654698933685","0.249581665642016","2"
"A little too small","1991","16-34 y.","Employed","624","0.228086321270947","0.212068281159614","0.244104361382279","2"
"A little too small","1991","35-65 y.","Not Employed","191","0.12407726048367","0.106149645607459","0.14200487535988","2"
"A little too small","1991","35-65 y.","Employed","600","0.160946415265485","0.148515362122612","0.173377468408359","2"
"A little too small","1991","66 and older","Employed","1","","","","2"
"A little too small","1991","66 and older","Not Employed","57","0.0487544792671387","0.0354928482008727","0.0620161103334048","2"
"Just right","1991","16-34 y.","Employed","1772","0.682116842630817","0.664340658767894","0.69989302649374","3"
"Just right","1991","16-34 y.","Not Employed","567","0.68256580679239","0.651811504971143","0.713320108613638","3"
"Just right","1991","35-65 y.","Employed","2415","0.732609295779","0.717637227969753","0.747581363588246","3"
"Just right","1991","35-65 y.","Not Employed","952","0.745596572745749","0.721912469487117","0.769280676004381","3"
"Just right","1991","66 and older","Not Employed","832","0.835775432051356","0.812961127605689","0.858589736497023","3"
"Just right","1991","66 and older","Employed","31","0.747867343193996","0.614949588162202","0.88078509822579","3"
"Much too big","1991","16-34 y.","Not Employed","2","","","","5"
"Much too big","1991","16-34 y.","Employed","7","","","","5"
"Much too big","1991","35-65 y.","Not Employed","9","","","","5"
"Much too big","1991","35-65 y.","Employed","19","","","","5"
"Much too big","1991","66 and older","Not Employed","9","","","","5"
"Much too big","1991","66 and older","Employed","","","","","5"
"Much too small","1991","16-34 y.","Not Employed","69","0.0511115653621003","0.0365611991971048","0.0656619315270958","1"
"Much too small","1991","16-34 y.","Employed","144","0.0439028230576371","0.0360816367795767","0.0517240093356974","1"
"Much too small","1991","35-65 y.","Not Employed","37","0.0149047525971993","0.00831536562091832","0.0214941395734804","1"
"Much too small","1991","35-65 y.","Employed","122","0.0214521886497623","0.0165510244892706","0.026353352810254","1"
"Much too small","1991","66 and older","Not Employed","3","","","","1"
"Much too small","1991","66 and older","Employed","","","","","1"
"A little too big","1992","16-34 y.","Not Employed","42","0.0464470169842287","0.0341657020216474","0.0587283319468101","4"
"A little too big","1992","16-34 y.","Employed","133","0.0412659514567679","0.0349251055652277","0.047606797348308","4"
"A little too big","1992","35-65 y.","Not Employed","126","0.0889100593602422","0.0752227100557005","0.102597408664784","4"
"A little too big","1992","35-65 y.","Employed","348","0.0802756089164389","0.0728524003445258","0.0876988174883521","4"
"A little too big","1992","66 and older","Not Employed","154","0.110897654595035","0.0945655941946896","0.127229714995381","4"
"A little too big","1992","66 and older","Employed","4","","","","4"
"A little too small","1992","16-34 y.","Not Employed","297","0.259653718977615","0.234067373217184","0.285240064738045","2"
"A little too small","1992","16-34 y.","Employed","976","0.25004673938241","0.236241946734511","0.263851532030309","2"
"A little too small","1992","35-65 y.","Not Employed","224","0.106874429484298","0.0920165633456629","0.121732295622934","2"
"A little too small","1992","35-65 y.","Employed","999","0.167371151302516","0.157172634030846","0.177569668574187","2"
"A little too small","1992","66 and older","Not Employed","65","0.0363597035693852","0.0266239054002881","0.0460955017384823","2"
"A little too small","1992","66 and older","Employed","3","","","","2"
"Just right","1992","16-34 y.","Employed","2394","0.648656551536266","0.633437922696505","0.663875180376026","3"
"Just right","1992","16-34 y.","Not Employed","694","0.632000957904472","0.603857610378806","0.660144305430138","3"
"Just right","1992","35-65 y.","Not Employed","1245","0.774945971405019","0.754862333488217","0.795029609321821","3"
"Just right","1992","35-65 y.","Employed","3599","0.72281768816299","0.710589330040713","0.735046046285267","3"
"Just right","1992","66 and older","Not Employed","1183","0.843382322907975","0.824479069555793","0.862285576260156","3"
"Just right","1992","66 and older","Employed","30","0.84079270366428","0.722903731913121","0.958681675415438","3"
"Much too big","1992","16-34 y.","Not Employed","3","","","","5"
"Much too big","1992","16-34 y.","Employed","11","","","","5"
"Much too big","1992","35-65 y.","Not Employed","13","","","","5"
"Much too big","1992","35-65 y.","Employed","21","","","","5"
"Much too big","1992","66 and older","Not Employed","9","","","","5"
"Much too big","1992","66 and older","Employed","","","","","5"
"Much too small","1992","16-34 y.","Not Employed","92","0.0584123838988847","0.0447263889431201","0.0720983788546493","1"
"Much too small","1992","16-34 y.","Employed","266","0.0563205157076996","0.0489711855256545","0.0636698458897447","1"
"Much too small","1992","35-65 y.","Not Employed","53","0.0195570724440343","0.0128978065478047","0.026216338340264","1"
"Much too small","1992","35-65 y.","Employed","180","0.023729845360063","0.0195716636164903","0.0278880271036357","1"
"Much too small","1992","66 and older","Employed","","","","","1"
"Much too small","1992","66 and older","Not Employed","9","","","","1"
"A little too big","1993","16-34 y.","Not Employed","47","0.0421916558587916","0.0305781585846877","0.0538051531328955","4"
"A little too big","1993","16-34 y.","Employed","149","0.0446824998877879","0.0380072615006189","0.0513577382749568","4"
"A little too big","1993","35-65 y.","Not Employed","143","0.0930994775963304","0.0795894005680236","0.106609554624637","4"
"A little too big","1993","35-65 y.","Employed","356","0.0873306204069004","0.0794039664707844","0.0952572743430164","4"
"A little too big","1993","66 and older","Not Employed","146","0.0999874590767703","0.0845095613729703","0.11546535678057","4"
"A little too big","1993","66 and older","Employed","6","","","","4"
"A little too small","1993","16-34 y.","Not Employed","323","0.276921433384688","0.251070188667075","0.302772678102301","2"
"A little too small","1993","35-65 y.","Not Employed","235","0.11421129280079","0.0994227980852316","0.128999787516348","2"
"A little too small","1993","16-34 y.","Employed","937","0.263421082379079","0.249189306732726","0.277652858025431","2"
"A little too small","1993","66 and older","Not Employed","82","0.0500446881416969","0.0387948698725263","0.0612945064108676","2"
"A little too small","1993","35-65 y.","Employed","926","0.162273879266704","0.151921856388797","0.172625902144611","2"
"A little too small","1993","66 and older","Employed","1","","","","2"
"Just right","1993","16-34 y.","Not Employed","696","0.631199665737205","0.603326296859297","0.659073034615112","3"
"Just right","1993","16-34 y.","Employed","2345","0.636070211751947","0.620525398367156","0.651615025136738","3"
"Just right","1993","35-65 y.","Not Employed","1325","0.763113642836217","0.743345357058455","0.78288192861398","3"
"Just right","1993","35-65 y.","Employed","3407","0.724068039060144","0.711518130026958","0.73661794809333","3"
"Just right","1993","66 and older","Not Employed","1197","0.836096314520494","0.816996135422315","0.855196493618673","3"
"Just right","1993","66 and older","Employed","30","0.794764549379305","0.664629985143905","0.924899113614704","3"
"Much too big","1993","16-34 y.","Not Employed","1","","","","5"
"Much too big","1993","16-34 y.","Employed","9","","","","5"
"Much too big","1993","35-65 y.","Not Employed","17","","","","5"
"Much too big","1993","35-65 y.","Employed","17","","","","5"
"Much too big","1993","66 and older","Not Employed","15","","","","5"
"Much too big","1993","66 and older","Employed","","","","","5"
"Much too small","1993","16-34 y.","Not Employed","84","0.0492027119172153","0.0367073477834685","0.0616980760509622","1"
"Much too small","1993","16-34 y.","Employed","240","0.0537562950991643","0.0464694364019739","0.0610431537963547","1"
"Much too small","1993","35-65 y.","Not Employed","57","0.0196974840746898","0.0132366317463806","0.0261583364029991","1"
"Much too small","1993","35-65 y.","Employed","167","0.0227802666642103","0.0185911215843641","0.0269694117440566","1"
"Much too small","1993","66 and older","Not Employed","3","","","","1"
"Much too small","1993","66 and older","Employed","","","","","1"
"A little too big","1994","16-34 y.","Not Employed","56","0.0505523854680287","0.03811536657357","0.0629894043624873","4"
"A little too big","1994","35-65 y.","Not Employed","162","0.0961898361462719","0.0826881328728725","0.109691539419671","4"
"A little too big","1994","16-34 y.","Employed","148","0.0500570002304644","0.0428522381978467","0.0572617622630821","4"
"A little too big","1994","35-65 y.","Employed","353","0.101210708468689","0.0925277964802582","0.10989362045712","4"
"A little too big","1994","66 and older","Not Employed","137","0.0971073556451866","0.081861281774004","0.112353429516369","4"
"A little too big","1994","66 and older","Employed","6","","","","4"
"A little too small","1994","16-34 y.","Employed","884","0.260592163275211","0.246089052712659","0.275095273837764","2"
"A little too small","1994","16-34 y.","Not Employed","315","0.263208279958119","0.238208734913608","0.288207825002631","2"
"A little too small","1994","35-65 y.","Not Employed","225","0.112370427406191","0.0979084641367755","0.126832390675607","2"
"A little too small","1994","35-65 y.","Employed","820","0.157053826744064","0.146578986577192","0.167528666910936","2"
"A little too small","1994","66 and older","Not Employed","74","0.0393764807068305","0.0293624491620525","0.0493905122516086","2"
"A little too small","1994","66 and older","Employed","1","","","","2"
"Just right","1994","16-34 y.","Not Employed","735","0.625428862276304","0.597952066996692","0.652905657555917","3"
"Just right","1994","16-34 y.","Employed","2253","0.632691954560912","0.616764373129545","0.64861953599228","3"
"Just right","1994","35-65 y.","Not Employed","1377","0.765770140933848","0.74637666305992","0.785163618807776","3"
"Just right","1994","35-65 y.","Employed","3276","0.714443902464265","0.701440619663056","0.727447185265474","3"
"Just right","1994","66 and older","Not Employed","1215","0.850556927323486","0.832199852186788","0.868914002460183","3"
"Just right","1994","66 and older","Employed","31","0.765404825718225","0.632414232679552","0.898395418756897","3"
"Much too big","1994","16-34 y.","Not Employed","5","","","","5"
"Much too big","1994","16-34 y.","Employed","14","","","","5"
"Much too big","1994","35-65 y.","Not Employed","19","","","","5"
"Much too big","1994","35-65 y.","Employed","23","","","","5"
"Much too big","1994","66 and older","Not Employed","19","","","","5"
"Much too big","1994","66 and older","Employed","","","","","5"
"Much too small","1994","16-34 y.","Not Employed","81","0.0564299550319864","0.0433305404298035","0.0695293696341694","1"
"Much too small","1994","16-34 y.","Employed","220","0.0516474319486526","0.0443352374305392","0.0589596264667659","1"
"Much too small","1994","35-65 y.","Not Employed","49","0.0159115858783762","0.0101815261450327","0.0216416456117196","1"
"Much too small","1994","35-65 y.","Employed","163","0.0225080208405517","0.0182378182732509","0.0267782234078525","1"
"Much too small","1994","66 and older","Not Employed","4","","","","1"
"Much too small","1994","66 and older","Employed","1","","","","1"
"A little too big","1995","16-34 y.","Not Employed","69","0.0527014741113494","0.0407292497618765","0.0646736984608224","4"
"A little too big","1995","16-34 y.","Employed","182","0.059818709706528","0.052023054702291","0.067614364710765","4"
"A little too big","1995","35-65 y.","Not Employed","167","0.110430086689771","0.0964324828113377","0.124427690568205","4"
"A little too big","1995","35-65 y.","Employed","367","0.0953386740382027","0.0870640580864217","0.103613289989984","4"
"A little too big","1995","66 and older","Employed","7","","","","4"
"A little too big","1995","66 and older","Not Employed","170","0.115071276496885","0.0988411286674279","0.131301424326341","4"
"A little too small","1995","16-34 y.","Employed","833","0.258237421344791","0.243850418266189","0.272624424423393","2"
"A little too small","1995","16-34 y.","Not Employed","348","0.247336821655696","0.224218049908636","0.270455593402756","2"
"A little too small","1995","35-65 y.","Not Employed","259","0.12327818290645","0.108595887126959","0.137960478685941","2"
"A little too small","1995","35-65 y.","Employed","862","0.150763178154112","0.140681511579785","0.16084484472844","2"
"A little too small","1995","66 and older","Not Employed","87","0.0485334975259363","0.0376039442729491","0.0594630507789236","2"
"A little too small","1995","66 and older","Employed","2","","","","2"
"Just right","1995","16-34 y.","Employed","2338","0.628277698183751","0.612391739842215","0.644163656525286","3"
"Just right","1995","16-34 y.","Not Employed","819","0.637189906205959","0.611427041156631","0.662952771255287","3"
"Just right","1995","35-65 y.","Not Employed","1434","0.73863251528859","0.719009762175984","0.758255268401195","3"
"Just right","1995","35-65 y.","Employed","3440","0.725400306141402","0.712825272036302","0.737975340246501","3"
"Just right","1995","66 and older","Not Employed","1208","0.824316200732113","0.804961001804351","0.843671399659875","3"
"Just right","1995","66 and older","Employed","31","0.800165226091548","0.677765194118766","0.922565258064331","3"
"Much too big","1995","16-34 y.","Not Employed","3","","","","5"
"Much too big","1995","16-34 y.","Employed","18","","","","5"
"Much too big","1995","35-65 y.","Not Employed","13","","","","5"
"Much too big","1995","35-65 y.","Employed","24","","","","5"
"Much too big","1995","66 and older","Not Employed","14","","","","5"
"Much too big","1995","66 and older","Employed","1","","","","5"
"Much too small","1995","16-34 y.","Not Employed","99","0.059407401483059","0.0467413546055755","0.0720734483605425","1"
"Much too small","1995","16-34 y.","Employed","184","0.0454316724762497","0.0385860781174464","0.0522772668350529","1"
"Much too small","1995","35-65 y.","Not Employed","53","0.0196288373174467","0.013433535033707","0.0258241396011865","1"
