"hlf0071_h","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"A little too big","1985","North Rhine-Westphalia","Rural Area","7","","",""
"A little too big","1985","Hesse","Urban Area","39","0.0605547728826864","0.0456065837004517","0.0755029620649211"
"A little too big","1985","Hesse","Rural Area","12","","",""
"A little too big","1985","Rhineland-Palatinate,Saarland","Urban Area","32","0.0653067086724258","0.0460901910046442","0.0845232263402074"
"A little too big","1985","Rhineland-Palatinate,Saarland","Rural Area","14","","",""
"A little too big","1985","Baden-Württemberg","Urban Area","81","0.0638731298130025","0.0524165358617119","0.075329723764293"
"A little too big","1985","Baden-Württemberg","Rural Area","17","","",""
"A little too big","1985","Bavaria","Urban Area","77","0.0793742448664013","0.0627029717011516","0.096045518031651"
"A little too big","1985","Bavaria","Rural Area","57","0.0756162049658388","0.0582662135547701","0.0929661963769075"
"A little too big","1985","Berlin","Urban Area","13","","",""
"A little too big","1985","Berlin","Rural Area","","","",""
"A little too big","1985","Brandenburg","Urban Area","","","",""
"A little too big","1985","Brandenburg","Rural Area","","","",""
"A little too big","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"A little too big","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"A little too big","1985","Saxony","Urban Area","","","",""
"A little too big","1985","Saxony","Rural Area","","","",""
"A little too big","1985","Saxony-Anhalt","Urban Area","","","",""
"A little too big","1985","Saxony-Anhalt","Rural Area","","","",""
"A little too big","1985","Thuringia","Urban Area","","","",""
"A little too big","1985","Thuringia","Rural Area","","","",""
"Much too big","1985","Schleswig-Holstein","Urban Area","","","",""
"Much too big","1985","Schleswig-Holstein","Rural Area","2","","",""
"Much too big","1985","Hamburg","Urban Area","","","",""
"Much too big","1985","Hamburg","Rural Area","","","",""
"Much too big","1985","Lower Saxony","Urban Area","4","","",""
"Much too big","1985","Lower Saxony","Rural Area","6","","",""
"Much too big","1985","Bremen","Urban Area","","","",""
"Much too big","1985","Bremen","Rural Area","","","",""
"Much too big","1985","North Rhine-Westphalia","Urban Area","24","","",""
"Much too big","1985","North Rhine-Westphalia","Rural Area","","","",""
"Much too big","1985","Hesse","Urban Area","5","","",""
"Much too big","1985","Hesse","Rural Area","","","",""
"Much too big","1985","Rhineland-Palatinate,Saarland","Urban Area","7","","",""
"Much too big","1985","Rhineland-Palatinate,Saarland","Rural Area","4","","",""
"Much too big","1985","Baden-Württemberg","Urban Area","9","","",""
"Much too big","1985","Baden-Württemberg","Rural Area","2","","",""
"Much too big","1985","Bavaria","Urban Area","8","","",""
"Much too big","1985","Bavaria","Rural Area","4","","",""
"Much too big","1985","Berlin","Urban Area","6","","",""
"Much too big","1985","Berlin","Rural Area","","","",""
"Much too big","1985","Brandenburg","Urban Area","","","",""
"Much too big","1985","Brandenburg","Rural Area","","","",""
"Much too big","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Much too big","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Much too big","1985","Saxony","Urban Area","","","",""
"Much too big","1985","Saxony","Rural Area","","","",""
"Much too big","1985","Saxony-Anhalt","Urban Area","","","",""
"Much too big","1985","Saxony-Anhalt","Rural Area","","","",""
"Much too big","1985","Thuringia","Urban Area","","","",""
"Much too big","1985","Thuringia","Rural Area","","","",""
"Much too small","1986","Schleswig-Holstein","Urban Area","","","",""
"Much too small","1986","Schleswig-Holstein","Rural Area","","","",""
"Much too small","1986","Hamburg","Urban Area","","","",""
"Much too small","1986","Hamburg","Rural Area","","","",""
"Much too small","1986","Lower Saxony","Urban Area","2","","",""
"Much too small","1986","Lower Saxony","Rural Area","7","","",""
"Much too small","1986","Bremen","Urban Area","","","",""
"Much too small","1986","Bremen","Rural Area","","","",""
"Much too small","1986","North Rhine-Westphalia","Urban Area","3","","",""
"Much too small","1986","North Rhine-Westphalia","Rural Area","","","",""
"Much too small","1986","Hesse","Urban Area","5","","",""
"Much too small","1986","Hesse","Rural Area","2","","",""
"Much too small","1986","Rhineland-Palatinate,Saarland","Urban Area","2","","",""
"Much too small","1986","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Much too small","1986","Baden-Württemberg","Urban Area","12","","",""
"Much too small","1986","Baden-Württemberg","Rural Area","1","","",""
"Much too small","1986","Bavaria","Urban Area","6","","",""
"Much too small","1986","Bavaria","Rural Area","8","","",""
"Much too small","1986","Berlin","Urban Area","2","","",""
"Much too small","1986","Berlin","Rural Area","","","",""
"Much too small","1986","Brandenburg","Urban Area","","","",""
"Much too small","1986","Brandenburg","Rural Area","","","",""
"Much too small","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Much too small","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Much too small","1986","Saxony","Urban Area","","","",""
"Much too small","1986","Saxony","Rural Area","","","",""
"Much too small","1986","Saxony-Anhalt","Urban Area","","","",""
"Much too small","1986","Saxony-Anhalt","Rural Area","","","",""
"Much too small","1986","Thuringia","Urban Area","","","",""
"Much too small","1986","Thuringia","Rural Area","","","",""
"A little too small","1986","Schleswig-Holstein","Urban Area","2","","",""
"A little too small","1986","Schleswig-Holstein","Rural Area","2","","",""
"A little too small","1986","Hamburg","Urban Area","6","","",""
"A little too small","1986","Hamburg","Rural Area","","","",""
"A little too small","1986","Lower Saxony","Urban Area","5","","",""
"A little too small","1986","Lower Saxony","Rural Area","2","","",""
"A little too small","1986","Bremen","Urban Area","8","","",""
"A little too small","1986","Bremen","Rural Area","","","",""
"A little too small","1986","North Rhine-Westphalia","Urban Area","59","0.164707762871944","0.127015442141824","0.202400083602065"
"A little too small","1986","North Rhine-Westphalia","Rural Area","","","",""
"A little too small","1986","Hesse","Urban Area","27","","",""
"A little too small","1986","Hesse","Rural Area","1","","",""
"A little too small","1986","Rhineland-Palatinate,Saarland","Urban Area","10","","",""
"A little too small","1986","Rhineland-Palatinate,Saarland","Rural Area","3","","",""
"A little too small","1986","Baden-Württemberg","Urban Area","33","0.125140226402512","0.0810148007703067","0.169265652034717"
"A little too small","1986","Baden-Württemberg","Rural Area","4","","",""
"A little too small","1986","Bavaria","Urban Area","9","","",""
"A little too small","1986","Bavaria","Rural Area","6","","",""
"A little too small","1986","Berlin","Urban Area","8","","",""
"A little too small","1986","Berlin","Rural Area","","","",""
"A little too small","1986","Brandenburg","Urban Area","","","",""
"A little too small","1986","Brandenburg","Rural Area","","","",""
"A little too small","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"A little too small","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"A little too small","1986","Saxony","Urban Area","","","",""
"A little too small","1986","Saxony","Rural Area","","","",""
"A little too small","1986","Saxony-Anhalt","Urban Area","","","",""
"A little too small","1986","Saxony-Anhalt","Rural Area","","","",""
"A little too small","1986","Thuringia","Urban Area","","","",""
"A little too small","1986","Thuringia","Rural Area","","","",""
"Just right","1986","Schleswig-Holstein","Urban Area","23","","",""
"Just right","1986","Schleswig-Holstein","Rural Area","7","","",""
"Just right","1986","Hamburg","Urban Area","25","","",""
"Just right","1986","Hamburg","Rural Area","","","",""
"Just right","1986","Lower Saxony","Urban Area","60","0.801973658205347","0.711176184468262","0.892771131942433"
"Just right","1986","Lower Saxony","Rural Area","47","0.800748009256008","0.699678132941515","0.901817885570502"
"Just right","1986","Bremen","Urban Area","6","","",""
"Just right","1986","Bremen","Rural Area","","","",""
"Just right","1986","North Rhine-Westphalia","Urban Area","288","0.750958602812594","0.707012497553947","0.79490470807124"
"Just right","1986","North Rhine-Westphalia","Rural Area","8","","",""
"Just right","1986","Hesse","Urban Area","62","0.680191442471263","0.586403521131367","0.77397936381116"
"Just right","1986","Hesse","Rural Area","8","","",""
"Just right","1986","Rhineland-Palatinate,Saarland","Urban Area","57","0.703241767966891","0.597721579339981","0.808761956593802"
"Just right","1986","Rhineland-Palatinate,Saarland","Rural Area","6","","",""
"Just right","1986","Baden-Württemberg","Urban Area","158","0.731276130428579","0.672158769730217","0.790393491126941"
"Just right","1986","Baden-Württemberg","Rural Area","26","","",""
"Just right","1986","Bavaria","Urban Area","67","0.724439500131288","0.63264071412176","0.816238286140815"
"Just right","1986","Bavaria","Rural Area","68","0.794351038772525","0.709421657790963","0.879280419754087"
"Just right","1986","Berlin","Urban Area","32","0.736749924325629","0.610844783141544","0.862655065509713"
"Just right","1986","Berlin","Rural Area","","","",""
"Just right","1986","Brandenburg","Urban Area","","","",""
"Just right","1986","Brandenburg","Rural Area","","","",""
"Just right","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Just right","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Just right","1986","Saxony","Urban Area","","","",""
"Just right","1986","Saxony","Rural Area","","","",""
"Just right","1986","Saxony-Anhalt","Urban Area","","","",""
"Just right","1986","Saxony-Anhalt","Rural Area","","","",""
"Just right","1986","Thuringia","Urban Area","","","",""
"Just right","1986","Thuringia","Rural Area","","","",""
"A little too big","1986","Schleswig-Holstein","Urban Area","","","",""
"A little too big","1986","Schleswig-Holstein","Rural Area","1","","",""
"A little too big","1986","Hamburg","Urban Area","2","","",""
"A little too big","1986","Hamburg","Rural Area","","","",""
"A little too big","1986","Lower Saxony","Urban Area","7","","",""
"A little too big","1986","Lower Saxony","Rural Area","4","","",""
"A little too big","1986","Bremen","Urban Area","","","",""
"A little too big","1986","Bremen","Rural Area","","","",""
"A little too big","1986","North Rhine-Westphalia","Urban Area","20","","",""
"A little too big","1986","North Rhine-Westphalia","Rural Area","","","",""
"A little too big","1986","Hesse","Urban Area","1","","",""
"A little too big","1986","Hesse","Rural Area","1","","",""
"A little too big","1986","Rhineland-Palatinate,Saarland","Urban Area","3","","",""
"A little too big","1986","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"A little too big","1986","Baden-Württemberg","Urban Area","12","","",""
"A little too big","1986","Baden-Württemberg","Rural Area","6","","",""
"A little too big","1986","Bavaria","Urban Area","9","","",""
"A little too big","1986","Bavaria","Rural Area","5","","",""
"A little too big","1986","Berlin","Urban Area","5","","",""
"A little too big","1986","Berlin","Rural Area","","","",""
"A little too big","1986","Brandenburg","Urban Area","","","",""
"A little too big","1986","Brandenburg","Rural Area","","","",""
"A little too big","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"A little too big","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"A little too big","1986","Saxony","Urban Area","","","",""
"A little too big","1986","Saxony","Rural Area","","","",""
"A little too big","1986","Saxony-Anhalt","Urban Area","","","",""
"A little too big","1986","Saxony-Anhalt","Rural Area","","","",""
"A little too big","1986","Thuringia","Urban Area","","","",""
"A little too big","1986","Thuringia","Rural Area","","","",""
"Much too big","1986","Schleswig-Holstein","Urban Area","","","",""
"Much too big","1986","Schleswig-Holstein","Rural Area","","","",""
"Much too big","1986","Hamburg","Urban Area","","","",""
"Much too big","1986","Hamburg","Rural Area","","","",""
"Much too big","1986","Lower Saxony","Urban Area","","","",""
"Much too big","1986","Lower Saxony","Rural Area","","","",""
"Much too big","1986","Bremen","Urban Area","","","",""
"Much too big","1986","Bremen","Rural Area","","","",""
"Much too big","1986","North Rhine-Westphalia","Urban Area","2","","",""
"Much too big","1986","North Rhine-Westphalia","Rural Area","","","",""
"Much too big","1986","Hesse","Urban Area","","","",""
"Much too big","1986","Hesse","Rural Area","","","",""
"Much too big","1986","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Much too big","1986","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Much too big","1986","Baden-Württemberg","Urban Area","1","","",""
"Much too big","1986","Baden-Württemberg","Rural Area","","","",""
"Much too big","1986","Bavaria","Urban Area","","","",""
"Much too big","1986","Bavaria","Rural Area","","","",""
"Much too big","1986","Berlin","Urban Area","","","",""
"Much too big","1986","Berlin","Rural Area","","","",""
"Much too big","1986","Brandenburg","Urban Area","","","",""
"Much too big","1986","Brandenburg","Rural Area","","","",""
"Much too big","1986","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Much too big","1986","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Much too big","1986","Saxony","Urban Area","","","",""
"Much too big","1986","Saxony","Rural Area","","","",""
"Much too big","1986","Saxony-Anhalt","Urban Area","","","",""
"Much too big","1986","Saxony-Anhalt","Rural Area","","","",""
"Much too big","1986","Thuringia","Urban Area","","","",""
"Much too big","1986","Thuringia","Rural Area","","","",""
"Much too small","1987","Schleswig-Holstein","Urban Area","1","","",""
"Much too small","1987","Schleswig-Holstein","Rural Area","","","",""
"Much too small","1987","Hamburg","Urban Area","","","",""
"Much too small","1987","Hamburg","Rural Area","","","",""
"Much too small","1987","Lower Saxony","Urban Area","6","","",""
"Much too small","1987","Lower Saxony","Rural Area","6","","",""
"Much too small","1987","Bremen","Urban Area","","","",""
"Much too small","1987","Bremen","Rural Area","","","",""
"Much too small","1987","North Rhine-Westphalia","Urban Area","12","","",""
"Much too small","1987","North Rhine-Westphalia","Rural Area","","","",""
"Much too small","1987","Hesse","Urban Area","5","","",""
"Much too small","1987","Hesse","Rural Area","","","",""
"Much too small","1987","Rhineland-Palatinate,Saarland","Urban Area","1","","",""
"Much too small","1987","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Much too small","1987","Baden-Württemberg","Urban Area","6","","",""
"Much too small","1987","Baden-Württemberg","Rural Area","","","",""
"Much too small","1987","Bavaria","Urban Area","","","",""
"Much too small","1987","Bavaria","Rural Area","5","","",""
"Much too small","1987","Berlin","Urban Area","2","","",""
"Much too small","1987","Berlin","Rural Area","","","",""
"Much too small","1987","Brandenburg","Urban Area","","","",""
"Much too small","1987","Brandenburg","Rural Area","","","",""
"Much too small","1987","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Much too small","1987","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Much too small","1987","Saxony","Urban Area","","","",""
"Much too small","1987","Saxony","Rural Area","","","",""
"Much too small","1987","Saxony-Anhalt","Urban Area","","","",""
"Much too small","1987","Saxony-Anhalt","Rural Area","","","",""
"Much too small","1987","Thuringia","Urban Area","","","",""
"Much too small","1987","Thuringia","Rural Area","","","",""
"A little too small","1987","Schleswig-Holstein","Urban Area","1","","",""
"A little too small","1987","Schleswig-Holstein","Rural Area","3","","",""
"A little too small","1987","Hamburg","Urban Area","4","","",""
"A little too small","1987","Hamburg","Rural Area","","","",""
"A little too small","1987","Lower Saxony","Urban Area","15","","",""
"A little too small","1987","Lower Saxony","Rural Area","6","","",""
"A little too small","1987","Bremen","Urban Area","","","",""
"A little too small","1987","Bremen","Rural Area","","","",""
"A little too small","1987","North Rhine-Westphalia","Urban Area","39","0.0852065198038383","0.0533473080121178","0.117065731595559"
"A little too small","1987","North Rhine-Westphalia","Rural Area","","","",""
"A little too small","1987","Hesse","Urban Area","7","","",""
"A little too small","1987","Hesse","Rural Area","1","","",""
"A little too small","1987","Rhineland-Palatinate,Saarland","Urban Area","6","","",""
"A little too small","1987","Rhineland-Palatinate,Saarland","Rural Area","5","","",""
"A little too small","1987","Baden-Württemberg","Urban Area","28","","",""
"A little too small","1987","Baden-Württemberg","Rural Area","9","","",""
"A little too small","1987","Bavaria","Urban Area","16","","",""
"A little too small","1987","Bavaria","Rural Area","9","","",""
"A little too small","1987","Berlin","Urban Area","15","","",""
"A little too small","1987","Berlin","Rural Area","","","",""
"A little too small","1987","Brandenburg","Urban Area","","","",""
"A little too small","1987","Brandenburg","Rural Area","","","",""
"A little too small","1987","Mecklenburg-Western Pomerania","Urban Area","","","",""
"A little too small","1987","Mecklenburg-Western Pomerania","Rural Area","","","",""
"A little too small","1987","Saxony","Urban Area","","","",""
"A little too small","1987","Saxony","Rural Area","","","",""
"A little too small","1987","Saxony-Anhalt","Urban Area","","","",""
"A little too small","1987","Saxony-Anhalt","Rural Area","","","",""
"A little too small","1987","Thuringia","Urban Area","","","",""
"A little too small","1987","Thuringia","Rural Area","","","",""
"Just right","1987","Schleswig-Holstein","Urban Area","15","","",""
"Just right","1987","Schleswig-Holstein","Rural Area","19","","",""
"Just right","1987","Hamburg","Urban Area","7","","",""
"Just right","1987","Hamburg","Rural Area","","","",""
"Just right","1987","Lower Saxony","Urban Area","44","0.605688199804821","0.492013619351163","0.719362780258478"
"Just right","1987","Lower Saxony","Rural Area","32","0.699436748130506","0.568355271342323","0.830518224918689"
"Just right","1987","Bremen","Urban Area","17","","",""
"Just right","1987","Bremen","Rural Area","","","",""
"Just right","1987","North Rhine-Westphalia","Urban Area","219","0.790762278112333","0.744344959770015","0.837179596454651"
"Just right","1987","North Rhine-Westphalia","Rural Area","5","","",""
"Just right","1987","Hesse","Urban Area","74","0.828747144004043","0.751344226833368","0.906150061174718"
"Just right","1987","Hesse","Rural Area","4","","",""
"Just right","1987","Rhineland-Palatinate,Saarland","Urban Area","36","0.773298588604453","0.652302899892372","0.894294277316533"
"Just right","1987","Rhineland-Palatinate,Saarland","Rural Area","8","","",""
"Just right","1987","Baden-Württemberg","Urban Area","122","0.757840490308748","0.692475411992298","0.823205568625199"
"Just right","1987","Baden-Württemberg","Rural Area","29","","",""
"Just right","1987","Bavaria","Urban Area","73","0.849340820118785","0.775023184248996","0.923658455988574"
"Just right","1987","Bavaria","Rural Area","46","0.754532690185322","0.647408362831322","0.861657017539323"
"Just right","1987","Berlin","Urban Area","42","0.684595618990328","0.568930298702392","0.800260939278264"
"Just right","1987","Berlin","Rural Area","","","",""
"Just right","1987","Brandenburg","Urban Area","","","",""
"Just right","1987","Brandenburg","Rural Area","","","",""
"Just right","1987","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Just right","1987","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Just right","1987","Saxony","Urban Area","","","",""
"Just right","1987","Saxony","Rural Area","","","",""
"Just right","1987","Saxony-Anhalt","Urban Area","","","",""
"Just right","1987","Saxony-Anhalt","Rural Area","","","",""
"Just right","1987","Thuringia","Urban Area","","","",""
"Just right","1987","Thuringia","Rural Area","","","",""
"A little too big","1987","Schleswig-Holstein","Urban Area","2","","",""
"A little too big","1987","Schleswig-Holstein","Rural Area","4","","",""
"A little too big","1987","Hamburg","Urban Area","","","",""
"A little too big","1987","Hamburg","Rural Area","","","",""
"A little too big","1987","Lower Saxony","Urban Area","6","","",""
"A little too big","1987","Lower Saxony","Rural Area","3","","",""
"A little too big","1987","Bremen","Urban Area","","","",""
"A little too big","1987","Bremen","Rural Area","","","",""
"A little too big","1987","North Rhine-Westphalia","Urban Area","19","","",""
"A little too big","1987","North Rhine-Westphalia","Rural Area","","","",""
"A little too big","1987","Hesse","Urban Area","5","","",""
"A little too big","1987","Hesse","Rural Area","2","","",""
"A little too big","1987","Rhineland-Palatinate,Saarland","Urban Area","3","","",""
"A little too big","1987","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"A little too big","1987","Baden-Württemberg","Urban Area","8","","",""
"A little too big","1987","Baden-Württemberg","Rural Area","","","",""
"A little too big","1987","Bavaria","Urban Area","","","",""
"A little too big","1987","Bavaria","Rural Area","2","","",""
"A little too big","1987","Berlin","Urban Area","3","","",""
"A little too big","1987","Berlin","Rural Area","","","",""
"A little too big","1987","Brandenburg","Urban Area","","","",""
"A little too big","1987","Brandenburg","Rural Area","","","",""
"A little too big","1987","Mecklenburg-Western Pomerania","Urban Area","","","",""
"A little too big","1987","Mecklenburg-Western Pomerania","Rural Area","","","",""
"A little too big","1987","Saxony","Urban Area","","","",""
"A little too big","1987","Saxony","Rural Area","","","",""
"A little too big","1987","Saxony-Anhalt","Urban Area","","","",""
"A little too big","1987","Saxony-Anhalt","Rural Area","","","",""
"A little too big","1987","Thuringia","Urban Area","","","",""
"A little too big","1987","Thuringia","Rural Area","","","",""
"Much too big","1987","Schleswig-Holstein","Urban Area","","","",""
"Much too big","1987","Schleswig-Holstein","Rural Area","","","",""
"Much too big","1987","Hamburg","Urban Area","","","",""
"Much too big","1987","Hamburg","Rural Area","","","",""
"Much too big","1987","Lower Saxony","Urban Area","","","",""
"Much too big","1987","Lower Saxony","Rural Area","","","",""
"Much too big","1987","Bremen","Urban Area","","","",""
"Much too big","1987","Bremen","Rural Area","","","",""
"Much too big","1987","North Rhine-Westphalia","Urban Area","6","","",""
"Much too big","1987","North Rhine-Westphalia","Rural Area","","","",""
"Much too big","1987","Hesse","Urban Area","","","",""
"Much too big","1987","Hesse","Rural Area","","","",""
"Much too big","1987","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Much too big","1987","Rhineland-Palatinate,Saarland","Rural Area","","","",""
