"hlf0071_h","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Just right","1987","16-34 y.","Rural Area","89","0.743528172526666","0.665720226063555","0.821336118989778","3"
"Just right","1987","35-65 y.","Rural Area","53","0.73773743623304","0.636135752507331","0.839339119958748","3"
"Just right","1987","66 and older","Urban Area","24","","","","3"
"Just right","1987","66 and older","Rural Area","1","","","","3"
"Much too big","1987","16-34 y.","Urban Area","4","","","","5"
"Much too big","1987","16-34 y.","Rural Area","","","","","5"
"Much too big","1987","35-65 y.","Urban Area","3","","","","5"
"Much too big","1987","66 and older","Urban Area","","","","","5"
"Much too big","1987","35-65 y.","Rural Area","","","","","5"
"Much too big","1987","66 and older","Rural Area","","","","","5"
"Much too small","1987","16-34 y.","Urban Area","21","","","","1"
"Much too small","1987","16-34 y.","Rural Area","8","","","","1"
"Much too small","1987","35-65 y.","Urban Area","12","","","","1"
"Much too small","1987","35-65 y.","Rural Area","2","","","","1"
"Much too small","1987","66 and older","Urban Area","","","","","1"
"Much too small","1987","66 and older","Rural Area","1","","","","1"
"A little too big","1988","16-34 y.","Rural Area","10","","","","4"
"A little too big","1988","16-34 y.","Urban Area","27","","","","4"
"A little too big","1988","35-65 y.","Urban Area","12","","","","4"
"A little too big","1988","35-65 y.","Rural Area","3","","","","4"
"A little too big","1988","66 and older","Urban Area","3","","","","4"
"A little too big","1988","66 and older","Rural Area","2","","","","4"
"A little too small","1988","16-34 y.","Rural Area","12","","","","2"
"A little too small","1988","16-34 y.","Urban Area","105","0.212368565442979","0.177841446139895","0.246895684746062","2"
"A little too small","1988","35-65 y.","Urban Area","48","0.186433834766909","0.139979631634201","0.232888037899617","2"
"A little too small","1988","35-65 y.","Rural Area","4","","","","2"
"A little too small","1988","66 and older","Urban Area","1","","","","2"
"A little too small","1988","66 and older","Rural Area","","","","","2"
"Just right","1988","16-34 y.","Urban Area","377","0.690235660433874","0.651199408264628","0.729271912603121","3"
"Just right","1988","16-34 y.","Rural Area","85","0.751142481239016","0.670346772675657","0.831938189802374","3"
"Just right","1988","35-65 y.","Urban Area","203","0.75194177224755","0.700426602756581","0.80345694173852","3"
"Just right","1988","35-65 y.","Rural Area","53","0.896686051758085","0.820305487910499","0.973066615605672","3"
"Just right","1988","66 and older","Urban Area","30","0.877416119092072","0.767178932695972","0.987653305488171","3"
"Just right","1988","66 and older","Rural Area","3","","","","3"
"Much too big","1988","16-34 y.","Urban Area","","","","","5"
"Much too big","1988","16-34 y.","Rural Area","2","","","","5"
"Much too big","1988","35-65 y.","Urban Area","","","","","5"
"Much too big","1988","66 and older","Urban Area","","","","","5"
"Much too big","1988","35-65 y.","Rural Area","1","","","","5"
"Much too big","1988","66 and older","Rural Area","","","","","5"
"Much too small","1988","16-34 y.","Urban Area","30","0.0501460703922141","0.031721364108911","0.0685707766755173","1"
"Much too small","1988","16-34 y.","Rural Area","1","","","","1"
"Much too small","1988","35-65 y.","Urban Area","7","","","","1"
"Much too small","1988","35-65 y.","Rural Area","","","","","1"
"Much too small","1988","66 and older","Urban Area","","","","","1"
"Much too small","1988","66 and older","Rural Area","","","","","1"
"A little too big","1989","16-34 y.","Urban Area","25","","","","4"
"A little too big","1989","16-34 y.","Rural Area","7","","","","4"
"A little too big","1989","35-65 y.","Urban Area","18","","","","4"
"A little too big","1989","35-65 y.","Rural Area","9","","","","4"
"A little too big","1989","66 and older","Urban Area","1","","","","4"
"A little too big","1989","66 and older","Rural Area","","","","","4"
"A little too small","1989","16-34 y.","Urban Area","90","0.163504324386507","0.131249188656165","0.195759460116849","2"
"A little too small","1989","35-65 y.","Urban Area","44","0.115149567553029","0.0759714026213869","0.154327732484671","2"
"A little too small","1989","16-34 y.","Rural Area","16","","","","2"
"A little too small","1989","35-65 y.","Rural Area","10","","","","2"
"A little too small","1989","66 and older","Urban Area","1","","","","2"
"A little too small","1989","66 and older","Rural Area","","","","","2"
"Just right","1989","16-34 y.","Rural Area","90","0.800230973307239","0.727782887461027","0.872679059153452","3"
"Just right","1989","16-34 y.","Urban Area","363","0.734735333080265","0.696231180673707","0.773239485486823","3"
"Just right","1989","35-65 y.","Urban Area","180","0.752917118440322","0.699978461950291","0.805855774930353","3"
"Just right","1989","35-65 y.","Rural Area","45","0.683973625304145","0.570949083555478","0.796998167052812","3"
"Just right","1989","66 and older","Urban Area","14","","","","3"
"Just right","1989","66 and older","Rural Area","2","","","","3"
"Much too big","1989","16-34 y.","Urban Area","3","","","","5"
"Much too big","1989","16-34 y.","Rural Area","","","","","5"
"Much too big","1989","35-65 y.","Urban Area","2","","","","5"
"Much too big","1989","35-65 y.","Rural Area","","","","","5"
"Much too big","1989","66 and older","Urban Area","","","","","5"
"Much too big","1989","66 and older","Rural Area","","","","","5"
"Much too small","1989","16-34 y.","Urban Area","24","","","","1"
"Much too small","1989","16-34 y.","Rural Area","4","","","","1"
"Much too small","1989","35-65 y.","Urban Area","11","","","","1"
"Much too small","1989","35-65 y.","Rural Area","1","","","","1"
"Much too small","1989","66 and older","Urban Area","","","","","1"
"Much too small","1989","66 and older","Rural Area","","","","","1"
"A little too big","1990","16-34 y.","Urban Area","21","","","","4"
"A little too big","1990","35-65 y.","Urban Area","66","0.0621528488216459","0.0474299108684421","0.0768757867748498","4"
"A little too big","1990","16-34 y.","Rural Area","33","0.0380878829449805","0.0272400343306904","0.0489357315592705","4"
"A little too big","1990","35-65 y.","Rural Area","56","0.0483887128440297","0.0375832443385856","0.0591941813494738","4"
"A little too big","1990","66 and older","Urban Area","12","","","","4"
"A little too big","1990","66 and older","Rural Area","15","","","","4"
"A little too small","1990","16-34 y.","Urban Area","244","0.235984627415222","0.209926637593222","0.262042617237221","2"
"A little too small","1990","16-34 y.","Rural Area","366","0.292939640611692","0.267146761762868","0.318732519460515","2"
"A little too small","1990","35-65 y.","Urban Area","222","0.190992014456539","0.167021246977564","0.214962781935514","2"
"A little too small","1990","35-65 y.","Rural Area","316","0.191890702708295","0.172061566641116","0.211719838775474","2"
"A little too small","1990","66 and older","Urban Area","16","","","","2"
"A little too small","1990","66 and older","Rural Area","32","0.0994154426116168","0.0654428155185013","0.133388069704732","2"
"Just right","1990","16-34 y.","Urban Area","635","0.617040954578724","0.587209037291586","0.646872871865862","3"
"Just right","1990","16-34 y.","Rural Area","646","0.547408991532246","0.519199748959107","0.575618234105384","3"
"Just right","1990","35-65 y.","Urban Area","697","0.707732704292032","0.67999805533932","0.735467353244744","3"
"Just right","1990","35-65 y.","Rural Area","1043","0.699235762181896","0.676143488904575","0.722328035459217","3"
"Just right","1990","66 and older","Urban Area","132","0.792842624074398","0.731005424332227","0.854679823816568","3"
"Just right","1990","66 and older","Rural Area","242","0.82370082557677","0.780434516447233","0.866967134706307","3"
"Much too big","1990","16-34 y.","Urban Area","5","","","","5"
"Much too big","1990","16-34 y.","Rural Area","7","","","","5"
"Much too big","1990","35-65 y.","Urban Area","5","","","","5"
"Much too big","1990","35-65 y.","Rural Area","16","","","","5"
"Much too big","1990","66 and older","Urban Area","1","","","","5"
"Much too big","1990","66 and older","Rural Area","2","","","","5"
"Much too small","1990","16-34 y.","Urban Area","115","0.114267206460477","0.0947435942709301","0.133790818650024","1"
"Much too small","1990","16-34 y.","Rural Area","144","0.115155531783425","0.0970647067276047","0.133246356839246","1"
"Much too small","1990","35-65 y.","Urban Area","43","0.0357014121300777","0.0243866248672729","0.0470161993928824","1"
"Much too small","1990","35-65 y.","Rural Area","84","0.0493773724976255","0.0384677471515974","0.0602869978436536","1"
"Much too small","1990","66 and older","Urban Area","4","","","","1"
"Much too small","1990","66 and older","Rural Area","7","","","","1"
"A little too big","1991","16-34 y.","Urban Area","93","0.0368391762961738","0.0304094427210679","0.0432689098712797","4"
"A little too big","1991","16-34 y.","Rural Area","69","0.0528000053964888","0.0422251524164143","0.0633748583765633","4"
"A little too big","1991","35-65 y.","Urban Area","265","0.0732436500932123","0.0656229881708988","0.0808643120155257","4"
"A little too big","1991","66 and older","Urban Area","90","0.0894400347719099","0.0712450187520823","0.107635050791737","4"
"A little too big","1991","35-65 y.","Rural Area","162","0.0937431092647868","0.0819636658513606","0.105522552678213","4"
"A little too big","1991","66 and older","Rural Area","62","0.124496754326108","0.0957590543591765","0.15323445429304","4"
"A little too small","1991","16-34 y.","Urban Area","831","0.239163828447163","0.22460313891985","0.253724517974475","2"
"A little too small","1991","16-34 y.","Rural Area","442","0.243936628204036","0.223629237761426","0.264244018646646","2"
"A little too small","1991","35-65 y.","Urban Area","811","0.161639026713596","0.150871559439397","0.172406493987795","2"
"A little too small","1991","35-65 y.","Rural Area","390","0.138753489914776","0.124782887689045","0.152724092140507","2"
"A little too small","1991","66 and older","Urban Area","54","0.051798843298828","0.0376688336619687","0.0659288529356872","2"
"A little too small","1991","66 and older","Rural Area","32","0.0456163368298579","0.0274542472639341","0.0637784263957817","2"
"Just right","1991","16-34 y.","Urban Area","2138","0.668938519971162","0.652875172786875","0.68500186715545","3"
"Just right","1991","16-34 y.","Rural Area","1084","0.641231753170121","0.618551336938141","0.663912169402101","3"
"Just right","1991","35-65 y.","Urban Area","3210","0.734694652157217","0.721780932266301","0.747608372048134","3"
"Just right","1991","35-65 y.","Rural Area","1736","0.744386250648257","0.726757533522852","0.762014967773663","3"
"Just right","1991","66 and older","Urban Area","787","0.841818301586861","0.818552421490649","0.865084181683073","3"
"Just right","1991","66 and older","Rural Area","405","0.811715577497258","0.777686259365385","0.845744895629131","3"
"Much too big","1991","16-34 y.","Urban Area","8","","","","5"
"Much too big","1991","16-34 y.","Rural Area","4","","","","5"
"Much too big","1991","35-65 y.","Urban Area","24","","","","5"
"Much too big","1991","35-65 y.","Rural Area","21","","","","5"
"Much too big","1991","66 and older","Urban Area","11","","","","5"
"Much too big","1991","66 and older","Rural Area","4","","","","5"
"Much too small","1991","16-34 y.","Urban Area","227","0.0535130129113011","0.0458309892077898","0.0611950366148124","1"
"Much too small","1991","16-34 y.","Rural Area","119","0.0597229355258715","0.0485173383608539","0.0709285326908892","1"
"Much too small","1991","35-65 y.","Urban Area","180","0.024768697149495","0.0202226878646602","0.0293147064343297","1"
"Much too small","1991","35-65 y.","Rural Area","43","0.0110575991331185","0.00683144480864354","0.0152837534575935","1"
"Much too small","1991","66 and older","Urban Area","3","","","","1"
"Much too small","1991","66 and older","Rural Area","4","","","","1"
"A little too big","1992","16-34 y.","Urban Area","95","0.0372586219355536","0.0307230421267056","0.0437942017444016","4"
"A little too big","1992","16-34 y.","Rural Area","76","0.0540713703758801","0.0430686087435473","0.0650741320082129","4"
"A little too big","1992","35-65 y.","Rural Area","189","0.0977830399748334","0.0856178859857061","0.109948193963961","4"
"A little too big","1992","35-65 y.","Urban Area","278","0.0753716671389193","0.0676283861596263","0.0831149481182123","4"
"A little too big","1992","66 and older","Urban Area","98","0.109486787269941","0.089610056179795","0.129363518360087","4"
"A little too big","1992","66 and older","Rural Area","59","0.111833606934656","0.0842640639700357","0.139403149899276","4"
"A little too small","1992","16-34 y.","Urban Area","850","0.262365983268362","0.247185341185586","0.277546625351137","2"
"A little too small","1992","16-34 y.","Rural Area","406","0.227494044224503","0.207098994665373","0.247889093783633","2"
"A little too small","1992","35-65 y.","Urban Area","827","0.160011172953313","0.149257687089976","0.17076465881665","2"
"A little too small","1992","35-65 y.","Rural Area","380","0.129339955026989","0.11559570616668","0.143084203887298","2"
"A little too small","1992","66 and older","Rural Area","26","","","","2"
"A little too small","1992","66 and older","Urban Area","42","0.0345579201165754","0.0229305677859974","0.0461852724471533","2"
"Just right","1992","16-34 y.","Rural Area","1029","0.663388170615406","0.640398254868999","0.686378086361812","3"
"Just right","1992","16-34 y.","Urban Area","2025","0.637581692190822","0.620993888286443","0.6541694960952","3"
"Just right","1992","35-65 y.","Urban Area","3164","0.734229930676066","0.721272871672219","0.747186989679912","3"
"Just right","1992","35-65 y.","Rural Area","1650","0.745050719396753","0.727200228477091","0.762901210316416","3"
"Just right","1992","66 and older","Urban Area","798","0.846532833138618","0.823588599110669","0.869477067166567","3"
"Just right","1992","66 and older","Rural Area","409","0.836756084597294","0.804425454154717","0.869086715039872","3"
"Much too big","1992","16-34 y.","Urban Area","11","","","","5"
"Much too big","1992","16-34 y.","Rural Area","3","","","","5"
"Much too big","1992","35-65 y.","Urban Area","19","","","","5"
"Much too big","1992","35-65 y.","Rural Area","15","","","","5"
"Much too big","1992","66 and older","Urban Area","7","","","","5"
"Much too big","1992","66 and older","Rural Area","2","","","","5"
"Much too small","1992","16-34 y.","Urban Area","245","0.0582524608104016","0.0501700616529694","0.0663348599678339","1"
"Much too small","1992","16-34 y.","Rural Area","109","0.0532297795195632","0.0423081243752736","0.0641514346638528","1"
"Much too small","1992","35-65 y.","Urban Area","177","0.0247976865635242","0.0202363690557171","0.0293590040713313","1"
"Much too small","1992","35-65 y.","Rural Area","56","0.0179636081041806","0.0125237079724566","0.0234035082359046","1"
"Much too small","1992","66 and older","Urban Area","3","","","","1"
"Much too small","1992","66 and older","Rural Area","6","","","","1"
"A little too big","1993","16-34 y.","Rural Area","71","0.0490895635527311","0.0384864810734423","0.0596926460320199","4"
"A little too big","1993","16-34 y.","Urban Area","125","0.0419247295884587","0.0350194894738565","0.0488299697030608","4"
"A little too big","1993","35-65 y.","Urban Area","315","0.0815381443362535","0.0734512441277194","0.0896250445447876","4"
"A little too big","1993","35-65 y.","Rural Area","184","0.106346361604827","0.0936111467733427","0.119081576436311","4"
"A little too big","1993","66 and older","Urban Area","97","0.097394385774243","0.0787069019069535","0.116081869641532","4"
"A little too big","1993","66 and older","Rural Area","55","0.110080453041463","0.0829960114743189","0.137164894608608","4"
"A little too small","1993","16-34 y.","Urban Area","852","0.268516947390377","0.25324720116069","0.283786693620064","2"
"A little too small","1993","16-34 y.","Rural Area","408","0.261782592733317","0.240208612795813","0.283356572670821","2"
"A little too small","1993","35-65 y.","Urban Area","784","0.15412733381826","0.143457357916773","0.164797309719747","2"
"A little too small","1993","35-65 y.","Rural Area","377","0.135731792588554","0.121582803727626","0.149880781449482","2"
"A little too small","1993","66 and older","Urban Area","56","0.0512021845656745","0.0373101473719888","0.0650942217593602","2"
"A little too small","1993","66 and older","Rural Area","27","","","","2"
"Just right","1993","16-34 y.","Urban Area","2011","0.632639360056514","0.616029412922884","0.649249307190144","3"
"Just right","1993","16-34 y.","Rural Area","1030","0.640257584738782","0.616704871937462","0.663810297540101","3"
"Just right","1993","35-65 y.","Urban Area","3090","0.732123688866065","0.719036978386004","0.745210399346126","3"
"Just right","1993","35-65 y.","Rural Area","1642","0.7422695646914","0.724200984650167","0.760338144732632","3"
"Just right","1993","66 and older","Urban Area","799","0.832803386479774","0.809284333326355","0.856322439633193","3"
"Just right","1993","66 and older","Rural Area","428","0.840370018426918","0.808675663637845","0.872064373215991","3"
"Much too big","1993","16-34 y.","Urban Area","6","","","","5"
"Much too big","1993","16-34 y.","Rural Area","4","","","","5"
"Much too big","1993","35-65 y.","Urban Area","27","","","","5"
"Much too big","1993","35-65 y.","Rural Area","7","","","","5"
"Much too big","1993","66 and older","Urban Area","12","","","","5"
"Much too big","1993","66 and older","Rural Area","3","","","","5"
"Much too small","1993","16-34 y.","Urban Area","242","0.0550732117550727","0.0472133823967814","0.0629330411133639","1"
"Much too small","1993","16-34 y.","Rural Area","82","0.0474531549497751","0.0370193319556819","0.0578869779438682","1"
"Much too small","1993","35-65 y.","Urban Area","183","0.0260902282249364","0.0213797021649685","0.0308007542849043","1"
"Much too small","1993","35-65 y.","Rural Area","41","0.0121168994412595","0.00759720709635679","0.0166365917861622","1"
"Much too small","1993","66 and older","Urban Area","3","","","","1"
"Much too small","1993","66 and older","Rural Area","","","","","1"
"A little too big","1994","16-34 y.","Urban Area","122","0.0465072972449956","0.0391813486438276","0.0538332458461636","4"
"A little too big","1994","35-65 y.","Urban Area","317","0.0910752646555974","0.0824323455517294","0.0997181837594654","4"
"A little too big","1994","16-34 y.","Rural Area","82","0.0585231787331664","0.0467882643055803","0.0702580931607524","4"
"A little too big","1994","66 and older","Urban Area","83","0.0901508937094506","0.0722381524918685","0.108063634927033","4"
"A little too big","1994","35-65 y.","Rural Area","198","0.120186553903591","0.106629191883618","0.133743915923564","4"
"A little too big","1994","66 and older","Rural Area","60","0.117957216204612","0.0898524539691012","0.146061978440123","4"
"A little too small","1994","16-34 y.","Urban Area","824","0.269426258105701","0.253991614032712","0.284860902178691","2"
"A little too small","1994","35-65 y.","Urban Area","706","0.151633733933919","0.14085951301502","0.162407954852818","2"
"A little too small","1994","16-34 y.","Rural Area","375","0.242622899580071","0.221192358486019","0.264053440674124","2"
"A little too small","1994","66 and older","Urban Area","57","0.0456058739503766","0.0325571928545564","0.0586545550461968","2"
"A little too small","1994","35-65 y.","Rural Area","339","0.125746972203461","0.111923431518464","0.139570512888458","2"
"A little too small","1994","66 and older","Rural Area","18","","","","2"
"Just right","1994","16-34 y.","Urban Area","2001","0.625546817673413","0.608709484633644","0.642384150713182","3"
"Just right","1994","16-34 y.","Rural Area","987","0.643079660095414","0.619128354443283","0.667030965747546","3"
"Just right","1994","35-65 y.","Urban Area","3054","0.730138832928431","0.71680456471009","0.743473101146771","3"
"Just right","1994","66 and older","Urban Area","828","0.851838853680731","0.829619151461483","0.874058555899979","3"
"Just right","1994","35-65 y.","Rural Area","1599","0.728046737543687","0.709495250780959","0.746598224306415","3"
"Just right","1994","66 and older","Rural Area","418","0.841475723126544","0.809652693841731","0.873298752411358","3"
"Much too big","1994","16-34 y.","Urban Area","10","","","","5"
"Much too big","1994","16-34 y.","Rural Area","9","","","","5"
"Much too big","1994","35-65 y.","Urban Area","19","","","","5"
"Much too big","1994","35-65 y.","Rural Area","23","","","","5"
"Much too big","1994","66 and older","Urban Area","10","","","","5"
"Much too big","1994","66 and older","Rural Area","9","","","","5"
"Much too small","1994","16-34 y.","Urban Area","217","0.0537601897640585","0.0459136959951068","0.0616066835330102","1"
"Much too small","1994","16-34 y.","Rural Area","84","0.0506983048473101","0.0397307452076933","0.0616658644869269","1"
"Much too small","1994","35-65 y.","Urban Area","161","0.0216542490774256","0.0172819082169887","0.0260265899378624","1"
"Much too small","1994","35-65 y.","Rural Area","51","0.01801293079529","0.0124679885253268","0.0235578730652532","1"
"Much too small","1994","66 and older","Urban Area","4","","","","1"
"Much too small","1994","66 and older","Rural Area","1","","","","1"
"A little too big","1995","16-34 y.","Urban Area","132","0.0489047971684073","0.0415161859507294","0.0562934083860853","4"
"A little too big","1995","35-65 y.","Urban Area","305","0.0887794301389943","0.0803962913577522","0.0971625689202364","4"
"A little too big","1995","16-34 y.","Rural Area","119","0.0777533129018943","0.0647134331395813","0.0907931926642072","4"
"A little too big","1995","35-65 y.","Rural Area","229","0.125424523281392","0.112013811652276","0.138835234910508","4"
"A little too big","1995","66 and older","Urban Area","107","0.101952165969447","0.0833919432557298","0.120512388683165","4"
"A little too big","1995","66 and older","Rural Area","70","0.149103769543802","0.118037792758094","0.18016974632951","4"
"A little too small","1995","16-34 y.","Urban Area","817","0.257304815007017","0.242328521280204","0.272281108733831","2"
"A little too small","1995","16-34 y.","Rural Area","364","0.251197036968646","0.230077634962546","0.272316438974747","2"
"A little too small","1995","35-65 y.","Urban Area","757","0.147213422966164","0.136770246773287","0.157656599159041","2"
"A little too small","1995","35-65 y.","Rural Area","364","0.131273259555267","0.11759938232981","0.144947136780724","2"
"A little too small","1995","66 and older","Rural Area","25","","","","2"
"A little too small","1995","66 and older","Urban Area","64","0.0495872378559858","0.0362711605289482","0.0629033151830234","2"
"Just right","1995","16-34 y.","Rural Area","1053","0.623982828788027","0.600395392396953","0.647570265179101","3"
"Just right","1995","16-34 y.","Urban Area","2104","0.633637126244395","0.617130773392579","0.650143479096211","3"
"Just right","1995","35-65 y.","Urban Area","3193","0.734424712711772","0.721407853941138","0.747441571482406","3"
"Just right","1995","35-65 y.","Rural Area","1681","0.718116820376511","0.69989909809625","0.736334542656773","3"
"Just right","1995","66 and older","Urban Area","838","0.837792167988557","0.815180152310496","0.860404183666618","3"
"Just right","1995","66 and older","Rural Area","401","0.791243060427368","0.755796196370879","0.826689924483857","3"
"Much too big","1995","16-34 y.","Urban Area","11","","","","5"
"Much too big","1995","16-34 y.","Rural Area","10","","","","5"
"Much too big","1995","35-65 y.","Urban Area","18","","","","5"
"Much too big","1995","35-65 y.","Rural Area","19","","","","5"
"Much too big","1995","66 and older","Urban Area","7","","","","5"
"Much too big","1995","66 and older","Rural Area","8","","","","5"
"Much too small","1995","16-34 y.","Urban Area","209","0.053635654453596","0.045917187210661","0.061354121696531","1"
"Much too small","1995","16-34 y.","Rural Area","74","0.0391348918006745","0.0296920249913069","0.048577758610042","1"
"Much too small","1995","35-65 y.","Urban Area","149","0.0243230404543617","0.0197825718438987","0.0288635090648247","1"
"Much too small","1995","35-65 y.","Rural Area","50","0.0141261744035759","0.00934774805067943","0.0189046007564724","1"
"Much too small","1995","66 and older","Urban Area","5","","","","1"
"Much too small","1995","66 and older","Rural Area","1","","","","1"
"A little too big","1996","16-34 y.","Rural Area","113","0.0764737645151413","0.0632691980154344","0.0896783310148482","4"
"A little too big","1996","16-34 y.","Urban Area","153","0.0627574427724361","0.054320147473822","0.0711947380710503","4"
"A little too big","1996","35-65 y.","Urban Area","321","0.095431748497199","0.0867066313558121","0.104156865638586","4"
"A little too big","1996","35-65 y.","Rural Area","209","0.128931976793094","0.115350739530395","0.142513214055793","4"
"A little too big","1996","66 and older","Rural Area","62","0.135869420251117","0.106043444558587","0.165695395943646","4"
"A little too big","1996","66 and older","Urban Area","130","0.127517108901411","0.107408904743515","0.147625313059308","4"
"A little too small","1996","16-34 y.","Urban Area","782","0.254650505679105","0.239494076942694","0.269806934415515","2"
"A little too small","1996","16-34 y.","Rural Area","336","0.230674575601205","0.209743179206151","0.251605971996259","2"
"A little too small","1996","35-65 y.","Urban Area","764","0.156089397327828","0.145311374998532","0.166867419657125","2"
"A little too small","1996","35-65 y.","Rural Area","344","0.126181310886225","0.112724530582812","0.139638091189638","2"
