"hlf0071_h","year","education","sex","n","percent","lower_confidence","upper_confidence"
"3","1984","college entrance qualification","Male","581","0.730277098961463","0.699618457772472","0.760935740150454"
"3","1984","college entrance qualification","Female","331","0.697252108391353","0.656488402287775","0.73801581449493"
"3","1984","Other degree","Male","565","0.661877690081701","0.630478703338444","0.693276676824957"
"3","1984","Other degree","Female","370","0.639438659421176","0.600327757263947","0.678549561578405"
"3","1984","no degree/no degree yet","Male","391","0.683674340887272","0.646181685358936","0.721166996415607"
"3","1984","no degree/no degree yet","Female","488","0.677804264360631","0.643478506334335","0.712130022386926"
"4","1984","lower secondary degree","Male","157","0.0592813384547754","0.0506068627008277","0.0679558142087231"
"4","1984","lower secondary degree","Female","227","0.0762376268925904","0.067148812015457","0.0853264417697239"
"4","1984","secondary school degree","Male","63","0.0794959727308428","0.0611479079988662","0.0978440374628194"
"4","1984","secondary school degree","Female","72","0.0727314606888259","0.0575494653819402","0.0879134559957116"
"4","1984","college entrance qualification","Male","53","0.0705002720757331","0.0528166925094102","0.0881838516420561"
"4","1984","college entrance qualification","Female","24","","",""
"4","1984","Other degree","Male","18","","",""
"4","1984","Other degree","Female","12","","",""
"4","1984","no degree/no degree yet","Male","23","","",""
"4","1984","no degree/no degree yet","Female","18","","",""
"5","1984","lower secondary degree","Male","19","","",""
"5","1984","lower secondary degree","Female","23","","",""
"5","1984","secondary school degree","Male","8","","",""
"5","1984","secondary school degree","Female","14","","",""
"5","1984","college entrance qualification","Male","15","","",""
"5","1984","college entrance qualification","Female","7","","",""
"5","1984","Other degree","Male","3","","",""
"5","1984","Other degree","Female","","","",""
"5","1984","no degree/no degree yet","Male","2","","",""
"5","1984","no degree/no degree yet","Female","1","","",""
"1","1985","lower secondary degree","Male","83","0.025143504889721","0.0190740327928411","0.0312129769866009"
"1","1985","lower secondary degree","Female","72","0.018628576776028","0.0137160137151638","0.0235411398368921"
"1","1985","secondary school degree","Male","17","","",""
"1","1985","secondary school degree","Female","26","","",""
"1","1985","college entrance qualification","Male","20","","",""
"1","1985","college entrance qualification","Female","14","","",""
"1","1985","Other degree","Male","56","0.071500222892637","0.0529234414523403","0.0900770043329338"
"1","1985","Other degree","Female","43","0.092181355559892","0.0662210383042141","0.11814167281557"
"1","1985","no degree/no degree yet","Male","36","0.0540617208473107","0.034435380040775","0.0736880616538464"
"1","1985","no degree/no degree yet","Female","31","0.0406254307876671","0.0245725450109763","0.0566783165643579"
"2","1985","lower secondary degree","Male","320","0.111182124455939","0.0989952723551439","0.123368976556735"
"2","1985","lower secondary degree","Female","327","0.0942011206153168","0.0835879408425267","0.104814300388107"
"2","1985","secondary school degree","Male","108","0.123042596608847","0.100208621678272","0.145876571539422"
"2","1985","secondary school degree","Female","162","0.136854386764281","0.116366053048229","0.157342720480333"
"2","1985","college entrance qualification","Male","115","0.13955876829314","0.11495453842014","0.164162998166141"
"2","1985","college entrance qualification","Female","91","0.172948753702379","0.138462022517478","0.20743548488728"
"2","1985","Other degree","Male","159","0.212711255215309","0.183206764104986","0.242215746325632"
"2","1985","Other degree","Female","120","0.237510453386622","0.199320668431838","0.275700238341406"
"2","1985","no degree/no degree yet","Male","92","0.115589411967294","0.0878403059115601","0.143338518023028"
"2","1985","no degree/no degree yet","Female","125","0.19845102653137","0.166020669432932","0.230881383629808"
"3","1985","lower secondary degree","Male","1989","0.792074997290794","0.776342264141226","0.807807730440363"
"3","1985","lower secondary degree","Female","2300","0.805802165797799","0.791429477643422","0.820174853952177"
"3","1985","secondary school degree","Male","598","0.762554855658114","0.732975976130198","0.792133735186029"
"3","1985","secondary school degree","Female","794","0.745549177389518","0.719584954938128","0.771513399840909"
"3","1985","college entrance qualification","Male","553","0.726302780864514","0.694646152977837","0.757959408751192"
"3","1985","college entrance qualification","Female","326","0.72398361367763","0.683221292703265","0.764745934651995"
"3","1985","Other degree","Male","505","0.676966663451579","0.643250885511064","0.710682441392093"
"3","1985","Other degree","Female","302","0.609838394661988","0.566064161381254","0.653612627942721"
"3","1985","no degree/no degree yet","Male","366","0.778814013585021","0.742792771365194","0.814835255804848"
"3","1985","no degree/no degree yet","Female","414","0.736774679892895","0.700965761588714","0.772583598197075"
"4","1985","lower secondary degree","Male","152","0.0669561907871101","0.0572664077437397","0.0766459738304804"
"4","1985","lower secondary degree","Female","185","0.0701527657726658","0.0608731542131664","0.0794323773321652"
"4","1985","secondary school degree","Male","66","0.0891422416197925","0.0693346541212547","0.10894982911833"
"4","1985","secondary school degree","Female","86","0.0833914833589648","0.0669103134119861","0.0998726533059435"
"4","1985","college entrance qualification","Male","64","0.0909562511914307","0.0705398461138979","0.111372656268963"
"4","1985","college entrance qualification","Female","30","0.0687161358571974","0.045648796375154","0.0917834753392409"
"4","1985","Other degree","Male","15","","",""
"4","1985","Other degree","Female","10","","",""
"4","1985","no degree/no degree yet","Male","12","","",""
"4","1985","no degree/no degree yet","Female","9","","",""
"5","1985","lower secondary degree","Male","12","","",""
"5","1985","lower secondary degree","Female","26","","",""
"5","1985","secondary school degree","Male","6","","",""
"5","1985","secondary school degree","Female","13","","",""
"5","1985","college entrance qualification","Male","10","","",""
"5","1985","college entrance qualification","Female","1","","",""
"5","1985","Other degree","Male","4","","",""
"5","1985","Other degree","Female","2","","",""
"5","1985","no degree/no degree yet","Male","4","","",""
"5","1985","no degree/no degree yet","Female","2","","",""
"1","1986","lower secondary degree","Male","9","","",""
"1","1986","lower secondary degree","Female","14","","",""
"1","1986","secondary school degree","Male","1","","",""
"1","1986","secondary school degree","Female","2","","",""
"1","1986","college entrance qualification","Male","3","","",""
"1","1986","college entrance qualification","Female","4","","",""
"1","1986","Other degree","Male","6","","",""
"1","1986","Other degree","Female","3","","",""
"1","1986","no degree/no degree yet","Male","3","","",""
"1","1986","no degree/no degree yet","Female","3","","",""
"2","1986","lower secondary degree","Male","38","0.132776539149353","0.0927433921424884","0.172809686156218"
"2","1986","lower secondary degree","Female","24","","",""
"2","1986","secondary school degree","Male","6","","",""
"2","1986","secondary school degree","Female","25","","",""
"2","1986","college entrance qualification","Male","22","","",""
"2","1986","college entrance qualification","Female","16","","",""
"2","1986","Other degree","Male","17","","",""
"2","1986","Other degree","Female","12","","",""
"2","1986","no degree/no degree yet","Male","9","","",""
"2","1986","no degree/no degree yet","Female","9","","",""
"3","1986","lower secondary degree","Male","211","0.766014474778141","0.716067805299909","0.815961144256373"
"3","1986","lower secondary degree","Female","198","0.783335312496531","0.732571322454061","0.834099302539001"
"3","1986","secondary school degree","Male","66","0.821224871733015","0.736732180851038","0.905717562614993"
"3","1986","secondary school degree","Female","114","0.736203884662424","0.66637491630475","0.806032853020099"
"3","1986","college entrance qualification","Male","67","0.6969674245205","0.605511230857985","0.788423618183016"
"3","1986","college entrance qualification","Female","58","0.624219494522123","0.520647048009247","0.727791941034998"
"3","1986","Other degree","Male","73","0.692468711141431","0.602021991023442","0.782915431259421"
"3","1986","Other degree","Female","52","0.759727952375123","0.660347814672329","0.859108090077917"
"3","1986","no degree/no degree yet","Male","45","0.803271850841923","0.702685977057554","0.903857724626291"
"3","1986","no degree/no degree yet","Female","46","0.822386628743089","0.725681765548084","0.919091491938094"
"4","1986","lower secondary degree","Male","17","","",""
"4","1986","lower secondary degree","Female","16","","",""
"4","1986","secondary school degree","Male","5","","",""
"4","1986","secondary school degree","Female","12","","",""
"4","1986","college entrance qualification","Male","5","","",""
"4","1986","college entrance qualification","Female","6","","",""
"4","1986","Other degree","Male","4","","",""
"4","1986","Other degree","Female","4","","",""
"4","1986","no degree/no degree yet","Male","3","","",""
"4","1986","no degree/no degree yet","Female","2","","",""
"5","1986","lower secondary degree","Male","1","","",""
"5","1986","lower secondary degree","Female","1","","",""
"5","1986","secondary school degree","Male","1","","",""
"5","1986","secondary school degree","Female","","","",""
"5","1986","college entrance qualification","Male","","","",""
"5","1986","college entrance qualification","Female","","","",""
"5","1986","Other degree","Male","","","",""
"5","1986","Other degree","Female","","","",""
"5","1986","no degree/no degree yet","Male","","","",""
"5","1986","no degree/no degree yet","Female","","","",""
"1","1987","lower secondary degree","Male","7","","",""
"1","1987","lower secondary degree","Female","7","","",""
"1","1987","secondary school degree","Male","1","","",""
"1","1987","secondary school degree","Female","4","","",""
"1","1987","college entrance qualification","Male","5","","",""
"1","1987","college entrance qualification","Female","2","","",""
"1","1987","Other degree","Male","2","","",""
"1","1987","Other degree","Female","2","","",""
"1","1987","no degree/no degree yet","Male","5","","",""
"1","1987","no degree/no degree yet","Female","6","","",""
"2","1987","lower secondary degree","Male","31","0.118977222958556","0.0760975449294883","0.161856900987623"
"2","1987","lower secondary degree","Female","24","","",""
"2","1987","secondary school degree","Male","6","","",""
"2","1987","secondary school degree","Female","13","","",""
"2","1987","college entrance qualification","Male","17","","",""
"2","1987","college entrance qualification","Female","17","","",""
"2","1987","Other degree","Male","21","","",""
"2","1987","Other degree","Female","13","","",""
"2","1987","no degree/no degree yet","Male","10","","",""
"2","1987","no degree/no degree yet","Female","8","","",""
"3","1987","lower secondary degree","Male","169","0.795136225281161","0.741682326278574","0.848590124283748"
"3","1987","lower secondary degree","Female","158","0.771913308294951","0.714333893774247","0.829492722815654"
"3","1987","secondary school degree","Male","53","0.821158996092331","0.727272035226243","0.915045956958419"
"3","1987","secondary school degree","Female","96","0.819434964000113","0.751178741350682","0.887691186649544"
"3","1987","college entrance qualification","Male","61","0.701153736694111","0.606582868138204","0.795724605250018"
"3","1987","college entrance qualification","Female","53","0.713432983702481","0.612439716688924","0.814426250716038"
"3","1987","Other degree","Male","62","0.684737941421164","0.588210423803987","0.78126545903834"
"3","1987","Other degree","Female","34","0.668521780783114","0.538040452818876","0.799003108747351"
"3","1987","no degree/no degree yet","Male","44","0.783186196451275","0.679777003218608","0.886595389683942"
"3","1987","no degree/no degree yet","Female","47","0.674685540523819","0.559907055291461","0.789464025756177"
"4","1987","lower secondary degree","Male","12","","",""
"4","1987","lower secondary degree","Female","14","","",""
"4","1987","secondary school degree","Male","4","","",""
"4","1987","secondary school degree","Female","9","","",""
"4","1987","college entrance qualification","Male","6","","",""
"4","1987","college entrance qualification","Female","4","","",""
"4","1987","Other degree","Male","2","","",""
"4","1987","Other degree","Female","","","",""
"4","1987","no degree/no degree yet","Male","2","","",""
"4","1987","no degree/no degree yet","Female","2","","",""
"5","1987","lower secondary degree","Male","","","",""
"5","1987","lower secondary degree","Female","1","","",""
"5","1987","secondary school degree","Male","","","",""
"5","1987","secondary school degree","Female","","","",""
"5","1987","college entrance qualification","Male","1","","",""
"5","1987","college entrance qualification","Female","1","","",""
"5","1987","Other degree","Male","2","","",""
"5","1987","Other degree","Female","1","","",""
"5","1987","no degree/no degree yet","Male","","","",""
"5","1987","no degree/no degree yet","Female","1","","",""
"1","1988","lower secondary degree","Male","9","","",""
"1","1988","lower secondary degree","Female","8","","",""
"1","1988","secondary school degree","Male","2","","",""
"1","1988","secondary school degree","Female","3","","",""
"1","1988","college entrance qualification","Male","2","","",""
"1","1988","college entrance qualification","Female","","","",""
"1","1988","Other degree","Male","4","","",""
"1","1988","Other degree","Female","2","","",""
"1","1988","no degree/no degree yet","Male","2","","",""
"1","1988","no degree/no degree yet","Female","4","","",""
"2","1988","lower secondary degree","Male","29","","",""
"2","1988","lower secondary degree","Female","27","","",""
"2","1988","secondary school degree","Male","9","","",""
"2","1988","secondary school degree","Female","22","","",""
"2","1988","college entrance qualification","Male","18","","",""
"2","1988","college entrance qualification","Female","16","","",""
"2","1988","Other degree","Male","13","","",""
"2","1988","Other degree","Female","10","","",""
"2","1988","no degree/no degree yet","Male","9","","",""
"2","1988","no degree/no degree yet","Female","13","","",""
"3","1988","lower secondary degree","Male","160","0.743799739682155","0.685584189022181","0.80201529034213"
"3","1988","lower secondary degree","Female","186","0.820659089917134","0.771293404044441","0.870024775789826"
"3","1988","secondary school degree","Male","55","0.794926737727117","0.700342853812457","0.889510621641776"
"3","1988","secondary school degree","Female","85","0.709424280277547","0.628189847336437","0.790658713218658"
"3","1988","college entrance qualification","Male","54","0.647597937866271","0.542254740835255","0.752941134897287"
"3","1988","college entrance qualification","Female","39","0.617235135910389","0.494246830301248","0.74022344151953"
"3","1988","Other degree","Male","54","0.704511356195924","0.599122124319963","0.809900588071884"
"3","1988","Other degree","Female","32","0.631823938818556","0.490905557461317","0.772742320175795"
"3","1988","no degree/no degree yet","Male","31","0.738086293615516","0.606670807263577","0.869501779967455"
"3","1988","no degree/no degree yet","Female","35","0.655602971277004","0.528866571564122","0.782339370989887"
"4","1988","lower secondary degree","Male","17","","",""
"4","1988","lower secondary degree","Female","10","","",""
"4","1988","secondary school degree","Male","3","","",""
"4","1988","secondary school degree","Female","10","","",""
"4","1988","college entrance qualification","Male","5","","",""
"4","1988","college entrance qualification","Female","5","","",""
"4","1988","Other degree","Male","1","","",""
"4","1988","Other degree","Female","1","","",""
"4","1988","no degree/no degree yet","Male","1","","",""
"4","1988","no degree/no degree yet","Female","2","","",""
"5","1988","lower secondary degree","Male","1","","",""
"5","1988","lower secondary degree","Female","1","","",""
"5","1988","secondary school degree","Male","1","","",""
"5","1988","secondary school degree","Female","","","",""
"5","1988","college entrance qualification","Male","","","",""
"5","1988","college entrance qualification","Female","","","",""
"5","1988","Other degree","Male","","","",""
"5","1988","Other degree","Female","","","",""
"5","1988","no degree/no degree yet","Male","","","",""
"5","1988","no degree/no degree yet","Female","","","",""
"1","1989","lower secondary degree","Male","8","","",""
"1","1989","lower secondary degree","Female","7","","",""
"1","1989","secondary school degree","Male","4","","",""
"1","1989","secondary school degree","Female","8","","",""
"1","1989","college entrance qualification","Male","1","","",""
"1","1989","college entrance qualification","Female","2","","",""
"1","1989","Other degree","Male","","","",""
"1","1989","Other degree","Female","1","","",""
"1","1989","no degree/no degree yet","Male","4","","",""
"1","1989","no degree/no degree yet","Female","3","","",""
"2","1989","lower secondary degree","Male","24","","",""
"2","1989","lower secondary degree","Female","23","","",""
"2","1989","secondary school degree","Male","9","","",""
"2","1989","secondary school degree","Female","20","","",""
"2","1989","college entrance qualification","Male","17","","",""
"2","1989","college entrance qualification","Female","15","","",""
"2","1989","Other degree","Male","16","","",""
"2","1989","Other degree","Female","11","","",""
"2","1989","no degree/no degree yet","Male","10","","",""
"2","1989","no degree/no degree yet","Female","15","","",""
"3","1989","lower secondary degree","Male","143","0.774084404534805","0.714147466473556","0.834021342596054"
"3","1989","lower secondary degree","Female","129","0.806983378580464","0.746945726944036","0.867021030216892"
"3","1989","secondary school degree","Male","76","0.837443569769551","0.762856419054331","0.912030720484771"
"3","1989","secondary school degree","Female","105","0.737237452032455","0.6655984517124","0.808876452352509"
"3","1989","college entrance qualification","Male","53","0.632516566631865","0.528796239007418","0.736236894256312"
"3","1989","college entrance qualification","Female","41","0.688481588021635","0.574123774907982","0.802839401135288"
"3","1989","Other degree","Male","46","0.602726343888925","0.484672238673938","0.720780449103911"
"3","1989","Other degree","Female","35","0.683167290433949","0.554211268687673","0.812123312180225"
"3","1989","no degree/no degree yet","Male","25","","",""
"3","1989","no degree/no degree yet","Female","22","","",""
"4","1989","lower secondary degree","Male","10","","",""
"4","1989","lower secondary degree","Female","5","","",""
"4","1989","secondary school degree","Male","5","","",""
"4","1989","secondary school degree","Female","12","","",""
"4","1989","college entrance qualification","Male","12","","",""
"4","1989","college entrance qualification","Female","4","","",""
"4","1989","Other degree","Male","4","","",""
"4","1989","Other degree","Female","3","","",""
"4","1989","no degree/no degree yet","Male","1","","",""
"4","1989","no degree/no degree yet","Female","2","","",""
"5","1989","lower secondary degree","Male","2","","",""
"5","1989","lower secondary degree","Female","2","","",""
"5","1989","secondary school degree","Male","","","",""
"5","1989","secondary school degree","Female","","","",""
"5","1989","college entrance qualification","Male","","","",""
"5","1989","college entrance qualification","Female","1","","",""
"5","1989","Other degree","Male","","","",""
"5","1989","Other degree","Female","","","",""
"5","1989","no degree/no degree yet","Male","","","",""
"5","1989","no degree/no degree yet","Female","","","",""
"1","1990","lower secondary degree","Male","64","0.0592828237736944","0.0442817069008184","0.0742839406465703"
"1","1990","lower secondary degree","Female","51","0.0428259562161011","0.0310523931031545","0.0545995193290477"
"1","1990","secondary school degree","Male","95","0.0885437875613383","0.0712533626857814","0.105834212436895"
"1","1990","secondary school degree","Female","111","0.0899327674975504","0.0735819245144035","0.106283610480697"
"1","1990","college entrance qualification","Male","27","","",""
"1","1990","college entrance qualification","Female","28","","",""
"1","1990","Other degree","Male","7","","",""
"1","1990","Other degree","Female","5","","",""
"1","1990","no degree/no degree yet","Male","5","","",""
"1","1990","no degree/no degree yet","Female","5","","",""
"2","1990","lower secondary degree","Male","155","0.157467731919565","0.134330112442447","0.180605351396682"
"2","1990","lower secondary degree","Female","178","0.138997519933558","0.118880453401065","0.159114586466051"
"2","1990","secondary school degree","Male","281","0.25665516716038","0.230070643542103","0.283239690778657"
"2","1990","secondary school degree","Female","343","0.26681434257324","0.241535569215127","0.292093115931354"
"2","1990","college entrance qualification","Male","133","0.310473404389403","0.264844792586515","0.356102016192291"
"2","1990","college entrance qualification","Female","91","0.253195440249903","0.20502203540566","0.301368845094147"
"2","1990","Other degree","Male","13","","",""
"2","1990","Other degree","Female","11","","",""
"2","1990","no degree/no degree yet","Male","11","","",""
"2","1990","no degree/no degree yet","Female","6","","",""
"3","1990","lower secondary degree","Male","681","0.723824970740296","0.695423645717407","0.752226295763184"
"3","1990","lower secondary degree","Female","847","0.765339695811439","0.740695998851165","0.789983392771714"
"3","1990","secondary school degree","Male","626","0.617919206571814","0.588345744871107","0.647492668272521"
"3","1990","secondary school degree","Female","673","0.590492130233992","0.562387193418683","0.618597067049301"
"3","1990","college entrance qualification","Male","215","0.552686087514653","0.503652348360839","0.601719826668468"
"3","1990","college entrance qualification","Female","183","0.613928623674805","0.559993874258492","0.667863373091119"
"3","1990","Other degree","Male","62","0.69948588539611","0.60369401127291","0.79527775951931"
"3","1990","Other degree","Female","49","0.723402878762801","0.617084687665614","0.829721069859989"
"3","1990","no degree/no degree yet","Male","37","0.627335513615962","0.499551746504766","0.755119280727158"
"3","1990","no degree/no degree yet","Female","46","0.715437066390573","0.601268289341583","0.829605843439563"
"4","1990","lower secondary degree","Male","44","0.0493693448102765","0.0356078945057852","0.0631307951147678"
"4","1990","lower secondary degree","Female","48","0.044259964706295","0.0322998774995205","0.0562200519130694"
"4","1990","secondary school degree","Male","30","0.0313902508877719","0.0207774375879593","0.0420030641875845"
"4","1990","secondary school degree","Female","44","0.0482691652090129","0.03601915659229","0.0605191738257358"
"4","1990","college entrance qualification","Male","18","","",""
"4","1990","college entrance qualification","Female","11","","",""
"4","1990","Other degree","Male","3","","",""
"4","1990","Other degree","Female","2","","",""
"4","1990","no degree/no degree yet","Male","2","","",""
"4","1990","no degree/no degree yet","Female","3","","",""
"5","1990","lower secondary degree","Male","8","","",""
"5","1990","lower secondary degree","Female","12","","",""
"5","1990","secondary school degree","Male","5","","",""
"5","1990","secondary school degree","Female","5","","",""
"5","1990","college entrance qualification","Male","2","","",""
"5","1990","college entrance qualification","Female","","","",""
"5","1990","Other degree","Male","3","","",""
"5","1990","Other degree","Female","1","","",""
"5","1990","no degree/no degree yet","Male","","","",""
"5","1990","no degree/no degree yet","Female","","","",""
"1","1991","lower secondary degree","Male","87","0.0237599387155783","0.0181257958462664","0.0293940815848903"
"1","1991","lower secondary degree","Female","73","0.0131944648460287","0.00920651723208923","0.0171824124599681"
"1","1991","secondary school degree","Male","78","0.0393402347566082","0.0298235736458062","0.0488568958674103"
"1","1991","secondary school degree","Female","92","0.0427427296383455","0.0338954103566392","0.0515900489200518"
"1","1991","college entrance qualification","Male","39","0.0313244559802796","0.0206709193000485","0.0419779926605108"
"1","1991","college entrance qualification","Female","30","0.0228751800194296","0.0116464195455558","0.0341039404933034"
"1","1991","Other degree","Male","49","0.0720020872448131","0.0513874515382275","0.0926167229513987"
"1","1991","Other degree","Female","41","0.0890253654901231","0.0619824621171102","0.116068268863136"
"1","1991","no degree/no degree yet","Male","39","0.0658743858843124","0.04070024807708","0.0910485236915447"
"1","1991","no degree/no degree yet","Female","34","0.0448289709504134","0.0262004284987198","0.063457513402107"
"2","1991","lower secondary degree","Male","445","0.138821447068483","0.126030527411829","0.151612366725137"
"2","1991","lower secondary degree","Female","430","0.112820831377301","0.101763811714531","0.123877851040071"
"2","1991","secondary school degree","Male","339","0.191886480305282","0.172609468890179","0.211163491720385"
"2","1991","secondary school degree","Female","469","0.199286060022784","0.181814029005708","0.216758091039859"
"2","1991","college entrance qualification","Male","249","0.216848546703398","0.191644863840485","0.242052229566311"
"2","1991","college entrance qualification","Female","163","0.21599582730142","0.185088859279283","0.246902795323557"
"2","1991","Other degree","Male","135","0.242780766450514","0.208586949765456","0.276974583135572"
"2","1991","Other degree","Female","100","0.246714993780055","0.205777549614824","0.287652437945286"
"2","1991","no degree/no degree yet","Male","95","0.213870427855062","0.172258665357985","0.25548219035214"
"2","1991","no degree/no degree yet","Female","109","0.204834501302924","0.168502506888537","0.241166495717312"
"3","1991","lower secondary degree","Male","2105","0.768385218665709","0.752778934099601","0.783991503231817"
"3","1991","lower secondary degree","Female","2414","0.792506206430107","0.778333863332945","0.80667854952727"
"3","1991","secondary school degree","Male","1090","0.696728746239586","0.67422634740508","0.719231145074091"
"3","1991","secondary school degree","Female","1321","0.672747578007472","0.652224913625098","0.693270242389846"
"3","1991","college entrance qualification","Male","646","0.636161140313969","0.606737189996404","0.665585090631535"
"3","1991","college entrance qualification","Female","445","0.689074644081398","0.654310163907118","0.723839124255679"
"3","1991","Other degree","Male","402","0.63825417184817","0.599933932020513","0.676574411675827"
"3","1991","Other degree","Female","271","0.605349828464446","0.558935438021695","0.651764218907197"
"3","1991","no degree/no degree yet","Male","228","0.649489459410626","0.60106884788035","0.697910070940902"
"3","1991","no degree/no degree yet","Female","323","0.718016581481716","0.677508848115862","0.75852431484757"
"4","1991","lower secondary degree","Male","156","0.0637936355939674","0.0547529502127197","0.0728343209752152"
"4","1991","lower secondary degree","Female","206","0.0730104932507502","0.0639183176167818","0.0821026688847186"
"4","1991","secondary school degree","Male","90","0.0681599000337354","0.0558227030215298","0.0804970970459409"
"4","1991","secondary school degree","Female","113","0.0769118775840318","0.0652576223540317","0.0885661328140319"
"4","1991","college entrance qualification","Male","85","0.105803545195813","0.086991784256728","0.124615306134898"
"4","1991","college entrance qualification","Female","43","0.0720543485977523","0.0526336028022628","0.0914750943932417"
"4","1991","Other degree","Male","15","","",""
"4","1991","Other degree","Female","13","","",""
"4","1991","no degree/no degree yet","Male","9","","",""
"4","1991","no degree/no degree yet","Female","6","","",""
"5","1991","lower secondary degree","Male","14","","",""
"5","1991","lower secondary degree","Female","22","","",""
"5","1991","secondary school degree","Male","6","","",""
"5","1991","secondary school degree","Female","13","","",""
"5","1991","college entrance qualification","Male","8","","",""
"5","1991","college entrance qualification","Female","","","",""
"5","1991","Other degree","Male","3","","",""
"5","1991","Other degree","Female","1","","",""
"5","1991","no degree/no degree yet","Male","2","","",""
"5","1991","no degree/no degree yet","Female","2","","",""
"1","1992","lower secondary degree","Male","99","0.0254641215038374","0.0195721438659427","0.0313560991417321"
"1","1992","lower secondary degree","Female","72","0.0147432291912849","0.0104652329236016","0.0190212254589682"
"1","1992","secondary school degree","Male","71","0.0350469601866975","0.025930066952489","0.044163853420906"
"1","1992","secondary school degree","Female","101","0.0364825131083638","0.0282738693850298","0.0446911568316979"
"1","1992","college entrance qualification","Male","37","0.0366642498137527","0.0251421168240195","0.0481863828034858"
"1","1992","college entrance qualification","Female","25","","",""
"1","1992","Other degree","Male","47","0.0739418133163602","0.0523266719761718","0.0955569546565485"
"1","1992","Other degree","Female","40","0.0799829580582832","0.053757453824736","0.106208462291831"
"1","1992","no degree/no degree yet","Male","41","0.0661815364471174","0.0404298172128669","0.0919332556813678"
"1","1992","no degree/no degree yet","Female","48","0.0726705645983813","0.0494472737009843","0.0958938554957783"
"2","1992","lower secondary degree","Male","414","0.128782818572567","0.116254580335105","0.141311056810028"
"2","1992","lower secondary degree","Female","401","0.107571649625803","0.0965738710300666","0.11856942822154"
"2","1992","secondary school degree","Male","366","0.212285549980975","0.192012773837857","0.232558326124092"
"2","1992","secondary school degree","Female","475","0.203482625155566","0.185856350818941","0.221108899492191"
"2","1992","college entrance qualification","Male","242","0.202610234602865","0.177967513527376","0.227252955678353"
"2","1992","college entrance qualification","Female","187","0.226590891736995","0.195754942103618","0.257426841370372"
"2","1992","Other degree","Male","138","0.235052023083006","0.200025918463919","0.270078127702094"
"2","1992","Other degree","Female","96","0.236811578519696","0.195711321956869","0.277911835082522"
"2","1992","no degree/no degree yet","Male","82","0.202227300962277","0.160620334242923","0.243834267681631"
"2","1992","no degree/no degree yet","Female","104","0.175765444703553","0.141715247619388","0.209815641787719"
"3","1992","lower secondary degree","Male","2042","0.770869330734932","0.755150153158105","0.78658850831176"
"3","1992","lower secondary degree","Female","2319","0.783702810287747","0.76908876262955","0.798316857945943"
"3","1992","secondary school degree","Male","1028","0.686123822260997","0.663117403060308","0.709130241461685"
"3","1992","secondary school degree","Female","1309","0.682500619507546","0.662119773926128","0.702881465088964"
"3","1992","college entrance qualification","Male","648","0.652845316908927","0.623658327280045","0.682032306537809"
"3","1992","college entrance qualification","Female","445","0.658546707131178","0.623617365001147","0.693476049261209"
"3","1992","Other degree","Male","365","0.654145036615492","0.614855407864947","0.693434665366036"
"3","1992","Other degree","Female","264","0.646892706360161","0.600686889599393","0.69309852312093"
"3","1992","no degree/no degree yet","Male","223","0.647946906432899","0.598472525287079","0.697421287578719"
"3","1992","no degree/no degree yet","Female","321","0.714672145508106","0.674274785413049","0.755069505603163"
"4","1992","lower secondary degree","Male","176","0.0686491289253365","0.0591917235965158","0.0781065342541573"
