"hlf0071_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"A little too small","1988","indirect migration background","Urban Area","3","","","","2"
"A little too small","1988","indirect migration background","Rural Area","","","","","2"
"Just right","1988","no migration background","Urban Area","403","0.727690640718612","0.690283602795869","0.765097678641356","3"
"Just right","1988","no migration background","Rural Area","97","0.79881774628497","0.727971927812477","0.869663564757462","3"
"Just right","1988","direct migration background","Urban Area","198","0.718630138293446","0.666606748776821","0.770653527810071","3"
"Just right","1988","direct migration background","Rural Area","39","0.80495802580642","0.692865118906095","0.917050932706745","3"
"Just right","1988","indirect migration background","Urban Area","9","","","","3"
"Just right","1988","indirect migration background","Rural Area","5","","","","3"
"Much too big","1988","no migration background","Urban Area","","","","","5"
"Much too big","1988","no migration background","Rural Area","3","","","","5"
"Much too big","1988","direct migration background","Urban Area","","","","","5"
"Much too big","1988","indirect migration background","Urban Area","","","","","5"
"Much too big","1988","direct migration background","Rural Area","","","","","5"
"Much too big","1988","indirect migration background","Rural Area","","","","","5"
"Much too small","1988","no migration background","Urban Area","21","","","","1"
"Much too small","1988","no migration background","Rural Area","1","","","","1"
"Much too small","1988","direct migration background","Urban Area","16","","","","1"
"Much too small","1988","direct migration background","Rural Area","","","","","1"
"Much too small","1988","indirect migration background","Urban Area","","","","","1"
"Much too small","1988","indirect migration background","Rural Area","","","","","1"
"A little too big","1989","no migration background","Urban Area","38","0.0695082225235761","0.0478364408799107","0.0911800041672415","4"
"A little too big","1989","no migration background","Rural Area","11","","","","4"
"A little too big","1989","direct migration background","Urban Area","6","","","","4"
"A little too big","1989","direct migration background","Rural Area","5","","","","4"
"A little too big","1989","indirect migration background","Urban Area","","","","","4"
"A little too big","1989","indirect migration background","Rural Area","","","","","4"
"A little too small","1989","no migration background","Urban Area","74","0.134570702962305","0.105489570667333","0.163651835257277","2"
"A little too small","1989","direct migration background","Urban Area","57","0.180141246882459","0.130148009211665","0.230134484553254","2"
"A little too small","1989","no migration background","Rural Area","17","","","","2"
"A little too small","1989","direct migration background","Rural Area","8","","","","2"
"A little too small","1989","indirect migration background","Urban Area","4","","","","2"
"A little too small","1989","indirect migration background","Rural Area","1","","","","2"
"Just right","1989","no migration background","Rural Area","105","0.778718922961194","0.709460746872119","0.84797709905027","3"
"Just right","1989","no migration background","Urban Area","386","0.746047278485511","0.7089553113852","0.783139245585822","3"
"Just right","1989","direct migration background","Urban Area","155","0.752781331798299","0.696662294284973","0.808900369311626","3"
"Just right","1989","direct migration background","Rural Area","28","","","","3"
"Just right","1989","indirect migration background","Urban Area","16","","","","3"
"Just right","1989","indirect migration background","Rural Area","4","","","","3"
"Much too big","1989","no migration background","Urban Area","5","","","","5"
"Much too big","1989","no migration background","Rural Area","","","","","5"
"Much too big","1989","direct migration background","Urban Area","","","","","5"
"Much too big","1989","direct migration background","Rural Area","","","","","5"
"Much too big","1989","indirect migration background","Urban Area","","","","","5"
"Much too big","1989","indirect migration background","Rural Area","","","","","5"
"Much too small","1989","no migration background","Urban Area","26","","","","1"
"Much too small","1989","no migration background","Rural Area","5","","","","1"
"Much too small","1989","direct migration background","Urban Area","9","","","","1"
"Much too small","1989","direct migration background","Rural Area","","","","","1"
"Much too small","1989","indirect migration background","Urban Area","","","","","1"
"Much too small","1989","indirect migration background","Rural Area","","","","","1"
"A little too big","1990","no migration background","Urban Area","88","0.0436871455428339","0.0345916983338519","0.052782592751816","4"
"A little too big","1990","direct migration background","Urban Area","11","","","","4"
"A little too big","1990","no migration background","Rural Area","97","0.0429826325226504","0.0355572913497291","0.0504079736955717","4"
"A little too big","1990","direct migration background","Rural Area","7","","","","4"
"A little too big","1990","indirect migration background","Urban Area","","","","","4"
"A little too big","1990","indirect migration background","Rural Area","","","","","4"
"A little too small","1990","no migration background","Urban Area","439","0.199442622485895","0.181661775437295","0.217223469534494","2"
"A little too small","1990","no migration background","Rural Area","693","0.218952555120654","0.203812630432791","0.234092479808517","2"
"A little too small","1990","direct migration background","Urban Area","38","0.212562089143132","0.161746205458564","0.263377972827699","2"
"A little too small","1990","direct migration background","Rural Area","20","","","","2"
"A little too small","1990","indirect migration background","Urban Area","5","","","","2"
"A little too small","1990","indirect migration background","Rural Area","1","","","","2"
"Just right","1990","no migration background","Urban Area","1268","0.682445097849712","0.661729832724847","0.703160362974576","3"
"Just right","1990","no migration background","Rural Area","1826","0.658684085490117","0.641324999577532","0.676043171402702","3"
"Just right","1990","direct migration background","Urban Area","174","0.604468812904105","0.543735673218063","0.665201952590147","3"
"Just right","1990","direct migration background","Rural Area","100","0.717810366034001","0.642446494874928","0.793174237193073","3"
"Just right","1990","indirect migration background","Urban Area","22","","","","3"
"Just right","1990","indirect migration background","Rural Area","5","","","","3"
"Much too big","1990","no migration background","Urban Area","8","","","","5"
"Much too big","1990","no migration background","Rural Area","23","","","","5"
"Much too big","1990","direct migration background","Urban Area","3","","","","5"
"Much too big","1990","direct migration background","Rural Area","2","","","","5"
"Much too big","1990","indirect migration background","Urban Area","","","","","5"
"Much too big","1990","indirect migration background","Rural Area","","","","","5"
"Much too small","1990","no migration background","Urban Area","137","0.0695446303189073","0.0582251418664486","0.080864118771366","1"
"Much too small","1990","no migration background","Rural Area","227","0.0706806573413469","0.0612976344425832","0.0800636802401106","1"
"Much too small","1990","direct migration background","Urban Area","23","","","","1"
"Much too small","1990","direct migration background","Rural Area","8","","","","1"
"Much too small","1990","indirect migration background","Urban Area","2","","","","1"
"Much too small","1990","indirect migration background","Rural Area","","","","","1"
"A little too big","1991","no migration background","Urban Area","396","0.0698577014885816","0.063533541575364","0.0761818614017991","4"
"A little too big","1991","no migration background","Rural Area","284","0.0893979837515615","0.0807068569495791","0.0980891105535439","4"
"A little too big","1991","direct migration background","Urban Area","46","0.0333138951932708","0.0257962702328052","0.0408315201537364","4"
"A little too big","1991","indirect migration background","Urban Area","6","","","","4"
"A little too big","1991","direct migration background","Rural Area","9","","","","4"
"A little too big","1991","indirect migration background","Rural Area","","","","","4"
"A little too small","1991","no migration background","Urban Area","1109","0.157797534204134","0.148753142555879","0.16684192585239","2"
"A little too small","1991","no migration background","Rural Area","786","0.158819338868677","0.147685517423387","0.169953160313967","2"
"A little too small","1991","direct migration background","Urban Area","513","0.215002977251124","0.197792954202459","0.232213000299788","2"
"A little too small","1991","direct migration background","Rural Area","66","0.115722135074079","0.0841755655845078","0.14726870456365","2"
"A little too small","1991","indirect migration background","Urban Area","74","0.262483384810117","0.21286056574654","0.312106203873695","2"
"A little too small","1991","indirect migration background","Rural Area","12","","","","2"
"Just right","1991","no migration background","Urban Area","4520","0.741557781116379","0.730696645702436","0.752418916530321","3"
"Just right","1991","no migration background","Rural Area","2893","0.716506516772738","0.702777813044164","0.730235220501313","3"
"Just right","1991","direct migration background","Urban Area","1415","0.683666649253386","0.66418526115021","0.703148037356563","3"
"Just right","1991","direct migration background","Rural Area","303","0.81325006320816","0.774818165675291","0.851681960741029","3"
"Just right","1991","indirect migration background","Urban Area","200","0.660789054769761","0.607392778862425","0.714185330677098","3"
"Just right","1991","indirect migration background","Rural Area","29","","","","3"
"Much too big","1991","no migration background","Urban Area","36","0.00691673911521225","0.0048605430288945","0.00897293520153001","5"
"Much too big","1991","no migration background","Rural Area","29","","","","5"
"Much too big","1991","direct migration background","Urban Area","7","","","","5"
"Much too big","1991","direct migration background","Rural Area","","","","","5"
"Much too big","1991","indirect migration background","Urban Area","","","","","5"
"Much too big","1991","indirect migration background","Rural Area","","","","","5"
"Much too small","1991","no migration background","Urban Area","180","0.0238702440756929","0.0200831751845559","0.0276573129668299","1"
"Much too small","1991","no migration background","Rural Area","148","0.026444360650175","0.0215567697834159","0.0313319515169341","1"
"Much too small","1991","direct migration background","Urban Area","208","0.0650895007063941","0.054755566341619","0.0754234350711692","1"
"Much too small","1991","direct migration background","Rural Area","17","","","","1"
"Much too small","1991","indirect migration background","Urban Area","22","","","","1"
"Much too small","1991","indirect migration background","Rural Area","1","","","","1"
"A little too big","1992","no migration background","Urban Area","419","0.0764157168005946","0.069808296954029","0.0830231366471602","4"
"A little too big","1992","no migration background","Rural Area","304","0.0891202720057494","0.0802451545322046","0.0979953894792943","4"
"A little too big","1992","direct migration background","Rural Area","19","","","","4"
"A little too big","1992","direct migration background","Urban Area","44","0.0304799723546207","0.0231083250576865","0.0378516196515549","4"
"A little too big","1992","indirect migration background","Urban Area","8","","","","4"
"A little too big","1992","indirect migration background","Rural Area","1","","","","4"
"A little too small","1992","no migration background","Urban Area","1136","0.161170161214463","0.152025206768099","0.170315115660827","2"
"A little too small","1992","no migration background","Rural Area","717","0.142444940511527","0.131557899447117","0.153331981575937","2"
"A little too small","1992","direct migration background","Urban Area","499","0.213956029793652","0.196370131524262","0.231541928063042","2"
"A little too small","1992","direct migration background","Rural Area","83","0.167499567456063","0.130859123935104","0.204140010977022","2"
"A little too small","1992","indirect migration background","Rural Area","12","","","","2"
"A little too small","1992","indirect migration background","Urban Area","84","0.237537041724424","0.192301095498479","0.282772987950369","2"
"Just right","1992","no migration background","Rural Area","2774","0.735260922699866","0.721517809996586","0.749004035403146","3"
"Just right","1992","no migration background","Urban Area","4435","0.729901158061571","0.718857939226124","0.740944376897018","3"
"Just right","1992","direct migration background","Urban Area","1341","0.697155691502177","0.67745173374593","0.716859649258424","3"
"Just right","1992","direct migration background","Rural Area","276","0.747816595997527","0.705206016164878","0.790427175830175","3"
"Just right","1992","indirect migration background","Urban Area","211","0.654635318744341","0.604093913830979","0.705176723657704","3"
"Just right","1992","indirect migration background","Rural Area","38","0.707096140212731","0.588951929885395","0.825240350540068","3"
"Much too big","1992","no migration background","Urban Area","35","0.00657546431010685","0.00456529358274757","0.00858563503746613","5"
"Much too big","1992","no migration background","Rural Area","19","","","","5"
"Much too big","1992","direct migration background","Urban Area","1","","","","5"
"Much too big","1992","direct migration background","Rural Area","1","","","","5"
"Much too big","1992","indirect migration background","Urban Area","1","","","","5"
"Much too big","1992","indirect migration background","Rural Area","","","","","5"
"Much too small","1992","no migration background","Urban Area","185","0.0259374996132643","0.0219841997558515","0.0298907994706771","1"
"Much too small","1992","no migration background","Rural Area","145","0.0265572265406116","0.0215487930381984","0.0315656600430249","1"
"Much too small","1992","direct migration background","Urban Area","204","0.0581776519516364","0.0481397843912574","0.0682155195120154","1"
"Much too small","1992","direct migration background","Rural Area","20","","","","1"
"Much too small","1992","indirect migration background","Urban Area","36","0.0866480504873706","0.0567455772415083","0.116550523733233","1"
"Much too small","1992","indirect migration background","Rural Area","6","","","","1"
"A little too big","1993","no migration background","Rural Area","271","0.089180902401274","0.0802292726140603","0.0981325321884877","4"
"A little too big","1993","no migration background","Urban Area","458","0.0782563106109303","0.0715395796018637","0.0849730416199969","4"
"A little too big","1993","direct migration background","Urban Area","67","0.0386571306569474","0.0303324335045477","0.046981827809347","4"
"A little too big","1993","direct migration background","Rural Area","33","0.0923832932585349","0.0637547152847901","0.12101187123228","4"
"A little too big","1993","indirect migration background","Urban Area","12","","","","4"
"A little too big","1993","indirect migration background","Rural Area","6","","","","4"
"A little too small","1993","no migration background","Urban Area","1110","0.161454350321224","0.152252367550929","0.170656333091519","2"
"A little too small","1993","no migration background","Rural Area","732","0.155118504839558","0.143747998058932","0.166489011620184","2"
"A little too small","1993","direct migration background","Urban Area","491","0.225928142179414","0.207869284072472","0.243987000286357","2"
"A little too small","1993","direct migration background","Rural Area","68","0.20210896297721","0.162406596308083","0.241811329646338","2"
"A little too small","1993","indirect migration background","Urban Area","91","0.20106870020677","0.161791090662489","0.240346309751051","2"
"A little too small","1993","indirect migration background","Rural Area","12","","","","2"
"Just right","1993","no migration background","Urban Area","4354","0.728223223236927","0.717097413748091","0.739349032725762","3"
"Just right","1993","no migration background","Rural Area","2782","0.732332649826151","0.718426656531403","0.746238643120899","3"
"Just right","1993","direct migration background","Urban Area","1296","0.670705262681647","0.650411025447046","0.690999499916248","3"
"Just right","1993","direct migration background","Rural Area","266","0.678697014960567","0.632528366039296","0.724865663881837","3"
"Just right","1993","indirect migration background","Urban Area","250","0.681939786271664","0.636299770781308","0.727579801762019","3"
"Just right","1993","indirect migration background","Rural Area","52","0.778844583953805","0.682980476148125","0.874708691759485","3"
"Much too big","1993","no migration background","Urban Area","41","0.00782431940538227","0.0056208310522246","0.0100278077585399","5"
"Much too big","1993","no migration background","Rural Area","14","","","","5"
"Much too big","1993","direct migration background","Urban Area","2","","","","5"
"Much too big","1993","direct migration background","Rural Area","","","","","5"
"Much too big","1993","indirect migration background","Urban Area","2","","","","5"
"Much too big","1993","indirect migration background","Rural Area","","","","","5"
"Much too small","1993","no migration background","Urban Area","179","0.024241796425537","0.020395465112512","0.0280881277385619","1"
"Much too small","1993","no migration background","Rural Area","95","0.0204189790713072","0.015976889509994","0.0248610686326205","1"
"Much too small","1993","direct migration background","Urban Area","204","0.0637333975638872","0.05318472571798","0.0742820694097943","1"
"Much too small","1993","direct migration background","Rural Area","26","","","","1"
"Much too small","1993","indirect migration background","Urban Area","45","0.0734829730200958","0.0479125356024416","0.0990534104377499","1"
"Much too small","1993","indirect migration background","Rural Area","2","","","","1"
"A little too big","1994","no migration background","Urban Area","444","0.0817707911514261","0.0748842755657444","0.0886573067371078","4"
"A little too big","1994","direct migration background","Urban Area","60","0.0509650294332532","0.0411149224041598","0.0608151364623466","4"
"A little too big","1994","no migration background","Rural Area","312","0.101716946295517","0.092125058717273","0.111308833873761","4"
"A little too big","1994","indirect migration background","Urban Area","18","","","","4"
"A little too big","1994","direct migration background","Rural Area","26","","","","4"
"A little too big","1994","indirect migration background","Rural Area","2","","","","4"
"A little too small","1994","no migration background","Urban Area","1062","0.156604182894585","0.14747057668231","0.165737789106861","2"
"A little too small","1994","direct migration background","Urban Area","424","0.220194827353797","0.201635581964748","0.238754072742846","2"
"A little too small","1994","no migration background","Rural Area","671","0.144358784732235","0.133206386305511","0.155511183158959","2"
"A little too small","1994","indirect migration background","Urban Area","101","0.250454569696753","0.208818964080562","0.292090175312945","2"
"A little too small","1994","direct migration background","Rural Area","47","0.108797356465133","0.0769831140268815","0.140611598903385","2"
"A little too small","1994","indirect migration background","Rural Area","14","","","","2"
"Just right","1994","no migration background","Urban Area","4377","0.735102646218567","0.724012489429117","0.746192803008018","3"
"Just right","1994","no migration background","Rural Area","2675","0.72112898632383","0.706898852514325","0.735359120133335","3"
"Just right","1994","direct migration background","Urban Area","1250","0.657348056897587","0.636091741125171","0.678604372670003","3"
"Just right","1994","indirect migration background","Urban Area","256","0.596255610821292","0.549106781369925","0.643404440272658","3"
"Just right","1994","direct migration background","Rural Area","277","0.756693547531071","0.712854510053053","0.800532585009088","3"
"Just right","1994","indirect migration background","Rural Area","52","0.748675203689739","0.647058883148189","0.85029152423129","3"
"Much too big","1994","no migration background","Urban Area","33","0.0069795358001176","0.00488726809317148","0.00907180350706371","5"
"Much too big","1994","no migration background","Rural Area","40","0.0085569231737228","0.00563416066065868","0.0114796856867869","5"
"Much too big","1994","direct migration background","Urban Area","5","","","","5"
"Much too big","1994","direct migration background","Rural Area","1","","","","5"
"Much too big","1994","indirect migration background","Urban Area","1","","","","5"
"Much too big","1994","indirect migration background","Rural Area","","","","","5"
"Much too small","1994","no migration background","Urban Area","166","0.0195428439353035","0.016064014986426","0.0230216728841811","1"
"Much too small","1994","no migration background","Rural Area","117","0.0242383594746947","0.019358309140855","0.0291184098085343","1"
"Much too small","1994","direct migration background","Urban Area","176","0.0679524107814627","0.0566808208585536","0.0792240007043717","1"
"Much too small","1994","direct migration background","Rural Area","17","","","","1"
"Much too small","1994","indirect migration background","Urban Area","40","0.0760691903176131","0.0505935242678157","0.101544856367411","1"
"Much too small","1994","indirect migration background","Rural Area","2","","","","1"
"A little too big","1995","no migration background","Urban Area","471","0.0893436118817584","0.0821340062191629","0.0965532175443539","4"
"A little too big","1995","direct migration background","Urban Area","61","0.036654335577589","0.0289428296321825","0.0443658415229955","4"
"A little too big","1995","no migration background","Rural Area","379","0.117167318154469","0.107108195906303","0.127226440402635","4"
"A little too big","1995","direct migration background","Rural Area","37","0.0996051779741677","0.0724149665240236","0.126795389424312","4"
"A little too big","1995","indirect migration background","Urban Area","12","","","","4"
"A little too big","1995","indirect migration background","Rural Area","2","","","","4"
"A little too small","1995","no migration background","Urban Area","991","0.147878526492063","0.13890618486619","0.156850868117935","2"
"A little too small","1995","no migration background","Rural Area","657","0.147682978849827","0.136586544628358","0.158779413071295","2"
"A little too small","1995","direct migration background","Urban Area","539","0.217155668372471","0.200235341870771","0.23407599487417","2"
"A little too small","1995","direct migration background","Rural Area","85","0.192622405325415","0.156817141331205","0.228427669319625","2"
"A little too small","1995","indirect migration background","Rural Area","11","","","","2"
"A little too small","1995","indirect migration background","Urban Area","108","0.230823627737638","0.190621877211538","0.271025378263739","2"
"Just right","1995","no migration background","Rural Area","2751","0.705257585698812","0.69099780515826","0.719517366239364","3"
"Just right","1995","no migration background","Urban Area","4369","0.736553499527587","0.725419508814928","0.747687490240246","3"
"Just right","1995","direct migration background","Urban Area","1485","0.668609738470247","0.649292650027135","0.687926826913359","3"
"Just right","1995","direct migration background","Rural Area","324","0.673863928226173","0.631300102602469","0.716427753849876","3"
"Just right","1995","indirect migration background","Urban Area","281","0.691905724999889","0.647854586040127","0.735956863959651","3"
"Just right","1995","indirect migration background","Rural Area","60","0.767233336232431","0.671592892455566","0.862873780009297","3"
"Much too big","1995","no migration background","Urban Area","32","0.00665321462874396","0.00459841867755802","0.00870801057992991","5"
"Much too big","1995","no migration background","Rural Area","32","0.0111145738971933","0.00783560696097856","0.0143935408334081","5"
"Much too big","1995","direct migration background","Urban Area","4","","","","5"
"Much too big","1995","direct migration background","Rural Area","5","","","","5"
"Much too big","1995","indirect migration background","Urban Area","","","","","5"
"Much too big","1995","indirect migration background","Rural Area","","","","","5"
"Much too small","1995","no migration background","Urban Area","150","0.0195711474698478","0.01606993331575","0.0230723616239456","1"
"Much too small","1995","no migration background","Rural Area","108","0.0187775433996993","0.0145321223673507","0.0230229644320479","1"
"Much too small","1995","direct migration background","Urban Area","192","0.072732320831685","0.0620749093930084","0.0833897322703615","1"
"Much too small","1995","direct migration background","Rural Area","15","","","","1"
"Much too small","1995","indirect migration background","Urban Area","21","","","","1"
"Much too small","1995","indirect migration background","Rural Area","2","","","","1"
"A little too big","1996","no migration background","Rural Area","353","0.117677599621259","0.107530805794945","0.127824393447573","4"
"A little too big","1996","no migration background","Urban Area","512","0.0993753829553154","0.0917980126871152","0.106952753223516","4"
"A little too big","1996","direct migration background","Urban Area","75","0.0617592017870903","0.0515699171468916","0.071948486427289","4"
"A little too big","1996","direct migration background","Rural Area","30","0.0953863518135107","0.0679703901818711","0.12280231344515","4"
"A little too big","1996","indirect migration background","Rural Area","1","","","","4"
"A little too big","1996","indirect migration background","Urban Area","17","","","","4"
"A little too small","1996","no migration background","Urban Area","1038","0.155355885177874","0.146180845938719","0.164530924417029","2"
"A little too small","1996","no migration background","Rural Area","630","0.139902943431061","0.128979603740527","0.150826283121595","2"
"A little too small","1996","direct migration background","Urban Area","471","0.202337080061584","0.185331825337442","0.219342334785727","2"
"A little too small","1996","direct migration background","Rural Area","72","0.161906654533342","0.127526538192099","0.196286770874584","2"
"A little too small","1996","indirect migration background","Urban Area","108","0.242372957171351","0.202998715049946","0.281747199292755","2"
"A little too small","1996","indirect migration background","Rural Area","13","","","","2"
"Just right","1996","no migration background","Urban Area","4280","0.722400493962963","0.711058078350084","0.733742909575842","3"
"Just right","1996","no migration background","Rural Area","2755","0.714173572781864","0.699946309743208","0.72840083582052","3"
"Just right","1996","direct migration background","Urban Area","1437","0.681039939596915","0.661311617771675","0.700768261422155","3"
"Just right","1996","direct migration background","Rural Area","331","0.727380030739576","0.685818808059582","0.768941253419571","3"
"Just right","1996","indirect migration background","Urban Area","297","0.650227560427685","0.606408014546049","0.694047106309321","3"
"Just right","1996","indirect migration background","Rural Area","71","0.842711301706067","0.766208624590137","0.919213978821997","3"
"Much too big","1996","no migration background","Urban Area","33","0.00719082132017329","0.00505074463481669","0.00933089800552989","5"
"Much too big","1996","no migration background","Rural Area","32","0.00962401535835709","0.00654971364661422","0.0126983170701","5"
"Much too big","1996","direct migration background","Urban Area","4","","","","5"
"Much too big","1996","direct migration background","Rural Area","","","","","5"
"Much too big","1996","indirect migration background","Urban Area","","","","","5"
"Much too big","1996","indirect migration background","Rural Area","","","","","5"
"Much too small","1996","no migration background","Urban Area","125","0.0156774165836749","0.0125310221205087","0.018823811046841","1"
"Much too small","1996","no migration background","Rural Area","104","0.0186218688074588","0.0143649231890903","0.0228788144258272","1"
