"hlf0071_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Just right","1988","East Germany","Male","","","",""
"Just right","1988","East Germany","Female","","","",""
"A little too big","1988","West Germany","Male","28","","",""
"A little too big","1988","West Germany","Female","29","","",""
"A little too big","1988","East Germany","Male","","","",""
"A little too big","1988","East Germany","Female","","","",""
"Much too big","1988","West Germany","Male","2","","",""
"Much too big","1988","West Germany","Female","1","","",""
"Much too big","1988","East Germany","Male","","","",""
"Much too big","1988","East Germany","Female","","","",""
"Much too small","1989","West Germany","Male","18","","",""
"Much too small","1989","West Germany","Female","22","","",""
"Much too small","1989","East Germany","Male","","","",""
"Much too small","1989","East Germany","Female","","","",""
"A little too small","1989","West Germany","Male","77","0.129159750024049","0.0992812868764847","0.159038213171612"
"A little too small","1989","West Germany","Female","84","0.139700124670003","0.108556587151579","0.170843662188427"
"A little too small","1989","East Germany","Male","","","",""
"A little too small","1989","East Germany","Female","","","",""
"Just right","1989","West Germany","Male","353","0.748446339540036","0.709789969920878","0.787102709159193"
"Just right","1989","West Germany","Female","341","0.753685785754147","0.714979231212368","0.792392340295926"
"Just right","1989","East Germany","Male","","","",""
"Just right","1989","East Germany","Female","","","",""
"A little too big","1989","West Germany","Male","34","0.0835263771667931","0.0588774956263997","0.108175258707187"
"A little too big","1989","West Germany","Female","26","","",""
"A little too big","1989","East Germany","Male","","","",""
"A little too big","1989","East Germany","Female","","","",""
"Much too big","1989","West Germany","Male","2","","",""
"Much too big","1989","West Germany","Female","3","","",""
"Much too big","1989","East Germany","Male","","","",""
"Much too big","1989","East Germany","Female","","","",""
"Much too small","1990","West Germany","Male","27","","",""
"Much too small","1990","West Germany","Female","29","","",""
"Much too small","1990","East Germany","Male","172","0.0784119700610589","0.0669310021542973","0.0898929379678205"
"Much too small","1990","East Germany","Female","171","0.0682613448026414","0.0580190369917956","0.0785036526134873"
"A little too small","1990","West Germany","Male","68","0.184147460529833","0.147806527408111","0.220488393651554"
"A little too small","1990","West Germany","Female","57","0.138053769628484","0.105894870121708","0.170212669135261"
"A little too small","1990","East Germany","Male","528","0.235059599625416","0.216949463986493","0.253169735264339"
"A little too small","1990","East Germany","Female","575","0.223109363924859","0.206200976543226","0.240017751306492"
"Just right","1990","West Germany","Male","320","0.696908395806819","0.653817832251655","0.739998959361983"
"Just right","1990","West Germany","Female","333","0.745524146109452","0.704918062595425","0.786130229623479"
"Just right","1990","East Germany","Male","1313","0.635847178536746","0.615295981577819","0.656398375495674"
"Just right","1990","East Germany","Female","1480","0.658268472770683","0.639006205781747","0.67753073975962"
"A little too big","1990","West Germany","Male","19","","",""
"A little too big","1990","West Germany","Female","21","","",""
"A little too big","1990","East Germany","Male","78","0.04179390214419","0.0332470767145346","0.0503407275738454"
"A little too big","1990","East Germany","Female","87","0.0434026677041887","0.0351273220798868","0.0516780133284906"
"Much too big","1990","West Germany","Male","3","","",""
"Much too big","1990","West Germany","Female","2","","",""
"Much too big","1990","East Germany","Male","15","","",""
"Much too big","1990","East Germany","Female","16","","",""
"Much too small","1991","West Germany","Male","202","0.0287260311810318","0.0238826773180793","0.0335693850439843"
"Much too small","1991","West Germany","Female","178","0.0214205372260106","0.0172791721134859","0.0255619023385353"
"Much too small","1991","East Germany","Male","98","0.0445958090552237","0.0354785178234828","0.0537131002869646"
"Much too small","1991","East Germany","Female","100","0.0405328011497271","0.0322259292012719","0.0488396730981824"
"A little too small","1991","West Germany","Male","855","0.164196584587046","0.153454918636391","0.1749382505377"
"A little too small","1991","West Germany","Female","841","0.147566565627562","0.137421508069185","0.15771162318594"
"A little too small","1991","East Germany","Male","429","0.205235644272642","0.187396631432382","0.223074657112902"
"A little too small","1991","East Germany","Female","459","0.185039503782567","0.168681901407786","0.201397106157348"
"Just right","1991","West Germany","Male","3222","0.725170116504733","0.712225492556232","0.738114740453234"
"Just right","1991","West Germany","Female","3369","0.74737202179855","0.734942928906996","0.759801114690104"
"Just right","1991","East Germany","Male","1337","0.69033801461591","0.669915929848781","0.71076009938304"
"Just right","1991","East Germany","Female","1492","0.714410448746686","0.695383716939551","0.733437180553821"
"A little too big","1991","West Germany","Male","267","0.0760163232609255","0.0683316909689044","0.0837009555529466"
"A little too big","1991","West Germany","Female","284","0.0764197163407717","0.0688204733785945","0.0840189593029489"
"A little too big","1991","East Germany","Male","94","0.0514204217706366","0.0416653619818603","0.0611754815594129"
"A little too big","1991","East Germany","Female","99","0.0522011056160831","0.042831591059391","0.0615706201727752"
"Much too big","1991","West Germany","Male","23","","",""
"Much too big","1991","West Germany","Female","23","","",""
"Much too big","1991","East Germany","Male","11","","",""
"Much too big","1991","East Germany","Female","15","","",""
"Much too small","1992","West Germany","Male","231","0.0327456019933908","0.0275446216613237","0.0379465823254579"
"Much too small","1992","West Germany","Female","217","0.0258037140979144","0.0212719100392252","0.0303355181566037"
"Much too small","1992","East Germany","Male","73","0.0334106298001506","0.025302410628965","0.0415188489713363"
"Much too small","1992","East Germany","Female","79","0.0299610705118545","0.0226452307574738","0.0372769102662351"
"A little too small","1992","West Germany","Male","852","0.162491500295478","0.151710767018857","0.1732722335721"
"A little too small","1992","West Germany","Female","849","0.147106698310878","0.136982273613991","0.157231123007765"
"A little too small","1992","East Germany","Male","420","0.200465944652957","0.182402485274348","0.218529404031565"
"A little too small","1992","East Germany","Female","443","0.184123321543706","0.167490818982813","0.2007558241046"
"Just right","1992","West Germany","Male","3152","0.729232271300606","0.716246440011868","0.742218102589343"
"Just right","1992","West Germany","Female","3332","0.741299881704002","0.728782829668018","0.753816933739985"
"Just right","1992","East Germany","Male","1244","0.681695698501152","0.660678313899326","0.702713083102977"
"Just right","1992","East Germany","Female","1417","0.707835743821865","0.688320646337869","0.727350841305861"
"A little too big","1992","West Germany","Male","244","0.0694512685817043","0.0620219664979474","0.0768805706654612"
"A little too big","1992","West Germany","Female","283","0.0795320136573871","0.071798406419217","0.0872656208955572"
"A little too big","1992","East Germany","Male","141","0.0784559749482312","0.0663239527416287","0.0905879971548337"
"A little too big","1992","East Germany","Female","139","0.0747315792386302","0.0634472203781807","0.0860159380990797"
"Much too big","1992","West Germany","Male","19","","",""
"Much too big","1992","West Germany","Female","21","","",""
"Much too big","1992","East Germany","Male","9","","",""
"Much too big","1992","East Germany","Female","8","","",""
"Much too small","1993","West Germany","Male","227","0.0311254808155144","0.026045464700183","0.0362054969308458"
"Much too small","1993","West Germany","Female","212","0.0240788582939482","0.0196855698841285","0.0284721467037679"
"Much too small","1993","East Germany","Male","57","0.0305431031746261","0.0225937339273451","0.0384924724219071"
"Much too small","1993","East Germany","Female","55","0.0264771424864797","0.0194320731174775","0.0335222118554819"
"A little too small","1993","West Germany","Male","860","0.171264420726489","0.160243576714031","0.182285264738947"
"A little too small","1993","West Germany","Female","833","0.152723799112051","0.142414473199267","0.163033125024836"
"A little too small","1993","East Germany","Male","392","0.200710512215041","0.182207222506241","0.219213801923841"
"A little too small","1993","East Germany","Female","419","0.178465149662657","0.161662942038828","0.195267357286485"
"Just right","1993","West Germany","Male","3103","0.719686635721683","0.706547496656466","0.732825774786899"
"Just right","1993","West Germany","Female","3304","0.735534800431942","0.722894706979103","0.74817489388478"
"Just right","1993","East Germany","Male","1223","0.690076705734754","0.668712456682578","0.711440954786929"
"Just right","1993","East Germany","Female","1370","0.709493829165891","0.689572026530076","0.729415631801706"
"A little too big","1993","West Germany","Male","286","0.075417671327346","0.06769295318587","0.0831423894688221"
"A little too big","1993","West Germany","Female","304","0.0803202208593091","0.0725309793067527","0.0881094624118655"
"A little too big","1993","East Germany","Male","116","0.0690440193354026","0.0573317933249666","0.0807562453458387"
"A little too big","1993","East Germany","Female","141","0.0796997944138604","0.0678155930693786","0.0915839957583422"
"Much too big","1993","West Germany","Male","13","","",""
"Much too big","1993","West Germany","Female","24","","",""
"Much too big","1993","East Germany","Male","12","","",""
"Much too big","1993","East Germany","Female","10","","",""
"Much too small","1994","West Germany","Male","192","0.0261928412752609","0.0214369528862984","0.0309487296642233"
"Much too small","1994","West Germany","Female","187","0.0242424689336391","0.019793072236547","0.0286918656307313"
"Much too small","1994","East Germany","Male","68","0.032771777614163","0.0244962309420227","0.0410473242863033"
"Much too small","1994","East Germany","Female","71","0.0325700469756102","0.0247235593971214","0.040416534554099"
"A little too small","1994","West Germany","Male","776","0.163272204514864","0.152265632145522","0.174278776884207"
"A little too small","1994","West Germany","Female","774","0.143684463753581","0.133536858473283","0.153832069033879"
"A little too small","1994","East Germany","Male","379","0.202242165445991","0.183571766196564","0.220912564695418"
"A little too small","1994","East Germany","Female","390","0.174606419790534","0.157825452868227","0.191387386712841"
"Just right","1994","West Germany","Male","3068","0.726279551016422","0.713002262362536","0.739556839670308"
"Just right","1994","West Germany","Female","3275","0.731222138502632","0.718396967596229","0.744047309409036"
"Just right","1994","East Germany","Male","1193","0.683148064043677","0.661522481451396","0.704773646635958"
"Just right","1994","East Germany","Female","1351","0.704858153118637","0.684696664574846","0.725019641662429"
"A little too big","1994","West Germany","Male","279","0.0796305470947775","0.0715688808403595","0.0876922133491955"
"A little too big","1994","West Germany","Female","327","0.0931278325244997","0.0847205714781875","0.101535093570812"
"A little too big","1994","East Germany","Male","120","0.0721813740820176","0.0601524626093045","0.0842102855547307"
"A little too big","1994","East Germany","Female","136","0.0786798156517489","0.0667785460345059","0.0905810852689919"
"Much too big","1994","West Germany","Male","17","","",""
"Much too big","1994","West Germany","Female","27","","",""
"Much too big","1994","East Germany","Male","18","","",""
"Much too big","1994","East Germany","Female","18","","",""
"Much too small","1995","West Germany","Male","179","0.0266094306446416","0.0219585999142832","0.031260261375"
"Much too small","1995","West Germany","Female","189","0.0251231745231533","0.0207372476080746","0.029509101438232"
"Much too small","1995","East Germany","Male","62","0.0285827958310683","0.0207735618535048","0.0363920298086318"
"Much too small","1995","East Germany","Female","58","0.0235756289781569","0.0168311111013897","0.0303201468549242"
"A little too small","1995","West Germany","Male","833","0.164703522957232","0.153984851869837","0.175422194044627"
"A little too small","1995","West Germany","Female","849","0.140977478360215","0.131224743809282","0.150730212911149"
"A little too small","1995","East Germany","Male","336","0.191975518465831","0.173517359985958","0.210433676945704"
"A little too small","1995","East Germany","Female","373","0.173135826536379","0.15631642570481","0.189955227367947"
"Just right","1995","West Germany","Male","3267","0.720156163185025","0.707183164042869","0.73312916232718"
"Just right","1995","West Germany","Female","3446","0.722975101749945","0.710432999641494","0.735517203858395"
"Just right","1995","East Germany","Male","1204","0.688779011732677","0.667080618400948","0.710477405064405"
"Just right","1995","East Germany","Female","1353","0.713624879894985","0.693529205083426","0.733720554706545"
"A little too big","1995","West Germany","Male","295","0.0803875735325583","0.0725304053253406","0.0882447417397761"
"A little too big","1995","West Germany","Female","381","0.102841614072969","0.0943288957719375","0.111354332374"
"A little too big","1995","East Germany","Male","136","0.0847918912580577","0.0717364884183506","0.0978472940977648"
"A little too big","1995","East Germany","Female","150","0.0832735140930115","0.07099139522352","0.0955556329625029"
"Much too big","1995","West Germany","Male","26","","",""
"Much too big","1995","West Germany","Female","26","","",""
"Much too big","1995","East Germany","Male","11","","",""
"Much too big","1995","East Germany","Female","10","","",""
"Much too small","1996","West Germany","Male","155","0.0210117263166744","0.0168240596029068","0.0251993930304419"
"Much too small","1996","West Germany","Female","159","0.0186702647296484","0.0148462207581135","0.0224943087011834"
"Much too small","1996","East Germany","Male","57","0.0298090134783196","0.0218299339300055","0.0377880930266336"
"Much too small","1996","East Germany","Female","58","0.0267554504893535","0.0195487400362551","0.0339621609424519"
"A little too small","1996","West Germany","Male","800","0.165655697143241","0.154800734380373","0.176510659906109"
"A little too small","1996","West Germany","Female","819","0.139618936784435","0.129827244766618","0.149410628802253"
"A little too small","1996","East Germany","Male","341","0.189968814229526","0.171563535407211","0.208374093051841"
"A little too small","1996","East Germany","Female","372","0.177125937151945","0.160075806278396","0.194176068025494"
"Just right","1996","West Germany","Male","3185","0.706729388222","0.693436683872655","0.720022092571345"
"Just right","1996","West Germany","Female","3414","0.725816416695183","0.713213406788984","0.738419426601382"
"Just right","1996","East Germany","Male","1215","0.695042359637517","0.673441264409918","0.716643454865117"
"Just right","1996","East Germany","Female","1358","0.717620977297827","0.697516919334129","0.737725035261525"
"A little too big","1996","West Germany","Male","340","0.0986060787464753","0.0899012214851611","0.10731093600779"
"A little too big","1996","West Germany","Female","397","0.108947189594119","0.10014481395224","0.117749565235998"
"A little too big","1996","East Germany","Male","124","0.0813851834099085","0.0685562730185447","0.0942140938012723"
"A little too big","1996","East Germany","Female","127","0.0728702013538996","0.0612619927393977","0.0844784099684014"
"Much too big","1996","West Germany","Male","26","","",""
"Much too big","1996","West Germany","Female","24","","",""
"Much too big","1996","East Germany","Male","8","","",""
"Much too big","1996","East Germany","Female","11","","",""
"Much too small","1997","West Germany","Male","125","0.0181945544685437","0.0142632196122036","0.0221258893248837"
"Much too small","1997","West Germany","Female","134","0.0178135820686628","0.0140476079740643","0.0215795561632613"
"Much too small","1997","East Germany","Male","43","0.0252910375544848","0.017926478071619","0.0326555970373507"
"Much too small","1997","East Germany","Female","44","0.0202246479353758","0.0138850481250112","0.0265642477457403"
"A little too small","1997","West Germany","Male","792","0.170474899251368","0.159413715852397","0.181536082650339"
"A little too small","1997","West Germany","Female","803","0.147860031526759","0.13775388474159","0.157966178311927"
"A little too small","1997","East Germany","Male","318","0.182215804836088","0.164109144712122","0.200322464960053"
"A little too small","1997","East Germany","Female","338","0.169950352238643","0.153035384531126","0.18686531994616"
"Just right","1997","West Germany","Male","3195","0.712159966783666","0.698842519621673","0.725477413945659"
"Just right","1997","West Germany","Female","3419","0.721042394752706","0.70827347257906","0.733811316926352"
"Just right","1997","East Germany","Male","1247","0.701409150560099","0.679943209519863","0.722875091600335"
"Just right","1997","East Germany","Female","1376","0.722245139731904","0.702073962222736","0.742416317241072"
"A little too big","1997","West Germany","Male","310","0.0931922422943957","0.0846414944400943","0.101742990148697"
"A little too big","1997","West Germany","Female","360","0.105859871718986","0.0971004948640439","0.114619248573928"
"A little too big","1997","East Germany","Male","129","0.083928472859238","0.070922425706372","0.096934520012104"
"A little too big","1997","East Germany","Female","128","0.0834492520946906","0.0709941415596848","0.0959043626296964"
"Much too big","1997","West Germany","Male","18","","",""
"Much too big","1997","West Germany","Female","23","","",""
"Much too big","1997","East Germany","Male","9","","",""
"Much too big","1997","East Germany","Female","8","","",""
"Much too small","1998","West Germany","Male","145","0.0272320780136219","0.0226790891643255","0.0317850668629182"
"Much too small","1998","West Germany","Female","152","0.0251362296040407","0.020906674359938","0.0293657848481433"
"Much too small","1998","East Germany","Male","42","0.0207188890199992","0.014257693951501","0.0271800840884973"
"Much too small","1998","East Germany","Female","40","0.0177176323922565","0.0119359515977405","0.0234993131867725"
"A little too small","1998","West Germany","Male","813","0.156304914573274","0.146146389629153","0.166463439517395"
"A little too small","1998","West Germany","Female","840","0.139546564525909","0.130183976149621","0.148909152902196"
"A little too small","1998","East Germany","Male","317","0.1726267088991","0.155483951623028","0.189769466175172"
"A little too small","1998","East Germany","Female","324","0.16226579974972","0.146107349205049","0.17842425029439"
"Just right","1998","West Germany","Male","3519","0.713260672415751","0.700609832926865","0.725911511904638"
"Just right","1998","West Germany","Female","3778","0.720690851758497","0.708568419832363","0.732813283684632"
"Just right","1998","East Germany","Male","1327","0.69359020816363","0.672679019100897","0.714501397226363"
"Just right","1998","East Germany","Female","1445","0.709233196383675","0.689331044701675","0.729135348065674"
"A little too big","1998","West Germany","Male","393","0.0932564377728521","0.0851218935132803","0.101390982032424"
"A little too big","1998","West Germany","Female","444","0.103353888773906","0.095128685972502","0.111579091575311"
"A little too big","1998","East Germany","Male","172","0.103620227800109","0.0897958935048477","0.11744456209537"
"A little too big","1998","East Germany","Female","184","0.106764699797956","0.0932305844444426","0.120298815151469"
"Much too big","1998","West Germany","Male","39","0.00994589722450059","0.00717000230226851","0.0127217921467327"
"Much too big","1998","West Germany","Female","48","0.0112724653376473","0.00841999959196582","0.0141249310833288"
"Much too big","1998","East Germany","Male","9","","",""
"Much too big","1998","East Germany","Female","7","","",""
"Much too small","1999","West Germany","Male","125","0.0199574860616319","0.0159952794437185","0.0239196926795453"
"Much too small","1999","West Germany","Female","118","0.0153487583580906","0.0119787536367082","0.0187187630794729"
"Much too small","1999","East Germany","Male","28","","",""
"Much too small","1999","East Germany","Female","28","","",""
"A little too small","1999","West Germany","Male","770","0.156664696748061","0.146366825550043","0.166962567946079"
"A little too small","1999","West Germany","Female","842","0.148575337319578","0.138825460161985","0.15832521447717"
"A little too small","1999","East Germany","Male","301","0.170833576247301","0.153547334267785","0.188119818226818"
"A little too small","1999","East Germany","Female","309","0.14509901684073","0.129562106483865","0.160635927197594"
"Just right","1999","West Germany","Male","3521","0.731739237996879","0.719187077238568","0.74429139875519"
"Just right","1999","West Germany","Female","3706","0.73160512964864","0.719457874746122","0.743752384551157"
"Just right","1999","East Germany","Male","1340","0.727185031230491","0.706727666832925","0.747642395628057"
"Just right","1999","East Germany","Female","1490","0.763642227352234","0.744900723822784","0.782383730881684"
"A little too big","1999","West Germany","Male","349","0.0846992607616988","0.0768109600080588","0.0925875615153387"
"A little too big","1999","West Germany","Female","425","0.0991721859232407","0.0909787039049136","0.107365667941568"
"A little too big","1999","East Germany","Male","143","0.0811938606941849","0.0686489764458962","0.0937387449424736"
"A little too big","1999","East Germany","Female","139","0.0763945022937053","0.0646766282764447","0.088112376310966"
"Much too big","1999","West Germany","Male","21","","",""
"Much too big","1999","West Germany","Female","21","","",""
"Much too big","1999","East Germany","Male","9","","",""
"Much too big","1999","East Germany","Female","8","","",""
"Much too small","2000","West Germany","Male","184","0.0199217809463739","0.0170015001122583","0.0228420617804895"
"Much too small","2000","West Germany","Female","197","0.0175231921253457","0.0148812320725825","0.020165152178109"
"Much too small","2000","East Germany","Male","40","0.0184244601177512","0.0134468791229426","0.0234020411125598"
"Much too small","2000","East Germany","Female","43","0.017160758840062","0.0125562755190643","0.0217652421610596"
"A little too small","2000","West Germany","Male","1291","0.149622157773694","0.142167390436563","0.157076925110826"
"A little too small","2000","West Germany","Female","1314","0.133990689539617","0.127131748441726","0.140849630637507"
"A little too small","2000","East Germany","Male","412","0.152575301912029","0.139266107652351","0.165884496171706"
"A little too small","2000","East Germany","Female","416","0.126827911321937","0.115029358026409","0.138626464617465"
"Just right","2000","West Germany","Male","6520","0.732678150023862","0.723428953267881","0.741927346779844"
"Just right","2000","West Germany","Female","7073","0.74701091827411","0.738257597462121","0.755764239086099"
"Just right","2000","East Germany","Male","2101","0.735983729272204","0.719667923032348","0.752299535512061"
"Just right","2000","East Germany","Female","2337","0.770977635014881","0.756079522372622","0.785875747657141"
"A little too big","2000","West Germany","Male","732","0.0883030610897567","0.0823732166984852","0.0942329054810282"
"A little too big","2000","West Germany","Female","825","0.0927345275918154","0.0868940763136875","0.0985749788699433"
"A little too big","2000","East Germany","Male","238","0.0878390688699485","0.0773620269499744","0.0983161107899227"
"A little too big","2000","East Germany","Female","249","0.0812732511339547","0.0715851555913278","0.0909613466765816"
"Much too big","2000","West Germany","Male","68","0.00947485016631264","0.00745020417470561","0.0114994961579197"
"Much too big","2000","West Germany","Female","66","0.00874067246911259","0.00686643529085906","0.0106149096473661"
"Much too big","2000","East Germany","Male","13","","",""
"Much too big","2000","East Germany","Female","11","","",""
"Much too small","2001","West Germany","Male","174","0.0219444435140202","0.0187153080073143","0.025173579020726"
"Much too small","2001","West Germany","Female","180","0.0184449379104881","0.0156014963669418","0.0212883794540344"
"Much too small","2001","East Germany","Male","36","0.0185799330095789","0.0134200814754147","0.0237397845437431"
"Much too small","2001","East Germany","Female","34","0.0133408001458719","0.0091078406751034","0.0175737596166404"
"A little too small","2001","West Germany","Male","1137","0.14492734197464","0.137168107159464","0.152686576789815"
"A little too small","2001","West Germany","Female","1203","0.132455189271543","0.125291630655299","0.139618747887786"
"A little too small","2001","East Germany","Male","361","0.132497554240375","0.119542866423362","0.145452242057388"
"A little too small","2001","East Germany","Female","354","0.118980234725817","0.107034858768861","0.130925610682773"
"Just right","2001","West Germany","Male","5889","0.737988453690188","0.728296145385454","0.747680761994923"
"Just right","2001","West Germany","Female","6412","0.744510761915528","0.735294174056852","0.753727349774205"
"Just right","2001","East Germany","Male","2016","0.757718785610736","0.74134679204996","0.774090779171512"
"Just right","2001","East Germany","Female","2205","0.778764391804866","0.763449986265411","0.794078797344322"
"A little too big","2001","West Germany","Male","645","0.0867126356189921","0.080509844740865","0.0929154264971192"
"A little too big","2001","West Germany","Female","745","0.0957086318005378","0.0894916711508503","0.101925592450225"
"A little too big","2001","East Germany","Male","203","0.0850415328814475","0.0743828412651479","0.0957002244977471"
"A little too big","2001","East Germany","Female","216","0.084797349618751","0.0745190952838298","0.0950756039536722"
"Much too big","2001","West Germany","Male","62","0.00842712520215966","0.00641226803887927","0.01044198236544"
"Much too big","2001","West Germany","Female","62","0.00888047910190293","0.00689790428573985","0.010863053918066"
"Much too big","2001","East Germany","Male","15","","",""
"Much too big","2001","East Germany","Female","13","","",""
"Much too small","2002","West Germany","Male","182","0.0242107619902006","0.0209457181615001","0.027475805818901"
"Much too small","2002","West Germany","Female","202","0.0222046366171961","0.0191850007631553","0.0252242724712368"
"Much too small","2002","East Germany","Male","42","0.0234469354869386","0.017675885204587","0.0292179857692902"
"Much too small","2002","East Germany","Female","35","0.016096754254583","0.0114436767700398","0.0207498317391262"
"A little too small","2002","West Germany","Male","1248","0.152109788704774","0.144481007373942","0.159738570035605"
"A little too small","2002","West Germany","Female","1348","0.144760074635101","0.137549379500868","0.151970769769333"
"A little too small","2002","East Germany","Male","366","0.132040314975311","0.119129105033068","0.144951524917554"
"A little too small","2002","East Germany","Female","348","0.113905267810226","0.102158810270763","0.125651725349689"
"Just right","2002","West Germany","Male","6115","0.712024669282139","0.702405624700999","0.721643713863279"
"Just right","2002","West Germany","Female","6528","0.706588739384826","0.697257689824534","0.715919788945119"
"Just right","2002","East Germany","Male","1997","0.750411256518423","0.733905856363974","0.766916656672873"
"Just right","2002","East Germany","Female","2184","0.784278024814915","0.769069848168222","0.799486201461608"
