"hlf0071_h","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Much too big","1991","35-65 y.","45","0.00762349297613935","0.00556911750359182","0.00967786844868689"
"Much too big","1991","66 and older","15","","",""
"Much too small","1992","16-34 y.","358","0.0567776600371383","0.0503033782429557","0.0632519418313208"
"Much too small","1992","35-65 y.","233","0.0226079646727089","0.0190769180793767","0.0261390112660412"
"Much too small","1992","66 and older","9","","",""
"A little too small","1992","16-34 y.","1273","0.252146191089495","0.239997475220802","0.264294906958188"
"A little too small","1992","35-65 y.","1223","0.151106162715338","0.142598581643458","0.159613743787219"
"A little too small","1992","66 and older","68","0.0369612580643407","0.0272737167649533","0.046648799363728"
"Just right","1992","16-34 y.","3088","0.645016737988598","0.631629676929223","0.658403799047974"
"Just right","1992","35-65 y.","4844","0.736832760492834","0.726372591682449","0.74729292930322"
"Just right","1992","66 and older","1213","0.843324204719633","0.824659696485632","0.861988712953634"
"A little too big","1992","16-34 y.","175","0.0423981904459688","0.0367610097807961","0.0480353711111415"
"A little too big","1992","35-65 y.","474","0.0825970444207793","0.0760582055065006","0.089135883335058"
"A little too big","1992","66 and older","158","0.110564289626011","0.094462170467343","0.12666640878468"
"Much too big","1992","16-34 y.","14","","",""
"Much too big","1992","35-65 y.","34","0.00685606769833921","0.00489595084457728","0.00881618455210115"
"Much too big","1992","66 and older","9","","",""
"Much too small","1993","16-34 y.","324","0.0527346050058593","0.0464320991616637","0.0590371108500549"
"Much too small","1993","35-65 y.","224","0.0219042771611006","0.0183863048957268","0.0254222494264743"
"Much too small","1993","66 and older","3","","",""
"A little too small","1993","16-34 y.","1260","0.266450163945712","0.253983438924019","0.278916888967404"
"A little too small","1993","35-65 y.","1161","0.148616632927125","0.140067273852783","0.157165992001468"
"A little too small","1993","66 and older","83","0.0498072908515411","0.03872397933148","0.0608906023716022"
"Just right","1993","16-34 y.","3041","0.634977404524449","0.621401506023866","0.648553303025032"
"Just right","1993","35-65 y.","4732","0.735163060540638","0.724557872165105","0.745768248916171"
"Just right","1993","66 and older","1227","0.8352031491437","0.816302020015965","0.854104278271434"
"A little too big","1993","16-34 y.","196","0.0441236277717625","0.0383324614006447","0.0499147941428802"
"A little too big","1993","35-65 y.","499","0.0889698726720645","0.0821272101313005","0.0958125352128284"
"A little too big","1993","66 and older","152","0.101417780964149","0.0860378921591625","0.116797669769135"
"Much too big","1993","16-34 y.","10","","",""
"Much too big","1993","35-65 y.","34","0.00534615669907154","0.0035935111554637","0.00709880224267938"
"Much too big","1993","66 and older","15","","",""
"Much too small","1994","16-34 y.","301","0.0528245842810615","0.0464371743162154","0.0592119942459076"
"Much too small","1994","35-65 y.","212","0.0205709066075314","0.0171114341529627","0.0240303790621001"
"Much too small","1994","66 and older","5","","",""
"A little too small","1994","16-34 y.","1199","0.261236084444326","0.248691364827694","0.273780804060958"
"A little too small","1994","35-65 y.","1045","0.143932064863071","0.1353768769398","0.152487252786343"
"A little too small","1994","66 and older","75","0.0398779182110176","0.0299358647614428","0.0498199716605923"
"Just right","1994","16-34 y.","2988","0.630904244209211","0.617124448182329","0.644684040236092"
"Just right","1994","35-65 y.","4653","0.729516405662876","0.718689991012897","0.740342820312855"
"Just right","1994","66 and older","1246","0.848615126162023","0.830403729604782","0.866826522719264"
"A little too big","1994","16-34 y.","204","0.0501789324987836","0.0439448413619767","0.0564130236355904"
"A little too big","1994","35-65 y.","515","0.0997362751886366","0.092433160709077","0.107039389668196"
"A little too big","1994","66 and older","143","0.0988007902395587","0.0836394625092699","0.113962117969848"
"Much too big","1994","16-34 y.","19","","",""
"Much too big","1994","35-65 y.","42","0.00624434767788431","0.00432444150695664","0.00816425384881199"
"Much too big","1994","66 and older","19","","",""
"Much too small","1995","16-34 y.","283","0.0490849058712464","0.0430314227620932","0.0551383889803995"
"Much too small","1995","35-65 y.","199","0.0212126070387066","0.0177789619962382","0.024646252081175"
"Much too small","1995","66 and older","6","","",""
"A little too small","1995","16-34 y.","1181","0.255388021875877","0.243169300705901","0.267606743045852"
"A little too small","1995","35-65 y.","1121","0.142351064602592","0.134024816902305","0.15067731230288"
"A little too small","1995","66 and older","89","0.0474526229504687","0.0367855754623681","0.0581196704385692"
"Just right","1995","16-34 y.","3157","0.630607335224797","0.617083990282335","0.644130680167259"
"Just right","1995","35-65 y.","4874","0.729450182988045","0.718864091777037","0.740036274199052"
"Just right","1995","66 and older","1239","0.82362299536153","0.804499994817822","0.842745995905238"
"A little too big","1995","16-34 y.","251","0.0579582756108399","0.0514111106959963","0.0645054405256834"
"A little too big","1995","35-65 y.","534","0.0999575824911207","0.0928100925750387","0.107105072407203"
"A little too big","1995","66 and older","177","0.11630473351992","0.100219743941998","0.132389723097843"
"Much too big","1995","16-34 y.","21","","",""
"Much too big","1995","35-65 y.","37","0.00702856287953546","0.00503781695232666","0.00901930880674426"
"Much too big","1995","66 and older","15","","",""
"Much too small","1996","16-34 y.","255","0.0470260212772781","0.0409937445528502","0.0530582980017061"
"Much too small","1996","35-65 y.","171","0.0145847094791787","0.0117130605795183","0.0174563583788392"
"Much too small","1996","66 and older","3","","",""
"A little too small","1996","16-34 y.","1118","0.24728749606677","0.234993664440948","0.259581327692592"
"A little too small","1996","35-65 y.","1108","0.147169010352468","0.138682825813556","0.155655194891381"
"A little too small","1996","66 and older","106","0.0509925699077558","0.0400902738093043","0.0618948660062073"
"Just right","1996","16-34 y.","3078","0.636021285817699","0.622311033878019","0.649731537757379"
"Just right","1996","35-65 y.","4855","0.727195602570783","0.716526592977443","0.737864612164122"
"Just right","1996","66 and older","1239","0.801784001900525","0.782026694285818","0.821541309515232"
"A little too big","1996","16-34 y.","266","0.0668868708497914","0.0597680312678636","0.0740057104317191"
"A little too big","1996","35-65 y.","530","0.105423527835733","0.0980673823681918","0.112779673303274"
"A little too big","1996","66 and older","192","0.129993285726926","0.113326514300813","0.146660057153038"
"Much too big","1996","16-34 y.","14","","",""
"Much too big","1996","35-65 y.","31","0.00562714976183777","0.00383534095752231","0.00741895856615324"
"Much too big","1996","66 and older","24","","",""
"Much too small","1997","16-34 y.","198","0.0378686911843244","0.0323544605723783","0.0433829217962706"
"Much too small","1997","35-65 y.","143","0.0147430558853891","0.0118389071769291","0.0176472045938492"
"Much too small","1997","66 and older","5","","",""
"A little too small","1997","16-34 y.","1081","0.247213622028471","0.234751279655659","0.259675964401283"
"A little too small","1997","35-65 y.","1080","0.15785218407865","0.149066616904219","0.166637751253081"
"A little too small","1997","66 and older","90","0.0471808776590325","0.0367918156214523","0.0575699396966126"
"Just right","1997","16-34 y.","3078","0.648798193326679","0.635008303698341","0.662588082955016"
"Just right","1997","35-65 y.","4862","0.721931329609006","0.711135045181025","0.732727614036987"
"Just right","1997","66 and older","1297","0.798919694140045","0.779280465247658","0.818558923032432"
"A little too big","1997","16-34 y.","235","0.0647001562140436","0.0575936572166731","0.0718066552114141"
"A little too big","1997","35-65 y.","507","0.100502436524776","0.0932574324556412","0.10774744059391"
"A little too big","1997","66 and older","185","0.134035469603984","0.117341945761776","0.150728993446193"
"Much too big","1997","16-34 y.","11","","",""
"Much too big","1997","35-65 y.","24","","",""
"Much too big","1997","66 and older","23","","",""
"Much too small","1998","16-34 y.","206","0.0485861467490383","0.0424955851289152","0.0546767083691614"
"Much too small","1998","35-65 y.","167","0.0202507898966846","0.0170440862134138","0.0234574935799553"
"Much too small","1998","66 and older","6","","",""
"A little too small","1998","16-34 y.","1032","0.219776930981675","0.208046422900109","0.231507439063241"
"A little too small","1998","35-65 y.","1171","0.153657661652085","0.145447900370761","0.16186742293341"
"A little too small","1998","66 and older","91","0.0454122013584333","0.0358962668741294","0.0549281358427373"
"Just right","1998","16-34 y.","3272","0.667009503643325","0.653658979773362","0.680360027513287"
"Just right","1998","35-65 y.","5347","0.713247280512278","0.70295161983838","0.723542941186176"
"Just right","1998","66 and older","1450","0.785338477563283","0.766572864071885","0.804104091054681"
"A little too big","1998","16-34 y.","259","0.0595434055840728","0.0528398905063952","0.0662469206617505"
"A little too big","1998","35-65 y.","676","0.10418940722128","0.0972343570680073","0.111144457374554"
"A little too big","1998","66 and older","258","0.146779862091183","0.130605728991555","0.16295399519081"
"Much too big","1998","16-34 y.","18","","",""
"Much too big","1998","35-65 y.","51","0.00865486071767149","0.00654612153367886","0.0107635999016641"
"Much too big","1998","66 and older","34","0.0201380238268729","0.0137178305259541","0.0265582171277917"
"Much too small","1999","16-34 y.","170","0.0334727310219134","0.0282715110064893","0.0386739510373375"
"Much too small","1999","35-65 y.","126","0.0132883455397959","0.0106576375085442","0.0159190535710475"
"Much too small","1999","66 and older","3","","",""
"A little too small","1999","16-34 y.","1023","0.23433729434752","0.222088536523355","0.246586052171684"
"A little too small","1999","35-65 y.","1108","0.152033928258485","0.143784923353767","0.160282933163203"
"A little too small","1999","66 and older","91","0.0462535063759302","0.0366067363365723","0.0559002764152881"
"Just right","1999","16-34 y.","3150","0.676174324122525","0.662643084850597","0.689705563394453"
"Just right","1999","35-65 y.","5435","0.739365067682822","0.729279790455588","0.749450344910056"
"Just right","1999","66 and older","1472","0.800767683745468","0.7824223220267","0.819113045464235"
"A little too big","1999","16-34 y.","242","0.0551058282838415","0.0485073628198342","0.0617042937478489"
"A little too big","1999","35-65 y.","576","0.0886555491348934","0.082125201451396","0.0951858968183908"
"A little too big","1999","66 and older","238","0.13973586812347","0.123811471911693","0.155660264335248"
"Much too big","1999","16-34 y.","9","","",""
"Much too big","1999","35-65 y.","33","0.00665710938400345","0.00478886147086607","0.00852535729714082"
"Much too big","1999","66 and older","17","","",""
"Much too small","2000","16-34 y.","236","0.0346750821595352","0.0304227394397478","0.0389274248793225"
"Much too small","2000","35-65 y.","220","0.0164257366218444","0.0142739614753234","0.0185775117683655"
"Much too small","2000","66 and older","8","","",""
"A little too small","2000","16-34 y.","1496","0.222837496009141","0.213165128133023","0.232509863885259"
"A little too small","2000","35-65 y.","1786","0.137080450237675","0.131258026663602","0.142902873811747"
"A little too small","2000","66 and older","149","0.0420481892357528","0.0355039436216029","0.0485924348499027"
"Just right","2000","16-34 y.","4992","0.687562452012828","0.676789854401424","0.698335049624231"
"Just right","2000","35-65 y.","10136","0.747243533771669","0.739886324632183","0.754600742911155"
"Just right","2000","66 and older","2903","0.804925804753616","0.792004929086294","0.817846680420938"
"A little too big","2000","16-34 y.","369","0.0518161694373549","0.0466643376278354","0.0569680012468743"
"A little too big","2000","35-65 y.","1180","0.0919597803974764","0.0870678261487691","0.0968517346461836"
"A little too big","2000","66 and older","495","0.133016994291638","0.121943798789921","0.144090189793354"
"Much too big","2000","16-34 y.","18","","",""
"Much too big","2000","35-65 y.","82","0.0072904989713356","0.00585030629813347","0.00873069164453774"
"Much too big","2000","66 and older","58","0.0175417540742465","0.0132611242760442","0.0218223838724487"
"Much too small","2001","16-34 y.","228","0.0407063763707161","0.0358197838521459","0.0455929688892862"
"Much too small","2001","35-65 y.","190","0.0159960895993606","0.013775929799969","0.0182162493987522"
"Much too small","2001","66 and older","6","","",""
"A little too small","2001","16-34 y.","1272","0.21504219771994","0.204882421898409","0.225201973541471"
"A little too small","2001","35-65 y.","1637","0.132569878991662","0.12656894862063","0.138570809362695"
"A little too small","2001","66 and older","146","0.0450312491361847","0.0380740966188381","0.0519884016535314"
"Just right","2001","16-34 y.","4456","0.694893073211842","0.683506733155003","0.70627941326868"
"Just right","2001","35-65 y.","9329","0.752224301089496","0.744584501906073","0.759864100272919"
"Just right","2001","66 and older","2737","0.796644849385029","0.783141549535187","0.810148149234871"
"A little too big","2001","16-34 y.","308","0.0463375276263757","0.0411392089425131","0.0515358463102383"
"A little too big","2001","35-65 y.","1036","0.0923116531821421","0.0871892288394795","0.0974340775248048"
"A little too big","2001","66 and older","465","0.139988448987938","0.128347773297129","0.151629124678748"
"Much too big","2001","16-34 y.","18","","",""
"Much too big","2001","35-65 y.","75","0.00689807713733884","0.00543340694579787","0.00836274732887981"
"Much too big","2001","66 and older","59","0.0172243121258034","0.0128593739940514","0.0215892502575554"
"Much too small","2002","16-34 y.","224","0.0455800892914714","0.0403804160745594","0.0507797625083835"
"Much too small","2002","35-65 y.","220","0.0192398563032958","0.0169055619910747","0.0215741506155169"
"Much too small","2002","66 and older","17","","",""
"A little too small","2002","16-34 y.","1256","0.224683981062911","0.214278931507642","0.23508903061818"
"A little too small","2002","35-65 y.","1890","0.143340470589834","0.137385743892067","0.149295197287601"
"A little too small","2002","66 and older","164","0.0464711443556267","0.0396204764214292","0.0533218122898242"
"Just right","2002","16-34 y.","4300","0.666593842683467","0.654841182580884","0.67834650278605"
"Just right","2002","35-65 y.","9766","0.72954453627403","0.721996272297152","0.737092800250908"
"Just right","2002","66 and older","2758","0.760727957052961","0.74684330564838","0.774612608457542"
"A little too big","2002","16-34 y.","372","0.0590130088534607","0.0531383262429596","0.0648876914639619"
"A little too big","2002","35-65 y.","1289","0.0973062042746245","0.092269878783814","0.102342529765435"
"A little too big","2002","66 and older","588","0.165221784619088","0.153135480408757","0.177308088829418"
"Much too big","2002","16-34 y.","29","","",""
"Much too big","2002","35-65 y.","138","0.0105689325582152","0.00883120523353679","0.0123066598828935"
"Much too big","2002","66 and older","100","0.0243106171327661","0.0192984205662995","0.0293228136992327"
"Much too small","2003","16-34 y.","199","0.0381879177785928","0.0332864495239411","0.0430893860332445"
"Much too small","2003","35-65 y.","167","0.0143477631885147","0.0122775697313617","0.0164179566456677"
"Much too small","2003","66 and older","10","","",""
"A little too small","2003","16-34 y.","1192","0.219897342222951","0.209304708397173","0.230489976048729"
"A little too small","2003","35-65 y.","1791","0.156519313602443","0.150194051671337","0.162844575533549"
"A little too small","2003","66 and older","167","0.0479097337614074","0.0410270650370098","0.054792402485805"
"Just right","2003","16-34 y.","4083","0.673961631782972","0.661972988652924","0.68595027491302"
"Just right","2003","35-65 y.","9339","0.722456137780557","0.714660914989316","0.730251360571799"
"Just right","2003","66 and older","2829","0.763987133253171","0.75030301597394","0.777671250532401"
"A little too big","2003","16-34 y.","365","0.061365733801237","0.0552277002379934","0.0675037673644806"
"A little too big","2003","35-65 y.","1259","0.0967009423059275","0.0915559099841318","0.101845974627723"
"A little too big","2003","66 and older","612","0.164450321457416","0.152504681334057","0.176395961580775"
"Much too big","2003","16-34 y.","34","0.00658737441424765","0.00451847630572219","0.00865627252277311"
"Much too big","2003","35-65 y.","120","0.00997584312255768","0.00824580896827197","0.0117058772768434"
"Much too big","2003","66 and older","81","0.0214275732919693","0.0167610986817665","0.0260940479021721"
"Much too small","2004","16-34 y.","178","0.0372554484596508","0.032306222751449","0.0422046741678525"
"Much too small","2004","35-65 y.","140","0.0128715119247012","0.0108736199586644","0.014869403890738"
"Much too small","2004","66 and older","12","","",""
"A little too small","2004","16-34 y.","1047","0.195694827030201","0.18532701937655","0.206062634683852"
"A little too small","2004","35-65 y.","1721","0.149506224158438","0.143185954873127","0.155826493443749"
"A little too small","2004","66 and older","146","0.0406958374953352","0.0344111895816724","0.046980485408998"
"Just right","2004","16-34 y.","4015","0.696058982946055","0.684038981909454","0.708078983982657"
"Just right","2004","35-65 y.","8982","0.726245692535145","0.718342680533231","0.73414870453706"
"Just right","2004","66 and older","2968","0.788687914470086","0.775702896542941","0.80167293239723"
"A little too big","2004","16-34 y.","360","0.0652869441774194","0.0588313064232472","0.0717425819315917"
"A little too big","2004","35-65 y.","1276","0.102914346608817","0.0975288557608524","0.108299837456781"
"A little too big","2004","66 and older","588","0.148280771604258","0.136977128493999","0.159584414714518"
"Much too big","2004","16-34 y.","25","","",""
"Much too big","2004","35-65 y.","109","0.00846222477289869","0.00683866872188028","0.0100857808239171"
"Much too big","2004","66 and older","83","0.0189722719774928","0.014632887764418","0.0233116561905676"
"Much too small","2005","16-34 y.","124","0.0255481888073572","0.021313886828916","0.0297824907857985"
"Much too small","2005","35-65 y.","138","0.0154824425498657","0.0132389031626765","0.017725981937055"
"Much too small","2005","66 and older","6","","",""
"A little too small","2005","16-34 y.","1041","0.210715601180727","0.199771333911625","0.221659868449828"
"A little too small","2005","35-65 y.","1599","0.151661004373829","0.145142861042346","0.158179147705313"
"A little too small","2005","66 and older","173","0.050987223709436","0.0440106855513349","0.0579637618675372"
"Just right","2005","16-34 y.","3797","0.700336487376948","0.688042524564153","0.712630450189743"
"Just right","2005","35-65 y.","8658","0.730317358591559","0.722252726953412","0.738381990229707"
"Just right","2005","66 and older","2956","0.772616608408009","0.75932325191148","0.785909964904538"
"A little too big","2005","16-34 y.","341","0.0591031210919036","0.0527746644778018","0.0654315777060054"
"A little too big","2005","35-65 y.","1106","0.089966182566037","0.0847665741373591","0.0951657909947149"
"A little too big","2005","66 and older","595","0.155344901157048","0.143856450390803","0.166833351923293"
"Much too big","2005","16-34 y.","31","0.00429660154306395","0.00254131056713284","0.00605189251899507"
"Much too big","2005","35-65 y.","132","0.0125730119187087","0.0105482480278029","0.0145977758096144"
"Much too big","2005","66 and older","89","0.0196630121584622","0.0152596340387288","0.0240663902781956"
"Much too small","2006","16-34 y.","156","0.0352075331324738","0.0303094820305973","0.0401055842343503"
"Much too small","2006","35-65 y.","170","0.0186363020450337","0.0162578212878594","0.0210147828022079"
"Much too small","2006","66 and older","8","","",""
"A little too small","2006","16-34 y.","1034","0.210882860200292","0.200041595669785","0.221724124730799"
"A little too small","2006","35-65 y.","1661","0.150052433960666","0.14377152690274","0.156333341018591"
"A little too small","2006","66 and older","207","0.0511856553838507","0.0447360725857085","0.0576352381819929"
"Just right","2006","16-34 y.","3859","0.691085318423061","0.678806016734397","0.703364620111725"
"Just right","2006","35-65 y.","9105","0.717205630686172","0.709284959188061","0.725126302184282"
"Just right","2006","66 and older","3367","0.757287499332807","0.744740400073137","0.769834598592477"
"A little too big","2006","16-34 y.","354","0.0544729122765049","0.0484415440131018","0.0605042805399079"
"A little too big","2006","35-65 y.","1324","0.10110137362529","0.0957993865590035","0.106403360691577"
"A little too big","2006","66 and older","791","0.164938663239705","0.15407722615827","0.17580010032114"
"Much too big","2006","16-34 y.","36","0.0083513759676685","0.00593287377116141","0.0107698781641756"
"Much too big","2006","35-65 y.","159","0.0130042596828389","0.0110117280111","0.0149967913545777"
"Much too big","2006","66 and older","112","0.0238510043735197","0.0193854204131553","0.0283165883338842"
"Much too small","2007","16-34 y.","120","0.0313864947955214","0.0265837357810332","0.0361892538100095"
"Much too small","2007","35-65 y.","124","0.0146220148526023","0.012425598683191","0.0168184310220136"
"Much too small","2007","66 and older","5","","",""
"A little too small","2007","16-34 y.","1004","0.204604254001408","0.193492232097378","0.215716275905437"
"A little too small","2007","35-65 y.","1598","0.149402213277516","0.142879170388396","0.155925256166636"
"A little too small","2007","66 and older","192","0.0485095198718422","0.0421571792649489","0.0548618604787356"
"Just right","2007","16-34 y.","3604","0.705641174583315","0.693087391648486","0.718194957518144"
"Just right","2007","35-65 y.","8382","0.722399719892462","0.714205486517253","0.730593953267671"
"Just right","2007","66 and older","3322","0.76094872402653","0.748337963044387","0.773559485008673"
"A little too big","2007","16-34 y.","305","0.0525462199009407","0.0464002011171479","0.0586922386847335"
"A little too big","2007","35-65 y.","1242","0.10297970343199","0.0974182725067777","0.108541134357202"
"A little too big","2007","66 and older","762","0.16708279367762","0.156052556632941","0.178113030722298"
"Much too big","2007","16-34 y.","30","0.00582185671881569","0.00372626347657702","0.00791744996105435"
"Much too big","2007","35-65 y.","127","0.0105963485454301","0.00872275894908644","0.0124699381417737"
"Much too big","2007","66 and older","113","0.0225545102685572","0.018164343287909","0.0269446772492054"
"Much too small","2008","16-34 y.","95","0.0236437954927188","0.0192626281114643","0.0280249628739733"
"Much too small","2008","35-65 y.","116","0.0147046581806144","0.0124200113854879","0.0169893049757409"
