"hlf0071_h","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Just right","1986","Rural Area","East Germany","","","",""
"A little too big","1986","Urban Area","West Germany","59","0.0653593135977813","0.0503307871532627","0.0803878400422998"
"A little too big","1986","Urban Area","East Germany","","","",""
"A little too big","1986","Rural Area","West Germany","17","","",""
"A little too big","1986","Rural Area","East Germany","","","",""
"Much too big","1986","Urban Area","West Germany","3","","",""
"Much too big","1986","Urban Area","East Germany","","","",""
"Much too big","1986","Rural Area","West Germany","","","",""
"Much too big","1986","Rural Area","East Germany","","","",""
"Much too small","1987","Urban Area","West Germany","33","0.0311005883693909","0.0195391253680765","0.0426620513707053"
"Much too small","1987","Urban Area","East Germany","","","",""
"Much too small","1987","Rural Area","West Germany","11","","",""
"Much too small","1987","Rural Area","East Germany","","","",""
"A little too small","1987","Urban Area","West Germany","131","0.118069868228808","0.0965779205462056","0.13956181591141"
"A little too small","1987","Urban Area","East Germany","","","",""
"A little too small","1987","Rural Area","West Germany","33","0.158697197834596","0.107802060243289","0.209592335425903"
"A little too small","1987","Rural Area","East Germany","","","",""
"Just right","1987","Urban Area","West Germany","649","0.775673000845389","0.747890633080303","0.803455368610474"
"Just right","1987","Urban Area","East Germany","","","",""
"Just right","1987","Rural Area","West Germany","143","0.722207256460311","0.659818422579087","0.784596090341535"
"Just right","1987","Rural Area","East Germany","","","",""
"A little too big","1987","Urban Area","West Germany","46","0.0679788492786727","0.0512144138105274","0.084743284746818"
"A little too big","1987","Urban Area","East Germany","","","",""
"A little too big","1987","Rural Area","West Germany","11","","",""
"A little too big","1987","Rural Area","East Germany","","","",""
"Much too big","1987","Urban Area","West Germany","7","","",""
"Much too big","1987","Urban Area","East Germany","","","",""
"Much too big","1987","Rural Area","West Germany","","","",""
"Much too big","1987","Rural Area","East Germany","","","",""
"Much too small","1988","Urban Area","West Germany","37","0.0378174137908484","0.0249405837716329","0.0506942438100639"
"Much too small","1988","Urban Area","East Germany","","","",""
"Much too small","1988","Rural Area","West Germany","1","","",""
"Much too small","1988","Rural Area","East Germany","","","",""
"A little too small","1988","Urban Area","West Germany","154","0.190940800648478","0.164408566363971","0.217473034932985"
"A little too small","1988","Urban Area","East Germany","","","",""
"A little too small","1988","Rural Area","West Germany","16","","",""
"A little too small","1988","Rural Area","East Germany","","","",""
"Just right","1988","Urban Area","West Germany","610","0.724835482073329","0.694688055794353","0.754982908352306"
"Just right","1988","Urban Area","East Germany","","","",""
"Just right","1988","Rural Area","West Germany","141","0.800250584225869","0.741183230302882","0.859317938148856"
"Just right","1988","Rural Area","East Germany","","","",""
"A little too big","1988","Urban Area","West Germany","42","0.046406303487344","0.0322057759789579","0.06060683099573"
"A little too big","1988","Urban Area","East Germany","","","",""
"A little too big","1988","Rural Area","West Germany","15","","",""
"A little too big","1988","Rural Area","East Germany","","","",""
"Much too big","1988","Urban Area","West Germany","","","",""
"Much too big","1988","Urban Area","East Germany","","","",""
"Much too big","1988","Rural Area","West Germany","3","","",""
"Much too big","1988","Rural Area","East Germany","","","",""
"Much too small","1989","Urban Area","West Germany","35","0.0406353512289137","0.0267434689313805","0.054527233526447"
"Much too small","1989","Urban Area","East Germany","","","",""
"Much too small","1989","Rural Area","West Germany","5","","",""
"Much too small","1989","Rural Area","East Germany","","","",""
"A little too small","1989","Urban Area","West Germany","135","0.139700460967393","0.115308821333594","0.164092100601192"
"A little too small","1989","Urban Area","East Germany","","","",""
"A little too small","1989","Rural Area","West Germany","26","","",""
"A little too small","1989","Rural Area","East Germany","","","",""
"Just right","1989","Urban Area","West Germany","557","0.747511615853483","0.716945031971469","0.778078199735497"
"Just right","1989","Urban Area","East Germany","","","",""
"Just right","1989","Rural Area","West Germany","137","0.765223443769069","0.703979848621363","0.826467038916776"
"Just right","1989","Rural Area","East Germany","","","",""
"A little too big","1989","Urban Area","West Germany","44","0.0647230159241041","0.0474122323395874","0.0820337995086208"
"A little too big","1989","Urban Area","East Germany","","","",""
"A little too big","1989","Rural Area","West Germany","16","","",""
"A little too big","1989","Rural Area","East Germany","","","",""
"Much too big","1989","Urban Area","West Germany","5","","",""
"Much too big","1989","Urban Area","East Germany","","","",""
"Much too big","1989","Rural Area","West Germany","","","",""
"Much too big","1989","Rural Area","East Germany","","","",""
"Much too small","1990","Urban Area","West Germany","46","0.0720096062805435","0.0526086622777057","0.0914105502833813"
"Much too small","1990","Urban Area","East Germany","116","0.0716853615442579","0.0587846007519633","0.0845861223365525"
"Much too small","1990","Rural Area","West Germany","10","","",""
"Much too small","1990","Rural Area","East Germany","225","0.0751890836266545","0.065442682026316","0.084935485226993"
"A little too small","1990","Urban Area","West Germany","88","0.148745416939165","0.122039503811813","0.175451330066516"
"A little too small","1990","Urban Area","East Germany","394","0.24276202941993","0.221320337368475","0.264203721471385"
"A little too small","1990","Rural Area","West Germany","37","0.2001001176397","0.144232974136123","0.255967261143278"
"A little too small","1990","Rural Area","East Germany","677","0.217728701372728","0.20247493915414","0.232982463591316"
"Just right","1990","Urban Area","West Germany","514","0.73056733739641","0.69726987393836","0.76386480085446"
"Just right","1990","Urban Area","East Germany","950","0.632728263414566","0.608620614692854","0.656835912136278"
"Just right","1990","Rural Area","West Germany","139","0.692761124012623","0.628337549788415","0.75718469823683"
"Just right","1990","Rural Area","East Germany","1792","0.657114396121392","0.639570116135356","0.674658676107429"
"A little too big","1990","Urban Area","West Germany","29","","",""
"A little too big","1990","Urban Area","East Germany","70","0.0484741734718487","0.0377338347080291","0.0592145122356683"
"A little too big","1990","Rural Area","West Germany","11","","",""
"A little too big","1990","Rural Area","East Germany","93","0.0398191168214376","0.0325920383214975","0.0470461953213778"
"Much too big","1990","Urban Area","West Germany","5","","",""
"Much too big","1990","Urban Area","East Germany","6","","",""
"Much too big","1990","Rural Area","West Germany","","","",""
"Much too big","1990","Rural Area","East Germany","25","","",""
"Much too small","1991","Urban Area","West Germany","338","0.0276623599886429","0.0239132511964147","0.0314114687808712"
"Much too small","1991","Urban Area","East Germany","72","0.0443825414484912","0.0335208021901346","0.0552442807068477"
"Much too small","1991","Rural Area","West Germany","42","0.0156516693523972","0.0100865756088029","0.0212167630959915"
"Much too small","1991","Rural Area","East Germany","124","0.042126887394917","0.0345016793777376","0.0497520954120965"
"A little too small","1991","Urban Area","West Germany","1392","0.162333188276923","0.153903448013185","0.170762928540661"
"A little too small","1991","Urban Area","East Germany","304","0.198530945318033","0.177492737719611","0.219569152916455"
"A little too small","1991","Rural Area","West Germany","304","0.132645829980004","0.117438156348845","0.147853503611164"
"A little too small","1991","Rural Area","East Germany","560","0.189698744932511","0.174816326770703","0.204581163094319"
"Just right","1991","Urban Area","West Germany","5206","0.737768293898175","0.727713400432262","0.747823187364089"
"Just right","1991","Urban Area","East Germany","929","0.696654240990241","0.67240886864287","0.720899613337611"
"Just right","1991","Rural Area","West Germany","1383","0.733338048668801","0.713511351046875","0.753164746290727"
"Just right","1991","Rural Area","East Germany","1842","0.70804077946171","0.690782072613603","0.725299486309818"
"A little too big","1991","Urban Area","West Germany","385","0.0663833883759452","0.060692384611111","0.0720743921407793"
"A little too big","1991","Urban Area","East Germany","63","0.0500685122549344","0.038566343449688","0.0615706810601809"
"A little too big","1991","Rural Area","West Germany","166","0.109306028899184","0.0953164686775323","0.123295589120836"
"A little too big","1991","Rural Area","East Germany","127","0.0530710677214219","0.0445615367338345","0.0615805987090094"
"Much too big","1991","Urban Area","West Germany","30","0.00585276946031336","0.00410903262443319","0.00759650629619354"
"Much too big","1991","Urban Area","East Germany","13","","",""
"Much too big","1991","Rural Area","West Germany","16","","",""
"Much too big","1991","Rural Area","East Germany","13","","",""
"Much too small","1992","Urban Area","West Germany","382","0.0316209962519134","0.0275954932999617","0.0356464992038651"
"Much too small","1992","Urban Area","East Germany","43","0.0256204171083696","0.0172842630258438","0.0339565711908955"
"Much too small","1992","Rural Area","West Germany","66","0.0209761498492309","0.0145794775770877","0.0273728221213742"
"Much too small","1992","Rural Area","East Germany","105","0.0351454805630013","0.0279081924983331","0.0423827686276695"
"A little too small","1992","Urban Area","West Germany","1396","0.163558431578116","0.155049716810477","0.172067146345756"
"A little too small","1992","Urban Area","East Germany","323","0.212833032293117","0.191237620254785","0.234428444331449"
"A little too small","1992","Rural Area","West Germany","304","0.124444216368151","0.109710108484005","0.139178324252296"
"A little too small","1992","Rural Area","East Germany","508","0.175202598569447","0.160262477666801","0.190142719472093"
"Just right","1992","Urban Area","West Germany","5089","0.731490806947693","0.721295654861416","0.74168595903397"
"Just right","1992","Urban Area","East Germany","898","0.669407249989521","0.644587327767526","0.694227172211517"
"Just right","1992","Rural Area","West Germany","1383","0.748141634593716","0.728765609933237","0.767517659254196"
"Just right","1992","Rural Area","East Germany","1705","0.717406154690474","0.699710195951967","0.735102113428982"
"A little too big","1992","Urban Area","West Germany","362","0.0676419383488775","0.0618648490574784","0.0734190276402766"
"A little too big","1992","Urban Area","East Germany","109","0.0864154400341105","0.0715909898072005","0.10123989026102"
"A little too big","1992","Rural Area","West Germany","165","0.0986199414316386","0.0853113859548371","0.11192849690844"
"A little too big","1992","Rural Area","East Germany","159","0.0681609851110755","0.0582561198386091","0.0780658503835419"
"Much too big","1992","Urban Area","West Germany","30","0.00568782687339953","0.0039578342336104","0.00741781951318866"
"Much too big","1992","Urban Area","East Germany","7","","",""
"Much too big","1992","Rural Area","West Germany","10","","",""
"Much too big","1992","Rural Area","East Germany","10","","",""
"Much too small","1993","Urban Area","West Germany","381","0.0306565094456103","0.0266881660840537","0.034624852807167"
"Much too small","1993","Urban Area","East Germany","47","0.0304581885083679","0.0213015831006132","0.0396147939161225"
"Much too small","1993","Rural Area","West Germany","58","0.0165017170543185","0.0107989135773379","0.022204520531299"
"Much too small","1993","Rural Area","East Germany","65","0.0272037247240287","0.0207516350240663","0.0336558144239912"
"A little too small","1993","Urban Area","West Germany","1386","0.165674304857801","0.15711567136087","0.174232938354733"
"A little too small","1993","Urban Area","East Germany","306","0.215414407390666","0.193508727831978","0.237320086949354"
"A little too small","1993","Rural Area","West Germany","307","0.147745118544134","0.13186044280895","0.163629794279318"
"A little too small","1993","Rural Area","East Germany","505","0.173338897245619","0.158325221660715","0.188352572830522"
"Just right","1993","Urban Area","West Germany","5029","0.726898333067987","0.716641623617957","0.737155042518016"
"Just right","1993","Urban Area","East Germany","871","0.657644852650736","0.632361577190232","0.682928128111239"
"Just right","1993","Rural Area","West Germany","1378","0.731435022802661","0.711594660486207","0.751275385119115"
"Just right","1993","Rural Area","East Germany","1722","0.725727271206346","0.708032159992302","0.743422382420391"
"A little too big","1993","Urban Area","West Germany","424","0.0710329999129137","0.0651195726019903","0.076946427223837"
"A little too big","1993","Urban Area","East Germany","113","0.0809863084987295","0.0664496032288448","0.0955230137686141"
"A little too big","1993","Rural Area","West Germany","166","0.101767814809164","0.0882334909154892","0.115302138702838"
"A little too big","1993","Rural Area","East Germany","144","0.0707634703401855","0.0605929549830579","0.0809339856973131"
"Much too big","1993","Urban Area","West Germany","29","","",""
"Much too big","1993","Urban Area","East Germany","16","","",""
"Much too big","1993","Rural Area","West Germany","8","","",""
"Much too big","1993","Rural Area","East Germany","6","","",""
"Much too small","1994","Urban Area","West Germany","325","0.0269997307223575","0.0232194815146739","0.0307799799300412"
"Much too small","1994","Urban Area","East Germany","57","0.0319870859409528","0.0226039430355547","0.0413702288463509"
"Much too small","1994","Rural Area","West Germany","54","0.0188414688608837","0.012662463250302","0.0250204744714654"
"Much too small","1994","Rural Area","East Germany","82","0.0330862607633252","0.0259199695652094","0.0402525519614411"
"A little too small","1994","Urban Area","West Germany","1297","0.163245356091875","0.154625426512689","0.17186528567106"
"A little too small","1994","Urban Area","East Germany","290","0.20296795725641","0.181520685847792","0.224415228665028"
"A little too small","1994","Rural Area","West Germany","253","0.117648056297354","0.103005903975424","0.132290208619285"
"A little too small","1994","Rural Area","East Germany","479","0.17873215036364","0.163381722227249","0.194082578500031"
"Just right","1994","Urban Area","West Germany","4994","0.726420451744377","0.716023163600786","0.736817739887967"
"Just right","1994","Urban Area","East Germany","889","0.677860591198471","0.652942628108233","0.702778554288708"
"Just right","1994","Rural Area","West Germany","1349","0.737326613546268","0.717326631286578","0.757326595805958"
"Just right","1994","Rural Area","East Germany","1655","0.704519720218806","0.686239241294917","0.722800199142696"
"A little too big","1994","Urban Area","West Germany","416","0.0770463305982633","0.0708269066049996","0.0832657545915271"
"A little too big","1994","Urban Area","East Germany","106","0.0801291393803475","0.0656521223111419","0.094606156449553"
"A little too big","1994","Rural Area","West Germany","190","0.120098007231999","0.10532473604094","0.134871278423059"
"A little too big","1994","Rural Area","East Germany","150","0.0727142210432089","0.0623103917068098","0.083118050379608"
"Much too big","1994","Urban Area","West Germany","30","0.00628813084312768","0.00444449451156249","0.00813176717469288"
"Much too big","1994","Urban Area","East Germany","9","","",""
"Much too big","1994","Rural Area","West Germany","14","","",""
"Much too big","1994","Rural Area","East Germany","27","","",""
"Much too small","1995","Urban Area","West Germany","324","0.0294721564009852","0.0256306944900981","0.0333136183118723"
"Much too small","1995","Urban Area","East Germany","39","0.0231716125202057","0.014897269988421","0.0314459550519904"
"Much too small","1995","Rural Area","West Germany","44","0.0135583526711754","0.00854601180263711","0.0185706935397136"
"Much too small","1995","Rural Area","East Germany","81","0.0275716661680024","0.021051904924895","0.0340914274111098"
"A little too small","1995","Urban Area","West Germany","1389","0.157315778000656","0.149045784894476","0.165585771106837"
"A little too small","1995","Urban Area","East Germany","249","0.195489934218823","0.173679004823365","0.217300863614281"
"A little too small","1995","Rural Area","West Germany","293","0.135609396783987","0.120770509175822","0.150448284392153"
"A little too small","1995","Rural Area","East Germany","460","0.174456904180517","0.159346177872952","0.189567630488082"
"Just right","1995","Urban Area","West Germany","5246","0.726096158601852","0.715966782278479","0.736225534925225"
"Just right","1995","Urban Area","East Germany","889","0.708186288511935","0.68318439882477","0.733188178199099"
"Just right","1995","Rural Area","West Germany","1467","0.706520289488754","0.686784577669571","0.726256001307937"
"Just right","1995","Rural Area","East Germany","1668","0.69807201582107","0.679792142494334","0.716351889147806"
"A little too big","1995","Urban Area","West Germany","457","0.0810079071357288","0.0748105550728988","0.0872052591985589"
"A little too big","1995","Urban Area","East Germany","87","0.066071013402593","0.0524091907908651","0.0797328360143209"
"A little too big","1995","Rural Area","West Germany","219","0.129434652967509","0.114885845231234","0.143983460703785"
"A little too big","1995","Rural Area","East Germany","199","0.0942966141653821","0.0826603806203772","0.105932847710387"
"Much too big","1995","Urban Area","West Germany","30","0.00610799986077777","0.00433827528531388","0.00787772443624166"
"Much too big","1995","Urban Area","East Germany","6","","",""
"Much too big","1995","Rural Area","West Germany","22","","",""
"Much too big","1995","Rural Area","East Germany","15","","",""
"Much too small","1996","Urban Area","West Germany","281","0.0225131391291323","0.0191082870204827","0.0259179912377819"
"Much too small","1996","Urban Area","East Germany","34","0.0243413165081104","0.0159479884973553","0.0327346445188656"
"Much too small","1996","Rural Area","West Germany","33","0.0104271720795648","0.00600398282618809","0.0148503613329416"
"Much too small","1996","Rural Area","East Germany","81","0.0306342219715287","0.0237051967512734","0.037563247191784"
"A little too small","1996","Urban Area","West Germany","1348","0.16035022415191","0.151928352182973","0.168772096120847"
"A little too small","1996","Urban Area","East Germany","269","0.20593627491673","0.183911711336837","0.227960838496623"
"A little too small","1996","Rural Area","West Germany","271","0.123815094419543","0.109472984367913","0.138157204471173"
"A little too small","1996","Rural Area","East Germany","444","0.169168173037135","0.154093747708453","0.184242598365816"
"Just right","1996","Urban Area","West Germany","5125","0.717083961060986","0.706745912927099","0.727422009194873"
"Just right","1996","Urban Area","East Germany","889","0.686759281293351","0.661498046154006","0.712020516432697"
"Just right","1996","Rural Area","West Germany","1473","0.714986865597838","0.69533020044728","0.734643530748396"
"Just right","1996","Rural Area","East Germany","1684","0.719284437316475","0.701216505210342","0.737352369422608"
"A little too big","1996","Urban Area","West Germany","504","0.093569139558788","0.08688480127846","0.100253477839116"
"A little too big","1996","Urban Area","East Germany","100","0.0794228330152814","0.0646957751440428","0.09414989088652"
"A little too big","1996","Rural Area","West Germany","233","0.139976460374718","0.124868318887706","0.15508460186173"
"A little too big","1996","Rural Area","East Germany","151","0.0754111080937198","0.0647937401072711","0.0860284760801685"
"Much too big","1996","Urban Area","West Germany","34","0.00648353609918385","0.00464141463965877","0.00832565755870894"
"Much too big","1996","Urban Area","East Germany","3","","",""
"Much too big","1996","Rural Area","West Germany","16","","",""
"Much too big","1996","Rural Area","East Germany","16","","",""
"Much too small","1997","Urban Area","West Germany","227","0.021184326668003","0.0178588862310165","0.0245097671049896"
"Much too small","1997","Urban Area","East Germany","23","","",""
"Much too small","1997","Rural Area","West Germany","32","0.00692072484211297","0.00326450508042727","0.0105769446037987"
"Much too small","1997","Rural Area","East Germany","64","0.0244571387126964","0.018235808646722","0.0306784687786708"
"A little too small","1997","Urban Area","West Germany","1297","0.162706227499787","0.154182444162789","0.171230010836785"
"A little too small","1997","Urban Area","East Germany","253","0.211883570205383","0.18942674456379","0.234340395846975"
"A little too small","1997","Rural Area","West Germany","298","0.144737378034785","0.129220489598674","0.160254266470897"
"A little too small","1997","Rural Area","East Germany","403","0.153946170229678","0.139410311802476","0.168482028656881"
"Just right","1997","Urban Area","West Germany","5184","0.720121099057731","0.709753475225002","0.730488722890459"
"Just right","1997","Urban Area","East Germany","883","0.677810519400222","0.652129375399458","0.703491663400987"
"Just right","1997","Rural Area","West Germany","1429","0.704988213178599","0.684875291934459","0.72510113442274"
"Just right","1997","Rural Area","East Germany","1740","0.733090289652296","0.715273963170871","0.750906616133721"
"A little too big","1997","Urban Area","West Germany","466","0.0887964688014843","0.0822275040970229","0.0953654335059457"
"A little too big","1997","Urban Area","East Germany","111","0.0862933950361472","0.0708623017969356","0.101724488275359"
"A little too big","1997","Rural Area","West Germany","204","0.138207908631312","0.122987292228447","0.153428525034177"
"A little too big","1997","Rural Area","East Germany","146","0.0820886890349751","0.0710326576535268","0.0931447204164233"
"Much too big","1997","Urban Area","West Germany","29","","",""
"Much too big","1997","Urban Area","East Germany","2","","",""
"Much too big","1997","Rural Area","West Germany","12","","",""
"Much too big","1997","Rural Area","East Germany","15","","",""
"Much too small","1998","Urban Area","West Germany","262","0.029368524414288","0.0256461474791163","0.0330909013494598"
"Much too small","1998","Urban Area","East Germany","37","0.0249593828436655","0.0165277150005818","0.0333910506867492"
"Much too small","1998","Rural Area","West Germany","35","0.0148709932589127","0.00988968855944015","0.0198522979583853"
"Much too small","1998","Rural Area","East Germany","45","0.01589870120546","0.0110457214211992","0.0207516809897208"
"A little too small","1998","Urban Area","West Germany","1386","0.157655655334094","0.149621287530293","0.165690023137894"
"A little too small","1998","Urban Area","East Germany","255","0.22320950353248","0.200703752658384","0.245715254406576"
"A little too small","1998","Rural Area","West Germany","267","0.112494314825023","0.0994903009199312","0.125498328730116"
"A little too small","1998","Rural Area","East Germany","386","0.135590344135226","0.12230777936811","0.148872908902342"
"Just right","1998","Urban Area","West Germany","5589","0.71054522138164","0.700546641436027","0.720543801327253"
"Just right","1998","Urban Area","East Germany","874","0.638709128602578","0.612745507031541","0.664672750173615"
"Just right","1998","Rural Area","West Germany","1708","0.740088413217075","0.722038247697776","0.758138578736374"
"Just right","1998","Rural Area","East Germany","1898","0.737314039930073","0.720239365222746","0.754388714637401"
"A little too big","1998","Urban Area","West Germany","596","0.0915106084339716","0.0851536737130489","0.0978675431548942"
"A little too big","1998","Urban Area","East Germany","147","0.109806427014381","0.092908192928066","0.126704661100695"
"A little too big","1998","Rural Area","West Germany","241","0.12291358044952","0.109400707480139","0.136426453418901"
"A little too big","1998","Rural Area","East Germany","209","0.102639022134547","0.0908643831882964","0.114413661080798"
"Much too big","1998","Urban Area","West Germany","70","0.0109199904360069","0.00862870633687724","0.0132112745351366"
"Much too big","1998","Urban Area","East Germany","2","","",""
"Much too big","1998","Rural Area","West Germany","17","","",""
"Much too big","1998","Rural Area","East Germany","14","","",""
"Much too small","1999","Urban Area","West Germany","226","0.0211594218577978","0.0179409694645239","0.0243778742510717"
"Much too small","1999","Urban Area","East Germany","24","","",""
"Much too small","1999","Rural Area","West Germany","17","","",""
"Much too small","1999","Rural Area","East Germany","32","0.00964321672571979","0.00581015666950952","0.0134762767819301"
"A little too small","1999","Urban Area","West Germany","1300","0.157219051856765","0.149078588052548","0.165359515660981"
"A little too small","1999","Urban Area","East Germany","241","0.195793016268593","0.17420596796343","0.217380064573755"
"A little too small","1999","Rural Area","West Germany","312","0.135918229472968","0.121652909406247","0.150183549539688"
"A little too small","1999","Rural Area","East Germany","369","0.136018052378896","0.122572166219374","0.149463938538418"
"Just right","1999","Urban Area","West Germany","5570","0.728630743116823","0.71868646465769","0.738575021575956"
"Just right","1999","Urban Area","East Germany","929","0.708875409217567","0.684161858573035","0.733588959862099"
"Just right","1999","Rural Area","West Germany","1657","0.742277991791246","0.724071582994963","0.76048440058753"
"Just right","1999","Rural Area","East Germany","1901","0.766843796688756","0.750258785777911","0.783428807599601"
"A little too big","1999","Urban Area","West Germany","558","0.0872637599978326","0.0809523147854547","0.0935752052102104"
"A little too big","1999","Urban Area","East Germany","97","0.0733470127184474","0.0591642601874545","0.0875297652494402"
"A little too big","1999","Rural Area","West Germany","216","0.109403626096941","0.0964102633249317","0.12239698886895"
"A little too big","1999","Rural Area","East Germany","185","0.0817864791918899","0.0710378911536204","0.0925350672301594"
"Much too big","1999","Urban Area","West Germany","27","","",""
"Much too big","1999","Urban Area","East Germany","7","","",""
"Much too big","1999","Rural Area","West Germany","15","","",""
"Much too big","1999","Rural Area","East Germany","10","","",""
"Much too small","2000","Urban Area","West Germany","328","0.0211644620055752","0.0187739365284183","0.023554987482732"
"Much too small","2000","Urban Area","East Germany","43","0.0242463067394375","0.0173752169543266","0.0311173965245483"
"Much too small","2000","Rural Area","West Germany","53","0.010302859809409","0.00730001259593291","0.0133057070228852"
"Much too small","2000","Rural Area","East Germany","40","0.0144904407776172","0.0107566761124425","0.0182242054427919"
"A little too small","2000","Urban Area","West Germany","2132","0.151946273584349","0.145984278606815","0.157908268561883"
"A little too small","2000","Urban Area","East Germany","329","0.176697311230738","0.159658964124893","0.193735658336583"
"A little too small","2000","Rural Area","West Germany","473","0.106460493410063","0.0972886992472756","0.11563228757285"
"A little too small","2000","Rural Area","East Germany","499","0.120226800938295","0.110065209436475","0.130388392440114"
"Just right","2000","Urban Area","West Germany","10261","0.734130098602927","0.726792465406014","0.74146773179984"
"Just right","2000","Urban Area","East Germany","1400","0.721329919055455","0.701301583037319","0.74135825507359"
"Just right","2000","Rural Area","West Germany","3332","0.760139088176851","0.747441259718437","0.772836916635265"
"Just right","2000","Rural Area","East Germany","3038","0.770776865579647","0.757643704177667","0.783910026981627"
"A little too big","2000","Urban Area","West Germany","1105","0.0845198080210528","0.0798998436898008","0.0891397723523047"
"A little too big","2000","Urban Area","East Germany","149","0.0756745456793595","0.0638599165941906","0.0874891747645283"
"A little too big","2000","Rural Area","West Germany","452","0.111103384173702","0.101758101272288","0.120448667075116"
"A little too big","2000","Rural Area","East Germany","338","0.0888559253465097","0.0799657065954295","0.0977461440975898"
"Much too big","2000","Urban Area","West Germany","100","0.00823935778609631","0.00673799719714534","0.00974071837504728"
"Much too big","2000","Urban Area","East Germany","4","","",""
"Much too big","2000","Rural Area","West Germany","34","0.011994174429975","0.00875698498551998","0.01523136387443"
"Much too big","2000","Rural Area","East Germany","20","","",""
"Much too small","2001","Urban Area","West Germany","320","0.0234059647224261","0.0207714176060196","0.0260405118388325"
"Much too small","2001","Urban Area","East Germany","30","0.0192197885260549","0.0129085978505529","0.0255309792015568"
"Much too small","2001","Rural Area","West Germany","34","0.00908704227255511","0.00609273746693335","0.0120813470781769"
"Much too small","2001","Rural Area","East Germany","40","0.0141415092176124","0.0103031019361188","0.0179799164991061"
"A little too small","2001","Urban Area","West Germany","1913","0.147930568757531","0.141743967591441","0.154117169923621"
"A little too small","2001","Urban Area","East Germany","293","0.170163662739983","0.152890145088296","0.187437180391671"
"A little too small","2001","Rural Area","West Germany","427","0.106564189533595","0.0968276574246464","0.116300721642544"
"A little too small","2001","Rural Area","East Germany","422","0.102062061395348","0.0922207899255797","0.111903332865115"
"Just right","2001","Urban Area","West Germany","9370","0.73694449931604","0.729272178618335","0.744616820013746"
"Just right","2001","Urban Area","East Germany","1367","0.73456038080965","0.714262636627667","0.754858124991633"
"Just right","2001","Rural Area","West Germany","2931","0.756269318215962","0.742721781965643","0.769816854466282"
"Just right","2001","Rural Area","East Germany","2854","0.786400174866739","0.773076680871571","0.799723668861906"
"A little too big","2001","Urban Area","West Germany","969","0.0841565837183403","0.0793188682049602","0.0889942992317203"
"A little too big","2001","Urban Area","East Germany","122","0.0736212822704762","0.061616697994757","0.0856258665461954"
"A little too big","2001","Rural Area","West Germany","421","0.115702157209713","0.105608768698929","0.125795545720497"
"A little too big","2001","Rural Area","East Germany","297","0.0908701373214063","0.0815264254595914","0.100213849183221"
"Much too big","2001","Urban Area","West Germany","79","0.00756238348566227","0.00605276703456247","0.00907199993676206"
"Much too big","2001","Urban Area","East Germany","6","","",""
"Much too big","2001","Rural Area","West Germany","45","0.0123772927681744","0.00888849862559886","0.0158660869107499"
"Much too big","2001","Rural Area","East Germany","22","","",""
"Much too small","2002","Urban Area","West Germany","320","0.0256126380293975","0.0229580826189477","0.0282671934398472"
"Much too small","2002","Urban Area","East Germany","30","0.0210306471654795","0.0144833693034386","0.0275779250275203"
