"plh0179","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"4 on Scale 1 to 10","1990","66 and older","direct migration background","","","","","4"
"4 on Scale 1 to 10","1990","16-34 y.","no migration background","20","","","","4"
"4 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1990","35-65 y.","direct migration background","","","","","4"
"4 on Scale 1 to 10","1990","16-34 y.","direct migration background","","","","","4"
"4 on Scale 1 to 10","1990","66 and older","no migration background","","","","","4"
"4 on Scale 1 to 10","1990","35-65 y.","no migration background","16","","","","4"
"5 on Scale 1 to 10","1990","66 and older","direct migration background","","","","","5"
"5 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","5"
"5 on Scale 1 to 10","1990","66 and older","no migration background","","","","","5"
"5 on Scale 1 to 10","1990","16-34 y.","no migration background","96","0.0938627190629901","0.0755097729794396","0.112215665146541","5"
"5 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","5"
"5 on Scale 1 to 10","1990","16-34 y.","direct migration background","","","","","5"
"5 on Scale 1 to 10","1990","35-65 y.","no migration background","60","0.116222752836676","0.0877584469668573","0.144687058706494","5"
"5 on Scale 1 to 10","1990","35-65 y.","direct migration background","","","","","5"
"5 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","5"
"6 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","6"
"6 on Scale 1 to 10","1990","66 and older","no migration background","1","","","","6"
"6 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","6"
"6 on Scale 1 to 10","1990","35-65 y.","no migration background","23","","","","6"
"6 on Scale 1 to 10","1990","35-65 y.","direct migration background","","","","","6"
"6 on Scale 1 to 10","1990","16-34 y.","direct migration background","1","","","","6"
"6 on Scale 1 to 10","1990","16-34 y.","no migration background","36","0.0412403941835527","0.0287269030040296","0.0537538853630758","6"
"6 on Scale 1 to 10","1990","66 and older","direct migration background","","","","","6"
"6 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","6"
"7 on Scale 1 to 10","1990","16-34 y.","direct migration background","","","","","7"
"7 on Scale 1 to 10","1990","16-34 y.","no migration background","76","0.0760028476513793","0.0593260571686661","0.0926796381340926","7"
"7 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","7"
"7 on Scale 1 to 10","1990","35-65 y.","no migration background","43","0.0947722753247745","0.0687585118307356","0.120786038818813","7"
"7 on Scale 1 to 10","1990","35-65 y.","direct migration background","3","","","","7"
"7 on Scale 1 to 10","1990","66 and older","no migration background","","","","","7"
"7 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","7"
"7 on Scale 1 to 10","1990","66 and older","direct migration background","","","","","7"
"7 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","7"
"8 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","8"
"8 on Scale 1 to 10","1990","16-34 y.","no migration background","182","0.190127631355189","0.165433535268397","0.21482172744198","8"
"8 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","8"
"8 on Scale 1 to 10","1990","35-65 y.","no migration background","112","0.227767928859784","0.190519855514258","0.26501600220531","8"
"8 on Scale 1 to 10","1990","66 and older","no migration background","1","","","","8"
"8 on Scale 1 to 10","1990","66 and older","direct migration background","","","","","8"
"8 on Scale 1 to 10","1990","35-65 y.","direct migration background","2","","","","8"
"8 on Scale 1 to 10","1990","16-34 y.","direct migration background","2","","","","8"
"8 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","8"
"9 on Scale 1 to 10","1990","66 and older","indirect migration background","","","","","9"
"9 on Scale 1 to 10","1990","66 and older","no migration background","1","","","","9"
"9 on Scale 1 to 10","1990","66 and older","direct migration background","","","","","9"
"9 on Scale 1 to 10","1990","35-65 y.","no migration background","46","0.0934247533378149","0.0675773738716544","0.119272132803975","9"
"9 on Scale 1 to 10","1990","16-34 y.","indirect migration background","","","","","9"
"9 on Scale 1 to 10","1990","16-34 y.","no migration background","130","0.126045524174183","0.105158799418705","0.146932248929661","9"
"9 on Scale 1 to 10","1990","16-34 y.","direct migration background","1","","","","9"
"9 on Scale 1 to 10","1990","35-65 y.","direct migration background","","","","","9"
"9 on Scale 1 to 10","1990","35-65 y.","indirect migration background","","","","","9"
"0 Completely dissatisfied","1991","16-34 y.","no migration background","","","","","0"
"0 Completely dissatisfied","1991","16-34 y.","direct migration background","","","","","0"
"0 Completely dissatisfied","1991","16-34 y.","indirect migration background","","","","","0"
"0 Completely dissatisfied","1991","35-65 y.","no migration background","","","","","0"
"0 Completely dissatisfied","1991","35-65 y.","direct migration background","","","","","0"
"0 Completely dissatisfied","1991","35-65 y.","indirect migration background","","","","","0"
"0 Completely dissatisfied","1991","66 and older","no migration background","","","","","0"
"0 Completely dissatisfied","1991","66 and older","direct migration background","","","","","0"
"0 Completely dissatisfied","1991","66 and older","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1991","16-34 y.","no migration background","","","","","1"
"1 on Scale 1 to 10","1991","16-34 y.","direct migration background","","","","","1"
"1 on Scale 1 to 10","1991","16-34 y.","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1991","66 and older","no migration background","","","","","1"
"1 on Scale 1 to 10","1991","66 and older","direct migration background","","","","","1"
"1 on Scale 1 to 10","1991","66 and older","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1991","35-65 y.","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1991","35-65 y.","no migration background","","","","","1"
"1 on Scale 1 to 10","1991","35-65 y.","direct migration background","","","","","1"
"10 Completely satisfied","1991","16-34 y.","indirect migration background","","","","","10"
"10 Completely satisfied","1991","35-65 y.","indirect migration background","","","","","10"
"10 Completely satisfied","1991","16-34 y.","no migration background","","","","","10"
"10 Completely satisfied","1991","16-34 y.","direct migration background","","","","","10"
"10 Completely satisfied","1991","35-65 y.","direct migration background","","","","","10"
"10 Completely satisfied","1991","66 and older","no migration background","","","","","10"
"10 Completely satisfied","1991","66 and older","indirect migration background","","","","","10"
"10 Completely satisfied","1991","35-65 y.","no migration background","","","","","10"
"10 Completely satisfied","1991","66 and older","direct migration background","","","","","10"
"2 on Scale 1 to 10","1991","16-34 y.","no migration background","","","","","2"
"2 on Scale 1 to 10","1991","16-34 y.","direct migration background","","","","","2"
"2 on Scale 1 to 10","1991","16-34 y.","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1991","66 and older","no migration background","","","","","2"
"2 on Scale 1 to 10","1991","66 and older","direct migration background","","","","","2"
"2 on Scale 1 to 10","1991","66 and older","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1991","35-65 y.","no migration background","","","","","2"
"2 on Scale 1 to 10","1991","35-65 y.","direct migration background","","","","","2"
"2 on Scale 1 to 10","1991","35-65 y.","indirect migration background","","","","","2"
"3 on Scale 1 to 10","1991","16-34 y.","no migration background","","","","","3"
"3 on Scale 1 to 10","1991","16-34 y.","direct migration background","","","","","3"
"3 on Scale 1 to 10","1991","35-65 y.","direct migration background","","","","","3"
"3 on Scale 1 to 10","1991","16-34 y.","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1991","35-65 y.","no migration background","","","","","3"
"3 on Scale 1 to 10","1991","35-65 y.","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1991","66 and older","direct migration background","","","","","3"
"3 on Scale 1 to 10","1991","66 and older","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1991","66 and older","no migration background","","","","","3"
"4 on Scale 1 to 10","1991","16-34 y.","no migration background","","","","","4"
"4 on Scale 1 to 10","1991","66 and older","direct migration background","","","","","4"
"4 on Scale 1 to 10","1991","66 and older","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1991","16-34 y.","direct migration background","","","","","4"
"4 on Scale 1 to 10","1991","35-65 y.","direct migration background","","","","","4"
"4 on Scale 1 to 10","1991","16-34 y.","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1991","35-65 y.","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1991","35-65 y.","no migration background","","","","","4"
"4 on Scale 1 to 10","1991","66 and older","no migration background","","","","","4"
"5 on Scale 1 to 10","1991","66 and older","direct migration background","","","","","5"
"5 on Scale 1 to 10","1991","66 and older","no migration background","","","","","5"
"5 on Scale 1 to 10","1991","16-34 y.","no migration background","","","","","5"
"5 on Scale 1 to 10","1991","16-34 y.","direct migration background","","","","","5"
"5 on Scale 1 to 10","1991","16-34 y.","indirect migration background","","","","","5"
"5 on Scale 1 to 10","1991","35-65 y.","indirect migration background","","","","","5"
"5 on Scale 1 to 10","1991","66 and older","indirect migration background","","","","","5"
"5 on Scale 1 to 10","1991","35-65 y.","no migration background","","","","","5"
"5 on Scale 1 to 10","1991","35-65 y.","direct migration background","","","","","5"
"6 on Scale 1 to 10","1991","66 and older","no migration background","","","","","6"
"6 on Scale 1 to 10","1991","16-34 y.","no migration background","","","","","6"
"6 on Scale 1 to 10","1991","16-34 y.","direct migration background","","","","","6"
"6 on Scale 1 to 10","1991","35-65 y.","indirect migration background","","","","","6"
"6 on Scale 1 to 10","1991","16-34 y.","indirect migration background","","","","","6"
"6 on Scale 1 to 10","1991","35-65 y.","no migration background","","","","","6"
"6 on Scale 1 to 10","1991","35-65 y.","direct migration background","","","","","6"
"6 on Scale 1 to 10","1991","66 and older","direct migration background","","","","","6"
"6 on Scale 1 to 10","1991","66 and older","indirect migration background","","","","","6"
"7 on Scale 1 to 10","1991","16-34 y.","no migration background","","","","","7"
"7 on Scale 1 to 10","1991","16-34 y.","direct migration background","","","","","7"
"7 on Scale 1 to 10","1991","16-34 y.","indirect migration background","","","","","7"
"7 on Scale 1 to 10","1991","35-65 y.","no migration background","","","","","7"
"7 on Scale 1 to 10","1991","35-65 y.","direct migration background","","","","","7"
"7 on Scale 1 to 10","1991","35-65 y.","indirect migration background","","","","","7"
"7 on Scale 1 to 10","1991","66 and older","no migration background","","","","","7"
"7 on Scale 1 to 10","1991","66 and older","direct migration background","","","","","7"
"7 on Scale 1 to 10","1991","66 and older","indirect migration background","","","","","7"
"8 on Scale 1 to 10","1991","66 and older","indirect migration background","","","","","8"
"8 on Scale 1 to 10","1991","16-34 y.","indirect migration background","","","","","8"
"8 on Scale 1 to 10","1991","16-34 y.","direct migration background","","","","","8"
"8 on Scale 1 to 10","1991","16-34 y.","no migration background","","","","","8"
"8 on Scale 1 to 10","1991","35-65 y.","indirect migration background","","","","","8"
"8 on Scale 1 to 10","1991","66 and older","no migration background","","","","","8"
"8 on Scale 1 to 10","1991","66 and older","direct migration background","","","","","8"
"8 on Scale 1 to 10","1991","35-65 y.","no migration background","","","","","8"
"8 on Scale 1 to 10","1991","35-65 y.","direct migration background","","","","","8"
"9 on Scale 1 to 10","1991","66 and older","indirect migration background","","","","","9"
"9 on Scale 1 to 10","1991","16-34 y.","direct migration background","","","","","9"
"9 on Scale 1 to 10","1991","16-34 y.","indirect migration background","","","","","9"
"9 on Scale 1 to 10","1991","16-34 y.","no migration background","","","","","9"
"9 on Scale 1 to 10","1991","66 and older","no migration background","","","","","9"
"9 on Scale 1 to 10","1991","35-65 y.","no migration background","","","","","9"
"9 on Scale 1 to 10","1991","35-65 y.","indirect migration background","","","","","9"
"9 on Scale 1 to 10","1991","66 and older","direct migration background","","","","","9"
"9 on Scale 1 to 10","1991","35-65 y.","direct migration background","","","","","9"
"0 Completely dissatisfied","1992","16-34 y.","no migration background","","","","","0"
"0 Completely dissatisfied","1992","16-34 y.","direct migration background","","","","","0"
"0 Completely dissatisfied","1992","16-34 y.","indirect migration background","","","","","0"
"0 Completely dissatisfied","1992","35-65 y.","no migration background","","","","","0"
"0 Completely dissatisfied","1992","35-65 y.","direct migration background","","","","","0"
"0 Completely dissatisfied","1992","35-65 y.","indirect migration background","","","","","0"
"0 Completely dissatisfied","1992","66 and older","no migration background","","","","","0"
"0 Completely dissatisfied","1992","66 and older","direct migration background","","","","","0"
"0 Completely dissatisfied","1992","66 and older","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1992","16-34 y.","no migration background","","","","","1"
"1 on Scale 1 to 10","1992","16-34 y.","direct migration background","","","","","1"
"1 on Scale 1 to 10","1992","16-34 y.","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1992","66 and older","no migration background","","","","","1"
"1 on Scale 1 to 10","1992","66 and older","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1992","35-65 y.","direct migration background","","","","","1"
"1 on Scale 1 to 10","1992","35-65 y.","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1992","35-65 y.","no migration background","","","","","1"
"1 on Scale 1 to 10","1992","66 and older","direct migration background","","","","","1"
"10 Completely satisfied","1992","16-34 y.","direct migration background","","","","","10"
"10 Completely satisfied","1992","16-34 y.","indirect migration background","","","","","10"
"10 Completely satisfied","1992","35-65 y.","indirect migration background","","","","","10"
"10 Completely satisfied","1992","16-34 y.","no migration background","","","","","10"
"10 Completely satisfied","1992","35-65 y.","no migration background","","","","","10"
"10 Completely satisfied","1992","35-65 y.","direct migration background","","","","","10"
"10 Completely satisfied","1992","66 and older","no migration background","","","","","10"
"10 Completely satisfied","1992","66 and older","direct migration background","","","","","10"
"10 Completely satisfied","1992","66 and older","indirect migration background","","","","","10"
"2 on Scale 1 to 10","1992","16-34 y.","no migration background","","","","","2"
"2 on Scale 1 to 10","1992","16-34 y.","direct migration background","","","","","2"
"2 on Scale 1 to 10","1992","35-65 y.","direct migration background","","","","","2"
"2 on Scale 1 to 10","1992","35-65 y.","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1992","16-34 y.","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1992","35-65 y.","no migration background","","","","","2"
"2 on Scale 1 to 10","1992","66 and older","no migration background","","","","","2"
"2 on Scale 1 to 10","1992","66 and older","direct migration background","","","","","2"
"2 on Scale 1 to 10","1992","66 and older","indirect migration background","","","","","2"
"3 on Scale 1 to 10","1992","35-65 y.","direct migration background","","","","","3"
"3 on Scale 1 to 10","1992","16-34 y.","no migration background","","","","","3"
"3 on Scale 1 to 10","1992","16-34 y.","direct migration background","","","","","3"
"3 on Scale 1 to 10","1992","16-34 y.","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1992","35-65 y.","no migration background","","","","","3"
"3 on Scale 1 to 10","1992","66 and older","direct migration background","","","","","3"
"3 on Scale 1 to 10","1992","35-65 y.","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1992","66 and older","no migration background","","","","","3"
"3 on Scale 1 to 10","1992","66 and older","indirect migration background","","","","","3"
"4 on Scale 1 to 10","1992","35-65 y.","direct migration background","","","","","4"
"4 on Scale 1 to 10","1992","16-34 y.","no migration background","","","","","4"
"4 on Scale 1 to 10","1992","16-34 y.","direct migration background","","","","","4"
"4 on Scale 1 to 10","1992","16-34 y.","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1992","35-65 y.","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1992","66 and older","direct migration background","","","","","4"
"4 on Scale 1 to 10","1992","66 and older","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1992","35-65 y.","no migration background","","","","","4"
"4 on Scale 1 to 10","1992","66 and older","no migration background","","","","","4"
"5 on Scale 1 to 10","1992","16-34 y.","no migration background","","","","","5"
"5 on Scale 1 to 10","1992","16-34 y.","direct migration background","","","","","5"
"5 on Scale 1 to 10","1992","16-34 y.","indirect migration background","","","","","5"
"5 on Scale 1 to 10","1992","35-65 y.","indirect migration background","","","","","5"
"5 on Scale 1 to 10","1992","66 and older","no migration background","","","","","5"
"5 on Scale 1 to 10","1992","66 and older","direct migration background","","","","","5"
"5 on Scale 1 to 10","1992","66 and older","indirect migration background","","","","","5"
"5 on Scale 1 to 10","1992","35-65 y.","no migration background","","","","","5"
"5 on Scale 1 to 10","1992","35-65 y.","direct migration background","","","","","5"
"6 on Scale 1 to 10","1992","16-34 y.","no migration background","","","","","6"
"6 on Scale 1 to 10","1992","16-34 y.","direct migration background","","","","","6"
"6 on Scale 1 to 10","1992","35-65 y.","indirect migration background","","","","","6"
"6 on Scale 1 to 10","1992","66 and older","no migration background","","","","","6"
"6 on Scale 1 to 10","1992","35-65 y.","direct migration background","","","","","6"
"6 on Scale 1 to 10","1992","16-34 y.","indirect migration background","","","","","6"
"6 on Scale 1 to 10","1992","35-65 y.","no migration background","","","","","6"
"6 on Scale 1 to 10","1992","66 and older","direct migration background","","","","","6"
"6 on Scale 1 to 10","1992","66 and older","indirect migration background","","","","","6"
"7 on Scale 1 to 10","1992","16-34 y.","no migration background","","","","","7"
"7 on Scale 1 to 10","1992","16-34 y.","direct migration background","","","","","7"
"7 on Scale 1 to 10","1992","16-34 y.","indirect migration background","","","","","7"
"7 on Scale 1 to 10","1992","35-65 y.","no migration background","","","","","7"
"7 on Scale 1 to 10","1992","35-65 y.","direct migration background","","","","","7"
"7 on Scale 1 to 10","1992","35-65 y.","indirect migration background","","","","","7"
"7 on Scale 1 to 10","1992","66 and older","no migration background","","","","","7"
"7 on Scale 1 to 10","1992","66 and older","direct migration background","","","","","7"
"7 on Scale 1 to 10","1992","66 and older","indirect migration background","","","","","7"
"8 on Scale 1 to 10","1992","16-34 y.","no migration background","","","","","8"
"8 on Scale 1 to 10","1992","16-34 y.","direct migration background","","","","","8"
"8 on Scale 1 to 10","1992","16-34 y.","indirect migration background","","","","","8"
"8 on Scale 1 to 10","1992","35-65 y.","indirect migration background","","","","","8"
"8 on Scale 1 to 10","1992","66 and older","indirect migration background","","","","","8"
"8 on Scale 1 to 10","1992","35-65 y.","no migration background","","","","","8"
"8 on Scale 1 to 10","1992","35-65 y.","direct migration background","","","","","8"
"8 on Scale 1 to 10","1992","66 and older","no migration background","","","","","8"
"8 on Scale 1 to 10","1992","66 and older","direct migration background","","","","","8"
"9 on Scale 1 to 10","1992","16-34 y.","direct migration background","","","","","9"
"9 on Scale 1 to 10","1992","16-34 y.","indirect migration background","","","","","9"
"9 on Scale 1 to 10","1992","66 and older","no migration background","","","","","9"
"9 on Scale 1 to 10","1992","66 and older","indirect migration background","","","","","9"
"9 on Scale 1 to 10","1992","16-34 y.","no migration background","","","","","9"
"9 on Scale 1 to 10","1992","35-65 y.","no migration background","","","","","9"
"9 on Scale 1 to 10","1992","35-65 y.","direct migration background","","","","","9"
"9 on Scale 1 to 10","1992","35-65 y.","indirect migration background","","","","","9"
"9 on Scale 1 to 10","1992","66 and older","direct migration background","","","","","9"
"0 Completely dissatisfied","1993","16-34 y.","no migration background","","","","","0"
"0 Completely dissatisfied","1993","16-34 y.","direct migration background","","","","","0"
"0 Completely dissatisfied","1993","16-34 y.","indirect migration background","","","","","0"
"0 Completely dissatisfied","1993","35-65 y.","no migration background","","","","","0"
"0 Completely dissatisfied","1993","35-65 y.","direct migration background","","","","","0"
"0 Completely dissatisfied","1993","35-65 y.","indirect migration background","","","","","0"
"0 Completely dissatisfied","1993","66 and older","no migration background","","","","","0"
"0 Completely dissatisfied","1993","66 and older","direct migration background","","","","","0"
"0 Completely dissatisfied","1993","66 and older","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1993","16-34 y.","no migration background","","","","","1"
"1 on Scale 1 to 10","1993","16-34 y.","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1993","35-65 y.","direct migration background","","","","","1"
"1 on Scale 1 to 10","1993","66 and older","no migration background","","","","","1"
"1 on Scale 1 to 10","1993","35-65 y.","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1993","16-34 y.","direct migration background","","","","","1"
"1 on Scale 1 to 10","1993","35-65 y.","no migration background","","","","","1"
"1 on Scale 1 to 10","1993","66 and older","direct migration background","","","","","1"
"1 on Scale 1 to 10","1993","66 and older","indirect migration background","","","","","1"
"10 Completely satisfied","1993","16-34 y.","indirect migration background","","","","","10"
"10 Completely satisfied","1993","16-34 y.","direct migration background","","","","","10"
"10 Completely satisfied","1993","16-34 y.","no migration background","","","","","10"
"10 Completely satisfied","1993","35-65 y.","no migration background","","","","","10"
"10 Completely satisfied","1993","35-65 y.","direct migration background","","","","","10"
"10 Completely satisfied","1993","35-65 y.","indirect migration background","","","","","10"
"10 Completely satisfied","1993","66 and older","no migration background","","","","","10"
"10 Completely satisfied","1993","66 and older","direct migration background","","","","","10"
"10 Completely satisfied","1993","66 and older","indirect migration background","","","","","10"
"2 on Scale 1 to 10","1993","16-34 y.","direct migration background","","","","","2"
"2 on Scale 1 to 10","1993","16-34 y.","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1993","35-65 y.","direct migration background","","","","","2"
"2 on Scale 1 to 10","1993","35-65 y.","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1993","16-34 y.","no migration background","","","","","2"
"2 on Scale 1 to 10","1993","35-65 y.","no migration background","","","","","2"
"2 on Scale 1 to 10","1993","66 and older","direct migration background","","","","","2"
"2 on Scale 1 to 10","1993","66 and older","no migration background","","","","","2"
"2 on Scale 1 to 10","1993","66 and older","indirect migration background","","","","","2"
"3 on Scale 1 to 10","1993","16-34 y.","direct migration background","","","","","3"
"3 on Scale 1 to 10","1993","16-34 y.","no migration background","","","","","3"
"3 on Scale 1 to 10","1993","35-65 y.","direct migration background","","","","","3"
"3 on Scale 1 to 10","1993","16-34 y.","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1993","35-65 y.","no migration background","","","","","3"
"3 on Scale 1 to 10","1993","35-65 y.","indirect migration background","","","","","3"
"3 on Scale 1 to 10","1993","66 and older","no migration background","","","","","3"
"3 on Scale 1 to 10","1993","66 and older","direct migration background","","","","","3"
"3 on Scale 1 to 10","1993","66 and older","indirect migration background","","","","","3"
"4 on Scale 1 to 10","1993","16-34 y.","no migration background","","","","","4"
"4 on Scale 1 to 10","1993","35-65 y.","no migration background","","","","","4"
"4 on Scale 1 to 10","1993","35-65 y.","direct migration background","","","","","4"
"4 on Scale 1 to 10","1993","16-34 y.","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1993","16-34 y.","direct migration background","","","","","4"
"4 on Scale 1 to 10","1993","35-65 y.","indirect migration background","","","","","4"
"4 on Scale 1 to 10","1993","66 and older","no migration background","","","","","4"
"4 on Scale 1 to 10","1993","66 and older","direct migration background","","","","","4"
"4 on Scale 1 to 10","1993","66 and older","indirect migration background","","","","","4"
"5 on Scale 1 to 10","1993","16-34 y.","no migration background","","","","","5"
"5 on Scale 1 to 10","1993","16-34 y.","direct migration background","","","","","5"
"5 on Scale 1 to 10","1993","16-34 y.","indirect migration background","","","","","5"
"5 on Scale 1 to 10","1993","35-65 y.","no migration background","","","","","5"
"5 on Scale 1 to 10","1993","35-65 y.","direct migration background","","","","","5"
"5 on Scale 1 to 10","1993","35-65 y.","indirect migration background","","","","","5"
"5 on Scale 1 to 10","1993","66 and older","no migration background","","","","","5"
"5 on Scale 1 to 10","1993","66 and older","direct migration background","","","","","5"
"5 on Scale 1 to 10","1993","66 and older","indirect migration background","","","","","5"
"6 on Scale 1 to 10","1993","16-34 y.","direct migration background","","","","","6"
"6 on Scale 1 to 10","1993","16-34 y.","no migration background","","","","","6"
"6 on Scale 1 to 10","1993","35-65 y.","no migration background","","","","","6"
"6 on Scale 1 to 10","1993","16-34 y.","indirect migration background","","","","","6"
"6 on Scale 1 to 10","1993","35-65 y.","direct migration background","","","","","6"
"6 on Scale 1 to 10","1993","35-65 y.","indirect migration background","","","","","6"
"6 on Scale 1 to 10","1993","66 and older","no migration background","","","","","6"
"6 on Scale 1 to 10","1993","66 and older","indirect migration background","","","","","6"
"6 on Scale 1 to 10","1993","66 and older","direct migration background","","","","","6"
"7 on Scale 1 to 10","1993","16-34 y.","no migration background","","","","","7"
"7 on Scale 1 to 10","1993","16-34 y.","indirect migration background","","","","","7"
"7 on Scale 1 to 10","1993","35-65 y.","direct migration background","","","","","7"
"7 on Scale 1 to 10","1993","35-65 y.","indirect migration background","","","","","7"
"7 on Scale 1 to 10","1993","66 and older","no migration background","","","","","7"
"7 on Scale 1 to 10","1993","16-34 y.","direct migration background","","","","","7"
"7 on Scale 1 to 10","1993","35-65 y.","no migration background","","","","","7"
"7 on Scale 1 to 10","1993","66 and older","direct migration background","","","","","7"
"7 on Scale 1 to 10","1993","66 and older","indirect migration background","","","","","7"
