"plj0047","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No worries","1993","general elemantary","Urban Area","81","0.107997578785762","0.0850377015765015","0.130957455995023","3"
"No worries","1993","general elemantary","Rural Area","11","","","","3"
"No worries","1993","middle vocational","Urban Area","67","0.121142227707523","0.0942135135873817","0.148070941827665","3"
"No worries","1993","middle vocational","Rural Area","13","","","","3"
"No worries","1993","vocational + Abi","Urban Area","4","","","","3"
"No worries","1993","vocational + Abi","Rural Area","1","","","","3"
"No worries","1993","higher vocational","Urban Area","","","","","3"
"No worries","1993","higher vocational","Rural Area","","","","","3"
"No worries","1993","higher education","Urban Area","4","","","","3"
"No worries","1993","higher education","Rural Area","","","","","3"
"Some worries","1993","in school","Urban Area","18","","","","2"
"Some worries","1993","in school","Rural Area","2","","","","2"
"Some worries","1993","inadequately","Urban Area","177","0.380196056923609","0.334786548290949","0.425605565556269","2"
"Some worries","1993","inadequately","Rural Area","24","","","","2"
"Some worries","1993","general elemantary","Urban Area","281","0.364583473200261","0.328978777604056","0.400188168796467","2"
"Some worries","1993","general elemantary","Rural Area","35","0.344159170705498","0.247078431242305","0.441239910168691","2"
"Some worries","1993","middle vocational","Urban Area","249","0.426449788498066","0.385633997931099","0.467265579065033","2"
"Some worries","1993","middle vocational","Rural Area","32","0.343350420218457","0.2399454988875","0.446755341549414","2"
"Some worries","1993","vocational + Abi","Urban Area","38","0.557536229846336","0.448012065023728","0.667060394668943","2"
"Some worries","1993","vocational + Abi","Rural Area","1","","","","2"
"Some worries","1993","higher vocational","Urban Area","6","","","","2"
"Some worries","1993","higher vocational","Rural Area","","","","","2"
"Some worries","1993","higher education","Urban Area","19","","","","2"
"Some worries","1993","higher education","Rural Area","1","","","","2"
"Big worries","1994","in school","Urban Area","26","","","","1"
"Big worries","1994","in school","Rural Area","","","","","1"
"Big worries","1994","inadequately","Urban Area","185","0.463920129256068","0.415589461508278","0.512250797003859","1"
"Big worries","1994","inadequately","Rural Area","25","","","","1"
"Big worries","1994","general elemantary","Urban Area","320","0.548323469110994","0.509493629972291","0.587153308249698","1"
"Big worries","1994","general elemantary","Rural Area","28","","","","1"
"Big worries","1994","middle vocational","Urban Area","245","0.461087239400619","0.419578074718529","0.502596404082709","1"
"Big worries","1994","middle vocational","Rural Area","20","","","","1"
"Big worries","1994","vocational + Abi","Urban Area","38","0.409200722407079","0.298658174985301","0.519743269828857","1"
"Big worries","1994","vocational + Abi","Rural Area","2","","","","1"
"Big worries","1994","higher vocational","Urban Area","9","","","","1"
"Big worries","1994","higher vocational","Rural Area","","","","","1"
"Big worries","1994","higher education","Urban Area","11","","","","1"
"Big worries","1994","higher education","Rural Area","2","","","","1"
"No worries","1994","in school","Urban Area","1","","","","3"
"No worries","1994","in school","Rural Area","1","","","","3"
"No worries","1994","inadequately","Urban Area","41","0.0654113777804736","0.041449363080443","0.0893733924805042","3"
"No worries","1994","inadequately","Rural Area","11","","","","3"
"No worries","1994","general elemantary","Urban Area","74","0.120651256060642","0.0952368532563027","0.14606565886498","3"
"No worries","1994","general elemantary","Rural Area","18","","","","3"
"No worries","1994","middle vocational","Urban Area","60","0.102718243519092","0.0774379903007386","0.127998496737445","3"
"No worries","1994","middle vocational","Rural Area","15","","","","3"
"No worries","1994","vocational + Abi","Urban Area","8","","","","3"
"No worries","1994","vocational + Abi","Rural Area","1","","","","3"
"No worries","1994","higher vocational","Urban Area","1","","","","3"
"No worries","1994","higher vocational","Rural Area","","","","","3"
"No worries","1994","higher education","Urban Area","6","","","","3"
"No worries","1994","higher education","Rural Area","","","","","3"
"Some worries","1994","in school","Urban Area","17","","","","2"
"Some worries","1994","in school","Rural Area","2","","","","2"
"Some worries","1994","inadequately","Urban Area","183","0.470668492963458","0.422294952669229","0.519042033257687","2"
"Some worries","1994","inadequately","Rural Area","25","","","","2"
"Some worries","1994","general elemantary","Urban Area","237","0.331025274828364","0.294308134975578","0.36774241468115","2"
"Some worries","1994","general elemantary","Rural Area","44","0.514947434197146","0.41169443186225","0.618200436532042","2"
"Some worries","1994","middle vocational","Urban Area","249","0.436194517080289","0.394899470790098","0.47748956337048","2"
"Some worries","1994","middle vocational","Rural Area","38","0.43426975699268","0.32056695902575","0.547972554959611","2"
"Some worries","1994","vocational + Abi","Urban Area","30","0.502741916428829","0.390331962718498","0.61515187013916","2"
"Some worries","1994","vocational + Abi","Rural Area","3","","","","2"
"Some worries","1994","higher vocational","Urban Area","8","","","","2"
"Some worries","1994","higher vocational","Rural Area","","","","","2"
"Some worries","1994","higher education","Urban Area","23","","","","2"
"Some worries","1994","higher education","Rural Area","1","","","","2"
"Big worries","1995","in school","Urban Area","20","","","","1"
"Big worries","1995","in school","Rural Area","2","","","","1"
"Big worries","1995","inadequately","Urban Area","154","0.454920107622577","0.404043068478329","0.505797146766824","1"
"Big worries","1995","inadequately","Rural Area","22","","","","1"
"Big worries","1995","general elemantary","Urban Area","243","0.513558939418792","0.472309428938174","0.554808449899411","1"
"Big worries","1995","general elemantary","Rural Area","30","0.312445600283168","0.212126898272883","0.412764302293454","1"
"Big worries","1995","middle vocational","Urban Area","199","0.398047288144151","0.356295060460741","0.43979951582756","1"
"Big worries","1995","middle vocational","Rural Area","21","","","","1"
"Big worries","1995","vocational + Abi","Urban Area","25","","","","1"
"Big worries","1995","vocational + Abi","Rural Area","2","","","","1"
"Big worries","1995","higher vocational","Urban Area","9","","","","1"
"Big worries","1995","higher vocational","Rural Area","","","","","1"
"Big worries","1995","higher education","Urban Area","12","","","","1"
"Big worries","1995","higher education","Rural Area","1","","","","1"
"No worries","1995","in school","Urban Area","3","","","","3"
"No worries","1995","in school","Rural Area","","","","","3"
"No worries","1995","inadequately","Urban Area","45","0.124329136928972","0.0906174029864768","0.158040870871467","3"
"No worries","1995","inadequately","Rural Area","11","","","","3"
"No worries","1995","general elemantary","Urban Area","64","0.0908635462251313","0.0671433697225548","0.114583722727708","3"
"No worries","1995","general elemantary","Rural Area","22","","","","3"
"No worries","1995","middle vocational","Urban Area","74","0.146939667627503","0.116740808923474","0.177138526331532","3"
"No worries","1995","middle vocational","Rural Area","10","","","","3"
"No worries","1995","vocational + Abi","Urban Area","14","","","","3"
"No worries","1995","vocational + Abi","Rural Area","2","","","","3"
"No worries","1995","higher vocational","Urban Area","","","","","3"
"No worries","1995","higher vocational","Rural Area","","","","","3"
"No worries","1995","higher education","Urban Area","4","","","","3"
"No worries","1995","higher education","Rural Area","1","","","","3"
"Some worries","1995","in school","Urban Area","15","","","","2"
"Some worries","1995","in school","Rural Area","2","","","","2"
"Some worries","1995","inadequately","Urban Area","169","0.420750755448451","0.370311418150208","0.471190092746694","2"
"Some worries","1995","inadequately","Rural Area","21","","","","2"
"Some worries","1995","general elemantary","Urban Area","257","0.395577514356077","0.355222765961178","0.435932262750975","2"
"Some worries","1995","general elemantary","Rural Area","30","0.373508585634934","0.268808021611378","0.47820914965849","2"
"Some worries","1995","middle vocational","Urban Area","255","0.455013044228346","0.412537778248167","0.497488310208526","2"
"Some worries","1995","middle vocational","Rural Area","37","0.618582249205308","0.50313254840144","0.734031950009177","2"
"Some worries","1995","vocational + Abi","Urban Area","29","","","","2"
"Some worries","1995","vocational + Abi","Rural Area","1","","","","2"
"Some worries","1995","higher vocational","Urban Area","7","","","","2"
"Some worries","1995","higher vocational","Rural Area","","","","","2"
"Some worries","1995","higher education","Urban Area","22","","","","2"
"Some worries","1995","higher education","Rural Area","","","","","2"
"Big worries","1996","in school","Urban Area","52","0.271343652966921","0.209093379283169","0.333593926650672","1"
"Big worries","1996","in school","Rural Area","32","0.360637214566432","0.261431706997689","0.459842722135176","1"
"Big worries","1996","inadequately","Urban Area","153","0.425529128411617","0.377076566107387","0.473981690715847","1"
"Big worries","1996","inadequately","Rural Area","35","0.407972509991024","0.304702349615185","0.511242670366864","1"
"Big worries","1996","general elemantary","Urban Area","558","0.316227930138832","0.29379107881259","0.338664781465074","1"
"Big worries","1996","general elemantary","Rural Area","248","0.390173867081567","0.354691557128604","0.42565617703453","1"
"Big worries","1996","middle vocational","Urban Area","1240","0.292676051958743","0.278861426464397","0.30649067745309","1"
"Big worries","1996","middle vocational","Rural Area","718","0.322089908897754","0.303340504340585","0.340839313454924","1"
"Big worries","1996","vocational + Abi","Urban Area","99","0.276269642357814","0.230014944924102","0.322524339791526","1"
"Big worries","1996","vocational + Abi","Rural Area","29","","","","1"
"Big worries","1996","higher vocational","Urban Area","131","0.236619218773711","0.198398671153781","0.274839766393641","1"
"Big worries","1996","higher vocational","Rural Area","89","0.392240469970137","0.335455812545804","0.44902512739447","1"
"Big worries","1996","higher education","Urban Area","238","0.208447793121596","0.18466933349461","0.232226252748582","1"
"Big worries","1996","higher education","Rural Area","143","0.224083219509387","0.191444992365233","0.256721446653541","1"
"No worries","1996","in school","Urban Area","30","0.142244558273511","0.0933433458563758","0.191145770690647","3"
"No worries","1996","in school","Rural Area","19","","","","3"
"No worries","1996","inadequately","Urban Area","51","0.149279735701911","0.1143567060218","0.184202765382022","3"
"No worries","1996","inadequately","Rural Area","17","","","","3"
"No worries","1996","general elemantary","Urban Area","283","0.202786813437987","0.183386300562616","0.222187326313358","3"
"No worries","1996","general elemantary","Rural Area","124","0.173089580142347","0.145569830721048","0.200609329563646","3"
"No worries","1996","middle vocational","Urban Area","714","0.173360056609963","0.161866113210405","0.184854000009521","3"
"No worries","1996","middle vocational","Rural Area","413","0.165997871058618","0.151068286940763","0.180927455176474","3"
"No worries","1996","vocational + Abi","Urban Area","41","0.0800246992034278","0.0519573772872662","0.108092021119589","3"
"No worries","1996","vocational + Abi","Rural Area","15","","","","3"
"No worries","1996","higher vocational","Urban Area","69","0.180868685285086","0.14625405147324","0.215483319096932","3"
"No worries","1996","higher vocational","Rural Area","46","0.125853107370083","0.0872774707951614","0.164428743945005","3"
"No worries","1996","higher education","Urban Area","196","0.180889721189738","0.158356492866202","0.203422949513273","3"
"No worries","1996","higher education","Rural Area","128","0.203693465961374","0.172169343258126","0.235217588664623","3"
"Some worries","1996","in school","Urban Area","114","0.586411788759568","0.51746635992622","0.655357217592916","2"
"Some worries","1996","in school","Rural Area","39","0.422226671459168","0.320184800467656","0.52426854245068","2"
"Some worries","1996","inadequately","Urban Area","196","0.425191135886472","0.376743574155696","0.473638697617248","2"
"Some worries","1996","inadequately","Rural Area","35","0.440790878071479","0.336465038725981","0.545116717416977","2"
"Some worries","1996","general elemantary","Urban Area","809","0.480985256423181","0.456877219469499","0.505093293376864","2"
"Some worries","1996","general elemantary","Rural Area","354","0.436736552776086","0.400658313381535","0.472814792170638","2"
"Some worries","1996","middle vocational","Urban Area","2213","0.533963891431294","0.518817747862995","0.549110034999592","2"
"Some worries","1996","middle vocational","Rural Area","1255","0.511912220043627","0.491855515032162","0.531968925055092","2"
"Some worries","1996","vocational + Abi","Urban Area","219","0.643705658438758","0.594166458009011","0.693244858868505","2"
"Some worries","1996","vocational + Abi","Rural Area","70","0.617672444782503","0.52846675025072","0.706878139314285","2"
"Some worries","1996","higher vocational","Urban Area","275","0.582512095941203","0.538163925419079","0.626860266463327","2"
"Some worries","1996","higher vocational","Rural Area","149","0.48190642265978","0.423793277258594","0.540019568060965","2"
"Some worries","1996","higher education","Urban Area","687","0.610662485688666","0.582118866987588","0.639206104389744","2"
"Some worries","1996","higher education","Rural Area","356","0.572223314529239","0.533497046184514","0.610949582873963","2"
"Big worries","1997","in school","Urban Area","50","0.219031707834297","0.162959824484103","0.275103591184491","1"
"Big worries","1997","in school","Rural Area","28","","","","1"
"Big worries","1997","inadequately","Urban Area","143","0.358833342797752","0.310920759591596","0.406745926003907","1"
"Big worries","1997","inadequately","Rural Area","24","","","","1"
"Big worries","1997","general elemantary","Urban Area","575","0.331079023773682","0.308176892140165","0.353981155407199","1"
"Big worries","1997","general elemantary","Rural Area","224","0.359603711809664","0.324003148847803","0.395204274771525","1"
"Big worries","1997","middle vocational","Urban Area","1314","0.317617556659599","0.303348156790599","0.331886956528598","1"
"Big worries","1997","middle vocational","Rural Area","746","0.334975732190615","0.315925441367756","0.354026023013475","1"
"Big worries","1997","vocational + Abi","Urban Area","101","0.311715940476141","0.262408597136837","0.361023283815445","1"
"Big worries","1997","vocational + Abi","Rural Area","22","","","","1"
"Big worries","1997","higher vocational","Urban Area","145","0.318313577477165","0.276641286572654","0.359985868381676","1"
"Big worries","1997","higher vocational","Rural Area","76","0.321721820563849","0.266809490182934","0.376634150944763","1"
"Big worries","1997","higher education","Urban Area","228","0.205395493845279","0.181746304838538","0.229044682852021","1"
"Big worries","1997","higher education","Rural Area","125","0.198689113384578","0.167823981682888","0.229554245086269","1"
"No worries","1997","in school","Urban Area","45","0.253352544614681","0.194387398651748","0.312317690577613","3"
"No worries","1997","in school","Rural Area","17","","","","3"
"No worries","1997","inadequately","Urban Area","64","0.184305349012097","0.145575080908538","0.223035617115656","3"
"No worries","1997","inadequately","Rural Area","15","","","","3"
"No worries","1997","general elemantary","Urban Area","300","0.201905848344831","0.182370364159458","0.221441332530203","3"
"No worries","1997","general elemantary","Rural Area","122","0.17398244501827","0.145859050887548","0.202105839148992","3"
"No worries","1997","middle vocational","Urban Area","741","0.190751343035257","0.178708907459915","0.202793778610598","3"
"No worries","1997","middle vocational","Rural Area","429","0.168530203404432","0.153421113615454","0.183639293193411","3"
"No worries","1997","vocational + Abi","Urban Area","42","0.109085955017855","0.0759002870426957","0.142271622993013","3"
"No worries","1997","vocational + Abi","Rural Area","25","","","","3"
"No worries","1997","higher vocational","Urban Area","84","0.202070957366449","0.166148870547641","0.237993044185256","3"
"No worries","1997","higher vocational","Rural Area","62","0.16160669134331","0.118337451633394","0.204875931053226","3"
"No worries","1997","higher education","Urban Area","189","0.176624683992358","0.154300792382166","0.19894857560255","3"
"No worries","1997","higher education","Rural Area","127","0.209436452594701","0.177960773689488","0.240912131499914","3"
"Some worries","1997","in school","Urban Area","114","0.527615747551023","0.45993244706902","0.595299048033026","2"
"Some worries","1997","in school","Rural Area","60","0.596818876723922","0.502992528816953","0.690645224630892","2"
"Some worries","1997","inadequately","Urban Area","178","0.456861308190151","0.407103036543688","0.506619579836615","2"
"Some worries","1997","inadequately","Rural Area","38","0.586602848909133","0.476611493951684","0.696594203866582","2"
"Some worries","1997","general elemantary","Urban Area","747","0.467015127881487","0.442735301230832","0.491294954532143","2"
"Some worries","1997","general elemantary","Rural Area","352","0.466413843172066","0.429404756069738","0.503422930274395","2"
"Some worries","1997","middle vocational","Urban Area","2034","0.491631100305145","0.47630792758495","0.50695427302534","2"
"Some worries","1997","middle vocational","Rural Area","1183","0.496494064404952","0.476313397303386","0.516674731506518","2"
"Some worries","1997","vocational + Abi","Urban Area","196","0.579198104506005","0.526644724695967","0.631751484316042","2"
"Some worries","1997","vocational + Abi","Rural Area","67","0.589247543546076","0.498937793474333","0.67955729361782","2"
"Some worries","1997","higher vocational","Urban Area","251","0.479615465156386","0.434922800148826","0.524308130163946","2"
"Some worries","1997","higher vocational","Rural Area","140","0.516671488092841","0.457928755010584","0.575414221175099","2"
"Some worries","1997","higher education","Urban Area","704","0.617979822162363","0.589536810232287","0.646422834092438","2"
"Some worries","1997","higher education","Rural Area","390","0.591874434020721","0.55385617125991","0.629892696781531","2"
"Big worries","1998","in school","Urban Area","52","0.238140679765625","0.181072319888652","0.295209039642597","1"
"Big worries","1998","in school","Rural Area","32","0.297957258247016","0.213630067857817","0.382284448636215","1"
"Big worries","1998","inadequately","Urban Area","136","0.37820182439559","0.328452385110875","0.427951263680305","1"
"Big worries","1998","inadequately","Rural Area","23","","","","1"
"Big worries","1998","general elemantary","Urban Area","631","0.35414336368207","0.331806302682641","0.3764804246815","1"
"Big worries","1998","general elemantary","Rural Area","248","0.323748520034877","0.290328353237373","0.357168686832381","1"
"Big worries","1998","middle vocational","Urban Area","1376","0.318666904875644","0.304842261287551","0.332491548463737","1"
"Big worries","1998","middle vocational","Rural Area","805","0.336319364329243","0.318096129066327","0.354542599592159","1"
"Big worries","1998","vocational + Abi","Urban Area","107","0.301579726556594","0.255676631513741","0.347482821599447","1"
"Big worries","1998","vocational + Abi","Rural Area","28","","","","1"
"Big worries","1998","higher vocational","Urban Area","141","0.272956648837155","0.234667702827702","0.311245594846608","1"
"Big worries","1998","higher vocational","Rural Area","93","0.331567269257994","0.27784531990542","0.385289218610569","1"
"Big worries","1998","higher education","Urban Area","259","0.204437916804596","0.181972962979203","0.226902870629989","1"
"Big worries","1998","higher education","Rural Area","146","0.208843762912542","0.178774594473415","0.238912931351669","1"
"No worries","1998","in school","Urban Area","46","0.249180833987456","0.191229131776303","0.30713253619861","3"
"No worries","1998","in school","Rural Area","23","","","","3"
"No worries","1998","inadequately","Urban Area","70","0.22465731713997","0.181841051200089","0.267473583079852","3"
"No worries","1998","inadequately","Rural Area","13","","","","3"
"No worries","1998","general elemantary","Urban Area","327","0.192639827863417","0.17422044333217","0.211059212394663","3"
"No worries","1998","general elemantary","Rural Area","119","0.15593412543594","0.130021622850437","0.181846628021443","3"
"No worries","1998","middle vocational","Urban Area","836","0.187291800908271","0.175716496432548","0.198867105383993","3"
"No worries","1998","middle vocational","Rural Area","460","0.161126784324406","0.146945942724548","0.175307625924265","3"
"No worries","1998","vocational + Abi","Urban Area","70","0.148223753351703","0.112684840011183","0.183762666692222","3"
"No worries","1998","vocational + Abi","Rural Area","20","","","","3"
"No worries","1998","higher vocational","Urban Area","87","0.192208989214358","0.15834151766723","0.226076460761487","3"
"No worries","1998","higher vocational","Rural Area","68","0.218627323658607","0.171462478563074","0.26579216875414","3"
"No worries","1998","higher education","Urban Area","250","0.215623233680452","0.192714667574462","0.238531799786442","3"
"No worries","1998","higher education","Rural Area","144","0.180100609265419","0.151674500867953","0.208526717662885","3"
"Some worries","1998","in school","Urban Area","116","0.512678486246919","0.445709836388535","0.579647136105303","2"
"Some worries","1998","in school","Rural Area","58","0.46572761704658","0.373755490540276","0.557699743552884","2"
"Some worries","1998","inadequately","Urban Area","159","0.397140858464439","0.346943383787575","0.447338333141304","2"
"Some worries","1998","inadequately","Rural Area","39","0.49345751257572","0.380308626894016","0.606606398257424","2"
"Some worries","1998","general elemantary","Urban Area","803","0.453216808454513","0.429966485223042","0.476467131685985","2"
"Some worries","1998","general elemantary","Rural Area","386","0.520317354529183","0.484634321510738","0.556000387547627","2"
"Some worries","1998","middle vocational","Urban Area","2152","0.494041294216085","0.47920775165877","0.508874836773401","2"
"Some worries","1998","middle vocational","Rural Area","1317","0.502553851346351","0.483268199995776","0.521839502696926","2"
"Some worries","1998","vocational + Abi","Urban Area","207","0.550196520091703","0.50043967860807","0.599953361575336","2"
"Some worries","1998","vocational + Abi","Rural Area","69","0.6043747800891","0.515771395648179","0.69297816453002","2"
"Some worries","1998","higher vocational","Urban Area","292","0.534834361948487","0.491963730232312","0.577704993664662","2"
"Some worries","1998","higher vocational","Rural Area","134","0.449805407083399","0.393036886306834","0.506573927859963","2"
"Some worries","1998","higher education","Urban Area","729","0.579938849514952","0.552445026747324","0.60743267228258","2"
"Some worries","1998","higher education","Rural Area","412","0.611055627822039","0.57499247809037","0.647118777553708","2"
"Big worries","1999","in school","Urban Area","75","0.318713586129832","0.256135332089272","0.381291840170392","1"
"Big worries","1999","in school","Rural Area","41","0.313333679881263","0.225031470261822","0.401635889500704","1"
"Big worries","1999","inadequately","Urban Area","109","0.294690581122043","0.247131472340946","0.342249689903141","1"
"Big worries","1999","inadequately","Rural Area","21","","","","1"
"Big worries","1999","general elemantary","Urban Area","514","0.290486516622006","0.268905746123677","0.312067287120336","1"
"Big worries","1999","general elemantary","Rural Area","196","0.280070571581026","0.247652061654795","0.312489081507258","1"
"Big worries","1999","middle vocational","Urban Area","1315","0.308212627479002","0.294484390762453","0.321940864195552","1"
"Big worries","1999","middle vocational","Rural Area","714","0.281860203845673","0.264573355469594","0.299147052221752","1"
"Big worries","1999","vocational + Abi","Urban Area","146","0.354266853580726","0.306919374857303","0.401614332304148","1"
"Big worries","1999","vocational + Abi","Rural Area","36","0.318112055677512","0.234078322468645","0.402145788886379","1"
"Big worries","1999","higher vocational","Urban Area","149","0.290537101848216","0.251287778328092","0.329786425368339","1"
"Big worries","1999","higher vocational","Rural Area","97","0.30452099507135","0.252873554628713","0.356168435513987","1"
"Big worries","1999","higher education","Urban Area","374","0.306405796866976","0.280971506229398","0.331840087504554","1"
"Big worries","1999","higher education","Rural Area","209","0.314767455753302","0.280412180113761","0.349122731392843","1"
"No worries","1999","in school","Urban Area","33","0.165850771825155","0.115900378319161","0.21580116533115","3"
"No worries","1999","in school","Rural Area","17","","","","3"
"No worries","1999","inadequately","Urban Area","76","0.221352767594525","0.178044223062662","0.264661312126388","3"
"No worries","1999","inadequately","Rural Area","23","","","","3"
"No worries","1999","general elemantary","Urban Area","319","0.202218357231524","0.183125279584701","0.221311434878346","3"
"No worries","1999","general elemantary","Rural Area","132","0.190420994004464","0.162074367610842","0.218767620398086","3"
"No worries","1999","middle vocational","Urban Area","666","0.157237816121455","0.14641515022682","0.16806048201609","3"
"No worries","1999","middle vocational","Rural Area","391","0.158238804509607","0.144215660561007","0.172261948458206","3"
"No worries","1999","vocational + Abi","Urban Area","42","0.0975051483817524","0.0681393915761012","0.126870905187404","3"
"No worries","1999","vocational + Abi","Rural Area","16","","","","3"
"No worries","1999","higher vocational","Urban Area","57","0.125786952222656","0.0971192443174831","0.15445466012783","3"
"No worries","1999","higher vocational","Rural Area","37","0.11263759966305","0.0771570469864964","0.148118152339603","3"
"No worries","1999","higher education","Urban Area","132","0.117733063258381","0.0999515942310411","0.135514532285721","3"
"No worries","1999","higher education","Rural Area","65","0.0993946386485427","0.0772622504765388","0.121527026820547","3"
"Some worries","1999","in school","Urban Area","105","0.515435642045012","0.448320386862407","0.582550897227618","2"
"Some worries","1999","in school","Rural Area","48","0.504803883612653","0.409624011459655","0.599983755765652","2"
"Some worries","1999","inadequately","Urban Area","168","0.483956651283432","0.431824330103893","0.53608897246297","2"
"Some worries","1999","inadequately","Rural Area","26","","","","2"
"Some worries","1999","general elemantary","Urban Area","867","0.50729512614647","0.483529601596953","0.531060650695986","2"
"Some worries","1999","general elemantary","Rural Area","409","0.52950843441451","0.493473253283406","0.565543615545614","2"
"Some worries","1999","middle vocational","Urban Area","2365","0.534549556399543","0.519719802599357","0.549379310199728","2"
"Some worries","1999","middle vocational","Rural Area","1497","0.559900991644721","0.540827717183524","0.578974266105917","2"
"Some worries","1999","vocational + Abi","Urban Area","204","0.548227998037522","0.498962223001707","0.597493773073336","2"
"Some worries","1999","vocational + Abi","Rural Area","66","0.550188574653395","0.460429552570564","0.639947596736227","2"
"Some worries","1999","higher vocational","Urban Area","308","0.583675945929128","0.541060387729983","0.626291504128273","2"
"Some worries","1999","higher vocational","Rural Area","171","0.5828414052656","0.527503340467141","0.63817947006406","2"
"Some worries","1999","higher education","Urban Area","756","0.575861139874643","0.548594518202951","0.603127761546334","2"
"Some worries","1999","higher education","Rural Area","428","0.585837905598155","0.549399996900028","0.622275814296282","2"
"Big worries","2000","in school","Urban Area","107","0.3390340968538","0.287167910171425","0.390900283536175","1"
"Big worries","2000","in school","Rural Area","61","0.35593411718329","0.284380132457295","0.427488101909286","1"
"Big worries","2000","inadequately","Urban Area","106","0.342118207422596","0.289975142083993","0.394261272761198","1"
"Big worries","2000","inadequately","Rural Area","16","","","","1"
"Big worries","2000","general elemantary","Urban Area","689","0.293284567749043","0.275028513845334","0.311540621652752","1"
