"plj0047","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Some worries","1993","Hamburg","Not Employed","9","","",""
"Some worries","1993","Hamburg","Employed","10","","",""
"Some worries","1993","Lower Saxony","Not Employed","13","","",""
"Some worries","1993","Lower Saxony","Employed","26","","",""
"Some worries","1993","Bremen","Not Employed","","","",""
"Some worries","1993","Bremen","Employed","","","",""
"Some worries","1993","North Rhine-Westphalia","Not Employed","68","0.301054754116567","0.239880942979898","0.362228565253237"
"Some worries","1993","North Rhine-Westphalia","Employed","155","0.351026403559608","0.304484856571121","0.397567950548095"
"Some worries","1993","Hesse","Not Employed","39","0.38431818174065","0.275669025432941","0.492967338048358"
"Some worries","1993","Hesse","Employed","114","0.500016386991648","0.431571475757406","0.56846129822589"
"Some worries","1993","Rhineland-Palatinate,Saarland","Not Employed","18","","",""
"Some worries","1993","Rhineland-Palatinate,Saarland","Employed","34","0.561750529339142","0.436203942270914","0.68729711640737"
"Some worries","1993","Baden-Württemberg","Not Employed","77","0.483227091271498","0.411411767115001","0.555042415427995"
"Some worries","1993","Baden-Württemberg","Employed","193","0.439282310707222","0.393680049390998","0.484884572023446"
"Some worries","1993","Bavaria","Not Employed","21","","",""
"Some worries","1993","Bavaria","Employed","104","0.382266511413515","0.319051697768756","0.445481325058274"
"Some worries","1993","Berlin","Not Employed","10","","",""
"Some worries","1993","Berlin","Employed","11","","",""
"Some worries","1993","Brandenburg","Not Employed","","","",""
"Some worries","1993","Brandenburg","Employed","","","",""
"Some worries","1993","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Some worries","1993","Mecklenburg-Western Pomerania","Employed","","","",""
"Some worries","1993","Saxony","Not Employed","","","",""
"Some worries","1993","Saxony","Employed","","","",""
"Some worries","1993","Saxony-Anhalt","Not Employed","","","",""
"Some worries","1993","Saxony-Anhalt","Employed","","","",""
"Some worries","1993","Thuringia","Not Employed","","","",""
"Some worries","1993","Thuringia","Employed","","","",""
"No worries","1993","Schleswig-Holstein","Not Employed","","","",""
"No worries","1993","Schleswig-Holstein","Employed","1","","",""
"No worries","1993","Hamburg","Not Employed","1","","",""
"No worries","1993","Hamburg","Employed","","","",""
"No worries","1993","Lower Saxony","Not Employed","2","","",""
"No worries","1993","Lower Saxony","Employed","8","","",""
"No worries","1993","Bremen","Not Employed","","","",""
"No worries","1993","Bremen","Employed","","","",""
"No worries","1993","North Rhine-Westphalia","Not Employed","14","","",""
"No worries","1993","North Rhine-Westphalia","Employed","45","0.107797201687773","0.0775564249033709","0.138037978472174"
"No worries","1993","Hesse","Not Employed","17","","",""
"No worries","1993","Hesse","Employed","32","0.154131546915862","0.104704081246773","0.203559012584952"
"No worries","1993","Rhineland-Palatinate,Saarland","Not Employed","5","","",""
"No worries","1993","Rhineland-Palatinate,Saarland","Employed","8","","",""
"No worries","1993","Baden-Württemberg","Not Employed","18","","",""
"No worries","1993","Baden-Württemberg","Employed","67","0.152975904975116","0.119900757400237","0.186051052549994"
"No worries","1993","Bavaria","Not Employed","12","","",""
"No worries","1993","Bavaria","Employed","17","","",""
"No worries","1993","Berlin","Not Employed","3","","",""
"No worries","1993","Berlin","Employed","4","","",""
"No worries","1993","Brandenburg","Not Employed","","","",""
"No worries","1993","Brandenburg","Employed","","","",""
"No worries","1993","Mecklenburg-Western Pomerania","Not Employed","","","",""
"No worries","1993","Mecklenburg-Western Pomerania","Employed","","","",""
"No worries","1993","Saxony","Not Employed","","","",""
"No worries","1993","Saxony","Employed","","","",""
"No worries","1993","Saxony-Anhalt","Not Employed","","","",""
"No worries","1993","Saxony-Anhalt","Employed","","","",""
"No worries","1993","Thuringia","Not Employed","","","",""
"No worries","1993","Thuringia","Employed","","","",""
"Big worries","1994","Schleswig-Holstein","Not Employed","3","","",""
"Big worries","1994","Schleswig-Holstein","Employed","9","","",""
"Big worries","1994","Hamburg","Not Employed","3","","",""
"Big worries","1994","Hamburg","Employed","","","",""
"Big worries","1994","Lower Saxony","Not Employed","32","0.74150896532991","0.614991605405275","0.868026325254544"
"Big worries","1994","Lower Saxony","Employed","39","0.554033939626307","0.445110289414432","0.662957589838182"
"Big worries","1994","Bremen","Not Employed","1","","",""
"Big worries","1994","Bremen","Employed","5","","",""
"Big worries","1994","North Rhine-Westphalia","Not Employed","123","0.630416238935517","0.56368638126976","0.697146096601274"
"Big worries","1994","North Rhine-Westphalia","Employed","206","0.561431552525936","0.511141812581277","0.611721292470595"
"Big worries","1994","Hesse","Not Employed","31","0.341094494994274","0.242044221717259","0.440144768271289"
"Big worries","1994","Hesse","Employed","80","0.445412790100129","0.375293791822633","0.515531788377626"
"Big worries","1994","Rhineland-Palatinate,Saarland","Not Employed","15","","",""
"Big worries","1994","Rhineland-Palatinate,Saarland","Employed","26","","",""
"Big worries","1994","Baden-Württemberg","Not Employed","94","0.509415431099358","0.439249906708913","0.579580955489802"
"Big worries","1994","Baden-Württemberg","Employed","169","0.445131391154","0.398048253642536","0.492214528665463"
"Big worries","1994","Bavaria","Not Employed","24","","",""
"Big worries","1994","Bavaria","Employed","78","0.434569733726686","0.36876773158319","0.500371735870182"
"Big worries","1994","Berlin","Not Employed","14","","",""
"Big worries","1994","Berlin","Employed","14","","",""
"Big worries","1994","Brandenburg","Not Employed","","","",""
"Big worries","1994","Brandenburg","Employed","","","",""
"Big worries","1994","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Big worries","1994","Mecklenburg-Western Pomerania","Employed","","","",""
"Big worries","1994","Saxony","Not Employed","","","",""
"Big worries","1994","Saxony","Employed","","","",""
"Big worries","1994","Saxony-Anhalt","Not Employed","","","",""
"Big worries","1994","Saxony-Anhalt","Employed","","","",""
"Big worries","1994","Thuringia","Not Employed","","","",""
"Big worries","1994","Thuringia","Employed","","","",""
"Some worries","1994","Schleswig-Holstein","Not Employed","2","","",""
"Some worries","1994","Schleswig-Holstein","Employed","6","","",""
"Some worries","1994","Hamburg","Not Employed","13","","",""
"Some worries","1994","Hamburg","Employed","12","","",""
"Some worries","1994","Lower Saxony","Not Employed","12","","",""
"Some worries","1994","Lower Saxony","Employed","34","0.380782015092112","0.274376756303705","0.48718727388052"
"Some worries","1994","Bremen","Not Employed","2","","",""
"Some worries","1994","Bremen","Employed","","","",""
"Some worries","1994","North Rhine-Westphalia","Not Employed","62","0.304715424373724","0.241082984038809","0.368347864708639"
"Some worries","1994","North Rhine-Westphalia","Employed","127","0.331362422999689","0.283657927365674","0.379066918633704"
"Some worries","1994","Hesse","Not Employed","41","0.487270548063779","0.382837977428637","0.591703118698922"
"Some worries","1994","Hesse","Employed","91","0.428432443792498","0.35861814239273","0.498246745192266"
"Some worries","1994","Rhineland-Palatinate,Saarland","Not Employed","14","","",""
"Some worries","1994","Rhineland-Palatinate,Saarland","Employed","22","","",""
"Some worries","1994","Baden-Württemberg","Not Employed","84","0.429037588795712","0.359570001443827","0.498505176147597"
"Some worries","1994","Baden-Württemberg","Employed","203","0.452161451887177","0.405009544260061","0.499313359514293"
"Some worries","1994","Bavaria","Not Employed","34","0.398316117034944","0.286776188949366","0.509856045120523"
"Some worries","1994","Bavaria","Employed","116","0.467258475978381","0.40102817743959","0.533488774517173"
"Some worries","1994","Berlin","Not Employed","11","","",""
"Some worries","1994","Berlin","Employed","21","","",""
"Some worries","1994","Brandenburg","Not Employed","","","",""
"Some worries","1994","Brandenburg","Employed","","","",""
"Some worries","1994","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Some worries","1994","Mecklenburg-Western Pomerania","Employed","","","",""
"Some worries","1994","Saxony","Not Employed","","","",""
"Some worries","1994","Saxony","Employed","","","",""
"Some worries","1994","Saxony-Anhalt","Not Employed","","","",""
"Some worries","1994","Saxony-Anhalt","Employed","","","",""
"Some worries","1994","Thuringia","Not Employed","","","",""
"Some worries","1994","Thuringia","Employed","","","",""
"No worries","1994","Schleswig-Holstein","Not Employed","","","",""
"No worries","1994","Schleswig-Holstein","Employed","1","","",""
"No worries","1994","Hamburg","Not Employed","1","","",""
"No worries","1994","Hamburg","Employed","","","",""
"No worries","1994","Lower Saxony","Not Employed","2","","",""
"No worries","1994","Lower Saxony","Employed","7","","",""
"No worries","1994","Bremen","Not Employed","","","",""
"No worries","1994","Bremen","Employed","","","",""
"No worries","1994","North Rhine-Westphalia","Not Employed","16","","",""
"No worries","1994","North Rhine-Westphalia","Employed","41","0.107206024474375","0.0758516954712957","0.138560353477455"
"No worries","1994","Hesse","Not Employed","16","","",""
"No worries","1994","Hesse","Employed","22","","",""
"No worries","1994","Rhineland-Palatinate,Saarland","Not Employed","6","","",""
"No worries","1994","Rhineland-Palatinate,Saarland","Employed","11","","",""
"No worries","1994","Baden-Württemberg","Not Employed","17","","",""
"No worries","1994","Baden-Württemberg","Employed","56","0.102707156958823","0.0739468403802863","0.13146747353736"
"No worries","1994","Bavaria","Not Employed","16","","",""
"No worries","1994","Bavaria","Employed","24","","",""
"No worries","1994","Berlin","Not Employed","1","","",""
"No worries","1994","Berlin","Employed","8","","",""
"No worries","1994","Brandenburg","Not Employed","","","",""
"No worries","1994","Brandenburg","Employed","","","",""
"No worries","1994","Mecklenburg-Western Pomerania","Not Employed","","","",""
"No worries","1994","Mecklenburg-Western Pomerania","Employed","","","",""
"No worries","1994","Saxony","Not Employed","","","",""
"No worries","1994","Saxony","Employed","","","",""
"No worries","1994","Saxony-Anhalt","Not Employed","","","",""
"No worries","1994","Saxony-Anhalt","Employed","","","",""
"No worries","1994","Thuringia","Not Employed","","","",""
"No worries","1994","Thuringia","Employed","","","",""
"Big worries","1995","Schleswig-Holstein","Not Employed","3","","",""
"Big worries","1995","Schleswig-Holstein","Employed","8","","",""
"Big worries","1995","Hamburg","Not Employed","1","","",""
"Big worries","1995","Hamburg","Employed","1","","",""
"Big worries","1995","Lower Saxony","Not Employed","21","","",""
"Big worries","1995","Lower Saxony","Employed","25","","",""
"Big worries","1995","Bremen","Not Employed","1","","",""
"Big worries","1995","Bremen","Employed","5","","",""
"Big worries","1995","North Rhine-Westphalia","Not Employed","106","0.597806423132891","0.528628536501901","0.66698430976388"
"Big worries","1995","North Rhine-Westphalia","Employed","166","0.545691478156987","0.492052175687922","0.599330780626052"
"Big worries","1995","Hesse","Not Employed","31","0.474855330586001","0.364034620339041","0.58567604083296"
"Big worries","1995","Hesse","Employed","54","0.356459531844612","0.282932448966749","0.429986614722475"
"Big worries","1995","Rhineland-Palatinate,Saarland","Not Employed","11","","",""
"Big worries","1995","Rhineland-Palatinate,Saarland","Employed","15","","",""
"Big worries","1995","Baden-Württemberg","Not Employed","96","0.495511219992159","0.42706906698975","0.563953372994568"
"Big worries","1995","Baden-Württemberg","Employed","141","0.421675321333687","0.372914059576846","0.470436583090528"
"Big worries","1995","Bavaria","Not Employed","33","0.405700725201221","0.303109020302698","0.508292430099744"
"Big worries","1995","Bavaria","Employed","57","0.351855763958895","0.285169997910543","0.418541530007247"
"Big worries","1995","Berlin","Not Employed","11","","",""
"Big worries","1995","Berlin","Employed","14","","",""
"Big worries","1995","Brandenburg","Not Employed","","","",""
"Big worries","1995","Brandenburg","Employed","","","",""
"Big worries","1995","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Big worries","1995","Mecklenburg-Western Pomerania","Employed","","","",""
"Big worries","1995","Saxony","Not Employed","","","",""
"Big worries","1995","Saxony","Employed","","","",""
"Big worries","1995","Saxony-Anhalt","Not Employed","","","",""
"Big worries","1995","Saxony-Anhalt","Employed","","","",""
"Big worries","1995","Thuringia","Not Employed","","","",""
"Big worries","1995","Thuringia","Employed","","","",""
"Some worries","1995","Schleswig-Holstein","Not Employed","3","","",""
"Some worries","1995","Schleswig-Holstein","Employed","6","","",""
"Some worries","1995","Hamburg","Not Employed","11","","",""
"Some worries","1995","Hamburg","Employed","10","","",""
"Some worries","1995","Lower Saxony","Not Employed","19","","",""
"Some worries","1995","Lower Saxony","Employed","44","0.531412983916258","0.419223409422891","0.643602558409624"
"Some worries","1995","Bremen","Not Employed","1","","",""
"Some worries","1995","Bremen","Employed","1","","",""
"Some worries","1995","North Rhine-Westphalia","Not Employed","70","0.327219580821358","0.261024494924253","0.393414666718463"
"Some worries","1995","North Rhine-Westphalia","Employed","126","0.333198132632207","0.282419175514633","0.383977089749782"
"Some worries","1995","Hesse","Not Employed","38","0.408038316014752","0.298970137212558","0.517106494816947"
"Some worries","1995","Hesse","Employed","88","0.487128924756136","0.410396247547189","0.563861601965083"
"Some worries","1995","Rhineland-Palatinate,Saarland","Not Employed","16","","",""
"Some worries","1995","Rhineland-Palatinate,Saarland","Employed","26","","",""
"Some worries","1995","Baden-Württemberg","Not Employed","84","0.415064602478357","0.347614446077916","0.482514758878798"
"Some worries","1995","Baden-Württemberg","Employed","190","0.444588894636807","0.395522226892018","0.493655562381595"
"Some worries","1995","Bavaria","Not Employed","40","0.341881912082679","0.242776646274155","0.440987177891204"
"Some worries","1995","Bavaria","Employed","102","0.487782007938678","0.417982030673162","0.557581985204194"
"Some worries","1995","Berlin","Not Employed","11","","",""
"Some worries","1995","Berlin","Employed","14","","",""
"Some worries","1995","Brandenburg","Not Employed","","","",""
"Some worries","1995","Brandenburg","Employed","","","",""
"Some worries","1995","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Some worries","1995","Mecklenburg-Western Pomerania","Employed","","","",""
"Some worries","1995","Saxony","Not Employed","","","",""
"Some worries","1995","Saxony","Employed","","","",""
"Some worries","1995","Saxony-Anhalt","Not Employed","","","",""
"Some worries","1995","Saxony-Anhalt","Employed","","","",""
"Some worries","1995","Thuringia","Not Employed","","","",""
"Some worries","1995","Thuringia","Employed","","","",""
"No worries","1995","Schleswig-Holstein","Not Employed","1","","",""
"No worries","1995","Schleswig-Holstein","Employed","1","","",""
"No worries","1995","Hamburg","Not Employed","2","","",""
"No worries","1995","Hamburg","Employed","3","","",""
"No worries","1995","Lower Saxony","Not Employed","4","","",""
"No worries","1995","Lower Saxony","Employed","7","","",""
"No worries","1995","Bremen","Not Employed","","","",""
"No worries","1995","Bremen","Employed","","","",""
"No worries","1995","North Rhine-Westphalia","Not Employed","17","","",""
"No worries","1995","North Rhine-Westphalia","Employed","39","0.121110389210806","0.0859630899308405","0.156257688490771"
"No worries","1995","Hesse","Not Employed","9","","",""
"No worries","1995","Hesse","Employed","21","","",""
"No worries","1995","Rhineland-Palatinate,Saarland","Not Employed","2","","",""
"No worries","1995","Rhineland-Palatinate,Saarland","Employed","8","","",""
"No worries","1995","Baden-Württemberg","Not Employed","25","","",""
"No worries","1995","Baden-Württemberg","Employed","63","0.133735784029507","0.100127295492585","0.167344272566428"
"No worries","1995","Bavaria","Not Employed","15","","",""
"No worries","1995","Bavaria","Employed","38","0.160362228102427","0.109121888127985","0.211602568076869"
"No worries","1995","Berlin","Not Employed","4","","",""
"No worries","1995","Berlin","Employed","6","","",""
"No worries","1995","Brandenburg","Not Employed","","","",""
"No worries","1995","Brandenburg","Employed","","","",""
"No worries","1995","Mecklenburg-Western Pomerania","Not Employed","","","",""
"No worries","1995","Mecklenburg-Western Pomerania","Employed","","","",""
"No worries","1995","Saxony","Not Employed","","","",""
"No worries","1995","Saxony","Employed","","","",""
"No worries","1995","Saxony-Anhalt","Not Employed","","","",""
"No worries","1995","Saxony-Anhalt","Employed","","","",""
"No worries","1995","Thuringia","Not Employed","","","",""
"No worries","1995","Thuringia","Employed","","","",""
"Big worries","1996","Schleswig-Holstein","Not Employed","31","0.333392768725387","0.241905407102599","0.424880130348176"
"Big worries","1996","Schleswig-Holstein","Employed","59","0.348526543534544","0.278915502148382","0.418137584920706"
"Big worries","1996","Hamburg","Not Employed","13","","",""
"Big worries","1996","Hamburg","Employed","20","","",""
"Big worries","1996","Lower Saxony","Not Employed","136","0.382136995843506","0.332491503723162","0.431782487963851"
"Big worries","1996","Lower Saxony","Employed","185","0.273359373117109","0.239460061892161","0.307258684342056"
"Big worries","1996","Bremen","Not Employed","21","","",""
"Big worries","1996","Bremen","Employed","18","","",""
"Big worries","1996","North Rhine-Westphalia","Not Employed","309","0.328975288475123","0.298364487290905","0.35958608965934"
"Big worries","1996","North Rhine-Westphalia","Employed","481","0.267260680473106","0.245737950257273","0.288783410688939"
"Big worries","1996","Hesse","Not Employed","87","0.256433189107849","0.207980497335146","0.304885880880553"
"Big worries","1996","Hesse","Employed","183","0.299302834643928","0.262350432083514","0.336255237204343"
"Big worries","1996","Rhineland-Palatinate,Saarland","Not Employed","75","0.282700149475674","0.228787076937858","0.33661322201349"
"Big worries","1996","Rhineland-Palatinate,Saarland","Employed","124","0.294305478374679","0.250616941917857","0.337994014831501"
"Big worries","1996","Baden-Württemberg","Not Employed","206","0.32288887765936","0.285031040438143","0.360746714880577"
"Big worries","1996","Baden-Württemberg","Employed","314","0.27227822843343","0.246174012899603","0.298382443967257"
"Big worries","1996","Bavaria","Not Employed","190","0.396574011972872","0.355390575913501","0.437757448032244"
"Big worries","1996","Bavaria","Employed","333","0.285268727407227","0.258572633609412","0.311964821205042"
"Big worries","1996","Berlin","Not Employed","59","0.285324005711344","0.221115133173566","0.349532878249122"
"Big worries","1996","Berlin","Employed","111","0.311404702684015","0.262822188387756","0.359987216980274"
"Big worries","1996","Brandenburg","Not Employed","57","0.284586807235094","0.222208165166325","0.346965449303863"
"Big worries","1996","Brandenburg","Employed","93","0.253050398940809","0.21012155995643","0.295979237925189"
"Big worries","1996","Mecklenburg-Western Pomerania","Not Employed","33","0.234388206404264","0.162929789264527","0.305846623544"
"Big worries","1996","Mecklenburg-Western Pomerania","Employed","65","0.233251730942677","0.181243740589721","0.285259721295633"
"Big worries","1996","Saxony","Not Employed","101","0.264056498007366","0.220361635262485","0.307751360752248"
"Big worries","1996","Saxony","Employed","170","0.241970148951928","0.210378682164743","0.273561615739114"
"Big worries","1996","Saxony-Anhalt","Not Employed","84","0.360820422682203","0.300930105248408","0.420710740115998"
"Big worries","1996","Saxony-Anhalt","Employed","117","0.251925943331079","0.210653291912721","0.293198594749437"
"Big worries","1996","Thuringia","Not Employed","74","0.348441653288771","0.28672930976745","0.410153996810092"
"Big worries","1996","Thuringia","Employed","114","0.255708198484746","0.214134194704612","0.29728220226488"
"Some worries","1996","Schleswig-Holstein","Not Employed","45","0.44733914959837","0.350846149476899","0.543832149719842"
"Some worries","1996","Schleswig-Holstein","Employed","91","0.495001220541542","0.42196132597913","0.568041115103954"
"Some worries","1996","Hamburg","Not Employed","17","","",""
"Some worries","1996","Hamburg","Employed","44","0.556309263045559","0.446754094322547","0.665864431768572"
"Some worries","1996","Lower Saxony","Not Employed","181","0.476527068931837","0.425498300831248","0.527555837032426"
"Some worries","1996","Lower Saxony","Employed","380","0.557040806789834","0.519258417654584","0.594823195925084"
"Some worries","1996","Bremen","Not Employed","22","","",""
"Some worries","1996","Bremen","Employed","18","","",""
"Some worries","1996","North Rhine-Westphalia","Not Employed","495","0.55529104897542","0.522915132323521","0.58766696562732"
"Some worries","1996","North Rhine-Westphalia","Employed","929","0.599878262072981","0.576050529670281","0.623705994475681"
"Some worries","1996","Hesse","Not Employed","153","0.524342946979531","0.468928184034966","0.579757709924097"
"Some worries","1996","Hesse","Employed","298","0.478077659527765","0.437771236977862","0.518384082077669"
"Some worries","1996","Rhineland-Palatinate,Saarland","Not Employed","128","0.468191900086123","0.408451226388248","0.527932573783998"
"Some worries","1996","Rhineland-Palatinate,Saarland","Employed","222","0.539747089635443","0.491966294086712","0.587527885184175"
