"plj0047","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Some worries","1992","Lower Saxony","direct migration background","38","0.457599564062881","0.360438956892659","0.554760171233103"
"Some worries","1992","Lower Saxony","indirect migration background","9","","",""
"Some worries","1992","Bremen","no migration background","","","",""
"Some worries","1992","Bremen","direct migration background","","","",""
"Some worries","1992","Bremen","indirect migration background","","","",""
"Some worries","1992","North Rhine-Westphalia","no migration background","","","",""
"Some worries","1992","North Rhine-Westphalia","direct migration background","213","0.372769153173539","0.331563771350317","0.413974534996761"
"Some worries","1992","North Rhine-Westphalia","indirect migration background","32","0.302448131394008","0.208590868840939","0.396305393947076"
"Some worries","1992","Hesse","no migration background","","","",""
"Some worries","1992","Hesse","direct migration background","125","0.440754197018418","0.380522176462609","0.500986217574227"
"Some worries","1992","Hesse","indirect migration background","15","","",""
"Some worries","1992","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Some worries","1992","Rhineland-Palatinate,Saarland","direct migration background","48","0.443872485460995","0.344485669310107","0.543259301611884"
"Some worries","1992","Rhineland-Palatinate,Saarland","indirect migration background","9","","",""
"Some worries","1992","Baden-Württemberg","no migration background","","","",""
"Some worries","1992","Baden-Württemberg","direct migration background","233","0.388348346699929","0.34739292062223","0.429303772777628"
"Some worries","1992","Baden-Württemberg","indirect migration background","28","","",""
"Some worries","1992","Bavaria","no migration background","","","",""
"Some worries","1992","Bavaria","direct migration background","139","0.465022543892938","0.405964704550192","0.524080383235684"
"Some worries","1992","Bavaria","indirect migration background","21","","",""
"Some worries","1992","Berlin","no migration background","","","",""
"Some worries","1992","Berlin","direct migration background","30","0.36888768645721","0.258203120298599","0.479572252615822"
"Some worries","1992","Berlin","indirect migration background","5","","",""
"Some worries","1992","Brandenburg","no migration background","","","",""
"Some worries","1992","Brandenburg","direct migration background","","","",""
"Some worries","1992","Brandenburg","indirect migration background","","","",""
"Some worries","1992","Mecklenburg-Western Pomerania","no migration background","","","",""
"Some worries","1992","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Some worries","1992","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Some worries","1992","Saxony","no migration background","","","",""
"Some worries","1992","Saxony","direct migration background","","","",""
"Some worries","1992","Saxony","indirect migration background","","","",""
"Some worries","1992","Saxony-Anhalt","no migration background","","","",""
"Some worries","1992","Saxony-Anhalt","direct migration background","","","",""
"Some worries","1992","Saxony-Anhalt","indirect migration background","","","",""
"Some worries","1992","Thuringia","no migration background","","","",""
"Some worries","1992","Thuringia","direct migration background","","","",""
"Some worries","1992","Thuringia","indirect migration background","","","",""
"No worries","1992","Schleswig-Holstein","no migration background","","","",""
"No worries","1992","Schleswig-Holstein","direct migration background","6","","",""
"No worries","1992","Schleswig-Holstein","indirect migration background","1","","",""
"No worries","1992","Hamburg","no migration background","","","",""
"No worries","1992","Hamburg","direct migration background","6","","",""
"No worries","1992","Hamburg","indirect migration background","1","","",""
"No worries","1992","Lower Saxony","no migration background","","","",""
"No worries","1992","Lower Saxony","direct migration background","16","","",""
"No worries","1992","Lower Saxony","indirect migration background","1","","",""
"No worries","1992","Bremen","no migration background","","","",""
"No worries","1992","Bremen","direct migration background","","","",""
"No worries","1992","Bremen","indirect migration background","","","",""
"No worries","1992","North Rhine-Westphalia","no migration background","","","",""
"No worries","1992","North Rhine-Westphalia","direct migration background","85","0.151260687825139","0.120727619491285","0.181793756158993"
"No worries","1992","North Rhine-Westphalia","indirect migration background","17","","",""
"No worries","1992","Hesse","no migration background","","","",""
"No worries","1992","Hesse","direct migration background","79","0.308266892394584","0.252244640660116","0.364289144129053"
"No worries","1992","Hesse","indirect migration background","10","","",""
"No worries","1992","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No worries","1992","Rhineland-Palatinate,Saarland","direct migration background","17","","",""
"No worries","1992","Rhineland-Palatinate,Saarland","indirect migration background","1","","",""
"No worries","1992","Baden-Württemberg","no migration background","","","",""
"No worries","1992","Baden-Württemberg","direct migration background","103","0.220144441295952","0.185325978847208","0.254962903744697"
"No worries","1992","Baden-Württemberg","indirect migration background","19","","",""
"No worries","1992","Bavaria","no migration background","","","",""
"No worries","1992","Bavaria","direct migration background","43","0.133290147928254","0.0930454472885689","0.173534848567938"
"No worries","1992","Bavaria","indirect migration background","10","","",""
"No worries","1992","Berlin","no migration background","","","",""
"No worries","1992","Berlin","direct migration background","3","","",""
"No worries","1992","Berlin","indirect migration background","","","",""
"No worries","1992","Brandenburg","no migration background","","","",""
"No worries","1992","Brandenburg","direct migration background","","","",""
"No worries","1992","Brandenburg","indirect migration background","","","",""
"No worries","1992","Mecklenburg-Western Pomerania","no migration background","","","",""
"No worries","1992","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No worries","1992","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No worries","1992","Saxony","no migration background","","","",""
"No worries","1992","Saxony","direct migration background","","","",""
"No worries","1992","Saxony","indirect migration background","","","",""
"No worries","1992","Saxony-Anhalt","no migration background","","","",""
"No worries","1992","Saxony-Anhalt","direct migration background","","","",""
"No worries","1992","Saxony-Anhalt","indirect migration background","","","",""
"No worries","1992","Thuringia","no migration background","","","",""
"No worries","1992","Thuringia","direct migration background","","","",""
"No worries","1992","Thuringia","indirect migration background","","","",""
"Big worries","1993","Schleswig-Holstein","no migration background","","","",""
"Big worries","1993","Schleswig-Holstein","direct migration background","15","","",""
"Big worries","1993","Schleswig-Holstein","indirect migration background","1","","",""
"Big worries","1993","Hamburg","no migration background","","","",""
"Big worries","1993","Hamburg","direct migration background","11","","",""
"Big worries","1993","Hamburg","indirect migration background","","","",""
"Big worries","1993","Lower Saxony","no migration background","","","",""
"Big worries","1993","Lower Saxony","direct migration background","63","0.630671820520522","0.537467206022471","0.723876435018572"
"Big worries","1993","Lower Saxony","indirect migration background","19","","",""
"Big worries","1993","Bremen","no migration background","","","",""
"Big worries","1993","Bremen","direct migration background","6","","",""
"Big worries","1993","Bremen","indirect migration background","2","","",""
"Big worries","1993","North Rhine-Westphalia","no migration background","","","",""
"Big worries","1993","North Rhine-Westphalia","direct migration background","277","0.579347748750711","0.536628787973906","0.622066709527516"
"Big worries","1993","North Rhine-Westphalia","indirect migration background","61","0.580314263896373","0.486806013860975","0.673822513931772"
"Big worries","1993","Hesse","no migration background","","","",""
"Big worries","1993","Hesse","direct migration background","65","0.353610009179362","0.293124400365526","0.414095617993197"
"Big worries","1993","Hesse","indirect migration background","15","","",""
"Big worries","1993","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Big worries","1993","Rhineland-Palatinate,Saarland","direct migration background","23","","",""
"Big worries","1993","Rhineland-Palatinate,Saarland","indirect migration background","4","","",""
"Big worries","1993","Baden-Württemberg","no migration background","1","","",""
"Big worries","1993","Baden-Württemberg","direct migration background","250","0.413380376946845","0.371961206361017","0.454799547532672"
"Big worries","1993","Baden-Württemberg","indirect migration background","35","0.41299766091415","0.315013486941584","0.510981834886715"
"Big worries","1993","Bavaria","no migration background","","","",""
"Big worries","1993","Bavaria","direct migration background","123","0.542908195346324","0.481402867646894","0.604413523045754"
"Big worries","1993","Bavaria","indirect migration background","18","","",""
"Big worries","1993","Berlin","no migration background","","","",""
"Big worries","1993","Berlin","direct migration background","41","0.607473392218752","0.487838934671575","0.727107849765929"
"Big worries","1993","Berlin","indirect migration background","8","","",""
"Big worries","1993","Brandenburg","no migration background","","","",""
"Big worries","1993","Brandenburg","direct migration background","","","",""
"Big worries","1993","Brandenburg","indirect migration background","","","",""
"Big worries","1993","Mecklenburg-Western Pomerania","no migration background","","","",""
"Big worries","1993","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Big worries","1993","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Big worries","1993","Saxony","no migration background","","","",""
"Big worries","1993","Saxony","direct migration background","","","",""
"Big worries","1993","Saxony","indirect migration background","","","",""
"Big worries","1993","Saxony-Anhalt","no migration background","","","",""
"Big worries","1993","Saxony-Anhalt","direct migration background","","","",""
"Big worries","1993","Saxony-Anhalt","indirect migration background","","","",""
"Big worries","1993","Thuringia","no migration background","","","",""
"Big worries","1993","Thuringia","direct migration background","","","",""
"Big worries","1993","Thuringia","indirect migration background","","","",""
"Some worries","1993","Schleswig-Holstein","no migration background","","","",""
"Some worries","1993","Schleswig-Holstein","direct migration background","7","","",""
"Some worries","1993","Schleswig-Holstein","indirect migration background","2","","",""
"Some worries","1993","Hamburg","no migration background","","","",""
"Some worries","1993","Hamburg","direct migration background","16","","",""
"Some worries","1993","Hamburg","indirect migration background","3","","",""
"Some worries","1993","Lower Saxony","no migration background","","","",""
"Some worries","1993","Lower Saxony","direct migration background","32","0.306419212034945","0.217389288212894","0.395449135856997"
"Some worries","1993","Lower Saxony","indirect migration background","7","","",""
"Some worries","1993","Bremen","no migration background","","","",""
"Some worries","1993","Bremen","direct migration background","","","",""
"Some worries","1993","Bremen","indirect migration background","","","",""
"Some worries","1993","North Rhine-Westphalia","no migration background","","","",""
"Some worries","1993","North Rhine-Westphalia","direct migration background","188","0.343439560120145","0.302348066859315","0.384531053380976"
"Some worries","1993","North Rhine-Westphalia","indirect migration background","35","0.28519563626582","0.199645395166292","0.370745877365348"
"Some worries","1993","Hesse","no migration background","","","",""
"Some worries","1993","Hesse","direct migration background","133","0.47470420554252","0.411527645965635","0.537880765119405"
"Some worries","1993","Hesse","indirect migration background","20","","",""
"Some worries","1993","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Some worries","1993","Rhineland-Palatinate,Saarland","direct migration background","44","0.521089703227879","0.410931237503459","0.6312481689523"
"Some worries","1993","Rhineland-Palatinate,Saarland","indirect migration background","8","","",""
"Some worries","1993","Baden-Württemberg","no migration background","","","",""
"Some worries","1993","Baden-Württemberg","direct migration background","221","0.447801308448623","0.405976058792758","0.489626558104488"
"Some worries","1993","Baden-Württemberg","indirect migration background","49","0.481778663901209","0.382342662870369","0.581214664932049"
"Some worries","1993","Bavaria","no migration background","","","",""
"Some worries","1993","Bavaria","direct migration background","104","0.357115901411023","0.297957183029115","0.416274619792931"
"Some worries","1993","Bavaria","indirect migration background","21","","",""
"Some worries","1993","Berlin","no migration background","","","",""
"Some worries","1993","Berlin","direct migration background","17","","",""
"Some worries","1993","Berlin","indirect migration background","4","","",""
"Some worries","1993","Brandenburg","no migration background","","","",""
"Some worries","1993","Brandenburg","direct migration background","","","",""
"Some worries","1993","Brandenburg","indirect migration background","","","",""
"Some worries","1993","Mecklenburg-Western Pomerania","no migration background","","","",""
"Some worries","1993","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Some worries","1993","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Some worries","1993","Saxony","no migration background","","","",""
"Some worries","1993","Saxony","direct migration background","","","",""
"Some worries","1993","Saxony","indirect migration background","","","",""
"Some worries","1993","Saxony-Anhalt","no migration background","","","",""
"Some worries","1993","Saxony-Anhalt","direct migration background","","","",""
"Some worries","1993","Saxony-Anhalt","indirect migration background","","","",""
"Some worries","1993","Thuringia","no migration background","","","",""
"Some worries","1993","Thuringia","direct migration background","","","",""
"Some worries","1993","Thuringia","indirect migration background","","","",""
"No worries","1993","Schleswig-Holstein","no migration background","","","",""
"No worries","1993","Schleswig-Holstein","direct migration background","1","","",""
"No worries","1993","Schleswig-Holstein","indirect migration background","","","",""
"No worries","1993","Hamburg","no migration background","","","",""
"No worries","1993","Hamburg","direct migration background","1","","",""
"No worries","1993","Hamburg","indirect migration background","","","",""
"No worries","1993","Lower Saxony","no migration background","","","",""
"No worries","1993","Lower Saxony","direct migration background","8","","",""
"No worries","1993","Lower Saxony","indirect migration background","2","","",""
"No worries","1993","Bremen","no migration background","","","",""
"No worries","1993","Bremen","direct migration background","","","",""
"No worries","1993","Bremen","indirect migration background","","","",""
"No worries","1993","North Rhine-Westphalia","no migration background","","","",""
"No worries","1993","North Rhine-Westphalia","direct migration background","48","0.0772126911291438","0.0541141495571374","0.10031123270115"
"No worries","1993","North Rhine-Westphalia","indirect migration background","11","","",""
"No worries","1993","Hesse","no migration background","","","",""
"No worries","1993","Hesse","direct migration background","42","0.171685785278118","0.123976029113669","0.219395541442568"
"No worries","1993","Hesse","indirect migration background","7","","",""
"No worries","1993","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No worries","1993","Rhineland-Palatinate,Saarland","direct migration background","12","","",""
"No worries","1993","Rhineland-Palatinate,Saarland","indirect migration background","1","","",""
"No worries","1993","Baden-Württemberg","no migration background","","","",""
"No worries","1993","Baden-Württemberg","direct migration background","72","0.138818314604533","0.10973667069085","0.167899958518215"
"No worries","1993","Baden-Württemberg","indirect migration background","13","","",""
"No worries","1993","Bavaria","no migration background","","","",""
"No worries","1993","Bavaria","direct migration background","25","","",""
"No worries","1993","Bavaria","indirect migration background","4","","",""
"No worries","1993","Berlin","no migration background","","","",""
"No worries","1993","Berlin","direct migration background","6","","",""
"No worries","1993","Berlin","indirect migration background","1","","",""
"No worries","1993","Brandenburg","no migration background","","","",""
"No worries","1993","Brandenburg","direct migration background","","","",""
"No worries","1993","Brandenburg","indirect migration background","","","",""
"No worries","1993","Mecklenburg-Western Pomerania","no migration background","","","",""
"No worries","1993","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No worries","1993","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No worries","1993","Saxony","no migration background","","","",""
"No worries","1993","Saxony","direct migration background","","","",""
"No worries","1993","Saxony","indirect migration background","","","",""
"No worries","1993","Saxony-Anhalt","no migration background","","","",""
"No worries","1993","Saxony-Anhalt","direct migration background","","","",""
"No worries","1993","Saxony-Anhalt","indirect migration background","","","",""
"No worries","1993","Thuringia","no migration background","","","",""
"No worries","1993","Thuringia","direct migration background","","","",""
"No worries","1993","Thuringia","indirect migration background","","","",""
"Big worries","1994","Schleswig-Holstein","no migration background","","","",""
"Big worries","1994","Schleswig-Holstein","direct migration background","10","","",""
"Big worries","1994","Schleswig-Holstein","indirect migration background","2","","",""
"Big worries","1994","Hamburg","no migration background","","","",""
"Big worries","1994","Hamburg","direct migration background","1","","",""
"Big worries","1994","Hamburg","indirect migration background","2","","",""
"Big worries","1994","Lower Saxony","no migration background","","","",""
"Big worries","1994","Lower Saxony","direct migration background","54","0.652974554828657","0.556228022918625","0.74972108673869"
"Big worries","1994","Lower Saxony","indirect migration background","17","","",""
"Big worries","1994","Bremen","no migration background","","","",""
"Big worries","1994","Bremen","direct migration background","5","","",""
"Big worries","1994","Bremen","indirect migration background","1","","",""
"Big worries","1994","North Rhine-Westphalia","no migration background","","","",""
"Big worries","1994","North Rhine-Westphalia","direct migration background","261","0.578700270546354","0.533965254516407","0.623435286576302"
"Big worries","1994","North Rhine-Westphalia","indirect migration background","68","0.613188464574354","0.520909460481273","0.705467468667435"
"Big worries","1994","Hesse","no migration background","","","",""
"Big worries","1994","Hesse","direct migration background","84","0.39828917220962","0.33569883040904","0.460879514010201"
"Big worries","1994","Hesse","indirect migration background","27","","",""
"Big worries","1994","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Big worries","1994","Rhineland-Palatinate,Saarland","direct migration background","35","0.354233979983663","0.251339577722153","0.457128382245173"
"Big worries","1994","Rhineland-Palatinate,Saarland","indirect migration background","6","","",""
"Big worries","1994","Baden-Württemberg","no migration background","2","","",""
"Big worries","1994","Baden-Württemberg","direct migration background","222","0.471384356959931","0.428438428073521","0.514330285846342"
"Big worries","1994","Baden-Württemberg","indirect migration background","39","0.421053261473656","0.325237748542943","0.51686877440437"
"Big worries","1994","Bavaria","no migration background","","","",""
"Big worries","1994","Bavaria","direct migration background","84","0.403886283853593","0.342694414023854","0.465078153683331"
"Big worries","1994","Bavaria","indirect migration background","18","","",""
"Big worries","1994","Berlin","no migration background","","","",""
"Big worries","1994","Berlin","direct migration background","24","","",""
"Big worries","1994","Berlin","indirect migration background","4","","",""
"Big worries","1994","Brandenburg","no migration background","","","",""
"Big worries","1994","Brandenburg","direct migration background","","","",""
"Big worries","1994","Brandenburg","indirect migration background","","","",""
"Big worries","1994","Mecklenburg-Western Pomerania","no migration background","","","",""
"Big worries","1994","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Big worries","1994","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Big worries","1994","Saxony","no migration background","","","",""
"Big worries","1994","Saxony","direct migration background","","","",""
"Big worries","1994","Saxony","indirect migration background","","","",""
"Big worries","1994","Saxony-Anhalt","no migration background","","","",""
"Big worries","1994","Saxony-Anhalt","direct migration background","","","",""
"Big worries","1994","Saxony-Anhalt","indirect migration background","","","",""
"Big worries","1994","Thuringia","no migration background","","","",""
"Big worries","1994","Thuringia","direct migration background","","","",""
"Big worries","1994","Thuringia","indirect migration background","","","",""
"Some worries","1994","Schleswig-Holstein","no migration background","","","",""
"Some worries","1994","Schleswig-Holstein","direct migration background","8","","",""
"Some worries","1994","Schleswig-Holstein","indirect migration background","","","",""
"Some worries","1994","Hamburg","no migration background","","","",""
"Some worries","1994","Hamburg","direct migration background","23","","",""
"Some worries","1994","Hamburg","indirect migration background","2","","",""
"Some worries","1994","Lower Saxony","no migration background","","","",""
"Some worries","1994","Lower Saxony","direct migration background","33","0.31416494931","0.219825069169462","0.408504829450537"
"Some worries","1994","Lower Saxony","indirect migration background","13","","",""
"Some worries","1994","Bremen","no migration background","","","",""
"Some worries","1994","Bremen","direct migration background","1","","",""
"Some worries","1994","Bremen","indirect migration background","1","","",""
"Some worries","1994","North Rhine-Westphalia","no migration background","","","",""
"Some worries","1994","North Rhine-Westphalia","direct migration background","156","0.324592319275995","0.282171672914004","0.367012965637986"
"Some worries","1994","North Rhine-Westphalia","indirect migration background","33","0.311848020342336","0.22407321405479","0.399622826629881"
"Some worries","1994","Hesse","no migration background","","","",""
"Some worries","1994","Hesse","direct migration background","117","0.451033863391972","0.387414178680571","0.514653548103373"
"Some worries","1994","Hesse","indirect migration background","15","","",""
"Some worries","1994","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Some worries","1994","Rhineland-Palatinate,Saarland","direct migration background","31","0.463127302591115","0.355853198447735","0.570401406734494"
"Some worries","1994","Rhineland-Palatinate,Saarland","indirect migration background","5","","",""
"Some worries","1994","Baden-Württemberg","no migration background","","","",""
"Some worries","1994","Baden-Württemberg","direct migration background","239","0.444239763090947","0.401491658625541","0.486987867556354"
"Some worries","1994","Baden-Württemberg","indirect migration background","48","0.455235771969626","0.358592753330627","0.551878790608625"
"Some worries","1994","Bavaria","no migration background","","","",""
"Some worries","1994","Bavaria","direct migration background","127","0.447862855007345","0.385848016204588","0.509877693810103"
"Some worries","1994","Bavaria","indirect migration background","23","","",""
"Some worries","1994","Berlin","no migration background","","","",""
"Some worries","1994","Berlin","direct migration background","27","","",""
"Some worries","1994","Berlin","indirect migration background","5","","",""
"Some worries","1994","Brandenburg","no migration background","","","",""
"Some worries","1994","Brandenburg","direct migration background","","","",""
"Some worries","1994","Brandenburg","indirect migration background","","","",""
"Some worries","1994","Mecklenburg-Western Pomerania","no migration background","","","",""
"Some worries","1994","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Some worries","1994","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Some worries","1994","Saxony","no migration background","","","",""
"Some worries","1994","Saxony","direct migration background","","","",""
"Some worries","1994","Saxony","indirect migration background","","","",""
"Some worries","1994","Saxony-Anhalt","no migration background","","","",""
"Some worries","1994","Saxony-Anhalt","direct migration background","","","",""
"Some worries","1994","Saxony-Anhalt","indirect migration background","","","",""
"Some worries","1994","Thuringia","no migration background","","","",""
"Some worries","1994","Thuringia","direct migration background","","","",""
"Some worries","1994","Thuringia","indirect migration background","","","",""
"No worries","1994","Schleswig-Holstein","no migration background","","","",""
"No worries","1994","Schleswig-Holstein","direct migration background","1","","",""
"No worries","1994","Schleswig-Holstein","indirect migration background","","","",""
"No worries","1994","Hamburg","no migration background","","","",""
"No worries","1994","Hamburg","direct migration background","1","","",""
"No worries","1994","Hamburg","indirect migration background","","","",""
"No worries","1994","Lower Saxony","no migration background","","","",""
"No worries","1994","Lower Saxony","direct migration background","6","","",""
"No worries","1994","Lower Saxony","indirect migration background","3","","",""
"No worries","1994","Bremen","no migration background","","","",""
"No worries","1994","Bremen","direct migration background","","","",""
"No worries","1994","Bremen","indirect migration background","","","",""
"No worries","1994","North Rhine-Westphalia","no migration background","","","",""
"No worries","1994","North Rhine-Westphalia","direct migration background","51","0.0967074101776507","0.0699299572360292","0.123484863119272"
"No worries","1994","North Rhine-Westphalia","indirect migration background","6","","",""
"No worries","1994","Hesse","no migration background","","","",""
"No worries","1994","Hesse","direct migration background","34","0.150676964398408","0.104939293776378","0.196414635020438"
"No worries","1994","Hesse","indirect migration background","4","","",""
"No worries","1994","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No worries","1994","Rhineland-Palatinate,Saarland","direct migration background","17","","",""
"No worries","1994","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"No worries","1994","Baden-Württemberg","no migration background","","","",""
"No worries","1994","Baden-Württemberg","direct migration background","58","0.0843758799491212","0.060462983568499","0.108288776329743"
"No worries","1994","Baden-Württemberg","indirect migration background","15","","",""
"No worries","1994","Bavaria","no migration background","","","",""
"No worries","1994","Bavaria","direct migration background","36","0.148250861139062","0.103935521889984","0.192566200388141"
"No worries","1994","Bavaria","indirect migration background","4","","",""
"No worries","1994","Berlin","no migration background","","","",""
"No worries","1994","Berlin","direct migration background","6","","",""
"No worries","1994","Berlin","indirect migration background","3","","",""
"No worries","1994","Brandenburg","no migration background","","","",""
"No worries","1994","Brandenburg","direct migration background","","","",""
"No worries","1994","Brandenburg","indirect migration background","","","",""
"No worries","1994","Mecklenburg-Western Pomerania","no migration background","","","",""
"No worries","1994","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No worries","1994","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No worries","1994","Saxony","no migration background","","","",""
"No worries","1994","Saxony","direct migration background","","","",""
"No worries","1994","Saxony","indirect migration background","","","",""
"No worries","1994","Saxony-Anhalt","no migration background","","","",""
"No worries","1994","Saxony-Anhalt","direct migration background","","","",""
"No worries","1994","Saxony-Anhalt","indirect migration background","","","",""
"No worries","1994","Thuringia","no migration background","","","",""
"No worries","1994","Thuringia","direct migration background","","","",""
"No worries","1994","Thuringia","indirect migration background","","","",""
"Big worries","1995","Schleswig-Holstein","no migration background","","","",""
"Big worries","1995","Schleswig-Holstein","direct migration background","9","","",""
"Big worries","1995","Schleswig-Holstein","indirect migration background","2","","",""
"Big worries","1995","Hamburg","no migration background","","","",""
"Big worries","1995","Hamburg","direct migration background","2","","",""
"Big worries","1995","Hamburg","indirect migration background","","","",""
"Big worries","1995","Lower Saxony","no migration background","","","",""
"Big worries","1995","Lower Saxony","direct migration background","39","0.509778923344283","0.406499509633602","0.613058337054963"
"Big worries","1995","Lower Saxony","indirect migration background","7","","",""
"Big worries","1995","Bremen","no migration background","","","",""
"Big worries","1995","Bremen","direct migration background","4","","",""
"Big worries","1995","Bremen","indirect migration background","2","","",""
"Big worries","1995","North Rhine-Westphalia","no migration background","","","",""
"Big worries","1995","North Rhine-Westphalia","direct migration background","220","0.572583929964854","0.524930636507163","0.620237223422545"
"Big worries","1995","North Rhine-Westphalia","indirect migration background","52","0.530805670853725","0.437545565301452","0.624065776405997"
"Big worries","1995","Hesse","no migration background","","","",""
"Big worries","1995","Hesse","direct migration background","66","0.379389689852206","0.312308258985848","0.446471120718563"
"Big worries","1995","Hesse","indirect migration background","19","","",""
"Big worries","1995","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Big worries","1995","Rhineland-Palatinate,Saarland","direct migration background","23","","",""
"Big worries","1995","Rhineland-Palatinate,Saarland","indirect migration background","3","","",""
"Big worries","1995","Baden-Württemberg","no migration background","1","","",""
"Big worries","1995","Baden-Württemberg","direct migration background","200","0.45623904162068","0.412449527035869","0.500028556205492"
"Big worries","1995","Baden-Württemberg","indirect migration background","36","0.39208542258008","0.296396928952074","0.487773916208085"
"Big worries","1995","Bavaria","no migration background","","","",""
"Big worries","1995","Bavaria","direct migration background","73","0.365349927059341","0.303520985755253","0.427178868363429"
"Big worries","1995","Bavaria","indirect migration background","17","","",""
"Big worries","1995","Berlin","no migration background","","","",""
"Big worries","1995","Berlin","direct migration background","23","","",""
"Big worries","1995","Berlin","indirect migration background","2","","",""
