"plj0047","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1997","direct migration background","West Germany","838","0.351846444223606","0.332497570091282","0.371195318355929"
"Big worries","1997","direct migration background","East Germany","42","0.322946689090955","0.242565714753161","0.403327663428749"
"Big worries","1997","indirect migration background","West Germany","180","0.349831313891934","0.309901234213848","0.38976139357002"
"Big worries","1997","indirect migration background","East Germany","9","","",""
"Some worries","1997","no migration background","West Germany","3280","0.510021632582749","0.497656875142926","0.522386390022573"
"Some worries","1997","no migration background","East Germany","1811","0.532416693406255","0.515805947202141","0.54902743961037"
"Some worries","1997","direct migration background","West Germany","1148","0.472008464126587","0.451781600990951","0.492235327262223"
"Some worries","1997","direct migration background","East Germany","60","0.428605034270106","0.343535657005364","0.513674411534849"
"Some worries","1997","indirect migration background","West Germany","277","0.494213869798554","0.452353916988143","0.536073822608965"
"Some worries","1997","indirect migration background","East Germany","8","","",""
"No worries","1997","no migration background","West Germany","1111","0.18180575085493","0.172266047522585","0.191345454187274"
"No worries","1997","no migration background","East Germany","709","0.196500183957802","0.183271757619926","0.209728610295679"
"No worries","1997","direct migration background","West Germany","354","0.176145091649808","0.160710298913318","0.191579884386297"
"No worries","1997","direct migration background","East Germany","28","","",""
"No worries","1997","indirect migration background","West Germany","91","0.155954816309512","0.125578153840205","0.186331478778818"
"No worries","1997","indirect migration background","East Germany","4","","",""
"Big worries","1998","no migration background","West Germany","2214","0.302892251582331","0.292430516432852","0.31335398673181"
"Big worries","1998","no migration background","East Germany","999","0.28039039382459","0.265893242365498","0.294887545283681"
"Big worries","1998","direct migration background","West Germany","817","0.369754044876121","0.349882399361177","0.389625690391064"
"Big worries","1998","direct migration background","East Germany","41","0.402894275657918","0.313637691535661","0.492150859780176"
"Big worries","1998","indirect migration background","West Germany","191","0.351669011133626","0.312538500346105","0.390799521921147"
"Big worries","1998","indirect migration background","East Germany","9","","",""
"Some worries","1998","no migration background","West Germany","3850","0.518247483694566","0.506871465412976","0.529623501976156"
"Some worries","1998","no migration background","East Germany","1859","0.499275911809406","0.483138934669788","0.515412888949024"
"Some worries","1998","direct migration background","West Germany","1087","0.459480601656653","0.438966072017642","0.479995131295664"
"Some worries","1998","direct migration background","East Germany","51","0.367391471227995","0.279660860457656","0.455122081998334"
"Some worries","1998","indirect migration background","West Germany","298","0.467316855690335","0.426429382074279","0.508204329306392"
"Some worries","1998","indirect migration background","East Germany","16","","",""
"No worries","1998","no migration background","West Germany","1347","0.178860264723103","0.170135069495529","0.187585459950676"
"No worries","1998","no migration background","East Germany","830","0.220333694366004","0.20695704091285","0.233710347819157"
"No worries","1998","direct migration background","West Germany","363","0.170765353467226","0.155275014144911","0.186255692789541"
"No worries","1998","direct migration background","East Germany","24","","",""
"No worries","1998","indirect migration background","West Germany","83","0.181014133176039","0.149460852350248","0.21256741400183"
"No worries","1998","indirect migration background","East Germany","1","","",""
"Big worries","1999","no migration background","West Germany","2096","0.295938633081912","0.285407482386192","0.306469783777632"
"Big worries","1999","no migration background","East Germany","1046","0.294582620941308","0.279818229210202","0.309347012672415"
"Big worries","1999","direct migration background","West Germany","680","0.323937324025878","0.303945794803005","0.343928853248752"
"Big worries","1999","direct migration background","East Germany","39","0.313752024292786","0.227038756109968","0.400465292475603"
"Big worries","1999","indirect migration background","West Germany","213","0.385232029248074","0.345830226402603","0.424633832093546"
"Big worries","1999","indirect migration background","East Germany","10","","",""
"Some worries","1999","no migration background","West Germany","4037","0.548826191034979","0.537345736238439","0.560306645831518"
"Some worries","1999","no migration background","East Germany","2120","0.562542089310049","0.546475097616101","0.578609081003998"
"Some worries","1999","direct migration background","West Germany","1043","0.492305381582669","0.470948363640994","0.513662399524344"
"Some worries","1999","direct migration background","East Germany","55","0.476969773635407","0.383631326488659","0.570308220782155"
"Some worries","1999","indirect migration background","West Germany","296","0.488208341077753","0.44773691736733","0.528679764788176"
"Some worries","1999","indirect migration background","East Germany","7","","",""
"No worries","1999","no migration background","West Germany","1084","0.155235175883109","0.146880440133894","0.163589911632325"
"No worries","1999","no migration background","East Germany","496","0.142875289748642","0.131541125786379","0.154209453710905"
"No worries","1999","direct migration background","West Germany","382","0.183757294391453","0.167212781257553","0.200301807525354"
"No worries","1999","direct migration background","East Germany","16","","",""
"No worries","1999","indirect migration background","West Germany","77","0.126559629674173","0.0996403452454715","0.153478914102874"
"No worries","1999","indirect migration background","East Germany","5","","",""
"Big worries","2000","no migration background","West Germany","4425","0.313639747133977","0.306017619434373","0.321261874833581"
"Big worries","2000","no migration background","East Germany","1791","0.318991119026572","0.306833645348932","0.331148592704212"
"Big worries","2000","direct migration background","West Germany","993","0.331467928981276","0.315028955509001","0.347906902453551"
"Big worries","2000","direct migration background","East Germany","53","0.301196734701545","0.227532352774531","0.374861116628558"
"Big worries","2000","indirect migration background","West Germany","275","0.360767609810693","0.327364954212202","0.394170265409184"
"Big worries","2000","indirect migration background","East Germany","11","","",""
"Some worries","2000","no migration background","West Germany","7328","0.506165191915028","0.497951817947178","0.514378565882878"
"Some worries","2000","no migration background","East Germany","3004","0.522341808972479","0.509312731595361","0.535370886349596"
"Some worries","2000","direct migration background","West Germany","1479","0.454737483110013","0.43734842683595","0.472126539384077"
"Some worries","2000","direct migration background","East Germany","75","0.556277726556886","0.476504637959208","0.636050815154564"
"Some worries","2000","indirect migration background","West Germany","369","0.460092770838927","0.425425463087455","0.494760078590398"
"Some worries","2000","indirect migration background","East Germany","12","","",""
"No worries","2000","no migration background","West Germany","2481","0.180195060950995","0.17388096296835","0.186509158933641"
"No worries","2000","no migration background","East Germany","851","0.158667072000949","0.149136806467926","0.168197337533973"
"No worries","2000","direct migration background","West Germany","678","0.213794587908711","0.199477351959792","0.228111823857629"
"No worries","2000","direct migration background","East Germany","21","","",""
"No worries","2000","indirect migration background","West Germany","150","0.17913961935038","0.152466837643059","0.205812401057701"
"No worries","2000","indirect migration background","East Germany","3","","",""
"Big worries","2001","no migration background","West Germany","4442","0.339181207485921","0.330999050544826","0.347363364427016"
"Big worries","2001","no migration background","East Germany","2083","0.386709302494915","0.373559794905666","0.399858810084165"
"Big worries","2001","direct migration background","West Germany","960","0.348314279363523","0.330641895916238","0.365986662810808"
"Big worries","2001","direct migration background","East Germany","54","0.419887549057201","0.333019545554369","0.506755552560034"
"Big worries","2001","indirect migration background","West Germany","301","0.429853702062025","0.394281142656808","0.465426261467242"
"Big worries","2001","indirect migration background","East Germany","11","","",""
"Some worries","2001","no migration background","West Germany","6396","0.497387794781803","0.488746580012692","0.506029009550913"
"Some worries","2001","no migration background","East Germany","2501","0.469188570413318","0.455713599494964","0.482663541331671"
"Some worries","2001","direct migration background","West Germany","1287","0.454832029852689","0.436361426997834","0.473302632707545"
"Some worries","2001","direct migration background","East Germany","54","0.432406491557591","0.34520938763444","0.519603595480742"
"Some worries","2001","indirect migration background","West Germany","315","0.413232008110704","0.377849239880214","0.448614776341195"
"Some worries","2001","indirect migration background","East Germany","11","","",""
"No worries","2001","no migration background","West Germany","2023","0.163430997732276","0.157040586270259","0.169821409194294"
"No worries","2001","no migration background","East Germany","685","0.144102127091767","0.134619467490007","0.153584786693527"
"No worries","2001","direct migration background","West Germany","545","0.196853690783787","0.182104795272104","0.21160258629547"
"No worries","2001","direct migration background","East Germany","16","","",""
"No worries","2001","indirect migration background","West Germany","128","0.156914289827271","0.130778914868854","0.183049664785688"
"No worries","2001","indirect migration background","East Germany","3","","",""
"Big worries","2002","no migration background","West Germany","3851","0.272853176146095","0.265508579652668","0.280197772639523"
"Big worries","2002","no migration background","East Germany","1611","0.299901813292874","0.287544674778964","0.312258951806784"
"Big worries","2002","direct migration background","West Germany","707","0.28528130457535","0.268163311799183","0.302399297351518"
"Big worries","2002","direct migration background","East Germany","43","0.398462154759024","0.308590925330454","0.488333384187594"
"Big worries","2002","indirect migration background","West Germany","223","0.303812079691172","0.27098530770088","0.336638851681463"
"Big worries","2002","indirect migration background","East Germany","8","","",""
"Some worries","2002","no migration background","West Germany","7799","0.54742750956697","0.539220219866716","0.555634799267223"
"Some worries","2002","no migration background","East Germany","2916","0.540394025840952","0.526954096212052","0.553833955469852"
"Some worries","2002","direct migration background","West Germany","1392","0.499632609084247","0.480677839968556","0.518587378199937"
"Some worries","2002","direct migration background","East Germany","60","0.500971805737668","0.409188256143534","0.592755355331801"
"Some worries","2002","indirect migration background","West Germany","386","0.537624329862958","0.502036675651732","0.573211984074183"
"Some worries","2002","indirect migration background","East Germany","15","","",""
"No worries","2002","no migration background","West Germany","2479","0.179719314286935","0.173388333467089","0.186050295106781"
"No worries","2002","no migration background","East Germany","755","0.159704160866174","0.149824930450031","0.169583391282316"
"No worries","2002","direct migration background","West Germany","574","0.215086086340403","0.199509733223716","0.23066243945709"
"No worries","2002","direct migration background","East Germany","11","","",""
"No worries","2002","indirect migration background","West Germany","145","0.158563590445871","0.132491563046601","0.184635617845141"
"No worries","2002","indirect migration background","East Germany","1","","",""
"Big worries","2003","no migration background","West Germany","2954","0.223833668799274","0.216801558683421","0.230865778915128"
"Big worries","2003","no migration background","East Germany","1261","0.241130738085362","0.229505163336051","0.252756312834673"
"Big worries","2003","direct migration background","West Germany","562","0.258951943275573","0.241790633141213","0.276113253409934"
"Big worries","2003","direct migration background","East Germany","30","0.241407468130853","0.159554756092495","0.32326018016921"
"Big worries","2003","indirect migration background","West Germany","173","0.251751098777579","0.220627018890699","0.282875178664458"
"Big worries","2003","indirect migration background","East Germany","12","","",""
"Some worries","2003","no migration background","West Germany","7592","0.557836815018375","0.54945784893512","0.56621578110163"
"Some worries","2003","no migration background","East Germany","3046","0.572567831233882","0.559123111965158","0.586012550502605"
"Some worries","2003","direct migration background","West Germany","1244","0.482550116487026","0.462974158450936","0.502126074523116"
"Some worries","2003","direct migration background","East Germany","63","0.646896486905684","0.555480562123604","0.738312411687763"
"Some worries","2003","indirect migration background","West Germany","381","0.508113758945635","0.47226281417306","0.54396470371821"
"Some worries","2003","indirect migration background","East Germany","17","","",""
"No worries","2003","no migration background","West Germany","2950","0.218329516182351","0.211359823339522","0.225299209025179"
"No worries","2003","no migration background","East Germany","894","0.186301430680756","0.175719996488212","0.196882864873299"
"No worries","2003","direct migration background","West Germany","697","0.2584979402374","0.241346429065362","0.275649451409438"
"No worries","2003","direct migration background","East Germany","12","","",""
"No worries","2003","indirect migration background","West Germany","193","0.240135142276787","0.209502544356317","0.270767740197256"
"No worries","2003","indirect migration background","East Germany","3","","",""
"Big worries","2004","no migration background","West Germany","3035","0.232705815812699","0.22547893835336","0.239932693272038"
"Big worries","2004","no migration background","East Germany","1192","0.235490679487381","0.22383076203362","0.247150596941141"
"Big worries","2004","direct migration background","West Germany","551","0.259417308222017","0.241885033618522","0.276949582825512"
"Big worries","2004","direct migration background","East Germany","37","0.360766508051803","0.266644548985352","0.454888467118254"
"Big worries","2004","indirect migration background","West Germany","188","0.240875449467226","0.210553703897544","0.271197195036908"
"Big worries","2004","indirect migration background","East Germany","14","","",""
"Some worries","2004","no migration background","West Germany","7172","0.542488583693044","0.533968136518481","0.551009030867608"
"Some worries","2004","no migration background","East Germany","2925","0.555360557196233","0.541705021846404","0.569016092546061"
"Some worries","2004","direct migration background","West Germany","1235","0.48692353580679","0.466930744112368","0.506916327501211"
"Some worries","2004","direct migration background","East Germany","47","0.476547224291783","0.37865688885202","0.574437559731546"
"Some worries","2004","indirect migration background","West Germany","389","0.529247327316894","0.493853531131024","0.564641123502764"
"Some worries","2004","indirect migration background","East Germany","15","","",""
"No worries","2004","no migration background","West Germany","2926","0.224805600494256","0.217665982173102","0.23194521881541"
"No worries","2004","no migration background","East Germany","970","0.209148763316386","0.197972612036681","0.220324914596092"
"No worries","2004","direct migration background","West Germany","615","0.253659155971193","0.236255283704674","0.271063028237712"
"No worries","2004","direct migration background","East Germany","16","","",""
"No worries","2004","indirect migration background","West Germany","187","0.229877223215881","0.200041994807808","0.259712451623953"
"No worries","2004","indirect migration background","East Germany","5","","",""
"Big worries","2005","no migration background","West Germany","3669","0.3018054273347","0.293779387326071","0.30983146734333"
"Big worries","2005","no migration background","East Germany","1579","0.314808008961742","0.30180394561765","0.327812072305833"
"Big worries","2005","direct migration background","West Germany","662","0.31529350759856","0.296129079697394","0.334457935499727"
"Big worries","2005","direct migration background","East Germany","42","0.454520099330713","0.356928145273195","0.55211205338823"
"Big worries","2005","indirect migration background","West Germany","237","0.35183044587055","0.318509247467723","0.385151644273378"
"Big worries","2005","indirect migration background","East Germany","15","","",""
"Some worries","2005","no migration background","West Germany","6548","0.50857649731813","0.499835607052633","0.517317387583627"
"Some worries","2005","no migration background","East Germany","2628","0.526981373379893","0.513002028965586","0.540960717794201"
"Some worries","2005","direct migration background","West Germany","1085","0.479123561543046","0.45851834215859","0.499728780927503"
"Some worries","2005","direct migration background","East Germany","52","0.505742667870427","0.407750932471741","0.603734403269112"
"Some worries","2005","indirect migration background","West Germany","385","0.450263073538389","0.415547830489055","0.484978316587723"
"Some worries","2005","indirect migration background","East Germany","17","","",""
"No worries","2005","no migration background","West Germany","2349","0.189618075347169","0.182764229959146","0.196471920735193"
"No worries","2005","no migration background","East Germany","693","0.158210617658365","0.147992530899656","0.168428704417073"
"No worries","2005","direct migration background","West Germany","511","0.205582930858393","0.188914146342171","0.222251715374615"
"No worries","2005","direct migration background","East Germany","6","","",""
"No worries","2005","indirect migration background","West Germany","167","0.197906480591061","0.170106012975588","0.225706948206534"
"No worries","2005","indirect migration background","East Germany","3","","",""
"Big worries","2006","no migration background","West Germany","3745","0.283928570802524","0.276345432983019","0.291511708622028"
"Big worries","2006","no migration background","East Germany","1394","0.280474742710079","0.268161282948057","0.292788202472101"
"Big worries","2006","direct migration background","West Germany","651","0.310957140310273","0.291826621481246","0.330087659139301"
"Big worries","2006","direct migration background","East Germany","41","0.378910951382618","0.288664088065516","0.469157814699719"
"Big worries","2006","indirect migration background","West Germany","227","0.314446959531807","0.281674039933193","0.347219879130422"
"Big worries","2006","indirect migration background","East Germany","13","","",""
"Some worries","2006","no migration background","West Germany","7333","0.526632137685292","0.518235231675466","0.535029043695118"
"Some worries","2006","no migration background","East Germany","2841","0.535186113812344","0.521515054739181","0.548857172885507"
"Some worries","2006","direct migration background","West Germany","1092","0.463433896593864","0.442824803644504","0.484042989543224"
"Some worries","2006","direct migration background","East Germany","53","0.521246698958074","0.428314941310656","0.614178456605491"
"Some worries","2006","indirect migration background","West Germany","394","0.496028343369567","0.460736267455988","0.531320419283146"
"Some worries","2006","indirect migration background","East Germany","20","","",""
"No worries","2006","no migration background","West Germany","2504","0.189439291512185","0.182849160746694","0.196029422277675"
"No worries","2006","no migration background","East Germany","878","0.184339143477577","0.173710599158618","0.194967687796536"
"No worries","2006","direct migration background","West Germany","506","0.225608963095863","0.2083342160438","0.242883710147925"
"No worries","2006","direct migration background","East Germany","17","","",""
"No worries","2006","indirect migration background","West Germany","150","0.189524697098626","0.161860141361512","0.217189252835739"
"No worries","2006","indirect migration background","East Germany","7","","",""
"Big worries","2007","no migration background","West Germany","3384","0.272306079941891","0.264556518082242","0.28005564180154"
"Big worries","2007","no migration background","East Germany","1362","0.285664488492955","0.272972160489646","0.298356816496264"
"Big worries","2007","direct migration background","West Germany","546","0.282375367467851","0.262695954671546","0.302054780264155"
"Big worries","2007","direct migration background","East Germany","31","0.282016054409192","0.190562434673653","0.373469674144732"
"Big worries","2007","indirect migration background","West Germany","217","0.288317311823452","0.255613911698965","0.321020711947939"
"Big worries","2007","indirect migration background","East Germany","9","","",""
"Some worries","2007","no migration background","West Germany","6895","0.538393589398002","0.529714783752168","0.547072395043836"
"Some worries","2007","no migration background","East Germany","2600","0.510370465182261","0.496324919738888","0.524416010625633"
"Some worries","2007","direct migration background","West Germany","1009","0.489157437163731","0.467304091747916","0.511010782579546"
"Some worries","2007","direct migration background","East Germany","45","0.543011806204729","0.44176910053803","0.644254511871428"
"Some worries","2007","indirect migration background","West Germany","351","0.482559406761361","0.446483273031367","0.518635540491354"
"Some worries","2007","indirect migration background","East Germany","25","","",""
"No worries","2007","no migration background","West Germany","2396","0.189300330660107","0.182480402635972","0.196120258684243"
"No worries","2007","no migration background","East Germany","904","0.203965046324784","0.19264349390145","0.215286598748118"
"No worries","2007","direct migration background","West Germany","455","0.228467195368418","0.210112837900449","0.246821552836387"
"No worries","2007","direct migration background","East Germany","17","","",""
"No worries","2007","indirect migration background","West Germany","169","0.229123281415187","0.198781475769796","0.259465087060578"
"No worries","2007","indirect migration background","East Germany","7","","",""
"Big worries","2008","no migration background","West Germany","2760","0.238052829380805","0.230428352383396","0.245677306378213"
"Big worries","2008","no migration background","East Germany","1059","0.232311984448823","0.220164763335422","0.244459205562224"
"Big worries","2008","direct migration background","West Germany","467","0.260354486039868","0.240182646820039","0.280526325259697"
"Big worries","2008","direct migration background","East Germany","19","","",""
"Big worries","2008","indirect migration background","West Germany","192","0.263320667654815","0.23132699344662","0.29531434186301"
"Big worries","2008","indirect migration background","East Germany","6","","",""
"Some worries","2008","no migration background","West Germany","6706","0.554893549924378","0.545996464989835","0.563790634858921"
"Some worries","2008","no migration background","East Germany","2633","0.5499963333993","0.535686430972335","0.564306235826264"
"Some worries","2008","direct migration background","West Germany","905","0.511127022328663","0.48814895018055","0.534105094476776"
"Some worries","2008","direct migration background","East Germany","51","0.649108747222779","0.544528876814508","0.753688617631051"
"Some worries","2008","indirect migration background","West Germany","359","0.473417497620311","0.437148315175697","0.509686680064924"
"Some worries","2008","indirect migration background","East Germany","32","0.72390366449349","0.590279632520196","0.857527696466784"
"No worries","2008","no migration background","West Germany","2520","0.207053620694817","0.199799675347483","0.214307566042151"
"No worries","2008","no migration background","East Germany","951","0.217691682151877","0.20582146563357","0.229561898670184"
"No worries","2008","direct migration background","West Germany","446","0.228518491631469","0.209217723809529","0.247819259453408"
"No worries","2008","direct migration background","East Germany","10","","",""
"No worries","2008","indirect migration background","West Germany","177","0.263261834724874","0.231270457464142","0.295253211985606"
"No worries","2008","indirect migration background","East Germany","5","","",""
"Big worries","2009","no migration background","West Germany","2094","0.194714928549182","0.187380735987755","0.202049121110608"
"Big worries","2009","no migration background","East Germany","896","0.209756829408782","0.197766429132611","0.221747229684952"
"Big worries","2009","direct migration background","West Germany","321","0.223341667464512","0.202785974387209","0.243897360541815"
"Big worries","2009","direct migration background","East Germany","26","","",""
"Big worries","2009","indirect migration background","West Germany","164","0.272212847284804","0.238434244956248","0.30599144961336"
"Big worries","2009","indirect migration background","East Germany","8","","",""
"Some worries","2009","no migration background","West Germany","6479","0.584643912671123","0.575516790467115","0.593771034875131"
"Some worries","2009","no migration background","East Germany","2657","0.578179212281345","0.563634990894283","0.592723433668406"
"Some worries","2009","direct migration background","West Germany","776","0.489674067434538","0.465001768651266","0.51434636621781"
"Some worries","2009","direct migration background","East Germany","39","0.478528386308152","0.36547420008661","0.591582572529695"
"Some worries","2009","indirect migration background","West Germany","333","0.504194012374239","0.466250293006616","0.542137731741863"
"Some worries","2009","indirect migration background","East Germany","25","","",""
"No worries","2009","no migration background","West Germany","2625","0.220641158779695","0.212960652341473","0.228321665217917"
"No worries","2009","no migration background","East Germany","876","0.212063958309874","0.200025408726436","0.224102507893311"
"No worries","2009","direct migration background","West Germany","480","0.28698426510095","0.264658269017968","0.309310261183933"
"No worries","2009","direct migration background","East Germany","10","","",""
"No worries","2009","indirect migration background","West Germany","170","0.223593140340956","0.191973342151518","0.255212938530395"
"No worries","2009","indirect migration background","East Germany","8","","",""
"Big worries","2010","no migration background","West Germany","3079","0.201930200860158","0.195421199892944","0.208439201827373"
"Big worries","2010","no migration background","East Germany","1078","0.214516385172104","0.203413754790212","0.225619015553995"
"Big worries","2010","direct migration background","West Germany","663","0.219946192715396","0.204465077282631","0.235427308148161"
"Big worries","2010","direct migration background","East Germany","31","0.335474284644407","0.253032320137246","0.417916249151567"
"Big worries","2010","indirect migration background","West Germany","283","0.206287021457106","0.182053247697335","0.230520795216876"
"Big worries","2010","indirect migration background","East Germany","13","","",""
"Some worries","2010","no migration background","West Germany","8398","0.574010213514131","0.565992460706629","0.582027966321633"
"Some worries","2010","no migration background","East Germany","3056","0.575334392430011","0.561965026974281","0.588703757885741"
"Some worries","2010","direct migration background","West Germany","1332","0.476940628948835","0.458272989777556","0.495608268120114"
"Some worries","2010","direct migration background","East Germany","78","0.577146488122037","0.49088820334547","0.663404772898605"
"Some worries","2010","indirect migration background","West Germany","530","0.526992594543098","0.497091328168973","0.556893860917223"
"Some worries","2010","indirect migration background","East Germany","48","0.683640491489742","0.579085293242959","0.788195689736525"
"No worries","2010","no migration background","West Germany","3135","0.22405958562571","0.217298923846689","0.230820247404732"
"No worries","2010","no migration background","East Germany","1117","0.210149222397886","0.199129681512826","0.221168763282945"
"No worries","2010","direct migration background","West Germany","755","0.303113178335769","0.285935467831729","0.320290888839809"
"No worries","2010","direct migration background","East Germany","17","","",""
"No worries","2010","indirect migration background","West Germany","258","0.266720383999796","0.240234390647519","0.293206377352073"
"No worries","2010","indirect migration background","East Germany","15","","",""
"Big worries","2011","no migration background","West Germany","2421","0.186274618119871","0.179599239280012","0.19294999695973"
"Big worries","2011","no migration background","East Germany","892","0.207826053610264","0.196244481504641","0.219407625715886"
"Big worries","2011","direct migration background","West Germany","365","0.19810902907164","0.180116085819449","0.216101972323832"
"Big worries","2011","direct migration background","East Germany","21","","",""
