"plj0047","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"Some worries","1993","Full Time","Male","356","0.43839104606826","0.403985967760521","0.472796124376"
"Some worries","1993","Not Working","Female","165","0.335245198285256","0.29153114184795","0.378959254722562"
"Some worries","1993","Not Working","Male","93","0.4288664294263","0.365181896385171","0.492550962467428"
"Some worries","1993","Part Time","Female","93","0.298141284208948","0.240507608880481","0.355774959537415"
"Some worries","1993","Part Time","Male","63","0.388624076311751","0.311638963945856","0.465609188677646"
"Big worries","1994","Full Time","Female","132","0.513584198341661","0.458301029231655","0.568867367451667"
"Big worries","1994","Full Time","Male","298","0.429255226067083","0.393200883956394","0.465309568177772"
"Big worries","1994","Not Working","Female","236","0.521447944034927","0.475395896258968","0.567499991810887"
"Big worries","1994","Not Working","Male","104","0.451671262994835","0.388445897869551","0.514896628120119"
"Big worries","1994","Part Time","Female","119","0.535594315317979","0.47141858175332","0.599770048882638"
"Big worries","1994","Part Time","Male","77","0.533890277285812","0.456106391584857","0.611674162986767"
"No worries","1994","Full Time","Female","41","0.107231152671017","0.073008531655213","0.141453773686821"
"No worries","1994","Full Time","Male","93","0.105078758559573","0.0827415611319176","0.127415955987229"
"No worries","1994","Not Working","Female","45","0.100148138920733","0.072473253928762","0.127823023912704"
"No worries","1994","Not Working","Male","30","0.0970463907753164","0.0594382359768533","0.134654545573779"
"No worries","1994","Part Time","Female","25","","",""
"No worries","1994","Part Time","Male","11","","",""
"Some worries","1994","Full Time","Female","141","0.379184648987322","0.325519805871622","0.432849492103022"
"Some worries","1994","Full Time","Male","333","0.465666015373344","0.429331240105578","0.50200079064111"
"Some worries","1994","Not Working","Female","171","0.37840391704434","0.333693283911444","0.423114550177236"
"Some worries","1994","Not Working","Male","104","0.451282346229848","0.3880617989236","0.514502893536096"
"Some worries","1994","Part Time","Female","88","0.326481456471876","0.266141063134545","0.386821849809206"
"Some worries","1994","Part Time","Male","70","0.405328601745485","0.328775692788137","0.481881510702834"
"Big worries","1995","Full Time","Female","98","0.40955031761193","0.350343702307765","0.468756932916095"
"Big worries","1995","Full Time","Male","232","0.422558620700114","0.38395569664003","0.461161544760199"
"Big worries","1995","Not Working","Female","208","0.5141283738502","0.467795324394147","0.560461423306253"
"Big worries","1995","Not Working","Male","106","0.471288484572308","0.408003316258957","0.534573652885659"
"Big worries","1995","Part Time","Female","91","0.464513826315688","0.399346442619746","0.52968121001163"
"Big worries","1995","Part Time","Male","65","0.432936428668126","0.35616209794362","0.509710759392631"
"No worries","1995","Full Time","Female","35","0.112280089837921","0.0742686334177101","0.150291546258132"
"No worries","1995","Full Time","Male","96","0.165690770840945","0.1366347959595","0.19474674572239"
"No worries","1995","Not Working","Female","53","0.11659323557758","0.0868415642977313","0.146344906857429"
"No worries","1995","Not Working","Male","26","","",""
"No worries","1995","Part Time","Female","33","0.127683155839566","0.0840756984191098","0.171290613260022"
"No worries","1995","Part Time","Male","22","","",""
"Some worries","1995","Full Time","Female","132","0.478169592550149","0.418027183130544","0.538312001969754"
"Some worries","1995","Full Time","Male","301","0.411750608458941","0.37328960274171","0.450211614176172"
"Some worries","1995","Not Working","Female","186","0.36927839057222","0.324538992987414","0.414017788157026"
"Some worries","1995","Not Working","Male","107","0.431935675503672","0.369135994705202","0.494735356302142"
"Some worries","1995","Part Time","Female","101","0.407803017844746","0.343591173451957","0.472014862237535"
"Some worries","1995","Part Time","Male","73","0.443186775438426","0.366214155901782","0.52015939497507"
"Big worries","1996","Full Time","Female","551","0.286811220354131","0.266426599119537","0.307195841588725"
"Big worries","1996","Full Time","Male","1040","0.257882918529307","0.243977324790595","0.271788512268018"
"Big worries","1996","Not Working","Female","968","0.327591125653987","0.310852206878322","0.344330044429653"
"Big worries","1996","Not Working","Male","508","0.324776824690273","0.301486338806443","0.348067310574102"
"Big worries","1996","Part Time","Female","524","0.29434712944366","0.273234271080982","0.315459987806337"
"Big worries","1996","Part Time","Male","272","0.309192912667507","0.278726935237204","0.33965889009781"
"No worries","1996","Full Time","Female","262","0.138750098818505","0.123169520645231","0.154330676991779"
"No worries","1996","Full Time","Male","737","0.198258951398311","0.185586066305886","0.210931836490736"
"No worries","1996","Not Working","Female","526","0.183573384591315","0.169766107065304","0.197380662117325"
"No worries","1996","Not Working","Male","283","0.176731893916438","0.157760882981475","0.1957029048514"
"No worries","1996","Part Time","Female","234","0.12998102316545","0.114402513290244","0.145559533040655"
"No worries","1996","Part Time","Male","158","0.176999002725101","0.151839181611508","0.202158823838693"
"Some worries","1996","Full Time","Female","1078","0.574438680827364","0.552154060566581","0.596723301088147"
"Some worries","1996","Full Time","Male","2025","0.543858130072382","0.528026165235575","0.55969009490919"
"Some worries","1996","Not Working","Female","1526","0.488835489754698","0.47100733765898","0.506663641850416"
"Some worries","1996","Not Working","Male","762","0.49849128139329","0.473623880809428","0.523358681977151"
"Some worries","1996","Part Time","Female","1032","0.575671847390891","0.552775827461084","0.598567867320697"
"Some worries","1996","Part Time","Male","454","0.513808084607392","0.480860294420298","0.546755874794487"
"Big worries","1997","Full Time","Female","584","0.318770915860689","0.297756464898827","0.339785366822551"
"Big worries","1997","Full Time","Male","1057","0.286648944398734","0.272030971001793","0.301266917795675"
"Big worries","1997","Not Working","Female","977","0.314709962923705","0.298228694742191","0.331191231105219"
"Big worries","1997","Not Working","Male","514","0.328329128949608","0.305552577817608","0.351105680081608"
"Big worries","1997","Part Time","Female","509","0.309033156567497","0.286850608358414","0.33121570477658"
"Big worries","1997","Part Time","Male","262","0.303146887471793","0.272588151818004","0.333705623125581"
"No worries","1997","Full Time","Female","266","0.140093897323307","0.124441991134908","0.155745803511705"
"No worries","1997","Full Time","Male","771","0.216244327208196","0.202936012877993","0.2295526415384"
"No worries","1997","Not Working","Female","533","0.186399662160369","0.172579081437452","0.200220242883287"
"No worries","1997","Not Working","Male","320","0.19266095972709","0.173532507292285","0.211789412161895"
"No worries","1997","Part Time","Female","239","0.145218951200201","0.128306000555716","0.162131901844686"
"No worries","1997","Part Time","Male","168","0.177200994009747","0.15181359792074","0.202588390098754"
"Some worries","1997","Full Time","Female","1039","0.541135186816005","0.518663929262459","0.56360644436955"
"Some worries","1997","Full Time","Male","1848","0.49710672839307","0.480943687455789","0.513269769330351"
"Some worries","1997","Not Working","Female","1540","0.498890374915926","0.481145738457207","0.516635011374644"
"Some worries","1997","Not Working","Male","799","0.479009911323302","0.454780549292445","0.50323927335416"
"Some worries","1997","Part Time","Female","919","0.545747892232302","0.521846411871885","0.56964937259272"
"Some worries","1997","Part Time","Male","439","0.519652118518461","0.486434194016499","0.552870043020423"
"Big worries","1998","Full Time","Female","591","0.300743357867872","0.280670591723406","0.320816124012338"
"Big worries","1998","Full Time","Male","1109","0.283263453434765","0.269152825100509","0.29737408176902"
"Big worries","1998","Not Working","Female","1060","0.309888813818426","0.294380961971868","0.325396665664983"
"Big worries","1998","Not Working","Male","630","0.342002472997956","0.3206665044462","0.363338441549713"
"Big worries","1998","Part Time","Female","571","0.316151044659508","0.294951598643813","0.337350490675204"
"Big worries","1998","Part Time","Male","310","0.337370454409031","0.307992234869357","0.366748673948706"
"No worries","1998","Full Time","Female","330","0.167103559437644","0.150773819964596","0.183433298910693"
"No worries","1998","Full Time","Male","842","0.209796608874356","0.197045734063855","0.222547483684857"
"No worries","1998","Not Working","Female","604","0.173897598015141","0.161187383097602","0.186607812932679"
"No worries","1998","Not Working","Male","373","0.191991569523119","0.174276835575745","0.209706303470493"
"No worries","1998","Part Time","Female","271","0.154181350601666","0.137716732610523","0.170645968592809"
"No worries","1998","Part Time","Male","228","0.216731761398801","0.191130987790544","0.242332535007058"
"Some worries","1998","Full Time","Female","1084","0.532153082694484","0.510312657965761","0.553993507423207"
"Some worries","1998","Full Time","Male","1966","0.506939937690879","0.491283265022897","0.522596610358862"
"Some worries","1998","Not Working","Female","1752","0.516213588166433","0.499455259285531","0.532971917047336"
"Some worries","1998","Not Working","Male","896","0.466005957478925","0.443569744756847","0.488442170201003"
"Some worries","1998","Part Time","Female","1006","0.529667604738826","0.506911325210064","0.552423884267587"
"Some worries","1998","Part Time","Male","457","0.445897784192168","0.415012674282325","0.47678289410201"
"Big worries","1999","Full Time","Female","680","0.382511430245955","0.360946099344857","0.404076761147054"
"Big worries","1999","Full Time","Male","1092","0.295979157740907","0.281615814086436","0.310342501395378"
"Big worries","1999","Not Working","Female","934","0.282851795921432","0.267227495620617","0.298476096222246"
"Big worries","1999","Not Working","Male","469","0.254562176094291","0.234123487561995","0.275000864626588"
"Big worries","1999","Part Time","Female","631","0.333034426708707","0.312062250410268","0.354006603007147"
"Big worries","1999","Part Time","Male","278","0.297700831117437","0.269275469416914","0.326126192817959"
"No worries","1999","Full Time","Female","195","0.102453458117915","0.0889976044297367","0.115909311806093"
"No worries","1999","Full Time","Male","605","0.160927848938225","0.149365462377653","0.172490235498796"
"No worries","1999","Not Working","Female","512","0.169672798228711","0.156651706639812","0.182693889817609"
"No worries","1999","Not Working","Male","342","0.204283839185558","0.185367091542506","0.22320058682861"
"No worries","1999","Part Time","Female","211","0.102193134863428","0.0887143870463267","0.11567188268053"
"No worries","1999","Part Time","Male","195","0.182385437892675","0.158379189918526","0.206391685866824"
"Some worries","1999","Full Time","Female","1076","0.51503511163613","0.492858610691214","0.537211612581046"
"Some worries","1999","Full Time","Male","2183","0.543092993320868","0.527418870803025","0.558767115838712"
"Some worries","1999","Not Working","Female","1746","0.547475405849857","0.530208280150103","0.564742531549612"
"Some worries","1999","Not Working","Male","934","0.541153984720151","0.517773996501571","0.564533972938731"
"Some worries","1999","Part Time","Female","1098","0.564772438427864","0.542710576193023","0.586834300662705"
"Some worries","1999","Part Time","Male","521","0.519913730989888","0.488855251893958","0.550972210085818"
"Big worries","2000","Full Time","Female","1240","0.391897436738551","0.375196015448953","0.408598858028148"
"Big worries","2000","Full Time","Male","1997","0.316086996856401","0.304970519181883","0.32720347453092"
"Big worries","2000","Not Working","Female","1732","0.2965785719059","0.28471078773419","0.30844635607761"
"Big worries","2000","Not Working","Male","889","0.260964087815167","0.245868057789676","0.276060117840658"
"Big worries","2000","Part Time","Female","1226","0.353148665407786","0.33729637581779","0.369000954997782"
"Big worries","2000","Part Time","Male","463","0.321444764706749","0.298283975310859","0.34460555410264"
"No worries","2000","Full Time","Female","408","0.130577360966323","0.119050044440324","0.142104677492321"
"No worries","2000","Full Time","Male","1165","0.171117396923433","0.162112949858564","0.180121843988301"
"No worries","2000","Not Working","Female","1066","0.198224375325134","0.187865874351681","0.208582876298587"
"No worries","2000","Not Working","Male","750","0.239072746002308","0.2244113200625","0.253734171942117"
"No worries","2000","Part Time","Female","469","0.136426389667744","0.125041997499798","0.14781078183569"
"No worries","2000","Part Time","Male","326","0.203283536143853","0.183325832219733","0.223241240067972"
"Some worries","2000","Full Time","Female","1634","0.477525202295126","0.460436478728656","0.494613925861596"
"Some worries","2000","Full Time","Male","3558","0.512795606220166","0.500844965219623","0.52474624722071"
"Some worries","2000","Not Working","Female","2892","0.505197052768966","0.492206174870098","0.518187930667834"
"Some worries","2000","Not Working","Male","1612","0.499963166182525","0.482775788935746","0.517150543429304"
"Some worries","2000","Part Time","Female","1797","0.51042494492447","0.493844867299012","0.527005022549928"
"Some worries","2000","Part Time","Male","773","0.475271699149398","0.450506273455764","0.500037124843032"
"Big worries","2001","Full Time","Female","1238","0.409922986886621","0.392247023490082","0.42759895028316"
"Big worries","2001","Full Time","Male","2053","0.340241836783847","0.328290300165682","0.352193373402012"
"Big worries","2001","Not Working","Female","1729","0.334187765511709","0.321124741233368","0.347250789790049"
"Big worries","2001","Not Working","Male","963","0.306953100170519","0.290478683806963","0.323427516534074"
"Big worries","2001","Part Time","Female","1379","0.40332068183653","0.386735907235052","0.419905456438009"
"Big worries","2001","Part Time","Male","489","0.344022977431579","0.319340788079358","0.368705166783799"
"No worries","2001","Full Time","Female","311","0.11031776113984","0.0990582952663115","0.121577227013368"
"No worries","2001","Full Time","Male","937","0.155915286628264","0.146764153584631","0.165066419671897"
"No worries","2001","Not Working","Female","885","0.185482633210747","0.174718616189675","0.196246650231819"
"No worries","2001","Not Working","Male","640","0.221664522892415","0.206828270200059","0.23650077558477"
"No worries","2001","Part Time","Female","371","0.116772831546702","0.10591555374182","0.127630109351584"
"No worries","2001","Part Time","Male","256","0.188936438479023","0.168597375157173","0.209275501800873"
"Some worries","2001","Full Time","Female","1425","0.479759251973539","0.461804001370252","0.497714502576826"
"Some worries","2001","Full Time","Male","3047","0.503842876587889","0.491230565333676","0.516455187842102"
"Some worries","2001","Not Working","Female","2395","0.480329601277544","0.466493738670079","0.494165463885009"
"Some worries","2001","Not Working","Male","1408","0.471382376937066","0.453552423745471","0.489212330128662"
"Some worries","2001","Part Time","Female","1611","0.479906486616768","0.463016361625882","0.496796611607653"
"Some worries","2001","Part Time","Male","678","0.467040584089399","0.441118493675634","0.492962674503163"
"Big worries","2002","Full Time","Female","961","0.303067567196223","0.286956709065731","0.319178425326715"
"Big worries","2002","Full Time","Male","1654","0.260565936999442","0.249817896948808","0.271313977050077"
"Big worries","2002","Not Working","Female","1409","0.280422877981952","0.268033548675308","0.292812207288596"
"Big worries","2002","Not Working","Male","816","0.267202579399038","0.251771881556783","0.282633277241294"
"Big worries","2002","Part Time","Female","1189","0.317564416391593","0.302552145452471","0.332576687330714"
"Big worries","2002","Part Time","Male","414","0.271911699636248","0.249689159252889","0.294134240019606"
"No worries","2002","Full Time","Female","391","0.132565396852445","0.1206779917302","0.14445280197469"
"No worries","2002","Full Time","Male","1166","0.188957584424639","0.179371865796013","0.198543303053264"
"No worries","2002","Not Working","Female","900","0.184269901381451","0.173576820612776","0.194962982150126"
"No worries","2002","Not Working","Male","718","0.22509333958397","0.210529385628325","0.239657293539615"
"No worries","2002","Part Time","Female","472","0.129109987904629","0.118296613991963","0.139923361817295"
"No worries","2002","Part Time","Male","318","0.212856373443967","0.192412741594057","0.233300005293877"
"Some worries","2002","Full Time","Female","1774","0.564367035951332","0.546985234237931","0.581748837664733"
"Some worries","2002","Full Time","Male","3587","0.550476478575919","0.53829594472786","0.562657012423978"
"Some worries","2002","Not Working","Female","2741","0.535307220636597","0.52155138699911","0.549063054274084"
"Some worries","2002","Not Working","Male","1625","0.507704081016992","0.490270294522059","0.525137867511926"
"Some worries","2002","Part Time","Female","2033","0.553325595703778","0.537293674891974","0.569357516515583"
"Some worries","2002","Part Time","Male","808","0.515231926919785","0.490271263813387","0.540192590026183"
"Big worries","2003","Full Time","Female","778","0.278198103458058","0.2619419745147","0.294454232401416"
"Big worries","2003","Full Time","Male","1172","0.203626070606113","0.19338966775689","0.213862473455335"
"Big worries","2003","Not Working","Female","1194","0.246589062505593","0.234573180612927","0.258604944398258"
"Big worries","2003","Not Working","Male","674","0.223627051062075","0.209138103204768","0.238115998919382"
"Big worries","2003","Part Time","Female","855","0.243396062886621","0.22932316816306","0.257468957610183"
"Big worries","2003","Part Time","Male","319","0.207277898419473","0.18695323344095","0.227602563397997"
"No worries","2003","Full Time","Female","483","0.16435662167381","0.150912416411973","0.177800826935648"
"No worries","2003","Full Time","Male","1370","0.227054612389703","0.216405541188033","0.237703683591373"
"No worries","2003","Not Working","Female","1068","0.221820028310586","0.21023777154595","0.233402285075222"
"No worries","2003","Not Working","Male","843","0.269514134622877","0.254085191950764","0.284943077294991"
"No worries","2003","Part Time","Female","632","0.171071486078526","0.158722260623762","0.18342071153329"
"No worries","2003","Part Time","Male","353","0.233810895179129","0.212588872600697","0.255032917757561"
"Some worries","2003","Full Time","Female","1658","0.557445274868132","0.539426898516601","0.575463651219663"
"Some worries","2003","Full Time","Male","3403","0.569319317004185","0.556732155113761","0.581906478894608"
"Some worries","2003","Not Working","Female","2681","0.531590909183821","0.517680041617172","0.545501776750471"
"Some worries","2003","Not Working","Male","1660","0.506858814315048","0.489474057387889","0.524243571242207"
"Some worries","2003","Part Time","Female","2085","0.585532451034853","0.569377222092369","0.601687679977337"
"Some worries","2003","Part Time","Male","856","0.558911206401398","0.534015707452521","0.583806705350274"
"Big worries","2004","Full Time","Female","773","0.282505868380198","0.265823905540272","0.299187831220123"
"Big worries","2004","Full Time","Male","1191","0.215822990309678","0.205070230252057","0.226575750367299"
"Big worries","2004","Not Working","Female","1116","0.230400230272774","0.218568835168743","0.242231625376804"
"Big worries","2004","Not Working","Male","676","0.220052340969822","0.20577412952136","0.234330552418284"
"Big worries","2004","Part Time","Female","911","0.269799949029276","0.25510993978159","0.284489958276962"
"Big worries","2004","Part Time","Male","350","0.236939349779068","0.215356569245615","0.25852213031252"
"No worries","2004","Full Time","Female","447","0.160684629028718","0.147077265369568","0.174291992687868"
"No worries","2004","Full Time","Male","1321","0.23864943534616","0.227508116789322","0.249790753902997"
"No worries","2004","Not Working","Female","1089","0.231035486481785","0.219192682701598","0.242878290261971"
"No worries","2004","Not Working","Male","887","0.278746864734104","0.263293361908791","0.294200367559416"
"No worries","2004","Part Time","Female","620","0.170436165949764","0.157991421263879","0.182880910635649"
"No worries","2004","Part Time","Male","355","0.255252095722183","0.233121221372263","0.277382970072102"
"Some worries","2004","Full Time","Female","1578","0.556809502591084","0.538402936475776","0.575216068706392"
"Some worries","2004","Full Time","Male","3111","0.545527574344162","0.532513113769638","0.558542034918686"
"Some worries","2004","Not Working","Female","2661","0.538564283245441","0.524557564227218","0.552571002263665"
"Some worries","2004","Not Working","Male","1671","0.501200794296074","0.483968351911244","0.518433236680905"
"Some worries","2004","Part Time","Female","1976","0.559763885020961","0.543334342176904","0.576193427865017"
"Some worries","2004","Part Time","Male","786","0.50780855449875","0.482432370991387","0.533184738006112"
"Big worries","2005","Full Time","Female","941","0.366657887906829","0.348372470539725","0.384943305273932"
"Big worries","2005","Full Time","Male","1484","0.288473424655873","0.27632317308827","0.300623676223476"
"Big worries","2005","Not Working","Female","1423","0.306294168588987","0.293096294347441","0.319492042830534"
"Big worries","2005","Not Working","Male","860","0.268384118177754","0.252926920230015","0.283841316125493"
"Big worries","2005","Part Time","Female","1114","0.345764847883683","0.329813033264895","0.361716662502471"
"Big worries","2005","Part Time","Male","382","0.302223864905957","0.278003890200501","0.326443839611414"
"No worries","2005","Full Time","Female","363","0.138396902442811","0.125293864784114","0.151499940101508"
"No worries","2005","Full Time","Male","1050","0.194307796247683","0.183696547489505","0.204919045005861"
"No worries","2005","Not Working","Female","849","0.186538661745835","0.175385452869901","0.197691870621769"
"No worries","2005","Not Working","Male","737","0.239497450170918","0.224610299482583","0.254384600859253"
"No worries","2005","Part Time","Female","462","0.138520477926329","0.126934513068418","0.150106442784239"
"No worries","2005","Part Time","Male","268","0.205562846428325","0.184249416944502","0.226876275912147"
"Some worries","2005","Full Time","Female","1364","0.49494520965036","0.475973652066446","0.513916767234275"
"Some worries","2005","Full Time","Male","2807","0.517218779096444","0.5038174112279","0.530620146964989"
"Some worries","2005","Not Working","Female","2414","0.507167169665178","0.492852796634435","0.521481542695921"
"Some worries","2005","Not Working","Male","1560","0.492118431651328","0.47467922027336","0.509557643029295"
"Some worries","2005","Part Time","Female","1839","0.515714674189988","0.498953357319553","0.532475991060423"
"Some worries","2005","Part Time","Male","731","0.492213288665718","0.465845811132578","0.518580766198858"
"Big worries","2006","Full Time","Female","881","0.338832950673161","0.321351390661699","0.356314510684623"
"Big worries","2006","Full Time","Male","1458","0.276746916893619","0.265008283647522","0.288485550139716"
"Big worries","2006","Not Working","Female","1421","0.285515344816733","0.273044752207847","0.29798593742562"
"Big worries","2006","Not Working","Male","858","0.259124003868668","0.244492799965127","0.273755207772209"
"Big worries","2006","Part Time","Female","1128","0.32279811443806","0.307480475941266","0.338115752934854"
"Big worries","2006","Part Time","Male","325","0.251874878468214","0.229192918039986","0.274556838896443"
"No worries","2006","Full Time","Female","396","0.142635759990533","0.129719741480021","0.155551778501045"
"No worries","2006","Full Time","Male","1142","0.21215830902589","0.201431254362805","0.222885363688975"
"No worries","2006","Not Working","Female","940","0.193406316146857","0.182500990298043","0.204311641995671"
"No worries","2006","Not Working","Male","771","0.223992891328741","0.210070833108561","0.237914949548921"
"No worries","2006","Part Time","Female","495","0.144270758506506","0.132759452850992","0.155782064162021"
"No worries","2006","Part Time","Male","318","0.234141438789116","0.212014849763721","0.25626802781451"
"Some worries","2006","Full Time","Female","1539","0.518531289336305","0.500076746800175","0.536985831872436"
"Some worries","2006","Full Time","Male","2980","0.511094774080491","0.497978996251336","0.524210551909646"
"Some worries","2006","Not Working","Female","2678","0.52107833903641","0.50728530963604","0.53487136843678"
"Some worries","2006","Not Working","Male","1816","0.516883104802591","0.500196201125013","0.53357000848017"
"Some worries","2006","Part Time","Female","1956","0.532931127055434","0.516585813807228","0.549276440303639"
"Some worries","2006","Part Time","Male","764","0.51398368274267","0.487868015077499","0.540099350407841"
"Big worries","2007","Full Time","Female","800","0.305279188529945","0.28764180756773","0.322916569492161"
"Big worries","2007","Full Time","Male","1295","0.253412688674821","0.241611957332531","0.265213420017112"
"Big worries","2007","Not Working","Female","1292","0.272488949545065","0.259709574147939","0.285268324942191"
"Big worries","2007","Not Working","Male","797","0.247693710384105","0.232825301198332","0.262562119569877"
"Big worries","2007","Part Time","Female","1034","0.33068596748365","0.314860700341233","0.346511234626068"
"Big worries","2007","Part Time","Male","331","0.276622205755226","0.252192610822418","0.301051800688034"
"No worries","2007","Full Time","Female","381","0.156096849452456","0.142196564132497","0.169997134772416"
"No worries","2007","Full Time","Male","1100","0.214684298745887","0.203544515916667","0.225824081575107"
"No worries","2007","Not Working","Female","947","0.206614486553162","0.194993636413439","0.218235336692886"
"No worries","2007","Not Working","Male","765","0.242535955951869","0.227772815692789","0.257299096210949"
"No worries","2007","Part Time","Female","483","0.138366327398116","0.126751714495036","0.149980940301196"
"No worries","2007","Part Time","Male","272","0.210704287285153","0.188432928330083","0.232975646240222"
"Some worries","2007","Full Time","Female","1438","0.538623962017598","0.519531994160608","0.557715929874589"
"Some worries","2007","Full Time","Male","2824","0.531903012579292","0.518365508806083","0.545440516352501"
"Some worries","2007","Not Working","Female","2424","0.520896563901773","0.506557996162209","0.535235131641336"
"Some worries","2007","Not Working","Male","1676","0.509770333664026","0.492551777072721","0.526988890255332"
"Some worries","2007","Part Time","Female","1878","0.530947705118234","0.514161029114252","0.547734381122216"
"Some worries","2007","Part Time","Male","685","0.512673506959621","0.485376149418649","0.539970864500594"
"Big worries","2008","Full Time","Female","645","0.273126054803414","0.255740018486895","0.290512091119933"
"Big worries","2008","Full Time","Male","1020","0.205725920094273","0.194462690234117","0.216989149954428"
"Big worries","2008","Not Working","Female","1051","0.241759703682472","0.229071384660731","0.254448022704212"
"Big worries","2008","Not Working","Male","705","0.238612236196617","0.223482941556604","0.25374153083663"
"Big worries","2008","Part Time","Female","821","0.275342587559051","0.259868383553584","0.290816791564518"
"Big worries","2008","Part Time","Male","261","0.239727928505844","0.21560338455632","0.263852472455368"
"No worries","2008","Full Time","Female","400","0.160627688005216","0.146299971176885","0.174955404833546"
"No worries","2008","Full Time","Male","1199","0.244797940745596","0.232817612746668","0.256778268744523"
"No worries","2008","Not Working","Female","927","0.210959510010388","0.198868630296659","0.223050389724117"
"No worries","2008","Not Working","Male","757","0.238273737404923","0.223151817551045","0.2533956572588"
"No worries","2008","Part Time","Female","534","0.168911905463093","0.155932377003444","0.181891433922742"
"No worries","2008","Part Time","Male","292","0.243188222297406","0.2189455501957","0.267430894399112"
"Some worries","2008","Full Time","Female","1478","0.56624625719137","0.546908159243665","0.585584355139075"
"Some worries","2008","Full Time","Male","2729","0.549476139160132","0.535612841019127","0.563339437301137"
"Some worries","2008","Not Working","Female","2396","0.54728078630714","0.532529555249843","0.562032017364436"
"Some worries","2008","Not Working","Male","1587","0.523114026398461","0.50538541029698","0.540842642499941"
"Some worries","2008","Part Time","Female","1846","0.555745506977857","0.538532404731999","0.572958609223714"
"Some worries","2008","Part Time","Male","650","0.51708384919675","0.48884599905852","0.545321699334979"
"Big worries","2009","Full Time","Female","521","0.221685037382198","0.205118360417619","0.238251714346778"
"Big worries","2009","Full Time","Male","783","0.186831605311994","0.175533375658622","0.198129834965365"
"Big worries","2009","Not Working","Female","801","0.220275790985112","0.207335207048879","0.233216374921345"
"Big worries","2009","Not Working","Male","543","0.200489513377709","0.185790656063279","0.215188370692139"
"Big worries","2009","Part Time","Female","621","0.211629805985345","0.197109866232382","0.226149745738308"
"Big worries","2009","Part Time","Male","240","0.194214805565934","0.171547183191077","0.21688242794079"
"No worries","2009","Full Time","Female","454","0.191965143119202","0.176257328765096","0.207672957473309"
"No worries","2009","Full Time","Male","1172","0.249851681329027","0.237302664884588","0.262400697773466"
"No worries","2009","Not Working","Female","890","0.225240690543523","0.212196810179938","0.238284570907108"
"No worries","2009","Not Working","Male","771","0.262260214318656","0.246111294823479","0.278409133813834"
"No worries","2009","Part Time","Female","583","0.172809604051353","0.159369643979604","0.186249564123102"
"No worries","2009","Part Time","Male","299","0.254082309486595","0.229137061375337","0.279027557597853"
"Some worries","2009","Full Time","Female","1440","0.586349819498599","0.56670787269705","0.605991766300149"
"Some worries","2009","Full Time","Male","2617","0.563316713358979","0.548940166517784","0.577693260200175"
