"plj0047","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Some worries","1992","(2b) intermediate general qualification","Male","11","","",""
"Some worries","1992","(2b) intermediate general qualification","Female","10","","",""
"Some worries","1992","(2a) intermediate vocational","Male","5","","",""
"Some worries","1992","(2a) intermediate vocational","Female","7","","",""
"Some worries","1992","(2c_gen) general maturity certificate","Male","24","","",""
"Some worries","1992","(2c_gen) general maturity certificate","Female","25","","",""
"Some worries","1992","(2c_voc) vocational maturity certificate","Male","25","","",""
"Some worries","1992","(2c_voc) vocational maturity certificate","Female","17","","",""
"Some worries","1992","(3a) lower tertiary education","Male","4","","",""
"Some worries","1992","(3a) lower tertiary education","Female","2","","",""
"Some worries","1992","(3b) higher tertiary education","Male","10","","",""
"Some worries","1992","(3b) higher tertiary education","Female","6","","",""
"No worries","1992","(0) in school","Male","1","","",""
"No worries","1992","(0) in school","Female","5","","",""
"No worries","1992","(1a) inadequately completed","Male","63","0.281900075766581","0.224497401423965","0.339302750109196"
"No worries","1992","(1a) inadequately completed","Female","66","0.166206925733594","0.126520367135604","0.205893484331584"
"No worries","1992","(1b) general elementary school","Male","64","0.1596679826863","0.12399372426733","0.19534224110527"
"No worries","1992","(1b) general elementary school","Female","64","0.164548432268852","0.125815152486463","0.203281712051241"
"No worries","1992","(1c) basic vocational qualification","Male","67","0.229265358749611","0.181855760107869","0.276674957391353"
"No worries","1992","(1c) basic vocational qualification","Female","25","","",""
"No worries","1992","(2b) intermediate general qualification","Male","6","","",""
"No worries","1992","(2b) intermediate general qualification","Female","7","","",""
"No worries","1992","(2a) intermediate vocational","Male","3","","",""
"No worries","1992","(2a) intermediate vocational","Female","6","","",""
"No worries","1992","(2c_gen) general maturity certificate","Male","6","","",""
"No worries","1992","(2c_gen) general maturity certificate","Female","3","","",""
"No worries","1992","(2c_voc) vocational maturity certificate","Male","9","","",""
"No worries","1992","(2c_voc) vocational maturity certificate","Female","3","","",""
"No worries","1992","(3a) lower tertiary education","Male","1","","",""
"No worries","1992","(3a) lower tertiary education","Female","","","",""
"No worries","1992","(3b) higher tertiary education","Male","3","","",""
"No worries","1992","(3b) higher tertiary education","Female","","","",""
"Big worries","1993","(0) in school","Male","13","","",""
"Big worries","1993","(0) in school","Female","8","","",""
"Big worries","1993","(1a) inadequately completed","Male","100","0.467185703770989","0.402424729401763","0.531946678140214"
"Big worries","1993","(1a) inadequately completed","Female","163","0.538280746319393","0.484492852792325","0.592068639846462"
"Big worries","1993","(1b) general elementary school","Male","183","0.505093355271187","0.455536107148613","0.554650603393761"
"Big worries","1993","(1b) general elementary school","Female","172","0.565126879422232","0.511881706861371","0.618372051983094"
"Big worries","1993","(1c) basic vocational qualification","Male","122","0.40448467087605","0.349131548235276","0.459837793516823"
"Big worries","1993","(1c) basic vocational qualification","Female","54","0.514242623720508","0.426625937807404","0.601859309633613"
"Big worries","1993","(2b) intermediate general qualification","Male","16","","",""
"Big worries","1993","(2b) intermediate general qualification","Female","17","","",""
"Big worries","1993","(2a) intermediate vocational","Male","12","","",""
"Big worries","1993","(2a) intermediate vocational","Female","12","","",""
"Big worries","1993","(2c_gen) general maturity certificate","Male","27","","",""
"Big worries","1993","(2c_gen) general maturity certificate","Female","29","","",""
"Big worries","1993","(2c_voc) vocational maturity certificate","Male","30","0.398635798061755","0.273702265718795","0.523569330404715"
"Big worries","1993","(2c_voc) vocational maturity certificate","Female","14","","",""
"Big worries","1993","(3a) lower tertiary education","Male","2","","",""
"Big worries","1993","(3a) lower tertiary education","Female","1","","",""
"Big worries","1993","(3b) higher tertiary education","Male","12","","",""
"Big worries","1993","(3b) higher tertiary education","Female","3","","",""
"Some worries","1993","(0) in school","Male","10","","",""
"Some worries","1993","(0) in school","Female","10","","",""
"Some worries","1993","(1a) inadequately completed","Male","95","0.428320305323774","0.364089793505317","0.492550817142231"
"Some worries","1993","(1a) inadequately completed","Female","124","0.347821714096955","0.296434788641041","0.39920863955287"
"Some worries","1993","(1b) general elementary school","Male","161","0.375712551832213","0.327708282246257","0.423716821418169"
"Some worries","1993","(1b) general elementary school","Female","126","0.339172703922483","0.288323939093687","0.39002146875128"
"Some worries","1993","(1c) basic vocational qualification","Male","148","0.482233885508337","0.425877868212831","0.538589902803844"
"Some worries","1993","(1c) basic vocational qualification","Female","50","0.347939520793122","0.264439053790795","0.431439987795448"
"Some worries","1993","(2b) intermediate general qualification","Male","14","","",""
"Some worries","1993","(2b) intermediate general qualification","Female","16","","",""
"Some worries","1993","(2a) intermediate vocational","Male","6","","",""
"Some worries","1993","(2a) intermediate vocational","Female","11","","",""
"Some worries","1993","(2c_gen) general maturity certificate","Male","20","","",""
"Some worries","1993","(2c_gen) general maturity certificate","Female","22","","",""
"Some worries","1993","(2c_voc) vocational maturity certificate","Male","26","","",""
"Some worries","1993","(2c_voc) vocational maturity certificate","Female","13","","",""
"Some worries","1993","(3a) lower tertiary education","Male","2","","",""
"Some worries","1993","(3a) lower tertiary education","Female","2","","",""
"Some worries","1993","(3b) higher tertiary education","Male","11","","",""
"Some worries","1993","(3b) higher tertiary education","Female","5","","",""
"No worries","1993","(0) in school","Male","","","",""
"No worries","1993","(0) in school","Female","","","",""
"No worries","1993","(1a) inadequately completed","Male","33","0.104493990905238","0.0647875850000847","0.144200396810391"
"No worries","1993","(1a) inadequately completed","Female","43","0.113897539583651","0.0796215293693199","0.148173549797982"
"No worries","1993","(1b) general elementary school","Male","47","0.119194092896601","0.0870776685110297","0.151310517282171"
"No worries","1993","(1b) general elementary school","Female","35","0.0957004166552843","0.0641039111104278","0.127296922200141"
"No worries","1993","(1c) basic vocational qualification","Male","32","0.113281443615613","0.0775363115886241","0.149026575642602"
"No worries","1993","(1c) basic vocational qualification","Female","21","","",""
"No worries","1993","(2b) intermediate general qualification","Male","7","","",""
"No worries","1993","(2b) intermediate general qualification","Female","3","","",""
"No worries","1993","(2a) intermediate vocational","Male","2","","",""
"No worries","1993","(2a) intermediate vocational","Female","5","","",""
"No worries","1993","(2c_gen) general maturity certificate","Male","4","","",""
"No worries","1993","(2c_gen) general maturity certificate","Female","3","","",""
"No worries","1993","(2c_voc) vocational maturity certificate","Male","3","","",""
"No worries","1993","(2c_voc) vocational maturity certificate","Female","2","","",""
"No worries","1993","(3a) lower tertiary education","Male","1","","",""
"No worries","1993","(3a) lower tertiary education","Female","","","",""
"No worries","1993","(3b) higher tertiary education","Male","2","","",""
"No worries","1993","(3b) higher tertiary education","Female","1","","",""
"Big worries","1994","(0) in school","Male","15","","",""
"Big worries","1994","(0) in school","Female","11","","",""
"Big worries","1994","(1a) inadequately completed","Male","81","0.388843151060375","0.32413136111758","0.45355494100317"
"Big worries","1994","(1a) inadequately completed","Female","153","0.547684904366907","0.491643023409625","0.603726785324189"
"Big worries","1994","(1b) general elementary school","Male","167","0.520986027132374","0.468649946284404","0.573322107980343"
"Big worries","1994","(1b) general elementary school","Female","149","0.4996385887244","0.444158048031801","0.555119129416998"
"Big worries","1994","(1c) basic vocational qualification","Male","106","0.392673876528702","0.336077052581645","0.449270700475759"
"Big worries","1994","(1c) basic vocational qualification","Female","61","0.548213859263876","0.462664281135654","0.633763437392098"
"Big worries","1994","(2b) intermediate general qualification","Male","17","","",""
"Big worries","1994","(2b) intermediate general qualification","Female","15","","",""
"Big worries","1994","(2a) intermediate vocational","Male","11","","",""
"Big worries","1994","(2a) intermediate vocational","Female","14","","",""
"Big worries","1994","(2c_gen) general maturity certificate","Male","21","","",""
"Big worries","1994","(2c_gen) general maturity certificate","Female","22","","",""
"Big worries","1994","(2c_voc) vocational maturity certificate","Male","28","","",""
"Big worries","1994","(2c_voc) vocational maturity certificate","Female","14","","",""
"Big worries","1994","(3a) lower tertiary education","Male","3","","",""
"Big worries","1994","(3a) lower tertiary education","Female","1","","",""
"Big worries","1994","(3b) higher tertiary education","Male","6","","",""
"Big worries","1994","(3b) higher tertiary education","Female","3","","",""
"Some worries","1994","(0) in school","Male","7","","",""
"Some worries","1994","(0) in school","Female","12","","",""
"Some worries","1994","(1a) inadequately completed","Male","106","0.50714701391443","0.440781039288495","0.573512988540364"
"Some worries","1994","(1a) inadequately completed","Female","120","0.382189071948387","0.327475672111288","0.436902471785485"
"Some worries","1994","(1b) general elementary school","Male","141","0.393964132230167","0.342773372500496","0.445154891959837"
"Some worries","1994","(1b) general elementary school","Female","120","0.333284839880097","0.280979173560984","0.38559050619921"
"Some worries","1994","(1c) basic vocational qualification","Male","138","0.45743666662741","0.39969945828706","0.51517387496776"
"Some worries","1994","(1c) basic vocational qualification","Female","54","0.375203432811717","0.291973578616611","0.458433287006823"
"Some worries","1994","(2b) intermediate general qualification","Male","12","","",""
"Some worries","1994","(2b) intermediate general qualification","Female","11","","",""
"Some worries","1994","(2a) intermediate vocational","Male","10","","",""
"Some worries","1994","(2a) intermediate vocational","Female","11","","",""
"Some worries","1994","(2c_gen) general maturity certificate","Male","26","","",""
"Some worries","1994","(2c_gen) general maturity certificate","Female","24","","",""
"Some worries","1994","(2c_voc) vocational maturity certificate","Male","21","","",""
"Some worries","1994","(2c_voc) vocational maturity certificate","Female","13","","",""
"Some worries","1994","(3a) lower tertiary education","Male","2","","",""
"Some worries","1994","(3a) lower tertiary education","Female","4","","",""
"Some worries","1994","(3b) higher tertiary education","Male","14","","",""
"Some worries","1994","(3b) higher tertiary education","Female","4","","",""
"No worries","1994","(0) in school","Male","1","","",""
"No worries","1994","(0) in school","Female","1","","",""
"No worries","1994","(1a) inadequately completed","Male","31","0.104009835025195","0.0634861744315208","0.144533495618869"
"No worries","1994","(1a) inadequately completed","Female","30","0.0701260236847064","0.0413733370866774","0.0988787102827354"
"No worries","1994","(1b) general elementary school","Male","42","0.0850498406374596","0.0558251757773614","0.114274505497558"
"No worries","1994","(1b) general elementary school","Female","43","0.167076571395503","0.125683170435506","0.208469972355501"
"No worries","1994","(1c) basic vocational qualification","Male","42","0.149889456843887","0.108519190342669","0.191259723345106"
"No worries","1994","(1c) basic vocational qualification","Female","15","","",""
"No worries","1994","(2b) intermediate general qualification","Male","3","","",""
"No worries","1994","(2b) intermediate general qualification","Female","4","","",""
"No worries","1994","(2a) intermediate vocational","Male","","","",""
"No worries","1994","(2a) intermediate vocational","Female","4","","",""
"No worries","1994","(2c_gen) general maturity certificate","Male","2","","",""
"No worries","1994","(2c_gen) general maturity certificate","Female","3","","",""
"No worries","1994","(2c_voc) vocational maturity certificate","Male","3","","",""
"No worries","1994","(2c_voc) vocational maturity certificate","Female","6","","",""
"No worries","1994","(3a) lower tertiary education","Male","2","","",""
"No worries","1994","(3a) lower tertiary education","Female","","","",""
"No worries","1994","(3b) higher tertiary education","Male","3","","",""
"No worries","1994","(3b) higher tertiary education","Female","1","","",""
"Big worries","1995","(0) in school","Male","11","","",""
"Big worries","1995","(0) in school","Female","11","","",""
"Big worries","1995","(1a) inadequately completed","Male","73","0.409187307994812","0.339274414618493","0.479100201371131"
"Big worries","1995","(1a) inadequately completed","Female","120","0.47388424989099","0.415294346979087","0.532474152802893"
"Big worries","1995","(1b) general elementary school","Male","133","0.502758762030874","0.446829086878841","0.558688437182908"
"Big worries","1995","(1b) general elementary school","Female","120","0.482814718290649","0.424697843813019","0.540931592768278"
"Big worries","1995","(1c) basic vocational qualification","Male","97","0.40005135126386","0.341287889674707","0.458814812853013"
"Big worries","1995","(1c) basic vocational qualification","Female","45","0.371917269806358","0.283964262193877","0.45987027741884"
"Big worries","1995","(2b) intermediate general qualification","Male","10","","",""
"Big worries","1995","(2b) intermediate general qualification","Female","10","","",""
"Big worries","1995","(2a) intermediate vocational","Male","8","","",""
"Big worries","1995","(2a) intermediate vocational","Female","15","","",""
"Big worries","1995","(2c_gen) general maturity certificate","Male","19","","",""
"Big worries","1995","(2c_gen) general maturity certificate","Female","23","","",""
"Big worries","1995","(2c_voc) vocational maturity certificate","Male","20","","",""
"Big worries","1995","(2c_voc) vocational maturity certificate","Female","9","","",""
"Big worries","1995","(3a) lower tertiary education","Male","","","",""
"Big worries","1995","(3a) lower tertiary education","Female","2","","",""
"Big worries","1995","(3b) higher tertiary education","Male","8","","",""
"Big worries","1995","(3b) higher tertiary education","Female","3","","",""
"Some worries","1995","(0) in school","Male","13","","",""
"Some worries","1995","(0) in school","Female","4","","",""
"Some worries","1995","(1a) inadequately completed","Male","89","0.433270340750062","0.36281097302052","0.503729708479603"
"Some worries","1995","(1a) inadequately completed","Female","127","0.427063622446333","0.369021206908546","0.48510603798412"
"Some worries","1995","(1b) general elementary school","Male","133","0.379805912149591","0.325515445498838","0.434096378800343"
"Some worries","1995","(1b) general elementary school","Female","126","0.391630291586777","0.334861343115914","0.448399240057641"
"Some worries","1995","(1c) basic vocational qualification","Male","123","0.441183601617231","0.381626066953789","0.500741136280673"
"Some worries","1995","(1c) basic vocational qualification","Female","59","0.537934518553395","0.447207724259496","0.628661312847293"
"Some worries","1995","(2b) intermediate general qualification","Male","19","","",""
"Some worries","1995","(2b) intermediate general qualification","Female","10","","",""
"Some worries","1995","(2a) intermediate vocational","Male","12","","",""
"Some worries","1995","(2a) intermediate vocational","Female","17","","",""
"Some worries","1995","(2c_gen) general maturity certificate","Male","27","","",""
"Some worries","1995","(2c_gen) general maturity certificate","Female","17","","",""
"Some worries","1995","(2c_voc) vocational maturity certificate","Male","16","","",""
"Some worries","1995","(2c_voc) vocational maturity certificate","Female","15","","",""
"Some worries","1995","(3a) lower tertiary education","Male","5","","",""
"Some worries","1995","(3a) lower tertiary education","Female","3","","",""
"Some worries","1995","(3b) higher tertiary education","Male","12","","",""
"Some worries","1995","(3b) higher tertiary education","Female","2","","",""
"No worries","1995","(0) in school","Male","1","","",""
"No worries","1995","(0) in school","Female","2","","",""
"No worries","1995","(1a) inadequately completed","Male","28","","",""
"No worries","1995","(1a) inadequately completed","Female","32","0.0990521276626769","0.0639989232260016","0.134105332099352"
"No worries","1995","(1b) general elementary school","Male","41","0.117435325819535","0.0814229683914244","0.153447683247646"
"No worries","1995","(1b) general elementary school","Female","38","0.125554990122574","0.087018499547173","0.164091480697975"
"No worries","1995","(1c) basic vocational qualification","Male","47","0.158765047118909","0.114929284829134","0.202600809408684"
"No worries","1995","(1c) basic vocational qualification","Female","12","","",""
"No worries","1995","(2b) intermediate general qualification","Male","2","","",""
"No worries","1995","(2b) intermediate general qualification","Female","6","","",""
"No worries","1995","(2a) intermediate vocational","Male","1","","",""
"No worries","1995","(2a) intermediate vocational","Female","3","","",""
"No worries","1995","(2c_gen) general maturity certificate","Male","5","","",""
"No worries","1995","(2c_gen) general maturity certificate","Female","8","","",""
"No worries","1995","(2c_voc) vocational maturity certificate","Male","10","","",""
"No worries","1995","(2c_voc) vocational maturity certificate","Female","6","","",""
"No worries","1995","(3a) lower tertiary education","Male","","","",""
"No worries","1995","(3a) lower tertiary education","Female","2","","",""
"No worries","1995","(3b) higher tertiary education","Male","1","","",""
"No worries","1995","(3b) higher tertiary education","Female","2","","",""
"Big worries","1996","(0) in school","Male","31","0.224665514351305","0.152920921952105","0.296410106750506"
"Big worries","1996","(0) in school","Female","48","0.344510850029428","0.268208280626143","0.420813419432714"
"Big worries","1996","(1a) inadequately completed","Male","88","0.435756040408762","0.372358949910988","0.499153130906536"
"Big worries","1996","(1a) inadequately completed","Female","130","0.455036900681701","0.400044880956143","0.510028920407259"
"Big worries","1996","(1b) general elementary school","Male","236","0.348135801482357","0.311874429225944","0.384397173738771"
"Big worries","1996","(1b) general elementary school","Female","435","0.346330083985092","0.320182660947491","0.372477507022693"
"Big worries","1996","(1c) basic vocational qualification","Male","700","0.309250072773608","0.289954502207484","0.328545643339732"
"Big worries","1996","(1c) basic vocational qualification","Female","563","0.331531512146587","0.309562947756419","0.353500076536755"
"Big worries","1996","(2b) intermediate general qualification","Male","59","0.33181476251936","0.261240503673003","0.402389021365717"
"Big worries","1996","(2b) intermediate general qualification","Female","84","0.279899164724545","0.228840750195369","0.330957579253722"
"Big worries","1996","(2a) intermediate vocational","Male","316","0.257750247947908","0.23303358394652","0.282466911949296"
"Big worries","1996","(2a) intermediate vocational","Female","379","0.269376330280465","0.246212030353651","0.29254063020728"
"Big worries","1996","(2c_gen) general maturity certificate","Male","60","0.307027139667889","0.246622461014694","0.367431818321083"
"Big worries","1996","(2c_gen) general maturity certificate","Female","66","0.310121882796011","0.247711153996404","0.372532611595618"
"Big worries","1996","(2c_voc) vocational maturity certificate","Male","82","0.293031913696457","0.241354910040437","0.344708917352476"
"Big worries","1996","(2c_voc) vocational maturity certificate","Female","81","0.254084767278337","0.204656656456629","0.303512878100045"
"Big worries","1996","(3a) lower tertiary education","Male","84","0.180889559856495","0.144336707422876","0.217442412290113"
"Big worries","1996","(3a) lower tertiary education","Female","103","0.246031023210828","0.205878889307527","0.28618315711413"
"Big worries","1996","(3b) higher tertiary education","Male","111","0.205813026349188","0.171393256242494","0.240232796455882"
"Big worries","1996","(3b) higher tertiary education","Female","83","0.232922016345734","0.188638805950071","0.277205226741396"
"Some worries","1996","(0) in school","Male","71","0.565504810561243","0.480295499696079","0.650714121426407"
"Some worries","1996","(0) in school","Female","80","0.532439298045708","0.452325188692417","0.612553407398999"
"Some worries","1996","(1a) inadequately completed","Male","112","0.407975012418515","0.345140107720235","0.470809917116794"
"Some worries","1996","(1a) inadequately completed","Female","146","0.405596906929118","0.351374266564442","0.459819547293794"
"Some worries","1996","(1b) general elementary school","Male","312","0.448011706136727","0.410158650631749","0.485864761641706"
"Some worries","1996","(1b) general elementary school","Female","600","0.456294719107215","0.42892256148295","0.48366687673148"
"Some worries","1996","(1c) basic vocational qualification","Male","1125","0.518349087789686","0.497488830591369","0.539209344988003"
"Some worries","1996","(1c) basic vocational qualification","Female","919","0.505399090153784","0.482067545932062","0.528730634375507"
"Some worries","1996","(2b) intermediate general qualification","Male","90","0.526881714003903","0.452049005256169","0.601714422751637"
"Some worries","1996","(2b) intermediate general qualification","Female","173","0.542430486194073","0.485771284382071","0.599089688006075"
"Some worries","1996","(2a) intermediate vocational","Male","616","0.518083568068151","0.489847705866761","0.54631943026954"
"Some worries","1996","(2a) intermediate vocational","Female","833","0.593110710562342","0.567460046858026","0.618761374266658"
"Some worries","1996","(2c_gen) general maturity certificate","Male","124","0.48941479499136","0.423951668684726","0.554877921297995"
"Some worries","1996","(2c_gen) general maturity certificate","Female","117","0.570017133048128","0.503217143633641","0.636817122462616"
"Some worries","1996","(2c_voc) vocational maturity certificate","Male","176","0.599177534114679","0.543536685202132","0.654818383027226"
"Some worries","1996","(2c_voc) vocational maturity certificate","Female","184","0.648911807031372","0.594719092021121","0.703104522041622"
"Some worries","1996","(3a) lower tertiary education","Male","245","0.601420417510596","0.55492716817936","0.647913666841833"
"Some worries","1996","(3a) lower tertiary education","Female","272","0.596191579182982","0.550449325220369","0.641933833145594"
"Some worries","1996","(3b) higher tertiary education","Male","305","0.59272089147982","0.550891519863995","0.634550263095645"
"Some worries","1996","(3b) higher tertiary education","Female","221","0.612291359180324","0.561247221167845","0.663335497192803"
"No worries","1996","(0) in school","Male","28","","",""
"No worries","1996","(0) in school","Female","21","","",""
"No worries","1996","(1a) inadequately completed","Male","35","0.156268947172723","0.109843882264663","0.202694012080783"
"No worries","1996","(1a) inadequately completed","Female","39","0.139366192389181","0.101120658077883","0.177611726700479"
"No worries","1996","(1b) general elementary school","Male","115","0.203852492380915","0.173187270628836","0.234517714132995"
"No worries","1996","(1b) general elementary school","Female","237","0.197375196907692","0.175502259422986","0.219248134392399"
"No worries","1996","(1c) basic vocational qualification","Male","379","0.172400839436706","0.156631191242843","0.188170487630568"
"No worries","1996","(1c) basic vocational qualification","Female","282","0.163069397699628","0.145829695550592","0.180309099848665"
"No worries","1996","(2b) intermediate general qualification","Male","22","","",""
"No worries","1996","(2b) intermediate general qualification","Female","40","0.177670349081382","0.134199280172729","0.221141417990035"
"No worries","1996","(2a) intermediate vocational","Male","271","0.224166183983941","0.200600248774736","0.247732119193147"
"No worries","1996","(2a) intermediate vocational","Female","197","0.137512959157193","0.11953084718816","0.155495071126226"
"No worries","1996","(2c_gen) general maturity certificate","Male","40","0.203558065340751","0.150829579714922","0.25628655096658"
"No worries","1996","(2c_gen) general maturity certificate","Female","28","","",""
"No worries","1996","(2c_voc) vocational maturity certificate","Male","40","0.107790552188865","0.0725807393749348","0.143000365002794"
"No worries","1996","(2c_voc) vocational maturity certificate","Female","33","0.0970034256902913","0.0634005421953127","0.13060630918527"
"No worries","1996","(3a) lower tertiary education","Male","97","0.217690022632909","0.178502122888941","0.256877922376876"
"No worries","1996","(3a) lower tertiary education","Female","67","0.15777739760619","0.123793530504265","0.191761264708115"
"No worries","1996","(3b) higher tertiary education","Male","114","0.201466082170992","0.167318668913237","0.235613495428747"
"No worries","1996","(3b) higher tertiary education","Female","46","0.154786624473942","0.11689319045667","0.192680058491214"
"Big worries","1997","(0) in school","Male","41","0.233056018187369","0.166065342436643","0.300046693938095"
"Big worries","1997","(0) in school","Female","34","0.216231620794347","0.152040786778801","0.280422454809894"
"Big worries","1997","(1a) inadequately completed","Male","85","0.422507143705845","0.357382960331987","0.487631327079703"
"Big worries","1997","(1a) inadequately completed","Female","112","0.385445484895765","0.330279143197966","0.440611826593565"
"Big worries","1997","(1b) general elementary school","Male","231","0.340232114282475","0.304031296419377","0.376432932145573"
"Big worries","1997","(1b) general elementary school","Female","425","0.337759704590031","0.311199209483731","0.36432019969633"
"Big worries","1997","(1c) basic vocational qualification","Male","722","0.338555471364763","0.31851536647202","0.358595576257507"
"Big worries","1997","(1c) basic vocational qualification","Female","602","0.339539321581208","0.317211582757984","0.361867060404431"
"Big worries","1997","(2b) intermediate general qualification","Male","61","0.411187448390838","0.340091044600361","0.482283852181316"
"Big worries","1997","(2b) intermediate general qualification","Female","86","0.29639266099716","0.243651370702707","0.349133951291612"
"Big worries","1997","(2a) intermediate vocational","Male","325","0.274923243425455","0.249394650461511","0.300451836389399"
"Big worries","1997","(2a) intermediate vocational","Female","419","0.301818582164346","0.277942610816008","0.325694553512685"
"Big worries","1997","(2c_gen) general maturity certificate","Male","50","0.265985553977332","0.206923276475864","0.325047831478799"
"Big worries","1997","(2c_gen) general maturity certificate","Female","58","0.282189791624072","0.222030276718067","0.342349306530078"
"Big worries","1997","(2c_voc) vocational maturity certificate","Male","82","0.29099159411407","0.240015789999172","0.341967398228968"
"Big worries","1997","(2c_voc) vocational maturity certificate","Female","87","0.337176765922656","0.282387843797828","0.391965688047483"
"Big worries","1997","(3a) lower tertiary education","Male","79","0.198340276189417","0.160519133789613","0.236161418589221"
"Big worries","1997","(3a) lower tertiary education","Female","98","0.213923668432465","0.175737330932741","0.252110005932188"
"Big worries","1997","(3b) higher tertiary education","Male","99","0.197571333965199","0.16389489733015","0.231247770600249"
"Big worries","1997","(3b) higher tertiary education","Female","77","0.209662300860304","0.167376981502575","0.251947620218032"
"Some worries","1997","(0) in school","Male","76","0.481341836569605","0.402170169466508","0.560513503672703"
"Some worries","1997","(0) in school","Female","98","0.624779636623878","0.549283247500417","0.70027602574734"
"Some worries","1997","(1a) inadequately completed","Male","101","0.450286842920281","0.384692762388548","0.515880923452014"
"Some worries","1997","(1a) inadequately completed","Female","142","0.472450634756475","0.415862905409575","0.529038364103375"
"Some worries","1997","(1b) general elementary school","Male","308","0.474743274162743","0.436588370122223","0.512898178203262"
"Some worries","1997","(1b) general elementary school","Female","566","0.458059273268664","0.430078405350913","0.486040141186415"
"Some worries","1997","(1c) basic vocational qualification","Male","1000","0.463128625918819","0.44201201127613","0.484245240561509"
"Some worries","1997","(1c) basic vocational qualification","Female","886","0.504737163686448","0.481163518983538","0.528310808389358"
"Some worries","1997","(2b) intermediate general qualification","Male","93","0.41763429950841","0.34637604936499","0.48889254965183"
"Some worries","1997","(2b) intermediate general qualification","Female","145","0.512949551066544","0.455222928585888","0.5706761735472"
"Some worries","1997","(2a) intermediate vocational","Male","556","0.477790332161141","0.44922953726048","0.506351127061803"
"Some worries","1997","(2a) intermediate vocational","Female","769","0.530654349497098","0.504697248810105","0.556611450184091"
"Some worries","1997","(2c_gen) general maturity certificate","Male","117","0.519422362766186","0.452638588150183","0.58620613738219"
"Some worries","1997","(2c_gen) general maturity certificate","Female","124","0.600475285092124","0.535004393581227","0.665946176603022"
"Some worries","1997","(2c_voc) vocational maturity certificate","Male","171","0.554762747447376","0.498986721997805","0.610538772896948"
"Some worries","1997","(2c_voc) vocational maturity certificate","Female","160","0.542628908206434","0.484892349672598","0.600365466740271"
"Some worries","1997","(3a) lower tertiary education","Male","251","0.595027268915782","0.548467000161552","0.641587537670012"
"Some worries","1997","(3a) lower tertiary education","Female","276","0.606007647841177","0.560505785072776","0.651509510609579"
"Some worries","1997","(3b) higher tertiary education","Male","337","0.601531866088254","0.560123598072666","0.642940134103843"
"Some worries","1997","(3b) higher tertiary education","Female","230","0.646909745023348","0.597263340172775","0.696556149873921"
"No worries","1997","(0) in school","Male","36","0.285602145243026","0.214028492958691","0.35717579752736"
"No worries","1997","(0) in school","Female","26","","",""
"No worries","1997","(1a) inadequately completed","Male","35","0.127206013373874","0.0832759683967751","0.171136058350974"
"No worries","1997","(1a) inadequately completed","Female","45","0.14210388034776","0.102527796529254","0.181679964166266"
"No worries","1997","(1b) general elementary school","Male","119","0.185024611554782","0.15535429761535","0.214694925494214"
"No worries","1997","(1b) general elementary school","Female","227","0.204181022141306","0.181542958347029","0.226819085935582"
"No worries","1997","(1c) basic vocational qualification","Male","420","0.198315902716417","0.181430214628891","0.215201590803944"
