"plj0047","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1992","Thuringia","1-pers.-HH","","","","","1"
"Big worries","1992","Thuringia","(Married) couple without C. ","","","","","1"
"Big worries","1992","Thuringia","Single parent ","","","","","1"
"Big worries","1992","Thuringia","Couple + C. LE 16 ","","","","","1"
"Big worries","1992","Thuringia","Couple + C. GT 16 ","","","","","1"
"Big worries","1992","Thuringia","Couple + C. LE and GT 16","","","","","1"
"No worries","1992","Bavaria","(Married) couple without C. ","14","","","","3"
"No worries","1992","North Rhine-Westphalia","1-pers.-HH","7","","","","3"
"No worries","1992","Rhineland-Palatinate,Saarland","1-pers.-HH","1","","","","3"
"No worries","1992","Rhineland-Palatinate,Saarland","(Married) couple without C. ","5","","","","3"
"No worries","1992","Bavaria","Single parent ","3","","","","3"
"No worries","1992","Bavaria","1-pers.-HH","3","","","","3"
"No worries","1992","Hamburg","Couple + C. LE and GT 16","","","","","3"
"No worries","1992","Bremen","Couple + C. LE and GT 16","","","","","3"
"No worries","1992","Hesse","Couple + C. LE and GT 16","21","","","","3"
"No worries","1992","Baden-Württemberg","Couple + C. LE and GT 16","20","","","","3"
"No worries","1992","Schleswig-Holstein","1-pers.-HH","1","","","","3"
"No worries","1992","Baden-Württemberg","Single parent ","8","","","","3"
"No worries","1992","Baden-Württemberg","Couple + C. LE 16 ","27","","","","3"
"No worries","1992","Schleswig-Holstein","(Married) couple without C. ","1","","","","3"
"No worries","1992","Bremen","Couple + C. GT 16 ","","","","","3"
"No worries","1992","Baden-Württemberg","Couple + C. GT 16 ","30","0.190063118131356","0.127893687717241","0.25223254854547","3"
"No worries","1992","Hesse","Couple + C. GT 16 ","17","","","","3"
"No worries","1992","Hesse","Couple + C. LE 16 ","24","","","","3"
"No worries","1992","Hamburg","Couple + C. GT 16 ","3","","","","3"
"No worries","1992","Hesse","Single parent ","6","","","","3"
"No worries","1992","Bremen","Couple + C. LE 16 ","","","","","3"
"No worries","1992","Baden-Württemberg","(Married) couple without C. ","18","","","","3"
"No worries","1992","Schleswig-Holstein","Single parent ","","","","","3"
"No worries","1992","Schleswig-Holstein","Couple + C. LE 16 ","1","","","","3"
"No worries","1992","Schleswig-Holstein","Couple + C. GT 16 ","2","","","","3"
"No worries","1992","Schleswig-Holstein","Couple + C. LE and GT 16","","","","","3"
"No worries","1992","Hamburg","1-pers.-HH","2","","","","3"
"No worries","1992","Hamburg","(Married) couple without C. ","","","","","3"
"No worries","1992","Hamburg","Single parent ","","","","","3"
"No worries","1992","Hamburg","Couple + C. LE 16 ","2","","","","3"
"No worries","1992","Lower Saxony","1-pers.-HH","2","","","","3"
"No worries","1992","Lower Saxony","(Married) couple without C. ","1","","","","3"
"No worries","1992","Lower Saxony","Single parent ","2","","","","3"
"No worries","1992","Lower Saxony","Couple + C. LE 16 ","2","","","","3"
"No worries","1992","Lower Saxony","Couple + C. GT 16 ","3","","","","3"
"No worries","1992","Lower Saxony","Couple + C. LE and GT 16","6","","","","3"
"No worries","1992","Bremen","1-pers.-HH","","","","","3"
"No worries","1992","Bremen","(Married) couple without C. ","","","","","3"
"No worries","1992","Bremen","Single parent ","","","","","3"
"No worries","1992","North Rhine-Westphalia","(Married) couple without C. ","16","","","","3"
"No worries","1992","North Rhine-Westphalia","Single parent ","1","","","","3"
"No worries","1992","North Rhine-Westphalia","Couple + C. LE 16 ","26","","","","3"
"No worries","1992","North Rhine-Westphalia","Couple + C. GT 16 ","34","0.167923761704738","0.109453383631449","0.226394139778027","3"
"No worries","1992","North Rhine-Westphalia","Couple + C. LE and GT 16","10","","","","3"
"No worries","1992","Hesse","1-pers.-HH","7","","","","3"
"No worries","1992","Hesse","(Married) couple without C. ","9","","","","3"
"No worries","1992","Rhineland-Palatinate,Saarland","Single parent ","","","","","3"
"No worries","1992","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","1","","","","3"
"No worries","1992","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","7","","","","3"
"No worries","1992","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","4","","","","3"
"No worries","1992","Baden-Württemberg","1-pers.-HH","10","","","","3"
"No worries","1992","Bavaria","Couple + C. LE 16 ","4","","","","3"
"No worries","1992","Bavaria","Couple + C. GT 16 ","12","","","","3"
"No worries","1992","Bavaria","Couple + C. LE and GT 16","5","","","","3"
"No worries","1992","Berlin","1-pers.-HH","","","","","3"
"No worries","1992","Berlin","(Married) couple without C. ","","","","","3"
"No worries","1992","Berlin","Single parent ","","","","","3"
"No worries","1992","Berlin","Couple + C. LE 16 ","1","","","","3"
"No worries","1992","Berlin","Couple + C. GT 16 ","","","","","3"
"No worries","1992","Berlin","Couple + C. LE and GT 16","","","","","3"
"No worries","1992","Brandenburg","1-pers.-HH","","","","","3"
"No worries","1992","Brandenburg","(Married) couple without C. ","","","","","3"
"No worries","1992","Brandenburg","Single parent ","","","","","3"
"No worries","1992","Brandenburg","Couple + C. LE 16 ","","","","","3"
"No worries","1992","Brandenburg","Couple + C. GT 16 ","","","","","3"
"No worries","1992","Brandenburg","Couple + C. LE and GT 16","","","","","3"
"No worries","1992","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","3"
"No worries","1992","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","3"
"No worries","1992","Mecklenburg-Western Pomerania","Single parent ","","","","","3"
"No worries","1992","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","3"
"No worries","1992","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","3"
"No worries","1992","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","3"
"No worries","1992","Saxony","1-pers.-HH","","","","","3"
"No worries","1992","Saxony","(Married) couple without C. ","","","","","3"
"No worries","1992","Saxony","Single parent ","","","","","3"
"No worries","1992","Saxony","Couple + C. LE 16 ","","","","","3"
"No worries","1992","Saxony","Couple + C. GT 16 ","","","","","3"
"No worries","1992","Saxony","Couple + C. LE and GT 16","","","","","3"
"No worries","1992","Saxony-Anhalt","1-pers.-HH","","","","","3"
"No worries","1992","Saxony-Anhalt","(Married) couple without C. ","","","","","3"
"No worries","1992","Saxony-Anhalt","Single parent ","","","","","3"
"No worries","1992","Saxony-Anhalt","Couple + C. LE 16 ","","","","","3"
"No worries","1992","Saxony-Anhalt","Couple + C. GT 16 ","","","","","3"
"No worries","1992","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","3"
"No worries","1992","Thuringia","1-pers.-HH","","","","","3"
"No worries","1992","Thuringia","(Married) couple without C. ","","","","","3"
"No worries","1992","Thuringia","Single parent ","","","","","3"
"No worries","1992","Thuringia","Couple + C. LE 16 ","","","","","3"
"No worries","1992","Thuringia","Couple + C. GT 16 ","","","","","3"
"No worries","1992","Thuringia","Couple + C. LE and GT 16","","","","","3"
"Some worries","1992","Brandenburg","Couple + C. LE 16 ","","","","","2"
"Some worries","1992","Bavaria","1-pers.-HH","11","","","","2"
"Some worries","1992","Bavaria","(Married) couple without C. ","26","","","","2"
"Some worries","1992","Brandenburg","(Married) couple without C. ","","","","","2"
"Some worries","1992","Saxony","Couple + C. LE 16 ","","","","","2"
"Some worries","1992","Saxony","Couple + C. GT 16 ","","","","","2"
"Some worries","1992","Baden-Württemberg","Couple + C. LE and GT 16","51","0.419535995839911","0.32469334531995","0.514378646359873","2"
"Some worries","1992","Saxony","Single parent ","","","","","2"
"Some worries","1992","Thuringia","Couple + C. LE 16 ","","","","","2"
"Some worries","1992","Thuringia","Couple + C. GT 16 ","","","","","2"
"Some worries","1992","Brandenburg","1-pers.-HH","","","","","2"
"Some worries","1992","Thuringia","Single parent ","","","","","2"
"Some worries","1992","Berlin","Couple + C. LE and GT 16","5","","","","2"
"Some worries","1992","Thuringia","Couple + C. LE and GT 16","","","","","2"
"Some worries","1992","Berlin","Couple + C. GT 16 ","11","","","","2"
"Some worries","1992","Brandenburg","Single parent ","","","","","2"
"Some worries","1992","Hesse","Couple + C. LE and GT 16","37","0.551871946581948","0.43619704417223","0.667546848991665","2"
"Some worries","1992","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","2"
"Some worries","1992","Saxony","(Married) couple without C. ","","","","","2"
"Some worries","1992","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","2"
"Some worries","1992","Saxony","1-pers.-HH","","","","","2"
"Some worries","1992","Saxony","Couple + C. LE and GT 16","","","","","2"
"Some worries","1992","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","2"
"Some worries","1992","Hesse","Couple + C. GT 16 ","27","","","","2"
"Some worries","1992","Thuringia","1-pers.-HH","","","","","2"
"Some worries","1992","Thuringia","(Married) couple without C. ","","","","","2"
"Some worries","1992","Saxony-Anhalt","Couple + C. GT 16 ","","","","","2"
"Some worries","1992","Baden-Württemberg","Couple + C. GT 16 ","64","0.39089714153812","0.313579438811807","0.468214844264433","2"
"Some worries","1992","Schleswig-Holstein","1-pers.-HH","","","","","2"
"Some worries","1992","Schleswig-Holstein","(Married) couple without C. ","3","","","","2"
"Some worries","1992","Schleswig-Holstein","Single parent ","","","","","2"
"Some worries","1992","Schleswig-Holstein","Couple + C. LE 16 ","3","","","","2"
"Some worries","1992","Schleswig-Holstein","Couple + C. GT 16 ","5","","","","2"
"Some worries","1992","Schleswig-Holstein","Couple + C. LE and GT 16","","","","","2"
"Some worries","1992","Hamburg","1-pers.-HH","","","","","2"
"Some worries","1992","Hamburg","(Married) couple without C. ","4","","","","2"
"Some worries","1992","Hamburg","Couple + C. GT 16 ","","","","","2"
"Some worries","1992","Hamburg","Couple + C. LE and GT 16","","","","","2"
"Some worries","1992","Lower Saxony","1-pers.-HH","4","","","","2"
"Some worries","1992","Lower Saxony","(Married) couple without C. ","11","","","","2"
"Some worries","1992","Lower Saxony","Single parent ","","","","","2"
"Some worries","1992","Lower Saxony","Couple + C. LE 16 ","7","","","","2"
"Some worries","1992","Lower Saxony","Couple + C. GT 16 ","12","","","","2"
"Some worries","1992","Lower Saxony","Couple + C. LE and GT 16","10","","","","2"
"Some worries","1992","Bremen","1-pers.-HH","","","","","2"
"Some worries","1992","Bremen","(Married) couple without C. ","","","","","2"
"Some worries","1992","Bremen","Single parent ","","","","","2"
"Some worries","1992","Bremen","Couple + C. LE 16 ","","","","","2"
"Some worries","1992","Bremen","Couple + C. GT 16 ","","","","","2"
"Some worries","1992","Bremen","Couple + C. LE and GT 16","","","","","2"
"Some worries","1992","North Rhine-Westphalia","1-pers.-HH","12","","","","2"
"Some worries","1992","North Rhine-Westphalia","(Married) couple without C. ","37","0.337465305477748","0.236944142160087","0.437986468795409","2"
"Some worries","1992","North Rhine-Westphalia","Single parent ","6","","","","2"
"Some worries","1992","North Rhine-Westphalia","Couple + C. LE 16 ","50","0.369657730014242","0.288530481159923","0.450784978868561","2"
"Some worries","1992","North Rhine-Westphalia","Couple + C. GT 16 ","58","0.331701458869098","0.25805409401258","0.405348823725616","2"
"Some worries","1992","North Rhine-Westphalia","Couple + C. LE and GT 16","47","0.357817326819175","0.27240601717752","0.44322863646083","2"
"Some worries","1992","Hesse","1-pers.-HH","4","","","","2"
"Some worries","1992","Hesse","(Married) couple without C. ","14","","","","2"
"Some worries","1992","Hesse","Single parent ","5","","","","2"
"Some worries","1992","Hesse","Couple + C. LE 16 ","34","0.334776409801525","0.23781729552272","0.431735524080329","2"
"Some worries","1992","Rhineland-Palatinate,Saarland","1-pers.-HH","2","","","","2"
"Some worries","1992","Rhineland-Palatinate,Saarland","(Married) couple without C. ","7","","","","2"
"Some worries","1992","Rhineland-Palatinate,Saarland","Single parent ","3","","","","2"
"Some worries","1992","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","10","","","","2"
"Some worries","1992","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","16","","","","2"
"Some worries","1992","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","14","","","","2"
"Some worries","1992","Baden-Württemberg","1-pers.-HH","16","","","","2"
"Some worries","1992","Baden-Württemberg","(Married) couple without C. ","31","0.532742818181939","0.415020084032599","0.65046555233128","2"
"Some worries","1992","Baden-Württemberg","Single parent ","13","","","","2"
"Some worries","1992","Baden-Württemberg","Couple + C. LE 16 ","63","0.343330905019336","0.269527012667304","0.417134797371369","2"
"Some worries","1992","Bavaria","Single parent ","4","","","","2"
"Some worries","1992","Bavaria","Couple + C. LE 16 ","44","0.453179836545351","0.338195312413868","0.568164360676834","2"
"Some worries","1992","Bavaria","Couple + C. GT 16 ","36","0.581072204103736","0.463804540187139","0.698339868020332","2"
"Some worries","1992","Bavaria","Couple + C. LE and GT 16","30","0.389203039258482","0.263724157579969","0.514681920936996","2"
"Some worries","1992","Berlin","1-pers.-HH","3","","","","2"
"Some worries","1992","Berlin","(Married) couple without C. ","","","","","2"
"Some worries","1992","Berlin","Single parent ","3","","","","2"
"Some worries","1992","Berlin","Couple + C. LE 16 ","8","","","","2"
"Some worries","1992","Brandenburg","Couple + C. GT 16 ","","","","","2"
"Some worries","1992","Brandenburg","Couple + C. LE and GT 16","","","","","2"
"Some worries","1992","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","2"
"Some worries","1992","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","2"
"Some worries","1992","Mecklenburg-Western Pomerania","Single parent ","","","","","2"
"Some worries","1992","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","2"
"Some worries","1992","Saxony-Anhalt","1-pers.-HH","","","","","2"
"Some worries","1992","Saxony-Anhalt","(Married) couple without C. ","","","","","2"
"Some worries","1992","Saxony-Anhalt","Single parent ","","","","","2"
"Some worries","1992","Saxony-Anhalt","Couple + C. LE 16 ","","","","","2"
"Some worries","1992","Hamburg","Single parent ","","","","","2"
"Some worries","1992","Hamburg","Couple + C. LE 16 ","5","","","","2"
"Big worries","1993","Schleswig-Holstein","1-pers.-HH","","","","","1"
"Big worries","1993","Schleswig-Holstein","(Married) couple without C. ","2","","","","1"
"Big worries","1993","Schleswig-Holstein","Single parent ","","","","","1"
"Big worries","1993","Schleswig-Holstein","Couple + C. LE 16 ","6","","","","1"
"Big worries","1993","Schleswig-Holstein","Couple + C. GT 16 ","4","","","","1"
"Big worries","1993","Schleswig-Holstein","Couple + C. LE and GT 16","2","","","","1"
"Big worries","1993","Hamburg","1-pers.-HH","2","","","","1"
"Big worries","1993","Hamburg","(Married) couple without C. ","6","","","","1"
"Big worries","1993","Hamburg","Single parent ","","","","","1"
"Big worries","1993","Hamburg","Couple + C. LE 16 ","2","","","","1"
"Big worries","1993","Hamburg","Couple + C. GT 16 ","","","","","1"
"Big worries","1993","Hamburg","Couple + C. LE and GT 16","","","","","1"
"Big worries","1993","Lower Saxony","1-pers.-HH","3","","","","1"
"Big worries","1993","Lower Saxony","(Married) couple without C. ","12","","","","1"
"Big worries","1993","Lower Saxony","Single parent ","","","","","1"
"Big worries","1993","Lower Saxony","Couple + C. LE 16 ","18","","","","1"
"Big worries","1993","Lower Saxony","Couple + C. GT 16 ","20","","","","1"
"Big worries","1993","Lower Saxony","Couple + C. LE and GT 16","21","","","","1"
"Big worries","1993","Bremen","1-pers.-HH","2","","","","1"
"Big worries","1993","Bremen","(Married) couple without C. ","","","","","1"
"Big worries","1993","Bremen","Single parent ","1","","","","1"
"Big worries","1993","Bremen","Couple + C. LE 16 ","2","","","","1"
"Big worries","1993","Bremen","Couple + C. GT 16 ","3","","","","1"
"Big worries","1993","Bremen","Couple + C. LE and GT 16","","","","","1"
"Big worries","1993","North Rhine-Westphalia","1-pers.-HH","6","","","","1"
"Big worries","1993","North Rhine-Westphalia","(Married) couple without C. ","55","0.671734437948783","0.576806153336557","0.766662722561009","1"
"Big worries","1993","North Rhine-Westphalia","Single parent ","12","","","","1"
"Big worries","1993","North Rhine-Westphalia","Couple + C. LE 16 ","68","0.583738781445931","0.498007664935321","0.669469897956542","1"
"Big worries","1993","North Rhine-Westphalia","Couple + C. GT 16 ","95","0.534186232323883","0.460490173541618","0.607882291106148","1"
"Big worries","1993","North Rhine-Westphalia","Couple + C. LE and GT 16","79","0.695739035726113","0.613419337038517","0.778058734413709","1"
"Big worries","1993","Hesse","1-pers.-HH","7","","","","1"
"Big worries","1993","Hesse","(Married) couple without C. ","11","","","","1"
"Big worries","1993","Hesse","Single parent ","3","","","","1"
"Big worries","1993","Hesse","Couple + C. LE 16 ","24","","","","1"
"Big worries","1993","Hesse","Couple + C. GT 16 ","9","","","","1"
"Big worries","1993","Hesse","Couple + C. LE and GT 16","14","","","","1"
"Big worries","1993","Rhineland-Palatinate,Saarland","1-pers.-HH","","","","","1"
"Big worries","1993","Rhineland-Palatinate,Saarland","(Married) couple without C. ","1","","","","1"
"Big worries","1993","Rhineland-Palatinate,Saarland","Single parent ","3","","","","1"
"Big worries","1993","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","5","","","","1"
"Big worries","1993","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","11","","","","1"
"Big worries","1993","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","3","","","","1"
"Big worries","1993","Baden-Württemberg","1-pers.-HH","10","","","","1"
"Big worries","1993","Baden-Württemberg","(Married) couple without C. ","26","","","","1"
"Big worries","1993","Baden-Württemberg","Single parent ","9","","","","1"
"Big worries","1993","Baden-Württemberg","Couple + C. LE 16 ","71","0.476155027771642","0.394864551672438","0.557445503870847","1"
"Big worries","1993","Baden-Württemberg","Couple + C. GT 16 ","60","0.345115517487454","0.270513532138758","0.41971750283615","1"
"Big worries","1993","Baden-Württemberg","Couple + C. LE and GT 16","59","0.455958828670848","0.365711603343132","0.546206053998564","1"
"Big worries","1993","Bavaria","1-pers.-HH","16","","","","1"
"Big worries","1993","Bavaria","(Married) couple without C. ","20","","","","1"
"Big worries","1993","Bavaria","Single parent ","2","","","","1"
"Big worries","1993","Bavaria","Couple + C. LE 16 ","42","0.614280998097172","0.503375956531819","0.725186039662525","1"
"Big worries","1993","Bavaria","Couple + C. GT 16 ","21","","","","1"
"Big worries","1993","Bavaria","Couple + C. LE and GT 16","28","","","","1"
"Big worries","1993","Berlin","1-pers.-HH","2","","","","1"
"Big worries","1993","Berlin","(Married) couple without C. ","1","","","","1"
"Big worries","1993","Berlin","Single parent ","5","","","","1"
"Big worries","1993","Berlin","Couple + C. LE 16 ","26","","","","1"
"Big worries","1993","Berlin","Couple + C. GT 16 ","6","","","","1"
"Big worries","1993","Berlin","Couple + C. LE and GT 16","4","","","","1"
"Big worries","1993","Brandenburg","1-pers.-HH","","","","","1"
"Big worries","1993","Brandenburg","(Married) couple without C. ","","","","","1"
"Big worries","1993","Brandenburg","Single parent ","","","","","1"
"Big worries","1993","Brandenburg","Couple + C. LE 16 ","","","","","1"
"Big worries","1993","Brandenburg","Couple + C. GT 16 ","","","","","1"
"Big worries","1993","Brandenburg","Couple + C. LE and GT 16","","","","","1"
"Big worries","1993","Mecklenburg-Western Pomerania","1-pers.-HH","","","","","1"
"Big worries","1993","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","","","1"
"Big worries","1993","Mecklenburg-Western Pomerania","Single parent ","","","","","1"
"Big worries","1993","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","","","1"
"Big worries","1993","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","","","1"
"Big worries","1993","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","","","1"
"Big worries","1993","Saxony","1-pers.-HH","","","","","1"
"Big worries","1993","Saxony","(Married) couple without C. ","","","","","1"
"Big worries","1993","Saxony","Single parent ","","","","","1"
"Big worries","1993","Saxony","Couple + C. LE 16 ","","","","","1"
"Big worries","1993","Saxony","Couple + C. GT 16 ","","","","","1"
"Big worries","1993","Saxony","Couple + C. LE and GT 16","","","","","1"
"Big worries","1993","Saxony-Anhalt","1-pers.-HH","","","","","1"
"Big worries","1993","Saxony-Anhalt","(Married) couple without C. ","","","","","1"
"Big worries","1993","Saxony-Anhalt","Single parent ","","","","","1"
"Big worries","1993","Saxony-Anhalt","Couple + C. LE 16 ","","","","","1"
"Big worries","1993","Saxony-Anhalt","Couple + C. GT 16 ","","","","","1"
"Big worries","1993","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","1"
"Big worries","1993","Thuringia","1-pers.-HH","","","","","1"
"Big worries","1993","Thuringia","(Married) couple without C. ","","","","","1"
"Big worries","1993","Thuringia","Single parent ","","","","","1"
"Big worries","1993","Thuringia","Couple + C. LE 16 ","","","","","1"
"Big worries","1993","Thuringia","Couple + C. GT 16 ","","","","","1"
"Big worries","1993","Thuringia","Couple + C. LE and GT 16","","","","","1"
"No worries","1993","Schleswig-Holstein","1-pers.-HH","","","","","3"
"No worries","1993","Schleswig-Holstein","(Married) couple without C. ","","","","","3"
"No worries","1993","Schleswig-Holstein","Single parent ","","","","","3"
"No worries","1993","Schleswig-Holstein","Couple + C. LE 16 ","","","","","3"
"No worries","1993","Schleswig-Holstein","Couple + C. GT 16 ","","","","","3"
"No worries","1993","Schleswig-Holstein","Couple + C. LE and GT 16","","","","","3"
"No worries","1993","Hamburg","1-pers.-HH","","","","","3"
"No worries","1993","Hamburg","(Married) couple without C. ","","","","","3"
"No worries","1993","Hamburg","Single parent ","","","","","3"
