"plj0047","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Some worries","1992","Other degree","general elemantary","226","0.45000193717897","0.406042379770667","0.493961494587274"
"Some worries","1992","Other degree","middle vocational","132","0.375726177320283","0.32146231940415","0.429990035236417"
"Some worries","1992","Other degree","vocational + Abi","30","0.382462468128332","0.263397446679223","0.50152748957744"
"Some worries","1992","Other degree","higher vocational","2","","",""
"Some worries","1992","Other degree","higher education","12","","",""
"Some worries","1992","no degree/no degree yet","in school","19","","",""
"Some worries","1992","no degree/no degree yet","inadequately","205","0.38888642659973","0.346493969202087","0.431278883997372"
"Some worries","1992","no degree/no degree yet","general elemantary","","","",""
"Some worries","1992","no degree/no degree yet","middle vocational","26","","",""
"Some worries","1992","no degree/no degree yet","vocational + Abi","","","",""
"Some worries","1992","no degree/no degree yet","higher vocational","","","",""
"Some worries","1992","no degree/no degree yet","higher education","","","",""
"No worries","1992","lower secondary degree","in school","","","",""
"No worries","1992","lower secondary degree","inadequately","","","",""
"No worries","1992","lower secondary degree","general elemantary","35","0.1414417773617","0.0990838066692002","0.1837997480542"
"No worries","1992","lower secondary degree","middle vocational","28","","",""
"No worries","1992","lower secondary degree","vocational + Abi","","","",""
"No worries","1992","lower secondary degree","higher vocational","1","","",""
"No worries","1992","lower secondary degree","higher education","1","","",""
"No worries","1992","secondary school degree","in school","","","",""
"No worries","1992","secondary school degree","inadequately","","","",""
"No worries","1992","secondary school degree","general elemantary","13","","",""
"No worries","1992","secondary school degree","middle vocational","11","","",""
"No worries","1992","secondary school degree","vocational + Abi","","","",""
"No worries","1992","secondary school degree","higher vocational","","","",""
"No worries","1992","secondary school degree","higher education","","","",""
"No worries","1992","college entrance qualification","in school","","","",""
"No worries","1992","college entrance qualification","inadequately","","","",""
"No worries","1992","college entrance qualification","general elemantary","","","",""
"No worries","1992","college entrance qualification","middle vocational","4","","",""
"No worries","1992","college entrance qualification","vocational + Abi","2","","",""
"No worries","1992","college entrance qualification","higher vocational","","","",""
"No worries","1992","college entrance qualification","higher education","","","",""
"No worries","1992","Other degree","in school","","","",""
"No worries","1992","Other degree","inadequately","1","","",""
"No worries","1992","Other degree","general elemantary","92","0.173127895503513","0.139695443102866","0.20656034790416"
"No worries","1992","Other degree","middle vocational","66","0.21311195800589","0.167229385434388","0.258994530577392"
"No worries","1992","Other degree","vocational + Abi","10","","",""
"No worries","1992","Other degree","higher vocational","","","",""
"No worries","1992","Other degree","higher education","3","","",""
"No worries","1992","no degree/no degree yet","in school","6","","",""
"No worries","1992","no degree/no degree yet","inadequately","112","0.205753758604197","0.170600328505689","0.240907188702704"
"No worries","1992","no degree/no degree yet","general elemantary","","","",""
"No worries","1992","no degree/no degree yet","middle vocational","16","","",""
"No worries","1992","no degree/no degree yet","vocational + Abi","","","",""
"No worries","1992","no degree/no degree yet","higher vocational","","","",""
"No worries","1992","no degree/no degree yet","higher education","","","",""
"Big worries","1993","lower secondary degree","in school","","","",""
"Big worries","1993","lower secondary degree","inadequately","","","",""
"Big worries","1993","lower secondary degree","general elemantary","143","0.626240478568201","0.566507451886957","0.685973505249446"
"Big worries","1993","lower secondary degree","middle vocational","76","0.463241912641428","0.391192175470766","0.53529164981209"
"Big worries","1993","lower secondary degree","vocational + Abi","5","","",""
"Big worries","1993","lower secondary degree","higher vocational","2","","",""
"Big worries","1993","lower secondary degree","higher education","","","",""
"Big worries","1993","secondary school degree","in school","","","",""
"Big worries","1993","secondary school degree","inadequately","","","",""
"Big worries","1993","secondary school degree","general elemantary","33","0.515621513792201","0.400979290852935","0.630263736731467"
"Big worries","1993","secondary school degree","middle vocational","24","","",""
"Big worries","1993","secondary school degree","vocational + Abi","","","",""
"Big worries","1993","secondary school degree","higher vocational","1","","",""
"Big worries","1993","secondary school degree","higher education","1","","",""
"Big worries","1993","college entrance qualification","in school","","","",""
"Big worries","1993","college entrance qualification","inadequately","","","",""
"Big worries","1993","college entrance qualification","general elemantary","","","",""
"Big worries","1993","college entrance qualification","middle vocational","29","","",""
"Big worries","1993","college entrance qualification","vocational + Abi","10","","",""
"Big worries","1993","college entrance qualification","higher vocational","1","","",""
"Big worries","1993","college entrance qualification","higher education","4","","",""
"Big worries","1993","Other degree","in school","","","",""
"Big worries","1993","Other degree","inadequately","2","","",""
"Big worries","1993","Other degree","general elemantary","210","0.474101234114592","0.428910615294787","0.519291852934397"
"Big worries","1993","Other degree","middle vocational","123","0.427564160118138","0.370624725890139","0.484503594346136"
"Big worries","1993","Other degree","vocational + Abi","27","","",""
"Big worries","1993","Other degree","higher vocational","2","","",""
"Big worries","1993","Other degree","higher education","12","","",""
"Big worries","1993","no degree/no degree yet","in school","21","","",""
"Big worries","1993","no degree/no degree yet","inadequately","235","0.510878394178224","0.466886319447245","0.554870468909203"
"Big worries","1993","no degree/no degree yet","general elemantary","","","",""
"Big worries","1993","no degree/no degree yet","middle vocational","25","","",""
"Big worries","1993","no degree/no degree yet","vocational + Abi","","","",""
"Big worries","1993","no degree/no degree yet","higher vocational","1","","",""
"Big worries","1993","no degree/no degree yet","higher education","","","",""
"Some worries","1993","lower secondary degree","in school","","","",""
"Some worries","1993","lower secondary degree","inadequately","","","",""
"Some worries","1993","lower secondary degree","general elemantary","79","0.260986459339076","0.206763526234079","0.315209392444074"
"Some worries","1993","lower secondary degree","middle vocational","89","0.463505592506696","0.391453056954557","0.535558128058834"
"Some worries","1993","lower secondary degree","vocational + Abi","","","",""
"Some worries","1993","lower secondary degree","higher vocational","4","","",""
"Some worries","1993","lower secondary degree","higher education","2","","",""
"Some worries","1993","secondary school degree","in school","","","",""
"Some worries","1993","secondary school degree","inadequately","","","",""
"Some worries","1993","secondary school degree","general elemantary","30","0.360397542026059","0.250260696589681","0.470534387462437"
"Some worries","1993","secondary school degree","middle vocational","17","","",""
"Some worries","1993","secondary school degree","vocational + Abi","","","",""
"Some worries","1993","secondary school degree","higher vocational","1","","",""
"Some worries","1993","secondary school degree","higher education","1","","",""
"Some worries","1993","college entrance qualification","in school","","","",""
"Some worries","1993","college entrance qualification","inadequately","","","",""
"Some worries","1993","college entrance qualification","general elemantary","","","",""
"Some worries","1993","college entrance qualification","middle vocational","18","","",""
"Some worries","1993","college entrance qualification","vocational + Abi","6","","",""
"Some worries","1993","college entrance qualification","higher vocational","","","",""
"Some worries","1993","college entrance qualification","higher education","7","","",""
"Some worries","1993","Other degree","in school","","","",""
"Some worries","1993","Other degree","inadequately","1","","",""
"Some worries","1993","Other degree","general elemantary","207","0.417287711437648","0.372659800691889","0.461915622183406"
"Some worries","1993","Other degree","middle vocational","127","0.434517203869335","0.377466332956545","0.491568074782125"
"Some worries","1993","Other degree","vocational + Abi","33","0.604143683726685","0.484332595407072","0.723954772046298"
"Some worries","1993","Other degree","higher vocational","1","","",""
"Some worries","1993","Other degree","higher education","9","","",""
"Some worries","1993","no degree/no degree yet","in school","20","","",""
"Some worries","1993","no degree/no degree yet","inadequately","198","0.382119643114757","0.339357532866914","0.424881753362601"
"Some worries","1993","no degree/no degree yet","general elemantary","","","",""
"Some worries","1993","no degree/no degree yet","middle vocational","18","","",""
"Some worries","1993","no degree/no degree yet","vocational + Abi","","","",""
"Some worries","1993","no degree/no degree yet","higher vocational","","","",""
"Some worries","1993","no degree/no degree yet","higher education","1","","",""
"No worries","1993","lower secondary degree","in school","","","",""
"No worries","1993","lower secondary degree","inadequately","","","",""
"No worries","1993","lower secondary degree","general elemantary","30","0.112773062092722","0.073718851234737","0.151827272950708"
"No worries","1993","lower secondary degree","middle vocational","19","","",""
"No worries","1993","lower secondary degree","vocational + Abi","","","",""
"No worries","1993","lower secondary degree","higher vocational","","","",""
"No worries","1993","lower secondary degree","higher education","","","",""
"No worries","1993","secondary school degree","in school","","","",""
"No worries","1993","secondary school degree","inadequately","","","",""
"No worries","1993","secondary school degree","general elemantary","10","","",""
"No worries","1993","secondary school degree","middle vocational","7","","",""
"No worries","1993","secondary school degree","vocational + Abi","","","",""
"No worries","1993","secondary school degree","higher vocational","","","",""
"No worries","1993","secondary school degree","higher education","","","",""
"No worries","1993","college entrance qualification","in school","","","",""
"No worries","1993","college entrance qualification","inadequately","","","",""
"No worries","1993","college entrance qualification","general elemantary","","","",""
"No worries","1993","college entrance qualification","middle vocational","1","","",""
"No worries","1993","college entrance qualification","vocational + Abi","1","","",""
"No worries","1993","college entrance qualification","higher vocational","","","",""
"No worries","1993","college entrance qualification","higher education","1","","",""
"No worries","1993","Other degree","in school","","","",""
"No worries","1993","Other degree","inadequately","","","",""
"No worries","1993","Other degree","general elemantary","52","0.108611054447761","0.080451076740873","0.136771032154649"
"No worries","1993","Other degree","middle vocational","40","0.137918636012527","0.0982328764192043","0.177604395605851"
"No worries","1993","Other degree","vocational + Abi","4","","",""
"No worries","1993","Other degree","higher vocational","","","",""
"No worries","1993","Other degree","higher education","3","","",""
"No worries","1993","no degree/no degree yet","in school","","","",""
"No worries","1993","no degree/no degree yet","inadequately","63","0.107001962707019","0.079798237647345","0.134205687766693"
"No worries","1993","no degree/no degree yet","general elemantary","","","",""
"No worries","1993","no degree/no degree yet","middle vocational","12","","",""
"No worries","1993","no degree/no degree yet","vocational + Abi","","","",""
"No worries","1993","no degree/no degree yet","higher vocational","","","",""
"No worries","1993","no degree/no degree yet","higher education","","","",""
"Big worries","1994","lower secondary degree","in school","","","",""
"Big worries","1994","lower secondary degree","inadequately","","","",""
"Big worries","1994","lower secondary degree","general elemantary","113","0.539830281052293","0.474267216787098","0.605393345317487"
"Big worries","1994","lower secondary degree","middle vocational","71","0.447090656427031","0.374658141423378","0.519523171430683"
"Big worries","1994","lower secondary degree","vocational + Abi","4","","",""
"Big worries","1994","lower secondary degree","higher vocational","3","","",""
"Big worries","1994","lower secondary degree","higher education","1","","",""
"Big worries","1994","secondary school degree","in school","","","",""
"Big worries","1994","secondary school degree","inadequately","","","",""
"Big worries","1994","secondary school degree","general elemantary","32","0.586463932710544","0.463881115791277","0.709046749629812"
"Big worries","1994","secondary school degree","middle vocational","24","","",""
"Big worries","1994","secondary school degree","vocational + Abi","","","",""
"Big worries","1994","secondary school degree","higher vocational","1","","",""
"Big worries","1994","secondary school degree","higher education","1","","",""
"Big worries","1994","college entrance qualification","in school","","","",""
"Big worries","1994","college entrance qualification","inadequately","","","",""
"Big worries","1994","college entrance qualification","general elemantary","","","",""
"Big worries","1994","college entrance qualification","middle vocational","28","","",""
"Big worries","1994","college entrance qualification","vocational + Abi","9","","",""
"Big worries","1994","college entrance qualification","higher vocational","2","","",""
"Big worries","1994","college entrance qualification","higher education","3","","",""
"Big worries","1994","Other degree","in school","","","",""
"Big worries","1994","Other degree","inadequately","","","",""
"Big worries","1994","Other degree","general elemantary","203","0.510480243377019","0.463611646291981","0.557348840462057"
"Big worries","1994","Other degree","middle vocational","108","0.418614022539151","0.360412718906928","0.476815326171374"
"Big worries","1994","Other degree","vocational + Abi","27","","",""
"Big worries","1994","Other degree","higher vocational","","","",""
"Big worries","1994","Other degree","higher education","7","","",""
"Big worries","1994","no degree/no degree yet","in school","26","","",""
"Big worries","1994","no degree/no degree yet","inadequately","208","0.480972081144968","0.435461446779567","0.526482715510368"
"Big worries","1994","no degree/no degree yet","general elemantary","","","",""
"Big worries","1994","no degree/no degree yet","middle vocational","21","","",""
"Big worries","1994","no degree/no degree yet","vocational + Abi","","","",""
"Big worries","1994","no degree/no degree yet","higher vocational","2","","",""
"Big worries","1994","no degree/no degree yet","higher education","","","",""
"Some worries","1994","lower secondary degree","in school","","","",""
"Some worries","1994","lower secondary degree","inadequately","","","",""
"Some worries","1994","lower secondary degree","general elemantary","85","0.346066001247437","0.283488527042078","0.408643475452796"
"Some worries","1994","lower secondary degree","middle vocational","95","0.502514797454183","0.429674230960998","0.575355363947368"
"Some worries","1994","lower secondary degree","vocational + Abi","1","","",""
"Some worries","1994","lower secondary degree","higher vocational","5","","",""
"Some worries","1994","lower secondary degree","higher education","1","","",""
"Some worries","1994","secondary school degree","in school","","","",""
"Some worries","1994","secondary school degree","inadequately","","","",""
"Some worries","1994","secondary school degree","general elemantary","23","","",""
"Some worries","1994","secondary school degree","middle vocational","20","","",""
"Some worries","1994","secondary school degree","vocational + Abi","","","",""
"Some worries","1994","secondary school degree","higher vocational","2","","",""
"Some worries","1994","secondary school degree","higher education","2","","",""
"Some worries","1994","college entrance qualification","in school","","","",""
"Some worries","1994","college entrance qualification","inadequately","","","",""
"Some worries","1994","college entrance qualification","general elemantary","","","",""
"Some worries","1994","college entrance qualification","middle vocational","15","","",""
"Some worries","1994","college entrance qualification","vocational + Abi","7","","",""
"Some worries","1994","college entrance qualification","higher vocational","","","",""
"Some worries","1994","college entrance qualification","higher education","8","","",""
"Some worries","1994","Other degree","in school","","","",""
"Some worries","1994","Other degree","inadequately","3","","",""
"Some worries","1994","Other degree","general elemantary","173","0.358086388030889","0.313135365918598","0.403037410143179"
"Some worries","1994","Other degree","middle vocational","126","0.43488612364848","0.376400474994804","0.493371772302156"
"Some worries","1994","Other degree","vocational + Abi","25","","",""
"Some worries","1994","Other degree","higher vocational","1","","",""
"Some worries","1994","Other degree","higher education","12","","",""
"Some worries","1994","no degree/no degree yet","in school","19","","",""
"Some worries","1994","no degree/no degree yet","inadequately","203","0.441722083371911","0.396488876787231","0.486955289956592"
"Some worries","1994","no degree/no degree yet","general elemantary","","","",""
"Some worries","1994","no degree/no degree yet","middle vocational","20","","",""
"Some worries","1994","no degree/no degree yet","vocational + Abi","","","",""
"Some worries","1994","no degree/no degree yet","higher vocational","","","",""
"Some worries","1994","no degree/no degree yet","higher education","1","","",""
"No worries","1994","lower secondary degree","in school","","","",""
"No worries","1994","lower secondary degree","inadequately","","","",""
"No worries","1994","lower secondary degree","general elemantary","24","","",""
"No worries","1994","lower secondary degree","middle vocational","15","","",""
"No worries","1994","lower secondary degree","vocational + Abi","1","","",""
"No worries","1994","lower secondary degree","higher vocational","1","","",""
"No worries","1994","lower secondary degree","higher education","1","","",""
"No worries","1994","secondary school degree","in school","","","",""
"No worries","1994","secondary school degree","inadequately","","","",""
"No worries","1994","secondary school degree","general elemantary","7","","",""
"No worries","1994","secondary school degree","middle vocational","5","","",""
"No worries","1994","secondary school degree","vocational + Abi","","","",""
"No worries","1994","secondary school degree","higher vocational","","","",""
"No worries","1994","secondary school degree","higher education","","","",""
"No worries","1994","college entrance qualification","in school","","","",""
"No worries","1994","college entrance qualification","inadequately","","","",""
"No worries","1994","college entrance qualification","general elemantary","","","",""
"No worries","1994","college entrance qualification","middle vocational","3","","",""
"No worries","1994","college entrance qualification","vocational + Abi","2","","",""
"No worries","1994","college entrance qualification","higher vocational","","","",""
"No worries","1994","college entrance qualification","higher education","2","","",""
"No worries","1994","Other degree","in school","","","",""
"No worries","1994","Other degree","inadequately","","","",""
"No worries","1994","Other degree","general elemantary","61","0.131433368592092","0.0997550762563354","0.163111660927849"
"No worries","1994","Other degree","middle vocational","42","0.146499853812369","0.104782769650621","0.188216937974118"
"No worries","1994","Other degree","vocational + Abi","6","","",""
"No worries","1994","Other degree","higher vocational","","","",""
"No worries","1994","Other degree","higher education","3","","",""
"No worries","1994","no degree/no degree yet","in school","2","","",""
"No worries","1994","no degree/no degree yet","inadequately","52","0.0773058354831213","0.0529786077003728","0.10163306326587"
"No worries","1994","no degree/no degree yet","general elemantary","","","",""
"No worries","1994","no degree/no degree yet","middle vocational","9","","",""
"No worries","1994","no degree/no degree yet","vocational + Abi","","","",""
"No worries","1994","no degree/no degree yet","higher vocational","","","",""
"No worries","1994","no degree/no degree yet","higher education","","","",""
"Big worries","1995","lower secondary degree","in school","","","",""
"Big worries","1995","lower secondary degree","inadequately","","","",""
"Big worries","1995","lower secondary degree","general elemantary","88","0.546277287833902","0.476579035671397","0.615975539996407"
"Big worries","1995","lower secondary degree","middle vocational","67","0.396735347242338","0.32404481405443","0.469425880430246"
"Big worries","1995","lower secondary degree","vocational + Abi","2","","",""
"Big worries","1995","lower secondary degree","higher vocational","3","","",""
"Big worries","1995","lower secondary degree","higher education","","","",""
"Big worries","1995","secondary school degree","in school","","","",""
"Big worries","1995","secondary school degree","inadequately","","","",""
"Big worries","1995","secondary school degree","general elemantary","20","","",""
"Big worries","1995","secondary school degree","middle vocational","22","","",""
"Big worries","1995","secondary school degree","vocational + Abi","","","",""
"Big worries","1995","secondary school degree","higher vocational","2","","",""
"Big worries","1995","secondary school degree","higher education","1","","",""
"Big worries","1995","college entrance qualification","in school","","","",""
"Big worries","1995","college entrance qualification","inadequately","","","",""
"Big worries","1995","college entrance qualification","general elemantary","","","",""
"Big worries","1995","college entrance qualification","middle vocational","27","","",""
"Big worries","1995","college entrance qualification","vocational + Abi","3","","",""
"Big worries","1995","college entrance qualification","higher vocational","1","","",""
"Big worries","1995","college entrance qualification","higher education","4","","",""
"Big worries","1995","Other degree","in school","","","",""
"Big worries","1995","Other degree","inadequately","","","",""
"Big worries","1995","Other degree","general elemantary","165","0.471768938237839","0.4224142451975","0.521123631278179"
"Big worries","1995","Other degree","middle vocational","86","0.371491047833047","0.311473488876826","0.431508606789269"
"Big worries","1995","Other degree","vocational + Abi","22","","",""
"Big worries","1995","Other degree","higher vocational","1","","",""
"Big worries","1995","Other degree","higher education","8","","",""
"Big worries","1995","no degree/no degree yet","in school","22","","",""
"Big worries","1995","no degree/no degree yet","inadequately","173","0.448683607137505","0.400889761118341","0.496477453156668"
"Big worries","1995","no degree/no degree yet","general elemantary","","","",""
"Big worries","1995","no degree/no degree yet","middle vocational","15","","",""
"Big worries","1995","no degree/no degree yet","vocational + Abi","","","",""
"Big worries","1995","no degree/no degree yet","higher vocational","1","","",""
"Big worries","1995","no degree/no degree yet","higher education","","","",""
"Some worries","1995","lower secondary degree","in school","","","",""
"Some worries","1995","lower secondary degree","inadequately","","","",""
"Some worries","1995","lower secondary degree","general elemantary","85","0.353980540646628","0.287033320351648","0.420927760941608"
"Some worries","1995","lower secondary degree","middle vocational","90","0.536069283161025","0.461970599605282","0.610167966716769"
"Some worries","1995","lower secondary degree","vocational + Abi","3","","",""
"Some worries","1995","lower secondary degree","higher vocational","4","","",""
"Some worries","1995","lower secondary degree","higher education","3","","",""
"Some worries","1995","secondary school degree","in school","","","",""
"Some worries","1995","secondary school degree","inadequately","","","",""
"Some worries","1995","secondary school degree","general elemantary","29","","",""
"Some worries","1995","secondary school degree","middle vocational","30","0.473430094965021","0.342659522323263","0.604200667606779"
"Some worries","1995","secondary school degree","vocational + Abi","","","",""
"Some worries","1995","secondary school degree","higher vocational","1","","",""
"Some worries","1995","secondary school degree","higher education","","","",""
"Some worries","1995","college entrance qualification","in school","","","",""
"Some worries","1995","college entrance qualification","inadequately","","","",""
"Some worries","1995","college entrance qualification","general elemantary","","","",""
"Some worries","1995","college entrance qualification","middle vocational","16","","",""
"Some worries","1995","college entrance qualification","vocational + Abi","9","","",""
"Some worries","1995","college entrance qualification","higher vocational","1","","",""
"Some worries","1995","college entrance qualification","higher education","9","","",""
"Some worries","1995","Other degree","in school","","","",""
"Some worries","1995","Other degree","inadequately","1","","",""
"Some worries","1995","Other degree","general elemantary","173","0.3995744290581","0.351148244875646","0.448000613240553"
"Some worries","1995","Other degree","middle vocational","114","0.442849563866347","0.381152745927902","0.504546381804793"
"Some worries","1995","Other degree","vocational + Abi","18","","",""
"Some worries","1995","Other degree","higher vocational","","","",""
"Some worries","1995","Other degree","higher education","9","","",""
"Some worries","1995","no degree/no degree yet","in school","17","","",""
"Some worries","1995","no degree/no degree yet","inadequately","188","0.424326667286875","0.376832569204781","0.47182076536897"
"Some worries","1995","no degree/no degree yet","general elemantary","","","",""
"Some worries","1995","no degree/no degree yet","middle vocational","25","","",""
"Some worries","1995","no degree/no degree yet","vocational + Abi","","","",""
"Some worries","1995","no degree/no degree yet","higher vocational","1","","",""
"Some worries","1995","no degree/no degree yet","higher education","1","","",""
"No worries","1995","lower secondary degree","in school","","","",""
"No worries","1995","lower secondary degree","inadequately","","","",""
"No worries","1995","lower secondary degree","general elemantary","23","","",""
"No worries","1995","lower secondary degree","middle vocational","17","","",""
"No worries","1995","lower secondary degree","vocational + Abi","","","",""
"No worries","1995","lower secondary degree","higher vocational","","","",""
"No worries","1995","lower secondary degree","higher education","","","",""
"No worries","1995","secondary school degree","in school","","","",""
"No worries","1995","secondary school degree","inadequately","","","",""
"No worries","1995","secondary school degree","general elemantary","8","","",""
"No worries","1995","secondary school degree","middle vocational","4","","",""
"No worries","1995","secondary school degree","vocational + Abi","","","",""
"No worries","1995","secondary school degree","higher vocational","","","",""
"No worries","1995","secondary school degree","higher education","1","","",""
"No worries","1995","college entrance qualification","in school","","","",""
"No worries","1995","college entrance qualification","inadequately","","","",""
"No worries","1995","college entrance qualification","general elemantary","","","",""
"No worries","1995","college entrance qualification","middle vocational","6","","",""
"No worries","1995","college entrance qualification","vocational + Abi","5","","",""
"No worries","1995","college entrance qualification","higher vocational","","","",""
"No worries","1995","college entrance qualification","higher education","1","","",""
"No worries","1995","Other degree","in school","","","",""
"No worries","1995","Other degree","inadequately","1","","",""
"No worries","1995","Other degree","general elemantary","55","0.128656632704061","0.0955539972810073","0.161759268127115"
"No worries","1995","Other degree","middle vocational","49","0.185659388300605","0.1373635262861","0.23395525031511"
"No worries","1995","Other degree","vocational + Abi","11","","",""
"No worries","1995","Other degree","higher vocational","","","",""
"No worries","1995","Other degree","higher education","3","","",""
"No worries","1995","no degree/no degree yet","in school","3","","",""
"No worries","1995","no degree/no degree yet","inadequately","55","0.12698972557562","0.0949937471325905","0.158985704018649"
"No worries","1995","no degree/no degree yet","general elemantary","","","",""
"No worries","1995","no degree/no degree yet","middle vocational","5","","",""
"No worries","1995","no degree/no degree yet","vocational + Abi","","","",""
"No worries","1995","no degree/no degree yet","higher vocational","","","",""
"No worries","1995","no degree/no degree yet","higher education","","","",""
"Big worries","1996","lower secondary degree","in school","","","",""
"Big worries","1996","lower secondary degree","inadequately","","","",""
"Big worries","1996","lower secondary degree","general elemantary","484","0.33783874299103","0.313586071027606","0.362091414954454"
"Big worries","1996","lower secondary degree","middle vocational","1073","0.322020423063951","0.306223814785597","0.337817031342304"
"Big worries","1996","lower secondary degree","vocational + Abi","8","","",""
"Big worries","1996","lower secondary degree","higher vocational","78","0.28348255322877","0.230312131787601","0.336652974669939"
"Big worries","1996","lower secondary degree","higher education","29","","",""
"Big worries","1996","secondary school degree","in school","","","",""
"Big worries","1996","secondary school degree","inadequately","","","",""
"Big worries","1996","secondary school degree","general elemantary","142","0.295952551230976","0.254463488568966","0.337441613892986"
"Big worries","1996","secondary school degree","middle vocational","587","0.258867856623407","0.240769309181631","0.276966404065184"
"Big worries","1996","secondary school degree","vocational + Abi","","","",""
"Big worries","1996","secondary school degree","higher vocational","103","0.296683534057484","0.248759044938387","0.344608023176581"
"Big worries","1996","secondary school degree","higher education","94","0.191623787435327","0.156303813528704","0.22694376134195"
"Big worries","1996","college entrance qualification","in school","","","",""
"Big worries","1996","college entrance qualification","inadequately","","","",""
"Big worries","1996","college entrance qualification","general elemantary","","","",""
"Big worries","1996","college entrance qualification","middle vocational","92","0.28146524435784","0.234551832821263","0.328378655894416"
"Big worries","1996","college entrance qualification","vocational + Abi","89","0.251244403995052","0.206189576485118","0.296299231504985"
"Big worries","1996","college entrance qualification","higher vocational","31","0.270406354883824","0.190602553601448","0.350210156166201"
"Big worries","1996","college entrance qualification","higher education","231","0.210413284788458","0.185887275209152","0.234939294367764"
"Big worries","1996","Other degree","in school","","","",""
"Big worries","1996","Other degree","inadequately","8","","",""
"Big worries","1996","Other degree","general elemantary","180","0.437952960595493","0.392113246562674","0.483792674628312"
"Big worries","1996","Other degree","middle vocational","153","0.366738921956581","0.321029676370451","0.412448167542711"
"Big worries","1996","Other degree","vocational + Abi","31","0.342502642859137","0.249493196280161","0.435512089438113"
"Big worries","1996","Other degree","higher vocational","2","","",""
"Big worries","1996","Other degree","higher education","25","","",""
"Big worries","1996","no degree/no degree yet","in school","80","0.290865465621845","0.237574156673179","0.34415677457051"
"Big worries","1996","no degree/no degree yet","inadequately","177","0.43721596870708","0.391687340978566","0.482744596435593"
"Big worries","1996","no degree/no degree yet","general elemantary","","","",""
