"plj0047","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1994","Part Time","(2a) intermediate vocational","5","","",""
"Big worries","1994","Part Time","(2c_gen) general maturity certificate","5","","",""
"Big worries","1994","Part Time","(2c_voc) vocational maturity certificate","4","","",""
"Big worries","1994","Part Time","(3a) lower tertiary education","1","","",""
"Big worries","1994","Part Time","(3b) higher tertiary education","2","","",""
"Big worries","1994","Not Working","(0) in school","26","","",""
"Big worries","1994","Not Working","(1a) inadequately completed","113","0.532592280837521","0.467686924816333","0.597497636858709"
"Big worries","1994","Not Working","(1b) general elementary school","91","0.494205687638242","0.422927273390471","0.565484101886014"
"Big worries","1994","Not Working","(1c) basic vocational qualification","31","0.426804278433662","0.314864791630105","0.53874376523722"
"Big worries","1994","Not Working","(2b) intermediate general qualification","15","","",""
"Big worries","1994","Not Working","(2a) intermediate vocational","2","","",""
"Big worries","1994","Not Working","(2c_gen) general maturity certificate","23","","",""
"Big worries","1994","Not Working","(2c_voc) vocational maturity certificate","16","","",""
"Big worries","1994","Not Working","(3a) lower tertiary education","1","","",""
"Big worries","1994","Not Working","(3b) higher tertiary education","1","","",""
"Some worries","1994","Full Time","(0) in school","","","",""
"Some worries","1994","Full Time","(1a) inadequately completed","97","0.475500456917204","0.407468816242033","0.543532097592375"
"Some worries","1994","Full Time","(1b) general elementary school","141","0.399594175388167","0.347453066286087","0.451735284490246"
"Some worries","1994","Full Time","(1c) basic vocational qualification","136","0.477452309050772","0.418842007627651","0.536062610473893"
"Some worries","1994","Full Time","(2b) intermediate general qualification","10","","",""
"Some worries","1994","Full Time","(2a) intermediate vocational","16","","",""
"Some worries","1994","Full Time","(2c_gen) general maturity certificate","20","","",""
"Some worries","1994","Full Time","(2c_voc) vocational maturity certificate","17","","",""
"Some worries","1994","Full Time","(3a) lower tertiary education","3","","",""
"Some worries","1994","Full Time","(3b) higher tertiary education","14","","",""
"Some worries","1994","Part Time","(0) in school","","","",""
"Some worries","1994","Part Time","(1a) inadequately completed","37","0.439869931822128","0.335567353072399","0.544172510571856"
"Some worries","1994","Part Time","(1b) general elementary school","51","0.329792124353742","0.250190744626172","0.409393504081311"
"Some worries","1994","Part Time","(1c) basic vocational qualification","23","","",""
"Some worries","1994","Part Time","(2b) intermediate general qualification","6","","",""
"Some worries","1994","Part Time","(2a) intermediate vocational","2","","",""
"Some worries","1994","Part Time","(2c_gen) general maturity certificate","10","","",""
"Some worries","1994","Part Time","(2c_voc) vocational maturity certificate","7","","",""
"Some worries","1994","Part Time","(3a) lower tertiary education","2","","",""
"Some worries","1994","Part Time","(3b) higher tertiary education","1","","",""
"Some worries","1994","Not Working","(0) in school","19","","",""
"Some worries","1994","Not Working","(1a) inadequately completed","92","0.398190270476707","0.334509239357629","0.461871301595784"
"Some worries","1994","Not Working","(1b) general elementary school","69","0.328824949343344","0.261849216858217","0.395800681828471"
"Some worries","1994","Not Working","(1c) basic vocational qualification","33","0.439626841483301","0.327296204419481","0.551957478547122"
"Some worries","1994","Not Working","(2b) intermediate general qualification","7","","",""
"Some worries","1994","Not Working","(2a) intermediate vocational","3","","",""
"Some worries","1994","Not Working","(2c_gen) general maturity certificate","20","","",""
"Some worries","1994","Not Working","(2c_voc) vocational maturity certificate","10","","",""
"Some worries","1994","Not Working","(3a) lower tertiary education","1","","",""
"Some worries","1994","Not Working","(3b) higher tertiary education","3","","",""
"No worries","1994","Full Time","(0) in school","","","",""
"No worries","1994","Full Time","(1a) inadequately completed","34","0.112916240428372","0.0698017321445538","0.156030748712191"
"No worries","1994","Full Time","(1b) general elementary school","43","0.105783065098897","0.0730431340489024","0.138522996148892"
"No worries","1994","Full Time","(1c) basic vocational qualification","41","0.145103634057554","0.103775873798817","0.186431394316292"
"No worries","1994","Full Time","(2b) intermediate general qualification","4","","",""
"No worries","1994","Full Time","(2a) intermediate vocational","1","","",""
"No worries","1994","Full Time","(2c_gen) general maturity certificate","2","","",""
"No worries","1994","Full Time","(2c_voc) vocational maturity certificate","3","","",""
"No worries","1994","Full Time","(3a) lower tertiary education","2","","",""
"No worries","1994","Full Time","(3b) higher tertiary education","1","","",""
"No worries","1994","Part Time","(0) in school","","","",""
"No worries","1994","Part Time","(1a) inadequately completed","5","","",""
"No worries","1994","Part Time","(1b) general elementary school","13","","",""
"No worries","1994","Part Time","(1c) basic vocational qualification","5","","",""
"No worries","1994","Part Time","(2b) intermediate general qualification","2","","",""
"No worries","1994","Part Time","(2a) intermediate vocational","2","","",""
"No worries","1994","Part Time","(2c_gen) general maturity certificate","","","",""
"No worries","1994","Part Time","(2c_voc) vocational maturity certificate","5","","",""
"No worries","1994","Part Time","(3a) lower tertiary education","","","",""
"No worries","1994","Part Time","(3b) higher tertiary education","2","","",""
"No worries","1994","Not Working","(0) in school","2","","",""
"No worries","1994","Not Working","(1a) inadequately completed","22","","",""
"No worries","1994","Not Working","(1b) general elementary school","29","","",""
"No worries","1994","Not Working","(1c) basic vocational qualification","11","","",""
"No worries","1994","Not Working","(2b) intermediate general qualification","1","","",""
"No worries","1994","Not Working","(2a) intermediate vocational","1","","",""
"No worries","1994","Not Working","(2c_gen) general maturity certificate","3","","",""
"No worries","1994","Not Working","(2c_voc) vocational maturity certificate","1","","",""
"No worries","1994","Not Working","(3a) lower tertiary education","","","",""
"No worries","1994","Not Working","(3b) higher tertiary education","1","","",""
"Big worries","1995","Full Time","(0) in school","","","",""
"Big worries","1995","Full Time","(1a) inadequately completed","54","0.337461472743758","0.265746882190403","0.409176063297113"
"Big worries","1995","Full Time","(1b) general elementary school","120","0.462171416338768","0.404888505634115","0.519454327043422"
"Big worries","1995","Full Time","(1c) basic vocational qualification","83","0.394280269092654","0.33084671426307","0.457713823922237"
"Big worries","1995","Full Time","(2b) intermediate general qualification","4","","",""
"Big worries","1995","Full Time","(2a) intermediate vocational","18","","",""
"Big worries","1995","Full Time","(2c_gen) general maturity certificate","14","","",""
"Big worries","1995","Full Time","(2c_voc) vocational maturity certificate","12","","",""
"Big worries","1995","Full Time","(3a) lower tertiary education","1","","",""
"Big worries","1995","Full Time","(3b) higher tertiary education","7","","",""
"Big worries","1995","Part Time","(0) in school","","","",""
"Big worries","1995","Part Time","(1a) inadequately completed","37","0.491172194108606","0.383621962656683","0.59872242556053"
"Big worries","1995","Part Time","(1b) general elementary school","43","0.439892063059689","0.345398095376252","0.534386030743126"
"Big worries","1995","Part Time","(1c) basic vocational qualification","25","","",""
"Big worries","1995","Part Time","(2b) intermediate general qualification","7","","",""
"Big worries","1995","Part Time","(2a) intermediate vocational","3","","",""
"Big worries","1995","Part Time","(2c_gen) general maturity certificate","8","","",""
"Big worries","1995","Part Time","(2c_voc) vocational maturity certificate","6","","",""
"Big worries","1995","Part Time","(3a) lower tertiary education","1","","",""
"Big worries","1995","Part Time","(3b) higher tertiary education","3","","",""
"Big worries","1995","Not Working","(0) in school","22","","",""
"Big worries","1995","Not Working","(1a) inadequately completed","102","0.514132306632228","0.447937717295395","0.58032689596906"
"Big worries","1995","Not Working","(1b) general elementary school","90","0.562719994600445","0.492917135857222","0.632522853343668"
"Big worries","1995","Not Working","(1c) basic vocational qualification","34","0.396835866955301","0.289628085059072","0.50404364885153"
"Big worries","1995","Not Working","(2b) intermediate general qualification","9","","",""
"Big worries","1995","Not Working","(2a) intermediate vocational","2","","",""
"Big worries","1995","Not Working","(2c_gen) general maturity certificate","20","","",""
"Big worries","1995","Not Working","(2c_voc) vocational maturity certificate","11","","",""
"Big worries","1995","Not Working","(3a) lower tertiary education","","","",""
"Big worries","1995","Not Working","(3b) higher tertiary education","1","","",""
"Some worries","1995","Full Time","(0) in school","","","",""
"Some worries","1995","Full Time","(1a) inadequately completed","89","0.510405119829815","0.434588258710784","0.586221980948846"
"Some worries","1995","Full Time","(1b) general elementary school","132","0.402406334285124","0.346063720111601","0.458748948458647"
"Some worries","1995","Full Time","(1c) basic vocational qualification","108","0.455313947983683","0.39067276854452","0.519955127422846"
"Some worries","1995","Full Time","(2b) intermediate general qualification","8","","",""
"Some worries","1995","Full Time","(2a) intermediate vocational","21","","",""
"Some worries","1995","Full Time","(2c_gen) general maturity certificate","16","","",""
"Some worries","1995","Full Time","(2c_voc) vocational maturity certificate","15","","",""
"Some worries","1995","Full Time","(3a) lower tertiary education","5","","",""
"Some worries","1995","Full Time","(3b) higher tertiary education","9","","",""
"Some worries","1995","Part Time","(0) in school","","","",""
"Some worries","1995","Part Time","(1a) inadequately completed","34","0.370903690491497","0.266983917143037","0.474823463839956"
"Some worries","1995","Part Time","(1b) general elementary school","46","0.427151281963976","0.332982709203797","0.521319854724154"
"Some worries","1995","Part Time","(1c) basic vocational qualification","38","0.502159726773166","0.389002209008638","0.615317244537693"
"Some worries","1995","Part Time","(2b) intermediate general qualification","11","","",""
"Some worries","1995","Part Time","(2a) intermediate vocational","5","","",""
"Some worries","1995","Part Time","(2c_gen) general maturity certificate","10","","",""
"Some worries","1995","Part Time","(2c_voc) vocational maturity certificate","7","","",""
"Some worries","1995","Part Time","(3a) lower tertiary education","3","","",""
"Some worries","1995","Part Time","(3b) higher tertiary education","3","","",""
"Some worries","1995","Not Working","(0) in school","17","","",""
"Some worries","1995","Not Working","(1a) inadequately completed","93","0.390608871447154","0.325992115794317","0.455225627099991"
"Some worries","1995","Not Working","(1b) general elementary school","81","0.341879630847664","0.275131900074893","0.408627361620436"
"Some worries","1995","Not Working","(1c) basic vocational qualification","36","0.475977581118698","0.366538791769125","0.585416370468272"
"Some worries","1995","Not Working","(2b) intermediate general qualification","10","","",""
"Some worries","1995","Not Working","(2a) intermediate vocational","3","","",""
"Some worries","1995","Not Working","(2c_gen) general maturity certificate","18","","",""
"Some worries","1995","Not Working","(2c_voc) vocational maturity certificate","9","","",""
"Some worries","1995","Not Working","(3a) lower tertiary education","","","",""
"Some worries","1995","Not Working","(3b) higher tertiary education","2","","",""
"No worries","1995","Full Time","(0) in school","","","",""
"No worries","1995","Full Time","(1a) inadequately completed","24","","",""
"No worries","1995","Full Time","(1b) general elementary school","39","0.135422249376107","0.0961081224328918","0.174736376319323"
"No worries","1995","Full Time","(1c) basic vocational qualification","37","0.150405782923663","0.104005705130572","0.196805860716754"
"No worries","1995","Full Time","(2b) intermediate general qualification","4","","",""
"No worries","1995","Full Time","(2a) intermediate vocational","","","",""
"No worries","1995","Full Time","(2c_gen) general maturity certificate","4","","",""
"No worries","1995","Full Time","(2c_voc) vocational maturity certificate","12","","",""
"No worries","1995","Full Time","(3a) lower tertiary education","1","","",""
"No worries","1995","Full Time","(3b) higher tertiary education","2","","",""
"No worries","1995","Part Time","(0) in school","","","",""
"No worries","1995","Part Time","(1a) inadequately completed","12","","",""
"No worries","1995","Part Time","(1b) general elementary school","17","","",""
"No worries","1995","Part Time","(1c) basic vocational qualification","12","","",""
"No worries","1995","Part Time","(2b) intermediate general qualification","3","","",""
"No worries","1995","Part Time","(2a) intermediate vocational","2","","",""
"No worries","1995","Part Time","(2c_gen) general maturity certificate","3","","",""
"No worries","1995","Part Time","(2c_voc) vocational maturity certificate","3","","",""
"No worries","1995","Part Time","(3a) lower tertiary education","1","","",""
"No worries","1995","Part Time","(3b) higher tertiary education","","","",""
"No worries","1995","Not Working","(0) in school","3","","",""
"No worries","1995","Not Working","(1a) inadequately completed","24","","",""
"No worries","1995","Not Working","(1b) general elementary school","23","","",""
"No worries","1995","Not Working","(1c) basic vocational qualification","10","","",""
"No worries","1995","Not Working","(2b) intermediate general qualification","1","","",""
"No worries","1995","Not Working","(2a) intermediate vocational","2","","",""
"No worries","1995","Not Working","(2c_gen) general maturity certificate","6","","",""
"No worries","1995","Not Working","(2c_voc) vocational maturity certificate","1","","",""
"No worries","1995","Not Working","(3a) lower tertiary education","","","",""
"No worries","1995","Not Working","(3b) higher tertiary education","1","","",""
"Big worries","1996","Full Time","(0) in school","","","",""
"Big worries","1996","Full Time","(1a) inadequately completed","60","0.453466134230469","0.377274526933288","0.52965774152765"
"Big worries","1996","Full Time","(1b) general elementary school","189","0.371377795881776","0.329688355451775","0.413067236311778"
"Big worries","1996","Full Time","(1c) basic vocational qualification","530","0.306009373363102","0.284031916648832","0.327986830077373"
"Big worries","1996","Full Time","(2b) intermediate general qualification","55","0.271915295683021","0.205803151960404","0.338027439405638"
"Big worries","1996","Full Time","(2a) intermediate vocational","389","0.239028939210892","0.217496125780238","0.260561752641545"
"Big worries","1996","Full Time","(2c_gen) general maturity certificate","32","0.300095602607655","0.215595342429622","0.384595862785689"
"Big worries","1996","Full Time","(2c_voc) vocational maturity certificate","75","0.238960232903482","0.191716694875129","0.286203770931836"
"Big worries","1996","Full Time","(3a) lower tertiary education","108","0.180596308082802","0.14824055084193","0.212952065323675"
"Big worries","1996","Full Time","(3b) higher tertiary education","105","0.171381133199265","0.139268259676618","0.203494006721913"
"Big worries","1996","Part Time","(0) in school","1","","",""
"Big worries","1996","Part Time","(1a) inadequately completed","50","0.429046471302526","0.344291537087769","0.513801405517282"
"Big worries","1996","Part Time","(1b) general elementary school","126","0.332103433469715","0.285716914098858","0.378489952840572"
"Big worries","1996","Part Time","(1c) basic vocational qualification","229","0.302861446895691","0.269619870733968","0.336103023057414"
"Big worries","1996","Part Time","(2b) intermediate general qualification","39","0.308449201548707","0.228438703295026","0.388459699802388"
"Big worries","1996","Part Time","(2a) intermediate vocational","154","0.278730023563139","0.242333943080534","0.315126104045744"
"Big worries","1996","Part Time","(2c_gen) general maturity certificate","37","0.337239883943324","0.2568928371204","0.417586930766249"
