"plj0047","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Some worries","1996","Rhineland-Palatinate,Saarland","350","0.507706900316535","0.470295458982506","0.545118341650565"
"Some worries","1996","Baden-Württemberg","916","0.542311205610724","0.518649273934277","0.565973137287171"
"Some worries","1996","Bavaria","863","0.518823178477935","0.494648771177421","0.542997585778449"
"Some worries","1996","Berlin","248","0.447958492538013","0.405976943202903","0.489940041873123"
"Some worries","1996","Brandenburg","320","0.533919383978637","0.493836591252673","0.574002176704601"
"Some worries","1996","Mecklenburg-Western Pomerania","220","0.586994383769322","0.538065169455376","0.635923598083267"
"Some worries","1996","Saxony","593","0.517991235271631","0.488422452237874","0.547560018305389"
"Some worries","1996","Saxony-Anhalt","356","0.516011554439932","0.478227316756188","0.553795792123676"
"Some worries","1996","Thuringia","338","0.503977577137874","0.46559973474413","0.542355419531618"
"No worries","1996","Schleswig-Holstein","56","0.182194717788697","0.137142478371508","0.227246957205886"
"No worries","1996","Hamburg","32","0.276645764600283","0.198536896272112","0.354754632928454"
"No worries","1996","Lower Saxony","150","0.15794510512437","0.135695027504234","0.180195182744506"
"No worries","1996","Bremen","","","",""
"No worries","1996","North Rhine-Westphalia","315","0.126059457837511","0.113123388426085","0.138995527248937"
"No worries","1996","Hesse","181","0.221165121396824","0.194080308646612","0.248249934147036"
"No worries","1996","Rhineland-Palatinate,Saarland","137","0.203184126794611","0.173074185407989","0.233294068181232"
"No worries","1996","Baden-Württemberg","267","0.164979658154723","0.147351599193451","0.182607717115994"
"No worries","1996","Bavaria","255","0.152303722245442","0.134918942319886","0.169688502170999"
"No worries","1996","Berlin","121","0.251133492575984","0.214522775908364","0.287744209243604"
"No worries","1996","Brandenburg","125","0.200695924515547","0.168513786088553","0.23287806294254"
"No worries","1996","Mecklenburg-Western Pomerania","71","0.179265101195799","0.141147758564127","0.21738244382747"
"No worries","1996","Saxony","233","0.230243886407134","0.205331495819943","0.255156276994324"
"No worries","1996","Saxony-Anhalt","115","0.182174676887158","0.152991152733382","0.211358201040934"
"No worries","1996","Thuringia","126","0.199930650868462","0.169231398471126","0.230629903265799"
"Big worries","1997","Schleswig-Holstein","69","0.288418458738563","0.234078873017552","0.342758044459575"
"Big worries","1997","Hamburg","35","0.280013070007367","0.200338517378339","0.359687622636395"
"Big worries","1997","Lower Saxony","321","0.320370621482053","0.291901723494712","0.348839519469394"
"Big worries","1997","Bremen","41","0.451459286985013","0.348648054527433","0.554270519442594"
"Big worries","1997","North Rhine-Westphalia","820","0.310606074098286","0.292470556978548","0.328741591218025"
"Big worries","1997","Hesse","262","0.338433884017268","0.30653002023602","0.370337747798517"
"Big worries","1997","Rhineland-Palatinate,Saarland","189","0.2559297050616","0.223740290953749","0.288119119169451"
"Big worries","1997","Baden-Württemberg","577","0.328943891527987","0.306675422203219","0.351212360852755"
"Big worries","1997","Bavaria","499","0.325209290867092","0.302404683305469","0.348013898428715"
"Big worries","1997","Berlin","160","0.301867506964123","0.261907898773479","0.341827115154767"
"Big worries","1997","Brandenburg","163","0.266443463257493","0.230890631370453","0.301996295144533"
"Big worries","1997","Mecklenburg-Western Pomerania","104","0.287293704784336","0.242093950011898","0.332493459556774"
"Big worries","1997","Saxony","288","0.257177745548547","0.231122546835098","0.283232944261996"
"Big worries","1997","Saxony-Anhalt","191","0.291152810217107","0.256520284499466","0.325785335934748"
"Big worries","1997","Thuringia","183","0.290266447530041","0.255665065252653","0.324867829807428"
"Some worries","1997","Schleswig-Holstein","126","0.448002989343132","0.388354248660366","0.507651730025898"
"Some worries","1997","Hamburg","58","0.45602621365589","0.36764660675527","0.54440582055651"
"Some worries","1997","Lower Saxony","551","0.504402225786851","0.473897901222595","0.534906550351107"
"Some worries","1997","Bremen","33","0.363872306100599","0.264475257418989","0.463269354782208"
"Some worries","1997","North Rhine-Westphalia","1344","0.55137783314948","0.531885839524841","0.570869826774119"
"Some worries","1997","Hesse","430","0.462582014802709","0.428964143796191","0.496199885809227"
"Some worries","1997","Rhineland-Palatinate,Saarland","329","0.465857702230848","0.429061680574297","0.502653723887398"
"Some worries","1997","Baden-Württemberg","846","0.504754136878197","0.481056752794489","0.528451520961906"
"Some worries","1997","Bavaria","849","0.496709209196599","0.472369399321522","0.521049019071677"
"Some worries","1997","Berlin","255","0.505914650332509","0.462395167310264","0.549434133354755"
"Some worries","1997","Brandenburg","314","0.530732420688319","0.490599297981573","0.570865543395065"
"Some worries","1997","Mecklenburg-Western Pomerania","200","0.527127268094138","0.47725632245911","0.576998213729165"
"Some worries","1997","Saxony","565","0.54152671160424","0.511823582368051","0.571229840840428"
"Some worries","1997","Saxony-Anhalt","334","0.50274980633033","0.464633500953208","0.540866111707451"
"Some worries","1997","Thuringia","350","0.533913176828757","0.495884072803716","0.571942280853797"
"No worries","1997","Schleswig-Holstein","72","0.263578551918305","0.210732723720261","0.316424380116349"
"No worries","1997","Hamburg","","","",""
"No worries","1997","Lower Saxony","160","0.175227152731096","0.152033127679453","0.19842117778274"
"No worries","1997","Bremen","","","",""
"No worries","1997","North Rhine-Westphalia","337","0.138016092752234","0.124498302973396","0.151533882531071"
"No worries","1997","Hesse","153","0.198984101180023","0.17206568561339","0.225902516746655"
"No worries","1997","Rhineland-Palatinate,Saarland","188","0.278212592707552","0.245157469315925","0.31126771609918"
"No worries","1997","Baden-Württemberg","287","0.166301971593816","0.148653661661555","0.183950281526076"
"No worries","1997","Bavaria","273","0.178081499936308","0.159457182553095","0.196705817319522"
"No worries","1997","Berlin","92","0.192217842703368","0.157918319043382","0.226517366363354"
"No worries","1997","Brandenburg","117","0.202824116054187","0.170487710687075","0.2351605214213"
"No worries","1997","Mecklenburg-Western Pomerania","81","0.185579027121526","0.146745517013101","0.224412537229952"
"No worries","1997","Saxony","228","0.201295542847213","0.177392929990582","0.225198155703844"
"No worries","1997","Saxony-Anhalt","136","0.206097383452563","0.175260731642558","0.236934035262568"
"No worries","1997","Thuringia","128","0.175820375641203","0.146800676885745","0.20484007439666"
"Big worries","1998","Schleswig-Holstein","88","0.264409871804685","0.218007505025451","0.310812238583918"
"Big worries","1998","Hamburg","","","",""
"Big worries","1998","Lower Saxony","402","0.342688426887301","0.315677399399337","0.369699454375265"
"Big worries","1998","Bremen","42","0.462927433676626","0.364706640370068","0.561148226983184"
"Big worries","1998","North Rhine-Westphalia","909","0.317915967526846","0.300670830536659","0.335161104517034"
"Big worries","1998","Hesse","323","0.336805673775538","0.306624735292575","0.366986612258501"
"Big worries","1998","Rhineland-Palatinate,Saarland","225","0.286862547984369","0.25548130124111","0.318243794727628"
"Big worries","1998","Baden-Württemberg","515","0.307382535371775","0.286119996482596","0.328645074260954"
"Big worries","1998","Bavaria","584","0.316944174500357","0.295672835735226","0.338215513265487"
"Big worries","1998","Berlin","181","0.317138647965576","0.276947044913004","0.357330251018147"
"Big worries","1998","Brandenburg","174","0.324802492475714","0.287881025746056","0.361723959205372"
"Big worries","1998","Mecklenburg-Western Pomerania","94","0.254519079731581","0.212096310174472","0.296941849288691"
"Big worries","1998","Saxony","310","0.249467519538725","0.22465228296026","0.274282756117191"
"Big worries","1998","Saxony-Anhalt","184","0.297219592960008","0.262943897195392","0.331495288724625"
"Big worries","1998","Thuringia","211","0.316513926255537","0.282680885855197","0.350346966655877"
"Some worries","1998","Schleswig-Holstein","160","0.457278948647989","0.404863139829288","0.509694757466689"
"Some worries","1998","Hamburg","77","0.518610265765338","0.437283583259493","0.599936948271182"
"Some worries","1998","Lower Saxony","609","0.501338580868243","0.472882558438481","0.529794603298006"
"Some worries","1998","Bremen","43","0.399551536380346","0.303067655198238","0.496035417562455"
"Some worries","1998","North Rhine-Westphalia","1462","0.530055970675284","0.511572842716068","0.5485390986345"
"Some worries","1998","Hesse","429","0.47109007409305","0.43921395247236","0.502966195713741"
"Some worries","1998","Rhineland-Palatinate,Saarland","416","0.522406368351461","0.487750232275022","0.5570625044279"
"Some worries","1998","Baden-Württemberg","963","0.524371736705164","0.501358257953324","0.547385215457004"
"Some worries","1998","Bavaria","953","0.502860149709937","0.480002149295122","0.525718150124752"
"Some worries","1998","Berlin","224","0.43757533822933","0.394730049583943","0.480420626874717"
"Some worries","1998","Brandenburg","293","0.447975424768198","0.408768736957202","0.487182112579194"
"Some worries","1998","Mecklenburg-Western Pomerania","239","0.554556533877248","0.50615158239028","0.602961485364216"
"Some worries","1998","Saxony","576","0.506639079738573","0.47796705349672","0.535311105980426"
"Some worries","1998","Saxony-Anhalt","330","0.484616444929125","0.447136228391143","0.522096661467106"
"Some worries","1998","Thuringia","387","0.526046496796845","0.489725336326243","0.562367657267448"
"No worries","1998","Schleswig-Holstein","99","0.278311179547327","0.231156622620754","0.3254657364739"
"No worries","1998","Hamburg","39","0.307925618539095","0.232786968566382","0.383064268511808"
"No worries","1998","Lower Saxony","175","0.155972992244456","0.135323535985624","0.176622448503287"
"No worries","1998","Bremen","","","",""
"No worries","1998","North Rhine-Westphalia","430","0.15202806179787","0.138731353045067","0.165324770550673"
"No worries","1998","Hesse","190","0.192104252131412","0.166946676341171","0.217261827921652"
"No worries","1998","Rhineland-Palatinate,Saarland","157","0.19073108366417","0.16347246693222","0.21798970039612"
"No worries","1998","Baden-Württemberg","331","0.168245727923061","0.151007272489719","0.185484183356403"
"No worries","1998","Bavaria","301","0.180195675789706","0.162624427227356","0.197766924352056"
"No worries","1998","Berlin","110","0.245286013805094","0.208126324994402","0.282445702615786"
"No worries","1998","Brandenburg","151","0.227222082756088","0.19418463622381","0.260259529288366"
"No worries","1998","Mecklenburg-Western Pomerania","72","0.190924386391171","0.152646686174681","0.22920208660766"
"No worries","1998","Saxony","282","0.243893400722702","0.219266020893316","0.268520780552087"
"No worries","1998","Saxony-Anhalt","169","0.218163962110867","0.187190690014151","0.249137234207583"
"No worries","1998","Thuringia","128","0.157439576947618","0.130946203245524","0.183932950649712"
"Big worries","1999","Schleswig-Holstein","75","0.245510293386188","0.198933168018371","0.292087418754004"
"Big worries","1999","Hamburg","43","0.364985576476238","0.285238693089908","0.444732459862568"
"Big worries","1999","Lower Saxony","407","0.348289919428295","0.320990536407016","0.375589302449575"
"Big worries","1999","Bremen","41","0.461377619332154","0.356626439269116","0.566128799395193"
"Big worries","1999","North Rhine-Westphalia","864","0.316569549897746","0.299018267657481","0.334120832138012"
"Big worries","1999","Hesse","247","0.262227917493665","0.233411688609444","0.291044146377885"
"Big worries","1999","Rhineland-Palatinate,Saarland","203","0.263906068195474","0.232774999098409","0.295037137292538"
"Big worries","1999","Baden-Württemberg","548","0.326220909204098","0.304147802063266","0.34829401634493"
"Big worries","1999","Bavaria","445","0.252425576237296","0.232346342148547","0.272504810326044"
"Big worries","1999","Berlin","187","0.354592732507445","0.313235794929362","0.395949670085528"
"Big worries","1999","Brandenburg","181","0.312852779270304","0.275722382874562","0.349983175666047"
"Big worries","1999","Mecklenburg-Western Pomerania","96","0.269170766813419","0.225759965150686","0.312581568476152"
"Big worries","1999","Saxony","343","0.306032858143169","0.279467072926768","0.33259864335957"
"Big worries","1999","Saxony-Anhalt","214","0.311610776620807","0.277077933702075","0.346143619539539"
"Big worries","1999","Thuringia","190","0.269060540998294","0.236712707315629","0.301408374680959"
"Some worries","1999","Schleswig-Holstein","193","0.580696783539243","0.527295711417768","0.634097855660717"
"Some worries","1999","Hamburg","77","0.461282105951582","0.378707201900585","0.543857010002578"
"Some worries","1999","Lower Saxony","607","0.500518370939275","0.471868350833061","0.529168391045489"
"Some worries","1999","Bremen","42","0.462006293927864","0.357244962770943","0.566767625084785"
"Some worries","1999","North Rhine-Westphalia","1476","0.551431946144963","0.532665274731666","0.57019861755826"
"Some worries","1999","Hesse","496","0.546968123683365","0.514355783605677","0.579580463761052"
"Some worries","1999","Rhineland-Palatinate,Saarland","409","0.540368822561039","0.505168016357683","0.575569628764396"
"Some worries","1999","Baden-Württemberg","929","0.535887211020792","0.512407255278741","0.559367166762842"
"Some worries","1999","Bavaria","1007","0.55483677095087","0.531864945531697","0.577808596370043"
"Some worries","1999","Berlin","264","0.504827924474387","0.461604786909544","0.548051062039229"
"Some worries","1999","Brandenburg","342","0.571612284109226","0.531984119262729","0.611240448955724"
"Some worries","1999","Mecklenburg-Western Pomerania","257","0.613383029077636","0.565719934102403","0.661046124052868"
"Some worries","1999","Saxony","646","0.529993192737216","0.501222097557159","0.558764287917274"
"Some worries","1999","Saxony-Anhalt","369","0.522514510075955","0.485272052287212","0.559756967864698"
"Some worries","1999","Thuringia","444","0.592190804766431","0.556344959231061","0.6280366503018"
"No worries","1999","Schleswig-Holstein","60","0.17379292307457","0.132784632289452","0.214801213859688"
"No worries","1999","Hamburg","","","",""
"No worries","1999","Lower Saxony","156","0.15119170963243","0.130664781799083","0.171718637465777"
"No worries","1999","Bremen","","","",""
"No worries","1999","North Rhine-Westphalia","358","0.131998503957291","0.119226123114324","0.144770884800258"
"No worries","1999","Hesse","152","0.190803958822971","0.165061078440402","0.216546839205539"
"No worries","1999","Rhineland-Palatinate,Saarland","158","0.195725109243487","0.167701229821384","0.22374898866559"
"No worries","1999","Baden-Württemberg","256","0.13789187977511","0.121658870994808","0.154124888555413"
"No worries","1999","Bavaria","346","0.192737652811834","0.17450525121116","0.210970054412508"
"No worries","1999","Berlin","63","0.140579343018169","0.1105303321848","0.170628353851537"
"No worries","1999","Brandenburg","76","0.115534936620469","0.0899354246225483","0.14113444861839"
"No worries","1999","Mecklenburg-Western Pomerania","48","0.117446204108945","0.0859349280277845","0.148957480190106"
"No worries","1999","Saxony","167","0.163973949119615","0.142630406417455","0.185317491821775"
"No worries","1999","Saxony-Anhalt","108","0.165874713303238","0.13814056691669","0.193608859689786"
"No worries","1999","Thuringia","88","0.138748654235275","0.113533662001493","0.163963646469058"
"Big worries","2000","Schleswig-Holstein","157","0.237034554577132","0.205643074126314","0.26842603502795"
"Big worries","2000","Hamburg","121","0.412800302755228","0.356712923117634","0.468887682392822"
"Big worries","2000","Lower Saxony","688","0.341309342528626","0.320637472097863","0.361981212959388"
"Big worries","2000","Bremen","77","0.445298936011455","0.373874479058174","0.516723392964736"
"Big worries","2000","North Rhine-Westphalia","1782","0.348280303718254","0.335221449456258","0.36133915798025"
"Big worries","2000","Hesse","520","0.30513745935398","0.28305298492197","0.327221933785991"
"Big worries","2000","Rhineland-Palatinate,Saarland","400","0.276164812548342","0.253175853813157","0.299153771283527"
"Big worries","2000","Baden-Württemberg","858","0.300034778225174","0.283427089887731","0.316642466562617"
"Big worries","2000","Bavaria","889","0.266480035854246","0.251544206484053","0.281415865224439"
"Big worries","2000","Berlin","370","0.460749593642132","0.426570166171581","0.494929021112683"
"Big worries","2000","Brandenburg","362","0.3631773858416","0.333533089167426","0.392821682515773"
"Big worries","2000","Mecklenburg-Western Pomerania","160","0.287855867454353","0.250423143932316","0.325288590976389"
"Big worries","2000","Saxony","528","0.291879000564756","0.270711411571596","0.313046589557915"
"Big worries","2000","Saxony-Anhalt","345","0.325121790649842","0.296802493207318","0.353441088092366"
