"plj0047","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No worries","1992","Lower Saxony","West Germany","17","","","","3"
"No worries","1992","Bavaria","West Germany","53","0.138644435053423","0.100482071256403","0.176806798850442","3"
"No worries","1992","Schleswig-Holstein","West Germany","7","","","","3"
"No worries","1992","Lower Saxony","East Germany","","","","","3"
"No worries","1992","North Rhine-Westphalia","East Germany","","","","","3"
"No worries","1992","Hesse","East Germany","","","","","3"
"No worries","1992","Rhineland-Palatinate,Saarland","West Germany","18","","","","3"
"No worries","1992","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"No worries","1992","Baden-Württemberg","West Germany","122","0.218789539270882","0.186403471055609","0.251175607486155","3"
"No worries","1992","Baden-Württemberg","East Germany","","","","","3"
"No worries","1992","Bremen","West Germany","","","","","3"
"No worries","1992","Bremen","East Germany","","","","","3"
"No worries","1992","North Rhine-Westphalia","West Germany","102","0.160460986049629","0.131593599963657","0.1893283721356","3"
"No worries","1992","Hesse","West Germany","89","0.309974472360663","0.257198939535774","0.362750005185552","3"
"No worries","1992","Berlin","West Germany","3","","","","3"
"No worries","1992","Berlin","East Germany","","","","","3"
"No worries","1992","Brandenburg","West Germany","","","","","3"
"No worries","1992","Brandenburg","East Germany","","","","","3"
"No worries","1992","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"No worries","1992","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"No worries","1992","Saxony","West Germany","","","","","3"
"No worries","1992","Saxony","East Germany","","","","","3"
"No worries","1992","Saxony-Anhalt","West Germany","","","","","3"
"No worries","1992","Saxony-Anhalt","East Germany","","","","","3"
"No worries","1992","Thuringia","West Germany","","","","","3"
"No worries","1992","Thuringia","East Germany","","","","","3"
"Some worries","1992","Saxony","West Germany","","","","","2"
"Some worries","1992","Saxony","East Germany","","","","","2"
"Some worries","1992","Schleswig-Holstein","East Germany","","","","","2"
"Some worries","1992","Hamburg","West Germany","13","","","","2"
"Some worries","1992","Berlin","East Germany","","","","","2"
"Some worries","1992","Thuringia","East Germany","","","","","2"
"Some worries","1992","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"Some worries","1992","Saxony-Anhalt","East Germany","","","","","2"
"Some worries","1992","Thuringia","West Germany","","","","","2"
"Some worries","1992","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"Some worries","1992","Schleswig-Holstein","West Germany","14","","","","2"
"Some worries","1992","Hamburg","East Germany","","","","","2"
"Some worries","1992","Lower Saxony","West Germany","47","0.438740328342098","0.352436129090201","0.525044527593996","2"
"Some worries","1992","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"Some worries","1992","Baden-Württemberg","West Germany","261","0.376572028423193","0.338616233165555","0.414527823680831","2"
"Some worries","1992","Bavaria","West Germany","160","0.461752868982399","0.406698919859786","0.516806818105012","2"
"Some worries","1992","Bavaria","East Germany","","","","","2"
"Some worries","1992","Berlin","West Germany","35","0.350466293908027","0.25243801692043","0.448494570895624","2"
"Some worries","1992","Saxony-Anhalt","West Germany","","","","","2"
"Some worries","1992","Brandenburg","West Germany","","","","","2"
"Some worries","1992","Brandenburg","East Germany","","","","","2"
"Some worries","1992","Lower Saxony","East Germany","","","","","2"
"Some worries","1992","Bremen","West Germany","","","","","2"
"Some worries","1992","Bremen","East Germany","","","","","2"
"Some worries","1992","North Rhine-Westphalia","West Germany","245","0.36239406413375","0.324587343823985","0.400200784443516","2"
"Some worries","1992","North Rhine-Westphalia","East Germany","","","","","2"
"Some worries","1992","Hesse","West Germany","140","0.442654200645198","0.385973952344834","0.499334448945562","2"
"Some worries","1992","Hesse","East Germany","","","","","2"
"Some worries","1992","Rhineland-Palatinate,Saarland","West Germany","57","0.45615104614531","0.36307343365502","0.5492286586356","2"
"Some worries","1992","Baden-Württemberg","East Germany","","","","","2"
"Big worries","1993","Schleswig-Holstein","West Germany","16","","","","1"
"Big worries","1993","Schleswig-Holstein","East Germany","","","","","1"
"Big worries","1993","Hamburg","West Germany","11","","","","1"
"Big worries","1993","Hamburg","East Germany","","","","","1"
"Big worries","1993","Lower Saxony","West Germany","82","0.648086926342354","0.566306988870743","0.729866863813965","1"
"Big worries","1993","Lower Saxony","East Germany","","","","","1"
"Big worries","1993","Bremen","West Germany","8","","","","1"
"Big worries","1993","Bremen","East Germany","","","","","1"
"Big worries","1993","North Rhine-Westphalia","West Germany","338","0.579515779852116","0.540659633124133","0.618371926580098","1"
"Big worries","1993","North Rhine-Westphalia","East Germany","","","","","1"
"Big worries","1993","Hesse","West Germany","80","0.366216127308026","0.309986803398531","0.422445451217521","1"
"Big worries","1993","Hesse","East Germany","","","","","1"
"Big worries","1993","Rhineland-Palatinate,Saarland","West Germany","27","","","","1"
"Big worries","1993","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Big worries","1993","Baden-Württemberg","West Germany","286","0.414021295390563","0.375890897877104","0.452151692904021","1"
"Big worries","1993","Baden-Württemberg","East Germany","","","","","1"
"Big worries","1993","Bavaria","West Germany","141","0.548899271512982","0.4921160308453","0.605682512180664","1"
"Big worries","1993","Bavaria","East Germany","","","","","1"
"Big worries","1993","Berlin","West Germany","49","0.620556670483799","0.512172236528175","0.728941104439423","1"
"Big worries","1993","Berlin","East Germany","","","","","1"
"Big worries","1993","Brandenburg","West Germany","","","","","1"
"Big worries","1993","Brandenburg","East Germany","","","","","1"
"Big worries","1993","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Big worries","1993","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Big worries","1993","Saxony","West Germany","","","","","1"
"Big worries","1993","Saxony","East Germany","","","","","1"
"Big worries","1993","Saxony-Anhalt","West Germany","","","","","1"
"Big worries","1993","Saxony-Anhalt","East Germany","","","","","1"
"Big worries","1993","Thuringia","West Germany","","","","","1"
"Big worries","1993","Thuringia","East Germany","","","","","1"
"No worries","1993","Hamburg","West Germany","1","","","","3"
"No worries","1993","Hamburg","East Germany","","","","","3"
"No worries","1993","Lower Saxony","West Germany","10","","","","3"
"No worries","1993","Schleswig-Holstein","East Germany","","","","","3"
"No worries","1993","Schleswig-Holstein","West Germany","1","","","","3"
"No worries","1993","Lower Saxony","East Germany","","","","","3"
"No worries","1993","Bavaria","West Germany","29","","","","3"
"No worries","1993","Bavaria","East Germany","","","","","3"
"No worries","1993","Bremen","West Germany","","","","","3"
"No worries","1993","Bremen","East Germany","","","","","3"
"No worries","1993","North Rhine-Westphalia","West Germany","59","0.0871705134293195","0.0649664796967307","0.109374547161908","3"
"No worries","1993","North Rhine-Westphalia","East Germany","","","","","3"
"No worries","1993","Hesse","East Germany","","","","","3"
"No worries","1993","Rhineland-Palatinate,Saarland","West Germany","13","","","","3"
"No worries","1993","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"No worries","1993","Baden-Württemberg","West Germany","85","0.134565509474185","0.108147319679785","0.160983699268585","3"
"No worries","1993","Baden-Württemberg","East Germany","","","","","3"
"No worries","1993","Hesse","West Germany","49","0.170442962241456","0.126555931416559","0.214329993066353","3"
"No worries","1993","Berlin","West Germany","7","","","","3"
"No worries","1993","Berlin","East Germany","","","","","3"
"No worries","1993","Brandenburg","West Germany","","","","","3"
"No worries","1993","Brandenburg","East Germany","","","","","3"
"No worries","1993","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"No worries","1993","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"No worries","1993","Saxony","West Germany","","","","","3"
"No worries","1993","Saxony","East Germany","","","","","3"
"No worries","1993","Saxony-Anhalt","West Germany","","","","","3"
"No worries","1993","Saxony-Anhalt","East Germany","","","","","3"
"No worries","1993","Thuringia","West Germany","","","","","3"
"No worries","1993","Thuringia","East Germany","","","","","3"
"Some worries","1993","Hamburg","West Germany","19","","","","2"
"Some worries","1993","Schleswig-Holstein","East Germany","","","","","2"
"Some worries","1993","Lower Saxony","West Germany","39","0.29232072338023","0.214434528922901","0.37020691783756","2"
"Some worries","1993","Schleswig-Holstein","West Germany","9","","","","2"
"Some worries","1993","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"Some worries","1993","Saxony-Anhalt","West Germany","","","","","2"
"Some worries","1993","Thuringia","West Germany","","","","","2"
"Some worries","1993","Thuringia","East Germany","","","","","2"
"Some worries","1993","Hamburg","East Germany","","","","","2"
"Some worries","1993","Berlin","East Germany","","","","","2"
"Some worries","1993","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"Some worries","1993","Saxony","West Germany","","","","","2"
"Some worries","1993","Saxony","East Germany","","","","","2"
"Some worries","1993","Saxony-Anhalt","East Germany","","","","","2"
"Some worries","1993","Lower Saxony","East Germany","","","","","2"
"Some worries","1993","Bremen","West Germany","","","","","2"
"Some worries","1993","Bremen","East Germany","","","","","2"
"Some worries","1993","North Rhine-Westphalia","West Germany","223","0.333313706718565","0.296208094965362","0.370419318471768","2"
"Some worries","1993","North Rhine-Westphalia","East Germany","","","","","2"
"Some worries","1993","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"Some worries","1993","Baden-Württemberg","West Germany","270","0.451413195135252","0.412889416402387","0.489936973868117","2"
"Some worries","1993","Bavaria","West Germany","125","0.357279522663597","0.302596537574097","0.411962507753096","2"
"Some worries","1993","Bavaria","East Germany","","","","","2"
"Some worries","1993","Berlin","West Germany","21","","","","2"
"Some worries","1993","Brandenburg","West Germany","","","","","2"
"Some worries","1993","Brandenburg","East Germany","","","","","2"
"Some worries","1993","Hesse","West Germany","153","0.463340910450517","0.405140894258197","0.521540926642837","2"
"Some worries","1993","Hesse","East Germany","","","","","2"
"Some worries","1993","Rhineland-Palatinate,Saarland","West Germany","52","0.540374024557963","0.438537471280976","0.64221057783495","2"
"Some worries","1993","Baden-Württemberg","East Germany","","","","","2"
"Big worries","1994","Schleswig-Holstein","West Germany","12","","","","1"
"Big worries","1994","Schleswig-Holstein","East Germany","","","","","1"
"Big worries","1994","Hamburg","West Germany","3","","","","1"
"Big worries","1994","Hamburg","East Germany","","","","","1"
"Big worries","1994","Lower Saxony","West Germany","71","0.621620120054436","0.536938459155728","0.706301780953143","1"
"Big worries","1994","Lower Saxony","East Germany","","","","","1"
"Big worries","1994","Bremen","West Germany","6","","","","1"
"Big worries","1994","Bremen","East Germany","","","","","1"
"Big worries","1994","North Rhine-Westphalia","West Germany","329","0.5846500436904","0.544371918588301","0.624928168792499","1"
"Big worries","1994","North Rhine-Westphalia","East Germany","","","","","1"
"Big worries","1994","Hesse","West Germany","111","0.410620816584904","0.353101620358011","0.468140012811796","1"
"Big worries","1994","Hesse","East Germany","","","","","1"
"Big worries","1994","Rhineland-Palatinate,Saarland","West Germany","41","0.370657167491297","0.273020261026417","0.468294073956177","1"
"Big worries","1994","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Big worries","1994","Baden-Württemberg","West Germany","263","0.465540625176935","0.426371830258549","0.50470942009532","1"
"Big worries","1994","Baden-Württemberg","East Germany","","","","","1"
"Big worries","1994","Bavaria","West Germany","102","0.417099181266172","0.360543834883784","0.473654527648559","1"
"Big worries","1994","Bavaria","East Germany","","","","","1"
"Big worries","1994","Berlin","West Germany","28","","","","1"
"Big worries","1994","Berlin","East Germany","","","","","1"
"Big worries","1994","Brandenburg","West Germany","","","","","1"
"Big worries","1994","Brandenburg","East Germany","","","","","1"
"Big worries","1994","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Big worries","1994","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Big worries","1994","Saxony","West Germany","","","","","1"
"Big worries","1994","Saxony","East Germany","","","","","1"
"Big worries","1994","Saxony-Anhalt","West Germany","","","","","1"
"Big worries","1994","Saxony-Anhalt","East Germany","","","","","1"
"Big worries","1994","Thuringia","West Germany","","","","","1"
"Big worries","1994","Thuringia","East Germany","","","","","1"
"No worries","1994","Hamburg","West Germany","1","","","","3"
"No worries","1994","Hamburg","East Germany","","","","","3"
"No worries","1994","Schleswig-Holstein","East Germany","","","","","3"
"No worries","1994","Schleswig-Holstein","West Germany","1","","","","3"
"No worries","1994","Bavaria","West Germany","40","0.131267754472324","0.0925349749002493","0.170000534044398","3"
"No worries","1994","Lower Saxony","East Germany","","","","","3"
"No worries","1994","Bavaria","East Germany","","","","","3"
"No worries","1994","Lower Saxony","West Germany","9","","","","3"
"No worries","1994","Bremen","West Germany","","","","","3"
"No worries","1994","Bremen","East Germany","","","","","3"
"No worries","1994","North Rhine-Westphalia","West Germany","57","0.0929562354140713","0.069222420386453","0.11669005044169","3"
"No worries","1994","North Rhine-Westphalia","East Germany","","","","","3"
"No worries","1994","Hesse","East Germany","","","","","3"
"No worries","1994","Rhineland-Palatinate,Saarland","West Germany","17","","","","3"
"No worries","1994","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"No worries","1994","Baden-Württemberg","West Germany","73","0.0896394082213367","0.067207806631472","0.112071009811201","3"
"No worries","1994","Baden-Württemberg","East Germany","","","","","3"
"No worries","1994","Hesse","West Germany","38","0.141323204140014","0.10059300511023","0.182053403169797","3"
"No worries","1994","Berlin","West Germany","9","","","","3"
"No worries","1994","Berlin","East Germany","","","","","3"
"No worries","1994","Brandenburg","West Germany","","","","","3"
"No worries","1994","Brandenburg","East Germany","","","","","3"
"No worries","1994","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"No worries","1994","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"No worries","1994","Saxony","West Germany","","","","","3"
"No worries","1994","Saxony","East Germany","","","","","3"
"No worries","1994","Saxony-Anhalt","West Germany","","","","","3"
"No worries","1994","Saxony-Anhalt","East Germany","","","","","3"
"No worries","1994","Thuringia","West Germany","","","","","3"
"No worries","1994","Thuringia","East Germany","","","","","3"
"Some worries","1994","Thuringia","West Germany","","","","","2"
"Some worries","1994","Schleswig-Holstein","East Germany","","","","","2"
"Some worries","1994","Schleswig-Holstein","West Germany","8","","","","2"
"Some worries","1994","Saxony-Anhalt","West Germany","","","","","2"
"Some worries","1994","Lower Saxony","East Germany","","","","","2"
"Some worries","1994","Bremen","West Germany","2","","","","2"
"Some worries","1994","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"Some worries","1994","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"Some worries","1994","Saxony","East Germany","","","","","2"
"Some worries","1994","Saxony-Anhalt","East Germany","","","","","2"
"Some worries","1994","Thuringia","East Germany","","","","","2"
"Some worries","1994","Hamburg","West Germany","25","","","","2"
"Some worries","1994","Hamburg","East Germany","","","","","2"
"Some worries","1994","Lower Saxony","West Germany","46","0.326783465377016","0.244886041238026","0.408680889516006","2"
"Some worries","1994","Bremen","East Germany","","","","","2"
"Some worries","1994","North Rhine-Westphalia","West Germany","189","0.322393720895528","0.284190835388788","0.360596606402268","2"
"Some worries","1994","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"Some worries","1994","Bavaria","West Germany","150","0.451633064261505","0.394552907084737","0.508713221438273","2"
"Some worries","1994","Bavaria","East Germany","","","","","2"
"Some worries","1994","Berlin","West Germany","32","0.454085843975982","0.33660834144387","0.571563346508095","2"
"Some worries","1994","Berlin","East Germany","","","","","2"
"Some worries","1994","Brandenburg","West Germany","","","","","2"
"Some worries","1994","Brandenburg","East Germany","","","","","2"
"Some worries","1994","Saxony","West Germany","","","","","2"
"Some worries","1994","North Rhine-Westphalia","East Germany","","","","","2"
"Some worries","1994","Hesse","West Germany","132","0.448055979275083","0.389911486512221","0.506200472037945","2"
"Some worries","1994","Hesse","East Germany","","","","","2"
"Some worries","1994","Rhineland-Palatinate,Saarland","West Germany","36","0.46096074308311","0.360191886145064","0.561729600021157","2"
"Some worries","1994","Baden-Württemberg","West Germany","287","0.444819966601729","0.405797643222867","0.483842289980591","2"
"Some worries","1994","Baden-Württemberg","East Germany","","","","","2"
"Big worries","1995","Hamburg","West Germany","2","","","","1"
"Big worries","1995","Hamburg","East Germany","","","","","1"
"Big worries","1995","Lower Saxony","West Germany","46","0.435925495098078","0.347203389906339","0.524647600289817","1"
"Big worries","1995","Lower Saxony","East Germany","","","","","1"
"Big worries","1995","Bremen","West Germany","6","","","","1"
"Big worries","1995","Schleswig-Holstein","West Germany","11","","","","1"
"Big worries","1995","Schleswig-Holstein","East Germany","","","","","1"
"Big worries","1995","Bremen","East Germany","","","","","1"
"Big worries","1995","North Rhine-Westphalia","West Germany","272","0.564342855572588","0.521888096223484","0.606797614921693","1"
"Big worries","1995","North Rhine-Westphalia","East Germany","","","","","1"
"Big worries","1995","Hesse","West Germany","85","0.3986277525119","0.336812588437058","0.460442916586741","1"
"Big worries","1995","Hesse","East Germany","","","","","1"
"Big worries","1995","Rhineland-Palatinate,Saarland","West Germany","26","","","","1"
"Big worries","1995","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Big worries","1995","Baden-Württemberg","West Germany","237","0.447699586194586","0.40787826081575","0.487520911573422","1"
"Big worries","1995","Baden-Württemberg","East Germany","","","","","1"
"Big worries","1995","Bavaria","West Germany","90","0.368322864396999","0.312322922116388","0.424322806677611","1"
"Big worries","1995","Bavaria","East Germany","","","","","1"
"Big worries","1995","Berlin","West Germany","25","","","","1"
"Big worries","1995","Berlin","East Germany","","","","","1"
"Big worries","1995","Brandenburg","West Germany","","","","","1"
"Big worries","1995","Brandenburg","East Germany","","","","","1"
"Big worries","1995","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Big worries","1995","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Big worries","1995","Saxony","West Germany","","","","","1"
"Big worries","1995","Saxony","East Germany","","","","","1"
"Big worries","1995","Saxony-Anhalt","West Germany","","","","","1"
"Big worries","1995","Saxony-Anhalt","East Germany","","","","","1"
"Big worries","1995","Thuringia","West Germany","","","","","1"
"Big worries","1995","Thuringia","East Germany","","","","","1"
"No worries","1995","Hamburg","West Germany","5","","","","3"
"No worries","1995","Schleswig-Holstein","East Germany","","","","","3"
"No worries","1995","Lower Saxony","East Germany","","","","","3"
"No worries","1995","Bremen","West Germany","","","","","3"
"No worries","1995","Bremen","East Germany","","","","","3"
"No worries","1995","Schleswig-Holstein","West Germany","2","","","","3"
"No worries","1995","Bavaria","East Germany","","","","","3"
"No worries","1995","Lower Saxony","West Germany","11","","","","3"
"No worries","1995","Hamburg","East Germany","","","","","3"
"No worries","1995","North Rhine-Westphalia","West Germany","56","0.104598671086305","0.0783954670677501","0.130801875104859","3"
"No worries","1995","North Rhine-Westphalia","East Germany","","","","","3"
"No worries","1995","Rhineland-Palatinate,Saarland","West Germany","10","","","","3"
"No worries","1995","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"No worries","1995","Baden-Württemberg","West Germany","88","0.118117676781939","0.09227143237494","0.143963921188939","3"
"No worries","1995","Baden-Württemberg","East Germany","","","","","3"
"No worries","1995","Bavaria","West Germany","53","0.18851493009258","0.143106257808913","0.233923602376247","3"
"No worries","1995","Berlin","West Germany","10","","","","3"
"No worries","1995","Berlin","East Germany","","","","","3"
"No worries","1995","Brandenburg","West Germany","","","","","3"
"No worries","1995","Brandenburg","East Germany","","","","","3"
"No worries","1995","Hesse","West Germany","30","0.142412483103961","0.0982907234496244","0.186534242758298","3"
"No worries","1995","Hesse","East Germany","","","","","3"
"No worries","1995","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"No worries","1995","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"No worries","1995","Saxony","West Germany","","","","","3"
"No worries","1995","Saxony","East Germany","","","","","3"
"No worries","1995","Saxony-Anhalt","West Germany","","","","","3"
"No worries","1995","Saxony-Anhalt","East Germany","","","","","3"
"No worries","1995","Thuringia","West Germany","","","","","3"
"No worries","1995","Thuringia","East Germany","","","","","3"
"Some worries","1995","Lower Saxony","East Germany","","","","","2"
"Some worries","1995","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"Some worries","1995","Saxony-Anhalt","East Germany","","","","","2"
"Some worries","1995","Saxony-Anhalt","West Germany","","","","","2"
"Some worries","1995","Schleswig-Holstein","West Germany","9","","","","2"
"Some worries","1995","Schleswig-Holstein","East Germany","","","","","2"
"Some worries","1995","Lower Saxony","West Germany","63","0.487608708364908","0.398176477420466","0.577040939309351","2"
"Some worries","1995","Thuringia","East Germany","","","","","2"
"Some worries","1995","Saxony","East Germany","","","","","2"
"Some worries","1995","Bremen","West Germany","2","","","","2"
"Some worries","1995","Thuringia","West Germany","","","","","2"
"Some worries","1995","Hamburg","West Germany","21","","","","2"
"Some worries","1995","Hamburg","East Germany","","","","","2"
"Some worries","1995","Bremen","East Germany","","","","","2"
"Some worries","1995","Bavaria","West Germany","142","0.443162205510421","0.385489361146448","0.500835049874393","2"
"Some worries","1995","Bavaria","East Germany","","","","","2"
"Some worries","1995","Berlin","East Germany","","","","","2"
"Some worries","1995","Brandenburg","West Germany","","","","","2"
"Some worries","1995","Brandenburg","East Germany","","","","","2"
"Some worries","1995","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"Some worries","1995","Saxony","West Germany","","","","","2"
"Some worries","1995","North Rhine-Westphalia","West Germany","196","0.331058473341107","0.29076554049392","0.371351406188294","2"
"Some worries","1995","North Rhine-Westphalia","East Germany","","","","","2"
"Some worries","1995","Hesse","West Germany","126","0.458959764384139","0.396046581350107","0.521872947418172","2"
"Some worries","1995","Hesse","East Germany","","","","","2"
"Some worries","1995","Rhineland-Palatinate,Saarland","West Germany","42","0.506342900119237","0.395390718565759","0.617295081672714","2"
"Some worries","1995","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"Some worries","1995","Baden-Württemberg","West Germany","274","0.434182737023475","0.394490182261739","0.473875291785211","2"
"Some worries","1995","Baden-Württemberg","East Germany","","","","","2"
"Some worries","1995","Berlin","West Germany","25","","","","2"
"Big worries","1996","Hamburg","West Germany","33","0.274271753038202","0.196371230072942","0.352172276003462","1"
"Big worries","1996","Hamburg","East Germany","","","","","1"
"Big worries","1996","Lower Saxony","West Germany","321","0.318214218576268","0.28979631719325","0.346632119959285","1"
"Big worries","1996","Lower Saxony","East Germany","","","","","1"
"Big worries","1996","Bremen","West Germany","39","0.402999805886713","0.304365965506835","0.501633646266591","1"
"Big worries","1996","Schleswig-Holstein","West Germany","90","0.342327435243057","0.286947906890325","0.397706963595788","1"
"Big worries","1996","Schleswig-Holstein","East Germany","","","","","1"
"Big worries","1996","Bremen","East Germany","","","","","1"
"Big worries","1996","North Rhine-Westphalia","West Germany","790","0.291768672287069","0.274052064428508","0.30948528014563","1"
"Big worries","1996","North Rhine-Westphalia","East Germany","","","","","1"
"Big worries","1996","Hesse","West Germany","270","0.280941374101573","0.251609836925617","0.310272911277529","1"
"Big worries","1996","Hesse","East Germany","","","","","1"
"Big worries","1996","Rhineland-Palatinate,Saarland","West Germany","199","0.289108972888854","0.255184091738891","0.323033854038816","1"
"Big worries","1996","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Big worries","1996","Baden-Württemberg","West Germany","520","0.292709136234553","0.271098978829583","0.314319293639523","1"
"Big worries","1996","Baden-Württemberg","East Germany","","","","","1"
"Big worries","1996","Bavaria","West Germany","523","0.328873099276622","0.306142530682926","0.351603667870318","1"
"Big worries","1996","Bavaria","East Germany","","","","","1"
"Big worries","1996","Berlin","West Germany","99","0.324193224609026","0.270959959573578","0.377426489644474","1"
"Big worries","1996","Berlin","East Germany","71","0.25923778642288","0.204026359607566","0.314449213238194","1"
"Big worries","1996","Brandenburg","West Germany","","","","","1"
"Big worries","1996","Brandenburg","East Germany","150","0.265384691505817","0.229906822245752","0.300862560765882","1"
"Big worries","1996","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Big worries","1996","Mecklenburg-Western Pomerania","East Germany","98","0.23374051503488","0.19168449020975","0.27579653986001","1"
"Big worries","1996","Saxony","West Germany","","","","","1"
"Big worries","1996","Saxony","East Germany","271","0.251764878321235","0.226080953223936","0.277448803418534","1"
"Big worries","1996","Saxony-Anhalt","West Germany","","","","","1"
"Big worries","1996","Saxony-Anhalt","East Germany","201","0.30181376867291","0.267106645374374","0.336520891971447","1"
"Big worries","1996","Thuringia","West Germany","","","","","1"
"Big worries","1996","Thuringia","East Germany","188","0.296091771993663","0.261049239594285","0.331134304393042","1"
"No worries","1996","Schleswig-Holstein","East Germany","","","","","3"
"No worries","1996","Schleswig-Holstein","West Germany","56","0.182194717788697","0.137142478371508","0.227246957205886","3"
"No worries","1996","Hamburg","West Germany","32","0.276645764600283","0.198536896272112","0.354754632928454","3"
"No worries","1996","Lower Saxony","West Germany","150","0.15794510512437","0.135695027504234","0.180195182744506","3"
"No worries","1996","Lower Saxony","East Germany","","","","","3"
"No worries","1996","Bremen","East Germany","","","","","3"
"No worries","1996","Bavaria","East Germany","","","","","3"
"No worries","1996","Hamburg","East Germany","","","","","3"
"No worries","1996","Bremen","West Germany","16","","","","3"
"No worries","1996","North Rhine-Westphalia","West Germany","315","0.126059457837511","0.113123388426085","0.138995527248937","3"
"No worries","1996","North Rhine-Westphalia","East Germany","","","","","3"
"No worries","1996","Rhineland-Palatinate,Saarland","West Germany","137","0.203184126794611","0.173074185407989","0.233294068181232","3"
"No worries","1996","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"No worries","1996","Baden-Württemberg","West Germany","267","0.164979658154723","0.147351599193451","0.182607717115994","3"
"No worries","1996","Baden-Württemberg","East Germany","","","","","3"
"No worries","1996","Bavaria","West Germany","255","0.152303722245442","0.134918942319886","0.169688502170999","3"
