"plj0047","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Some worries","1992","Single parent ","(1c) basic vocational qualification","3","","",""
"Some worries","1992","Single parent ","(2b) intermediate general qualification","","","",""
"Some worries","1992","Single parent ","(2a) intermediate vocational","2","","",""
"Some worries","1992","Single parent ","(2c_gen) general maturity certificate","2","","",""
"Some worries","1992","Single parent ","(2c_voc) vocational maturity certificate","1","","",""
"Some worries","1992","Single parent ","(3a) lower tertiary education","","","",""
"Some worries","1992","Single parent ","(3b) higher tertiary education","","","",""
"Some worries","1992","Couple + C. LE 16 ","(0) in school","","","",""
"Some worries","1992","Couple + C. LE 16 ","(1a) inadequately completed","32","0.269704977520329","0.185613912423276","0.353796042617381"
"Some worries","1992","Couple + C. LE 16 ","(1b) general elementary school","84","0.372924067313318","0.306726590982962","0.439121543643675"
"Some worries","1992","Couple + C. LE 16 ","(1c) basic vocational qualification","59","0.388204728042901","0.305067681160503","0.471341774925299"
"Some worries","1992","Couple + C. LE 16 ","(2b) intermediate general qualification","2","","",""
"Some worries","1992","Couple + C. LE 16 ","(2a) intermediate vocational","1","","",""
"Some worries","1992","Couple + C. LE 16 ","(2c_gen) general maturity certificate","12","","",""
"Some worries","1992","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","11","","",""
"Some worries","1992","Couple + C. LE 16 ","(3a) lower tertiary education","3","","",""
"Some worries","1992","Couple + C. LE 16 ","(3b) higher tertiary education","6","","",""
"Some worries","1992","Couple + C. GT 16 ","(0) in school","6","","",""
"Some worries","1992","Couple + C. GT 16 ","(1a) inadequately completed","60","0.424529201626719","0.343517920147004","0.505540483106435"
"Some worries","1992","Couple + C. GT 16 ","(1b) general elementary school","78","0.464957265288967","0.388387900623946","0.541526629953988"
"Some worries","1992","Couple + C. GT 16 ","(1c) basic vocational qualification","37","0.383012645229592","0.286767298584755","0.479257991874429"
"Some worries","1992","Couple + C. GT 16 ","(2b) intermediate general qualification","6","","",""
"Some worries","1992","Couple + C. GT 16 ","(2a) intermediate vocational","7","","",""
"Some worries","1992","Couple + C. GT 16 ","(2c_gen) general maturity certificate","13","","",""
"Some worries","1992","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","9","","",""
"Some worries","1992","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Some worries","1992","Couple + C. GT 16 ","(3b) higher tertiary education","3","","",""
"Some worries","1992","Couple + C. LE and GT 16","(0) in school","8","","",""
"Some worries","1992","Couple + C. LE and GT 16","(1a) inadequately completed","49","0.381727707683968","0.29407328744084","0.469382127927097"
"Some worries","1992","Couple + C. LE and GT 16","(1b) general elementary school","74","0.438942722969229","0.357030999989963","0.520854445948494"
"Some worries","1992","Couple + C. LE and GT 16","(1c) basic vocational qualification","36","0.471899682961281","0.351462890634839","0.592336475287723"
"Some worries","1992","Couple + C. LE and GT 16","(2b) intermediate general qualification","6","","",""
"Some worries","1992","Couple + C. LE and GT 16","(2a) intermediate vocational","1","","",""
"Some worries","1992","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","4","","",""
"Some worries","1992","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","6","","",""
"Some worries","1992","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Some worries","1992","Couple + C. LE and GT 16","(3b) higher tertiary education","2","","",""
"No worries","1992","1-pers.-HH","(0) in school","","","",""
"No worries","1992","1-pers.-HH","(1a) inadequately completed","10","","",""
"No worries","1992","1-pers.-HH","(1b) general elementary school","11","","",""
"No worries","1992","1-pers.-HH","(1c) basic vocational qualification","9","","",""
"No worries","1992","1-pers.-HH","(2b) intermediate general qualification","1","","",""
"No worries","1992","1-pers.-HH","(2a) intermediate vocational","","","",""
"No worries","1992","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"No worries","1992","1-pers.-HH","(2c_voc) vocational maturity certificate","2","","",""
"No worries","1992","1-pers.-HH","(3a) lower tertiary education","","","",""
"No worries","1992","1-pers.-HH","(3b) higher tertiary education","","","",""
"No worries","1992","(Married) couple without C. ","(0) in school","","","",""
"No worries","1992","(Married) couple without C. ","(1a) inadequately completed","15","","",""
"No worries","1992","(Married) couple without C. ","(1b) general elementary school","18","","",""
"No worries","1992","(Married) couple without C. ","(1c) basic vocational qualification","17","","",""
"No worries","1992","(Married) couple without C. ","(2b) intermediate general qualification","2","","",""
"No worries","1992","(Married) couple without C. ","(2a) intermediate vocational","2","","",""
"No worries","1992","(Married) couple without C. ","(2c_gen) general maturity certificate","2","","",""
"No worries","1992","(Married) couple without C. ","(2c_voc) vocational maturity certificate","3","","",""
"No worries","1992","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"No worries","1992","(Married) couple without C. ","(3b) higher tertiary education","1","","",""
"No worries","1992","Single parent ","(0) in school","1","","",""
"No worries","1992","Single parent ","(1a) inadequately completed","5","","",""
"No worries","1992","Single parent ","(1b) general elementary school","5","","",""
"No worries","1992","Single parent ","(1c) basic vocational qualification","7","","",""
"No worries","1992","Single parent ","(2b) intermediate general qualification","","","",""
"No worries","1992","Single parent ","(2a) intermediate vocational","1","","",""
"No worries","1992","Single parent ","(2c_gen) general maturity certificate","1","","",""
"No worries","1992","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"No worries","1992","Single parent ","(3a) lower tertiary education","","","",""
"No worries","1992","Single parent ","(3b) higher tertiary education","","","",""
"No worries","1992","Couple + C. LE 16 ","(0) in school","","","",""
"No worries","1992","Couple + C. LE 16 ","(1a) inadequately completed","27","","",""
"No worries","1992","Couple + C. LE 16 ","(1b) general elementary school","30","0.122981487425681","0.078024685276123","0.167938289575238"
"No worries","1992","Couple + C. LE 16 ","(1c) basic vocational qualification","20","","",""
"No worries","1992","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"No worries","1992","Couple + C. LE 16 ","(2a) intermediate vocational","2","","",""
"No worries","1992","Couple + C. LE 16 ","(2c_gen) general maturity certificate","1","","",""
"No worries","1992","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","3","","",""
"No worries","1992","Couple + C. LE 16 ","(3a) lower tertiary education","1","","",""
"No worries","1992","Couple + C. LE 16 ","(3b) higher tertiary education","2","","",""
"No worries","1992","Couple + C. GT 16 ","(0) in school","3","","",""
"No worries","1992","Couple + C. GT 16 ","(1a) inadequately completed","32","0.20815339356945","0.141611929821975","0.274694857316925"
"No worries","1992","Couple + C. GT 16 ","(1b) general elementary school","30","0.159168994893102","0.103007600176245","0.215330389609959"
"No worries","1992","Couple + C. GT 16 ","(1c) basic vocational qualification","26","","",""
"No worries","1992","Couple + C. GT 16 ","(2b) intermediate general qualification","6","","",""
"No worries","1992","Couple + C. GT 16 ","(2a) intermediate vocational","2","","",""
"No worries","1992","Couple + C. GT 16 ","(2c_gen) general maturity certificate","5","","",""
"No worries","1992","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"No worries","1992","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"No worries","1992","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"No worries","1992","Couple + C. LE and GT 16","(0) in school","2","","",""
"No worries","1992","Couple + C. LE and GT 16","(1a) inadequately completed","25","","",""
"No worries","1992","Couple + C. LE and GT 16","(1b) general elementary school","17","","",""
"No worries","1992","Couple + C. LE and GT 16","(1c) basic vocational qualification","8","","",""
"No worries","1992","Couple + C. LE and GT 16","(2b) intermediate general qualification","4","","",""
"No worries","1992","Couple + C. LE and GT 16","(2a) intermediate vocational","2","","",""
"No worries","1992","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"No worries","1992","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","3","","",""
"No worries","1992","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"No worries","1992","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"Big worries","1993","1-pers.-HH","(0) in school","","","",""
"Big worries","1993","1-pers.-HH","(1a) inadequately completed","13","","",""
"Big worries","1993","1-pers.-HH","(1b) general elementary school","10","","",""
"Big worries","1993","1-pers.-HH","(1c) basic vocational qualification","6","","",""
"Big worries","1993","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"Big worries","1993","1-pers.-HH","(2a) intermediate vocational","6","","",""
"Big worries","1993","1-pers.-HH","(2c_gen) general maturity certificate","4","","",""
"Big worries","1993","1-pers.-HH","(2c_voc) vocational maturity certificate","3","","",""
"Big worries","1993","1-pers.-HH","(3a) lower tertiary education","","","",""
"Big worries","1993","1-pers.-HH","(3b) higher tertiary education","3","","",""
"Big worries","1993","(Married) couple without C. ","(0) in school","","","",""
"Big worries","1993","(Married) couple without C. ","(1a) inadequately completed","24","","",""
"Big worries","1993","(Married) couple without C. ","(1b) general elementary school","55","0.58891479486561","0.492957154484176","0.684872435247043"
"Big worries","1993","(Married) couple without C. ","(1c) basic vocational qualification","25","","",""
"Big worries","1993","(Married) couple without C. ","(2b) intermediate general qualification","4","","",""
"Big worries","1993","(Married) couple without C. ","(2a) intermediate vocational","4","","",""
"Big worries","1993","(Married) couple without C. ","(2c_gen) general maturity certificate","5","","",""
"Big worries","1993","(Married) couple without C. ","(2c_voc) vocational maturity certificate","8","","",""
"Big worries","1993","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"Big worries","1993","(Married) couple without C. ","(3b) higher tertiary education","2","","",""
"Big worries","1993","Single parent ","(0) in school","","","",""
"Big worries","1993","Single parent ","(1a) inadequately completed","12","","",""
"Big worries","1993","Single parent ","(1b) general elementary school","9","","",""
"Big worries","1993","Single parent ","(1c) basic vocational qualification","6","","",""
"Big worries","1993","Single parent ","(2b) intermediate general qualification","","","",""
"Big worries","1993","Single parent ","(2a) intermediate vocational","1","","",""
"Big worries","1993","Single parent ","(2c_gen) general maturity certificate","4","","",""
"Big worries","1993","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1993","Single parent ","(3a) lower tertiary education","","","",""
"Big worries","1993","Single parent ","(3b) higher tertiary education","1","","",""
"Big worries","1993","Couple + C. LE 16 ","(0) in school","","","",""
"Big worries","1993","Couple + C. LE 16 ","(1a) inadequately completed","53","0.607303447336149","0.50696697856828","0.707639916104019"
"Big worries","1993","Couple + C. LE 16 ","(1b) general elementary school","102","0.561096381830042","0.492830549977363","0.629362213682721"
"Big worries","1993","Couple + C. LE 16 ","(1c) basic vocational qualification","65","0.533509387388423","0.448404674188428","0.618614100588419"
"Big worries","1993","Couple + C. LE 16 ","(2b) intermediate general qualification","2","","",""
"Big worries","1993","Couple + C. LE 16 ","(2a) intermediate vocational","3","","",""
"Big worries","1993","Couple + C. LE 16 ","(2c_gen) general maturity certificate","8","","",""
"Big worries","1993","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","14","","",""
"Big worries","1993","Couple + C. LE 16 ","(3a) lower tertiary education","2","","",""
"Big worries","1993","Couple + C. LE 16 ","(3b) higher tertiary education","2","","",""
"Big worries","1993","Couple + C. GT 16 ","(0) in school","5","","",""
"Big worries","1993","Couple + C. GT 16 ","(1a) inadequately completed","65","0.462250269937452","0.38246345128706","0.542037088587844"
"Big worries","1993","Couple + C. GT 16 ","(1b) general elementary school","69","0.474246564457279","0.394865036620945","0.553628092293613"
"Big worries","1993","Couple + C. GT 16 ","(1c) basic vocational qualification","32","0.368699193939958","0.273663935579744","0.463734452300172"
"Big worries","1993","Couple + C. GT 16 ","(2b) intermediate general qualification","9","","",""
"Big worries","1993","Couple + C. GT 16 ","(2a) intermediate vocational","6","","",""
"Big worries","1993","Couple + C. GT 16 ","(2c_gen) general maturity certificate","18","","",""
"Big worries","1993","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","12","","",""
"Big worries","1993","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Big worries","1993","Couple + C. GT 16 ","(3b) higher tertiary education","6","","",""
"Big worries","1993","Couple + C. LE and GT 16","(0) in school","16","","",""
"Big worries","1993","Couple + C. LE and GT 16","(1a) inadequately completed","56","0.600112946660854","0.507723709073553","0.692502184248155"
"Big worries","1993","Couple + C. LE and GT 16","(1b) general elementary school","74","0.617208720817769","0.533003280607973","0.701414161027566"
"Big worries","1993","Couple + C. LE and GT 16","(1c) basic vocational qualification","22","","",""
"Big worries","1993","Couple + C. LE and GT 16","(2b) intermediate general qualification","16","","",""
"Big worries","1993","Couple + C. LE and GT 16","(2a) intermediate vocational","1","","",""
"Big worries","1993","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","7","","",""
"Big worries","1993","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","3","","",""
"Big worries","1993","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Big worries","1993","Couple + C. LE and GT 16","(3b) higher tertiary education","1","","",""
"Some worries","1993","1-pers.-HH","(0) in school","","","",""
"Some worries","1993","1-pers.-HH","(1a) inadequately completed","13","","",""
"Some worries","1993","1-pers.-HH","(1b) general elementary school","13","","",""
"Some worries","1993","1-pers.-HH","(1c) basic vocational qualification","15","","",""
"Some worries","1993","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Some worries","1993","1-pers.-HH","(2a) intermediate vocational","3","","",""
"Some worries","1993","1-pers.-HH","(2c_gen) general maturity certificate","5","","",""
"Some worries","1993","1-pers.-HH","(2c_voc) vocational maturity certificate","3","","",""
"Some worries","1993","1-pers.-HH","(3a) lower tertiary education","","","",""
"Some worries","1993","1-pers.-HH","(3b) higher tertiary education","2","","",""
"Some worries","1993","(Married) couple without C. ","(0) in school","","","",""
"Some worries","1993","(Married) couple without C. ","(1a) inadequately completed","37","0.550791036839675","0.432565505804236","0.669016567875114"
"Some worries","1993","(Married) couple without C. ","(1b) general elementary school","34","0.302115417326567","0.212565404900654","0.391665429752481"
"Some worries","1993","(Married) couple without C. ","(1c) basic vocational qualification","26","","",""
"Some worries","1993","(Married) couple without C. ","(2b) intermediate general qualification","2","","",""
"Some worries","1993","(Married) couple without C. ","(2a) intermediate vocational","3","","",""
"Some worries","1993","(Married) couple without C. ","(2c_gen) general maturity certificate","3","","",""
"Some worries","1993","(Married) couple without C. ","(2c_voc) vocational maturity certificate","12","","",""
"Some worries","1993","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"Some worries","1993","(Married) couple without C. ","(3b) higher tertiary education","3","","",""
"Some worries","1993","Single parent ","(0) in school","1","","",""
"Some worries","1993","Single parent ","(1a) inadequately completed","10","","",""
"Some worries","1993","Single parent ","(1b) general elementary school","13","","",""
"Some worries","1993","Single parent ","(1c) basic vocational qualification","6","","",""
"Some worries","1993","Single parent ","(2b) intermediate general qualification","","","",""
"Some worries","1993","Single parent ","(2a) intermediate vocational","3","","",""
"Some worries","1993","Single parent ","(2c_gen) general maturity certificate","3","","",""
"Some worries","1993","Single parent ","(2c_voc) vocational maturity certificate","1","","",""
"Some worries","1993","Single parent ","(3a) lower tertiary education","","","",""
"Some worries","1993","Single parent ","(3b) higher tertiary education","","","",""
"Some worries","1993","Couple + C. LE 16 ","(0) in school","","","",""
"Some worries","1993","Couple + C. LE 16 ","(1a) inadequately completed","27","","",""
"Some worries","1993","Couple + C. LE 16 ","(1b) general elementary school","83","0.359854031360299","0.293829889435446","0.425878173285153"
"Some worries","1993","Couple + C. LE 16 ","(1c) basic vocational qualification","58","0.423171469251914","0.338887946047314","0.507454992456515"
"Some worries","1993","Couple + C. LE 16 ","(2b) intermediate general qualification","1","","",""
"Some worries","1993","Couple + C. LE 16 ","(2a) intermediate vocational","2","","",""
"Some worries","1993","Couple + C. LE 16 ","(2c_gen) general maturity certificate","12","","",""
"Some worries","1993","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","12","","",""
"Some worries","1993","Couple + C. LE 16 ","(3a) lower tertiary education","2","","",""
"Some worries","1993","Couple + C. LE 16 ","(3b) higher tertiary education","3","","",""
"Some worries","1993","Couple + C. GT 16 ","(0) in school","11","","",""
"Some worries","1993","Couple + C. GT 16 ","(1a) inadequately completed","57","0.374584048751903","0.297126887190571","0.452041210313235"
"Some worries","1993","Couple + C. GT 16 ","(1b) general elementary school","61","0.406630350255502","0.328541530886048","0.484719169624956"
"Some worries","1993","Couple + C. GT 16 ","(1c) basic vocational qualification","49","0.448076240927103","0.350116867914721","0.546035613939485"
"Some worries","1993","Couple + C. GT 16 ","(2b) intermediate general qualification","11","","",""
"Some worries","1993","Couple + C. GT 16 ","(2a) intermediate vocational","6","","",""
"Some worries","1993","Couple + C. GT 16 ","(2c_gen) general maturity certificate","10","","",""
"Some worries","1993","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","5","","",""
"Some worries","1993","Couple + C. GT 16 ","(3a) lower tertiary education","1","","",""
"Some worries","1993","Couple + C. GT 16 ","(3b) higher tertiary education","7","","",""
"Some worries","1993","Couple + C. LE and GT 16","(0) in school","7","","",""
"Some worries","1993","Couple + C. LE and GT 16","(1a) inadequately completed","41","0.317654188194269","0.229849890955216","0.405458485433323"
"Some worries","1993","Couple + C. LE and GT 16","(1b) general elementary school","42","0.286297420054169","0.207988640278219","0.364606199830118"
"Some worries","1993","Couple + C. LE and GT 16","(1c) basic vocational qualification","31","0.577707252155859","0.450592833511613","0.704821670800106"
"Some worries","1993","Couple + C. LE and GT 16","(2b) intermediate general qualification","13","","",""
"Some worries","1993","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"Some worries","1993","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","6","","",""
"Some worries","1993","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","2","","",""
"Some worries","1993","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Some worries","1993","Couple + C. LE and GT 16","(3b) higher tertiary education","1","","",""
"No worries","1993","1-pers.-HH","(0) in school","","","",""
"No worries","1993","1-pers.-HH","(1a) inadequately completed","6","","",""
"No worries","1993","1-pers.-HH","(1b) general elementary school","6","","",""
"No worries","1993","1-pers.-HH","(1c) basic vocational qualification","6","","",""
"No worries","1993","1-pers.-HH","(2b) intermediate general qualification","","","",""
"No worries","1993","1-pers.-HH","(2a) intermediate vocational","","","",""
"No worries","1993","1-pers.-HH","(2c_gen) general maturity certificate","1","","",""
"No worries","1993","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"No worries","1993","1-pers.-HH","(3a) lower tertiary education","","","",""
"No worries","1993","1-pers.-HH","(3b) higher tertiary education","1","","",""
"No worries","1993","(Married) couple without C. ","(0) in school","","","",""
"No worries","1993","(Married) couple without C. ","(1a) inadequately completed","7","","",""
"No worries","1993","(Married) couple without C. ","(1b) general elementary school","12","","",""
"No worries","1993","(Married) couple without C. ","(1c) basic vocational qualification","8","","",""
"No worries","1993","(Married) couple without C. ","(2b) intermediate general qualification","1","","",""
"No worries","1993","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"No worries","1993","(Married) couple without C. ","(2c_gen) general maturity certificate","2","","",""
"No worries","1993","(Married) couple without C. ","(2c_voc) vocational maturity certificate","1","","",""
"No worries","1993","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"No worries","1993","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"No worries","1993","Single parent ","(0) in school","","","",""
"No worries","1993","Single parent ","(1a) inadequately completed","2","","",""
"No worries","1993","Single parent ","(1b) general elementary school","3","","",""
"No worries","1993","Single parent ","(1c) basic vocational qualification","3","","",""
"No worries","1993","Single parent ","(2b) intermediate general qualification","","","",""
"No worries","1993","Single parent ","(2a) intermediate vocational","1","","",""
"No worries","1993","Single parent ","(2c_gen) general maturity certificate","","","",""
"No worries","1993","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"No worries","1993","Single parent ","(3a) lower tertiary education","","","",""
"No worries","1993","Single parent ","(3b) higher tertiary education","","","",""
"No worries","1993","Couple + C. LE 16 ","(0) in school","","","",""
"No worries","1993","Couple + C. LE 16 ","(1a) inadequately completed","11","","",""
"No worries","1993","Couple + C. LE 16 ","(1b) general elementary school","18","","",""
"No worries","1993","Couple + C. LE 16 ","(1c) basic vocational qualification","9","","",""
"No worries","1993","Couple + C. LE 16 ","(2b) intermediate general qualification","1","","",""
"No worries","1993","Couple + C. LE 16 ","(2a) intermediate vocational","2","","",""
"No worries","1993","Couple + C. LE 16 ","(2c_gen) general maturity certificate","2","","",""
"No worries","1993","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","1","","",""
"No worries","1993","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"No worries","1993","Couple + C. LE 16 ","(3b) higher tertiary education","1","","",""
"No worries","1993","Couple + C. GT 16 ","(0) in school","","","",""
"No worries","1993","Couple + C. GT 16 ","(1a) inadequately completed","28","","",""
"No worries","1993","Couple + C. GT 16 ","(1b) general elementary school","22","","",""
"No worries","1993","Couple + C. GT 16 ","(1c) basic vocational qualification","18","","",""
"No worries","1993","Couple + C. GT 16 ","(2b) intermediate general qualification","5","","",""
"No worries","1993","Couple + C. GT 16 ","(2a) intermediate vocational","2","","",""
"No worries","1993","Couple + C. GT 16 ","(2c_gen) general maturity certificate","1","","",""
