"plj0047","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No worries","1992","Other degree","(Married) couple without C. ","37","0.204515057727094","0.142594777229975","0.266435338224212"
"No worries","1992","Other degree","Single parent ","6","","",""
"No worries","1992","Other degree","Couple + C. LE 16 ","41","0.164745361211582","0.117716421648952","0.211774300774211"
"No worries","1992","Other degree","Couple + C. GT 16 ","38","0.191417712199241","0.134103546343207","0.248731878055276"
"No worries","1992","Other degree","Couple + C. LE and GT 16","17","","",""
"No worries","1992","no degree/no degree yet","1-pers.-HH","9","","",""
"No worries","1992","no degree/no degree yet","(Married) couple without C. ","15","","",""
"No worries","1992","no degree/no degree yet","Single parent ","6","","",""
"No worries","1992","no degree/no degree yet","Couple + C. LE 16 ","27","","",""
"No worries","1992","no degree/no degree yet","Couple + C. GT 16 ","35","0.201475066039692","0.138932680601344","0.26401745147804"
"No worries","1992","no degree/no degree yet","Couple + C. LE and GT 16","27","","",""
"Big worries","1993","lower secondary degree","1-pers.-HH","7","","",""
"Big worries","1993","lower secondary degree","(Married) couple without C. ","17","","",""
"Big worries","1993","lower secondary degree","Single parent ","8","","",""
"Big worries","1993","lower secondary degree","Couple + C. LE 16 ","86","0.609805640330518","0.533503894152701","0.686107386508335"
"Big worries","1993","lower secondary degree","Couple + C. GT 16 ","47","0.568305258909211","0.469736011564082","0.666874506254341"
"Big worries","1993","lower secondary degree","Couple + C. LE and GT 16","37","0.525057947270495","0.408901626517694","0.641214268023295"
"Big worries","1993","secondary school degree","1-pers.-HH","8","","",""
"Big worries","1993","secondary school degree","(Married) couple without C. ","8","","",""
"Big worries","1993","secondary school degree","Single parent ","1","","",""
"Big worries","1993","secondary school degree","Couple + C. LE 16 ","6","","",""
"Big worries","1993","secondary school degree","Couple + C. GT 16 ","16","","",""
"Big worries","1993","secondary school degree","Couple + C. LE and GT 16","17","","",""
"Big worries","1993","college entrance qualification","1-pers.-HH","6","","",""
"Big worries","1993","college entrance qualification","(Married) couple without C. ","3","","",""
"Big worries","1993","college entrance qualification","Single parent ","4","","",""
"Big worries","1993","college entrance qualification","Couple + C. LE 16 ","5","","",""
"Big worries","1993","college entrance qualification","Couple + C. GT 16 ","16","","",""
"Big worries","1993","college entrance qualification","Couple + C. LE and GT 16","4","","",""
"Big worries","1993","Other degree","1-pers.-HH","13","","",""
"Big worries","1993","Other degree","(Married) couple without C. ","75","0.521705183005907","0.443317792911815","0.600092573099999"
"Big worries","1993","Other degree","Single parent ","8","","",""
"Big worries","1993","Other degree","Couple + C. LE 16 ","100","0.438094121415253","0.373120124648312","0.503068118182194"
"Big worries","1993","Other degree","Couple + C. GT 16 ","73","0.421500101857567","0.349956132535363","0.49304407117977"
"Big worries","1993","Other degree","Couple + C. LE and GT 16","66","0.535245435410548","0.450161132803685","0.620329738017412"
"Big worries","1993","no degree/no degree yet","1-pers.-HH","12","","",""
"Big worries","1993","no degree/no degree yet","(Married) couple without C. ","24","","",""
"Big worries","1993","no degree/no degree yet","Single parent ","12","","",""
"Big worries","1993","no degree/no degree yet","Couple + C. LE 16 ","52","0.608662808325047","0.507267693241626","0.710057923408467"
"Big worries","1993","no degree/no degree yet","Couple + C. GT 16 ","70","0.410222681949072","0.335621840962527","0.484823522935618"
"Big worries","1993","no degree/no degree yet","Couple + C. LE and GT 16","72","0.627423870392734","0.544629563401666","0.710218177383803"
"Some worries","1993","lower secondary degree","1-pers.-HH","9","","",""
"Some worries","1993","lower secondary degree","(Married) couple without C. ","13","","",""
"Some worries","1993","lower secondary degree","Single parent ","10","","",""
"Some worries","1993","lower secondary degree","Couple + C. LE 16 ","61","0.357039812867794","0.282093783524254","0.431985842211334"
"Some worries","1993","lower secondary degree","Couple + C. GT 16 ","36","0.303658021003954","0.212148582351907","0.395167459656002"
"Some worries","1993","lower secondary degree","Couple + C. LE and GT 16","24","","",""
"Some worries","1993","secondary school degree","1-pers.-HH","3","","",""
"Some worries","1993","secondary school degree","(Married) couple without C. ","5","","",""
"Some worries","1993","secondary school degree","Single parent ","3","","",""
"Some worries","1993","secondary school degree","Couple + C. LE 16 ","3","","",""
"Some worries","1993","secondary school degree","Couple + C. GT 16 ","19","","",""
"Some worries","1993","secondary school degree","Couple + C. LE and GT 16","13","","",""
"Some worries","1993","college entrance qualification","1-pers.-HH","5","","",""
"Some worries","1993","college entrance qualification","(Married) couple without C. ","3","","",""
"Some worries","1993","college entrance qualification","Single parent ","2","","",""
"Some worries","1993","college entrance qualification","Couple + C. LE 16 ","5","","",""
"Some worries","1993","college entrance qualification","Couple + C. GT 16 ","12","","",""
"Some worries","1993","college entrance qualification","Couple + C. LE and GT 16","2","","",""
"Some worries","1993","Other degree","1-pers.-HH","24","","",""
"Some worries","1993","Other degree","(Married) couple without C. ","62","0.340078917092256","0.265739072649235","0.414418761535277"
"Some worries","1993","Other degree","Single parent ","11","","",""
"Some worries","1993","Other degree","Couple + C. LE 16 ","104","0.472649665988848","0.407269898429919","0.538029433547778"
"Some worries","1993","Other degree","Couple + C. GT 16 ","82","0.444846896498952","0.372846611636617","0.516847181361288"
"Some worries","1993","Other degree","Couple + C. LE and GT 16","56","0.411300730410573","0.327357125794732","0.495244335026414"
"Some worries","1993","no degree/no degree yet","1-pers.-HH","12","","",""
"Some worries","1993","no degree/no degree yet","(Married) couple without C. ","37","0.550791036839675","0.432565505804236","0.669016567875114"
"Some worries","1993","no degree/no degree yet","Single parent ","10","","",""
"Some worries","1993","no degree/no degree yet","Couple + C. LE 16 ","26","","",""
"Some worries","1993","no degree/no degree yet","Couple + C. GT 16 ","69","0.457841847158953","0.382278603133031","0.533405091184876"
"Some worries","1993","no degree/no degree yet","Couple + C. LE and GT 16","48","0.308541859083638","0.229446238790845","0.387637479376432"
"No worries","1993","lower secondary degree","1-pers.-HH","3","","",""
"No worries","1993","lower secondary degree","(Married) couple without C. ","3","","",""
"No worries","1993","lower secondary degree","Single parent ","5","","",""
"No worries","1993","lower secondary degree","Couple + C. LE 16 ","10","","",""
"No worries","1993","lower secondary degree","Couple + C. GT 16 ","14","","",""
"No worries","1993","lower secondary degree","Couple + C. LE and GT 16","10","","",""
"No worries","1993","secondary school degree","1-pers.-HH","","","",""
"No worries","1993","secondary school degree","(Married) couple without C. ","1","","",""
"No worries","1993","secondary school degree","Single parent ","1","","",""
"No worries","1993","secondary school degree","Couple + C. LE 16 ","3","","",""
"No worries","1993","secondary school degree","Couple + C. GT 16 ","7","","",""
"No worries","1993","secondary school degree","Couple + C. LE and GT 16","5","","",""
"No worries","1993","college entrance qualification","1-pers.-HH","","","",""
"No worries","1993","college entrance qualification","(Married) couple without C. ","1","","",""
"No worries","1993","college entrance qualification","Single parent ","","","",""
"No worries","1993","college entrance qualification","Couple + C. LE 16 ","1","","",""
"No worries","1993","college entrance qualification","Couple + C. GT 16 ","","","",""
"No worries","1993","college entrance qualification","Couple + C. LE and GT 16","","","",""
"No worries","1993","Other degree","1-pers.-HH","11","","",""
"No worries","1993","Other degree","(Married) couple without C. ","19","","",""
"No worries","1993","Other degree","Single parent ","1","","",""
"No worries","1993","Other degree","Couple + C. LE 16 ","20","","",""
"No worries","1993","Other degree","Couple + C. GT 16 ","28","","",""
"No worries","1993","Other degree","Couple + C. LE and GT 16","10","","",""
"No worries","1993","no degree/no degree yet","1-pers.-HH","6","","",""
"No worries","1993","no degree/no degree yet","(Married) couple without C. ","7","","",""
"No worries","1993","no degree/no degree yet","Single parent ","2","","",""
"No worries","1993","no degree/no degree yet","Couple + C. LE 16 ","11","","",""
"No worries","1993","no degree/no degree yet","Couple + C. GT 16 ","28","","",""
"No worries","1993","no degree/no degree yet","Couple + C. LE and GT 16","11","","",""
"Big worries","1994","lower secondary degree","1-pers.-HH","6","","",""
"Big worries","1994","lower secondary degree","(Married) couple without C. ","22","","",""
"Big worries","1994","lower secondary degree","Single parent ","10","","",""
"Big worries","1994","lower secondary degree","Couple + C. LE 16 ","79","0.511699575756811","0.434487321475232","0.58891183003839"
"Big worries","1994","lower secondary degree","Couple + C. GT 16 ","29","","",""
"Big worries","1994","lower secondary degree","Couple + C. LE and GT 16","30","0.52296497163247","0.394422830514482","0.651507112750458"
"Big worries","1994","secondary school degree","1-pers.-HH","6","","",""
"Big worries","1994","secondary school degree","(Married) couple without C. ","6","","",""
"Big worries","1994","secondary school degree","Single parent ","","","",""
"Big worries","1994","secondary school degree","Couple + C. LE 16 ","7","","",""
"Big worries","1994","secondary school degree","Couple + C. GT 16 ","19","","",""
"Big worries","1994","secondary school degree","Couple + C. LE and GT 16","17","","",""
"Big worries","1994","college entrance qualification","1-pers.-HH","7","","",""
"Big worries","1994","college entrance qualification","(Married) couple without C. ","5","","",""
"Big worries","1994","college entrance qualification","Single parent ","1","","",""
"Big worries","1994","college entrance qualification","Couple + C. LE 16 ","6","","",""
"Big worries","1994","college entrance qualification","Couple + C. GT 16 ","11","","",""
"Big worries","1994","college entrance qualification","Couple + C. LE and GT 16","7","","",""
"Big worries","1994","Other degree","1-pers.-HH","15","","",""
"Big worries","1994","Other degree","(Married) couple without C. ","58","0.385723228215122","0.308340107487306","0.463106348942937"
"Big worries","1994","Other degree","Single parent ","11","","",""
"Big worries","1994","Other degree","Couple + C. LE 16 ","93","0.47524667533215","0.407543024037284","0.542950326627016"
"Big worries","1994","Other degree","Couple + C. GT 16 ","73","0.513303022778912","0.438822747211336","0.587783298346488"
"Big worries","1994","Other degree","Couple + C. LE and GT 16","57","0.454003657058419","0.364923287414205","0.543084026702633"
"Big worries","1994","no degree/no degree yet","1-pers.-HH","11","","",""
"Big worries","1994","no degree/no degree yet","(Married) couple without C. ","28","","",""
"Big worries","1994","no degree/no degree yet","Single parent ","12","","",""
"Big worries","1994","no degree/no degree yet","Couple + C. LE 16 ","42","0.649221258054299","0.542631438382989","0.755811077725609"
"Big worries","1994","no degree/no degree yet","Couple + C. GT 16 ","79","0.481756803778031","0.405974014068559","0.557539593487502"
"Big worries","1994","no degree/no degree yet","Couple + C. LE and GT 16","57","0.528395181320431","0.438326121682979","0.618464240957883"
"Some worries","1994","lower secondary degree","1-pers.-HH","9","","",""
"Some worries","1994","lower secondary degree","(Married) couple without C. ","14","","",""
"Some worries","1994","lower secondary degree","Single parent ","8","","",""
"Some worries","1994","lower secondary degree","Couple + C. LE 16 ","69","0.408927329248841","0.332985918481473","0.484868740016208"
"Some worries","1994","lower secondary degree","Couple + C. GT 16 ","44","0.464531757392737","0.360915559554549","0.568147955230925"
"Some worries","1994","lower secondary degree","Couple + C. LE and GT 16","25","","",""
"Some worries","1994","secondary school degree","1-pers.-HH","4","","",""
"Some worries","1994","secondary school degree","(Married) couple without C. ","10","","",""
"Some worries","1994","secondary school degree","Single parent ","2","","",""
"Some worries","1994","secondary school degree","Couple + C. LE 16 ","4","","",""
"Some worries","1994","secondary school degree","Couple + C. GT 16 ","16","","",""
"Some worries","1994","secondary school degree","Couple + C. LE and GT 16","8","","",""
"Some worries","1994","college entrance qualification","1-pers.-HH","5","","",""
"Some worries","1994","college entrance qualification","(Married) couple without C. ","3","","",""
"Some worries","1994","college entrance qualification","Single parent ","2","","",""
"Some worries","1994","college entrance qualification","Couple + C. LE 16 ","2","","",""
"Some worries","1994","college entrance qualification","Couple + C. GT 16 ","13","","",""
"Some worries","1994","college entrance qualification","Couple + C. LE and GT 16","2","","",""
"Some worries","1994","Other degree","1-pers.-HH","18","","",""
"Some worries","1994","Other degree","(Married) couple without C. ","63","0.432198068402472","0.353445243581741","0.510950893223204"
"Some worries","1994","Other degree","Single parent ","8","","",""
"Some worries","1994","Other degree","Couple + C. LE 16 ","96","0.433275433869469","0.36609496969663","0.500455898042309"
"Some worries","1994","Other degree","Couple + C. GT 16 ","76","0.38098967498285","0.308624337953644","0.453355012012056"
"Some worries","1994","Other degree","Couple + C. LE and GT 16","53","0.487727546602373","0.398294791086268","0.577160302118477"
"Some worries","1994","no degree/no degree yet","1-pers.-HH","13","","",""
"Some worries","1994","no degree/no degree yet","(Married) couple without C. ","38","0.515799669985956","0.401158731814449","0.630440608157462"
"Some worries","1994","no degree/no degree yet","Single parent ","8","","",""
"Some worries","1994","no degree/no degree yet","Couple + C. LE 16 ","27","","",""
"Some worries","1994","no degree/no degree yet","Couple + C. GT 16 ","72","0.470605675881588","0.394903549895611","0.546307801867565"
"Some worries","1994","no degree/no degree yet","Couple + C. LE and GT 16","51","0.410947610489902","0.322175350143391","0.499719870836412"
"No worries","1994","lower secondary degree","1-pers.-HH","1","","",""
"No worries","1994","lower secondary degree","(Married) couple without C. ","3","","",""
"No worries","1994","lower secondary degree","Single parent ","3","","",""
"No worries","1994","lower secondary degree","Couple + C. LE 16 ","13","","",""
"No worries","1994","lower secondary degree","Couple + C. GT 16 ","16","","",""
"No worries","1994","lower secondary degree","Couple + C. LE and GT 16","3","","",""
"No worries","1994","secondary school degree","1-pers.-HH","1","","",""
"No worries","1994","secondary school degree","(Married) couple without C. ","","","",""
"No worries","1994","secondary school degree","Single parent ","","","",""
"No worries","1994","secondary school degree","Couple + C. LE 16 ","3","","",""
"No worries","1994","secondary school degree","Couple + C. GT 16 ","4","","",""
"No worries","1994","secondary school degree","Couple + C. LE and GT 16","4","","",""
"No worries","1994","college entrance qualification","1-pers.-HH","","","",""
"No worries","1994","college entrance qualification","(Married) couple without C. ","1","","",""
"No worries","1994","college entrance qualification","Single parent ","1","","",""
"No worries","1994","college entrance qualification","Couple + C. LE 16 ","3","","",""
"No worries","1994","college entrance qualification","Couple + C. GT 16 ","","","",""
"No worries","1994","college entrance qualification","Couple + C. LE and GT 16","1","","",""
"No worries","1994","Other degree","1-pers.-HH","9","","",""
"No worries","1994","Other degree","(Married) couple without C. ","31","0.182078703382406","0.120729118111361","0.243428288653451"
"No worries","1994","Other degree","Single parent ","4","","",""
"No worries","1994","Other degree","Couple + C. LE 16 ","20","","",""
"No worries","1994","Other degree","Couple + C. GT 16 ","24","","",""
"No worries","1994","Other degree","Couple + C. LE and GT 16","10","","",""
"No worries","1994","no degree/no degree yet","1-pers.-HH","4","","",""
"No worries","1994","no degree/no degree yet","(Married) couple without C. ","7","","",""
"No worries","1994","no degree/no degree yet","Single parent ","1","","",""
"No worries","1994","no degree/no degree yet","Couple + C. LE 16 ","8","","",""
"No worries","1994","no degree/no degree yet","Couple + C. GT 16 ","16","","",""
"No worries","1994","no degree/no degree yet","Couple + C. LE and GT 16","10","","",""
"Big worries","1995","lower secondary degree","1-pers.-HH","5","","",""
"Big worries","1995","lower secondary degree","(Married) couple without C. ","13","","",""
"Big worries","1995","lower secondary degree","Single parent ","9","","",""
"Big worries","1995","lower secondary degree","Couple + C. LE 16 ","75","0.505900450037461","0.430298462645808","0.581502437429114"
"Big worries","1995","lower secondary degree","Couple + C. GT 16 ","30","0.438198414235717","0.325907571685382","0.550489256786052"
"Big worries","1995","lower secondary degree","Couple + C. LE and GT 16","18","","",""
"Big worries","1995","secondary school degree","1-pers.-HH","6","","",""
"Big worries","1995","secondary school degree","(Married) couple without C. ","7","","",""
"Big worries","1995","secondary school degree","Single parent ","","","",""
"Big worries","1995","secondary school degree","Couple + C. LE 16 ","6","","",""
"Big worries","1995","secondary school degree","Couple + C. GT 16 ","16","","",""
"Big worries","1995","secondary school degree","Couple + C. LE and GT 16","8","","",""
"Big worries","1995","college entrance qualification","1-pers.-HH","6","","",""
"Big worries","1995","college entrance qualification","(Married) couple without C. ","5","","",""
"Big worries","1995","college entrance qualification","Single parent ","2","","",""
"Big worries","1995","college entrance qualification","Couple + C. LE 16 ","5","","",""
"Big worries","1995","college entrance qualification","Couple + C. GT 16 ","13","","",""
"Big worries","1995","college entrance qualification","Couple + C. LE and GT 16","2","","",""
"Big worries","1995","Other degree","1-pers.-HH","8","","",""
"Big worries","1995","Other degree","(Married) couple without C. ","57","0.471544292579349","0.387023952752625","0.556064632406073"
"Big worries","1995","Other degree","Single parent ","5","","",""
"Big worries","1995","Other degree","Couple + C. LE 16 ","71","0.389067210718897","0.320813056653376","0.457321364784419"
"Big worries","1995","Other degree","Couple + C. GT 16 ","61","0.431649195977874","0.355377344085719","0.507921047870028"
"Big worries","1995","Other degree","Couple + C. LE and GT 16","53","0.654886326465062","0.560762603298323","0.749010049631801"
"Big worries","1995","no degree/no degree yet","1-pers.-HH","9","","",""
"Big worries","1995","no degree/no degree yet","(Married) couple without C. ","29","","",""
"Big worries","1995","no degree/no degree yet","Single parent ","9","","",""
"Big worries","1995","no degree/no degree yet","Couple + C. LE 16 ","26","","",""
"Big worries","1995","no degree/no degree yet","Couple + C. GT 16 ","67","0.457978364327668","0.379542798474402","0.536413930180934"
"Big worries","1995","no degree/no degree yet","Couple + C. LE and GT 16","49","0.525995667572818","0.429565767264565","0.622425567881072"
"Some worries","1995","lower secondary degree","1-pers.-HH","8","","",""
"Some worries","1995","lower secondary degree","(Married) couple without C. ","14","","",""
"Some worries","1995","lower secondary degree","Single parent ","11","","",""
"Some worries","1995","lower secondary degree","Couple + C. LE 16 ","79","0.420346569178798","0.345704888610289","0.494988249747307"
"Some worries","1995","lower secondary degree","Couple + C. GT 16 ","35","0.459678669537549","0.346888644907821","0.572468694167277"
"Some worries","1995","lower secondary degree","Couple + C. LE and GT 16","22","","",""
"Some worries","1995","secondary school degree","1-pers.-HH","4","","",""
"Some worries","1995","secondary school degree","(Married) couple without C. ","8","","",""
"Some worries","1995","secondary school degree","Single parent ","3","","",""
"Some worries","1995","secondary school degree","Couple + C. LE 16 ","7","","",""
"Some worries","1995","secondary school degree","Couple + C. GT 16 ","16","","",""
"Some worries","1995","secondary school degree","Couple + C. LE and GT 16","19","","",""
"Some worries","1995","college entrance qualification","1-pers.-HH","4","","",""
"Some worries","1995","college entrance qualification","(Married) couple without C. ","4","","",""
"Some worries","1995","college entrance qualification","Single parent ","1","","",""
"Some worries","1995","college entrance qualification","Couple + C. LE 16 ","8","","",""
"Some worries","1995","college entrance qualification","Couple + C. GT 16 ","8","","",""
"Some worries","1995","college entrance qualification","Couple + C. LE and GT 16","6","","",""
"Some worries","1995","Other degree","1-pers.-HH","17","","",""
"Some worries","1995","Other degree","(Married) couple without C. ","49","0.345135051415377","0.264640571525742","0.425629531305013"
"Some worries","1995","Other degree","Single parent ","11","","",""
"Some worries","1995","Other degree","Couple + C. LE 16 ","95","0.442306214780697","0.372775054183329","0.511837375378064"
"Some worries","1995","Other degree","Couple + C. GT 16 ","69","0.408361830113214","0.332671352272363","0.484052307954064"
"Some worries","1995","Other degree","Couple + C. LE and GT 16","39","0.303915686058396","0.212852564224131","0.394978807892662"
"Some worries","1995","no degree/no degree yet","1-pers.-HH","14","","",""
"Some worries","1995","no degree/no degree yet","(Married) couple without C. ","29","","",""
"Some worries","1995","no degree/no degree yet","Single parent ","6","","",""
"Some worries","1995","no degree/no degree yet","Couple + C. LE 16 ","38","0.483362213294479","0.370266305433684","0.596458121155273"
"Some worries","1995","no degree/no degree yet","Couple + C. GT 16 ","66","0.459057464583573","0.380607755953881","0.537507173213264"
"Some worries","1995","no degree/no degree yet","Couple + C. LE and GT 16","47","0.403090041121805","0.308360610867363","0.497819471376247"
"No worries","1995","lower secondary degree","1-pers.-HH","","","",""
"No worries","1995","lower secondary degree","(Married) couple without C. ","6","","",""
"No worries","1995","lower secondary degree","Single parent ","2","","",""
"No worries","1995","lower secondary degree","Couple + C. LE 16 ","14","","",""
"No worries","1995","lower secondary degree","Couple + C. GT 16 ","10","","",""
"No worries","1995","lower secondary degree","Couple + C. LE and GT 16","4","","",""
"No worries","1995","secondary school degree","1-pers.-HH","","","",""
"No worries","1995","secondary school degree","(Married) couple without C. ","1","","",""
"No worries","1995","secondary school degree","Single parent ","","","",""
"No worries","1995","secondary school degree","Couple + C. LE 16 ","2","","",""
"No worries","1995","secondary school degree","Couple + C. GT 16 ","5","","",""
"No worries","1995","secondary school degree","Couple + C. LE and GT 16","5","","",""
"No worries","1995","college entrance qualification","1-pers.-HH","","","",""
"No worries","1995","college entrance qualification","(Married) couple without C. ","3","","",""
"No worries","1995","college entrance qualification","Single parent ","1","","",""
"No worries","1995","college entrance qualification","Couple + C. LE 16 ","1","","",""
"No worries","1995","college entrance qualification","Couple + C. GT 16 ","5","","",""
"No worries","1995","college entrance qualification","Couple + C. LE and GT 16","1","","",""
"No worries","1995","Other degree","1-pers.-HH","12","","",""
"No worries","1995","Other degree","(Married) couple without C. ","28","","",""
"No worries","1995","Other degree","Single parent ","3","","",""
"No worries","1995","Other degree","Couple + C. LE 16 ","30","0.168626574500406","0.116208491591024","0.221044657409788"
"No worries","1995","Other degree","Couple + C. GT 16 ","32","0.159988973908913","0.103537133690935","0.21644081412689"
"No worries","1995","Other degree","Couple + C. LE and GT 16","6","","",""
"No worries","1995","no degree/no degree yet","1-pers.-HH","6","","",""
"No worries","1995","no degree/no degree yet","(Married) couple without C. ","11","","",""
"No worries","1995","no degree/no degree yet","Single parent ","3","","",""
"No worries","1995","no degree/no degree yet","Couple + C. LE 16 ","11","","",""
"No worries","1995","no degree/no degree yet","Couple + C. GT 16 ","22","","",""
"No worries","1995","no degree/no degree yet","Couple + C. LE and GT 16","7","","",""
"Big worries","1996","lower secondary degree","1-pers.-HH","225","0.315823809691813","0.282354604488085","0.349293014895542"
"Big worries","1996","lower secondary degree","(Married) couple without C. ","605","0.331083415202806","0.30963306778722","0.352533762618391"
"Big worries","1996","lower secondary degree","Single parent ","78","0.300814413721478","0.243851267066507","0.35777756037645"
"Big worries","1996","lower secondary degree","Couple + C. LE 16 ","304","0.326883189056849","0.296271567619396","0.357494810494302"
