"plj0589","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Often","2017","66 and older","Not Employed","136","0.033921779313112","0.0286023830227585","0.0392411756034655","2"
"Rarely ","2017","16-34 y.","Not Employed","808","0.287873260326539","0.273045873761723","0.302700646891356","4"
"Rarely ","2017","16-34 y.","Employed","1182","0.268856810223098","0.255882621920303","0.281830998525892","4"
"Rarely ","2017","66 and older","Not Employed","1178","0.261144425119939","0.248237076361221","0.274051773878656","4"
"Rarely ","2017","35-65 y.","Employed","3448","0.26908616476169","0.261448242830778","0.276724086692602","4"
"Rarely ","2017","66 and older","Employed","163","0.259276364906514","0.224210703768868","0.294342026044159","4"
"Rarely ","2017","35-65 y.","Not Employed","814","0.260134824776242","0.245390655238923","0.274878994313561","4"
"Sometimes","2017","16-34 y.","Not Employed","722","0.161575019734642","0.149521760041403","0.17362827942788","3"
"Sometimes","2017","16-34 y.","Employed","467","0.0958062025087815","0.0871933694125161","0.104419035605047","3"
"Sometimes","2017","66 and older","Not Employed","421","0.109841624104542","0.100653348736048","0.119029899473035","3"
"Sometimes","2017","66 and older","Employed","33","0.0718586428328211","0.0511944220385186","0.0925228636271236","3"
"Sometimes","2017","35-65 y.","Not Employed","629","0.16746479543956","0.154915832397378","0.180013758481742","3"
"Sometimes","2017","35-65 y.","Employed","1166","0.0900162882364532","0.0850871182062907","0.0949454582666157","3"
"Very often","2017","35-65 y.","Not Employed","172","0.0457191893108925","0.038699269827305","0.0527391087944801","1"
"Very often","2017","66 and older","Employed","3","","","","1"
"Very often","2017","16-34 y.","Not Employed","155","0.0297104157142392","0.0241502165354758","0.0352706148930026","1"
"Very often","2017","16-34 y.","Employed","34","0.006729888775719","0.00433736598564108","0.00912241156579692","1"
"Very often","2017","35-65 y.","Employed","92","0.00654863320281309","0.00515949620602786","0.00793777019959833","1"
"Very often","2017","66 and older","Not Employed","45","0.0104184688159823","0.00743484114064761","0.0134020964913169","1"
"Never","2018","16-34 y.","Not Employed","119","0.467995586858933","0.40687231342087","0.529118860296995","5"
"Never","2018","16-34 y.","Employed","","","","","5"
"Never","2018","35-65 y.","Not Employed","71","0.462170932862905","0.385396956819601","0.538944908906208","5"
"Never","2018","66 and older","Not Employed","1","","","","5"
"Never","2018","66 and older","Employed","","","","","5"
"Never","2018","35-65 y.","Employed","","","","","5"
"Often","2018","35-65 y.","Not Employed","18","","","","2"
"Often","2018","35-65 y.","Employed","","","","","2"
"Often","2018","66 and older","Employed","","","","","2"
"Often","2018","16-34 y.","Not Employed","21","","","","2"
"Often","2018","16-34 y.","Employed","","","","","2"
"Often","2018","66 and older","Not Employed","1","","","","2"
"Rarely ","2018","16-34 y.","Not Employed","46","0.18030024292874","0.133207534621371","0.227392951236108","4"
"Rarely ","2018","16-34 y.","Employed","","","","","4"
"Rarely ","2018","66 and older","Employed","","","","","4"
"Rarely ","2018","35-65 y.","Not Employed","24","","","","4"
"Rarely ","2018","35-65 y.","Employed","","","","","4"
"Rarely ","2018","66 and older","Not Employed","1","","","","4"
"Sometimes","2018","16-34 y.","Not Employed","58","0.237982622935202","0.185817147567459","0.290148098302945","3"
"Sometimes","2018","16-34 y.","Employed","","","","","3"
"Sometimes","2018","35-65 y.","Not Employed","35","0.223375717329362","0.159237919171358","0.287513515487365","3"
"Sometimes","2018","66 and older","Employed","","","","","3"
"Sometimes","2018","35-65 y.","Employed","","","","","3"
"Sometimes","2018","66 and older","Not Employed","","","","","3"
"Very often","2018","35-65 y.","Not Employed","14","","","","1"
"Very often","2018","16-34 y.","Employed","","","","","1"
"Very often","2018","66 and older","Employed","","","","","1"
"Very often","2018","35-65 y.","Employed","","","","","1"
"Very often","2018","16-34 y.","Not Employed","12","","","","1"
"Very often","2018","66 and older","Not Employed","1","","","","1"
"Never","2019","16-34 y.","Not Employed","85","0.581337497335622","0.501038468862573","0.661636525808672","5"
"Never","2019","16-34 y.","Employed","","","","","5"
"Never","2019","35-65 y.","Not Employed","46","0.358679058377148","0.274600780879112","0.442757335875185","5"
"Never","2019","35-65 y.","Employed","","","","","5"
"Never","2019","66 and older","Not Employed","3","","","","5"
"Never","2019","66 and older","Employed","","","","","5"
"Often","2019","16-34 y.","Not Employed","11","","","","2"
"Often","2019","16-34 y.","Employed","","","","","2"
"Often","2019","35-65 y.","Not Employed","10","","","","2"
"Often","2019","35-65 y.","Employed","","","","","2"
"Often","2019","66 and older","Employed","","","","","2"
"Often","2019","66 and older","Not Employed","","","","","2"
"Rarely ","2019","16-34 y.","Not Employed","19","","","","4"
"Rarely ","2019","16-34 y.","Employed","","","","","4"
"Rarely ","2019","35-65 y.","Not Employed","31","0.342054958654885","0.258890868811433","0.425219048498336","4"
"Rarely ","2019","35-65 y.","Employed","","","","","4"
"Rarely ","2019","66 and older","Employed","","","","","4"
"Rarely ","2019","66 and older","Not Employed","2","","","","4"
"Sometimes","2019","35-65 y.","Not Employed","34","0.206824768706464","0.135821403904272","0.277828133508656","3"
"Sometimes","2019","66 and older","Employed","","","","","3"
"Sometimes","2019","16-34 y.","Employed","","","","","3"
"Sometimes","2019","16-34 y.","Not Employed","27","","","","3"
"Sometimes","2019","35-65 y.","Employed","","","","","3"
"Sometimes","2019","66 and older","Not Employed","","","","","3"
"Very often","2019","66 and older","Employed","","","","","1"
"Very often","2019","35-65 y.","Employed","","","","","1"
"Very often","2019","16-34 y.","Not Employed","3","","","","1"
"Very often","2019","16-34 y.","Employed","","","","","1"
"Very often","2019","35-65 y.","Not Employed","4","","","","1"
"Very often","2019","66 and older","Not Employed","1","","","","1"
