"plj0589","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2017","Not Employed","East Germany","62","0.0261492472607896","0.0196190367409781","0.0326794577806011"
"Very often","2017","Employed","West Germany","104","0.00630782412701783","0.00501655971988481","0.00759908853415086"
"Very often","2017","Employed","East Germany","25","","",""
"Often","2017","Not Employed","West Germany","675","0.0548316619385858","0.0501640708571734","0.0594992530199982"
"Often","2017","Not Employed","East Germany","180","0.0699264507777546","0.059490529996379","0.0803623715591302"
"Often","2017","Employed","West Germany","425","0.0270881633991216","0.0244404194706506","0.0297359073275925"
"Often","2017","Employed","East Germany","92","0.028147792354483","0.0227419854136535","0.0335535992953126"
"Sometimes","2017","Not Employed","West Germany","1422","0.128692006290116","0.121826316939971","0.135557695640262"
"Sometimes","2017","Not Employed","East Germany","350","0.145314513795811","0.130893059918239","0.159735967673384"
"Sometimes","2017","Employed","West Germany","1300","0.0883283007683591","0.0837000313542163","0.0929565701825019"
"Sometimes","2017","Employed","East Germany","366","0.103534103632541","0.093576683085477","0.113491524179606"
"Rarely ","2017","Not Employed","West Germany","2164","0.260853506489604","0.251850530038635","0.269856482940573"
"Rarely ","2017","Not Employed","East Germany","636","0.284993001653724","0.266520588718693","0.303465414588755"
"Rarely ","2017","Employed","West Germany","3813","0.265604272197709","0.258400963015558","0.272807581379859"
"Rarely ","2017","Employed","East Germany","980","0.283441686697489","0.268711919571285","0.298171453823693"
"Never","2017","Not Employed","West Germany","4567","0.534772307877732","0.524545508224329","0.544999107531136"
"Never","2017","Not Employed","East Germany","1066","0.473616786511921","0.453184548303292","0.494049024720549"
"Never","2017","Employed","West Germany","8799","0.612671439507793","0.604726272405113","0.620616606610472"
"Never","2017","Employed","East Germany","2133","0.577679459727449","0.561535769531291","0.593823149923608"
"Very often","2018","Not Employed","West Germany","27","","",""
"Very often","2018","Not Employed","East Germany","","","",""
"Very often","2018","Employed","West Germany","","","",""
"Very often","2018","Employed","East Germany","","","",""
"Often","2018","Not Employed","West Germany","36","0.0944450910542002","0.0647666718747463","0.124123510233654"
"Often","2018","Not Employed","East Germany","4","","",""
"Often","2018","Employed","West Germany","","","",""
"Often","2018","Employed","East Germany","","","",""
"Sometimes","2018","Not Employed","West Germany","83","0.231154004431124","0.188371710793316","0.273936298068932"
"Sometimes","2018","Not Employed","East Germany","10","","",""
"Sometimes","2018","Employed","West Germany","","","",""
"Sometimes","2018","Employed","East Germany","","","",""
"Rarely ","2018","Not Employed","West Germany","66","0.184919213038978","0.145520229146213","0.224318196931743"
"Rarely ","2018","Not Employed","East Germany","5","","",""
"Rarely ","2018","Employed","West Germany","","","",""
"Rarely ","2018","Employed","East Germany","","","",""
"Never","2018","Not Employed","West Germany","161","0.437347394324337","0.387005782792875","0.487689005855798"
"Never","2018","Not Employed","East Germany","30","0.623173512080573","0.487490569060522","0.758856455100624"
"Never","2018","Employed","West Germany","","","",""
"Never","2018","Employed","East Germany","","","",""
"Very often","2019","Not Employed","West Germany","8","","",""
"Very often","2019","Not Employed","East Germany","","","",""
"Very often","2019","Employed","West Germany","","","",""
"Very often","2019","Employed","East Germany","","","",""
"Often","2019","Not Employed","West Germany","17","","",""
"Often","2019","Not Employed","East Germany","4","","",""
"Often","2019","Employed","West Germany","","","",""
"Often","2019","Employed","East Germany","","","",""
"Sometimes","2019","Not Employed","West Germany","56","0.209708527315982","0.15954483174418","0.259872222887785"
"Sometimes","2019","Not Employed","East Germany","5","","",""
"Sometimes","2019","Employed","West Germany","","","",""
"Sometimes","2019","Employed","East Germany","","","",""
"Rarely ","2019","Not Employed","West Germany","48","0.187071345579608","0.139018658136918","0.235124033022298"
"Rarely ","2019","Not Employed","East Germany","4","","",""
"Rarely ","2019","Employed","West Germany","","","",""
"Rarely ","2019","Employed","East Germany","","","",""
"Never","2019","Not Employed","West Germany","124","0.502966971478941","0.441357116217826","0.564576826740056"
"Never","2019","Not Employed","East Germany","10","","",""
"Never","2019","Employed","West Germany","","","",""
"Never","2019","Employed","East Germany","","","",""
