"plj0589","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Often","2017","Urban Area","East Germany","92","0.0370548926009728","0.0289584429500005","0.0451513422519452"
"Often","2017","Rural Area","West Germany","299","0.034557461414727","0.0300803705759902","0.0390345522534637"
"Often","2017","Rural Area","East Germany","180","0.0478725694621378","0.0410835922354984","0.0546615466887773"
"Sometimes","2017","Urban Area","West Germany","1973","0.10036137487601","0.0958688481389515","0.104853901613068"
"Sometimes","2017","Urban Area","East Germany","269","0.131102805567387","0.116636379066445","0.145569232068329"
"Sometimes","2017","Rural Area","West Germany","749","0.11012120396612","0.102448248460484","0.117794159471756"
"Sometimes","2017","Rural Area","East Germany","447","0.112455442176095","0.102409312825152","0.122501571527039"
"Rarely ","2017","Urban Area","West Germany","4246","0.258290510144442","0.251746492439787","0.264834527849098"
"Rarely ","2017","Urban Area","East Germany","560","0.274396379307673","0.255271003245629","0.293521755369717"
"Rarely ","2017","Rural Area","West Germany","1731","0.281044510227318","0.270026572070094","0.292062448384542"
"Rarely ","2017","Rural Area","East Germany","1056","0.289602537399403","0.275179214498129","0.304025860300676"
"Never","2017","Urban Area","West Germany","9857","0.59167844331664","0.584329627709334","0.599027258923946"
"Never","2017","Urban Area","East Germany","1146","0.546150830502482","0.524811384209558","0.567490276795406"
"Never","2017","Rural Area","West Germany","3509","0.563804394609115","0.551649067618472","0.575959721599759"
"Never","2017","Rural Area","East Germany","2053","0.533957954059354","0.518095165898969","0.54982074221974"
"Very often","2018","Urban Area","West Germany","16","","",""
"Very often","2018","Urban Area","East Germany","","","",""
"Very often","2018","Rural Area","West Germany","11","","",""
"Very often","2018","Rural Area","East Germany","","","",""
"Often","2018","Urban Area","West Germany","25","","",""
"Often","2018","Urban Area","East Germany","2","","",""
"Often","2018","Rural Area","West Germany","11","","",""
"Often","2018","Rural Area","East Germany","2","","",""
"Sometimes","2018","Urban Area","West Germany","55","0.211925286266404","0.161367701816359","0.262482870716449"
"Sometimes","2018","Urban Area","East Germany","4","","",""
"Sometimes","2018","Rural Area","West Germany","28","","",""
"Sometimes","2018","Rural Area","East Germany","6","","",""
"Rarely ","2018","Urban Area","West Germany","44","0.211531126625984","0.16100795008301","0.262054303168958"
"Rarely ","2018","Urban Area","East Germany","1","","",""
"Rarely ","2018","Rural Area","West Germany","22","","",""
"Rarely ","2018","Rural Area","East Germany","4","","",""
"Never","2018","Urban Area","West Germany","111","0.434654916117427","0.373329523364032","0.495980308870822"
"Never","2018","Urban Area","East Germany","9","","",""
"Never","2018","Rural Area","West Germany","50","0.443201317323316","0.355052234778434","0.531350399868198"
"Never","2018","Rural Area","East Germany","21","","",""
"Very often","2019","Urban Area","West Germany","3","","",""
"Very often","2019","Urban Area","East Germany","","","",""
"Very often","2019","Rural Area","West Germany","5","","",""
"Very often","2019","Rural Area","East Germany","","","",""
"Often","2019","Urban Area","West Germany","14","","",""
"Often","2019","Urban Area","East Germany","1","","",""
"Often","2019","Rural Area","West Germany","3","","",""
"Often","2019","Rural Area","East Germany","3","","",""
"Sometimes","2019","Urban Area","West Germany","37","0.233749321594631","0.1695618201059","0.297936823083362"
"Sometimes","2019","Urban Area","East Germany","","","",""
"Sometimes","2019","Rural Area","West Germany","18","","",""
"Sometimes","2019","Rural Area","East Germany","5","","",""
"Rarely ","2019","Urban Area","West Germany","25","","",""
"Rarely ","2019","Urban Area","East Germany","1","","",""
"Rarely ","2019","Rural Area","West Germany","22","","",""
"Rarely ","2019","Rural Area","East Germany","3","","",""
"Never","2019","Urban Area","West Germany","88","0.51574991926882","0.43995426769969","0.59154557083795"
"Never","2019","Urban Area","East Germany","2","","",""
"Never","2019","Rural Area","West Germany","35","0.506293016185151","0.398734538085699","0.613851494284604"
"Never","2019","Rural Area","East Germany","7","","",""
