"plj0589","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"Sometimes","2017","66 and older","454","0.105711448607796","0.0972304839528586","0.114192413262733","3"
"Sometimes","2017","16-34 y.","1189","0.111861369628703","0.104983632184032","0.118739107073373","3"
"Sometimes","2017","35-65 y.","1795","0.102712486424317","0.0980594110760711","0.107365561772563","3"
"Very often","2017","35-65 y.","264","0.0129698950377614","0.0112357074157395","0.0147040826597833","1"
"Very often","2017","66 and older","48","0.00962720565278004","0.00693384270617148","0.0123205685993886","1"
"Very often","2017","16-34 y.","189","0.0123397844080936","0.00993086255004716","0.01474870626614","1"
"Never","2018","66 and older","1","","","","5"
"Never","2018","16-34 y.","119","0.467995586858933","0.40687231342087","0.529118860296995","5"
"Never","2018","35-65 y.","71","0.462170932862905","0.385396956819601","0.538944908906208","5"
"Often","2018","35-65 y.","18","","","","2"
"Often","2018","66 and older","1","","","","2"
"Often","2018","16-34 y.","21","","","","2"
"Rarely ","2018","35-65 y.","24","","","","4"
"Rarely ","2018","66 and older","1","","","","4"
"Rarely ","2018","16-34 y.","46","0.18030024292874","0.133207534621371","0.227392951236108","4"
"Sometimes","2018","66 and older","","","","","3"
"Sometimes","2018","16-34 y.","58","0.237982622935202","0.185817147567459","0.290148098302945","3"
"Sometimes","2018","35-65 y.","35","0.223375717329362","0.159237919171358","0.287513515487365","3"
"Very often","2018","35-65 y.","14","","","","1"
"Very often","2018","66 and older","1","","","","1"
"Very often","2018","16-34 y.","12","","","","1"
"Never","2019","16-34 y.","85","0.581337497335622","0.501038468862573","0.661636525808672","5"
"Never","2019","35-65 y.","46","0.358679058377148","0.274600780879112","0.442757335875185","5"
"Never","2019","66 and older","3","","","","5"
"Often","2019","35-65 y.","10","","","","2"
"Often","2019","16-34 y.","11","","","","2"
"Often","2019","66 and older","","","","","2"
"Rarely ","2019","35-65 y.","31","0.342054958654885","0.258890868811433","0.425219048498336","4"
"Rarely ","2019","16-34 y.","19","","","","4"
"Rarely ","2019","66 and older","2","","","","4"
"Sometimes","2019","16-34 y.","27","","","","3"
"Sometimes","2019","35-65 y.","34","0.206824768706464","0.135821403904272","0.277828133508656","3"
"Sometimes","2019","66 and older","","","","","3"
"Very often","2019","35-65 y.","4","","","","1"
"Very often","2019","66 and older","1","","","","1"
"Very often","2019","16-34 y.","3","","","","1"
