"plj0589","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Often","2014","Not Working","indirect migration background","","","",""
"Sometimes","2014","Full Time","no migration background","","","",""
"Sometimes","2014","Full Time","direct migration background","","","",""
"Sometimes","2014","Full Time","indirect migration background","","","",""
"Sometimes","2014","Part Time","no migration background","","","",""
"Sometimes","2014","Part Time","direct migration background","","","",""
"Sometimes","2014","Part Time","indirect migration background","","","",""
"Sometimes","2014","Not Working","no migration background","","","",""
"Sometimes","2014","Not Working","direct migration background","","","",""
"Sometimes","2014","Not Working","indirect migration background","","","",""
"Rarely ","2014","Full Time","no migration background","","","",""
"Rarely ","2014","Full Time","direct migration background","","","",""
"Rarely ","2014","Full Time","indirect migration background","","","",""
"Rarely ","2014","Part Time","no migration background","","","",""
"Rarely ","2014","Part Time","direct migration background","","","",""
"Rarely ","2014","Part Time","indirect migration background","","","",""
"Rarely ","2014","Not Working","no migration background","","","",""
"Rarely ","2014","Not Working","direct migration background","","","",""
"Rarely ","2014","Not Working","indirect migration background","","","",""
"Never","2014","Full Time","no migration background","","","",""
"Never","2014","Full Time","direct migration background","","","",""
"Never","2014","Full Time","indirect migration background","","","",""
"Never","2014","Part Time","no migration background","","","",""
"Never","2014","Part Time","direct migration background","","","",""
"Never","2014","Part Time","indirect migration background","","","",""
"Never","2014","Not Working","no migration background","","","",""
"Never","2014","Not Working","direct migration background","","","",""
"Never","2014","Not Working","indirect migration background","","","",""
"Very often","2015","Full Time","no migration background","","","",""
"Very often","2015","Full Time","direct migration background","","","",""
"Very often","2015","Full Time","indirect migration background","","","",""
"Very often","2015","Part Time","no migration background","","","",""
"Very often","2015","Part Time","direct migration background","","","",""
"Very often","2015","Part Time","indirect migration background","","","",""
"Very often","2015","Not Working","no migration background","","","",""
"Very often","2015","Not Working","direct migration background","","","",""
"Very often","2015","Not Working","indirect migration background","","","",""
"Often","2015","Full Time","no migration background","","","",""
"Often","2015","Full Time","direct migration background","","","",""
"Often","2015","Full Time","indirect migration background","","","",""
"Often","2015","Part Time","no migration background","","","",""
"Often","2015","Part Time","direct migration background","","","",""
"Often","2015","Part Time","indirect migration background","","","",""
"Often","2015","Not Working","no migration background","","","",""
"Often","2015","Not Working","direct migration background","","","",""
"Often","2015","Not Working","indirect migration background","","","",""
"Sometimes","2015","Full Time","no migration background","","","",""
"Sometimes","2015","Full Time","direct migration background","","","",""
"Sometimes","2015","Full Time","indirect migration background","","","",""
"Sometimes","2015","Part Time","no migration background","","","",""
"Sometimes","2015","Part Time","direct migration background","","","",""
"Sometimes","2015","Part Time","indirect migration background","","","",""
"Sometimes","2015","Not Working","no migration background","","","",""
"Sometimes","2015","Not Working","direct migration background","","","",""
"Sometimes","2015","Not Working","indirect migration background","","","",""
"Rarely ","2015","Full Time","no migration background","","","",""
"Rarely ","2015","Full Time","direct migration background","","","",""
"Rarely ","2015","Full Time","indirect migration background","","","",""
"Rarely ","2015","Part Time","no migration background","","","",""
"Rarely ","2015","Part Time","direct migration background","","","",""
"Rarely ","2015","Part Time","indirect migration background","","","",""
"Rarely ","2015","Not Working","no migration background","","","",""
"Rarely ","2015","Not Working","direct migration background","","","",""
"Rarely ","2015","Not Working","indirect migration background","","","",""
"Never","2015","Full Time","no migration background","","","",""
"Never","2015","Full Time","direct migration background","","","",""
"Never","2015","Full Time","indirect migration background","","","",""
"Never","2015","Part Time","no migration background","","","",""
"Never","2015","Part Time","direct migration background","","","",""
"Never","2015","Part Time","indirect migration background","","","",""
"Never","2015","Not Working","no migration background","","","",""
"Never","2015","Not Working","direct migration background","","","",""
"Never","2015","Not Working","indirect migration background","","","",""
"Very often","2016","Full Time","no migration background","","","",""
"Very often","2016","Full Time","direct migration background","","","",""
"Very often","2016","Full Time","indirect migration background","","","",""
"Very often","2016","Part Time","no migration background","","","",""
"Very often","2016","Part Time","direct migration background","","","",""
"Very often","2016","Part Time","indirect migration background","","","",""
"Very often","2016","Not Working","no migration background","","","",""
"Very often","2016","Not Working","direct migration background","312","0.0900810650600543","0.0814614926515741","0.0987006374685345"
"Very often","2016","Not Working","indirect migration background","","","",""
"Often","2016","Full Time","no migration background","","","",""
"Often","2016","Full Time","direct migration background","","","",""
"Often","2016","Full Time","indirect migration background","","","",""
"Often","2016","Part Time","no migration background","","","",""
"Often","2016","Part Time","direct migration background","","","",""
"Often","2016","Part Time","indirect migration background","","","",""
"Often","2016","Not Working","no migration background","","","",""
"Often","2016","Not Working","direct migration background","572","0.173238463500026","0.161844366607071","0.18463256039298"
"Often","2016","Not Working","indirect migration background","","","",""
"Sometimes","2016","Full Time","no migration background","","","",""
"Sometimes","2016","Full Time","direct migration background","","","",""
"Sometimes","2016","Full Time","indirect migration background","","","",""
"Sometimes","2016","Part Time","no migration background","","","",""
"Sometimes","2016","Part Time","direct migration background","","","",""
"Sometimes","2016","Part Time","indirect migration background","","","",""
"Sometimes","2016","Not Working","no migration background","","","",""
"Sometimes","2016","Not Working","direct migration background","963","0.23376710166539","0.221025039831435","0.246509163499344"
"Sometimes","2016","Not Working","indirect migration background","","","",""
"Rarely ","2016","Full Time","no migration background","","","",""
"Rarely ","2016","Full Time","direct migration background","","","",""
"Rarely ","2016","Full Time","indirect migration background","","","",""
"Rarely ","2016","Part Time","no migration background","","","",""
"Rarely ","2016","Part Time","direct migration background","","","",""
"Rarely ","2016","Part Time","indirect migration background","","","",""
"Rarely ","2016","Not Working","no migration background","","","",""
"Rarely ","2016","Not Working","direct migration background","744","0.175385558252021","0.163935966602807","0.186835149901236"
"Rarely ","2016","Not Working","indirect migration background","","","",""
"Never","2016","Full Time","no migration background","","","",""
"Never","2016","Full Time","direct migration background","","","",""
"Never","2016","Full Time","indirect migration background","","","",""
"Never","2016","Part Time","no migration background","","","",""
"Never","2016","Part Time","direct migration background","","","",""
"Never","2016","Part Time","indirect migration background","","","",""
"Never","2016","Not Working","no migration background","","","",""
"Never","2016","Not Working","direct migration background","1647","0.327527811522509","0.313398243958869","0.341657379086149"
"Never","2016","Not Working","indirect migration background","","","",""
"Very often","2017","Full Time","no migration background","28","","",""
"Very often","2017","Full Time","direct migration background","17","","",""
"Very often","2017","Full Time","indirect migration background","6","","",""
"Very often","2017","Part Time","no migration background","46","0.00908825961937446","0.00659943467026216","0.0115770845684868"
"Very often","2017","Part Time","direct migration background","29","","",""
"Very often","2017","Part Time","indirect migration background","3","","",""
"Very often","2017","Not Working","no migration background","99","0.0169980250968416","0.0139083652638391","0.0200876849298441"
"Very often","2017","Not Working","direct migration background","258","0.0446447782721947","0.0384438015656491","0.0508457549787402"
"Very often","2017","Not Working","indirect migration background","15","","",""
"Often","2017","Full Time","no migration background","158","0.0183646713922641","0.0154176950716481","0.0213116477128801"
"Often","2017","Full Time","direct migration background","65","0.0463549837259606","0.036521046686232","0.0561889207656893"
"Often","2017","Full Time","indirect migration background","28","","",""
"Often","2017","Part Time","no migration background","170","0.0298972250140985","0.0254307920947744","0.0343636579334225"
"Often","2017","Part Time","direct migration background","67","0.0416722831752709","0.031414582987748","0.0519299833627938"
"Often","2017","Part Time","indirect migration background","29","","",""
"Often","2017","Not Working","no migration background","337","0.0497276211052039","0.0445317647803347","0.0549234774300731"
"Often","2017","Not Working","direct migration background","493","0.100963292597522","0.0919171633463185","0.110009421848726"
"Often","2017","Not Working","indirect migration background","25","","",""
"Sometimes","2017","Full Time","no migration background","584","0.0763741182944078","0.0705446207029377","0.0822036158858779"
"Sometimes","2017","Full Time","direct migration background","203","0.108023990419498","0.0935054643004621","0.122542516538535"
"Sometimes","2017","Full Time","indirect migration background","48","0.0621912328734402","0.0436681517928585","0.0807143139540218"
"Sometimes","2017","Part Time","no migration background","530","0.0891333723730972","0.0816605601947012","0.0966061845514931"
"Sometimes","2017","Part Time","direct migration background","222","0.176154196207962","0.156600052951785","0.195708339464138"
"Sometimes","2017","Part Time","indirect migration background","79","0.13564236631806","0.108492237118222","0.162792495517897"
"Sometimes","2017","Not Working","no migration background","742","0.118698124678472","0.110967430119852","0.126428819237091"
"Sometimes","2017","Not Working","direct migration background","961","0.189337135915133","0.177573803630076","0.201100468200189"
"Sometimes","2017","Not Working","indirect migration background","69","0.172192817576241","0.137192946809497","0.207192688342985"
"Rarely ","2017","Full Time","no migration background","2091","0.266750227503992","0.257043153444537","0.276457301563447"
"Rarely ","2017","Full Time","direct migration background","467","0.282314773356188","0.261261499435611","0.303368047276764"
"Rarely ","2017","Full Time","indirect migration background","165","0.268682691296053","0.234683837847629","0.302681544744476"
"Rarely ","2017","Part Time","no migration background","1457","0.259657728334208","0.248158904975537","0.271156551692879"
"Rarely ","2017","Part Time","direct migration background","449","0.2979680347795","0.274491574761367","0.321444494797633"
"Rarely ","2017","Part Time","indirect migration background","164","0.27931380065391","0.243738646886818","0.314888954421002"
"Rarely ","2017","Not Working","no migration background","1810","0.267755729726381","0.257172173625824","0.278339285826937"
"Rarely ","2017","Not Working","direct migration background","874","0.250996374444714","0.237977662793072","0.264015086096357"
"Rarely ","2017","Not Working","indirect migration background","116","0.268543576931992","0.227457380037782","0.309629773826202"
"Never","2017","Full Time","no migration background","5113","0.634895622404307","0.624328185540958","0.645463059267655"
"Never","2017","Full Time","direct migration background","1004","0.558290138160217","0.535063606588722","0.581516669731711"
"Never","2017","Full Time","indirect migration background","406","0.615794972254366","0.578487906582831","0.653102037925901"
"Never","2017","Part Time","no migration background","3382","0.612223414659222","0.599444844523159","0.625001984795285"
"Never","2017","Part Time","direct migration background","691","0.467479285783654","0.441868743886799","0.493089827680508"
"Never","2017","Part Time","indirect migration background","336","0.545354394898582","0.50587200861286","0.584836781184303"
"Never","2017","Not Working","no migration background","3736","0.546820499393102","0.534922011844189","0.558718986942015"
"Never","2017","Not Working","direct migration background","1675","0.414058418770436","0.399269027702006","0.428847809838866"
"Never","2017","Not Working","indirect migration background","222","0.47926688536979","0.432955194356901","0.52557857638268"
"Very often","2018","Full Time","no migration background","","","",""
"Very often","2018","Full Time","direct migration background","","","",""
"Very often","2018","Full Time","indirect migration background","","","",""
"Very often","2018","Part Time","no migration background","","","",""
"Very often","2018","Part Time","direct migration background","","","",""
"Very often","2018","Part Time","indirect migration background","","","",""
"Very often","2018","Not Working","no migration background","","","",""
"Very often","2018","Not Working","direct migration background","27","","",""
"Very often","2018","Not Working","indirect migration background","","","",""
"Often","2018","Full Time","no migration background","","","",""
"Often","2018","Full Time","direct migration background","","","",""
"Often","2018","Full Time","indirect migration background","","","",""
"Often","2018","Part Time","no migration background","","","",""
"Often","2018","Part Time","direct migration background","","","",""
"Often","2018","Part Time","indirect migration background","","","",""
"Often","2018","Not Working","no migration background","","","",""
"Often","2018","Not Working","direct migration background","40","0.0950325995533101","0.0670527975035254","0.123012401603095"
"Often","2018","Not Working","indirect migration background","","","",""
"Sometimes","2018","Full Time","no migration background","","","",""
"Sometimes","2018","Full Time","direct migration background","","","",""
"Sometimes","2018","Full Time","indirect migration background","","","",""
"Sometimes","2018","Part Time","no migration background","","","",""
"Sometimes","2018","Part Time","direct migration background","","","",""
"Sometimes","2018","Part Time","indirect migration background","","","",""
"Sometimes","2018","Not Working","no migration background","","","",""
"Sometimes","2018","Not Working","direct migration background","93","0.231703331988338","0.191448086449822","0.271958577526855"
"Sometimes","2018","Not Working","indirect migration background","","","",""
"Rarely ","2018","Full Time","no migration background","","","",""
"Rarely ","2018","Full Time","direct migration background","","","",""
"Rarely ","2018","Full Time","indirect migration background","","","",""
"Rarely ","2018","Part Time","no migration background","","","",""
"Rarely ","2018","Part Time","direct migration background","","","",""
"Rarely ","2018","Part Time","indirect migration background","","","",""
"Rarely ","2018","Not Working","no migration background","","","",""
"Rarely ","2018","Not Working","direct migration background","71","0.164328849858776","0.128972576908287","0.199685122809264"
"Rarely ","2018","Not Working","indirect migration background","","","",""
"Never","2018","Full Time","no migration background","","","",""
"Never","2018","Full Time","direct migration background","","","",""
"Never","2018","Full Time","indirect migration background","","","",""
"Never","2018","Part Time","no migration background","","","",""
"Never","2018","Part Time","direct migration background","","","",""
"Never","2018","Part Time","indirect migration background","","","",""
"Never","2018","Not Working","no migration background","","","",""
"Never","2018","Not Working","direct migration background","191","0.464386994845449","0.416803378340014","0.511970611350883"
"Never","2018","Not Working","indirect migration background","","","",""
"Very often","2019","Full Time","no migration background","","","",""
"Very often","2019","Full Time","direct migration background","","","",""
"Very often","2019","Full Time","indirect migration background","","","",""
"Very often","2019","Part Time","no migration background","","","",""
"Very often","2019","Part Time","direct migration background","","","",""
"Very often","2019","Part Time","indirect migration background","","","",""
"Very often","2019","Not Working","no migration background","","","",""
"Very often","2019","Not Working","direct migration background","8","","",""
"Very often","2019","Not Working","indirect migration background","","","",""
"Often","2019","Full Time","no migration background","","","",""
"Often","2019","Full Time","direct migration background","","","",""
"Often","2019","Full Time","indirect migration background","","","",""
"Often","2019","Part Time","no migration background","","","",""
"Often","2019","Part Time","direct migration background","","","",""
"Often","2019","Part Time","indirect migration background","","","",""
"Often","2019","Not Working","no migration background","","","",""
"Often","2019","Not Working","direct migration background","21","","",""
"Often","2019","Not Working","indirect migration background","","","",""
"Sometimes","2019","Full Time","no migration background","","","",""
"Sometimes","2019","Full Time","direct migration background","","","",""
"Sometimes","2019","Full Time","indirect migration background","","","",""
"Sometimes","2019","Part Time","no migration background","","","",""
"Sometimes","2019","Part Time","direct migration background","","","",""
"Sometimes","2019","Part Time","indirect migration background","","","",""
"Sometimes","2019","Not Working","no migration background","","","",""
"Sometimes","2019","Not Working","direct migration background","61","0.196818161866457","0.14991165680467","0.243724666928243"
"Sometimes","2019","Not Working","indirect migration background","","","",""
"Rarely ","2019","Full Time","no migration background","","","",""
"Rarely ","2019","Full Time","direct migration background","","","",""
"Rarely ","2019","Full Time","indirect migration background","","","",""
"Rarely ","2019","Part Time","no migration background","","","",""
"Rarely ","2019","Part Time","direct migration background","","","",""
"Rarely ","2019","Part Time","indirect migration background","","","",""
"Rarely ","2019","Not Working","no migration background","","","",""
"Rarely ","2019","Not Working","direct migration background","52","0.195840947366719","0.149022578573504","0.242659316159934"
"Rarely ","2019","Not Working","indirect migration background","","","",""
"Never","2019","Full Time","no migration background","","","",""
"Never","2019","Full Time","direct migration background","","","",""
"Never","2019","Full Time","indirect migration background","","","",""
"Never","2019","Part Time","no migration background","","","",""
"Never","2019","Part Time","direct migration background","","","",""
"Never","2019","Part Time","indirect migration background","","","",""
"Never","2019","Not Working","no migration background","","","",""
"Never","2019","Not Working","direct migration background","134","0.509951185479008","0.450974885261197","0.568927485696819"
"Never","2019","Not Working","indirect migration background","","","",""
