"plj0589","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Often","2015","inadequately","Rural Area","","","",""
"Often","2015","general elemantary","Urban Area","","","",""
"Often","2015","general elemantary","Rural Area","","","",""
"Often","2015","middle vocational","Urban Area","","","",""
"Often","2015","middle vocational","Rural Area","","","",""
"Often","2015","vocational + Abi","Urban Area","","","",""
"Often","2015","vocational + Abi","Rural Area","","","",""
"Often","2015","higher vocational","Urban Area","","","",""
"Often","2015","higher vocational","Rural Area","","","",""
"Often","2015","higher education","Urban Area","","","",""
"Often","2015","higher education","Rural Area","","","",""
"Sometimes","2015","in school","Urban Area","","","",""
"Sometimes","2015","in school","Rural Area","","","",""
"Sometimes","2015","inadequately","Urban Area","","","",""
"Sometimes","2015","inadequately","Rural Area","","","",""
"Sometimes","2015","general elemantary","Urban Area","","","",""
"Sometimes","2015","general elemantary","Rural Area","","","",""
"Sometimes","2015","middle vocational","Urban Area","","","",""
"Sometimes","2015","middle vocational","Rural Area","","","",""
"Sometimes","2015","vocational + Abi","Urban Area","","","",""
"Sometimes","2015","vocational + Abi","Rural Area","","","",""
"Sometimes","2015","higher vocational","Urban Area","","","",""
"Sometimes","2015","higher vocational","Rural Area","","","",""
"Sometimes","2015","higher education","Urban Area","","","",""
"Sometimes","2015","higher education","Rural Area","","","",""
"Rarely ","2015","in school","Urban Area","","","",""
"Rarely ","2015","in school","Rural Area","","","",""
"Rarely ","2015","inadequately","Urban Area","","","",""
"Rarely ","2015","inadequately","Rural Area","","","",""
"Rarely ","2015","general elemantary","Urban Area","","","",""
"Rarely ","2015","general elemantary","Rural Area","","","",""
"Rarely ","2015","middle vocational","Urban Area","","","",""
"Rarely ","2015","middle vocational","Rural Area","","","",""
"Rarely ","2015","vocational + Abi","Urban Area","","","",""
"Rarely ","2015","vocational + Abi","Rural Area","","","",""
"Rarely ","2015","higher vocational","Urban Area","","","",""
"Rarely ","2015","higher vocational","Rural Area","","","",""
"Rarely ","2015","higher education","Urban Area","","","",""
"Rarely ","2015","higher education","Rural Area","","","",""
"Never","2015","in school","Urban Area","","","",""
"Never","2015","in school","Rural Area","","","",""
"Never","2015","inadequately","Urban Area","","","",""
"Never","2015","inadequately","Rural Area","","","",""
"Never","2015","general elemantary","Urban Area","","","",""
"Never","2015","general elemantary","Rural Area","","","",""
"Never","2015","middle vocational","Urban Area","","","",""
"Never","2015","middle vocational","Rural Area","","","",""
"Never","2015","vocational + Abi","Urban Area","","","",""
"Never","2015","vocational + Abi","Rural Area","","","",""
"Never","2015","higher vocational","Urban Area","","","",""
"Never","2015","higher vocational","Rural Area","","","",""
"Never","2015","higher education","Urban Area","","","",""
"Never","2015","higher education","Rural Area","","","",""
"Very often","2016","in school","Urban Area","1","","",""
"Very often","2016","in school","Rural Area","1","","",""
"Very often","2016","inadequately","Urban Area","80","0.102680552498438","0.0839047342255711","0.121456370771304"
"Very often","2016","inadequately","Rural Area","46","0.139671620491379","0.10987735867949","0.169465882303268"
"Very often","2016","general elemantary","Urban Area","30","0.0624930753528748","0.0424277882663915","0.0825583624393581"
"Very often","2016","general elemantary","Rural Area","19","","",""
"Very often","2016","middle vocational","Urban Area","40","0.0985193152917469","0.07319538086883","0.123843249714664"
"Very often","2016","middle vocational","Rural Area","23","","",""
"Very often","2016","vocational + Abi","Urban Area","2","","",""
"Very often","2016","vocational + Abi","Rural Area","1","","",""
"Very often","2016","higher vocational","Urban Area","","","",""
"Very often","2016","higher vocational","Rural Area","","","",""
"Very often","2016","higher education","Urban Area","33","0.0578851262390569","0.0377942057626541","0.0779760467154598"
"Very often","2016","higher education","Rural Area","15","","",""
"Often","2016","in school","Urban Area","2","","",""
"Often","2016","in school","Rural Area","","","",""
"Often","2016","inadequately","Urban Area","152","0.228601851836975","0.202626561971104","0.254577141702847"
"Often","2016","inadequately","Rural Area","80","0.152531849536579","0.121629722030308","0.18343397704285"
"Often","2016","general elemantary","Urban Area","63","0.144130091772494","0.115014649119285","0.173245534425703"
"Often","2016","general elemantary","Rural Area","39","0.176182880897642","0.129051681690753","0.223314080104532"
"Often","2016","middle vocational","Urban Area","54","0.119715855322302","0.0921304384746931","0.147301272169911"
"Often","2016","middle vocational","Rural Area","39","0.174738257505122","0.125338477029657","0.224138037980588"
"Often","2016","vocational + Abi","Urban Area","9","","",""
"Often","2016","vocational + Abi","Rural Area","6","","",""
"Often","2016","higher vocational","Urban Area","","","",""
"Often","2016","higher vocational","Rural Area","","","",""
"Often","2016","higher education","Urban Area","52","0.10802136073984","0.0813161222310846","0.134726599248596"
"Often","2016","higher education","Rural Area","33","0.167817048084134","0.119309635065576","0.216324461102692"
"Sometimes","2016","in school","Urban Area","6","","",""
"Sometimes","2016","in school","Rural Area","1","","",""
"Sometimes","2016","inadequately","Urban Area","231","0.242931898478332","0.216404724810298","0.269459072146366"
"Sometimes","2016","inadequately","Rural Area","133","0.261737865100976","0.223955860708127","0.299519869493825"
"Sometimes","2016","general elemantary","Urban Area","111","0.21655470036614","0.182409447440119","0.250699953292162"
"Sometimes","2016","general elemantary","Rural Area","69","0.324241724830216","0.266333351297401","0.382150098363031"
"Sometimes","2016","middle vocational","Urban Area","125","0.217719857054166","0.182650932450567","0.252788781657765"
"Sometimes","2016","middle vocational","Rural Area","56","0.233382708751881","0.178357866542647","0.288407550961115"
"Sometimes","2016","vocational + Abi","Urban Area","18","","",""
"Sometimes","2016","vocational + Abi","Rural Area","8","","",""
"Sometimes","2016","higher vocational","Urban Area","","","",""
"Sometimes","2016","higher vocational","Rural Area","","","",""
"Sometimes","2016","higher education","Urban Area","104","0.194578928790891","0.160520562663925","0.228637294917858"
"Sometimes","2016","higher education","Rural Area","42","0.173482185440992","0.124330974829072","0.222633396052912"
"Rarely ","2016","in school","Urban Area","4","","",""
"Rarely ","2016","in school","Rural Area","1","","",""
"Rarely ","2016","inadequately","Urban Area","166","0.149372599046608","0.127323726469053","0.171421471624162"
"Rarely ","2016","inadequately","Rural Area","87","0.179582477427985","0.146591448374012","0.212573506481957"
"Rarely ","2016","general elemantary","Urban Area","91","0.187364799102851","0.155017799491617","0.219711798714085"
"Rarely ","2016","general elemantary","Rural Area","34","0.102541831980948","0.0650126694106277","0.140070994551267"
"Rarely ","2016","middle vocational","Urban Area","92","0.193378855137721","0.159818112030466","0.226939598244977"
"Rarely ","2016","middle vocational","Rural Area","40","0.162795798046328","0.114770235833295","0.210821360259362"
"Rarely ","2016","vocational + Abi","Urban Area","10","","",""
"Rarely ","2016","vocational + Abi","Rural Area","9","","",""
"Rarely ","2016","higher vocational","Urban Area","","","",""
"Rarely ","2016","higher vocational","Rural Area","","","",""
"Rarely ","2016","higher education","Urban Area","118","0.262140512763675","0.224303371426517","0.299977654100833"
"Rarely ","2016","higher education","Rural Area","45","0.159532117914764","0.11200239375638","0.207061842073149"
"Never","2016","in school","Urban Area","6","","",""
"Never","2016","in school","Rural Area","2","","",""
"Never","2016","inadequately","Urban Area","375","0.276413098139648","0.248749676744589","0.304076519534707"
"Never","2016","inadequately","Rural Area","174","0.266476187443082","0.228476263202169","0.304476111683995"
"Never","2016","general elemantary","Urban Area","264","0.389457333405639","0.349034184666452","0.429880482144827"
"Never","2016","general elemantary","Rural Area","90","0.318741062713479","0.261092783958429","0.37638934146853"
"Never","2016","middle vocational","Urban Area","221","0.370666117194064","0.32962451784432","0.411707716543808"
"Never","2016","middle vocational","Rural Area","69","0.322922567381027","0.262094568380941","0.383750566381113"
"Never","2016","vocational + Abi","Urban Area","34","0.335704028308174","0.227374775732852","0.444033280883496"
"Never","2016","vocational + Abi","Rural Area","10","","",""
"Never","2016","higher vocational","Urban Area","","","",""
"Never","2016","higher vocational","Rural Area","","","",""
"Never","2016","higher education","Urban Area","212","0.377374071466536","0.335671384124918","0.419076758808154"
"Never","2016","higher education","Rural Area","93","0.420314715578887","0.356243331904723","0.484386099253051"
"Very often","2017","in school","Urban Area","1","","",""
"Very often","2017","in school","Rural Area","1","","",""
"Very often","2017","inadequately","Urban Area","95","0.0590076036975867","0.0456864173569056","0.0723287900382679"
"Very often","2017","inadequately","Rural Area","25","","",""
"Very often","2017","general elemantary","Urban Area","54","0.0147872196887333","0.00964321700882511","0.0199312223686415"
"Very often","2017","general elemantary","Rural Area","34","0.0307802255949867","0.020916920247935","0.0406435309420384"
"Very often","2017","middle vocational","Urban Area","102","0.0132667570199742","0.0106857710378864","0.0158477430020619"
"Very often","2017","middle vocational","Rural Area","65","0.00929857506858182","0.00663686995270314","0.0119602801844605"
"Very often","2017","vocational + Abi","Urban Area","20","","",""
"Very often","2017","vocational + Abi","Rural Area","10","","",""
"Very often","2017","higher vocational","Urban Area","4","","",""
"Very often","2017","higher vocational","Rural Area","4","","",""
"Very often","2017","higher education","Urban Area","40","0.00456978540491826","0.00271033848767217","0.00642923232216435"
"Very often","2017","higher education","Rural Area","20","","",""
"Often","2017","in school","Urban Area","8","","",""
"Often","2017","in school","Rural Area","6","","",""
"Often","2017","inadequately","Urban Area","161","0.142279832760117","0.122531049614701","0.162028615905533"
"Often","2017","inadequately","Rural Area","72","0.154192400569536","0.120601327135813","0.187783474003259"
"Often","2017","general elemantary","Urban Area","166","0.0744754739745096","0.063286416388522","0.0856645315604972"
"Often","2017","general elemantary","Rural Area","86","0.0599604400911259","0.0464028993891393","0.0735179807931125"
"Often","2017","middle vocational","Urban Area","307","0.0344817933655502","0.0303657633357254","0.038597823395375"
"Often","2017","middle vocational","Rural Area","209","0.0385983403008847","0.0332561778076645","0.0439405027941049"
"Often","2017","vocational + Abi","Urban Area","57","0.0373580925158799","0.0282189580511513","0.0464972269806085"
"Often","2017","vocational + Abi","Rural Area","26","","",""
"Often","2017","higher vocational","Urban Area","18","","",""
"Often","2017","higher vocational","Rural Area","7","","",""
"Often","2017","higher education","Urban Area","136","0.0209877957213566","0.0170358775878915","0.0249397138548216"
"Often","2017","higher education","Rural Area","61","0.0240556503418148","0.017233955579803","0.0308773451038266"
"Sometimes","2017","in school","Urban Area","36","0.146134492289279","0.106426091021376","0.185842893557182"
"Sometimes","2017","in school","Rural Area","13","","",""
"Sometimes","2017","inadequately","Urban Area","279","0.259832745407847","0.23504096410808","0.284624526707614"
"Sometimes","2017","inadequately","Rural Area","92","0.131519933074068","0.100083568037936","0.162956298110201"
"Sometimes","2017","general elemantary","Urban Area","359","0.150253730542746","0.135025474500283","0.16548198658521"
"Sometimes","2017","general elemantary","Rural Area","210","0.163037622832636","0.14194297248707","0.184132273178203"
"Sometimes","2017","middle vocational","Urban Area","817","0.103953635963813","0.0970688814197106","0.110838390507915"
"Sometimes","2017","middle vocational","Rural Area","545","0.108948196881505","0.100307637784312","0.117588755978698"
"Sometimes","2017","vocational + Abi","Urban Area","169","0.107957656214202","0.0930021954723528","0.122913116956052"
"Sometimes","2017","vocational + Abi","Rural Area","63","0.0920051307075224","0.0695421567415389","0.114468104673506"
"Sometimes","2017","higher vocational","Urban Area","77","0.0672626442290953","0.0509256983910124","0.0835995900671783"
"Sometimes","2017","higher vocational","Rural Area","53","0.104422136036094","0.0807113679014093","0.128132904170778"
"Sometimes","2017","higher education","Urban Area","429","0.070309480955451","0.0632608200336423","0.0773581418772598"
"Sometimes","2017","higher education","Rural Area","183","0.0889766940797628","0.0763009319397663","0.101652456219759"
"Rarely ","2017","in school","Urban Area","72","0.210709817265529","0.164866922344829","0.25655271218623"
"Rarely ","2017","in school","Rural Area","30","0.234269369419954","0.160020670329562","0.308518068510345"
"Rarely ","2017","inadequately","Urban Area","201","0.204771816023566","0.181959108635775","0.227584523411358"
"Rarely ","2017","inadequately","Rural Area","86","0.23151409572473","0.192280033364058","0.270748158085401"
"Rarely ","2017","general elemantary","Urban Area","536","0.273780954742654","0.254777684733846","0.292784224751463"
"Rarely ","2017","general elemantary","Rural Area","324","0.283349577608574","0.257616578131987","0.309082577085161"
"Rarely ","2017","middle vocational","Urban Area","1945","0.260065330196916","0.250169749233919","0.269960911159914"
"Rarely ","2017","middle vocational","Rural Area","1436","0.298771210870735","0.286077763482913","0.311464658258557"
"Rarely ","2017","vocational + Abi","Urban Area","416","0.250756400583261","0.229867389860769","0.271645411305753"
"Rarely ","2017","vocational + Abi","Rural Area","181","0.292845783249371","0.257478957037572","0.328212609461169"
"Rarely ","2017","higher vocational","Urban Area","260","0.320893409524296","0.290445772943724","0.351341046104868"
"Rarely ","2017","higher vocational","Rural Area","196","0.299299582412644","0.263792343236784","0.334806821588504"
"Rarely ","2017","higher education","Urban Area","1241","0.243217518986844","0.231389461294111","0.255045576679577"
"Rarely ","2017","higher education","Rural Area","472","0.234389809092088","0.215529690461721","0.253249927722456"
"Never","2017","in school","Urban Area","187","0.624311831932","0.569870863654547","0.678752800209453"
"Never","2017","in school","Rural Area","75","0.611220126045399","0.525763883180961","0.696676368909838"
"Never","2017","inadequately","Urban Area","466","0.334108002110883","0.307443026311269","0.360772977910496"
"Never","2017","inadequately","Rural Area","169","0.457613704487214","0.411273230579664","0.503954178394765"
"Never","2017","general elemantary","Urban Area","1000","0.486702621051357","0.465401165953691","0.508004076149023"
"Never","2017","general elemantary","Rural Area","524","0.462872133872677","0.434398374812666","0.491345892932688"
"Never","2017","middle vocational","Urban Area","4378","0.588232483453747","0.577130414467713","0.599334552439781"
"Never","2017","middle vocational","Rural Area","2740","0.544383676878293","0.530572441414492","0.558194912342095"
"Never","2017","vocational + Abi","Urban Area","992","0.592993313287426","0.569317439907838","0.616669186667015"
"Never","2017","vocational + Abi","Rural Area","356","0.562324020655834","0.523768266085595","0.600879775226073"
"Never","2017","higher vocational","Urban Area","544","0.591810710071705","0.559753447912956","0.623867972230454"
"Never","2017","higher vocational","Rural Area","379","0.569372100759748","0.5309795616824","0.607764639837096"
"Never","2017","higher education","Urban Area","3208","0.66091541893143","0.6478640088645","0.67396682899836"
"Never","2017","higher education","Rural Area","1202","0.642621084642804","0.621285077244221","0.663957092041387"
"Very often","2018","in school","Urban Area","","","",""
"Very often","2018","in school","Rural Area","","","",""
"Very often","2018","inadequately","Urban Area","6","","",""
"Very often","2018","inadequately","Rural Area","4","","",""
"Very often","2018","general elemantary","Urban Area","5","","",""
"Very often","2018","general elemantary","Rural Area","6","","",""
"Very often","2018","middle vocational","Urban Area","1","","",""
"Very often","2018","middle vocational","Rural Area","1","","",""
"Very often","2018","vocational + Abi","Urban Area","1","","",""
"Very often","2018","vocational + Abi","Rural Area","","","",""
"Very often","2018","higher vocational","Urban Area","","","",""
"Very often","2018","higher vocational","Rural Area","","","",""
"Very often","2018","higher education","Urban Area","2","","",""
"Very often","2018","higher education","Rural Area","","","",""
"Often","2018","in school","Urban Area","","","",""
"Often","2018","in school","Rural Area","","","",""
"Often","2018","inadequately","Urban Area","12","","",""
"Often","2018","inadequately","Rural Area","6","","",""
"Often","2018","general elemantary","Urban Area","4","","",""
"Often","2018","general elemantary","Rural Area","","","",""
"Often","2018","middle vocational","Urban Area","6","","",""
"Often","2018","middle vocational","Rural Area","2","","",""
"Often","2018","vocational + Abi","Urban Area","","","",""
"Often","2018","vocational + Abi","Rural Area","","","",""
"Often","2018","higher vocational","Urban Area","","","",""
"Often","2018","higher vocational","Rural Area","","","",""
"Often","2018","higher education","Urban Area","4","","",""
"Often","2018","higher education","Rural Area","2","","",""
"Sometimes","2018","in school","Urban Area","1","","",""
"Sometimes","2018","in school","Rural Area","1","","",""
"Sometimes","2018","inadequately","Urban Area","26","","",""
"Sometimes","2018","inadequately","Rural Area","17","","",""
"Sometimes","2018","general elemantary","Urban Area","13","","",""
"Sometimes","2018","general elemantary","Rural Area","4","","",""
"Sometimes","2018","middle vocational","Urban Area","10","","",""
"Sometimes","2018","middle vocational","Rural Area","7","","",""
"Sometimes","2018","vocational + Abi","Urban Area","","","",""
"Sometimes","2018","vocational + Abi","Rural Area","","","",""
"Sometimes","2018","higher vocational","Urban Area","","","",""
"Sometimes","2018","higher vocational","Rural Area","","","",""
"Sometimes","2018","higher education","Urban Area","5","","",""
"Sometimes","2018","higher education","Rural Area","2","","",""
"Rarely ","2018","in school","Urban Area","2","","",""
"Rarely ","2018","in school","Rural Area","1","","",""
"Rarely ","2018","inadequately","Urban Area","20","","",""
"Rarely ","2018","inadequately","Rural Area","7","","",""
"Rarely ","2018","general elemantary","Urban Area","10","","",""
"Rarely ","2018","general elemantary","Rural Area","7","","",""
"Rarely ","2018","middle vocational","Urban Area","6","","",""
"Rarely ","2018","middle vocational","Rural Area","6","","",""
"Rarely ","2018","vocational + Abi","Urban Area","1","","",""
"Rarely ","2018","vocational + Abi","Rural Area","","","",""
"Rarely ","2018","higher vocational","Urban Area","","","",""
"Rarely ","2018","higher vocational","Rural Area","","","",""
"Rarely ","2018","higher education","Urban Area","5","","",""
"Rarely ","2018","higher education","Rural Area","5","","",""
"Never","2018","in school","Urban Area","1","","",""
"Never","2018","in school","Rural Area","2","","",""
"Never","2018","inadequately","Urban Area","44","0.43595545717898","0.342433416787154","0.529477497570806"
"Never","2018","inadequately","Rural Area","21","","",""
"Never","2018","general elemantary","Urban Area","31","0.405643586613011","0.28439586123099","0.526891311995031"
"Never","2018","general elemantary","Rural Area","19","","",""
"Never","2018","middle vocational","Urban Area","9","","",""
"Never","2018","middle vocational","Rural Area","11","","",""
"Never","2018","vocational + Abi","Urban Area","3","","",""
"Never","2018","vocational + Abi","Rural Area","1","","",""
"Never","2018","higher vocational","Urban Area","","","",""
"Never","2018","higher vocational","Rural Area","","","",""
"Never","2018","higher education","Urban Area","15","","",""
"Never","2018","higher education","Rural Area","9","","",""
"Very often","2019","in school","Urban Area","","","",""
"Very often","2019","in school","Rural Area","","","",""
"Very often","2019","inadequately","Urban Area","2","","",""
"Very often","2019","inadequately","Rural Area","3","","",""
