"plj0589","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Often","2018","East Germany","Female","","","",""
"Sometimes","2018","West Germany","Male","40","0.228028888525758","0.166393015850516","0.289664761201"
"Sometimes","2018","West Germany","Female","43","0.23387584100095","0.174463995193267","0.293287686808632"
"Sometimes","2018","East Germany","Male","","","",""
"Sometimes","2018","East Germany","Female","","","",""
"Rarely ","2018","West Germany","Male","33","0.172030581547668","0.116587409851135","0.227473753244202"
"Rarely ","2018","West Germany","Female","33","0.196144636220183","0.140412208620441","0.251877063819926"
"Rarely ","2018","East Germany","Male","","","",""
"Rarely ","2018","East Germany","Female","","","",""
"Never","2018","West Germany","Male","74","0.43972002632399","0.36680303136352","0.512637021284461"
"Never","2018","West Germany","Female","87","0.435280937674743","0.365693341674566","0.504868533674919"
"Never","2018","East Germany","Male","","","",""
"Never","2018","East Germany","Female","","","",""
"Very often","2019","West Germany","Male","","","",""
"Very often","2019","West Germany","Female","","","",""
"Very often","2019","East Germany","Male","","","",""
"Very often","2019","East Germany","Female","","","",""
"Often","2019","West Germany","Male","","","",""
"Often","2019","West Germany","Female","","","",""
"Often","2019","East Germany","Male","","","",""
"Often","2019","East Germany","Female","","","",""
"Sometimes","2019","West Germany","Male","","","",""
"Sometimes","2019","West Germany","Female","","","",""
"Sometimes","2019","East Germany","Male","","","",""
"Sometimes","2019","East Germany","Female","","","",""
"Rarely ","2019","West Germany","Male","","","",""
"Rarely ","2019","West Germany","Female","","","",""
"Rarely ","2019","East Germany","Male","","","",""
"Rarely ","2019","East Germany","Female","","","",""
"Never","2019","West Germany","Male","60","0.48497825283566","0.396294902480007","0.573661603191312"
"Never","2019","West Germany","Female","64","0.518061477292732","0.432495933639535","0.60362702094593"
"Never","2019","East Germany","Male","","","",""
"Never","2019","East Germany","Female","","","",""
