"plj0589","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Mecklenburg-Western Pomerania","Rural Area","234","0.410009152602019","0.368097028827923","0.451921276376116","5"
"Never","2013","Saxony","Rural Area","473","0.507538062555575","0.473829488605208","0.541246636505942","5"
"Never","2013","Saxony-Anhalt","Urban Area","134","0.445676719150399","0.389149008124348","0.50220443017645","5"
"Never","2013","Saxony-Anhalt","Rural Area","392","0.595375039579515","0.558182427639609","0.632567651519421","5"
"Never","2013","Thuringia","Urban Area","153","0.441717952469793","0.385617779572566","0.49781812536702","5"
"Often","2013","Schleswig-Holstein","Urban Area","13","","","","2"
"Often","2013","Schleswig-Holstein","Rural Area","20","","","","2"
"Often","2013","Hamburg","Urban Area","9","","","","2"
"Often","2013","Hamburg","Rural Area","","","","","2"
"Often","2013","Lower Saxony","Urban Area","39","0.0406782763133852","0.0290043980802353","0.052352154546535","2"
"Often","2013","Lower Saxony","Rural Area","50","0.0381153284071248","0.0279202685856883","0.0483103882285613","2"
"Often","2013","Bremen","Urban Area","6","","","","2"
"Often","2013","Bremen","Rural Area","","","","","2"
"Often","2013","North Rhine-Westphalia","Urban Area","170","0.0339157100872437","0.0288908557501416","0.0389405644243458","2"
"Often","2013","North Rhine-Westphalia","Rural Area","2","","","","2"
"Often","2013","Hesse","Urban Area","50","0.047290015996089","0.0361234806065107","0.0584565513856673","2"
"Often","2013","Hesse","Rural Area","13","","","","2"
"Often","2013","Rhineland-Palatinate,Saarland","Urban Area","35","0.032753933270918","0.0220134931717309","0.043494373370105","2"
"Often","2013","Rhineland-Palatinate,Saarland","Rural Area","14","","","","2"
"Often","2013","Baden-Württemberg","Urban Area","91","0.0391275622651855","0.0317797092287345","0.0464754153016365","2"
"Often","2013","Baden-Württemberg","Rural Area","10","","","","2"
"Often","2013","Bavaria","Urban Area","64","0.0401910606313947","0.0309863462903489","0.0493957749724406","2"
"Often","2013","Bavaria","Rural Area","61","0.0355662895954263","0.0279624770870755","0.043170102103777","2"
"Often","2013","Berlin","Urban Area","38","0.0301567023054438","0.0194766670919481","0.0408367375189396","2"
"Often","2013","Berlin","Rural Area","","","","","2"
"Often","2013","Brandenburg","Urban Area","6","","","","2"
"Often","2013","Brandenburg","Rural Area","47","0.0501970896550213","0.0362012711282745","0.064192908181768","2"
"Often","2013","Mecklenburg-Western Pomerania","Urban Area","1","","","","2"
"Often","2013","Saxony","Urban Area","36","0.0457760918163416","0.0318883073649132","0.0596638762677699","2"
"Often","2013","Saxony","Rural Area","29","","","","2"
"Often","2013","Saxony-Anhalt","Urban Area","10","","","","2"
"Often","2013","Saxony-Anhalt","Rural Area","30","0.0529804937699668","0.0360069511530138","0.0699540363869198","2"
"Often","2013","Thuringia","Rural Area","33","0.0649865097735434","0.04669957463033","0.0832734449167569","2"
"Often","2013","Mecklenburg-Western Pomerania","Rural Area","35","0.0589315046854528","0.0388634795061905","0.0789995298647151","2"
"Often","2013","Thuringia","Urban Area","10","","","","2"
"Rarely ","2013","Saxony","Urban Area","224","0.269928185397293","0.240429995072104","0.299426375722483","4"
"Rarely ","2013","Saxony","Rural Area","241","0.323859562892486","0.292308314024479","0.355410811760492","4"
"Rarely ","2013","Thuringia","Rural Area","221","0.296680356014578","0.262792729712012","0.330567982317144","4"
"Rarely ","2013","Schleswig-Holstein","Urban Area","72","0.276678984515826","0.221663510286401","0.33169445874525","4"
"Rarely ","2013","Schleswig-Holstein","Rural Area","216","0.346356256007757","0.309777958713666","0.382934553301847","4"
"Rarely ","2013","Hamburg","Urban Area","81","0.225556709794377","0.184952265373027","0.266161154215726","4"
"Rarely ","2013","Hamburg","Rural Area","","","","","4"
"Rarely ","2013","Lower Saxony","Urban Area","277","0.262763185427258","0.236753355378617","0.288773015475898","4"
"Rarely ","2013","Lower Saxony","Rural Area","400","0.289699709970065","0.265546577148101","0.31385284279203","4"
"Rarely ","2013","Bremen","Urban Area","51","0.35902725493817","0.289712982279004","0.428341527597336","4"
"Rarely ","2013","Bremen","Rural Area","","","","","4"
"Rarely ","2013","North Rhine-Westphalia","Urban Area","1316","0.264230729019583","0.251990825512073","0.276470632527093","4"
"Rarely ","2013","North Rhine-Westphalia","Rural Area","28","","","","4"
"Rarely ","2013","Hesse","Urban Area","366","0.248266652362498","0.225539529471982","0.270993775253015","4"
"Rarely ","2013","Hesse","Rural Area","107","0.268835784055777","0.223289977064579","0.314381591046975","4"
"Rarely ","2013","Rhineland-Palatinate,Saarland","Urban Area","267","0.268017880604267","0.241290648712855","0.294745112495678","4"
"Rarely ","2013","Rhineland-Palatinate,Saarland","Rural Area","89","0.286973672509045","0.240503829004265","0.333443516013824","4"
"Rarely ","2013","Baden-Württemberg","Urban Area","704","0.293944357276405","0.27668048454423","0.311208230008581","4"
"Rarely ","2013","Baden-Württemberg","Rural Area","91","0.324162342650873","0.274483281932694","0.373841403369052","4"
"Rarely ","2013","Bavaria","Urban Area","451","0.267975424975897","0.247218476800042","0.288732373151752","4"
"Rarely ","2013","Bavaria","Rural Area","609","0.280593060876131","0.262147082167418","0.299039039584843","4"
"Rarely ","2013","Berlin","Urban Area","280","0.267408288858794","0.239767628878924","0.295048948838665","4"
"Rarely ","2013","Berlin","Rural Area","","","","","4"
"Rarely ","2013","Brandenburg","Urban Area","33","0.362830534611166","0.261796462640812","0.46386460658152","4"
"Rarely ","2013","Brandenburg","Rural Area","286","0.304041573837242","0.274556622168876","0.333526525505608","4"
"Rarely ","2013","Mecklenburg-Western Pomerania","Urban Area","24","","","","4"
"Rarely ","2013","Mecklenburg-Western Pomerania","Rural Area","184","0.37825609582578","0.336930512661027","0.419581678990534","4"
"Rarely ","2013","Saxony-Anhalt","Urban Area","96","0.324124112621724","0.270893800447375","0.377354424796073","4"
"Rarely ","2013","Saxony-Anhalt","Rural Area","163","0.251666722059583","0.218781902923055","0.284551541196111","4"
"Rarely ","2013","Thuringia","Urban Area","94","0.371331076515561","0.316748191369711","0.425913961661411","4"
"Sometimes","2013","Saxony","Urban Area","105","0.130478868612459","0.108096882277058","0.15286085494786","3"
"Sometimes","2013","Saxony","Rural Area","93","0.113333805750957","0.0919601136866807","0.134707497815234","3"
"Sometimes","2013","Saxony-Anhalt","Urban Area","54","0.174126780468298","0.130998778045675","0.21725478289092","3"
"Sometimes","2013","Thuringia","Rural Area","74","0.109656635025515","0.0864764658950484","0.132836804155982","3"
"Sometimes","2013","Hamburg","Urban Area","26","","","","3"
"Sometimes","2013","Hamburg","Rural Area","","","","","3"
"Sometimes","2013","Bremen","Rural Area","","","","","3"
"Sometimes","2013","North Rhine-Westphalia","Urban Area","490","0.103532315111443","0.0950752282343822","0.111989401988504","3"
"Sometimes","2013","Schleswig-Holstein","Urban Area","29","","","","3"
"Sometimes","2013","Schleswig-Holstein","Rural Area","57","0.0768559125501217","0.0563789846701201","0.0973328404301232","3"
"Sometimes","2013","Lower Saxony","Urban Area","95","0.0916918880385459","0.0746375917991254","0.108746184277966","3"
"Sometimes","2013","Lower Saxony","Rural Area","135","0.101946921728845","0.085836144045073","0.118057699412617","3"
"Sometimes","2013","Bremen","Urban Area","18","","","","3"
"Sometimes","2013","North Rhine-Westphalia","Rural Area","8","","","","3"
"Sometimes","2013","Hesse","Urban Area","113","0.0855885458014093","0.0708711147299259","0.100305976872893","3"
"Sometimes","2013","Hesse","Rural Area","53","0.148870832769882","0.112302939150969","0.185438726388796","3"
"Sometimes","2013","Rhineland-Palatinate,Saarland","Urban Area","89","0.0851694119016155","0.0683258466243435","0.102012977178887","3"
"Sometimes","2013","Rhineland-Palatinate,Saarland","Rural Area","40","0.0924430973406883","0.0626873011454686","0.122198893535908","3"
"Sometimes","2013","Baden-Württemberg","Urban Area","237","0.0877178443797202","0.0769978449273834","0.098437843832057","3"
"Sometimes","2013","Baden-Württemberg","Rural Area","25","","","","3"
"Sometimes","2013","Bavaria","Urban Area","176","0.0815011727227387","0.0686786222189786","0.0943237232264988","3"
"Sometimes","2013","Bavaria","Rural Area","210","0.0992163897724429","0.0869426227236522","0.111490156821234","3"
"Sometimes","2013","Berlin","Urban Area","118","0.15427202153506","0.131714628322107","0.176829414748013","3"
"Sometimes","2013","Berlin","Rural Area","","","","","3"
"Sometimes","2013","Brandenburg","Urban Area","14","","","","3"
"Sometimes","2013","Brandenburg","Rural Area","133","0.155053064199076","0.131852572996938","0.178253555401214","3"
"Sometimes","2013","Mecklenburg-Western Pomerania","Urban Area","5","","","","3"
"Sometimes","2013","Mecklenburg-Western Pomerania","Rural Area","69","0.13524241382173","0.106100108627483","0.164384719015978","3"
"Sometimes","2013","Saxony-Anhalt","Rural Area","75","0.0905463099233584","0.0688012451906153","0.112291374656102","3"
"Sometimes","2013","Thuringia","Urban Area","37","0.157541985023427","0.116385608375367","0.198698361671488","3"
"Very often","2013","Schleswig-Holstein","Urban Area","3","","","","1"
"Very often","2013","Schleswig-Holstein","Rural Area","6","","","","1"
"Very often","2013","Hamburg","Urban Area","2","","","","1"
"Very often","2013","Hamburg","Rural Area","","","","","1"
"Very often","2013","Lower Saxony","Urban Area","15","","","","1"
"Very often","2013","Lower Saxony","Rural Area","15","","","","1"
"Very often","2013","Bremen","Urban Area","2","","","","1"
"Very often","2013","Bremen","Rural Area","","","","","1"
"Very often","2013","North Rhine-Westphalia","Urban Area","45","0.00890741586128337","0.00629917023778705","0.0115156614847797","1"
"Very often","2013","North Rhine-Westphalia","Rural Area","1","","","","1"
"Very often","2013","Hesse","Urban Area","15","","","","1"
"Very often","2013","Hesse","Rural Area","3","","","","1"
"Very often","2013","Rhineland-Palatinate,Saarland","Urban Area","13","","","","1"
"Very often","2013","Rhineland-Palatinate,Saarland","Rural Area","3","","","","1"
"Very often","2013","Baden-Württemberg","Urban Area","23","","","","1"
"Very often","2013","Baden-Württemberg","Rural Area","5","","","","1"
"Very often","2013","Bavaria","Urban Area","18","","","","1"
"Very often","2013","Bavaria","Rural Area","27","","","","1"
"Very often","2013","Berlin","Urban Area","16","","","","1"
"Very often","2013","Berlin","Rural Area","","","","","1"
"Very often","2013","Brandenburg","Urban Area","","","","","1"
"Very often","2013","Brandenburg","Rural Area","13","","","","1"
"Very often","2013","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Very often","2013","Mecklenburg-Western Pomerania","Rural Area","7","","","","1"
"Very often","2013","Saxony","Urban Area","14","","","","1"
"Very often","2013","Saxony","Rural Area","9","","","","1"
"Very often","2013","Saxony-Anhalt","Urban Area","3","","","","1"
"Very often","2013","Saxony-Anhalt","Rural Area","9","","","","1"
"Very often","2013","Thuringia","Urban Area","7","","","","1"
"Very often","2013","Thuringia","Rural Area","14","","","","1"
"Never","2014","Thuringia","Rural Area","","","","","5"
"Never","2014","Saxony","Urban Area","","","","","5"
"Never","2014","Schleswig-Holstein","Urban Area","","","","","5"
"Never","2014","Schleswig-Holstein","Rural Area","","","","","5"
"Never","2014","Hamburg","Urban Area","","","","","5"
"Never","2014","Hamburg","Rural Area","","","","","5"
"Never","2014","Lower Saxony","Urban Area","","","","","5"
"Never","2014","Lower Saxony","Rural Area","","","","","5"
"Never","2014","Bremen","Urban Area","","","","","5"
"Never","2014","Bremen","Rural Area","","","","","5"
"Never","2014","North Rhine-Westphalia","Urban Area","","","","","5"
"Never","2014","North Rhine-Westphalia","Rural Area","","","","","5"
"Never","2014","Hesse","Urban Area","","","","","5"
"Never","2014","Hesse","Rural Area","","","","","5"
"Never","2014","Rhineland-Palatinate,Saarland","Urban Area","","","","","5"
"Never","2014","Rhineland-Palatinate,Saarland","Rural Area","","","","","5"
"Never","2014","Baden-Württemberg","Urban Area","","","","","5"
"Never","2014","Baden-Württemberg","Rural Area","","","","","5"
"Never","2014","Bavaria","Urban Area","","","","","5"
"Never","2014","Bavaria","Rural Area","","","","","5"
"Never","2014","Berlin","Urban Area","","","","","5"
"Never","2014","Berlin","Rural Area","","","","","5"
"Never","2014","Brandenburg","Urban Area","","","","","5"
"Never","2014","Brandenburg","Rural Area","","","","","5"
"Never","2014","Mecklenburg-Western Pomerania","Urban Area","","","","","5"
"Never","2014","Mecklenburg-Western Pomerania","Rural Area","","","","","5"
"Never","2014","Saxony","Rural Area","","","","","5"
"Never","2014","Saxony-Anhalt","Urban Area","","","","","5"
"Never","2014","Saxony-Anhalt","Rural Area","","","","","5"
"Never","2014","Thuringia","Urban Area","","","","","5"
"Often","2014","Saxony-Anhalt","Urban Area","","","","","2"
"Often","2014","Saxony","Urban Area","","","","","2"
"Often","2014","Thuringia","Rural Area","","","","","2"
"Often","2014","Saxony","Rural Area","","","","","2"
"Often","2014","Saxony-Anhalt","Rural Area","","","","","2"
"Often","2014","Schleswig-Holstein","Rural Area","","","","","2"
"Often","2014","Hamburg","Urban Area","","","","","2"
"Often","2014","Hamburg","Rural Area","","","","","2"
"Often","2014","Lower Saxony","Urban Area","","","","","2"
"Often","2014","Lower Saxony","Rural Area","","","","","2"
"Often","2014","Bremen","Urban Area","","","","","2"
"Often","2014","Bremen","Rural Area","","","","","2"
"Often","2014","North Rhine-Westphalia","Urban Area","","","","","2"
"Often","2014","North Rhine-Westphalia","Rural Area","","","","","2"
"Often","2014","Hesse","Urban Area","","","","","2"
"Often","2014","Hesse","Rural Area","","","","","2"
"Often","2014","Rhineland-Palatinate,Saarland","Urban Area","","","","","2"
"Often","2014","Rhineland-Palatinate,Saarland","Rural Area","","","","","2"
"Often","2014","Baden-Württemberg","Urban Area","","","","","2"
"Often","2014","Baden-Württemberg","Rural Area","","","","","2"
"Often","2014","Bavaria","Urban Area","","","","","2"
"Often","2014","Bavaria","Rural Area","","","","","2"
"Often","2014","Berlin","Urban Area","","","","","2"
"Often","2014","Berlin","Rural Area","","","","","2"
"Often","2014","Brandenburg","Urban Area","","","","","2"
"Often","2014","Brandenburg","Rural Area","","","","","2"
"Often","2014","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"Often","2014","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"Often","2014","Thuringia","Urban Area","","","","","2"
"Often","2014","Schleswig-Holstein","Urban Area","","","","","2"
"Rarely ","2014","Saxony","Urban Area","","","","","4"
"Rarely ","2014","Baden-Württemberg","Urban Area","","","","","4"
"Rarely ","2014","Thuringia","Rural Area","","","","","4"
"Rarely ","2014","Berlin","Urban Area","","","","","4"
"Rarely ","2014","Berlin","Rural Area","","","","","4"
"Rarely ","2014","Bremen","Rural Area","","","","","4"
"Rarely ","2014","North Rhine-Westphalia","Urban Area","","","","","4"
"Rarely ","2014","Saxony","Rural Area","","","","","4"
"Rarely ","2014","Rhineland-Palatinate,Saarland","Urban Area","","","","","4"
"Rarely ","2014","Rhineland-Palatinate,Saarland","Rural Area","","","","","4"
"Rarely ","2014","Schleswig-Holstein","Rural Area","","","","","4"
"Rarely ","2014","Hamburg","Urban Area","","","","","4"
"Rarely ","2014","Hamburg","Rural Area","","","","","4"
"Rarely ","2014","Lower Saxony","Urban Area","","","","","4"
"Rarely ","2014","Lower Saxony","Rural Area","","","","","4"
"Rarely ","2014","Bremen","Urban Area","","","","","4"
"Rarely ","2014","North Rhine-Westphalia","Rural Area","","","","","4"
"Rarely ","2014","Hesse","Urban Area","","","","","4"
"Rarely ","2014","Hesse","Rural Area","","","","","4"
"Rarely ","2014","Baden-Württemberg","Rural Area","","","","","4"
"Rarely ","2014","Bavaria","Urban Area","","","","","4"
"Rarely ","2014","Bavaria","Rural Area","","","","","4"
"Rarely ","2014","Brandenburg","Urban Area","","","","","4"
"Rarely ","2014","Brandenburg","Rural Area","","","","","4"
"Rarely ","2014","Mecklenburg-Western Pomerania","Urban Area","","","","","4"
"Rarely ","2014","Mecklenburg-Western Pomerania","Rural Area","","","","","4"
"Rarely ","2014","Saxony-Anhalt","Urban Area","","","","","4"
"Rarely ","2014","Saxony-Anhalt","Rural Area","","","","","4"
"Rarely ","2014","Thuringia","Urban Area","","","","","4"
"Rarely ","2014","Schleswig-Holstein","Urban Area","","","","","4"
"Sometimes","2014","Saxony","Urban Area","","","","","3"
"Sometimes","2014","Saxony","Rural Area","","","","","3"
"Sometimes","2014","Saxony-Anhalt","Urban Area","","","","","3"
"Sometimes","2014","Thuringia","Rural Area","","","","","3"
"Sometimes","2014","Schleswig-Holstein","Rural Area","","","","","3"
"Sometimes","2014","Hamburg","Urban Area","","","","","3"
"Sometimes","2014","Hamburg","Rural Area","","","","","3"
"Sometimes","2014","Lower Saxony","Urban Area","","","","","3"
"Sometimes","2014","Bremen","Rural Area","","","","","3"
"Sometimes","2014","North Rhine-Westphalia","Urban Area","","","","","3"
"Sometimes","2014","North Rhine-Westphalia","Rural Area","","","","","3"
"Sometimes","2014","Rhineland-Palatinate,Saarland","Urban Area","","","","","3"
"Sometimes","2014","Rhineland-Palatinate,Saarland","Rural Area","","","","","3"
"Sometimes","2014","Baden-Württemberg","Urban Area","","","","","3"
"Sometimes","2014","Baden-Württemberg","Rural Area","","","","","3"
"Sometimes","2014","Bavaria","Urban Area","","","","","3"
"Sometimes","2014","Bavaria","Rural Area","","","","","3"
"Sometimes","2014","Berlin","Urban Area","","","","","3"
"Sometimes","2014","Berlin","Rural Area","","","","","3"
"Sometimes","2014","Brandenburg","Urban Area","","","","","3"
"Sometimes","2014","Brandenburg","Rural Area","","","","","3"
"Sometimes","2014","Mecklenburg-Western Pomerania","Urban Area","","","","","3"
"Sometimes","2014","Mecklenburg-Western Pomerania","Rural Area","","","","","3"
"Sometimes","2014","Saxony-Anhalt","Rural Area","","","","","3"
"Sometimes","2014","Thuringia","Urban Area","","","","","3"
"Sometimes","2014","Lower Saxony","Rural Area","","","","","3"
"Sometimes","2014","Bremen","Urban Area","","","","","3"
"Sometimes","2014","Hesse","Urban Area","","","","","3"
"Sometimes","2014","Hesse","Rural Area","","","","","3"
"Sometimes","2014","Schleswig-Holstein","Urban Area","","","","","3"
"Very often","2014","Schleswig-Holstein","Rural Area","","","","","1"
"Very often","2014","Hamburg","Urban Area","","","","","1"
"Very often","2014","Hamburg","Rural Area","","","","","1"
"Very often","2014","Lower Saxony","Urban Area","","","","","1"
"Very often","2014","Lower Saxony","Rural Area","","","","","1"
"Very often","2014","Bremen","Urban Area","","","","","1"
"Very often","2014","Bremen","Rural Area","","","","","1"
"Very often","2014","North Rhine-Westphalia","Urban Area","","","","","1"
"Very often","2014","North Rhine-Westphalia","Rural Area","","","","","1"
"Very often","2014","Hesse","Urban Area","","","","","1"
"Very often","2014","Hesse","Rural Area","","","","","1"
"Very often","2014","Rhineland-Palatinate,Saarland","Urban Area","","","","","1"
"Very often","2014","Rhineland-Palatinate,Saarland","Rural Area","","","","","1"
"Very often","2014","Baden-Württemberg","Urban Area","","","","","1"
"Very often","2014","Baden-Württemberg","Rural Area","","","","","1"
"Very often","2014","Bavaria","Urban Area","","","","","1"
"Very often","2014","Bavaria","Rural Area","","","","","1"
"Very often","2014","Berlin","Urban Area","","","","","1"
"Very often","2014","Berlin","Rural Area","","","","","1"
"Very often","2014","Brandenburg","Urban Area","","","","","1"
"Very often","2014","Brandenburg","Rural Area","","","","","1"
"Very often","2014","Mecklenburg-Western Pomerania","Urban Area","","","","","1"
"Very often","2014","Mecklenburg-Western Pomerania","Rural Area","","","","","1"
"Very often","2014","Saxony","Urban Area","","","","","1"
"Very often","2014","Saxony","Rural Area","","","","","1"
"Very often","2014","Saxony-Anhalt","Urban Area","","","","","1"
"Very often","2014","Saxony-Anhalt","Rural Area","","","","","1"
"Very often","2014","Thuringia","Urban Area","","","","","1"
"Very often","2014","Thuringia","Rural Area","","","","","1"
"Very often","2014","Schleswig-Holstein","Urban Area","","","","","1"
"Never","2015","Thuringia","Rural Area","","","","","5"
"Never","2015","Schleswig-Holstein","Urban Area","","","","","5"
"Never","2015","Schleswig-Holstein","Rural Area","","","","","5"
"Never","2015","Hamburg","Urban Area","","","","","5"
"Never","2015","Hamburg","Rural Area","","","","","5"
"Never","2015","Lower Saxony","Urban Area","","","","","5"
"Never","2015","Lower Saxony","Rural Area","","","","","5"
"Never","2015","Bremen","Urban Area","","","","","5"
"Never","2015","Bremen","Rural Area","","","","","5"
"Never","2015","North Rhine-Westphalia","Urban Area","","","","","5"
"Never","2015","North Rhine-Westphalia","Rural Area","","","","","5"
"Never","2015","Hesse","Urban Area","","","","","5"
"Never","2015","Hesse","Rural Area","","","","","5"
"Never","2015","Rhineland-Palatinate,Saarland","Urban Area","","","","","5"
"Never","2015","Rhineland-Palatinate,Saarland","Rural Area","","","","","5"
"Never","2015","Baden-Württemberg","Urban Area","","","","","5"
"Never","2015","Baden-Württemberg","Rural Area","","","","","5"
"Never","2015","Bavaria","Urban Area","","","","","5"
"Never","2015","Bavaria","Rural Area","","","","","5"
"Never","2015","Berlin","Urban Area","","","","","5"
"Never","2015","Berlin","Rural Area","","","","","5"
"Never","2015","Brandenburg","Urban Area","","","","","5"
"Never","2015","Brandenburg","Rural Area","","","","","5"
"Never","2015","Mecklenburg-Western Pomerania","Urban Area","","","","","5"
"Never","2015","Mecklenburg-Western Pomerania","Rural Area","","","","","5"
"Never","2015","Saxony","Urban Area","","","","","5"
"Never","2015","Saxony","Rural Area","","","","","5"
"Never","2015","Saxony-Anhalt","Urban Area","","","","","5"
"Never","2015","Saxony-Anhalt","Rural Area","","","","","5"
"Never","2015","Thuringia","Urban Area","","","","","5"
"Often","2015","Schleswig-Holstein","Rural Area","","","","","2"
"Often","2015","Hamburg","Rural Area","","","","","2"
"Often","2015","Lower Saxony","Rural Area","","","","","2"
"Often","2015","Bremen","Rural Area","","","","","2"
"Often","2015","North Rhine-Westphalia","Urban Area","","","","","2"
"Often","2015","Hesse","Urban Area","","","","","2"
"Often","2015","Rhineland-Palatinate,Saarland","Urban Area","","","","","2"
"Often","2015","Rhineland-Palatinate,Saarland","Rural Area","","","","","2"
"Often","2015","Baden-Württemberg","Urban Area","","","","","2"
"Often","2015","Hamburg","Urban Area","","","","","2"
"Often","2015","Bavaria","Urban Area","","","","","2"
"Often","2015","Lower Saxony","Urban Area","","","","","2"
"Often","2015","Berlin","Urban Area","","","","","2"
"Often","2015","Berlin","Rural Area","","","","","2"
"Often","2015","Brandenburg","Urban Area","","","","","2"
"Often","2015","Brandenburg","Rural Area","","","","","2"
"Often","2015","North Rhine-Westphalia","Rural Area","","","","","2"
"Often","2015","Mecklenburg-Western Pomerania","Rural Area","","","","","2"
"Often","2015","Saxony","Urban Area","","","","","2"
"Often","2015","Saxony","Rural Area","","","","","2"
"Often","2015","Saxony-Anhalt","Urban Area","","","","","2"
"Often","2015","Saxony-Anhalt","Rural Area","","","","","2"
"Often","2015","Baden-Württemberg","Rural Area","","","","","2"
"Often","2015","Thuringia","Rural Area","","","","","2"
"Often","2015","Bremen","Urban Area","","","","","2"
"Often","2015","Hesse","Rural Area","","","","","2"
"Often","2015","Bavaria","Rural Area","","","","","2"
"Often","2015","Mecklenburg-Western Pomerania","Urban Area","","","","","2"
"Often","2015","Schleswig-Holstein","Urban Area","","","","","2"
"Often","2015","Thuringia","Urban Area","","","","","2"
"Rarely ","2015","Schleswig-Holstein","Rural Area","","","","","4"
"Rarely ","2015","Berlin","Urban Area","","","","","4"
"Rarely ","2015","Berlin","Rural Area","","","","","4"
"Rarely ","2015","Mecklenburg-Western Pomerania","Rural Area","","","","","4"
"Rarely ","2015","Saxony","Urban Area","","","","","4"
"Rarely ","2015","Saxony","Rural Area","","","","","4"
"Rarely ","2015","Thuringia","Rural Area","","","","","4"
"Rarely ","2015","Schleswig-Holstein","Urban Area","","","","","4"
"Rarely ","2015","Hamburg","Urban Area","","","","","4"
"Rarely ","2015","Hamburg","Rural Area","","","","","4"
"Rarely ","2015","Lower Saxony","Urban Area","","","","","4"
"Rarely ","2015","Lower Saxony","Rural Area","","","","","4"
"Rarely ","2015","Bremen","Urban Area","","","","","4"
"Rarely ","2015","Bremen","Rural Area","","","","","4"
"Rarely ","2015","North Rhine-Westphalia","Urban Area","","","","","4"
"Rarely ","2015","North Rhine-Westphalia","Rural Area","","","","","4"
"Rarely ","2015","Hesse","Urban Area","","","","","4"
"Rarely ","2015","Hesse","Rural Area","","","","","4"
"Rarely ","2015","Rhineland-Palatinate,Saarland","Urban Area","","","","","4"
"Rarely ","2015","Rhineland-Palatinate,Saarland","Rural Area","","","","","4"
"Rarely ","2015","Baden-Württemberg","Urban Area","","","","","4"
"Rarely ","2015","Baden-Württemberg","Rural Area","","","","","4"
"Rarely ","2015","Bavaria","Urban Area","","","","","4"
"Rarely ","2015","Bavaria","Rural Area","","","","","4"
"Rarely ","2015","Brandenburg","Urban Area","","","","","4"
"Rarely ","2015","Brandenburg","Rural Area","","","","","4"
"Rarely ","2015","Mecklenburg-Western Pomerania","Urban Area","","","","","4"
"Rarely ","2015","Saxony-Anhalt","Urban Area","","","","","4"
"Rarely ","2015","Saxony-Anhalt","Rural Area","","","","","4"
"Rarely ","2015","Thuringia","Urban Area","","","","","4"
"Sometimes","2015","Bavaria","Urban Area","","","","","3"
"Sometimes","2015","Bremen","Rural Area","","","","","3"
"Sometimes","2015","North Rhine-Westphalia","Urban Area","","","","","3"
"Sometimes","2015","North Rhine-Westphalia","Rural Area","","","","","3"
"Sometimes","2015","Saxony","Urban Area","","","","","3"
"Sometimes","2015","Rhineland-Palatinate,Saarland","Urban Area","","","","","3"
