"plj0589","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2013","(2c_gen) general maturity certificate","general elemantary","","","",""
"Very often","2013","(2c_gen) general maturity certificate","middle vocational","4","","",""
"Very often","2013","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Very often","2013","(2c_gen) general maturity certificate","higher vocational","","","",""
"Very often","2013","(2c_gen) general maturity certificate","higher education","","","",""
"Very often","2013","(2c_voc) vocational maturity certificate","in school","","","",""
"Very often","2013","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Very often","2013","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Very often","2013","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Very often","2013","(2c_voc) vocational maturity certificate","vocational + Abi","15","","",""
"Very often","2013","(2c_voc) vocational maturity certificate","higher vocational","2","","",""
"Very often","2013","(2c_voc) vocational maturity certificate","higher education","","","",""
"Very often","2013","(3a) lower tertiary education","in school","","","",""
"Very often","2013","(3a) lower tertiary education","inadequately","","","",""
"Very often","2013","(3a) lower tertiary education","general elemantary","","","",""
"Very often","2013","(3a) lower tertiary education","middle vocational","","","",""
"Very often","2013","(3a) lower tertiary education","vocational + Abi","","","",""
"Very often","2013","(3a) lower tertiary education","higher vocational","","","",""
"Very often","2013","(3a) lower tertiary education","higher education","6","","",""
"Very often","2013","(3b) higher tertiary education","in school","","","",""
"Very often","2013","(3b) higher tertiary education","inadequately","","","",""
"Very often","2013","(3b) higher tertiary education","general elemantary","","","",""
"Very often","2013","(3b) higher tertiary education","middle vocational","","","",""
"Very often","2013","(3b) higher tertiary education","vocational + Abi","","","",""
"Very often","2013","(3b) higher tertiary education","higher vocational","","","",""
"Very often","2013","(3b) higher tertiary education","higher education","24","","",""
"Often","2013","(0) in school","in school","16","","",""
"Often","2013","(0) in school","inadequately","","","",""
"Often","2013","(0) in school","general elemantary","","","",""
"Often","2013","(0) in school","middle vocational","","","",""
"Often","2013","(0) in school","vocational + Abi","","","",""
"Often","2013","(0) in school","higher vocational","","","",""
"Often","2013","(0) in school","higher education","","","",""
"Often","2013","(1a) inadequately completed","in school","","","",""
"Often","2013","(1a) inadequately completed","inadequately","40","0.120226364944693","0.0814335282132755","0.159019201676111"
"Often","2013","(1a) inadequately completed","general elemantary","","","",""
"Often","2013","(1a) inadequately completed","middle vocational","5","","",""
"Often","2013","(1a) inadequately completed","vocational + Abi","","","",""
"Often","2013","(1a) inadequately completed","higher vocational","","","",""
"Often","2013","(1a) inadequately completed","higher education","","","",""
"Often","2013","(1b) general elementary school","in school","","","",""
"Often","2013","(1b) general elementary school","inadequately","1","","",""
"Often","2013","(1b) general elementary school","general elemantary","103","0.0633199370859492","0.0522789140525632","0.0743609601193352"
"Often","2013","(1b) general elementary school","middle vocational","","","",""
"Often","2013","(1b) general elementary school","vocational + Abi","","","",""
"Often","2013","(1b) general elementary school","higher vocational","","","",""
"Often","2013","(1b) general elementary school","higher education","","","",""
"Often","2013","(1c) basic vocational qualification","in school","","","",""
"Often","2013","(1c) basic vocational qualification","inadequately","","","",""
"Often","2013","(1c) basic vocational qualification","general elemantary","","","",""
"Often","2013","(1c) basic vocational qualification","middle vocational","225","0.0408008284731829","0.0355263526112497","0.0460753043351161"
"Often","2013","(1c) basic vocational qualification","vocational + Abi","","","",""
"Often","2013","(1c) basic vocational qualification","higher vocational","10","","",""
"Often","2013","(1c) basic vocational qualification","higher education","","","",""
"Often","2013","(2b) intermediate general qualification","in school","","","",""
"Often","2013","(2b) intermediate general qualification","inadequately","","","",""
"Often","2013","(2b) intermediate general qualification","general elemantary","35","0.0473903995350648","0.0318921676575226","0.062888631412607"
"Often","2013","(2b) intermediate general qualification","middle vocational","","","",""
"Often","2013","(2b) intermediate general qualification","vocational + Abi","","","",""
"Often","2013","(2b) intermediate general qualification","higher vocational","","","",""
"Often","2013","(2b) intermediate general qualification","higher education","","","",""
"Often","2013","(2a) intermediate vocational","in school","","","",""
"Often","2013","(2a) intermediate vocational","inadequately","","","",""
"Often","2013","(2a) intermediate vocational","general elemantary","","","",""
"Often","2013","(2a) intermediate vocational","middle vocational","211","0.0392269366493609","0.0342025392032339","0.0442513340954879"
"Often","2013","(2a) intermediate vocational","vocational + Abi","","","",""
"Often","2013","(2a) intermediate vocational","higher vocational","26","","",""
"Often","2013","(2a) intermediate vocational","higher education","","","",""
"Often","2013","(2c_gen) general maturity certificate","in school","","","",""
"Often","2013","(2c_gen) general maturity certificate","inadequately","","","",""
"Often","2013","(2c_gen) general maturity certificate","general elemantary","","","",""
"Often","2013","(2c_gen) general maturity certificate","middle vocational","28","","",""
"Often","2013","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Often","2013","(2c_gen) general maturity certificate","higher vocational","","","",""
"Often","2013","(2c_gen) general maturity certificate","higher education","","","",""
"Often","2013","(2c_voc) vocational maturity certificate","in school","","","",""
"Often","2013","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Often","2013","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Often","2013","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Often","2013","(2c_voc) vocational maturity certificate","vocational + Abi","64","0.035650168042386","0.0270244152477596","0.0442759208370125"
"Often","2013","(2c_voc) vocational maturity certificate","higher vocational","10","","",""
"Often","2013","(2c_voc) vocational maturity certificate","higher education","","","",""
"Often","2013","(3a) lower tertiary education","in school","","","",""
"Often","2013","(3a) lower tertiary education","inadequately","","","",""
"Often","2013","(3a) lower tertiary education","general elemantary","","","",""
"Often","2013","(3a) lower tertiary education","middle vocational","","","",""
"Often","2013","(3a) lower tertiary education","vocational + Abi","","","",""
"Often","2013","(3a) lower tertiary education","higher vocational","","","",""
"Often","2013","(3a) lower tertiary education","higher education","45","0.0328025469585358","0.0251625321757554","0.0404425617413161"
"Often","2013","(3b) higher tertiary education","in school","","","",""
"Often","2013","(3b) higher tertiary education","inadequately","","","",""
"Often","2013","(3b) higher tertiary education","general elemantary","","","",""
"Often","2013","(3b) higher tertiary education","middle vocational","","","",""
"Often","2013","(3b) higher tertiary education","vocational + Abi","","","",""
"Often","2013","(3b) higher tertiary education","higher vocational","","","",""
"Often","2013","(3b) higher tertiary education","higher education","74","0.0219359738911203","0.0172441438244275","0.026627803957813"
"Sometimes","2013","(0) in school","in school","30","0.0662190829386699","0.0430632554148413","0.0893749104624984"
"Sometimes","2013","(0) in school","inadequately","","","",""
"Sometimes","2013","(0) in school","general elemantary","","","",""
"Sometimes","2013","(0) in school","middle vocational","","","",""
"Sometimes","2013","(0) in school","vocational + Abi","","","",""
"Sometimes","2013","(0) in school","higher vocational","","","",""
"Sometimes","2013","(0) in school","higher education","","","",""
"Sometimes","2013","(1a) inadequately completed","in school","","","",""
"Sometimes","2013","(1a) inadequately completed","inadequately","60","0.209938260924983","0.161359937523897","0.258516584326068"
"Sometimes","2013","(1a) inadequately completed","general elemantary","","","",""
"Sometimes","2013","(1a) inadequately completed","middle vocational","11","","",""
"Sometimes","2013","(1a) inadequately completed","vocational + Abi","","","",""
"Sometimes","2013","(1a) inadequately completed","higher vocational","","","",""
"Sometimes","2013","(1a) inadequately completed","higher education","","","",""
"Sometimes","2013","(1b) general elementary school","in school","","","",""
"Sometimes","2013","(1b) general elementary school","inadequately","15","","",""
"Sometimes","2013","(1b) general elementary school","general elemantary","280","0.145321729828833","0.129344184772799","0.161299274884868"
"Sometimes","2013","(1b) general elementary school","middle vocational","","","",""
"Sometimes","2013","(1b) general elementary school","vocational + Abi","","","",""
"Sometimes","2013","(1b) general elementary school","higher vocational","","","",""
"Sometimes","2013","(1b) general elementary school","higher education","","","",""
"Sometimes","2013","(1c) basic vocational qualification","in school","","","",""
"Sometimes","2013","(1c) basic vocational qualification","inadequately","","","",""
"Sometimes","2013","(1c) basic vocational qualification","general elemantary","","","",""
"Sometimes","2013","(1c) basic vocational qualification","middle vocational","598","0.105489879739009","0.0972997939921358","0.113679965485882"
"Sometimes","2013","(1c) basic vocational qualification","vocational + Abi","","","",""
"Sometimes","2013","(1c) basic vocational qualification","higher vocational","32","0.0553919561436647","0.0337211345176708","0.0770627777696585"
"Sometimes","2013","(1c) basic vocational qualification","higher education","","","",""
"Sometimes","2013","(2b) intermediate general qualification","in school","","","",""
"Sometimes","2013","(2b) intermediate general qualification","inadequately","","","",""
"Sometimes","2013","(2b) intermediate general qualification","general elemantary","95","0.141127036420684","0.115731986610025","0.166522086231343"
"Sometimes","2013","(2b) intermediate general qualification","middle vocational","","","",""
"Sometimes","2013","(2b) intermediate general qualification","vocational + Abi","","","",""
"Sometimes","2013","(2b) intermediate general qualification","higher vocational","","","",""
"Sometimes","2013","(2b) intermediate general qualification","higher education","","","",""
"Sometimes","2013","(2a) intermediate vocational","in school","","","",""
"Sometimes","2013","(2a) intermediate vocational","inadequately","","","",""
"Sometimes","2013","(2a) intermediate vocational","general elemantary","","","",""
"Sometimes","2013","(2a) intermediate vocational","middle vocational","583","0.10204029931296","0.0942060810831118","0.109874517542809"
"Sometimes","2013","(2a) intermediate vocational","vocational + Abi","","","",""
"Sometimes","2013","(2a) intermediate vocational","higher vocational","69","0.103254930034741","0.0814919672320309","0.125017892837451"
"Sometimes","2013","(2a) intermediate vocational","higher education","","","",""
"Sometimes","2013","(2c_gen) general maturity certificate","in school","","","",""
"Sometimes","2013","(2c_gen) general maturity certificate","inadequately","","","",""
"Sometimes","2013","(2c_gen) general maturity certificate","general elemantary","","","",""
"Sometimes","2013","(2c_gen) general maturity certificate","middle vocational","97","0.0932957494641716","0.0755336935277195","0.111057805400624"
"Sometimes","2013","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Sometimes","2013","(2c_gen) general maturity certificate","higher vocational","","","",""
"Sometimes","2013","(2c_gen) general maturity certificate","higher education","","","",""
"Sometimes","2013","(2c_voc) vocational maturity certificate","in school","","","",""
"Sometimes","2013","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Sometimes","2013","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Sometimes","2013","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Sometimes","2013","(2c_voc) vocational maturity certificate","vocational + Abi","176","0.0916724793417175","0.0782482415237807","0.105096717159654"
"Sometimes","2013","(2c_voc) vocational maturity certificate","higher vocational","38","0.114039263638052","0.0853940569286365","0.142684470347467"
"Sometimes","2013","(2c_voc) vocational maturity certificate","higher education","","","",""
"Sometimes","2013","(3a) lower tertiary education","in school","","","",""
"Sometimes","2013","(3a) lower tertiary education","inadequately","","","",""
"Sometimes","2013","(3a) lower tertiary education","general elemantary","","","",""
"Sometimes","2013","(3a) lower tertiary education","middle vocational","","","",""
"Sometimes","2013","(3a) lower tertiary education","vocational + Abi","","","",""
"Sometimes","2013","(3a) lower tertiary education","higher vocational","","","",""
"Sometimes","2013","(3a) lower tertiary education","higher education","161","0.0837455092811339","0.0718639985127997","0.0956270200494682"
"Sometimes","2013","(3b) higher tertiary education","in school","","","",""
"Sometimes","2013","(3b) higher tertiary education","inadequately","","","",""
"Sometimes","2013","(3b) higher tertiary education","general elemantary","","","",""
"Sometimes","2013","(3b) higher tertiary education","middle vocational","","","",""
"Sometimes","2013","(3b) higher tertiary education","vocational + Abi","","","",""
"Sometimes","2013","(3b) higher tertiary education","higher vocational","","","",""
"Sometimes","2013","(3b) higher tertiary education","higher education","252","0.0719842722172921","0.0637052957454353","0.0802632486891489"
"Rarely ","2013","(0) in school","in school","128","0.26163854157564","0.220709497908306","0.302567585242974"
"Rarely ","2013","(0) in school","inadequately","","","",""
"Rarely ","2013","(0) in school","general elemantary","","","",""
"Rarely ","2013","(0) in school","middle vocational","2","","",""
"Rarely ","2013","(0) in school","vocational + Abi","","","",""
"Rarely ","2013","(0) in school","higher vocational","","","",""
"Rarely ","2013","(0) in school","higher education","","","",""
"Rarely ","2013","(1a) inadequately completed","in school","","","",""
"Rarely ","2013","(1a) inadequately completed","inadequately","80","0.291248294204181","0.237055073396749","0.345441515011612"
"Rarely ","2013","(1a) inadequately completed","general elemantary","","","",""
"Rarely ","2013","(1a) inadequately completed","middle vocational","19","","",""
"Rarely ","2013","(1a) inadequately completed","vocational + Abi","","","",""
"Rarely ","2013","(1a) inadequately completed","higher vocational","1","","",""
"Rarely ","2013","(1a) inadequately completed","higher education","","","",""
"Rarely ","2013","(1b) general elementary school","in school","","","",""
"Rarely ","2013","(1b) general elementary school","inadequately","17","","",""
"Rarely ","2013","(1b) general elementary school","general elemantary","516","0.271243638798838","0.25108717232031","0.291400105277366"
"Rarely ","2013","(1b) general elementary school","middle vocational","","","",""
"Rarely ","2013","(1b) general elementary school","vocational + Abi","","","",""
"Rarely ","2013","(1b) general elementary school","higher vocational","","","",""
"Rarely ","2013","(1b) general elementary school","higher education","","","",""
"Rarely ","2013","(1c) basic vocational qualification","in school","","","",""
"Rarely ","2013","(1c) basic vocational qualification","inadequately","","","",""
"Rarely ","2013","(1c) basic vocational qualification","general elemantary","","","",""
"Rarely ","2013","(1c) basic vocational qualification","middle vocational","1494","0.280395353503443","0.268419049635302","0.292371657371584"
"Rarely ","2013","(1c) basic vocational qualification","vocational + Abi","","","",""
"Rarely ","2013","(1c) basic vocational qualification","higher vocational","126","0.270999316336173","0.228890379943461","0.313108252728884"
"Rarely ","2013","(1c) basic vocational qualification","higher education","","","",""
"Rarely ","2013","(2b) intermediate general qualification","in school","","","",""
"Rarely ","2013","(2b) intermediate general qualification","inadequately","","","",""
"Rarely ","2013","(2b) intermediate general qualification","general elemantary","184","0.275624405629901","0.243031713658675","0.308217097601127"
"Rarely ","2013","(2b) intermediate general qualification","middle vocational","","","",""
"Rarely ","2013","(2b) intermediate general qualification","vocational + Abi","","","",""
"Rarely ","2013","(2b) intermediate general qualification","higher vocational","","","",""
"Rarely ","2013","(2b) intermediate general qualification","higher education","","","",""
"Rarely ","2013","(2a) intermediate vocational","in school","","","",""
"Rarely ","2013","(2a) intermediate vocational","inadequately","","","",""
"Rarely ","2013","(2a) intermediate vocational","general elemantary","","","",""
"Rarely ","2013","(2a) intermediate vocational","middle vocational","1583","0.291848128072446","0.28008228532448","0.303613970820411"
"Rarely ","2013","(2a) intermediate vocational","vocational + Abi","","","",""
"Rarely ","2013","(2a) intermediate vocational","higher vocational","231","0.345975183177586","0.311954133397876","0.379996232957297"
"Rarely ","2013","(2a) intermediate vocational","higher education","","","",""
"Rarely ","2013","(2c_gen) general maturity certificate","in school","","","",""
"Rarely ","2013","(2c_gen) general maturity certificate","inadequately","","","",""
"Rarely ","2013","(2c_gen) general maturity certificate","general elemantary","","","",""
"Rarely ","2013","(2c_gen) general maturity certificate","middle vocational","264","0.242390558095687","0.21622017878803","0.268560937403344"
"Rarely ","2013","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Rarely ","2013","(2c_gen) general maturity certificate","higher vocational","","","",""
"Rarely ","2013","(2c_gen) general maturity certificate","higher education","","","",""
"Rarely ","2013","(2c_voc) vocational maturity certificate","in school","","","",""
"Rarely ","2013","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Rarely ","2013","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Rarely ","2013","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Rarely ","2013","(2c_voc) vocational maturity certificate","vocational + Abi","489","0.274803923271398","0.254036237709565","0.295571608833232"
"Rarely ","2013","(2c_voc) vocational maturity certificate","higher vocational","143","0.355578431345678","0.312439412889049","0.398717449802307"
"Rarely ","2013","(2c_voc) vocational maturity certificate","higher education","","","",""
"Rarely ","2013","(3a) lower tertiary education","in school","","","",""
"Rarely ","2013","(3a) lower tertiary education","inadequately","","","",""
"Rarely ","2013","(3a) lower tertiary education","general elemantary","","","",""
"Rarely ","2013","(3a) lower tertiary education","middle vocational","","","",""
"Rarely ","2013","(3a) lower tertiary education","vocational + Abi","","","",""
"Rarely ","2013","(3a) lower tertiary education","higher vocational","","","",""
"Rarely ","2013","(3a) lower tertiary education","higher education","570","0.287652331201301","0.268236195594546","0.307068466808056"
"Rarely ","2013","(3b) higher tertiary education","in school","","","",""
"Rarely ","2013","(3b) higher tertiary education","inadequately","","","",""
"Rarely ","2013","(3b) higher tertiary education","general elemantary","","","",""
"Rarely ","2013","(3b) higher tertiary education","middle vocational","","","",""
"Rarely ","2013","(3b) higher tertiary education","vocational + Abi","","","",""
"Rarely ","2013","(3b) higher tertiary education","higher vocational","","","",""
"Rarely ","2013","(3b) higher tertiary education","higher education","943","0.258489765253831","0.244466135991455","0.272513394516207"
"Never","2013","(0) in school","in school","268","0.617437983274595","0.572180143209249","0.662695823339941"
"Never","2013","(0) in school","inadequately","","","",""
"Never","2013","(0) in school","general elemantary","","","",""
"Never","2013","(0) in school","middle vocational","1","","",""
"Never","2013","(0) in school","vocational + Abi","","","",""
"Never","2013","(0) in school","higher vocational","","","",""
"Never","2013","(0) in school","higher education","","","",""
"Never","2013","(1a) inadequately completed","in school","","","",""
"Never","2013","(1a) inadequately completed","inadequately","79","0.349471840722861","0.292598943464531","0.406344737981191"
"Never","2013","(1a) inadequately completed","general elemantary","","","",""
"Never","2013","(1a) inadequately completed","middle vocational","45","0.465138752836115","0.358474160868243","0.571803344803988"
"Never","2013","(1a) inadequately completed","vocational + Abi","","","",""
"Never","2013","(1a) inadequately completed","higher vocational","3","","",""
"Never","2013","(1a) inadequately completed","higher education","","","",""
"Never","2013","(1b) general elementary school","in school","","","",""
"Never","2013","(1b) general elementary school","inadequately","21","","",""
"Never","2013","(1b) general elementary school","general elemantary","917","0.499063373715825","0.476395400924543","0.521731346507108"
"Never","2013","(1b) general elementary school","middle vocational","","","",""
"Never","2013","(1b) general elementary school","vocational + Abi","","","",""
"Never","2013","(1b) general elementary school","higher vocational","","","",""
"Never","2013","(1b) general elementary school","higher education","","","",""
"Never","2013","(1c) basic vocational qualification","in school","","","",""
"Never","2013","(1c) basic vocational qualification","inadequately","","","",""
"Never","2013","(1c) basic vocational qualification","general elemantary","","","",""
"Never","2013","(1c) basic vocational qualification","middle vocational","3012","0.558996368034155","0.545758562497319","0.572234173570991"
"Never","2013","(1c) basic vocational qualification","vocational + Abi","","","",""
"Never","2013","(1c) basic vocational qualification","higher vocational","256","0.630430663854811","0.584701544712013","0.676159782997609"
"Never","2013","(1c) basic vocational qualification","higher education","","","",""
"Never","2013","(2b) intermediate general qualification","in school","","","",""
"Never","2013","(2b) intermediate general qualification","inadequately","","","",""
"Never","2013","(2b) intermediate general qualification","general elemantary","394","0.52131037298182","0.484872360201769","0.557748385761872"
"Never","2013","(2b) intermediate general qualification","middle vocational","","","",""
"Never","2013","(2b) intermediate general qualification","vocational + Abi","","","",""
"Never","2013","(2b) intermediate general qualification","higher vocational","","","",""
"Never","2013","(2b) intermediate general qualification","higher education","","","",""
"Never","2013","(2a) intermediate vocational","in school","","","",""
"Never","2013","(2a) intermediate vocational","inadequately","","","",""
"Never","2013","(2a) intermediate vocational","general elemantary","","","",""
"Never","2013","(2a) intermediate vocational","middle vocational","3299","0.557803991198066","0.54495024862743","0.570657733768702"
"Never","2013","(2a) intermediate vocational","vocational + Abi","","","",""
"Never","2013","(2a) intermediate vocational","higher vocational","418","0.499353343612293","0.463593322737599","0.535113364486988"
"Never","2013","(2a) intermediate vocational","higher education","","","",""
"Never","2013","(2c_gen) general maturity certificate","in school","","","",""
"Never","2013","(2c_gen) general maturity certificate","inadequately","","","",""
"Never","2013","(2c_gen) general maturity certificate","general elemantary","","","",""
"Never","2013","(2c_gen) general maturity certificate","middle vocational","637","0.626118816853863","0.596571050188934","0.655666583518793"
"Never","2013","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Never","2013","(2c_gen) general maturity certificate","higher vocational","","","",""
"Never","2013","(2c_gen) general maturity certificate","higher education","","","",""
"Never","2013","(2c_voc) vocational maturity certificate","in school","","","",""
"Never","2013","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Never","2013","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Never","2013","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Never","2013","(2c_voc) vocational maturity certificate","vocational + Abi","1031","0.588142083934596","0.565245866053567","0.611038301815624"
"Never","2013","(2c_voc) vocational maturity certificate","higher vocational","280","0.503347260946518","0.45828865065672","0.548405871236316"
"Never","2013","(2c_voc) vocational maturity certificate","higher education","","","",""
"Never","2013","(3a) lower tertiary education","in school","","","",""
"Never","2013","(3a) lower tertiary education","inadequately","","","",""
"Never","2013","(3a) lower tertiary education","general elemantary","","","",""
"Never","2013","(3a) lower tertiary education","middle vocational","","","",""
"Never","2013","(3a) lower tertiary education","vocational + Abi","","","",""
"Never","2013","(3a) lower tertiary education","higher vocational","","","",""
"Never","2013","(3a) lower tertiary education","higher education","1306","0.591459329320523","0.570374847318225","0.612543811322821"
"Never","2013","(3b) higher tertiary education","in school","","","",""
"Never","2013","(3b) higher tertiary education","inadequately","","","",""
"Never","2013","(3b) higher tertiary education","general elemantary","","","",""
"Never","2013","(3b) higher tertiary education","middle vocational","","","",""
"Never","2013","(3b) higher tertiary education","vocational + Abi","","","",""
"Never","2013","(3b) higher tertiary education","higher vocational","","","",""
"Never","2013","(3b) higher tertiary education","higher education","2451","0.639482170503675","0.624102119877434","0.654862221129916"
"Very often","2014","(0) in school","in school","","","",""
"Very often","2014","(0) in school","inadequately","","","",""
"Very often","2014","(0) in school","general elemantary","","","",""
"Very often","2014","(0) in school","middle vocational","","","",""
"Very often","2014","(0) in school","vocational + Abi","","","",""
"Very often","2014","(0) in school","higher vocational","","","",""
"Very often","2014","(0) in school","higher education","","","",""
"Very often","2014","(1a) inadequately completed","in school","","","",""
"Very often","2014","(1a) inadequately completed","inadequately","","","",""
"Very often","2014","(1a) inadequately completed","general elemantary","","","",""
"Very often","2014","(1a) inadequately completed","middle vocational","","","",""
"Very often","2014","(1a) inadequately completed","vocational + Abi","","","",""
"Very often","2014","(1a) inadequately completed","higher vocational","","","",""
"Very often","2014","(1a) inadequately completed","higher education","","","",""
"Very often","2014","(1b) general elementary school","in school","","","",""
"Very often","2014","(1b) general elementary school","inadequately","","","",""
"Very often","2014","(1b) general elementary school","general elemantary","","","",""
"Very often","2014","(1b) general elementary school","middle vocational","","","",""
"Very often","2014","(1b) general elementary school","vocational + Abi","","","",""
"Very often","2014","(1b) general elementary school","higher vocational","","","",""
"Very often","2014","(1b) general elementary school","higher education","","","",""
"Very often","2014","(1c) basic vocational qualification","in school","","","",""
"Very often","2014","(1c) basic vocational qualification","inadequately","","","",""
"Very often","2014","(1c) basic vocational qualification","general elemantary","","","",""
"Very often","2014","(1c) basic vocational qualification","middle vocational","","","",""
"Very often","2014","(1c) basic vocational qualification","vocational + Abi","","","",""
"Very often","2014","(1c) basic vocational qualification","higher vocational","","","",""
"Very often","2014","(1c) basic vocational qualification","higher education","","","",""
"Very often","2014","(2b) intermediate general qualification","in school","","","",""
"Very often","2014","(2b) intermediate general qualification","inadequately","","","",""
"Very often","2014","(2b) intermediate general qualification","general elemantary","","","",""
"Very often","2014","(2b) intermediate general qualification","middle vocational","","","",""
"Very often","2014","(2b) intermediate general qualification","vocational + Abi","","","",""
"Very often","2014","(2b) intermediate general qualification","higher vocational","","","",""
"Very often","2014","(2b) intermediate general qualification","higher education","","","",""
"Very often","2014","(2a) intermediate vocational","in school","","","",""
"Very often","2014","(2a) intermediate vocational","inadequately","","","",""
"Very often","2014","(2a) intermediate vocational","general elemantary","","","",""
"Very often","2014","(2a) intermediate vocational","middle vocational","","","",""
"Very often","2014","(2a) intermediate vocational","vocational + Abi","","","",""
"Very often","2014","(2a) intermediate vocational","higher vocational","","","",""
"Very often","2014","(2a) intermediate vocational","higher education","","","",""
"Very often","2014","(2c_gen) general maturity certificate","in school","","","",""
"Very often","2014","(2c_gen) general maturity certificate","inadequately","","","",""
"Very often","2014","(2c_gen) general maturity certificate","general elemantary","","","",""
"Very often","2014","(2c_gen) general maturity certificate","middle vocational","","","",""
"Very often","2014","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Very often","2014","(2c_gen) general maturity certificate","higher vocational","","","",""
"Very often","2014","(2c_gen) general maturity certificate","higher education","","","",""
"Very often","2014","(2c_voc) vocational maturity certificate","in school","","","",""
"Very often","2014","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Very often","2014","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Very often","2014","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Very often","2014","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"Very often","2014","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"Very often","2014","(2c_voc) vocational maturity certificate","higher education","","","",""
"Very often","2014","(3a) lower tertiary education","in school","","","",""
"Very often","2014","(3a) lower tertiary education","inadequately","","","",""
"Very often","2014","(3a) lower tertiary education","general elemantary","","","",""
"Very often","2014","(3a) lower tertiary education","middle vocational","","","",""
"Very often","2014","(3a) lower tertiary education","vocational + Abi","","","",""
