"plj0589","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Rarely ","2017","inadequately","West Germany","265","0.213630319370053","0.192853822649329","0.234406816090776"
"Rarely ","2017","inadequately","East Germany","22","","",""
"Rarely ","2017","general elemantary","West Germany","744","0.274727160111228","0.258376363266802","0.291077956955654"
"Rarely ","2017","general elemantary","East Germany","116","0.294641341719093","0.251552412099764","0.337730271338422"
"Rarely ","2017","middle vocational","West Germany","2552","0.269406081287187","0.260551179849403","0.278260982724971"
"Rarely ","2017","middle vocational","East Germany","829","0.292848360204746","0.276288681688625","0.309408038720867"
"Rarely ","2017","vocational + Abi","West Germany","511","0.263192393355492","0.2436869662512","0.282697820459785"
"Rarely ","2017","vocational + Abi","East Germany","86","0.239366877421736","0.193468356248829","0.285265398594642"
"Rarely ","2017","higher vocational","West Germany","314","0.290847093817484","0.264530032847891","0.317164154787078"
"Rarely ","2017","higher vocational","East Germany","142","0.38804613015366","0.340171263636157","0.435920996671163"
"Rarely ","2017","higher education","West Germany","1337","0.241918905257942","0.230601171228712","0.253236639287172"
"Rarely ","2017","higher education","East Germany","376","0.23727264961672","0.215686649284114","0.258858649949325"
"Never","2017","in school","West Germany","219","0.655361697893237","0.606131806620783","0.704591589165691"
"Never","2017","in school","East Germany","43","0.429509950052049","0.314369063694674","0.544650836409424"
"Never","2017","inadequately","West Germany","585","0.359547812391295","0.335223018071059","0.38387260671153"
"Never","2017","inadequately","East Germany","50","0.408672961061559","0.33026476925011","0.487081152873008"
"Never","2017","general elemantary","West Germany","1333","0.48753880349802","0.469229471330276","0.505848135665765"
"Never","2017","general elemantary","East Germany","191","0.409662051511778","0.363180878247259","0.456143224776296"
"Never","2017","middle vocational","West Germany","5578","0.584867234129184","0.575032465211681","0.594702003046686"
"Never","2017","middle vocational","East Germany","1540","0.520687747745844","0.502508656430022","0.538866839061665"
"Never","2017","vocational + Abi","West Germany","1156","0.583381947725361","0.561545233908355","0.605218661542368"
"Never","2017","vocational + Abi","East Germany","192","0.605257977767725","0.552679744213215","0.657836211322235"
"Never","2017","higher vocational","West Germany","712","0.607546024147218","0.579250415710736","0.6358416325837"
"Never","2017","higher vocational","East Germany","211","0.502018046356691","0.452896387807046","0.551139704906337"
"Never","2017","higher education","West Germany","3490","0.661601675984308","0.649096806987372","0.674106544981245"
"Never","2017","higher education","East Germany","920","0.633018504073287","0.608562023180907","0.657474984965666"
"Very often","2018","in school","West Germany","","","",""
"Very often","2018","in school","East Germany","","","",""
"Very often","2018","inadequately","West Germany","10","","",""
"Very often","2018","inadequately","East Germany","","","",""
"Very often","2018","general elemantary","West Germany","11","","",""
"Very often","2018","general elemantary","East Germany","","","",""
"Very often","2018","middle vocational","West Germany","2","","",""
"Very often","2018","middle vocational","East Germany","","","",""
"Very often","2018","vocational + Abi","West Germany","1","","",""
"Very often","2018","vocational + Abi","East Germany","","","",""
"Very often","2018","higher vocational","West Germany","","","",""
"Very often","2018","higher vocational","East Germany","","","",""
"Very often","2018","higher education","West Germany","2","","",""
"Very often","2018","higher education","East Germany","","","",""
"Often","2018","in school","West Germany","","","",""
"Often","2018","in school","East Germany","","","",""
"Often","2018","inadequately","West Germany","16","","",""
"Often","2018","inadequately","East Germany","2","","",""
"Often","2018","general elemantary","West Germany","3","","",""
"Often","2018","general elemantary","East Germany","1","","",""
"Often","2018","middle vocational","West Germany","8","","",""
"Often","2018","middle vocational","East Germany","","","",""
"Often","2018","vocational + Abi","West Germany","","","",""
"Often","2018","vocational + Abi","East Germany","","","",""
"Often","2018","higher vocational","West Germany","","","",""
"Often","2018","higher vocational","East Germany","","","",""
"Often","2018","higher education","West Germany","5","","",""
"Often","2018","higher education","East Germany","1","","",""
"Sometimes","2018","in school","West Germany","2","","",""
"Sometimes","2018","in school","East Germany","","","",""
"Sometimes","2018","inadequately","West Germany","40","0.27141979301423","0.200255538642514","0.342584047385947"
"Sometimes","2018","inadequately","East Germany","3","","",""
"Sometimes","2018","general elemantary","West Germany","15","","",""
"Sometimes","2018","general elemantary","East Germany","2","","",""
"Sometimes","2018","middle vocational","West Germany","15","","",""
"Sometimes","2018","middle vocational","East Germany","2","","",""
"Sometimes","2018","vocational + Abi","West Germany","","","",""
"Sometimes","2018","vocational + Abi","East Germany","","","",""
"Sometimes","2018","higher vocational","West Germany","","","",""
"Sometimes","2018","higher vocational","East Germany","","","",""
"Sometimes","2018","higher education","West Germany","5","","",""
"Sometimes","2018","higher education","East Germany","2","","",""
"Rarely ","2018","in school","West Germany","3","","",""
"Rarely ","2018","in school","East Germany","","","",""
"Rarely ","2018","inadequately","West Germany","25","","",""
"Rarely ","2018","inadequately","East Germany","2","","",""
"Rarely ","2018","general elemantary","West Germany","14","","",""
"Rarely ","2018","general elemantary","East Germany","3","","",""
"Rarely ","2018","middle vocational","West Germany","12","","",""
"Rarely ","2018","middle vocational","East Germany","","","",""
"Rarely ","2018","vocational + Abi","West Germany","1","","",""
"Rarely ","2018","vocational + Abi","East Germany","","","",""
"Rarely ","2018","higher vocational","West Germany","","","",""
"Rarely ","2018","higher vocational","East Germany","","","",""
"Rarely ","2018","higher education","West Germany","10","","",""
"Rarely ","2018","higher education","East Germany","","","",""
"Never","2018","in school","West Germany","3","","",""
"Never","2018","in school","East Germany","","","",""
"Never","2018","inadequately","West Germany","59","0.398843251401466","0.320482706209614","0.477203796593318"
"Never","2018","inadequately","East Germany","6","","",""
"Never","2018","general elemantary","West Germany","38","0.416724268098314","0.309358229028822","0.524090307167806"
"Never","2018","general elemantary","East Germany","12","","",""
"Never","2018","middle vocational","West Germany","17","","",""
"Never","2018","middle vocational","East Germany","3","","",""
"Never","2018","vocational + Abi","West Germany","4","","",""
"Never","2018","vocational + Abi","East Germany","","","",""
"Never","2018","higher vocational","West Germany","","","",""
"Never","2018","higher vocational","East Germany","","","",""
"Never","2018","higher education","West Germany","17","","",""
"Never","2018","higher education","East Germany","7","","",""
"Very often","2019","in school","West Germany","","","",""
"Very often","2019","in school","East Germany","","","",""
"Very often","2019","inadequately","West Germany","5","","",""
"Very often","2019","inadequately","East Germany","","","",""
"Very often","2019","general elemantary","West Germany","1","","",""
"Very often","2019","general elemantary","East Germany","","","",""
"Very often","2019","middle vocational","West Germany","1","","",""
"Very often","2019","middle vocational","East Germany","","","",""
"Very often","2019","vocational + Abi","West Germany","","","",""
"Very often","2019","vocational + Abi","East Germany","","","",""
"Very often","2019","higher vocational","West Germany","","","",""
"Very often","2019","higher vocational","East Germany","","","",""
"Very often","2019","higher education","West Germany","","","",""
"Very often","2019","higher education","East Germany","","","",""
"Often","2019","in school","West Germany","","","",""
"Often","2019","in school","East Germany","","","",""
"Often","2019","inadequately","West Germany","9","","",""
"Often","2019","inadequately","East Germany","4","","",""
"Often","2019","general elemantary","West Germany","4","","",""
"Often","2019","general elemantary","East Germany","","","",""
"Often","2019","middle vocational","West Germany","1","","",""
"Often","2019","middle vocational","East Germany","","","",""
"Often","2019","vocational + Abi","West Germany","","","",""
"Often","2019","vocational + Abi","East Germany","","","",""
"Often","2019","higher vocational","West Germany","","","",""
"Often","2019","higher vocational","East Germany","","","",""
"Often","2019","higher education","West Germany","1","","",""
"Often","2019","higher education","East Germany","","","",""
"Sometimes","2019","in school","West Germany","","","",""
"Sometimes","2019","in school","East Germany","","","",""
"Sometimes","2019","inadequately","West Germany","30","0.242820444808928","0.166419721445442","0.319221168172414"
"Sometimes","2019","inadequately","East Germany","4","","",""
