"plj0589","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Very often","2017","Not Working","Female","197","0.0210106641694523","0.0174490424040981","0.0245722859348066","1"
"Very often","2017","Full Time","Male","31","0.0031860006081257","0.00183235123301803","0.00453964998323337","1"
"Very often","2017","Full Time","Female","20","","","","1"
"Very often","2017","Part Time","Female","52","0.00821726128675562","0.00585050871762685","0.0105840138558844","1"
"Very often","2017","Not Working","Male","175","0.0228697607034373","0.0188078701704465","0.0269316512364282","1"
"Never","2018","Full Time","Male","","","","","5"
"Never","2018","Full Time","Female","","","","","5"
"Never","2018","Part Time","Male","","","","","5"
"Never","2018","Not Working","Male","85","0.452899074791992","0.38285334452678","0.522944805057204","5"
"Never","2018","Not Working","Female","106","0.472787193510421","0.407982494897439","0.537591892123403","5"
"Never","2018","Part Time","Female","","","","","5"
"Often","2018","Part Time","Male","","","","","2"
"Often","2018","Part Time","Female","","","","","2"
"Often","2018","Not Working","Female","21","","","","2"
"Often","2018","Full Time","Male","","","","","2"
"Often","2018","Full Time","Female","","","","","2"
"Often","2018","Not Working","Male","19","","","","2"
"Rarely ","2018","Full Time","Male","","","","","4"
"Rarely ","2018","Full Time","Female","","","","","4"
"Rarely ","2018","Not Working","Female","36","0.161809034102019","0.114006211829219","0.20961185637482","4"
"Rarely ","2018","Part Time","Male","","","","","4"
"Rarely ","2018","Part Time","Female","","","","","4"
"Rarely ","2018","Not Working","Male","35","0.16777489240105","0.115193616821852","0.220356167980249","4"
"Sometimes","2018","Full Time","Male","","","","","3"
"Sometimes","2018","Full Time","Female","","","","","3"
"Sometimes","2018","Part Time","Male","","","","","3"
"Sometimes","2018","Not Working","Female","50","0.234092734273827","0.179130708755683","0.289054759791971","3"
"Sometimes","2018","Part Time","Female","","","","","3"
"Sometimes","2018","Not Working","Male","43","0.228435639934137","0.169359074776369","0.287512205091906","3"
"Very often","2018","Part Time","Male","","","","","1"
"Very often","2018","Full Time","Female","","","","","1"
"Very often","2018","Not Working","Female","15","","","","1"
"Very often","2018","Part Time","Female","","","","","1"
"Very often","2018","Full Time","Male","","","","","1"
"Very often","2018","Not Working","Male","12","","","","1"
"Never","2019","Full Time","Male","","","","","5"
"Never","2019","Full Time","Female","","","","","5"
"Never","2019","Part Time","Male","","","","","5"
"Never","2019","Part Time","Female","","","","","5"
"Never","2019","Not Working","Male","67","0.532912310213315","0.4484383647679","0.61738625565873","5"
"Never","2019","Not Working","Female","67","0.488931615232802","0.406713505641719","0.571149724823885","5"
"Often","2019","Full Time","Male","","","","","2"
"Often","2019","Full Time","Female","","","","","2"
"Often","2019","Part Time","Male","","","","","2"
"Often","2019","Part Time","Female","","","","","2"
"Often","2019","Not Working","Female","13","","","","2"
"Often","2019","Not Working","Male","8","","","","2"
"Rarely ","2019","Full Time","Male","","","","","4"
"Rarely ","2019","Full Time","Female","","","","","4"
"Rarely ","2019","Part Time","Male","","","","","4"
"Rarely ","2019","Part Time","Female","","","","","4"
"Rarely ","2019","Not Working","Female","27","","","","4"
"Rarely ","2019","Not Working","Male","25","","","","4"
"Sometimes","2019","Part Time","Male","","","","","3"
"Sometimes","2019","Not Working","Female","32","0.209223137716496","0.142321653755309","0.276124621677683","3"
"Sometimes","2019","Full Time","Female","","","","","3"
"Sometimes","2019","Full Time","Male","","","","","3"
"Sometimes","2019","Part Time","Female","","","","","3"
"Sometimes","2019","Not Working","Male","29","","","","3"
"Very often","2019","Not Working","Female","3","","","","1"
"Very often","2019","Part Time","Female","","","","","1"
"Very often","2019","Full Time","Male","","","","","1"
"Very often","2019","Full Time","Female","","","","","1"
"Very often","2019","Part Time","Male","","","","","1"
"Very often","2019","Not Working","Male","5","","","","1"
