"plj0014_v3","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2008","West Germany","13523","0.895271049198834","0.890310296956899","0.900231801440768"
"Yes","2008","East Germany","4776","0.992403327159107","0.989945736188051","0.994860918130163"
"No","2009","West Germany","972","0.106253267707983","0.101067075704351","0.111439459711615"
"No","2009","East Germany","17","","",""
"Yes","2009","West Germany","12591","0.893746732292017","0.888560540288385","0.898932924295649"
"Yes","2009","East Germany","4546","0.992571442462904","0.990079970580455","0.995062914345353"
"No","2010","West Germany","1610","0.105900978173086","0.101476439129144","0.110325517217028"
"No","2010","East Germany","46","0.00773866202867483","0.00542090266533943","0.0100564213920102"
"Yes","2010","West Germany","16970","0.894099021826914","0.889674482782972","0.898523560870856"
"Yes","2010","East Germany","5445","0.992261337971325","0.98994357860799","0.994579097334661"
"No","2011","West Germany","1084","0.0876783959128145","0.0834397003946473","0.0919170914309817"
"No","2011","East Germany","20","","",""
"Yes","2011","West Germany","16019","0.912321604087186","0.908082908569018","0.916560299605353"
"Yes","2011","East Germany","5133","0.994147841530517","0.992065262238761","0.996230420822274"
"No","2012","West Germany","1530","0.0986904449762634","0.0947069866523909","0.102673903300136"
"No","2012","East Germany","54","0.00807363159132961","0.00584752262638794","0.0102997405562713"
"Yes","2012","West Germany","20004","0.901309555023736","0.897326096699864","0.905293013347609"
"Yes","2012","East Germany","6154","0.99192636840867","0.989700259443729","0.994152477373612"
"No","2013","West Germany","1349","0.061218064791992","0.0578980454177683","0.0645380841662156"
"No","2013","East Germany","51","0.00560992125935853","0.00368243079035124","0.00753741172836583"
"Yes","2013","West Germany","18680","0.938781935208008","0.935461915833784","0.942101954582232"
"Yes","2013","East Germany","5717","0.994390078740641","0.992462588271634","0.996317569209649"
"No","2014","West Germany","2935","0.109117038253916","0.1049586206745","0.113275455833332"
"No","2014","East Germany","173","0.0176657900529351","0.0142213808437305","0.0211101992621396"
"Yes","2014","West Germany","18660","0.890882961746084","0.886724544166668","0.8950413793255"
"Yes","2014","East Germany","5446","0.982334209947065","0.97888980073786","0.98577861915627"
"No","2015","West Germany","3748","0.113096491314072","0.108863757810381","0.117329224817764"
"No","2015","East Germany","268","0.0267098007166135","0.0224299692606092","0.0309896321726178"
"Yes","2015","West Germany","17759","0.886903508685928","0.882670775182236","0.89113624218962"
"Yes","2015","East Germany","5184","0.973290199283386","0.969010367827382","0.977570030739391"
"No","2016","West Germany","2946","0.122239286157411","0.117624927789825","0.126853644524996"
"No","2016","East Germany","211","0.0306234065152947","0.0258822021657664","0.0353646108648229"
"Yes","2016","West Germany","16412","0.877760713842589","0.873146355475004","0.882375072210175"
"Yes","2016","East Germany","4862","0.969376593484705","0.964635389135177","0.974117797834234"
"No","2017","West Germany","4828","0.132691979775294","0.128330447934772","0.137053511615816"
"No","2017","East Germany","684","0.0377316515723449","0.0329538457644474","0.0425094573802423"
"Yes","2017","West Germany","18412","0.867308020224706","0.862946488384184","0.871669552065227"
"Yes","2017","East Germany","5426","0.962268348427655","0.957490542619758","0.967046154235553"
"No","2018","West Germany","5835","0.142011531043613","0.137558761470192","0.146464300617035"
"No","2018","East Germany","770","0.042654033671946","0.0375738167968993","0.0477342505469927"
"Yes","2018","West Germany","17772","0.857988468956387","0.853535699382965","0.862441238529808"
"Yes","2018","East Germany","5308","0.957345966328054","0.952265749453007","0.962426183203101"
"No","2019","West Germany","5166","0.14457725603312","0.140062773008433","0.149091739057808"
"No","2019","East Germany","648","0.0417112357689009","0.0366775453121461","0.0467449262256557"
"Yes","2019","West Germany","18145","0.85542274396688","0.850908260942192","0.859937226991567"
"Yes","2019","East Germany","5412","0.958288764231099","0.953255073774344","0.963322454687854"
