"plj0014_v3","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Yes","1997","16-34 y.","higher vocational","206","0.975957307653401","0.955481746126844","0.996432869179959","1"
"Yes","1997","16-34 y.","higher education","373","0.905742529094648","0.877356074205341","0.934128983983955","1"
"Yes","1997","35-65 y.","in school","","","","","1"
"Yes","1997","35-65 y.","inadequately","38","0.256867263961346","0.209440131471141","0.304294396451551","1"
"Yes","1997","35-65 y.","general elemantary","670","0.841693635942154","0.819023995566229","0.864363276318079","1"
"Yes","1997","35-65 y.","middle vocational","3175","0.947910427924611","0.940492433635994","0.955328422213228","1"
"Yes","1997","35-65 y.","vocational + Abi","129","0.801683407492321","0.741745082287773","0.861621732696868","1"
"Yes","1997","35-65 y.","higher vocational","460","0.990995820098901","0.982419260186472","0.999572380011331","1"
"Yes","1997","35-65 y.","higher education","1155","0.938563130170065","0.924982407756227","0.952143852583902","1"
"Yes","1997","66 and older","in school","","","","","1"
"Yes","1997","66 and older","inadequately","13","","","","1"
"Yes","1997","66 and older","general elemantary","464","0.979104580465367","0.966282035476633","0.991927125454102","1"
"Yes","1997","66 and older","middle vocational","783","0.989842283698495","0.98291980527763","0.99676476211936","1"
"Yes","1997","66 and older","vocational + Abi","21","","","","1"
"Yes","1997","66 and older","higher vocational","81","0.975004109797698","0.941214848902381","1.00879337069302","1"
"Yes","1997","66 and older","higher education","162","0.96033495338243","0.930734033459083","0.989935873305776","1"
"No","1998","66 and older","higher education","3","","","","2"
"No","1998","16-34 y.","in school","55","0.147877278058703","0.109693328630941","0.186061227486465","2"
"No","1998","16-34 y.","inadequately","50","0.351389144296012","0.252205659186511","0.450572629405513","2"
"No","1998","16-34 y.","general elemantary","267","0.205498001996385","0.179288184254544","0.231707819738226","2"
"No","1998","16-34 y.","middle vocational","301","0.0941171539017509","0.0822124518883301","0.106021855915172","2"
"No","1998","16-34 y.","higher vocational","12","","","","2"
"No","1998","16-34 y.","higher education","36","0.0971776918496022","0.0696264590414875","0.124728924657717","2"
"No","1998","35-65 y.","in school","1","","","","2"
"No","1998","35-65 y.","inadequately","258","0.712809699213406","0.662362096202042","0.76325730222477","2"
"No","1998","35-65 y.","middle vocational","241","0.0471250742008321","0.0404392542827988","0.0538108941188653","2"
"No","1998","35-65 y.","vocational + Abi","44","0.225315789124543","0.167414096628447","0.28321748162064","2"
"No","1998","35-65 y.","higher vocational","8","","","","2"
"No","1998","35-65 y.","higher education","50","0.0579702729278217","0.045495342813585","0.0704452030420584","2"
"No","1998","66 and older","inadequately","29","","","","2"
"No","1998","66 and older","general elemantary","14","","","","2"
"No","1998","66 and older","middle vocational","23","","","","2"
"No","1998","66 and older","vocational + Abi","5","","","","2"
"No","1998","66 and older","higher vocational","1","","","","2"
"No","1998","16-34 y.","vocational + Abi","41","0.128143605444177","0.0890625864243362","0.167224624464018","2"
"No","1998","35-65 y.","general elemantary","316","0.165428528411564","0.143237511208496","0.187619545614631","2"
"No","1998","66 and older","in school","","","","","2"
"Yes","1998","16-34 y.","in school","277","0.852122721941297","0.813938772513535","0.890306671369059","1"
"Yes","1998","16-34 y.","inadequately","39","0.648610855703988","0.549427370594486","0.747794340813489","1"
"Yes","1998","16-34 y.","general elemantary","646","0.794501998003615","0.768292180261774","0.820711815745456","1"
"Yes","1998","16-34 y.","middle vocational","2010","0.905882846098249","0.893978144084828","0.91778754811167","1"
"Yes","1998","16-34 y.","vocational + Abi","240","0.871856394555823","0.832775375535982","0.910937413575664","1"
"Yes","1998","16-34 y.","higher vocational","232","0.956680260868114","0.931136814020774","0.982223707715454","1"
"Yes","1998","16-34 y.","higher education","408","0.902822308150398","0.875271075342283","0.930373540958513","1"
"Yes","1998","35-65 y.","in school","1","","","","1"
"Yes","1998","35-65 y.","inadequately","51","0.287190300786594","0.23674269777523","0.337637903797958","1"
"Yes","1998","35-65 y.","general elemantary","761","0.834571471588436","0.812380454385369","0.856762488791504","1"
"Yes","1998","35-65 y.","middle vocational","3618","0.952874925799168","0.946189105881135","0.959560745717201","1"
"Yes","1998","35-65 y.","vocational + Abi","156","0.774684210875457","0.71678251837936","0.832585903371553","1"
"Yes","1998","35-65 y.","higher vocational","494","0.982197474354908","0.970630055836207","0.993764892873609","1"
"Yes","1998","35-65 y.","higher education","1298","0.942029727072178","0.929554796957942","0.954504657186415","1"
"Yes","1998","66 and older","in school","","","","","1"
"Yes","1998","66 and older","inadequately","21","","","","1"
"Yes","1998","66 and older","general elemantary","557","0.979464332402441","0.967831679688274","0.991096985116609","1"
"Yes","1998","66 and older","middle vocational","865","0.98714985439661","0.979742089758552","0.994557619034668","1"
"Yes","1998","66 and older","vocational + Abi","26","","","","1"
"Yes","1998","66 and older","higher vocational","81","0.976165091662415","0.943150225249658","1.00917995807517","1"
"Yes","1998","66 and older","higher education","184","0.984781518921541","0.967235326533018","1.00232771131006","1"
"No","1999","66 and older","higher education","4","","","","2"
"No","1999","66 and older","inadequately","37","0.433439597031828","0.30590691432653","0.560972279737127","2"
"No","1999","66 and older","general elemantary","14","","","","2"
"No","1999","66 and older","middle vocational","25","","","","2"
"No","1999","66 and older","vocational + Abi","5","","","","2"
"No","1999","66 and older","higher vocational","1","","","","2"
"No","1999","16-34 y.","in school","43","0.110521108856974","0.0761143955080478","0.1449278222059","2"
"No","1999","16-34 y.","inadequately","42","0.303227463878803","0.204340549914213","0.402114377843394","2"
"No","1999","16-34 y.","general elemantary","241","0.19042069277137","0.164567272860412","0.216274112682327","2"
"No","1999","16-34 y.","middle vocational","287","0.097300981143802","0.0849893497040836","0.10961261258352","2"
"No","1999","16-34 y.","higher vocational","11","","","","2"
"No","1999","16-34 y.","higher education","33","0.0815235659671787","0.0552598812355272","0.10778725069883","2"
"No","1999","35-65 y.","in school","1","","","","2"
"No","1999","35-65 y.","inadequately","232","0.716951528305351","0.664834163652909","0.769068892957792","2"
"No","1999","35-65 y.","middle vocational","232","0.0490652380577144","0.0422483590072567","0.0558821171081721","2"
"No","1999","35-65 y.","vocational + Abi","41","0.22935333285739","0.173025715076492","0.285680950638288","2"
"No","1999","35-65 y.","higher vocational","8","","","","2"
"No","1999","35-65 y.","higher education","44","0.0598415513493028","0.0472075561565951","0.0724755465420104","2"
"No","1999","66 and older","in school","","","","","2"
"No","1999","16-34 y.","vocational + Abi","32","0.089246224521355","0.054855482678624","0.123636966364086","2"
"No","1999","35-65 y.","general elemantary","289","0.171580146554839","0.148328903793825","0.194831389315853","2"
"Yes","1999","66 and older","general elemantary","551","0.99047965135371","0.982472591544769","0.998486711162651","1"
"Yes","1999","66 and older","middle vocational","860","0.982479970236698","0.973836149966434","0.991123790506961","1"
"Yes","1999","66 and older","vocational + Abi","27","","","","1"
"Yes","1999","66 and older","higher vocational","84","0.976512700581713","0.944317278849627","1.0087081223138","1"
"Yes","1999","66 and older","higher education","196","0.960913397006784","0.93405443770278","0.987772356310788","1"
"Yes","1999","16-34 y.","in school","276","0.889478891143026","0.8550721777941","0.923885604491952","1"
"Yes","1999","16-34 y.","inadequately","41","0.696772536121197","0.597885622156606","0.795659450085787","1"
"Yes","1999","16-34 y.","general elemantary","645","0.80957930722863","0.783725887317673","0.835432727139588","1"
"Yes","1999","16-34 y.","middle vocational","1939","0.902699018856198","0.89038738741648","0.915010650295916","1"
"Yes","1999","16-34 y.","vocational + Abi","232","0.910753775478645","0.876363033635914","0.945144517321376","1"
"Yes","1999","16-34 y.","higher vocational","213","0.974873950844186","0.954378361191297","0.995369540497075","1"
"Yes","1999","16-34 y.","higher education","384","0.918476434032821","0.89221274930117","0.944740118764473","1"
"Yes","1999","35-65 y.","in school","1","","","","1"
"Yes","1999","35-65 y.","inadequately","55","0.283048471694649","0.230931107042208","0.335165836347091","1"
"Yes","1999","35-65 y.","general elemantary","721","0.828419853445161","0.805168610684147","0.851671096206175","1"
"Yes","1999","35-65 y.","middle vocational","3625","0.950934761942286","0.944117882891828","0.957751640992743","1"
"Yes","1999","35-65 y.","vocational + Abi","173","0.77064666714261","0.714319049361712","0.826974284923508","1"
"Yes","1999","35-65 y.","higher vocational","506","0.979262533664137","0.966943009096738","0.991582058231537","1"
"Yes","1999","35-65 y.","higher education","1310","0.940158448650697","0.92752445345799","0.952792443843405","1"
"Yes","1999","66 and older","in school","","","","","1"
"Yes","1999","66 and older","inadequately","21","","","","1"
"No","2000","66 and older","higher education","11","","","","2"
"No","2000","66 and older","inadequately","28","","","","2"
"No","2000","66 and older","general elemantary","37","0.0205725104471524","0.0114298542649914","0.0297151666293135","2"
"No","2000","66 and older","middle vocational","25","","","","2"
"No","2000","66 and older","vocational + Abi","13","","","","2"
"No","2000","66 and older","higher vocational","2","","","","2"
"No","2000","16-34 y.","in school","48","0.0867798658637904","0.0618286974431681","0.111731034284413","2"
"No","2000","16-34 y.","inadequately","45","0.411421699577772","0.315452223390566","0.507391175764977","2"
"No","2000","16-34 y.","general elemantary","324","0.228716236368368","0.205571170517258","0.251861302219479","2"
"No","2000","16-34 y.","middle vocational","408","0.104116113976561","0.0941061117608464","0.114126116192275","2"
"No","2000","16-34 y.","higher vocational","37","0.079866440632045","0.0540328063205261","0.105700074943564","2"
"No","2000","16-34 y.","higher education","68","0.0836494326421609","0.0639788108162572","0.103320054468065","2"
"No","2000","35-65 y.","in school","5","","","","2"
"No","2000","35-65 y.","inadequately","177","0.676093854449926","0.61713439458859","0.735053314311263","2"
"No","2000","35-65 y.","middle vocational","380","0.0469105468505143","0.0421007006556623","0.0517203930453662","2"
"No","2000","35-65 y.","vocational + Abi","79","0.156293294483267","0.12474650823965","0.187840080726884","2"
"No","2000","35-65 y.","higher vocational","52","0.0542480705201551","0.0415742785103654","0.0669218625299448","2"
"No","2000","35-65 y.","higher education","130","0.0763774921640173","0.0662784016448763","0.0864765826831584","2"
"No","2000","66 and older","in school","2","","","","2"
"No","2000","16-34 y.","vocational + Abi","64","0.114428846095877","0.0870944980815984","0.141763194110155","2"
"No","2000","35-65 y.","general elemantary","376","0.20273663371442","0.181586146405116","0.223887121023724","2"
"Yes","2000","66 and older","general elemantary","889","0.979427489552848","0.970284833370686","0.988570145735009","1"
"Yes","2000","66 and older","middle vocational","1853","0.988921107796618","0.984187096512705","0.993655119080532","1"
"Yes","2000","66 and older","vocational + Abi","87","0.874080698792144","0.809057248765218","0.939104148819069","1"
"Yes","2000","66 and older","higher vocational","242","0.984105849566668","0.968413327642732","0.999798371490605","1"
"Yes","2000","66 and older","higher education","409","0.962796024627688","0.944695745838446","0.98089630341693","1"
"Yes","2000","16-34 y.","in school","441","0.91322013413621","0.888268965715587","0.938171302556832","1"
"Yes","2000","16-34 y.","inadequately","56","0.588578300422228","0.492608824235023","0.684547776609434","1"
"Yes","2000","16-34 y.","general elemantary","941","0.771283763631632","0.748138697780522","0.794428829482742","1"
"Yes","2000","16-34 y.","middle vocational","3168","0.89588388602344","0.885873883807725","0.905893888239154","1"
"Yes","2000","16-34 y.","vocational + Abi","457","0.885571153904123","0.858236805889845","0.912905501918402","1"
"Yes","2000","16-34 y.","higher vocational","386","0.920133559367955","0.894299925056436","0.945967193679474","1"
"Yes","2000","16-34 y.","higher education","693","0.916350567357839","0.896679945531935","0.936021189183743","1"
"Yes","2000","35-65 y.","in school","2","","","","1"
"Yes","2000","35-65 y.","inadequately","65","0.323906145550074","0.264946685688737","0.38286560541141","1"
"Yes","2000","35-65 y.","general elemantary","1012","0.79726336628558","0.776112878976276","0.818413853594884","1"
"Yes","2000","35-65 y.","middle vocational","7044","0.953089453149486","0.948279606954634","0.957899299344338","1"
"Yes","2000","35-65 y.","vocational + Abi","430","0.843706705516733","0.812159919273116","0.87525349176035","1"
"Yes","2000","35-65 y.","higher vocational","1175","0.945751929479845","0.933078137470055","0.958425721489635","1"
"Yes","2000","35-65 y.","higher education","2527","0.923622507835983","0.913523417316842","0.933721598355124","1"
"Yes","2000","66 and older","in school","","","","","1"
"Yes","2000","66 and older","inadequately","35","0.659415155229918","0.542392502715826","0.776437807744011","1"
"No","2001","66 and older","higher education","9","","","","2"
"No","2001","66 and older","inadequately","26","","","","2"
"No","2001","66 and older","general elemantary","45","0.0293632660955914","0.0178082193473569","0.0409183128438259","2"
"No","2001","66 and older","middle vocational","26","","","","2"
"No","2001","66 and older","vocational + Abi","11","","","","2"
"No","2001","66 and older","higher vocational","2","","","","2"
"No","2001","16-34 y.","in school","53","0.0999702223697104","0.0749015973276821","0.125038847411739","2"
"No","2001","16-34 y.","inadequately","32","0.369540415684147","0.258815270576109","0.480265560792184","2"
"No","2001","16-34 y.","general elemantary","285","0.229235099437054","0.204845380743463","0.253624818130644","2"
"No","2001","16-34 y.","middle vocational","320","0.0981374532685748","0.0875828140204414","0.108692092516708","2"
"No","2001","16-34 y.","higher vocational","30","0.0695341841571872","0.0419227678596676","0.0971456004547067","2"
"No","2001","16-34 y.","higher education","62","0.106394424522","0.0823930655789278","0.130395783465073","2"
"No","2001","35-65 y.","in school","","","","","2"
"No","2001","35-65 y.","inadequately","124","0.611456064147839","0.540836465992739","0.682075662302939","2"
"No","2001","35-65 y.","middle vocational","369","0.0495652953639595","0.0444080721270953","0.0547225186008237","2"
"No","2001","35-65 y.","vocational + Abi","79","0.14788420569804","0.117431699263227","0.178336712132852","2"
"No","2001","35-65 y.","higher vocational","43","0.0503745573060555","0.0375825115225348","0.0631666030895763","2"
"No","2001","35-65 y.","higher education","116","0.0748160592980428","0.0645214654311656","0.0851106531649201","2"
"No","2001","66 and older","in school","","","","","2"
"No","2001","16-34 y.","vocational + Abi","44","0.0935249268676723","0.0667417686863468","0.120308085048998","2"
"No","2001","35-65 y.","general elemantary","344","0.225345855632685","0.201312705849456","0.249379005415914","2"
"Yes","2001","66 and older","general elemantary","775","0.970636733904409","0.959081687156174","0.982191780652643","1"
"Yes","2001","66 and older","middle vocational","1772","0.987871391127773","0.982811875437969","0.992930906817577","1"
"Yes","2001","66 and older","vocational + Abi","92","0.92992269028745","0.88062329281836","0.979222087756541","1"
"Yes","2001","66 and older","higher vocational","231","0.982480819035397","0.965635118730751","0.999326519340042","1"
"Yes","2001","66 and older","higher education","416","0.9648654122401","0.94736072214663","0.98237010233357","1"
"Yes","2001","16-34 y.","in school","497","0.90002977763029","0.874961152588261","0.925098402672318","1"
"Yes","2001","16-34 y.","inadequately","41","0.630459584315853","0.519734439207816","0.741184729423891","1"
"Yes","2001","16-34 y.","general elemantary","856","0.770764900562946","0.746375181869356","0.795154619256537","1"
"Yes","2001","16-34 y.","middle vocational","2732","0.901862546731425","0.891307907483292","0.912417185979559","1"
"Yes","2001","16-34 y.","vocational + Abi","410","0.906475073132328","0.879691914951002","0.933258231313653","1"
"Yes","2001","16-34 y.","higher vocational","296","0.930465815842813","0.902854399545293","0.958077232140332","1"
"Yes","2001","16-34 y.","higher education","572","0.893605575478","0.869604216534927","0.917606934421072","1"
"Yes","2001","35-65 y.","in school","1","","","","1"
"Yes","2001","35-65 y.","inadequately","59","0.388543935852161","0.317924337697061","0.459163534007261","1"
"Yes","2001","35-65 y.","general elemantary","817","0.774654144367315","0.750620994584086","0.798687294150544","1"
"Yes","2001","35-65 y.","middle vocational","6435","0.950434704636041","0.945277481399176","0.955591927872905","1"
"Yes","2001","35-65 y.","vocational + Abi","443","0.85211579430196","0.821663287867148","0.882568300736773","1"
"Yes","2001","35-65 y.","higher vocational","1080","0.949625442693944","0.936833396910424","0.962417488477465","1"
"Yes","2001","35-65 y.","higher education","2393","0.925183940701957","0.91488934683508","0.935478534568834","1"
"Yes","2001","66 and older","in school","","","","","1"
"Yes","2001","66 and older","inadequately","30","0.62746838457001","0.50083985331408","0.75409691582594","1"
"No","2002","66 and older","higher education","15","","","","2"
"No","2002","66 and older","inadequately","29","","","","2"
"No","2002","66 and older","general elemantary","47","0.0334030927243036","0.020982677730796","0.0458235077178112","2"
"No","2002","66 and older","middle vocational","28","","","","2"
"No","2002","66 and older","vocational + Abi","10","","","","2"
"No","2002","66 and older","higher vocational","2","","","","2"
"No","2002","35-65 y.","middle vocational","355","0.0486778328158665","0.0435855154887213","0.0537701501430118","2"
"No","2002","35-65 y.","vocational + Abi","79","0.144023846006369","0.116341563999077","0.171706128013662","2"
"No","2002","35-65 y.","higher vocational","43","0.055971305917241","0.0429493466270126","0.0689932652074694","2"
"No","2002","35-65 y.","higher education","141","0.0726937863866973","0.0639641403638312","0.0814234324095634","2"
"No","2002","66 and older","in school","","","","","2"
"No","2002","16-34 y.","in school","48","0.116627392053949","0.0913007416680031","0.141954042439894","2"
"No","2002","16-34 y.","inadequately","29","","","","2"
"No","2002","16-34 y.","general elemantary","221","0.198400204902358","0.174221123202104","0.222579286602613","2"
"No","2002","16-34 y.","middle vocational","278","0.0985801374701059","0.0877586469608705","0.109401627979341","2"
"No","2002","16-34 y.","higher vocational","29","","","","2"
"No","2002","16-34 y.","higher education","52","0.0874684870610051","0.0653898372518169","0.109547136870193","2"
"No","2002","35-65 y.","in school","","","","","2"
"No","2002","35-65 y.","inadequately","103","0.588037304413138","0.512709111049613","0.663365497776662","2"
"No","2002","35-65 y.","general elemantary","323","0.236780750367574","0.211368582655237","0.262192918079912","2"
"No","2002","16-34 y.","vocational + Abi","39","0.100471329974165","0.0730286697285868","0.127913990219742","2"
"Yes","2002","66 and older","general elemantary","757","0.966596907275696","0.954176492282189","0.979017322269204","1"
"Yes","2002","66 and older","middle vocational","1851","0.987397026973292","0.982353119490653","0.992440934455932","1"
"Yes","2002","66 and older","vocational + Abi","91","0.913634930934517","0.858852308976049","0.968417552892986","1"
"Yes","2002","66 and older","higher vocational","242","0.982449417487719","0.965973331671212","0.998925503304227","1"
"Yes","2002","66 and older","higher education","532","0.939784501759504","0.919849204803936","0.959719798715071","1"
"Yes","2002","35-65 y.","vocational + Abi","539","0.855976153993631","0.828293871986338","0.883658436000923","1"
"Yes","2002","35-65 y.","higher vocational","1154","0.944028694082759","0.931006734792531","0.957050653372987","1"
"Yes","2002","35-65 y.","higher education","3257","0.927306213613303","0.918576567590437","0.936035859636169","1"
"Yes","2002","66 and older","in school","","","","","1"
"Yes","2002","66 and older","inadequately","28","","","","1"
"Yes","2002","16-34 y.","in school","569","0.883372607946051","0.858045957560106","0.908699258331997","1"
"Yes","2002","16-34 y.","inadequately","35","0.625739088481398","0.507178053421595","0.744300123541201","1"
"Yes","2002","16-34 y.","general elemantary","824","0.801599795097642","0.777420713397387","0.825778876797896","1"
"Yes","2002","16-34 y.","middle vocational","2637","0.901419862529894","0.890598372020659","0.912241353039129","1"
"Yes","2002","16-34 y.","vocational + Abi","422","0.899528670025835","0.872086009780258","0.926971330271413","1"
"Yes","2002","16-34 y.","higher vocational","280","0.941198184415613","0.914967793709284","0.967428575121941","1"
"Yes","2002","16-34 y.","higher education","577","0.912531512938995","0.890452863129807","0.934610162748183","1"
"Yes","2002","35-65 y.","in school","","","","","1"
"Yes","2002","35-65 y.","inadequately","61","0.411962695586862","0.336634502223338","0.487290888950387","1"
"Yes","2002","35-65 y.","general elemantary","752","0.763219249632425","0.737807081920088","0.788631417344763","1"
"Yes","2002","35-65 y.","middle vocational","6505","0.951322167184133","0.946229849856988","0.956414484511279","1"
"No","2003","66 and older","higher education","16","","","","2"
"No","2003","66 and older","inadequately","21","","","","2"
"No","2003","66 and older","general elemantary","57","0.0423644160941982","0.0283895583591051","0.0563392738292913","2"
"No","2003","66 and older","middle vocational","35","0.0156680527354138","0.0101088138399364","0.0212272916308911","2"
"No","2003","66 and older","vocational + Abi","8","","","","2"
"No","2003","66 and older","higher vocational","4","","","","2"
"No","2003","35-65 y.","middle vocational","328","0.052150230060871","0.0467593906490759","0.0575410694726661","2"
"No","2003","35-65 y.","vocational + Abi","76","0.148036272636044","0.119968680536734","0.176103864735354","2"
"No","2003","35-65 y.","higher vocational","37","0.0539735144907196","0.0410256794754514","0.0669213495059878","2"
"No","2003","35-65 y.","higher education","123","0.0684064333886241","0.0596925390691939","0.0771203277080544","2"
"No","2003","66 and older","in school","","","","","2"
"No","2003","16-34 y.","in school","35","0.103655245704134","0.0796234049897282","0.127687086418539","2"
"No","2003","16-34 y.","inadequately","23","","","","2"
"No","2003","16-34 y.","general elemantary","193","0.179823159558876","0.155827808687447","0.203818510430306","2"
"No","2003","16-34 y.","middle vocational","250","0.105107852817242","0.0935948636522458","0.116620841982239","2"
"No","2003","16-34 y.","higher vocational","26","","","","2"
"No","2003","16-34 y.","higher education","50","0.109606893987343","0.0838703809500055","0.13534340702468","2"
"No","2003","35-65 y.","in school","","","","","2"
"No","2003","35-65 y.","inadequately","96","0.570894969865797","0.492468568687557","0.649321371044038","2"
"No","2003","35-65 y.","general elemantary","294","0.243170169074699","0.216379457736477","0.269960880412921","2"
"No","2003","16-34 y.","vocational + Abi","32","0.0813681167690476","0.0560514238653941","0.106684809672701","2"
"Yes","2003","66 and older","general elemantary","741","0.957635583905802","0.943660726170709","0.971610441640895","1"
"Yes","2003","66 and older","middle vocational","1882","0.984331947264586","0.978772708369109","0.989891186160064","1"
"Yes","2003","66 and older","vocational + Abi","93","0.937201216026182","0.889888329708667","0.984514102343697","1"
"Yes","2003","66 and older","higher vocational","246","0.976104517684481","0.957173055924821","0.995035979444141","1"
"Yes","2003","66 and older","higher education","563","0.944194238359873","0.925496933811786","0.96289154290796","1"
"Yes","2003","35-65 y.","vocational + Abi","539","0.851963727363956","0.823896135264646","0.880031319463266","1"
"Yes","2003","35-65 y.","higher vocational","1133","0.94602648550928","0.933078650494012","0.958974320524549","1"
"Yes","2003","35-65 y.","higher education","3101","0.931593566611376","0.922879672291946","0.940307460930806","1"
"Yes","2003","66 and older","in school","","","","","1"
"Yes","2003","66 and older","inadequately","33","0.633376761632443","0.504850383795125","0.761903139469761","1"
"Yes","2003","16-34 y.","in school","583","0.896344754295866","0.872312913581461","0.920376595010272","1"
"Yes","2003","16-34 y.","inadequately","41","0.720891556947898","0.610996145171784","0.830786968724013","1"
"Yes","2003","16-34 y.","general elemantary","791","0.820176840441124","0.796181489569694","0.844172191312553","1"
"Yes","2003","16-34 y.","middle vocational","2476","0.894892147182757","0.883379158017761","0.906405136347754","1"
