"plj0014_v3","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"No","2000","indirect migration background","Female","234","0.506906086566987","0.45909242318519","0.554719749948784"
"No","2000","indirect migration background","Male","231","0.477713891589351","0.429422985668388","0.526004797510314"
"No","2000","no migration background","Female","5","","",""
"No","2000","no migration background","Male","7","","",""
"Yes","2000","direct migration background","Female","812","0.506419896098108","0.482667768613521","0.530172023582696"
"Yes","2000","direct migration background","Male","678","0.425934864889625","0.402017479819301","0.449852249959949"
"Yes","2000","indirect migration background","Female","186","0.493093913433013","0.445280250051216","0.54090757681481"
"Yes","2000","indirect migration background","Male","180","0.522286108410649","0.473995202489686","0.570577014331612"
"Yes","2000","no migration background","Female","10483","0.999136030982598","0.998573737374838","0.999698324590357"
"Yes","2000","no migration background","Male","9596","0.998399953963926","0.997600555808407","0.999199352119446"
"No","2001","direct migration background","Female","788","0.51025224257327","0.484971384311263","0.535533100835277"
"No","2001","direct migration background","Male","829","0.568368090493742","0.542812463473138","0.593923717514345"
"No","2001","indirect migration background","Female","212","0.487786490505767","0.438617279883295","0.53695570112824"
"No","2001","indirect migration background","Male","204","0.462408876418496","0.41227914030551","0.512538612531482"
"No","2001","no migration background","Female","3","","",""
"No","2001","no migration background","Male","8","","",""
"Yes","2001","direct migration background","Female","714","0.48974775742673","0.464466899164723","0.515028615688737"
"Yes","2001","direct migration background","Male","614","0.431631909506258","0.406076282485655","0.457187536526862"
"Yes","2001","indirect migration background","Female","185","0.512213509494233","0.46304429887176","0.561382720116706"
"Yes","2001","indirect migration background","Male","176","0.537591123581504","0.487461387468518","0.58772085969449"
"Yes","2001","no migration background","Female","9579","0.999710794661271","0.999370339163704","1.00005125015884"
"Yes","2001","no migration background","Male","8751","0.998055784133903","0.997133275419729","0.998978292848077"
"No","2002","direct migration background","Female","745","0.499880785756986","0.474154068307023","0.525607503206949"
"No","2002","direct migration background","Male","763","0.555254432037056","0.528930655325948","0.581578208748163"
"No","2002","indirect migration background","Female","201","0.44749188688861","0.399420229821985","0.495563543955234"
"No","2002","indirect migration background","Male","181","0.443003023808741","0.392592241268282","0.4934138063492"
"No","2002","no migration background","Female","2","","",""
"No","2002","no migration background","Male","8","","",""
"Yes","2002","direct migration background","Female","706","0.500119214243014","0.474392496793051","0.525845931692977"
"Yes","2002","direct migration background","Male","606","0.444745567962944","0.418421791251837","0.471069344674052"
"Yes","2002","indirect migration background","Female","210","0.55250811311139","0.504436456044766","0.600579770178014"
"Yes","2002","indirect migration background","Male","192","0.556996976191259","0.5065861936508","0.607407758731718"
"Yes","2002","no migration background","Female","10115","0.999825700730082","0.999568464492923","1.00008293696724"
"Yes","2002","no migration background","Male","9428","0.998259369061878","0.997418304815362","0.999100433308393"
"No","2003","direct migration background","Female","687","0.496685294286449","0.47022884872641","0.523141739846488"
"No","2003","direct migration background","Male","686","0.551022472758826","0.523699317700698","0.578345627816955"
"No","2003","indirect migration background","Female","188","0.435445861109613","0.387743055341653","0.483148666877573"
"No","2003","indirect migration background","Male","168","0.428371049040637","0.378286978199996","0.478455119881278"
"No","2003","no migration background","Female","3","","",""
"No","2003","no migration background","Male","9","","",""
"Yes","2003","direct migration background","Female","685","0.503314705713551","0.476858260153512","0.52977115127359"
"Yes","2003","direct migration background","Male","587","0.448977527241174","0.421654372183046","0.476300682299302"
"Yes","2003","indirect migration background","Female","227","0.564554138890386","0.516851333122426","0.612256944658346"
"Yes","2003","indirect migration background","Male","207","0.571628950959363","0.521544880118722","0.621713021800004"
"Yes","2003","no migration background","Female","9776","0.99957637516485","0.999168526010724","0.999984224318977"
"Yes","2003","no migration background","Male","9074","0.998153264161732","0.997270317562327","0.999036210761137"
"No","2004","direct migration background","Female","647","0.501518074422718","0.474626448823578","0.528409700021857"
"No","2004","direct migration background","Male","634","0.538127646205192","0.510198284011092","0.566057008399292"
"No","2004","indirect migration background","Female","173","0.408764263149587","0.36180472234784","0.455723803951335"
"No","2004","indirect migration background","Male","165","0.400622662916495","0.351989366988795","0.449255958844196"
"No","2004","no migration background","Female","2","","",""
"No","2004","no migration background","Male","7","","",""
"Yes","2004","direct migration background","Female","681","0.498481925577282","0.471590299978143","0.525373551176422"
"Yes","2004","direct migration background","Male","590","0.461872353794808","0.433942991600708","0.489801715988908"
"Yes","2004","indirect migration background","Female","248","0.591235736850412","0.544276196048665","0.63819527765216"
"Yes","2004","indirect migration background","Male","225","0.599377337083504","0.550744041155804","0.648010633011205"
"Yes","2004","no migration background","Female","9553","0.999797527883934","0.999512247844744","1.00008280792312"
"Yes","2004","no migration background","Male","8808","0.99830248347202","0.997443123711094","0.999161843232946"
"No","2005","direct migration background","Female","598","0.495387816698272","0.467781126274421","0.522994507122122"
"No","2005","direct migration background","Male","586","0.558807509518173","0.529779977810004","0.587835041226343"
"No","2005","indirect migration background","Female","181","0.41886438954034","0.372177503379455","0.465551275701225"
"No","2005","indirect migration background","Male","170","0.414687766845368","0.366765264560341","0.462610269130396"
"No","2005","no migration background","Female","2","","",""
"No","2005","no migration background","Male","7","","",""
"Yes","2005","direct migration background","Female","662","0.504612183301728","0.477005492877877","0.532218873725579"
"Yes","2005","direct migration background","Male","538","0.441192490481827","0.412164958773657","0.470220022189996"
"Yes","2005","indirect migration background","Female","248","0.58113561045966","0.534448724298775","0.627822496620545"
"Yes","2005","indirect migration background","Male","236","0.585312233154632","0.537389730869604","0.633234735439659"
"Yes","2005","no migration background","Female","9174","0.999778686405951","0.999474333557194","1.00008303925471"
"Yes","2005","no migration background","Male","8410","0.998050252657135","0.997107853692142","0.998992651622127"
"No","2006","direct migration background","Female","593","0.505342704343443","0.477995635203041","0.532689773483845"
"No","2006","direct migration background","Male","547","0.547567724276606","0.518247317527524","0.576888131025688"
"No","2006","indirect migration background","Female","166","0.412673721416927","0.366086954853311","0.459260487980542"
"No","2006","indirect migration background","Male","154","0.404689611190868","0.35634664915313","0.453032573228605"
"No","2006","no migration background","Female","3","","",""
"No","2006","no migration background","Male","7","","",""
"Yes","2006","direct migration background","Female","691","0.494657295656557","0.467310226516155","0.522004364796959"
"Yes","2006","direct migration background","Male","560","0.452432275723394","0.423111868974312","0.481752682472476"
"Yes","2006","indirect migration background","Female","263","0.587326278583073","0.540739512019458","0.633913045146689"
"Yes","2006","indirect migration background","Male","242","0.595310388809132","0.546967426771395","0.64365335084687"
"Yes","2006","no migration background","Female","9845","0.999694949853083","0.999350049658486","1.00003985004768"
"Yes","2006","no migration background","Male","9008","0.998575091640425","0.997796429503833","0.999353753777018"
"No","2007","direct migration background","Female","519","0.520934261752178","0.492061509266334","0.549807014238021"
"No","2007","direct migration background","Male","480","0.554748246092127","0.52371117263226","0.585785319551993"
"No","2007","indirect migration background","Female","140","0.39870201284041","0.351650833357504","0.445753192323317"
"No","2007","indirect migration background","Male","137","0.376916058612138","0.327669915728106","0.42616220149617"
"No","2007","no migration background","Female","3","","",""
"No","2007","no migration background","Male","7","","",""
"Yes","2007","direct migration background","Female","631","0.479065738247822","0.450192985761979","0.507938490733665"
"Yes","2007","direct migration background","Male","505","0.445251753907873","0.414214680448007","0.47628882736774"
"Yes","2007","indirect migration background","Female","276","0.60129798715959","0.554246807676684","0.648349166642496"
"Yes","2007","indirect migration background","Male","235","0.623083941387862","0.57383779850383","0.672330084271894"
"Yes","2007","no migration background","Female","9237","0.999089017606643","0.998473884375171","0.999704150838115"
"Yes","2007","no migration background","Male","8453","0.998567072602221","0.997761019556383","0.999373125648059"
"No","2008","direct migration background","Female","458","0.52630194296382","0.495823902119219","0.556779983808421"
"No","2008","direct migration background","Male","421","0.553943686338588","0.521194228891161","0.586693143786016"
"No","2008","indirect migration background","Female","126","0.404137158206041","0.356107062932807","0.452167253479275"
"No","2008","indirect migration background","Male","120","0.331148607531493","0.283323835839121","0.378973379223865"
"No","2008","no migration background","Female","2","","",""
"No","2008","no migration background","Male","5","","",""
"Yes","2008","direct migration background","Female","573","0.47369805703618","0.443220016191579","0.504176097880781"
"Yes","2008","direct migration background","Male","464","0.446056313661412","0.413306856213984","0.478805771108839"
"Yes","2008","indirect migration background","Female","275","0.595862841793959","0.547832746520724","0.643892937067193"
"Yes","2008","indirect migration background","Male","252","0.668851392468507","0.621026620776135","0.716676164160879"
"Yes","2008","no migration background","Female","8743","0.999047678420267","0.998401201381591","0.999694155458944"
"Yes","2008","no migration background","Male","7992","0.998557606354839","0.997725817675587","0.999389395034092"
"No","2009","direct migration background","Female","399","0.546268889671447","0.513832962671145","0.57870481667175"
"No","2009","direct migration background","Male","353","0.561441820273542","0.526232972783301","0.596650667763783"
"No","2009","indirect migration background","Female","122","0.442177435339578","0.391572420536729","0.492782450142428"
"No","2009","indirect migration background","Male","108","0.342755562485306","0.292672110034824","0.392839014935788"
"No","2009","no migration background","Female","2","","",""
"No","2009","no migration background","Male","5","","",""
"Yes","2009","direct migration background","Female","506","0.453731110328553","0.42129518332825","0.486167037328855"
"Yes","2009","direct migration background","Male","410","0.438558179726458","0.403349332236217","0.473767027216699"
"Yes","2009","indirect migration background","Female","248","0.557822564660422","0.507217549857572","0.608427579463271"
"Yes","2009","indirect migration background","Male","237","0.657244437514694","0.607160985064212","0.707327889965176"
"Yes","2009","no migration background","Female","8205","0.999775337549754","0.99945109326517","1.00009958183434"
"Yes","2009","no migration background","Male","7531","0.998437180956511","0.997545329828116","0.999329032084906"
"No","2010","direct migration background","Female","749","0.556366118906856","0.532075820880886","0.580656416932827"
"No","2010","direct migration background","Male","598","0.553233383382004","0.526228820906231","0.580237945857777"
"No","2010","indirect migration background","Female","158","0.31853721841902","0.2823278711811","0.35474656565694"
"No","2010","indirect migration background","Male","146","0.27592643433139","0.237284884899922","0.314567983762857"
"No","2010","no migration background","Female","1","","",""
"No","2010","no migration background","Male","4","","",""
"Yes","2010","direct migration background","Female","858","0.443633881093144","0.419343583067173","0.467924179119114"
"Yes","2010","direct migration background","Male","704","0.446766616617996","0.419762054142223","0.473771179093769"
"Yes","2010","indirect migration background","Female","478","0.68146278158098","0.64525343434306","0.7176721288189"
"Yes","2010","indirect migration background","Male","368","0.72407356566861","0.685432016237143","0.762715115100078"
"Yes","2010","no migration background","Female","10873","0.999971451635684","0.999871027560131","1.00007187571124"
"Yes","2010","no migration background","Male","9134","0.999003451497887","0.998356524569802","0.999650378425973"
"No","2011","direct migration background","Female","487","0.515320950391607","0.487009179240441","0.543632721542774"
"No","2011","direct migration background","Male","385","0.498217669513906","0.466254384359274","0.530180954668539"
"No","2011","indirect migration background","Female","114","0.278952064800189","0.238232606519627","0.31967152308075"
"No","2011","indirect migration background","Male","105","0.265907364660474","0.222984222876224","0.308830506444725"
"No","2011","no migration background","Female","5","","",""
"No","2011","no migration background","Male","8","","",""
"Yes","2011","direct migration background","Female","710","0.484679049608393","0.456367278457226","0.512990820759559"
"Yes","2011","direct migration background","Male","555","0.501782330486094","0.469819045331461","0.533745615640726"
"Yes","2011","indirect migration background","Female","352","0.721047935199811","0.68032847691925","0.761767393480373"
"Yes","2011","indirect migration background","Male","302","0.734092635339526","0.691169493555275","0.777015777123776"
"Yes","2011","no migration background","Female","10259","0.999760813995042","0.999461652491648","1.00005997549844"
"Yes","2011","no migration background","Male","8974","0.998993382566811","0.998337577005657","0.999649188127965"
"No","2012","direct migration background","Female","723","0.528034133160726","0.504268492086","0.551799774235452"
"No","2012","direct migration background","Male","572","0.506356277110326","0.479755576470171","0.532956977750481"
"No","2012","indirect migration background","Female","150","0.290308682139577","0.256803013373209","0.323814350905945"
"No","2012","indirect migration background","Male","127","0.240516006187041","0.205612572471239","0.275419439902843"
"No","2012","no migration background","Female","4","","",""
"No","2012","no migration background","Male","8","","",""
"Yes","2012","direct migration background","Female","972","0.471965866839274","0.448200225764547","0.495731507914"
"Yes","2012","direct migration background","Male","785","0.493643722889674","0.467043022249519","0.520244423529829"
"Yes","2012","indirect migration background","Female","555","0.709691317860423","0.676185649094055","0.743196986626791"
"Yes","2012","indirect migration background","Male","449","0.759483993812959","0.724580560097157","0.794387427528761"
"Yes","2012","no migration background","Female","12738","0.999747557179985","0.999471717984195","1.00002339637578"
"Yes","2012","no migration background","Male","10659","0.998816220529806","0.9981636835347","0.999468757524912"
"No","2013","direct migration background","Female","655","0.473231504148835","0.448189141890077","0.498273866407593"
"No","2013","direct migration background","Male","496","0.46614074198156","0.437653699277369","0.494627784685751"
"No","2013","indirect migration background","Female","129","0.213157339108541","0.181983849462653","0.244330828754429"
"No","2013","indirect migration background","Male","108","0.181794296065468","0.14929523332879","0.214293358802146"
"No","2013","no migration background","Female","5","","",""
"No","2013","no migration background","Male","7","","",""
"Yes","2013","direct migration background","Female","872","0.526768495851165","0.501726133592407","0.551810858109923"
"Yes","2013","direct migration background","Male","682","0.53385925801844","0.505372215314249","0.562346300722631"
"Yes","2013","indirect migration background","Female","534","0.786842660891459","0.755669171245571","0.818016150537347"
"Yes","2013","indirect migration background","Male","433","0.818205703934532","0.785706641197854","0.85070476667121"
"Yes","2013","no migration background","Female","11931","0.999588773356116","0.999225051001795","0.999952495710436"
"Yes","2013","no migration background","Male","9945","0.99882300637129","0.998149372010057","0.999496640732524"
"No","2014","direct migration background","Female","1437","0.559682501648204","0.541294992058022","0.578070011238386"
"No","2014","direct migration background","Male","1171","0.556719582883372","0.536557224039149","0.576881941727596"
"No","2014","indirect migration background","Female","267","0.269251785484078","0.241177936149264","0.297325634818891"
"No","2014","indirect migration background","Male","221","0.241532760030056","0.212553818578971","0.270511701481141"
"No","2014","no migration background","Female","6","","",""
"No","2014","no migration background","Male","6","","",""
"Yes","2014","direct migration background","Female","1363","0.440317498351796","0.421929988761614","0.458705007941978"
"Yes","2014","direct migration background","Male","1161","0.443280417116628","0.423118058272404","0.463442775960851"
"Yes","2014","indirect migration background","Female","692","0.730748214515922","0.702674365181109","0.758822063850735"
"Yes","2014","indirect migration background","Male","617","0.758467239969944","0.729488298518859","0.787446181421029"
"Yes","2014","no migration background","Female","10957","0.999744722334861","0.999445678844154","1.00004376582557"
"Yes","2014","no migration background","Male","9316","0.999186343768845","0.998607532118607","0.999765155419083"
"No","2015","direct migration background","Female","1922","0.552696630091614","0.535496169831859","0.569897090351369"
"No","2015","direct migration background","Male","1645","0.577592469066589","0.559074009295796","0.596110928837381"
"No","2015","indirect migration background","Female","233","0.255780859862593","0.227526544173084","0.284035175552101"
"No","2015","indirect migration background","Male","206","0.26212698109755","0.231163918002046","0.293090044193054"
"No","2015","no migration background","Female","5","","",""
"No","2015","no migration background","Male","5","","",""
"Yes","2015","direct migration background","Female","1288","0.447303369908386","0.430102909648631","0.464503830168141"
"Yes","2015","direct migration background","Male","1088","0.422407530933411","0.403889071162619","0.440925990704204"
"Yes","2015","indirect migration background","Female","683","0.744219140137407","0.715964824447899","0.772473455826916"
"Yes","2015","indirect migration background","Male","569","0.73787301890245","0.706909955806946","0.768836081997954"
"Yes","2015","no migration background","Female","10433","0.999771162247363","0.999480991529203","1.00006133296552"
"Yes","2015","no migration background","Male","8882","0.999331755638275","0.998794485136764","0.999869026139785"
"No","2016","direct migration background","Female","1509","0.602109849807786","0.583568413848145","0.620651285767427"
"No","2016","direct migration background","Male","1265","0.616797617232769","0.596592278124041","0.637002956341497"
"No","2016","indirect migration background","Female","196","0.239273865582117","0.210659708505559","0.267888022658675"
"No","2016","indirect migration background","Male","174","0.255497765759255","0.223596168722564","0.287399362795946"
"No","2016","no migration background","Female","6","","",""
"No","2016","no migration background","Male","7","","",""
"Yes","2016","direct migration background","Female","1168","0.397890150192214","0.379348714232573","0.416431586151856"
"Yes","2016","direct migration background","Male","959","0.383202382767231","0.362997043658503","0.403407721875959"
"Yes","2016","indirect migration background","Female","658","0.760726134417883","0.732111977341325","0.789340291494441"
"Yes","2016","indirect migration background","Male","544","0.744502234240745","0.712600637204054","0.776403831277436"
"Yes","2016","no migration background","Female","9707","0.999617647854216","0.999228853347655","1.00000644236078"
"Yes","2016","no migration background","Male","8238","0.999038549837433","0.998369578865911","0.999707520808956"
"No","2017","direct migration background","Female","2349","0.640229197241358","0.624426063685019","0.656032330797697"
"No","2017","direct migration background","Male","2781","0.661560793863206","0.646420235563081","0.676701352163332"
"No","2017","indirect migration background","Female","196","0.256367903533952","0.228245431935115","0.28449037513279"
"No","2017","indirect migration background","Male","175","0.248446575667155","0.218295276768376","0.278597874565934"
"No","2017","no migration background","Female","5","","",""
"No","2017","no migration background","Male","6","","",""
"Yes","2017","direct migration background","Female","1194","0.359770802758642","0.343967669202303","0.375573936314981"
"Yes","2017","direct migration background","Male","971","0.338439206136794","0.323298647836668","0.353579764436919"
"Yes","2017","indirect migration background","Female","730","0.743632096466048","0.71550962486721","0.771754568064885"
"Yes","2017","indirect migration background","Male","614","0.751553424332845","0.721402125434066","0.781704723231624"
"Yes","2017","no migration background","Female","10868","0.999700722740534","0.999375601563012","1.00002584391806"
"Yes","2017","no migration background","Male","9461","0.999192648831026","0.998620514831556","0.999764782830495"
"No","2018","direct migration background","Female","2781","0.662537502875737","0.647759895999355","0.677315109752119"
"No","2018","direct migration background","Male","3492","0.695967138395432","0.682381530797495","0.709552745993368"
"No","2018","indirect migration background","Female","177","0.246391380636642","0.218815311711883","0.273967449561401"
"No","2018","indirect migration background","Male","147","0.238986708911529","0.208961901183033","0.269011516640025"
"No","2018","no migration background","Female","2","","",""
"No","2018","no migration background","Male","6","","",""
"Yes","2018","direct migration background","Female","1152","0.337462497124263","0.322684890247881","0.352240104000645"
"Yes","2018","direct migration background","Male","912","0.304032861604568","0.290447254006632","0.317618469202505"
"Yes","2018","indirect migration background","Female","761","0.753608619363358","0.726032550438599","0.781184688288117"
"Yes","2018","indirect migration background","Male","628","0.761013291088471","0.730988483359975","0.791038098816967"
"Yes","2018","no migration background","Female","10521","0.999655404880292","0.999300789125611","1.00001002063497"
"Yes","2018","no migration background","Male","9106","0.998626597795328","0.997866198562361","0.999386997028294"
"No","2019","direct migration background","Female","2435","0.662795254881618","0.647124175411476","0.678466334351759"
"No","2019","direct migration background","Male","3094","0.708760394011246","0.694561286233906","0.722959501788586"
"No","2019","indirect migration background","Female","149","0.257707866702564","0.229243880880102","0.286171852525027"
"No","2019","indirect migration background","Male","128","0.23276257381232","0.203533720099582","0.261991427525058"
"No","2019","no migration background","Female","4","","",""
"No","2019","no migration background","Male","7","","",""
"Yes","2019","direct migration background","Female","1061","0.337204745118382","0.321533665648241","0.352875824588524"
"Yes","2019","direct migration background","Male","839","0.291239605988754","0.277040498211414","0.305438713766094"
"Yes","2019","indirect migration background","Female","758","0.742292133297436","0.713828147474973","0.770756119119898"
"Yes","2019","indirect migration background","Male","675","0.76723742618768","0.738008572474942","0.796466279900418"
"Yes","2019","no migration background","Female","10494","0.999688822171052","0.999351432682352","1.00002621165975"
"Yes","2019","no migration background","Male","9797","0.998901367137051","0.998245623573653","0.99955711070045"
