"plj0014_v3","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"No","2001","1-pers.-HH","indirect migration background","43","0.390626861977545","0.294031169859592","0.487222554095497"
"No","2001","(Married) couple without C. ","no migration background","3","","",""
"No","2001","(Married) couple without C. ","direct migration background","375","0.480409940124433","0.444936197167399","0.515883683081468"
"No","2001","(Married) couple without C. ","indirect migration background","63","0.51632920787173","0.422514027132139","0.610144388611322"
"No","2001","Single parent ","no migration background","","","",""
"No","2001","Single parent ","direct migration background","68","0.46755261345608","0.387706081869209","0.54739914504295"
"No","2001","Single parent ","indirect migration background","24","","",""
"No","2001","Couple + C. LE 16 ","no migration background","","","",""
"No","2001","Couple + C. LE 16 ","direct migration background","501","0.638036495929952","0.605421282995038","0.670651708864865"
"No","2001","Couple + C. LE 16 ","indirect migration background","99","0.57920092068718","0.503411899002667","0.654989942371693"
"No","2001","Couple + C. GT 16 ","no migration background","3","","",""
"No","2001","Couple + C. GT 16 ","direct migration background","302","0.616437992986252","0.572892538824957","0.659983447147546"
"No","2001","Couple + C. GT 16 ","indirect migration background","117","0.473632841091939","0.406579011583664","0.540686670600214"
"No","2001","Couple + C. LE and GT 16","no migration background","2","","",""
"No","2001","Couple + C. LE and GT 16","direct migration background","166","0.579557124922777","0.524428855926933","0.634685393918621"
"No","2001","Couple + C. LE and GT 16","indirect migration background","54","0.45027676320547","0.356007954808234","0.544545571602706"
"Yes","2002","1-pers.-HH","no migration background","2687","0.998295024196441","0.996735972506816","0.999854075886066"
"Yes","2002","1-pers.-HH","direct migration background","151","0.618726937938448","0.557406232383557","0.680047643493339"
"Yes","2002","1-pers.-HH","indirect migration background","58","0.658590936672522","0.562732672114537","0.754449201230506"
"Yes","2002","(Married) couple without C. ","no migration background","6598","0.998578064999186","0.997669112445208","0.999487017553164"
"Yes","2002","(Married) couple without C. ","direct migration background","381","0.500320224564139","0.465320874875286","0.535319574252993"
"Yes","2002","(Married) couple without C. ","indirect migration background","49","0.538899702684522","0.441683405099583","0.636116000269461"
"Yes","2002","Single parent ","no migration background","940","1","1","1"
"Yes","2002","Single parent ","direct migration background","78","0.525051892226397","0.442916920176618","0.607186864276177"
"Yes","2002","Single parent ","indirect migration background","34","0.684333456460666","0.561500498550894","0.807166414370437"
"Yes","2002","Couple + C. LE 16 ","no migration background","3845","1","1","1"
"Yes","2002","Couple + C. LE 16 ","direct migration background","320","0.379326005234396","0.344599942715549","0.414052067753242"
"Yes","2002","Couple + C. LE 16 ","indirect migration background","74","0.475542904890855","0.400249909605567","0.550835900176143"
"Yes","2002","Couple + C. GT 16 ","no migration background","3361","0.999814562708901","0.999354298183992","1.00027482723381"
"Yes","2002","Couple + C. GT 16 ","direct migration background","187","0.428379747062848","0.382557397620077","0.474202096505618"
"Yes","2002","Couple + C. GT 16 ","indirect migration background","104","0.507193631943259","0.438419499016166","0.575967764870353"
"Yes","2002","Couple + C. LE and GT 16","no migration background","1523","0.999359943631861","0.99809058818876","1.00062929907496"
"Yes","2002","Couple + C. LE and GT 16","direct migration background","135","0.437173348505005","0.381228669571803","0.493118027438207"
"Yes","2002","Couple + C. LE and GT 16","indirect migration background","67","0.500593311705351","0.414310769123872","0.58687585428683"
"No","2002","1-pers.-HH","no migration background","3","","",""
"No","2002","1-pers.-HH","direct migration background","90","0.381273062061552","0.319952356506661","0.442593767616443"
"No","2002","1-pers.-HH","indirect migration background","36","0.341409063327478","0.245550798769494","0.437267327885463"
"No","2002","(Married) couple without C. ","no migration background","4","","",""
"No","2002","(Married) couple without C. ","direct migration background","403","0.499679775435861","0.464680425747007","0.534679125124714"
"No","2002","(Married) couple without C. ","indirect migration background","52","0.461100297315478","0.363883999730539","0.558316594900417"
"No","2002","Single parent ","no migration background","","","",""
"No","2002","Single parent ","direct migration background","64","0.474948107773603","0.392813135723824","0.557083079823382"
"No","2002","Single parent ","indirect migration background","21","","",""
"No","2002","Couple + C. LE 16 ","no migration background","","","",""
"No","2002","Couple + C. LE 16 ","direct migration background","430","0.620673994765604","0.585947932246758","0.655400057284451"
"No","2002","Couple + C. LE 16 ","indirect migration background","95","0.524457095109145","0.449164099823857","0.599750090394433"
"No","2002","Couple + C. GT 16 ","no migration background","1","","",""
"No","2002","Couple + C. GT 16 ","direct migration background","261","0.571620252937152","0.525797903494382","0.617442602379923"
"No","2002","Couple + C. GT 16 ","indirect migration background","99","0.492806368056741","0.424032235129647","0.561580500983834"
"No","2002","Couple + C. LE and GT 16","no migration background","2","","",""
"No","2002","Couple + C. LE and GT 16","direct migration background","167","0.562826651494995","0.506881972561793","0.618771330428197"
"No","2002","Couple + C. LE and GT 16","indirect migration background","62","0.499406688294649","0.41312414571317","0.585689230876128"
"Yes","2003","1-pers.-HH","no migration background","2675","0.999573107062615","0.998790449469577","1.00035576465565"
"Yes","2003","1-pers.-HH","direct migration background","150","0.628738288840486","0.5670976508718","0.690378926809172"
"Yes","2003","1-pers.-HH","indirect migration background","51","0.584215327700677","0.478818106909498","0.689612548491856"
"Yes","2003","(Married) couple without C. ","no migration background","6461","0.997266884136676","0.99599455988372","0.998539208389633"
"Yes","2003","(Married) couple without C. ","direct migration background","379","0.502607431530183","0.46665586795332","0.538558995107046"
"Yes","2003","(Married) couple without C. ","indirect migration background","71","0.670205646540924","0.58678110575391","0.753630187327938"
"Yes","2003","Single parent ","no migration background","914","0.999758543428442","0.99875183287607","1.00076525398081"
"Yes","2003","Single parent ","direct migration background","83","0.558621889125449","0.477236875105648","0.64000690314525"
"Yes","2003","Single parent ","indirect migration background","39","0.605352627437155","0.485604997162366","0.725100257711943"
"Yes","2003","Couple + C. LE 16 ","no migration background","3542","1","1","1"
"Yes","2003","Couple + C. LE 16 ","direct migration background","293","0.4020732987475","0.365084281307422","0.439062316187577"
"Yes","2003","Couple + C. LE 16 ","indirect migration background","78","0.432184626179455","0.358998293142053","0.505370959216857"
"Yes","2003","Couple + C. GT 16 ","no migration background","3338","0.999781898743902","0.999281032688646","1.00028276479916"
"Yes","2003","Couple + C. GT 16 ","direct migration background","189","0.414741107066986","0.368282223457736","0.461199990676237"
"Yes","2003","Couple + C. GT 16 ","indirect migration background","110","0.58111542508119","0.510589701248533","0.651641148913847"
"Yes","2003","Couple + C. LE and GT 16","no migration background","1420","0.999213708431963","0.997756843485687","1.00067057337824"
"Yes","2003","Couple + C. LE and GT 16","direct migration background","135","0.434873824892508","0.378398780476881","0.491348869308135"
"Yes","2003","Couple + C. LE and GT 16","indirect migration background","70","0.551836151704178","0.466018481422254","0.637653821986103"
"No","2003","1-pers.-HH","no migration background","1","","",""
"No","2003","1-pers.-HH","direct migration background","86","0.371261711159514","0.309621073190828","0.4329023491282"
"No","2003","1-pers.-HH","indirect migration background","33","0.415784672299323","0.310387451508144","0.521181893090502"
"No","2003","(Married) couple without C. ","no migration background","7","","",""
"No","2003","(Married) couple without C. ","direct migration background","364","0.497392568469817","0.461441004892954","0.53334413204668"
"No","2003","(Married) couple without C. ","indirect migration background","51","0.329794353459076","0.246369812672062","0.413218894246089"
"No","2003","Single parent ","no migration background","1","","",""
"No","2003","Single parent ","direct migration background","60","0.441378110874551","0.359993096854751","0.522763124894352"
"No","2003","Single parent ","indirect migration background","25","","",""
"No","2003","Couple + C. LE 16 ","no migration background","","","",""
"No","2003","Couple + C. LE 16 ","direct migration background","382","0.5979267012525","0.560937683812423","0.634915718692578"
"No","2003","Couple + C. LE 16 ","indirect migration background","98","0.567815373820545","0.494629040783143","0.641001706857947"
"No","2003","Couple + C. GT 16 ","no migration background","1","","",""
"No","2003","Couple + C. GT 16 ","direct migration background","243","0.585258892933014","0.538800009323763","0.631717776542264"
"No","2003","Couple + C. GT 16 ","indirect migration background","78","0.41888457491881","0.348358851086153","0.489410298751467"
"No","2003","Couple + C. LE and GT 16","no migration background","2","","",""
"No","2003","Couple + C. LE and GT 16","direct migration background","161","0.565126175107492","0.508651130691865","0.621601219523119"
"No","2003","Couple + C. LE and GT 16","indirect migration background","59","0.448163848295822","0.362346178013897","0.533981518577746"
"Yes","2004","1-pers.-HH","no migration background","2634","0.999648697266039","0.998933176490525","1.00036421804155"
"Yes","2004","1-pers.-HH","direct migration background","141","0.657949059521764","0.59511898667167","0.720779132371857"
"Yes","2004","1-pers.-HH","indirect migration background","55","0.637446105441267","0.535247104210853","0.739645106671681"
"Yes","2004","(Married) couple without C. ","no migration background","6436","0.997798059664745","0.996653260620023","0.998942858709466"
"Yes","2004","(Married) couple without C. ","direct migration background","382","0.484956442115169","0.448947896772846","0.520964987457492"
"Yes","2004","(Married) couple without C. ","indirect migration background","71","0.654412713944321","0.567115495133496","0.741709932755147"
"Yes","2004","Single parent ","no migration background","887","0.999732213917329","0.998656052413721","1.00080837542094"
"Yes","2004","Single parent ","direct migration background","80","0.543508261431424","0.459484766329674","0.627531756533174"
"Yes","2004","Single parent ","indirect migration background","48","0.607766588984216","0.497267636097138","0.718265541871294"
"Yes","2004","Couple + C. LE 16 ","no migration background","3286","1","1","1"
"Yes","2004","Couple + C. LE 16 ","direct migration background","272","0.402842618427186","0.363695342895785","0.441989893958587"
"Yes","2004","Couple + C. LE 16 ","indirect migration background","87","0.54549612665105","0.472755595422672","0.618236657879429"
"Yes","2004","Couple + C. GT 16 ","no migration background","3304","1","1","1"
"Yes","2004","Couple + C. GT 16 ","direct migration background","197","0.438236267819273","0.391174833381284","0.485297702257262"
"Yes","2004","Couple + C. GT 16 ","indirect migration background","115","0.582541467714236","0.513326363184236","0.651756572244236"
"Yes","2004","Couple + C. LE and GT 16","no migration background","1350","0.999224225902074","0.997740140613178","1.00070831119097"
"Yes","2004","Couple + C. LE and GT 16","direct migration background","147","0.408112154200747","0.353044464921798","0.463179843479696"
"Yes","2004","Couple + C. LE and GT 16","indirect migration background","86","0.601599483061122","0.519918261959818","0.683280704162425"
"No","2004","1-pers.-HH","no migration background","1","","",""
"No","2004","1-pers.-HH","direct migration background","78","0.342050940478237","0.279220867628143","0.40488101332833"
"No","2004","1-pers.-HH","indirect migration background","30","0.362553894558733","0.260354893328319","0.464752895789147"
"No","2004","(Married) couple without C. ","no migration background","4","","",""
