"plj0014_v3","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"No","2000","66 and older","West Germany","117","0.0306880467404532","0.024247782344324","0.0371283111365825"
"No","2000","66 and older","East Germany","2","","",""
"Yes","2001","16-34 y.","West Germany","3927","0.848863837163489","0.838688523004907","0.859039151322071"
"Yes","2001","16-34 y.","East Germany","1536","0.996774817278009","0.993943011773967","0.999606622782051"
"Yes","2001","35-65 y.","West Germany","8166","0.898298522338173","0.892136942264846","0.9044601024115"
"Yes","2001","35-65 y.","East Germany","3069","0.998248664224602","0.996770576405625","0.999726752043578"
"Yes","2001","66 and older","West Germany","2471","0.966043570661496","0.959073736087541","0.973013405235451"
"Yes","2001","66 and older","East Germany","850","0.998463532244666","0.995831985190776","1.00109507929856"
"No","2001","16-34 y.","West Germany","833","0.151136162836511","0.140960848677929","0.161311476995093"
"No","2001","16-34 y.","East Germany","4","","",""
"No","2001","35-65 y.","West Germany","1078","0.101701477661827","0.0955398975885001","0.107863057735154"
"No","2001","35-65 y.","East Germany","5","","",""
"No","2001","66 and older","West Germany","123","0.0339564293385042","0.0269865947645491","0.0409262639124592"
"No","2001","66 and older","East Germany","1","","",""
"Yes","2002","16-34 y.","West Germany","3981","0.855534734475492","0.845473246489241","0.865596222461742"
"Yes","2002","16-34 y.","East Germany","1492","0.995114093586112","0.991580705788731","0.998647481383494"
"Yes","2002","35-65 y.","West Germany","9222","0.898902758152842","0.8930719175254","0.904733598780284"
"Yes","2002","35-65 y.","East Germany","3056","0.997460068614083","0.995677261947268","0.999242875280899"
"Yes","2002","66 and older","West Germany","2608","0.960418521815551","0.953119412948882","0.967717630682221"
"Yes","2002","66 and older","East Germany","898","0.995151722573241","0.990613714989575","0.999689730156907"
"No","2002","16-34 y.","West Germany","709","0.144465265524509","0.134403777538258","0.154526753510759"
"No","2002","16-34 y.","East Germany","4","","",""
"No","2002","35-65 y.","West Germany","1046","0.101097241847158","0.0952664012197156","0.1069280824746"
"No","2002","35-65 y.","East Germany","6","","",""
"No","2002","66 and older","West Germany","133","0.0395814781844486","0.0322823693177794","0.0468805870511177"
"No","2002","66 and older","East Germany","2","","",""
"Yes","2003","16-34 y.","West Germany","3790","0.856582193929709","0.846249275171085","0.866915112688334"
"Yes","2003","16-34 y.","East Germany","1461","0.996183167378833","0.993026693039238","0.999339641718427"
"Yes","2003","35-65 y.","West Germany","8767","0.896881830283007","0.890836702387835","0.902926958178179"
"Yes","2003","35-65 y.","East Germany","2978","0.996639854897304","0.994563870598524","0.998715839196084"
"Yes","2003","66 and older","West Germany","2640","0.95703944684736","0.94950604143881","0.96457285225591"
"Yes","2003","66 and older","East Germany","920","0.998052296187489","0.99520484438192","1.00089974799306"
"No","2003","16-34 y.","West Germany","630","0.143417806070291","0.133084887311666","0.153750724828915"
"No","2003","16-34 y.","East Germany","5","","",""
"No","2003","35-65 y.","West Germany","955","0.103118169716993","0.0970730418218215","0.109163297612165"
"No","2003","35-65 y.","East Germany","7","","",""
"No","2003","66 and older","West Germany","143","0.0429605531526401","0.0354271477440903","0.0504939585611899"
"No","2003","66 and older","East Germany","1","","",""
"Yes","2004","16-34 y.","West Germany","3669","0.867361977056932","0.857121149924203","0.877602804189662"
"Yes","2004","16-34 y.","East Germany","1427","0.996627703010055","0.993625044334596","0.999630361685514"
"Yes","2004","35-65 y.","West Germany","8491","0.890847282583065","0.884548496855893","0.897146068310238"
"Yes","2004","35-65 y.","East Germany","2848","0.996447382168485","0.994264921299486","0.998629843037483"
"Yes","2004","66 and older","West Germany","2703","0.955584502196856","0.948019593648463","0.963149410745249"
"Yes","2004","66 and older","East Germany","967","0.998450424384905","0.99597254563017","1.00092830313964"
"No","2004","16-34 y.","West Germany","545","0.132638022943068","0.122397195810338","0.142878850075797"
"No","2004","16-34 y.","East Germany","5","","",""
"No","2004","35-65 y.","West Germany","924","0.109152717416935","0.102853931689762","0.115451503144107"
"No","2004","35-65 y.","East Germany","7","","",""
"No","2004","66 and older","West Germany","146","0.0444154978031443","0.0368505892547513","0.0519804063515374"
"No","2004","66 and older","East Germany","1","","",""
"Yes","2005","16-34 y.","West Germany","3491","0.868443043957867","0.857955127440653","0.878930960475082"
"Yes","2005","16-34 y.","East Germany","1348","0.989044060631986","0.983499445721161","0.99458867554281"
"Yes","2005","35-65 y.","West Germany","8025","0.885280513585613","0.878664518298279","0.891896508872946"
"Yes","2005","35-65 y.","East Germany","2727","0.99395628425105","0.991052089731579","0.996860478770521"
"Yes","2005","66 and older","West Germany","2704","0.954857822250477","0.947228823144443","0.962486821356511"
"Yes","2005","66 and older","East Germany","973","0.998304000021334","0.995719878461749","1.00088812158092"
"No","2005","16-34 y.","West Germany","499","0.131556956042133","0.121069039524918","0.142044872559347"
"No","2005","16-34 y.","East Germany","6","","",""
"No","2005","35-65 y.","West Germany","888","0.114719486414387","0.108103491127054","0.121335481701721"
"No","2005","35-65 y.","East Germany","9","","",""
"No","2005","66 and older","West Germany","141","0.0451421777495235","0.0375131786434894","0.0527711768555575"
"No","2005","66 and older","East Germany","1","","",""
"Yes","2006","16-34 y.","West Germany","3421","0.864579564045555","0.853779553857591","0.87537957423352"
"Yes","2006","16-34 y.","East Germany","1281","0.986647706223711","0.980389125920071","0.992906286527351"
"Yes","2006","35-65 y.","West Germany","8719","0.885815459176961","0.879444247584028","0.892186670769895"
"Yes","2006","35-65 y.","East Germany","2856","0.993823947712242","0.990956176799963","0.99669171862452"
"Yes","2006","66 and older","West Germany","3190","0.949707619282211","0.94230583241288","0.957109406151541"
"Yes","2006","66 and older","East Germany","1142","0.998532564617817","0.996313420101834","1.0007517091338"
"No","2006","16-34 y.","West Germany","435","0.135420435954445","0.12462042576648","0.14622044614241"
"No","2006","16-34 y.","East Germany","11","","",""
"No","2006","35-65 y.","West Germany","853","0.114184540823039","0.107813329230105","0.120555752415972"
"No","2006","35-65 y.","East Germany","11","","",""
"No","2006","66 and older","West Germany","159","0.0502923807177893","0.0428905938484585","0.05769416758712"
"No","2006","66 and older","East Germany","1","","",""
"Yes","2007","16-34 y.","West Germany","3152","0.874204062987509","0.863217703986693","0.885190421988325"
"Yes","2007","16-34 y.","East Germany","1221","0.985144944358611","0.978381633370302","0.99190825534692"
"Yes","2007","35-65 y.","West Germany","8059","0.883095983814231","0.876391983718201","0.889799983910261"
"Yes","2007","35-65 y.","East Germany","2654","0.990937815393151","0.987339997827628","0.994535632958675"
"Yes","2007","66 and older","West Germany","3111","0.944062743961592","0.936179154054091","0.951946333869094"
"Yes","2007","66 and older","East Germany","1140","0.998509117705136","0.996270381282934","1.00074785412734"
"No","2007","16-34 y.","West Germany","348","0.125795937012491","0.114809578011675","0.136782296013307"
"No","2007","16-34 y.","East Germany","8","","",""
"No","2007","35-65 y.","West Germany","765","0.116904016185769","0.110200016089739","0.123608016281799"
"No","2007","35-65 y.","East Germany","11","","",""
"No","2007","66 and older","West Germany","153","0.0559372560384076","0.0480536661309062","0.063820845945909"
"No","2007","66 and older","East Germany","1","","",""
"Yes","2008","16-34 y.","West Germany","2946","0.879356729312037","0.868131061662477","0.890582396961596"
"Yes","2008","16-34 y.","East Germany","1136","0.992048981122641","0.986900217834543","0.99719774441074"
"Yes","2008","35-65 y.","West Germany","7503","0.882098826459867","0.875109388987829","0.889088263931905"
"Yes","2008","35-65 y.","East Germany","2505","0.989548797590809","0.985575102774939","0.993522492406679"
"Yes","2008","66 and older","West Germany","3074","0.941140767730933","0.933016482467276","0.949265052994589"
"Yes","2008","66 and older","East Germany","1135","0.998346031918178","0.99598303565122","1.00070902818514"
"No","2008","16-34 y.","West Germany","288","0.120643270687963","0.109417603038404","0.131868938337523"
"No","2008","16-34 y.","East Germany","7","","",""
"No","2008","35-65 y.","West Germany","675","0.117901173540133","0.110911736068095","0.124890611012171"
"No","2008","35-65 y.","East Germany","11","","",""
"No","2008","66 and older","West Germany","150","0.0588592322690671","0.0507349470054106","0.0669835175327236"
"No","2008","66 and older","East Germany","1","","",""
"Yes","2009","16-34 y.","West Germany","2715","0.875253861422509","0.863360179617471","0.887147543227547"
"Yes","2009","16-34 y.","East Germany","1037","0.996342789854769","0.992675864449727","1.00000971525981"
"Yes","2009","35-65 y.","West Germany","6919","0.879622319291793","0.872261333335874","0.886983305247712"
"Yes","2009","35-65 y.","East Germany","2382","0.987674038900925","0.983254232631729","0.992093845170121"
"Yes","2009","66 and older","West Germany","2957","0.944017875284351","0.93591361490037","0.952122135668332"
"Yes","2009","66 and older","East Germany","1127","0.998326614976151","0.995941398476859","1.00071183147544"
"No","2009","16-34 y.","West Germany","250","0.124746138577491","0.112852456772454","0.136639820382529"
"No","2009","16-34 y.","East Germany","4","","",""
"No","2009","35-65 y.","West Germany","588","0.120377680708207","0.113016694752288","0.127738666664126"
"No","2009","35-65 y.","East Germany","12","","",""
"No","2009","66 and older","West Germany","134","0.0559821247156494","0.0478778643316684","0.0640863850996304"
"No","2009","66 and older","East Germany","1","","",""
"Yes","2010","16-34 y.","West Germany","4462","0.882673662174212","0.873790972050104","0.89155635229832"
"Yes","2010","16-34 y.","East Germany","1526","0.990496229647641","0.985661442997032","0.99533101629825"
"Yes","2010","35-65 y.","West Germany","9630","0.877531981005598","0.871271396646918","0.883792565364277"
"Yes","2010","35-65 y.","East Germany","2848","0.989210513866897","0.985432835140857","0.992988192592936"
"Yes","2010","66 and older","West Germany","2878","0.941811523423311","0.933441506301869","0.950181540544753"
"Yes","2010","66 and older","East Germany","1071","1","1","1"
"No","2010","16-34 y.","West Germany","580","0.117326337825788","0.10844364770168","0.126209027949896"
"No","2010","16-34 y.","East Germany","21","","",""
"No","2010","35-65 y.","West Germany","903","0.122468018994402","0.116207434635723","0.128728603353082"
"No","2010","35-65 y.","East Germany","25","","",""
"No","2010","66 and older","West Germany","127","0.058188476576689","0.0498184594552468","0.0665584936981313"
"No","2010","66 and older","East Germany","","","",""
"Yes","2011","16-34 y.","West Germany","3247","0.912970137188475","0.903620959605439","0.922319314771511"
"Yes","2011","16-34 y.","East Germany","1075","0.997243724505897","0.994114039144595","1.0003734098672"
"Yes","2011","35-65 y.","West Germany","9016","0.895193099967866","0.889098455498155","0.901287744437578"
"Yes","2011","35-65 y.","East Germany","2771","0.989691636403469","0.985942368096825","0.993440904710112"
"Yes","2011","66 and older","West Germany","3756","0.945461775862836","0.938342377450141","0.95258117427553"
"Yes","2011","66 and older","East Germany","1287","1","1","1"
"No","2011","16-34 y.","West Germany","245","0.0870298628115248","0.0776806852284889","0.0963790403945607"
"No","2011","16-34 y.","East Germany","3","","",""
"No","2011","35-65 y.","West Germany","687","0.104806900032134","0.0987122555624221","0.110901544501845"
"No","2011","35-65 y.","East Germany","17","","",""
"No","2011","66 and older","West Germany","152","0.0545382241371645","0.0474188257244699","0.0616576225498591"
"No","2011","66 and older","East Germany","","","",""
"Yes","2012","16-34 y.","West Germany","4511","0.893676851675428","0.885078391268583","0.902275312082273"
"Yes","2012","16-34 y.","East Germany","1405","0.989920382168385","0.984730376798109","0.99511038753866"
"Yes","2012","35-65 y.","West Germany","11691","0.888612059429784","0.883127832883399","0.894096285976169"
"Yes","2012","35-65 y.","East Germany","3443","0.98884438765332","0.985354338365507","0.992334436941133"
"Yes","2012","66 and older","West Germany","3802","0.936386144025251","0.92877976089089","0.943992527159613"
"Yes","2012","66 and older","East Germany","1306","1","1","1"
"No","2012","16-34 y.","West Germany","426","0.106323148324573","0.0977246879177276","0.114921608731418"
"No","2012","16-34 y.","East Germany","18","","",""
"No","2012","35-65 y.","West Germany","951","0.111387940570216","0.105903714023831","0.116872167116601"
"No","2012","35-65 y.","East Germany","36","0.0111556123466798","0.00766556305886697","0.0146456616344927"
"No","2012","66 and older","West Germany","153","0.0636138559747486","0.056007472840387","0.0712202391091101"
"No","2012","66 and older","East Germany","","","",""
"Yes","2013","16-34 y.","West Germany","4189","0.954363480018463","0.94828481728348","0.960442142753446"
"Yes","2013","16-34 y.","East Germany","1199","0.993030677407854","0.988354855947831","0.997706498867876"
"Yes","2013","35-65 y.","West Germany","10864","0.926005548217225","0.921267515686956","0.930743580747494"
"Yes","2013","35-65 y.","East Germany","3270","0.99222745214664","0.989233013678913","0.995221890614366"
"Yes","2013","66 and older","West Germany","3627","0.95148819006524","0.944635556039719","0.958340824090762"
"Yes","2013","66 and older","East Germany","1248","1","1","1"
"No","2013","16-34 y.","West Germany","339","0.0456365199815371","0.0395578572465541","0.0517151827165201"
"No","2013","16-34 y.","East Germany","17","","",""
"No","2013","35-65 y.","West Germany","861","0.0739944517827752","0.0692564192525064","0.0787324843130439"
"No","2013","35-65 y.","East Germany","34","0.00777254785336046","0.00477810938563422","0.0107669863210867"
"No","2013","66 and older","West Germany","149","0.0485118099347595","0.0416591759092381","0.0553644439602809"
"No","2013","66 and older","East Germany","","","",""
"Yes","2014","16-34 y.","West Germany","4457","0.867617319478032","0.858579774060853","0.876654864895211"
"Yes","2014","16-34 y.","East Germany","1128","0.968408274088658","0.958457917295684","0.978358630881632"
"Yes","2014","35-65 y.","West Germany","10611","0.874413449810213","0.868585949457561","0.880240950162865"
"Yes","2014","35-65 y.","East Germany","3085","0.980326470223064","0.975509486931268","0.98514345351486"
"Yes","2014","66 and older","West Germany","3592","0.948096103622386","0.941015896114027","0.955176311130744"
"Yes","2014","66 and older","East Germany","1233","0.998783018953881","0.996841731177255","1.00072430673051"
"No","2014","16-34 y.","West Germany","945","0.132382680521968","0.123345135104789","0.141420225939147"
"No","2014","16-34 y.","East Germany","59","0.0315917259113419","0.0216413691183684","0.0415420827043155"
"No","2014","35-65 y.","West Germany","1811","0.125586550189787","0.119759049837136","0.131414050542439"
"No","2014","35-65 y.","East Germany","108","0.0196735297769358","0.0148565464851398","0.0244905130687319"
"No","2014","66 and older","West Germany","179","0.0519038963776143","0.0448236888692559","0.0589841038859727"
"No","2014","66 and older","East Germany","6","","",""
"Yes","2015","16-34 y.","West Germany","4127","0.853305943197137","0.844028732926502","0.862583153467771"
"Yes","2015","16-34 y.","East Germany","1021","0.937442996318973","0.923391723287105","0.951494269350841"
"Yes","2015","35-65 y.","West Germany","10081","0.873374045927448","0.867471054938726","0.879277036916171"
"Yes","2015","35-65 y.","East Germany","2927","0.975447190481941","0.969972855339832","0.98092152562405"
"Yes","2015","66 and older","West Germany","3551","0.94724182936228","0.940065779673517","0.954417879051043"
"Yes","2015","66 and older","East Germany","1236","0.998800292748616","0.99687436862663","1.0007262168706"
"No","2015","16-34 y.","West Germany","1460","0.146694056802863","0.137416846532229","0.155971267073498"
"No","2015","16-34 y.","East Germany","120","0.0625570036810271","0.0485057306491592","0.0766082767128949"
"No","2015","35-65 y.","West Germany","2111","0.126625954072552","0.120722963083829","0.132528945061274"
"No","2015","35-65 y.","East Germany","143","0.024552809518059","0.01907847437595","0.0300271446601679"
"No","2015","66 and older","West Germany","177","0.0527581706377199","0.0455821209489572","0.0599342203264826"
"No","2015","66 and older","East Germany","5","","",""
"Yes","2016","16-34 y.","West Germany","3724","0.854624054040084","0.84455236960406","0.864695738476108"
"Yes","2016","16-34 y.","East Germany","894","0.932849156495754","0.917203176167591","0.948495136823917"
"Yes","2016","35-65 y.","West Germany","9260","0.863405683614158","0.857005761909594","0.869805605318722"
"Yes","2016","35-65 y.","East Germany","2782","0.971489849291259","0.96543165951871","0.977548039063807"
"Yes","2016","66 and older","West Germany","3428","0.930602081049879","0.922291427837731","0.938912734262027"
"Yes","2016","66 and older","East Germany","1186","0.998462828081332","0.996237882558471","1.00068777360419"
"No","2016","16-34 y.","West Germany","981","0.145375945959916","0.135304261523892","0.15544763039594"
"No","2016","16-34 y.","East Germany","89","0.067150843504246","0.0515048631760829","0.082796823832409"
"No","2016","35-65 y.","West Germany","1801","0.136594316385842","0.130194394681278","0.142994238090406"
"No","2016","35-65 y.","East Germany","117","0.0285101507087413","0.0224519609361925","0.0345683404812901"
"No","2016","66 and older","West Germany","164","0.0693979189501212","0.0610872657379733","0.0777085721622691"
"No","2016","66 and older","East Germany","5","","",""
"Yes","2017","16-34 y.","West Germany","4298","0.83786323783081","0.82870870947948","0.84701776618214"
"Yes","2017","16-34 y.","East Germany","1053","0.925600076733828","0.91166345630324","0.939536697164417"
"Yes","2017","35-65 y.","West Germany","10493","0.854370346644883","0.848354538280068","0.860386155009698"
"Yes","2017","35-65 y.","East Germany","3137","0.962492105052607","0.956202808565154","0.968781401540059"
"Yes","2017","66 and older","West Germany","3621","0.922988186521017","0.914518049315208","0.931458323726825"
"Yes","2017","66 and older","East Germany","1236","0.997073868702061","0.994069882974021","1.0000778544301"
"No","2017","16-34 y.","West Germany","1929","0.16213676216919","0.15298223381786","0.17129129052052"
"No","2017","16-34 y.","East Germany","309","0.0743999232661717","0.0604633028355833","0.0883365436967601"
"No","2017","35-65 y.","West Germany","2714","0.145629653355117","0.139613844990302","0.151645461719932"
"No","2017","35-65 y.","East Germany","369","0.0375078949473933","0.0312185984599405","0.0437971914348461"
"No","2017","66 and older","West Germany","185","0.0770118134789831","0.0685416762731745","0.0854819506847917"
"No","2017","66 and older","East Germany","6","","",""
"Yes","2018","16-34 y.","West Germany","4216","0.822656064510187","0.813535957998236","0.831776171022139"
"Yes","2018","16-34 y.","East Germany","1020","0.924914624948917","0.911020776095023","0.938808473802811"
"Yes","2018","35-65 y.","West Germany","9937","0.847783150091314","0.841616731340219","0.853949568842409"
"Yes","2018","35-65 y.","East Germany","3032","0.95436868320494","0.947388970668686","0.961348395741193"
"Yes","2018","66 and older","West Germany","3619","0.912694847548929","0.903757305918264","0.921632389179594"
"Yes","2018","66 and older","East Germany","1256","0.992407936703423","0.987618952129554","0.997196921277293"
"No","2018","16-34 y.","West Germany","2522","0.177343935489813","0.168223828977861","0.186464042001764"
"No","2018","16-34 y.","East Germany","362","0.0750853750510827","0.0611915261971888","0.0889792239049765"
"No","2018","35-65 y.","West Germany","3100","0.152216849908686","0.146050431157591","0.158383268659781"
"No","2018","35-65 y.","East Germany","402","0.0456313167950605","0.0386516042588071","0.0526110293313138"
"No","2018","66 and older","West Germany","213","0.087305152451071","0.0783676108204057","0.0962426940817364"
"No","2018","66 and older","East Germany","6","","",""
"Yes","2019","16-34 y.","West Germany","3913","0.825347390415334","0.81572535124403","0.834969429586638"
"Yes","2019","16-34 y.","East Germany","915","0.919059496370883","0.903672664067427","0.93444632867434"
