"plj0014_v3","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Yes","2011","Urban Area","13617","0.914820931030705","0.910282195991592","0.919359666069818"
"No","2012","Rural Area","302","0.0489016475455358","0.0446711444639078","0.0531321506271637"
"No","2012","Urban Area","1282","0.0983497090117235","0.0939700082315879","0.102729409791859"
"Yes","2012","Rural Area","9681","0.951098352454464","0.946867849372836","0.955328855536092"
"Yes","2012","Urban Area","16477","0.901650290988276","0.897270590208141","0.906029991768412"
"No","2013","Rural Area","273","0.0297705974535369","0.0263039660708399","0.033237228836234"
"No","2013","Urban Area","1127","0.0609354433789012","0.0572925354714861","0.0645783512863163"
"Yes","2013","Rural Area","8960","0.970229402546463","0.966762771163766","0.97369603392916"
"Yes","2013","Urban Area","15437","0.939064556621099","0.935421648713684","0.942707464528514"
"No","2014","Rural Area","634","0.0556385834162186","0.0509841460248132","0.060293020807624"
"No","2014","Urban Area","2474","0.110089566619003","0.105503881794165","0.114675251443842"
"Yes","2014","Rural Area","8683","0.944361416583781","0.939706979192376","0.949015853975187"
"Yes","2014","Urban Area","15423","0.889910433380997","0.885324748556158","0.894496118205835"
"No","2015","Rural Area","878","0.0553960225682952","0.0507204327852318","0.0600716123513586"
"No","2015","Urban Area","3138","0.11711575475217","0.112387103848413","0.121844405655926"
"Yes","2015","Rural Area","8317","0.944603977431705","0.939928387648641","0.949279567214768"
"Yes","2015","Urban Area","14626","0.88288424524783","0.878155594344074","0.887612896151587"
"No","2016","Rural Area","695","0.0638409291984461","0.0586154495082501","0.0690664088886421"
"No","2016","Urban Area","2462","0.12522888888286","0.120104103832668","0.130353673933052"
"Yes","2016","Rural Area","7713","0.936159070801554","0.930933591111358","0.94138455049175"
"Yes","2016","Urban Area","13561","0.87477111111714","0.869646326066948","0.879895896167332"
"No","2017","Rural Area","1437","0.0733869924088702","0.0683367241641241","0.0784372606536164"
"No","2017","Urban Area","4075","0.135825772054703","0.130968054933136","0.14068348917627"
"Yes","2017","Rural Area","8805","0.92661300759113","0.921562739346384","0.931663275835876"
"Yes","2017","Urban Area","15033","0.864174227945297","0.85931651082373","0.869031945066864"
"No","2018","Rural Area","1625","0.0746232552775368","0.0694927835373956","0.0797537270176781"
"No","2018","Urban Area","4980","0.147881176754156","0.142912405028099","0.152849948480214"
"Yes","2018","Rural Area","8453","0.925376744722463","0.920246272982322","0.930507216462604"
"Yes","2018","Urban Area","14627","0.852118823245844","0.847150051519786","0.857087594971901"
"No","2019","Rural Area","1464","0.0756210040990695","0.0703946901194514","0.0808473180786876"
"No","2019","Urban Area","4103","0.153880771826963","0.148604754880541","0.159156788773386"
"Yes","2019","Rural Area","8367","0.924378995900931","0.919152681921312","0.929605309880549"
"Yes","2019","Urban Area","13865","0.846119228173037","0.840843211226614","0.851395245119459"
