"plj0014_v3","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence","value"
"Yes","1996","35-65 y.","Hamburg","47","0.889275528055897","0.811790499799165","0.96676055631263","1"
"Yes","1996","35-65 y.","Lower Saxony","454","0.941242791497163","0.920912297075623","0.961573285918703","1"
"Yes","1996","35-65 y.","Bremen","29","","","","1"
"Yes","1996","35-65 y.","North Rhine-Westphalia","1055","0.896681699152783","0.880372681042948","0.912990717262617","1"
"Yes","1996","35-65 y.","Hesse","333","0.846759153574175","0.814466676208471","0.87905163093988","1"
"Yes","1996","35-65 y.","Rhineland-Palatinate,Saarland","299","0.920606904178592","0.891827836254641","0.949385972102544","1"
"Yes","1996","35-65 y.","Baden-Württemberg","517","0.842541211318314","0.817686990862603","0.867395431774026","1"
"Yes","1996","35-65 y.","Bavaria","624","0.881497983093463","0.859045463209044","0.903950502977881","1"
"Yes","1996","35-65 y.","Berlin","259","0.922585320199319","0.891879795189652","0.953290845208985","1"
"Yes","1996","35-65 y.","Brandenburg","351","0.996824638546021","0.990947272691892","1.00270200440015","1"
"Yes","1996","35-65 y.","Mecklenburg-Western Pomerania","235","1","1","1","1"
"Yes","1996","35-65 y.","Saxony","613","0.994993151774024","0.98941936957649","1.00056693397156","1"
"Yes","1996","35-65 y.","Saxony-Anhalt","390","1","1","1","1"
"Yes","1996","35-65 y.","Thuringia","353","0.997267470335491","0.991829526356239","1.00270541431474","1"
"Yes","1996","66 and older","Schleswig-Holstein","37","0.996114940275412","0.976335688012556","1.01589419253827","1"
"Yes","1996","66 and older","Hamburg","24","","","","1"
"Yes","1996","66 and older","Lower Saxony","119","0.981341134574777","0.957329551515369","1.00535271763418","1"
"Yes","1996","66 and older","Bremen","27","","","","1"
"Yes","1996","66 and older","North Rhine-Westphalia","259","0.984481834036867","0.969978426888911","0.998985241184824","1"
"Yes","1996","66 and older","Hesse","112","0.958923887146549","0.923850131411355","0.993997642881742","1"
"Yes","1996","66 and older","Rhineland-Palatinate,Saarland","97","0.994306784468749","0.979560347286681","1.00905322165082","1"
"Yes","1996","66 and older","Baden-Württemberg","184","0.982426644629408","0.964440065505972","1.00041322375284","1"
"Yes","1996","66 and older","Bavaria","190","0.979829360293632","0.960247652918278","0.999411067668987","1"
"Yes","1996","66 and older","Berlin","66","1","1","1","1"
"Yes","1996","66 and older","Brandenburg","61","0.980336220032488","0.945776256659093","1.01489618340588","1"
"Yes","1996","66 and older","Mecklenburg-Western Pomerania","32","1","1","1","1"
"Yes","1996","66 and older","Saxony","140","1","1","1","1"
"Yes","1996","66 and older","Saxony-Anhalt","80","1","1","1","1"
"Yes","1996","66 and older","Thuringia","82","1","1","1","1"
"No","1997","16-34 y.","Schleswig-Holstein","4","","","","2"
"No","1997","16-34 y.","Hamburg","8","","","","2"
"No","1997","16-34 y.","Lower Saxony","66","0.0779277644044676","0.0518212337949315","0.104034295014004","2"
"No","1997","16-34 y.","Bremen","6","","","","2"
"No","1997","16-34 y.","North Rhine-Westphalia","255","0.146656092329204","0.123833795942871","0.169478388715536","2"
"No","1997","16-34 y.","Baden-Württemberg","283","0.199865549741455","0.17030442973218","0.229426669750729","2"
"No","1997","16-34 y.","Bavaria","126","0.135857862049696","0.109186914729672","0.16252880936972","2"
"No","1997","35-65 y.","Baden-Württemberg","308","0.159744685322757","0.134729522830085","0.184759847815429","2"
"No","1997","35-65 y.","Brandenburg","1","","","","2"
"No","1997","35-65 y.","Mecklenburg-Western Pomerania","","","","","2"
"No","1997","35-65 y.","Saxony-Anhalt","","","","","2"
"No","1997","16-34 y.","Hesse","96","0.205114531513084","0.158317794952198","0.251911268073971","2"
"No","1997","16-34 y.","Rhineland-Palatinate,Saarland","50","0.135129924072665","0.0934151937879507","0.17684465435738","2"
"No","1997","35-65 y.","Bavaria","158","0.116319879636845","0.0939631095847191","0.138676649688971","2"
"No","1997","35-65 y.","Berlin","26","","","","2"
"No","1997","35-65 y.","Saxony","3","","","","2"
"No","1997","16-34 y.","Berlin","24","","","","2"
"No","1997","16-34 y.","Brandenburg","","","","","2"
"No","1997","16-34 y.","Mecklenburg-Western Pomerania","","","","","2"
"No","1997","16-34 y.","Saxony","2","","","","2"
"No","1997","16-34 y.","Saxony-Anhalt","","","","","2"
"No","1997","35-65 y.","Hamburg","15","","","","2"
"No","1997","35-65 y.","Lower Saxony","60","0.0678252301758229","0.0459596731692515","0.0896907871823943","2"
"No","1997","35-65 y.","Bremen","7","","","","2"
"No","1997","35-65 y.","North Rhine-Westphalia","248","0.0937233063585949","0.0779351116354167","0.109511501081773","2"
"No","1997","35-65 y.","Hesse","135","0.178556126477051","0.143443257460944","0.213668995493158","2"
"No","1997","35-65 y.","Rhineland-Palatinate,Saarland","40","0.0622003423509705","0.0368251179519736","0.0875755667499674","2"
"No","1997","16-34 y.","Thuringia","2","","","","2"
"No","1997","35-65 y.","Schleswig-Holstein","5","","","","2"
"No","1997","35-65 y.","Thuringia","1","","","","2"
"No","1997","66 and older","Schleswig-Holstein","1","","","","2"
"No","1997","66 and older","Hamburg","2","","","","2"
"No","1997","66 and older","Lower Saxony","2","","","","2"
"No","1997","66 and older","Bremen","","","","","2"
"No","1997","66 and older","North Rhine-Westphalia","25","","","","2"
"No","1997","66 and older","Hesse","13","","","","2"
"No","1997","66 and older","Rhineland-Palatinate,Saarland","7","","","","2"
"No","1997","66 and older","Brandenburg","2","","","","2"
"No","1997","66 and older","Baden-Württemberg","19","","","","2"
"No","1997","66 and older","Bavaria","12","","","","2"
"No","1997","66 and older","Berlin","","","","","2"
"No","1997","66 and older","Mecklenburg-Western Pomerania","","","","","2"
"No","1997","66 and older","Saxony","","","","","2"
"No","1997","66 and older","Saxony-Anhalt","","","","","2"
"No","1997","66 and older","Thuringia","","","","","2"
"Yes","1997","16-34 y.","Schleswig-Holstein","94","0.97792953484842","0.948842826407831","1.00701624328901","1"
"Yes","1997","16-34 y.","Hamburg","30","0.856814117071178","0.745448866042102","0.968179368100255","1"
"Yes","1997","16-34 y.","Lower Saxony","339","0.922072235595533","0.895965704985996","0.948178766205069","1"
"Yes","1997","16-34 y.","Bremen","24","","","","1"
"Yes","1997","16-34 y.","North Rhine-Westphalia","668","0.853343907670796","0.830521611284464","0.876166204057129","1"
"Yes","1997","16-34 y.","Hesse","190","0.794885468486916","0.748088731926029","0.841682205047802","1"
"Yes","1997","16-34 y.","Rhineland-Palatinate,Saarland","208","0.864870075927335","0.82315534564262","0.906584806212049","1"
"Yes","1997","16-34 y.","Baden-Württemberg","420","0.800134450258545","0.770573330249271","0.82969557026782","1"
"Yes","1997","16-34 y.","Bavaria","508","0.864142137950304","0.83747119063028","0.890813085270328","1"
"Yes","1997","16-34 y.","Berlin","138","0.7960641077663","0.734018443425573","0.858109772107026","1"
"Yes","1997","16-34 y.","Brandenburg","191","1","1","1","1"
"Yes","1997","16-34 y.","Mecklenburg-Western Pomerania","129","1","1","1","1"
"Yes","1997","16-34 y.","Saxony","341","0.98989288789074","0.979307453749527","1.00047832203195","1"
"Yes","1997","16-34 y.","Saxony-Anhalt","206","1","1","1","1"
"Yes","1997","16-34 y.","Thuringia","227","0.989002366455743","0.975494752584597","1.00250998032689","1"
"Yes","1997","35-65 y.","Schleswig-Holstein","131","0.969634833334319","0.940796472217017","0.99847319445162","1"
"Yes","1997","35-65 y.","Hamburg","47","0.909788783086572","0.838478394018657","0.981099172154487","1"
"Yes","1997","35-65 y.","Lower Saxony","448","0.932174769824177","0.910309212817606","0.954040326830748","1"
"Yes","1997","35-65 y.","Bremen","29","","","","1"
"Yes","1997","35-65 y.","North Rhine-Westphalia","1061","0.906276693641405","0.890488498918227","0.922064888364583","1"
"Yes","1997","35-65 y.","Hesse","322","0.821443873522949","0.786331004506842","0.856556742539056","1"
"Yes","1997","35-65 y.","Rhineland-Palatinate,Saarland","308","0.93779965764903","0.912424433250033","0.963174882048026","1"
"Yes","1997","35-65 y.","Baden-Württemberg","516","0.840255314677243","0.815240152184571","0.865270477169915","1"
"Yes","1997","35-65 y.","Bavaria","632","0.883680120363155","0.861323350311029","0.906036890415281","1"
"Yes","1997","35-65 y.","Berlin","262","0.926539384918282","0.896408556681296","0.956670213155267","1"
"Yes","1997","35-65 y.","Brandenburg","341","0.993146655166318","0.984402999983618","1.00189031034902","1"
"Yes","1997","35-65 y.","Mecklenburg-Western Pomerania","228","1","1","1","1"
"Yes","1997","35-65 y.","Saxony","605","0.99486414301377","0.98918235990396","1.00054592612358","1"
"Yes","1997","35-65 y.","Saxony-Anhalt","378","1","1","1","1"
"Yes","1997","35-65 y.","Thuringia","351","0.997405821346054","0.992091930253948","1.00271971243816","1"
"Yes","1997","66 and older","Schleswig-Holstein","37","0.995510566930714","0.974254888045116","1.01676624581631","1"
"Yes","1997","66 and older","Hamburg","23","","","","1"
"Yes","1997","66 and older","Lower Saxony","130","0.990740572916668","0.974401283790481","1.00707986204285","1"
"Yes","1997","66 and older","Bremen","28","","","","1"
"Yes","1997","66 and older","North Rhine-Westphalia","265","0.965669667409281","0.944713956792831","0.98662537802573","1"
"Yes","1997","66 and older","Hesse","100","0.94402225808143","0.901637698561581","0.986406817601279","1"
"Yes","1997","66 and older","Rhineland-Palatinate,Saarland","102","0.980804757555573","0.955046117830404","1.00656339728074","1"
"Yes","1997","66 and older","Baden-Württemberg","179","0.979742061484146","0.960118899138987","0.999365223829305","1"
"Yes","1997","66 and older","Bavaria","196","0.961904323976964","0.935889541170487","0.987919106783441","1"
"Yes","1997","66 and older","Berlin","63","1","1","1","1"
"Yes","1997","66 and older","Brandenburg","65","0.967869835396065","0.9256442535792","1.01009541721293","1"
"Yes","1997","66 and older","Mecklenburg-Western Pomerania","34","1","1","1","1"
"Yes","1997","66 and older","Saxony","142","1","1","1","1"
"Yes","1997","66 and older","Saxony-Anhalt","85","1","1","1","1"
"Yes","1997","66 and older","Thuringia","81","1","1","1","1"
"No","1998","16-34 y.","Schleswig-Holstein","10","","","","2"
"No","1998","16-34 y.","Hamburg","7","","","","2"
"No","1998","16-34 y.","Lower Saxony","57","0.0857697471299325","0.0600398972842129","0.111499596975652","2"
"No","1998","35-65 y.","Brandenburg","1","","","","2"
"No","1998","35-65 y.","Saxony-Anhalt","","","","","2"
"No","1998","16-34 y.","North Rhine-Westphalia","230","0.154063056646949","0.131460721826615","0.176665391467283","2"
"No","1998","16-34 y.","Hesse","91","0.209130313735634","0.164147747695007","0.25411287977626","2"
"No","1998","16-34 y.","Bremen","7","","","","2"
"No","1998","35-65 y.","Baden-Württemberg","296","0.17074990820016","0.146261111205279","0.195238705195041","2"
"No","1998","35-65 y.","Bavaria","154","0.117373198504532","0.0968518823127501","0.137894514696314","2"
"No","1998","35-65 y.","Berlin","19","","","","2"
"No","1998","35-65 y.","Mecklenburg-Western Pomerania","","","","","2"
"No","1998","35-65 y.","Saxony","1","","","","2"
"No","1998","16-34 y.","Rhineland-Palatinate,Saarland","47","0.163967219790242","0.119305412110714","0.208629027469769","2"
"No","1998","16-34 y.","Baden-Württemberg","262","0.198002674799276","0.168670317810928","0.227335031787624","2"
"No","1998","16-34 y.","Bavaria","112","0.136909955071808","0.110584674491091","0.163235235652526","2"
"No","1998","16-34 y.","Berlin","23","","","","2"
"No","1998","16-34 y.","Brandenburg","","","","","2"
"No","1998","16-34 y.","Mecklenburg-Western Pomerania","","","","","2"
"No","1998","16-34 y.","Saxony","2","","","","2"
"No","1998","35-65 y.","Hamburg","14","","","","2"
"No","1998","35-65 y.","Lower Saxony","51","0.0523303902255861","0.0345116117236773","0.0701491687274948","2"
"No","1998","35-65 y.","North Rhine-Westphalia","248","0.103697934404544","0.0883715911307446","0.119024277678343","2"
"No","1998","35-65 y.","Hesse","122","0.153571753751652","0.122281163987112","0.184862343516191","2"
"No","1998","35-65 y.","Rhineland-Palatinate,Saarland","39","0.0582166359343369","0.0355792518026464","0.0808540200660275","2"
"No","1998","16-34 y.","Saxony-Anhalt","","","","","2"
"No","1998","16-34 y.","Thuringia","2","","","","2"
"No","1998","35-65 y.","Schleswig-Holstein","9","","","","2"
"No","1998","35-65 y.","Bremen","5","","","","2"
"No","1998","35-65 y.","Thuringia","1","","","","2"
"No","1998","66 and older","Schleswig-Holstein","1","","","","2"
"No","1998","66 and older","Hamburg","2","","","","2"
"No","1998","66 and older","Lower Saxony","2","","","","2"
"No","1998","66 and older","Bremen","","","","","2"
"No","1998","66 and older","North Rhine-Westphalia","20","","","","2"
"No","1998","66 and older","Hesse","14","","","","2"
"No","1998","66 and older","Rhineland-Palatinate,Saarland","7","","","","2"
"No","1998","66 and older","Baden-Württemberg","17","","","","2"
"No","1998","66 and older","Bavaria","12","","","","2"
"No","1998","66 and older","Berlin","1","","","","2"
"No","1998","66 and older","Brandenburg","2","","","","2"
"No","1998","66 and older","Mecklenburg-Western Pomerania","","","","","2"
"No","1998","66 and older","Saxony","","","","","2"
"No","1998","66 and older","Saxony-Anhalt","1","","","","2"
"No","1998","66 and older","Thuringia","","","","","2"
"Yes","1998","16-34 y.","Schleswig-Holstein","105","0.939246923643994","0.89558798250118","0.982905864786808","1"
"Yes","1998","16-34 y.","Hamburg","43","0.931067578658444","0.860846829603344","1.00128832771354","1"
"Yes","1998","16-34 y.","Lower Saxony","398","0.914230252870068","0.888500403024348","0.939960102715787","1"
"Yes","1998","16-34 y.","Bremen","30","0.670568132782433","0.519124336288077","0.822011929276789","1"
"Yes","1998","16-34 y.","North Rhine-Westphalia","750","0.845936943353051","0.823334608532717","0.868539278173385","1"
"Yes","1998","16-34 y.","Hesse","223","0.790869686264366","0.74588712022374","0.835852252304993","1"
"Yes","1998","16-34 y.","Rhineland-Palatinate,Saarland","217","0.836032780209758","0.791370972530231","0.880694587889286","1"
"Yes","1998","16-34 y.","Baden-Württemberg","447","0.801997325200724","0.772664968212376","0.831329682189072","1"
"Yes","1998","16-34 y.","Bavaria","543","0.863090044928192","0.836764764347474","0.889415325508909","1"
"Yes","1998","16-34 y.","Berlin","141","0.809463034666107","0.749357522884764","0.869568546447451","1"
"Yes","1998","16-34 y.","Brandenburg","189","1","1","1","1"
"Yes","1998","16-34 y.","Mecklenburg-Western Pomerania","138","1","1","1","1"
"Yes","1998","16-34 y.","Saxony","370","0.992933073423356","0.984420675854037","1.00144547099267","1"
"Yes","1998","16-34 y.","Saxony-Anhalt","203","1","1","1","1"
"Yes","1998","16-34 y.","Thuringia","238","0.992480047134881","0.981550279686292","1.00340981458347","1"
"Yes","1998","35-65 y.","Schleswig-Holstein","176","0.957382036359402","0.928274783995081","0.986489288723723","1"
"Yes","1998","35-65 y.","Hamburg","64","0.926352368853326","0.868387041997587","0.984317695709064","1"
"Yes","1998","35-65 y.","Lower Saxony","549","0.947669609774414","0.929850831272505","0.965488388276323","1"
"Yes","1998","35-65 y.","Bremen","33","0.871774549568887","0.765471554112198","0.978077545025575","1"
"Yes","1998","35-65 y.","North Rhine-Westphalia","1272","0.896302065595456","0.880975722321656","0.911628408869255","1"
"Yes","1998","35-65 y.","Hesse","388","0.846428246248348","0.815137656483809","0.877718836012887","1"
"Yes","1998","35-65 y.","Rhineland-Palatinate,Saarland","372","0.941783364065663","0.919145979933973","0.964420748197354","1"
"Yes","1998","35-65 y.","Baden-Württemberg","611","0.82925009179984","0.804761294804959","0.853738888794721","1"
"Yes","1998","35-65 y.","Bavaria","791","0.882626801495468","0.862105485303686","0.90314811768725","1"
"Yes","1998","35-65 y.","Berlin","280","0.936026228526363","0.908289356462687","0.963763100590039","1"
"Yes","1998","35-65 y.","Brandenburg","365","0.983022845394549","0.969787910611013","0.996257780178086","1"
"Yes","1998","35-65 y.","Mecklenburg-Western Pomerania","234","1","1","1","1"
"Yes","1998","35-65 y.","Saxony","661","0.998878793423843","0.996329508891243","1.00142807795644","1"
"Yes","1998","35-65 y.","Saxony-Anhalt","399","1","1","1","1"
"Yes","1998","35-65 y.","Thuringia","396","0.998340031182392","0.994335588834893","1.00234447352989","1"
"Yes","1998","66 and older","Schleswig-Holstein","55","0.995528080316712","0.978052651869532","1.01300350876389","1"
"Yes","1998","66 and older","Hamburg","24","","","","1"
"Yes","1998","66 and older","Lower Saxony","148","0.993625803449376","0.980889992095509","1.00636161480324","1"
"Yes","1998","66 and older","Bremen","26","","","","1"
"Yes","1998","66 and older","North Rhine-Westphalia","338","0.968316297982222","0.95017229291147","0.986460303052974","1"
"Yes","1998","66 and older","Hesse","115","0.939483604677628","0.898336965877187","0.980630243478069","1"
"Yes","1998","66 and older","Rhineland-Palatinate,Saarland","125","0.975463763697937","0.94907186298683","1.00185566440904","1"
"Yes","1998","66 and older","Baden-Württemberg","198","0.983927780531852","0.967118528089304","1.0007370329744","1"
"Yes","1998","66 and older","Bavaria","267","0.962544910094818","0.940265078069796","0.984824742119841","1"
"Yes","1998","66 and older","Berlin","68","0.996628527617891","0.982951239172066","1.01030581606372","1"
"Yes","1998","66 and older","Brandenburg","67","0.974272623517262","0.936916522063092","1.01162872497143","1"
"Yes","1998","66 and older","Mecklenburg-Western Pomerania","39","1","1","1","1"
"Yes","1998","66 and older","Saxony","154","1","1","1","1"
"Yes","1998","66 and older","Saxony-Anhalt","90","0.987758048078832","0.965164833966342","1.01035126219132","1"
"Yes","1998","66 and older","Thuringia","98","1","1","1","1"
"No","1999","35-65 y.","Saxony-Anhalt","","","","","2"
"No","1999","35-65 y.","Mecklenburg-Western Pomerania","","","","","2"
"No","1999","16-34 y.","Hamburg","9","","","","2"
"No","1999","16-34 y.","Schleswig-Holstein","10","","","","2"
"No","1999","16-34 y.","North Rhine-Westphalia","213","0.145728115077516","0.123039396698048","0.168416833456984","2"
"No","1999","35-65 y.","Brandenburg","","","","","2"
"No","1999","35-65 y.","Saxony","2","","","","2"
"No","1999","16-34 y.","Lower Saxony","51","0.0749087647467391","0.0502838672255108","0.0995336622679674","2"
"No","1999","16-34 y.","Bremen","4","","","","2"
"No","1999","16-34 y.","Hesse","71","0.152885367630384","0.111177390461718","0.19459334479905","2"
"No","1999","16-34 y.","Rhineland-Palatinate,Saarland","38","0.122507782667634","0.0816191026489676","0.163396462686301","2"
"No","1999","16-34 y.","Baden-Württemberg","252","0.236935107631205","0.204544839664415","0.269325375597994","2"
"No","1999","16-34 y.","Bavaria","100","0.13272084204708","0.105686274754662","0.159755409339498","2"
"No","1999","16-34 y.","Brandenburg","","","","","2"
"No","1999","16-34 y.","Mecklenburg-Western Pomerania","","","","","2"
"No","1999","35-65 y.","Hamburg","14","","","","2"
"No","1999","35-65 y.","North Rhine-Westphalia","224","0.101280393673345","0.0857782630183093","0.116782524328382","2"
"No","1999","35-65 y.","Hesse","102","0.153800980502664","0.121694475480468","0.18590748552486","2"
"No","1999","35-65 y.","Rhineland-Palatinate,Saarland","33","0.0554324489762978","0.0330362432225451","0.0778286547300505","2"
"No","1999","35-65 y.","Baden-Württemberg","280","0.18660378529574","0.160655991191942","0.212551579399538","2"
"No","1999","35-65 y.","Bavaria","138","0.122123718599364","0.101045937419454","0.143201499779275","2"
"No","1999","35-65 y.","Berlin","22","","","","2"
"No","1999","35-65 y.","Thuringia","","","","","2"
"No","1999","66 and older","Schleswig-Holstein","1","","","","2"
"No","1999","66 and older","Hamburg","2","","","","2"
"No","1999","66 and older","Lower Saxony","3","","","","2"
"No","1999","16-34 y.","Berlin","17","","","","2"
"No","1999","16-34 y.","Saxony","3","","","","2"
"No","1999","16-34 y.","Saxony-Anhalt","","","","","2"
"No","1999","16-34 y.","Thuringia","2","","","","2"
"No","1999","35-65 y.","Schleswig-Holstein","8","","","","2"
"No","1999","35-65 y.","Lower Saxony","50","0.0581478215931848","0.039232334647236","0.0770633085391335","2"
"No","1999","35-65 y.","Bremen","2","","","","2"
"No","1999","66 and older","Bremen","1","","","","2"
"No","1999","66 and older","North Rhine-Westphalia","21","","","","2"
"No","1999","66 and older","Hesse","14","","","","2"
"No","1999","66 and older","Rhineland-Palatinate,Saarland","7","","","","2"
"No","1999","66 and older","Baden-Württemberg","25","","","","2"
"No","1999","66 and older","Bavaria","14","","","","2"
"No","1999","66 and older","Berlin","","","","","2"
"No","1999","66 and older","Brandenburg","1","","","","2"
"No","1999","66 and older","Saxony-Anhalt","1","","","","2"
"No","1999","66 and older","Thuringia","","","","","2"
"No","1999","66 and older","Mecklenburg-Western Pomerania","","","","","2"
"No","1999","66 and older","Saxony","","","","","2"
"Yes","1999","16-34 y.","Schleswig-Holstein","93","0.921305764262432","0.869305825302694","0.97330570322217","1"
"Yes","1999","16-34 y.","Hamburg","41","0.879275610946042","0.788968258438283","0.9695829634538","1"
"Yes","1999","16-34 y.","Lower Saxony","388","0.925091235253261","0.900466337732033","0.949716132774489","1"
"Yes","1999","16-34 y.","Bremen","27","","","","1"
"Yes","1999","16-34 y.","North Rhine-Westphalia","716","0.854271884922484","0.831583166543016","0.876960603301952","1"
"Yes","1999","16-34 y.","Hesse","215","0.847114632369616","0.80540665520095","0.888822609538282","1"
"Yes","1999","16-34 y.","Rhineland-Palatinate,Saarland","209","0.877492217332366","0.836603537313699","0.918380897351032","1"
"Yes","1999","16-34 y.","Baden-Württemberg","410","0.763064892368795","0.730674624402006","0.795455160335585","1"
"Yes","1999","16-34 y.","Bavaria","505","0.86727915795292","0.840244590660502","0.894313725245338","1"
"Yes","1999","16-34 y.","Berlin","136","0.862803759063872","0.808287067006891","0.917320451120853","1"
"Yes","1999","16-34 y.","Brandenburg","179","1","1","1","1"
"Yes","1999","35-65 y.","Lower Saxony","538","0.941852178406815","0.922936691460866","0.960767665352764","1"
"Yes","1999","35-65 y.","Bremen","32","0.904692825658148","0.805991723440087","1.00339392787621","1"
"Yes","1999","35-65 y.","North Rhine-Westphalia","1231","0.898719606326655","0.883217475671618","0.914221736981691","1"
"Yes","1999","35-65 y.","Hesse","383","0.846199019497336","0.81409251447514","0.878305524519532","1"
"Yes","1999","35-65 y.","Rhineland-Palatinate,Saarland","368","0.944567551023702","0.922171345269949","0.966963756777455","1"
"Yes","1999","35-65 y.","Baden-Württemberg","586","0.81339621470426","0.787448420600462","0.839344008808058","1"
"Yes","1999","35-65 y.","Bavaria","789","0.877876281400636","0.856798500220725","0.898954062580546","1"
"Yes","1999","35-65 y.","Berlin","274","0.916646094814984","0.885156573588493","0.948135616041475","1"
"Yes","1999","35-65 y.","Brandenburg","349","1","1","1","1"
"Yes","1999","35-65 y.","Mecklenburg-Western Pomerania","221","1","1","1","1"
"Yes","1999","35-65 y.","Saxony","644","0.995422753447682","0.99021754930251","1.00062795759285","1"
"Yes","1999","35-65 y.","Saxony-Anhalt","396","1","1","1","1"
"Yes","1999","35-65 y.","Thuringia","396","1","1","1","1"
"Yes","1999","66 and older","Schleswig-Holstein","41","0.993875177108575","0.970279299478747","1.0174710547384","1"
"Yes","1999","66 and older","Hamburg","17","","","","1"
"Yes","1999","66 and older","Lower Saxony","146","0.986389570081169","0.967785193814274","1.00499394634806","1"
"Yes","1999","66 and older","Bremen","23","","","","1"
