"plj0014_v3","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Yes","1997","Not Working","Rural Area","1492","0.971202572305091","0.962943342079568","0.979461802530613","1"
"Yes","1997","Not Working","Urban Area","2480","0.893160566224523","0.882417248911673","0.903903883537374","1"
"No","1998","Full Time","Rural Area","98","0.0294608422843718","0.0222424264262441","0.0366792581424994","2"
"No","1998","Full Time","Urban Area","626","0.109411885048042","0.0996137781972172","0.119209991898867","2"
"No","1998","Not Working","Rural Area","84","0.0325439996278095","0.0243875299503578","0.0407004693052612","2"
"No","1998","Not Working","Urban Area","648","0.0984235463457653","0.0887210248490696","0.108126067842461","2"
"No","1998","Part Time","Rural Area","44","0.0304796630737093","0.0195998275461722","0.0413594986012464","2"
"No","1998","Part Time","Urban Area","389","0.139092821685803","0.123622408159955","0.154563235211652","2"
"Yes","1998","Part Time","Rural Area","915","0.969520336926291","0.958640501398754","0.980400172453828","1"
"Yes","1998","Part Time","Urban Area","1533","0.860907178314197","0.845436764788348","0.876377591840045","1"
"Yes","1998","Full Time","Rural Area","2010","0.970539157715628","0.9633207418575","0.977757573573756","1"
"Yes","1998","Full Time","Urban Area","3273","0.890588114951958","0.880790008101134","0.900386221802783","1"
"Yes","1998","Not Working","Rural Area","1734","0.96745600037219","0.959299530694739","0.975612470049642","1"
"Yes","1998","Not Working","Urban Area","2973","0.901576453654235","0.891873932157539","0.91127897515093","1"
"No","1999","Full Time","Rural Area","85","0.0255383523013674","0.0187144558388587","0.0323622487638761","2"
"No","1999","Full Time","Urban Area","603","0.114498266595825","0.104371640506382","0.124624892685268","2"
"No","1999","Not Working","Rural Area","76","0.0307933787869881","0.0225568997574286","0.0390298578165477","2"
"No","1999","Not Working","Urban Area","593","0.0967740884304155","0.0866531366671949","0.106895040193636","2"
"No","1999","Part Time","Rural Area","40","0.0267201389907581","0.0166492409120634","0.0367910370694528","2"
"No","1999","Part Time","Urban Area","338","0.133783252560953","0.118727879809423","0.148838625312484","2"
"Yes","1999","Part Time","Rural Area","945","0.973279861009242","0.963208962930547","0.983350759087937","1"
"Yes","1999","Part Time","Urban Area","1626","0.866216747439047","0.851161374687516","0.881272120190577","1"
"Yes","1999","Full Time","Rural Area","1968","0.974461647698633","0.967637751236124","0.981285544161141","1"
"Yes","1999","Full Time","Urban Area","3195","0.885501733404175","0.875375107314732","0.895628359493618","1"
"Yes","1999","Not Working","Rural Area","1614","0.969206621213012","0.960970142183452","0.977443100242571","1"
"Yes","1999","Not Working","Urban Area","2685","0.903225911569584","0.893104959806364","0.913346863332805","1"
"No","2000","Full Time","Rural Area","107","0.0261932676929906","0.0209366069110048","0.0314499284749764","2"
"No","2000","Full Time","Urban Area","804","0.11075453512467","0.10315617985184","0.1183528903975","2"
"No","2000","Not Working","Rural Area","113","0.0286838330022445","0.0227803667598428","0.0345872992446461","2"
"No","2000","Not Working","Urban Area","774","0.0966041434723978","0.0891279284324502","0.104080358512346","2"
"No","2000","Part Time","Rural Area","57","0.0299449801884869","0.0218143900556295","0.0380755703213443","2"
"No","2000","Part Time","Urban Area","476","0.127907868121624","0.116694705714852","0.139121030528396","2"
"Yes","2000","Full Time","Rural Area","3439","0.97380673230701","0.968550071525024","0.979063393088995","1"
"Yes","2000","Part Time","Rural Area","1631","0.970055019811513","0.961924429678656","0.97818560994437","1"
"Yes","2000","Part Time","Urban Area","2932","0.872092131878376","0.860878969471604","0.883305294285148","1"
"Yes","2000","Full Time","Urban Area","5749","0.88924546487533","0.8816471096025","0.89684382014816","1"
"Yes","2000","Not Working","Rural Area","2958","0.971316166997755","0.965412700755354","0.977219633240157","1"
"Yes","2000","Not Working","Urban Area","5224","0.903395856527602","0.895919641487654","0.91087207156755","1"
"No","2001","Full Time","Rural Area","95","0.0257338708748318","0.0202008782315046","0.031266863518159","2"
"No","2001","Full Time","Urban Area","719","0.107023420445892","0.0991610975442691","0.114885743347514","2"
"No","2001","Not Working","Rural Area","82","0.0255678562544337","0.0197297432360706","0.0314059692727968","2"
"No","2001","Not Working","Urban Area","658","0.0944892257470515","0.0866372001624521","0.102341251331651","2"
"No","2001","Part Time","Rural Area","68","0.0401860255680383","0.0304990525846092","0.0498729985514675","2"
"No","2001","Part Time","Urban Area","422","0.125974474140414","0.114583978393214","0.137364969887615","2"
"Yes","2001","Full Time","Rural Area","3051","0.974266129125168","0.968733136481841","0.979799121768495","1"
"Yes","2001","Full Time","Urban Area","5220","0.892976579554108","0.885114256652486","0.900838902455731","1"
"Yes","2001","Part Time","Rural Area","1511","0.959813974431962","0.950127001448533","0.969500947415391","1"
"Yes","2001","Part Time","Urban Area","2838","0.874025525859585","0.862635030112385","0.885416021606786","1"
"Yes","2001","Not Working","Rural Area","2726","0.974432143745566","0.968594030727203","0.98027025676393","1"
"Yes","2001","Not Working","Urban Area","4673","0.905510774252949","0.897658748668349","0.913362799837548","1"
"No","2002","Full Time","Rural Area","82","0.0250562011189817","0.0196298928415148","0.0304825093964486","2"
"No","2002","Full Time","Urban Area","671","0.108464352396776","0.100850583161188","0.116078121632363","2"
"No","2002","Not Working","Rural Area","86","0.0278071971827583","0.0217430385445062","0.0338713558210104","2"
"No","2002","Not Working","Urban Area","613","0.0953960313742152","0.08762185886708","0.10317020388135","2"
"No","2002","Part Time","Rural Area","58","0.0427659897787546","0.0330299302145563","0.0525020493429529","2"
"No","2002","Part Time","Urban Area","390","0.114221585875905","0.103822487329749","0.124620684422061","2"
"Yes","2002","Full Time","Rural Area","3105","0.974943798881018","0.969517490603551","0.980370107158485","1"
"Yes","2002","Full Time","Urban Area","5737","0.891535647603224","0.883921878367637","0.899149416838812","1"
"Yes","2002","Part Time","Rural Area","1601","0.957234010221245","0.947497950657047","0.966970069785444","1"
"Yes","2002","Part Time","Urban Area","3204","0.885778414124095","0.875379315577939","0.896177512670251","1"
"Yes","2002","Not Working","Rural Area","2738","0.972192802817242","0.96612864417899","0.978256961455494","1"
"Yes","2002","Not Working","Urban Area","4872","0.904603968625785","0.89682979611865","0.91237814113292","1"
"No","2003","Not Working","Rural Area","74","0.0275376158514784","0.0214347218323468","0.0336405098706099","2"
"No","2003","Not Working","Urban Area","601","0.101216633841453","0.0932141543055994","0.109219113377307","2"
"No","2003","Full Time","Rural Area","81","0.0295487625239387","0.0234871414417758","0.0356103836061016","2"
"No","2003","Full Time","Urban Area","574","0.106502823753968","0.098654717344988","0.114350930162948","2"
"No","2003","Part Time","Rural Area","53","0.038361283657974","0.0289206300170884","0.0478019372988596","2"
"No","2003","Part Time","Urban Area","358","0.110368374311111","0.100067935704472","0.120668812917749","2"
"Yes","2003","Full Time","Rural Area","2917","0.970451237476061","0.964389616393898","0.976512858558224","1"
"Yes","2003","Full Time","Urban Area","5361","0.893497176246032","0.885649069837052","0.901345282655012","1"
"Yes","2003","Part Time","Rural Area","1537","0.961638716342026","0.95219806270114","0.971079369982912","1"
"Yes","2003","Part Time","Urban Area","3197","0.889631625688889","0.879331187082251","0.899932064295528","1"
"Yes","2003","Not Working","Rural Area","2688","0.972462384148522","0.96635949012939","0.978565278167653","1"
"Yes","2003","Not Working","Urban Area","4856","0.898783366158547","0.890780886622693","0.9067858456944","1"
"No","2004","Not Working","Rural Area","76","0.0319316922781478","0.0253712033066682","0.0384921812496274","2"
"No","2004","Not Working","Urban Area","570","0.100253574693831","0.0922893686139493","0.108217780773712","2"
"No","2004","Full Time","Rural Area","77","0.0329283189918622","0.0263444118137936","0.0395122261699308","2"
"No","2004","Full Time","Urban Area","525","0.101156992844256","0.0932993030665148","0.109014682621998","2"
"No","2004","Part Time","Rural Area","49","0.0373743238199785","0.0281178345911821","0.046630813048775","2"
"No","2004","Part Time","Urban Area","331","0.118025468673387","0.107210769844432","0.128840167502342","2"
"Yes","2004","Full Time","Rural Area","2745","0.967071681008138","0.960487773830069","0.973655588186206","1"
"Yes","2004","Full Time","Urban Area","5132","0.898843007155744","0.890985317378002","0.906700696933485","1"
"Yes","2004","Part Time","Rural Area","1564","0.962625676180021","0.953369186951225","0.971882165408818","1"
"Yes","2004","Part Time","Urban Area","3088","0.881974531326613","0.871159832497658","0.892789230155568","1"
"Yes","2004","Not Working","Rural Area","2683","0.968068307721852","0.961507818750373","0.974628796693332","1"
"Yes","2004","Not Working","Urban Area","4893","0.899746425306169","0.891782219226288","0.907710631386051","1"
"No","2005","Not Working","Rural Area","67","0.0291881194406999","0.0228090578335403","0.0355671810478595","2"
"No","2005","Not Working","Urban Area","540","0.102901290076324","0.0946857979711219","0.111116782181526","2"
"No","2005","Full Time","Rural Area","66","0.0331816822055287","0.0263545391914436","0.0400088252196139","2"
"No","2005","Full Time","Urban Area","499","0.10305936118671","0.0949569333044588","0.111161789068961","2"
"No","2005","Part Time","Rural Area","49","0.0534163229903142","0.0422614882719413","0.0645711577086871","2"
"No","2005","Part Time","Urban Area","323","0.126995298683727","0.115581170541872","0.138409426825582","2"
"Yes","2005","Full Time","Rural Area","2578","0.966818317794471","0.959991174780386","0.973645460808556","1"
"Yes","2005","Full Time","Urban Area","4910","0.89694063881329","0.888838210931039","0.905043066695541","1"
"Yes","2005","Part Time","Rural Area","1512","0.946583677009686","0.935428842291313","0.957738511728059","1"
"Yes","2005","Part Time","Urban Area","2946","0.873004701316273","0.861590573174418","0.884418829458128","1"
"Yes","2005","Not Working","Rural Area","2608","0.9708118805593","0.964432818952141","0.97719094216646","1"
"Yes","2005","Not Working","Urban Area","4714","0.897098709923676","0.888883217818474","0.905314202028878","1"
"No","2006","Not Working","Rural Area","75","0.0324644419294526","0.0260624278277867","0.0388664560311185","2"
"No","2006","Not Working","Urban Area","542","0.116044549292112","0.107695516623158","0.124393581961067","2"
"No","2006","Full Time","Rural Area","62","0.0368081160963372","0.029831377708588","0.0437848544840864","2"
"No","2006","Full Time","Urban Area","457","0.103081591155687","0.0951537952131855","0.111009387098189","2"
"No","2006","Part Time","Rural Area","53","0.0412381240729467","0.0317355793115975","0.050740668834296","2"
"No","2006","Part Time","Urban Area","281","0.108858952272762","0.0983134765445659","0.119404428000958","2"
"Yes","2006","Full Time","Rural Area","2736","0.963191883903663","0.956215145515913","0.970168622291412","1"
"Yes","2006","Full Time","Urban Area","5194","0.896918408844313","0.888990612901811","0.904846204786814","1"
"Yes","2006","Part Time","Rural Area","1629","0.958761875927053","0.949259331165704","0.968264420688402","1"
"Yes","2006","Part Time","Urban Area","3070","0.891141047727238","0.880595571999042","0.901686523455434","1"
"Yes","2006","Not Working","Rural Area","2869","0.967535558070547","0.961133543968881","0.973937572172213","1"
"Yes","2006","Not Working","Urban Area","5111","0.883955450707888","0.875606418038933","0.892304483376842","1"
"No","2007","Not Working","Rural Area","63","0.0430095261617438","0.0354406798588453","0.0505783724646423","2"
"No","2007","Not Working","Urban Area","454","0.107499994431431","0.0991220897195362","0.115877899143326","2"
"No","2007","Full Time","Rural Area","63","0.0363323295547712","0.0292560439361095","0.0434086151734329","2"
"No","2007","Full Time","Urban Area","386","0.0959253656112231","0.0879189043553389","0.103931826867107","2"
"No","2007","Part Time","Rural Area","50","0.0496747386456564","0.0388161381373866","0.0605333391539261","2"
"No","2007","Part Time","Urban Area","270","0.127035409267945","0.115481062469518","0.138589756066373","2"
"Yes","2007","Full Time","Rural Area","2623","0.963667670445229","0.956591384826567","0.970743956063891","1"
"Yes","2007","Full Time","Urban Area","4811","0.904074634388777","0.896068173132893","0.912081095644661","1"
"Yes","2007","Part Time","Rural Area","1488","0.950325261354344","0.939466660846074","0.961183861862613","1"
"Yes","2007","Part Time","Urban Area","2921","0.872964590732054","0.861410243933627","0.884518937530482","1"
"Yes","2007","Not Working","Rural Area","2697","0.956990473838256","0.949421627535358","0.964559320141155","1"
"Yes","2007","Not Working","Urban Area","4797","0.892500005568569","0.884122100856674","0.900877910280464","1"
"No","2008","Not Working","Rural Area","59","0.0456757511601525","0.0376289242529254","0.0537225780673797","2"
"No","2008","Not Working","Urban Area","396","0.105111353357069","0.0965379853301991","0.113684721383938","2"
"No","2008","Full Time","Rural Area","50","0.0370511454970759","0.0297241636799431","0.0443781273142087","2"
"No","2008","Full Time","Urban Area","343","0.0958318658118555","0.0876324823376368","0.104031249286074","2"
"No","2008","Part Time","Rural Area","46","0.0599421888266481","0.0476688340878096","0.0722155435654866","2"
"No","2008","Part Time","Urban Area","238","0.124512645675893","0.112674342340997","0.13635094901079","2"
"Yes","2008","Full Time","Rural Area","2503","0.962948854502924","0.955621872685791","0.970275836320057","1"
"Yes","2008","Full Time","Urban Area","4608","0.904168134188144","0.895968750713926","0.912367517662363","1"
"Yes","2008","Part Time","Rural Area","1391","0.940057811173352","0.927784456434513","0.95233116591219","1"
"Yes","2008","Part Time","Urban Area","2750","0.875487354324107","0.86364905098921","0.887325657659004","1"
"Yes","2008","Not Working","Rural Area","2527","0.954324248839848","0.94627742193262","0.962371075747075","1"
"Yes","2008","Not Working","Urban Area","4520","0.894888646642931","0.886315278616062","0.903462014669801","1"
"No","2009","Not Working","Rural Area","61","0.0527659591585231","0.0438234873858571","0.0617084309311891","2"
"No","2009","Not Working","Urban Area","327","0.100746993906132","0.0919321514003346","0.10956183641193","2"
"No","2009","Full Time","Rural Area","45","0.0335979342622741","0.0264657415239752","0.0407301270005731","2"
"No","2009","Full Time","Urban Area","285","0.0969484977571601","0.0883623718590313","0.105534623655289","2"
"No","2009","Part Time","Rural Area","43","0.0609803218997173","0.048476774485819","0.0734838693136156","2"
"No","2009","Part Time","Urban Area","228","0.132468777538528","0.1199679666222","0.144969588454855","2"
"Yes","2009","Full Time","Rural Area","2407","0.966402065737726","0.959269872999427","0.973534258476025","1"
"Yes","2009","Full Time","Urban Area","4277","0.90305150224284","0.894465376344711","0.911637628140969","1"
"Yes","2009","Part Time","Rural Area","1364","0.939019678100283","0.926516130686384","0.951523225514181","1"
"Yes","2009","Part Time","Urban Area","2597","0.867531222461472","0.855030411545145","0.8800320333778","1"
"Yes","2009","Not Working","Rural Area","2340","0.947234040841477","0.938291569068811","0.956176512614143","1"
"Yes","2009","Not Working","Urban Area","4152","0.899253006093868","0.89043816358807","0.908067848599665","1"
"No","2010","Not Working","Rural Area","127","0.0545997673573917","0.0463093111263789","0.0628902235884046","2"
"No","2010","Not Working","Urban Area","594","0.109729285211228","0.101522655162999","0.117935915259456","2"
"No","2010","Full Time","Rural Area","73","0.0310546740395807","0.0250398104375405","0.037069537641621","2"
"No","2010","Full Time","Urban Area","434","0.0814697070190029","0.0745822865318809","0.088357127506125","2"
"No","2010","Part Time","Rural Area","78","0.0791839686846764","0.0678123069356178","0.090555630433735","2"
"No","2010","Part Time","Urban Area","350","0.135056621010225","0.124711455600187","0.145401786420263","2"
"Yes","2010","Full Time","Rural Area","3122","0.968945325960419","0.962930462358379","0.97496018956246","1"
"Yes","2010","Full Time","Urban Area","5626","0.918530292980997","0.911642872493875","0.925417713468119","1"
"Yes","2010","Part Time","Rural Area","2088","0.920816031315324","0.909444369566265","0.932187693064382","1"
"Yes","2010","Part Time","Urban Area","3843","0.864943378989775","0.854598213579737","0.875288544399813","1"
"Yes","2010","Not Working","Rural Area","2758","0.945400232642608","0.937109776411595","0.953690688873621","1"
"Yes","2010","Not Working","Urban Area","4978","0.890270714788772","0.882064084740544","0.898477344837001","1"
"No","2011","Not Working","Rural Area","83","0.0474555264200811","0.0397780631342548","0.0551329897059075","2"
"No","2011","Not Working","Urban Area","365","0.0842005067674173","0.076890899691313","0.0915101138435215","2"
"No","2011","Full Time","Rural Area","52","0.0274551390082296","0.0215464811824612","0.033363796833998","2"
"No","2011","Full Time","Urban Area","309","0.0730449705606754","0.0661156099185235","0.0799743312028272","2"
"No","2011","Part Time","Rural Area","55","0.0770539426916165","0.0648722738508772","0.0892356115323557","2"
"No","2011","Part Time","Urban Area","240","0.108155751946489","0.0979678841345293","0.118343619758448","2"
"Yes","2011","Full Time","Rural Area","2886","0.97254486099177","0.966636203166002","0.978453518817539","1"
"Yes","2011","Full Time","Urban Area","5108","0.926955029439325","0.920025668797173","0.933884390081477","1"
"Yes","2011","Part Time","Rural Area","1786","0.922946057308384","0.910764388467644","0.935127726149123","1"
"Yes","2011","Part Time","Urban Area","3330","0.891844248053511","0.881656380241552","0.902032115865471","1"
"Yes","2011","Not Working","Rural Area","2863","0.952544473579919","0.944867010294093","0.960221936865745","1"
"Yes","2011","Not Working","Urban Area","5179","0.915799493232583","0.908489886156478","0.923109100308687","1"
"No","2012","Not Working","Rural Area","128","0.0519458684487311","0.044658122801566","0.0592336140958962","2"
"No","2012","Not Working","Urban Area","481","0.0966525720196157","0.0893345957117466","0.103970548327485","2"
"No","2012","Full Time","Rural Area","94","0.0376835125092663","0.0316573138627635","0.043709711155769","2"
"No","2012","Full Time","Urban Area","439","0.0868981738267157","0.080105967528064","0.0936903801253673","2"
"No","2012","Part Time","Rural Area","80","0.0645043830183075","0.0550347465168404","0.0739740195197747","2"
"No","2012","Part Time","Urban Area","362","0.119674764524305","0.110576450149248","0.128773078899362","2"
"Yes","2012","Full Time","Rural Area","3742","0.962316487490734","0.956290288844231","0.968342686137237","1"
"Yes","2012","Full Time","Urban Area","6168","0.913101826173284","0.906309619874633","0.919894032471936","1"
"Yes","2012","Part Time","Rural Area","2505","0.935495616981692","0.926025980480225","0.94496525348316","1"
"Yes","2012","Part Time","Urban Area","4527","0.880325235475695","0.871226921100638","0.889423549850752","1"
"Yes","2012","Not Working","Rural Area","3434","0.948054131551269","0.940766385904104","0.955341877198434","1"
"Yes","2012","Not Working","Urban Area","5782","0.903347427980384","0.896029451672515","0.910665404288254","1"
"No","2013","Not Working","Rural Area","111","0.0295408479859883","0.0236633966278246","0.0354182993441519","2"
"No","2013","Not Working","Urban Area","406","0.0648632089075532","0.058467896442198","0.0712585213729084","2"
"No","2013","Full Time","Rural Area","83","0.0222395382094508","0.0173646513052685","0.0271144251136331","2"
"No","2013","Full Time","Urban Area","394","0.0495809837978583","0.0441841051465712","0.0549778624491454","2"
"No","2013","Part Time","Rural Area","79","0.0425633338476243","0.0346972118660795","0.0504294558291691","2"
"No","2013","Part Time","Urban Area","327","0.073445675178754","0.0659493779926205","0.0809419723648875","2"
"Yes","2013","Full Time","Rural Area","3432","0.977760461790549","0.972885574886367","0.982635348694732","1"
"Yes","2013","Full Time","Urban Area","5821","0.950419016202142","0.945022137550855","0.955815894853429","1"
"Yes","2013","Not Working","Rural Area","3077","0.970459152014012","0.964581700655848","0.976336603372175","1"
"Yes","2013","Not Working","Urban Area","5291","0.935136791092447","0.928741478627092","0.941532103557802","1"
"Yes","2013","Part Time","Rural Area","2451","0.957436666152376","0.949570544170831","0.96530278813392","1"
"Yes","2013","Part Time","Urban Area","4325","0.926554324821246","0.919058027635113","0.934050622007379","1"
"No","2014","Not Working","Rural Area","220","0.0454290074956993","0.0383100077112185","0.0525480072801801","2"
"No","2014","Not Working","Urban Area","859","0.111147213802155","0.1032660256614","0.119028401942909","2"
"No","2014","Full Time","Rural Area","224","0.0523582740568103","0.0450039139779358","0.0597126341356847","2"
"No","2014","Full Time","Urban Area","839","0.0934064397676174","0.0864488602439168","0.100364019291318","2"
"No","2014","Part Time","Rural Area","190","0.0775954595900598","0.0671208841595218","0.0880700350205978","2"
"No","2014","Part Time","Urban Area","776","0.134288608607479","0.124900485152649","0.143676732062308","2"
"Yes","2014","Full Time","Rural Area","3300","0.94764172594319","0.940287365864315","0.954996086022064","1"
"Yes","2014","Full Time","Urban Area","5881","0.906593560232383","0.899635980708682","0.913551139756083","1"
"Yes","2014","Not Working","Rural Area","3067","0.954570992504301","0.94745199271982","0.961689992288781","1"
"Yes","2014","Not Working","Urban Area","5251","0.888852786197845","0.880971598057091","0.8967339743386","1"
"Yes","2014","Part Time","Rural Area","2316","0.92240454040994","0.911929964979402","0.932879115840478","1"
"Yes","2014","Part Time","Urban Area","4291","0.865711391392521","0.856323267937692","0.875099514847351","1"
"No","2015","Not Working","Rural Area","558","0.0671677291536596","0.0588187780878562","0.0755166802194629","2"
"No","2015","Not Working","Urban Area","1762","0.143668032378006","0.135357555004253","0.15197850975176","2"
"No","2015","Part Time","Rural Area","140","0.0568079977504966","0.0476347175226925","0.0659812779783007","2"
"No","2015","Full Time","Rural Area","180","0.0429248401901956","0.0360052264038874","0.0498444539765037","2"
"No","2015","Full Time","Urban Area","705","0.0831972727351274","0.0763381861943211","0.0900563592759336","2"
"No","2015","Part Time","Urban Area","671","0.126958659644155","0.117433519312296","0.136483799976014","2"
"Yes","2015","Full Time","Rural Area","3116","0.957075159809805","0.950155546023496","0.963994773596113","1"
"Yes","2015","Full Time","Urban Area","5523","0.916802727264873","0.909943640724066","0.923661813805679","1"
"Yes","2015","Not Working","Rural Area","2895","0.93283227084634","0.924483319780537","0.941181221912144","1"
"Yes","2015","Not Working","Urban Area","5081","0.856331967621993","0.84802149024824","0.864642444995747","1"
"Yes","2015","Part Time","Rural Area","2306","0.943192002249503","0.934018722021699","0.952365282477307","1"
"Yes","2015","Part Time","Urban Area","4022","0.873041340355845","0.863516200023986","0.882566480687704","1"
"No","2016","Not Working","Rural Area","230","0.0560440909881834","0.0476130386989806","0.0644751432773863","2"
"No","2016","Not Working","Urban Area","796","0.124032106198331","0.11524549875664","0.132818713640021","2"
"No","2016","Part Time","Rural Area","211","0.0785272549549534","0.0676767099459195","0.0893777999639874","2"
"No","2016","Part Time","Urban Area","775","0.140564256961829","0.130536440079152","0.150592073844507","2"
"No","2016","Full Time","Rural Area","254","0.061571347576623","0.053227259229451","0.0699154359237951","2"
"No","2016","Full Time","Urban Area","891","0.11649542089833","0.108379105313518","0.124611736483143","2"
"Yes","2016","Full Time","Rural Area","2934","0.938428652423377","0.930084564076205","0.946772740770549","1"
"Yes","2016","Full Time","Urban Area","5111","0.883504579101669","0.875388263516857","0.891620894686482","1"
"Yes","2016","Not Working","Rural Area","2629","0.943955909011817","0.935524856722614","0.952386961301019","1"
"Yes","2016","Not Working","Urban Area","4610","0.875967893801669","0.867181286359979","0.88475450124336","1"
"Yes","2016","Part Time","Rural Area","2150","0.921472745045047","0.910622200036013","0.932323290054081","1"
"Yes","2016","Part Time","Urban Area","3840","0.85943574303817","0.849407926155493","0.869463559920848","1"
"No","2017","Not Working","Rural Area","950","0.08474450413266","0.075909353563942","0.0935796547013781","2"
"No","2017","Not Working","Urban Area","2363","0.139253408583982","0.131262596526734","0.147244220641229","2"
"No","2017","Part Time","Rural Area","235","0.0796695069938309","0.0693754024768928","0.0899636115107691","2"
"No","2017","Part Time","Urban Area","846","0.1552652296017","0.145412383430394","0.165118075773006","2"
"No","2017","Full Time","Rural Area","252","0.0591849222104158","0.0516494936659556","0.0667203507548761","2"
"No","2017","Full Time","Urban Area","866","0.119841740113999","0.112069103294515","0.127614376933483","2"
"Yes","2017","Full Time","Rural Area","3515","0.940815077789584","0.933279649245124","0.948350506334044","1"
"Yes","2017","Full Time","Urban Area","5841","0.880158259886001","0.872385623066517","0.887930896705485","1"
"Yes","2017","Not Working","Rural Area","2867","0.91525549586734","0.906420345298622","0.924090646436058","1"
"Yes","2017","Not Working","Urban Area","4848","0.860746591416018","0.852755779358771","0.868737403473266","1"
"Yes","2017","Part Time","Rural Area","2423","0.920330493006169","0.910036388489231","0.930624597523107","1"
"Yes","2017","Part Time","Urban Area","4344","0.8447347703983","0.834881924226994","0.854587616569606","1"
"No","2018","Not Working","Rural Area","1084","0.0831913943076016","0.0744128889815565","0.0919698996336467","2"
"No","2018","Not Working","Urban Area","3158","0.154514942058659","0.146535581571202","0.162494302546116","2"
"No","2018","Part Time","Rural Area","270","0.076845588387167","0.0667916830469465","0.0868994937273876","2"
"No","2018","Part Time","Urban Area","965","0.166533325711866","0.156421824646944","0.176644826776788","2"
"No","2018","Full Time","Rural Area","271","0.0654556420650084","0.0573538688677687","0.073557415262248","2"
"No","2018","Full Time","Urban Area","857","0.129578857307895","0.121420750527864","0.137736964087927","2"
"Yes","2018","Full Time","Rural Area","3309","0.934544357934992","0.926442584737752","0.942646131132231","1"
"Yes","2018","Full Time","Urban Area","5653","0.870421142692105","0.862263035912073","0.878579249472137","1"
"Yes","2018","Not Working","Rural Area","2718","0.916808605692398","0.908030100366353","0.925587111018443","1"
"Yes","2018","Not Working","Urban Area","4724","0.845485057941341","0.837505697453884","0.853464418428799","1"
"Yes","2018","Part Time","Rural Area","2426","0.923154411612833","0.913100506272612","0.933208316953054","1"
"Yes","2018","Part Time","Urban Area","4250","0.833466674288134","0.823355173223212","0.843578175353056","1"
"No","2019","Not Working","Rural Area","857","0.080008589934856","0.0710863929600691","0.0889307869096429","2"
"No","2019","Not Working","Urban Area","2410","0.156079219748344","0.147392822243529","0.164765617253158","2"
"No","2019","Part Time","Rural Area","306","0.0821634938816328","0.0714586171852385","0.0928683705780271","2"
"No","2019","Part Time","Urban Area","875","0.176763120442495","0.165933099143048","0.187593141741942","2"
"No","2019","Full Time","Rural Area","301","0.0676247019894246","0.0595890222339672","0.0756603817448819","2"
"No","2019","Full Time","Urban Area","818","0.136836860159047","0.128479423838834","0.14519429647926","2"
"Yes","2019","Full Time","Rural Area","3450","0.932375298010576","0.924339618255118","0.940410977766033","1"
"Yes","2019","Full Time","Urban Area","5678","0.863163139840953","0.85480570352074","0.871520576161166","1"
"Yes","2019","Not Working","Rural Area","2695","0.919991410065144","0.911069213090357","0.928913607039931","1"
"Yes","2019","Not Working","Urban Area","4296","0.843920780251656","0.835234382746842","0.852607177756471","1"
"Yes","2019","Part Time","Rural Area","2222","0.917836506118367","0.907131629421973","0.928541382814761","1"
