"plj0014_v3","year","bula_h","n","percent","lower_confidence","upper_confidence","value"
"Yes","1997","Berlin","463","0.898688580652836","0.872577597774822","0.92479956353085","1"
"Yes","1997","Brandenburg","597","0.990987156180172","0.983425143497146","0.998549168863198","1"
"Yes","1997","Mecklenburg-Western Pomerania","391","1","1","1","1"
"Yes","1997","Saxony","1088","0.994509327863056","0.990128510010556","0.998890145715555","1"
"Yes","1997","Saxony-Anhalt","669","1","1","1","1"
"Yes","1997","Thuringia","659","0.995196062009232","0.989928955298646","1.00046316871982","1"
"No","1998","Schleswig-Holstein","20","","","","2"
"No","1998","Lower Saxony","110","0.0541258755319609","0.0413504990519031","0.0669012520120187","2"
"No","1998","Hamburg","23","","","","2"
"No","1998","North Rhine-Westphalia","498","0.103976554456229","0.0927861862550825","0.115166922657375","2"
"No","1998","Brandenburg","3","","","","2"
"No","1998","Bremen","12","","","","2"
"No","1998","Hesse","227","0.150071884390243","0.127397139656821","0.172746629123666","2"
"No","1998","Rhineland-Palatinate,Saarland","93","0.0779314748345116","0.0594366862983409","0.0964262633706823","2"
"No","1998","Baden-Württemberg","575","0.151144576989503","0.134738034508105","0.167551119470901","2"
"No","1998","Bavaria","278","0.104687203653339","0.0908445645464724","0.118529842760206","2"
"No","1998","Mecklenburg-Western Pomerania","","","","","2"
"No","1998","Berlin","43","0.0935869162168674","0.0688376158584149","0.11833621657532","2"
"No","1998","Saxony","3","","","","2"
"No","1998","Saxony-Anhalt","1","","","","2"
"No","1998","Thuringia","3","","","","2"
"Yes","1998","Schleswig-Holstein","336","0.959789298085124","0.939382170923339","0.98019642524691","1"
"Yes","1998","Hamburg","131","0.934689675349636","0.895667419267678","0.973711931431593","1"
"Yes","1998","Lower Saxony","1095","0.945874124468039","0.933098747987981","0.958649500948097","1"
"Yes","1998","Bremen","89","0.854020884305644","0.785160885012037","0.92288088359925","1"
"Yes","1998","North Rhine-Westphalia","2360","0.896023445543771","0.884833077342625","0.907213813744917","1"
"Yes","1998","Hesse","726","0.849928115609757","0.827253370876334","0.87260286034318","1"
"Yes","1998","Rhineland-Palatinate,Saarland","714","0.922068525165488","0.903573736629318","0.940563313701659","1"
"Yes","1998","Baden-Württemberg","1256","0.848855423010497","0.832448880529099","0.865261965491895","1"
