"plj0014_v3","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","2004","West Germany","Male","7117","0.895204459825264","0.88845762174616","0.901951297904367","1"
"Yes","2004","East Germany","Female","2736","0.995315787524383","0.992760534406724","0.997871040642041","1"
"No","2005","West Germany","Female","772","0.0989330250856713","0.0924832496956513","0.105382800475691","2"
"No","2005","West Germany","Male","756","0.109358058002991","0.102302495045059","0.116413620960923","2"
"No","2005","East Germany","Male","7","","","","2"
"No","2005","East Germany","Female","9","","","","2"
"Yes","2005","West Germany","Female","7460","0.901066974914329","0.894617199524309","0.907516750304349","1"
"Yes","2005","West Germany","Male","6760","0.890641941997009","0.883586379039077","0.897697504954941","1"
"Yes","2005","East Germany","Female","2624","0.991428295029384","0.987907125593536","0.994949464465233","1"
"Yes","2005","East Germany","Male","2424","0.996094346559395","0.993614911707821","0.99857378141097","1"
"No","2006","East Germany","Male","10","","","","2"
"No","2006","West Germany","Female","749","0.101903833462311","0.0955824404153367","0.108225226509286","2"
"No","2006","West Germany","Male","698","0.108081956015611","0.1012693553699","0.114894556661322","2"
"No","2006","East Germany","Female","13","","","","2"
"Yes","2006","West Germany","Female","8049","0.898096166537689","0.891774773490714","0.904417559584663","1"
"Yes","2006","West Germany","Male","7281","0.891918043984389","0.885105443338678","0.8987306446301","1"
"Yes","2006","East Germany","Female","2750","0.992419178943965","0.98918500521137","0.99565335267656","1"
"Yes","2006","East Germany","Male","2529","0.994116929530091","0.991142268384956","0.997091590675226","1"
"No","2007","East Germany","Male","11","","","","2"
"No","2007","West Germany","Female","653","0.103538079546201","0.0969407360722704","0.110135423020131","2"
"No","2007","West Germany","Male","613","0.106394457813955","0.0993672617722872","0.113421653855622","2"
"No","2007","East Germany","Female","9","","","","2"
"Yes","2007","West Germany","Female","7539","0.896461920453799","0.889864576979869","0.90305926392773","1"
"Yes","2007","West Germany","Male","6783","0.893605542186045","0.886578346144378","0.900632738227713","1"
"Yes","2007","East Germany","Female","2605","0.991158249653606","0.987569559827396","0.994746939479815","1"
"Yes","2007","East Germany","Male","2410","0.991653736222886","0.988029831461468","0.995277640984304","1"
"No","2008","West Germany","Female","574","0.103361330612791","0.0965589680142473","0.110163693211334","2"
"No","2008","West Germany","Male","539","0.106195461666396","0.0989480981944442","0.113442825138348","2"
"No","2008","East Germany","Female","12","","","","2"
"No","2008","East Germany","Male","7","","","","2"
"Yes","2008","West Germany","Male","6403","0.893804538333604","0.886557174861652","0.901051901805556","1"
"Yes","2008","East Germany","Female","2471","0.988695574525689","0.984537279737819","0.99285386931356","1"
"Yes","2008","East Germany","Male","2305","0.996112307786431","0.993575694478225","0.998648921094637","1"
"Yes","2008","West Germany","Female","7120","0.896638669387209","0.889836306788666","0.903441031985753","1"
"No","2009","West Germany","Female","512","0.108502549703712","0.101275839102721","0.115729260304702","2"
"No","2009","West Germany","Male","460","0.103866341937414","0.0964197185571306","0.111312965317697","2"
"No","2009","East Germany","Female","11","","","","2"
"No","2009","East Germany","Male","6","","","","2"
"Yes","2009","West Germany","Male","5988","0.896133658062586","0.888687034682302","0.903580281442869","1"
"Yes","2009","East Germany","Female","2356","0.988519460831195","0.984227826446829","0.99281109521556","1"
"Yes","2009","East Germany","Male","2190","0.996737799696844","0.994352858369748","0.999122741023941","1"
"Yes","2009","West Germany","Female","6603","0.891497450296288","0.884270739695298","0.898724160897278","1"
"No","2010","West Germany","Female","883","0.108710184251478","0.102652460474901","0.114767908028055","2"
"No","2010","West Germany","Male","727","0.102911898998841","0.096428475202824","0.109395322794858","2"
"No","2010","East Germany","Female","25","","","","2"
"No","2010","East Germany","Male","21","","","","2"
"Yes","2010","West Germany","Male","7710","0.897088101001159","0.890604677205142","0.903571524797176","1"
"Yes","2010","West Germany","Female","9260","0.891289815748522","0.885232091971945","0.897347539525099","1"
"Yes","2010","East Germany","Female","2949","0.989515642033036","0.985854978093172","0.9931763059729","1"
"Yes","2010","East Germany","Male","2496","0.994996500026787","0.992240024057527","0.997752975996047","1"
"No","2011","West Germany","Male","492","0.0840989089364349","0.0779858327097177","0.090211985163152","2"
"No","2011","East Germany","Female","14","","","","2"
"No","2011","East Germany","Male","6","","","","2"
"No","2011","West Germany","Female","592","0.0910372174300841","0.0851543230819611","0.0969201117782071","2"
"Yes","2011","West Germany","Male","7426","0.915901091063565","0.909788014836848","0.922014167290282","1"
"Yes","2011","East Germany","Male","2405","0.995719589310284","0.993113671395735","0.998325507224832","1"
"Yes","2011","West Germany","Female","8593","0.908962782569916","0.903079888221793","0.914845676918039","1"
"Yes","2011","East Germany","Female","2728","0.992589549440145","0.989379427557891","0.995799671322399","1"
"No","2012","West Germany","Male","683","0.0945663168722011","0.0887625691278971","0.100370064616505","2"
"No","2012","East Germany","Female","30","0.00871319362363016","0.00557681658389519","0.0118495706633651","2"
"No","2012","East Germany","Male","24","","","","2"
"No","2012","West Germany","Female","847","0.102554935232196","0.0970739260611583","0.108035944403233","2"
"Yes","2012","West Germany","Male","9082","0.905433683127799","0.899629935383495","0.911237430872103","1"
"Yes","2012","East Germany","Male","2811","0.992579052367567","0.989419803811939","0.995738300923195","1"
"Yes","2012","West Germany","Female","10922","0.897445064767804","0.891964055596767","0.902926073938842","1"
"Yes","2012","East Germany","Female","3343","0.99128680637637","0.988150429336635","0.994423183416105","1"
"No","2013","West Germany","Male","593","0.0600335066794641","0.055136655357267","0.0649303580016613","2"
"No","2013","West Germany","Female","756","0.0623144989740706","0.0577949805778994","0.0668340173702418","2"
"No","2013","East Germany","Female","33","0.00717380586902747","0.00422054198012002","0.0101270697579349","2"
"No","2013","East Germany","Male","18","","","","2"
"Yes","2013","West Germany","Male","8447","0.939966493320536","0.935069641998339","0.944863344642733","1"
"Yes","2013","East Germany","Male","2613","0.996004790085948","0.993594395285299","0.998415184886596","1"
"Yes","2013","West Germany","Female","10233","0.937685501025929","0.933165982629758","0.942205019422101","1"
"Yes","2013","East Germany","Female","3104","0.992826194130973","0.989872930242065","0.99577945801988","1"
"No","2014","West Germany","Male","1323","0.109489772585315","0.103348816831396","0.115630728339235","2"
"No","2014","East Germany","Male","75","0.01693592772271","0.0119376139436774","0.0219342415017427","2"
"No","2014","West Germany","Female","1612","0.108762340162881","0.103111942810707","0.114412737515055","2"
"No","2014","East Germany","Female","98","0.0183618274868106","0.0136041825987428","0.0231194723748785","2"
"Yes","2014","West Germany","Male","8609","0.890510227414685","0.884369271660765","0.896651183168604","1"
"Yes","2014","East Germany","Male","2485","0.98306407227729","0.978065758498257","0.988062386056323","1"
"Yes","2014","West Germany","Female","10051","0.891237659837119","0.885587262484945","0.896888057189293","1"
"Yes","2014","East Germany","Female","2961","0.981638172513189","0.976880527625121","0.986395817401257","1"
"No","2015","West Germany","Male","1733","0.116221942627228","0.109909429380619","0.122534455873837","2"
"No","2015","East Germany","Male","123","0.0294792740796084","0.0228395848697146","0.0361189632895022","2"
"No","2015","West Germany","Female","2015","0.110111674533365","0.104416461721894","0.115806887344835","2"
"No","2015","East Germany","Female","145","0.0240429534926077","0.0185236424616148","0.0295622645236005","2"
"Yes","2015","West Germany","Female","9590","0.889888325466635","0.884193112655165","0.895583538278106","1"
"Yes","2015","West Germany","Male","8169","0.883778057372772","0.877465544126163","0.890090570619381","1"
"Yes","2015","East Germany","Male","2370","0.970520725920392","0.963881036710498","0.977160415130285","1"
"Yes","2015","East Germany","Female","2814","0.975957046507392","0.970437735476399","0.981476357538385","1"
"No","2016","West Germany","Male","1350","0.12363443085069","0.116790473306043","0.130478388395337","2"
"No","2016","East Germany","Male","96","0.0343897090113506","0.026944018590776","0.0418353994319251","2"
"No","2016","West Germany","Female","1596","0.120902497140391","0.114658403132918","0.127146591147864","2"
"No","2016","East Germany","Female","115","0.0270674403904735","0.0210263345966094","0.0331085461843377","2"
"Yes","2016","East Germany","Male","2205","0.965610290988649","0.958164600568075","0.973055981409224","1"
"Yes","2016","West Germany","Female","8876","0.879097502859609","0.872853408852136","0.885341596867082","1"
"Yes","2016","West Germany","Male","7536","0.87636556914931","0.869521611604663","0.883209526693957","1"
"Yes","2016","East Germany","Female","2657","0.972932559609527","0.966891453815662","0.978973665403391","1"
"No","2017","West Germany","Male","2567","0.131512386883768","0.125227814220266","0.13779695954727","2"
"No","2017","East Germany","Male","395","0.0427531448322079","0.0353890395222329","0.0501172501421828","2"
"No","2017","West Germany","Female","2261","0.133827718942877","0.127769081448522","0.139886356437233","2"
"No","2017","East Germany","Female","289","0.0328072533645142","0.0266459954363746","0.0389685112926538","2"
"Yes","2017","East Germany","Male","2504","0.957246855167792","0.949882749857817","0.964610960477767","1"
"Yes","2017","West Germany","Female","9870","0.866172281057123","0.860113643562767","0.872230918551478","1"
"Yes","2017","West Germany","Male","8542","0.868487613116232","0.86220304045273","0.874772185779734","1"
"Yes","2017","East Germany","Female","2922","0.967192746635486","0.961031488707346","0.973354004563625","1"
"No","2018","West Germany","Female","2636","0.140236056494596","0.134074539723077","0.146397573266115","2"
"No","2018","West Germany","Male","3199","0.143843573569575","0.13740359884815","0.150283548291001","2"
"No","2018","East Germany","Male","446","0.0491280250312267","0.0412398572469144","0.057016192815539","2"
"No","2018","East Germany","Female","324","0.0364402724224004","0.0299418077440627","0.0429387371007381","2"
"Yes","2018","West Germany","Female","9564","0.859763943505404","0.853602426733885","0.865925460276923","1"
"Yes","2018","West Germany","Male","8208","0.856156426430425","0.849716451708999","0.86259640115185","1"
"Yes","2018","East Germany","Female","2870","0.9635597275776","0.957061262899262","0.970058192255937","1"
"Yes","2018","East Germany","Male","2438","0.950871974968773","0.942983807184461","0.958760142753086","1"
"No","2019","East Germany","Male","367","0.0469260333059381","0.0392777081412298","0.0545743584706464","2"
"No","2019","East Germany","Female","281","0.0368447349394876","0.0302367733258489","0.0434526965531262","2"
"No","2019","West Germany","Female","2306","0.141730636056377","0.135422214219903","0.148039057892852","2"
"No","2019","West Germany","Male","2860","0.147564786418605","0.141100846215665","0.154028726621545","2"
"Yes","2019","West Germany","Female","9436","0.858269363943623","0.851960942107148","0.864577785780097","1"
"Yes","2019","West Germany","Male","8705","0.852435213581395","0.845971273378455","0.858899153784335","1"
"Yes","2019","East Germany","Female","2841","0.963155265060512","0.956547303446874","0.969763226674151","1"
"Yes","2019","East Germany","Male","2570","0.953073966694062","0.945425641529354","0.96072229185877","1"
